year (AD) [1-1],age (BP) [1-1],d18O_SMOW (permil) [1-1],dD (permil) [1-1],year (AD) [2-1],age (BP) [2-1],d18O_PDB (permil) [2-1],year (AD) [3-1],age (BP) [3-1],d18O_PDB (permil) [3-1]
NA,NA,NA,NA,740,1210,-7.23,-3514,5464,-5.98
NA,NA,NA,NA,699,1251,-6.73,-3549,5499,-6.71
NA,NA,NA,NA,657,1293,-7.05,-3591,5541,-6.86
NA,NA,NA,NA,634,1316,-7.01,-3624,5574,-6.62
NA,NA,NA,NA,618,1332,-6.95,-3667,5617,-6.97
NA,NA,NA,NA,601,1349,-7.32,-3700,5650,-6.89
NA,NA,NA,NA,588,1362,-7.02,-3734,5684,-6.92
NA,NA,NA,NA,574,1376,-7.14,-3774,5724,-7.12
NA,NA,NA,NA,562,1388,-6.62,-3808,5758,-6.99
NA,NA,NA,NA,550,1400,-8.03,-3842,5792,-6.85
NA,NA,NA,NA,536,1414,-7.6,-3882,5832,-6.91
NA,NA,NA,NA,525,1425,-7.74,-3916,5866,-6.64
NA,NA,NA,NA,513,1437,-7.5,-3950,5900,-7.26
NA,NA,NA,NA,497,1453,-7.53,-3992,5942,-6.72
NA,NA,NA,NA,485,1465,-7.84,-4029,5979,-6.68
NA,NA,NA,NA,469,1481,-6.94,-4073,6023,-6.21
NA,NA,NA,NA,455,1495,-7.58,-4109,6059,-6.64
NA,NA,NA,NA,441,1509,-7.48,-4147,6097,-6.59
NA,NA,NA,NA,425,1525,-6.4,-4191,6141,-6.59
NA,NA,NA,NA,411,1539,-7.05,-4227,6177,-6.42
NA,NA,NA,NA,396,1554,-6.71,-4266,6216,-6.36
NA,NA,NA,NA,383,1567,-7.18,-4316,6266,-6.56
NA,NA,NA,NA,371,1579,-6.77,-4360,6310,-6.41
NA,NA,NA,NA,357,1593,NA,-4402,6352,-6.47
NA,NA,NA,NA,345,1605,-6.84,-4450,6400,-6.61
NA,NA,NA,NA,335,1615,-6.94,-4488,6438,-6.4
NA,NA,NA,NA,321,1629,-6.89,-4526,6476,-6.49
NA,NA,NA,NA,310,1640,NA,-4555,6505,-6.62
NA,NA,NA,NA,297,1653,-7.09,-4584,6534,-6.33
NA,NA,NA,NA,286,1664,-6.9,-4616,6566,-6.17
NA,NA,NA,NA,276,1674,-6.51,-4643,6593,-6.55
NA,NA,NA,NA,263,1687,-8.46,-4668,6618,-6.01
NA,NA,NA,NA,253,1697,-7.24,-4699,6649,-5.87
NA,NA,NA,NA,240,1710,-6.97,-4724,6674,-6.13
NA,NA,NA,NA,230,1720,-6.63,-4749,6699,-6.5
NA,NA,NA,NA,219,1731,-6.89,-4778,6728,-6.47
NA,NA,NA,NA,207,1743,-6.94,-4803,6753,-6.09
NA,NA,NA,NA,197,1753,-7.03,-4831,6781,-6.02
NA,NA,NA,NA,187,1763,-6.89,-4854,6804,-6.07
NA,NA,NA,NA,175,1775,-7.52,-4878,6828,-5.96
NA,NA,NA,NA,165,1785,-6.58,-4907,6857,-6.23
NA,NA,NA,NA,152,1798,-6.66,-4929,6879,-6.49
NA,NA,NA,NA,141,1809,-6.49,-4952,6902,-6.05
NA,NA,NA,NA,130,1820,-6.94,-4979,6929,-6.36
NA,NA,NA,NA,117,1833,-7.23,-5001,6951,-6.17
NA,NA,NA,NA,106,1844,-6.92,-5024,6974,-6.27
NA,NA,NA,NA,92,1858,-6.85,-5051,7001,-6.49
NA,NA,NA,NA,81,1869,-6.66,-5073,7023,-6.19
NA,NA,NA,NA,70,1880,-6.7,-5093,7043,-6.35
NA,NA,NA,NA,55,1895,-7.19,-5119,7069,-6.34
NA,NA,NA,NA,42,1908,-7.67,-5141,7091,-6.34
NA,NA,NA,NA,29,1921,-7.02,-5166,7116,-6.38
NA,NA,NA,NA,11,1939,-6.97,-5187,7137,-6.3
NA,NA,NA,NA,-5,1955,NA,-5209,7159,-6.18
NA,NA,NA,NA,-24,1974,-7.23,-5235,7185,-5.86
NA,NA,NA,NA,-40,1990,-7.28,-5255,7205,-6.38
NA,NA,NA,NA,-55,2005,-7.04,-5276,7226,-5.89
NA,NA,NA,NA,-71,2021,-7.32,-5305,7255,-6.26
NA,NA,NA,NA,-84,2034,-7.36,-5327,7277,-5.78
NA,NA,NA,NA,-100,2050,-7.3,-5348,7298,-5.99
NA,NA,NA,NA,-111,2061,-7.44,-5374,7324,-6.23
NA,NA,NA,NA,-122,2072,-7.34,-5394,7344,-6.19
NA,NA,NA,NA,-136,2086,-7.12,-5419,7369,-5.91
NA,NA,NA,NA,-146,2096,-7.29,-5442,7392,-6.01
NA,NA,NA,NA,-156,2106,-7.24,-5464,7414,-6.24
NA,NA,NA,NA,-169,2119,-7.24,-5492,7442,-5.94
NA,NA,NA,NA,-179,2129,-7.57,-5513,7463,-5.8
NA,NA,NA,NA,-191,2141,-7.44,-5535,7485,-6.1
NA,NA,NA,NA,-201,2151,-6.92,-5560,7510,-5.74
NA,NA,NA,NA,-211,2161,-6.67,-5581,7531,-6.05
NA,NA,NA,NA,-223,2173,-7,-5602,7552,-6.23
NA,NA,NA,NA,-233,2183,-7.12,-5626,7576,-6.06
NA,NA,NA,NA,-245,2195,-7.11,-5647,7597,-5.73
NA,NA,NA,NA,-254,2204,-7.39,-5672,7622,-6.3
NA,NA,NA,NA,-263,2213,-7.78,-5693,7643,-5.73
NA,NA,NA,NA,-275,2225,-6.98,-5716,7666,-6.13
NA,NA,NA,NA,-284,2234,-6.95,-5742,7692,-6.09
NA,NA,NA,NA,-293,2243,-6.75,-5764,7714,-6.06
NA,NA,NA,NA,-305,2255,-6.76,-5786,7736,-6.35
NA,NA,NA,NA,-314,2264,-6.5,-5813,7763,-6.41
NA,NA,NA,NA,-325,2275,-6.86,-5835,7785,-6.04
NA,NA,NA,NA,-335,2285,-6.84,-5858,7808,-5.86
NA,NA,NA,NA,-345,2295,-7,-5887,7837,-6.09
NA,NA,NA,NA,-357,2307,-6.77,-5912,7862,-6.16
NA,NA,NA,NA,-367,2317,-7.32,-5941,7891,-6.02
NA,NA,NA,NA,-378,2328,-6.89,-5964,7914,-6.21
NA,NA,NA,NA,-388,2338,-7.13,-5988,7938,-5.16
NA,NA,NA,NA,-398,2348,-7.29,-6019,7969,-6.98
NA,NA,NA,NA,-410,2360,-7.45,-6044,7994,-6.47
NA,NA,NA,NA,-421,2371,-7.53,-6069,8019,-6.07
NA,NA,NA,NA,-430,2380,-7.55,-6100,8050,-6.17
NA,NA,NA,NA,-442,2392,-7.28,-6126,8076,-6.36
NA,NA,NA,NA,-452,2402,-7.45,-6153,8103,-6.44
NA,NA,NA,NA,-465,2415,-7.57,-6185,8135,-6.91
NA,NA,NA,NA,-475,2425,-7.73,-6211,8161,-6.15
NA,NA,NA,NA,-486,2436,-7.36,-6238,8188,-5.69
NA,NA,NA,NA,-498,2448,-7.8,-6271,8221,-5.98
NA,NA,NA,NA,-509,2459,-8.31,-6298,8248,-6.19
NA,NA,NA,NA,-522,2472,-7.58,-6333,8283,-5.9
NA,NA,NA,NA,-534,2484,-7.49,-6360,8310,-6.07
NA,NA,NA,NA,-546,2496,NA,-6388,8338,-6.23
NA,NA,NA,NA,-560,2510,-7.6,-6425,8375,-5.93
NA,NA,NA,NA,-573,2523,-7.33,-6454,8404,-5.89
NA,NA,NA,NA,-585,2535,-7.18,-6483,8433,-5.74
NA,NA,NA,NA,-600,2550,-7.11,-6520,8470,-6.34
NA,NA,NA,NA,-612,2562,-7.25,-6550,8500,-6.06
NA,NA,NA,NA,-627,2577,-6.98,-6582,8532,-5.81
NA,NA,NA,NA,-639,2589,-7.91,-6618,8568,-5.77
NA,NA,NA,NA,-649,2599,-7.98,-6646,8596,NA
NA,NA,NA,NA,-660,2610,-6.99,-6678,8628,-6.21
NA,NA,NA,NA,-668,2618,-7.37,-6705,8655,NA
NA,NA,NA,NA,-678,2628,-7.02,-6730,8680,-5.76
NA,NA,NA,NA,-685,2635,-7.83,-6762,8712,-6.15
NA,NA,NA,NA,-692,2642,-7.01,-6787,8737,-5.9
NA,NA,NA,NA,-701,2651,-7.25,-6813,8763,-6.24
NA,NA,NA,NA,-707,2657,-7.37,-6845,8795,-6.01
NA,NA,NA,NA,-713,2663,-7.37,-6869,8819,-5.5
NA,NA,NA,NA,-721,2671,-7.17,-6894,8844,-5.62
NA,NA,NA,NA,-728,2678,-7.03,-6923,8873,-5.72
NA,NA,NA,NA,-736,2686,-7.11,-6948,8898,-6.07
NA,NA,NA,NA,-742,2692,-7.21,-6977,8927,-6.15
NA,NA,NA,NA,-748,2698,-7.29,-7002,8952,-5.95
NA,NA,NA,NA,-756,2706,-7.47,-7027,8977,-6.08
NA,NA,NA,NA,-762,2712,-7.52,-7059,9009,-5.71
NA,NA,NA,NA,-769,2719,NA,-7084,9034,-5.77
NA,NA,NA,NA,-775,2725,-7.07,-7109,9059,-5.78
NA,NA,NA,NA,-781,2731,-7.5,-7141,9091,-5.39
NA,NA,NA,NA,-788,2738,-7.27,-7168,9118,-5.49
NA,NA,NA,NA,-794,2744,-7.2,-7196,9146,-5.71
NA,NA,NA,NA,-799,2749,-7,-7230,9180,-5.37
NA,NA,NA,NA,-807,2757,-7.17,-7259,9209,-5.49
NA,NA,NA,NA,-812,2762,-7.01,-7294,9244,-5.52
NA,NA,NA,NA,-819,2769,-7.03,-7326,9276,-5.74
NA,NA,NA,NA,-824,2774,-7.29,-7358,9308,-5.61
NA,NA,NA,NA,-830,2780,-7.07,-7395,9345,-4.27
NA,NA,NA,NA,-837,2787,-6.6,-7426,9376,-5.73
NA,NA,NA,NA,-843,2793,-7.16,-7454,9404,-5.4
NA,NA,NA,NA,-850,2800,-6.96,-7484,9434,-5.49
NA,NA,NA,NA,-856,2806,-7.2,-7507,9457,-5.53
NA,NA,NA,NA,-862,2812,-7.7,-7530,9480,-5.46
NA,NA,NA,NA,-869,2819,-7.64,-7556,9506,-5.89
NA,NA,NA,NA,-874,2824,-7.44,-7577,9527,-5.31
NA,NA,NA,NA,-880,2830,-7.61,-7600,9550,-5.52
NA,NA,NA,NA,-887,2837,-6.97,-7627,9577,-5.46
NA,NA,NA,NA,-892,2842,-7.68,-7649,9599,-5.58
NA,NA,NA,NA,-899,2849,-7.29,-7675,9625,-5.59
NA,NA,NA,NA,-905,2855,-7.55,-7695,9645,-5.63
NA,NA,NA,NA,-911,2861,-7.4,-7715,9665,-5.53
NA,NA,NA,NA,-918,2868,-7.38,-7739,9689,-5.5
NA,NA,NA,NA,-923,2873,-6.98,-7760,9710,-5.62
NA,NA,NA,NA,-930,2880,-7.39,-7781,9731,-5.56
NA,NA,NA,NA,-936,2886,-7.05,-7806,9756,-5.44
NA,NA,NA,NA,-941,2891,-7.04,-7825,9775,-5.63
NA,NA,NA,NA,-948,2898,-7.02,-7845,9795,-5.76
NA,NA,NA,NA,-954,2904,-7.01,-7868,9818,-5.86
NA,NA,NA,NA,-960,2910,-7.32,-7888,9838,-5.69
NA,NA,NA,NA,-967,2917,-7.56,-7910,9860,-5.93
NA,NA,NA,NA,-973,2923,-7.62,-7929,9879,-5.61
NA,NA,NA,NA,-980,2930,-7.74,-7949,9899,-5.66
NA,NA,NA,NA,-986,2936,-8.27,-7972,9922,-5.62
NA,NA,NA,NA,-992,2942,-7.91,-7990,9940,-5.61
NA,NA,NA,NA,-1000,2950,-7.39,-8010,9960,-5.96
NA,NA,NA,NA,-1006,2956,-7.62,-8033,9983,-5.81
NA,NA,NA,NA,-1014,2964,-7.58,-8052,10002,-5.76
NA,NA,NA,NA,-1020,2970,-7.5,-8071,10021,-5.89
NA,NA,NA,NA,-1027,2977,-7.52,-8094,10044,-5.61
NA,NA,NA,NA,-1035,2985,-7.41,-8113,10063,-5.55
NA,NA,NA,NA,-1042,2992,-7.51,-8136,10086,-5.93
NA,NA,NA,NA,-1049,2999,-7.4,-8155,10105,-5.85
NA,NA,NA,NA,-1057,3007,-7.88,-8175,10125,-5.89
NA,NA,NA,NA,-1065,3015,-7.26,-8200,10150,-5.88
NA,NA,NA,NA,-1075,3025,-7.37,-8220,10170,-5.92
NA,NA,NA,NA,-1083,3033,-6.84,-8239,10189,-5.1
NA,NA,NA,NA,-1091,3041,-6.92,-8265,10215,-5.61
NA,NA,NA,NA,-1102,3052,-7.3,-8287,10237,-5.46
NA,NA,NA,NA,-1111,3061,-7.18,-8309,10259,-5.87
NA,NA,NA,NA,-1123,3073,-7.11,-8336,10286,-5.9
NA,NA,NA,NA,-1136,3086,-7.19,-8360,10310,-6.1
NA,NA,NA,NA,-1160,3110,-7.06,-8390,10340,-5.95
NA,NA,NA,NA,-1193,3143,-7.01,-8421,10371,-5.97
NA,NA,NA,NA,-1222,3172,-7.16,-8461,10411,-5.75
NA,NA,NA,NA,-1250,3200,-7.56,-8541,10491,-5.81
NA,NA,NA,NA,-1283,3233,-7.47,-8686,10636,-5.61
NA,NA,NA,NA,-1310,3260,-7.23,-8841,10791,-5.52
NA,NA,NA,NA,-1343,3293,-7.82,-8978,10928,-5.69
NA,NA,NA,NA,-1370,3320,-7.63,-9031,10981,-5.76
NA,NA,NA,NA,-1396,3346,-7.12,-9077,11027,-5.68
NA,NA,NA,NA,-1426,3376,-7.12,-9131,11081,-6.19
NA,NA,NA,NA,-1453,3403,-7.08,-9176,11126,-5.81
NA,NA,NA,NA,-1485,3435,-7.07,-9220,11170,-5.53
NA,NA,NA,NA,-1512,3462,-7.21,-9274,11224,-5.24
NA,NA,NA,NA,-1542,3492,-6.61,-9319,11269,-5.44
NA,NA,NA,NA,-1579,3529,-7.37,-9372,11322,-5.91
NA,NA,NA,NA,-1612,3562,-7.36,-9416,11366,-5.93
NA,NA,NA,NA,-1644,3594,-6.79,-9457,11407,-5.95
NA,NA,NA,NA,-1678,3628,-6.87,-9509,11459,-5.88
NA,NA,NA,NA,-1699,3649,-7.21,-9550,11500,-5.75
NA,NA,NA,NA,-1721,3671,-7.32,-9589,11539,-5.83
NA,NA,NA,NA,-1735,3685,-7.24,-9636,11586,-5.87
NA,NA,NA,NA,-1751,3701,-7.82,-9675,11625,-5.83
NA,NA,NA,NA,-1766,3716,-7.44,-9711,11661,-5.94
NA,NA,NA,NA,-1778,3728,-7.45,-9756,11706,-5.82
NA,NA,NA,NA,-1792,3742,-6.77,-9792,11742,-5.84
NA,NA,NA,NA,-1804,3754,-7.09,-9837,11787,-5.86
NA,NA,NA,NA,-1814,3764,-7.17,-9874,11824,-6
NA,NA,NA,NA,-1826,3776,-6.64,-9910,11860,-5.92
NA,NA,NA,NA,-1836,3786,-7.25,-9959,11909,-6.16
NA,NA,NA,NA,-1847,3797,-7.31,-9995,11945,-5.86
NA,NA,NA,NA,-1859,3809,-6.92,-10031,11981,-5.76
NA,NA,NA,NA,-1868,3818,-6.55,-10075,12025,-5.89
NA,NA,NA,NA,-1880,3830,-6.81,-10110,12060,-5.79
NA,NA,NA,NA,-1889,3839,-7,-10146,12096,-6.61
NA,NA,NA,NA,-1899,3849,-7.27,-10193,12143,-6.01
NA,NA,NA,NA,-1910,3860,-7.51,-10232,12182,-5.98
NA,NA,NA,NA,-1918,3868,-7,-10278,12228,-6.16
NA,NA,NA,NA,-1930,3880,-7.2,-10312,12262,-6.03
NA,NA,NA,NA,-1939,3889,-7.42,-10349,12299,-6.44
NA,NA,NA,NA,-1949,3899,-8.11,-10396,12346,-5.71
NA,NA,NA,NA,-1961,3911,-7.62,-10436,12386,-5.76
NA,NA,NA,NA,-1970,3920,-7.37,-10473,12423,-5.85
NA,NA,NA,NA,-1979,3929,-7.33,-10518,12468,-6
NA,NA,NA,NA,-1991,3941,-6.95,-10556,12506,-6.32
NA,NA,NA,NA,-2000,3950,-7.17,-10592,12542,-5.98
NA,NA,NA,NA,-2010,3960,-6.93,-10638,12588,-6.72
NA,NA,NA,NA,-2018,3968,-7.2,-10678,12628,-6.53
NA,NA,NA,NA,-2026,3976,-7.25,-10726,12676,-6.05
NA,NA,NA,NA,-2036,3986,-6.75,-10763,12713,-6.24
NA,NA,NA,NA,-2045,3995,-6.5,-10805,12755,-6.2
NA,NA,NA,NA,-2056,4006,-6.67,-10855,12805,-6.65
NA,NA,NA,NA,-2064,4014,-7.11,-10896,12846,-6.61
NA,NA,NA,NA,-2073,4023,-6.94,-10937,12887,-6.67
NA,NA,NA,NA,-2083,4033,-6.81,-10989,12939,-6.8
NA,NA,NA,NA,-2092,4042,-6.98,-11034,12984,-6.99
NA,NA,NA,NA,-2100,4050,-6.84,-11080,13030,-7.41
NA,NA,NA,NA,-2111,4061,-7.39,-11136,13086,-7.01
NA,NA,NA,NA,-2120,4070,-6.73,-11180,13130,-7.22
NA,NA,NA,NA,-2130,4080,-7.03,-11225,13175,-6.79
NA,NA,NA,NA,-2139,4089,-6.95,-11279,13229,-6.6
NA,NA,NA,NA,-2148,4098,-6.93,-11320,13270,-6.19
NA,NA,NA,NA,-2159,4109,-6.46,-11357,13307,-6.41
NA,NA,NA,NA,-2168,4118,-7.13,-11371,13321,-6.38
NA,NA,NA,NA,-2181,4131,-6.87,-11382,13332,-6.43
NA,NA,NA,NA,-2192,4142,-6.79,-11391,13341,-6.78
NA,NA,NA,NA,-2203,4153,-6.85,-11398,13348,-6.51
NA,NA,NA,NA,-2217,4167,-6.78,-11405,13355,-6.79
NA,NA,NA,NA,-2230,4180,-7.02,-11413,13363,-6.51
NA,NA,NA,NA,-2243,4193,-6.89,-11422,13372,-6.43
NA,NA,NA,NA,-2260,4210,-7.14,-11430,13380,-6.58
NA,NA,NA,NA,-2275,4225,-6.72,-11438,13388,-6.67
NA,NA,NA,NA,-2290,4240,-7.13,-11444,13394,-6.01
NA,NA,NA,NA,-2304,4254,-6.93,NA,NA,NA
NA,NA,NA,NA,-2318,4268,-6.48,NA,NA,NA
NA,NA,NA,NA,-2337,4287,-6.86,NA,NA,NA
NA,NA,NA,NA,-2352,4302,-6.47,NA,NA,NA
