year (AD) [1-1],age (BP) [1-1],hole (missing) [1-1],section (missing) [1-1],interval (missing) [1-1],varveCountedAgeKa (missing) [1-1],varveCountedAgeAD0x2FBC (AD) [1-1],radiocarbonDatesAD0x2FBC (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],year (AD) [2-1],age (BP) [2-1],bulloidesTemp (degC) [2-1]
1949.27,0.73,NA,01H,142144.0,478,1472,NA,0.288,0.288,-0.15,-0.15,1138.16,811.84,12.76
1949.24,0.76,NA,01H,146148.0,502,1448,NA,0.775,0.775,NA,NA,1108.56,841.44,12.95
1949.22,0.78,NA,01H,2004.0,527,1423,NA,0.517,0.517,0.38,0.38,1078.96,871.04,9.97
1949.19,0.81,NA,01H,7009.0,558,1392,NA,0.345,0.345,0.017,0.017,1007.92,942.08,12.46
1949.16,0.84,NA,01H,12014.0,589,1361,NA,0.442,0.442,-0.025,-0.025,972.4,977.6,11.28
1949.13,0.87,NA,01H,17019.0,619,1331,NA,0.379,0.379,0.64,0.64,960.56,989.44,12.54
1949.06,0.94,NA,01H,29031.0,693,1257,NA,0.535,0.535,0.084,0.084,930.96,1019.04,13.03
1949.02,0.98,NA,01H,34.5_36.5,730,1220,NA,0.923,0.923,0.348,0.348,907.28,1042.72,13.07
1949.01,0.99,NA,01H,37039.0,742,1208,NA,0.595,0.595,0.066,0.066,889.52,1060.48,12.54
1948.98,1.02,NA,01H,42044.0,773,1177,NA,0.469,0.469,-0.043,-0.043,871.76,1078.24,12.67
1948.96,1.04,NA,01H,46048.0,798,1152,NA,0.812,0.812,-0.053,-0.053,837.563,1112.437,13.51
1948.94,1.06,NA,01H,49051.0,816,1134,NA,0.616,0.616,0.065,0.065,810.169,1139.831,13.08
1948.92,1.08,NA,01H,52054.0,834,1116,NA,0.515,0.515,0.036,0.036,793.732,1156.268,12.18
NA,NA,NA,NA,55.0,NA,1096,1096,NA,NA,NA,NA,717.028,1232.972,11.41
1948.89,1.11,NA,01H,58060.0,874,1076,NA,0.434,0.434,-0.151,-0.151,678.676,1271.324,12.66
1948.86,1.14,NA,01H,63065.0,898,1052,NA,0.579,0.579,-0.054,-0.054,645.803,1304.197,12.99
1948.84,1.16,NA,01H,66068.0,912,1038,NA,0.504,0.504,0.147,0.147,629.366,1320.634,13.08
1948.77,1.23,NA,01H,80082.0,980,970,NA,0.549,0.549,0.318,0.318,612.93,1337.07,13.74
1948.73,1.27,NA,01H,87089.0,1014,936,NA,0.579,0.579,0.039,0.039,596.493,1353.507,14.05
1948.7,1.3,NA,01H,93095.0,1043,907,NA,0.483,0.483,-0.035,-0.035,541.704,1408.296,12.86
1948.68,1.32,NA,01H,96098.0,1058,892,NA,0.704,0.704,-0.054,-0.054,514.31,1435.69,10.28
1948.66,1.34,NA,01H,99101.0,1072,878,NA,0.497,0.497,-0.202,-0.202,492.394,1457.606,NA
1948.65,1.35,NA,01H,102104.0,1087,863,NA,0.483,0.483,-0.271,-0.271,443.955,1506.045,13.28
1948.59,1.41,NA,01H,112114.0,1135,815,NA,0.79,0.79,-0.005,-0.005,422.909,1527.091,13.43
1948.56,1.44,NA,01H,117119.0,1159,791,NA,0.86,0.86,0.571,0.571,417.648,1532.352,14.09
1948.54,1.46,NA,01H,121123.0,1179,771,NA,0.79,0.79,NA,NA,370.295,1579.705,13.48
1948.49,1.51,NA,01H,130132.0,1234,716,NA,0.259,0.259,-0.099,-0.099,359.773,1590.227,12.99
1948.47,1.53,NA,01H,134136.0,1265,685,NA,0.331,0.331,-0.133,-0.133,333.466,1616.534,12.66
1948.47,1.53,NA,01H,135137.0,1273,677,NA,0.206,0.206,-0.281,-0.281,291.375,1658.625,13.79
1948.42,1.58,NA,01H,144146.0,1342,608,NA,0.378,0.378,-0.143,-0.143,270.33,1679.67,13.11
1948.41,1.59,NA,01H,146148.0,1358,592,NA,0.393,0.393,-0.034,-0.034,259.807,1690.193,12.93
1948.38,1.62,NA,01H,2.0,1396,554,NA,0.458,0.458,0.04,0.04,238.761,1711.239,14.34
1948.34,1.66,NA,01H,8010.0,1458,492,NA,0.541,0.541,-0.214,-0.214,228.239,1721.761,14.53
1948.32,1.68,NA,01H,12014.0,1489,461,NA,0.616,0.616,-0.062,-0.062,128.273,1821.727,13.56
1948.31,1.69,NA,01H,14016.0,1504,446,NA,0.339,0.339,-0.02,-0.02,112.489,1837.511,12.54
1948.29,1.71,NA,01H,18020.0,1535,415,NA,0.408,0.408,-0.336,-0.336,65.136,1884.864,12.6
1948.28,1.72,NA,01H,20022.0,1551,399,NA,0.667,0.667,-0.378,-0.378,59.875,1890.125,14.07
1948.18,1.82,NA,01H,39041.0,1698,252,NA,0.484,0.484,-0.161,-0.161,23.045,1926.955,13.19
1948.16,1.84,NA,01H,42044.0,1721,229,NA,0.562,0.562,0.067,0.067,17.784,1932.216,13.12
1948.12,1.88,NA,01H,51053.0,1791,159,NA,0.406,0.406,0.053,0.053,-20.098,1970.098,12.92
1948.11,1.89,NA,01H,52054.0,1798,152,NA,0.336,0.336,-0.275,-0.275,-53.245,2003.245,13.63
1948.07,1.93,NA,01H,59061.0,1852,98,NA,0.336,0.336,-0.079,-0.079,-64.294,2014.294,13.97
1948.07,1.93,NA,01H,60062.0,1860,90,NA,0.484,0.484,-0.064,-0.064,-75.343,2025.343,13.99
1948.03,1.97,NA,01H,67069.0,1905,45,NA,0.294,0.294,-0.019,-0.019,-119.539,2069.539,14.97
1948,2,NA,01H,73075.0,1932,18,NA,0.245,0.245,-0.178,-0.178,-158.211,2108.211,12.4
1947.99,2.01,NA,01H,75077.0,1941,9,NA,0.293,0.293,-0.253,-0.253,-180.309,2130.309,13.48
1947.97,2.03,NA,01H,78079.0,1955,-5,NA,0.42,0.42,-0.258,-0.258,-207.931,2157.931,12.08
1947.93,2.07,NA,01H,86088.0,1991,-41,NA,0.276,0.276,-0.476,-0.476,-263.176,2213.176,13.93
1947.89,2.11,NA,01H,93095.0,2023,-73,NA,0.653,0.653,0.097,0.097,-290.799,2240.799,13.19
1947.87,2.13,NA,01H,97099.0,2041,-91,NA,0.226,0.226,-0.144,-0.144,-312.897,2262.897,13.99
1947.84,2.16,NA,01H,102104.0,2064,-114,NA,0.301,0.301,0.169,0.169,-362.618,2312.618,12.72
1947.79,2.21,NA,01H,112114.0,2109,-159,NA,0.205,0.205,-0.244,-0.244,-401.289,2351.289,12.51
1947.76,2.24,NA,01H,117119.0,2132,-182,NA,0.478,0.478,-0.079,-0.079,-423.387,2373.387,12.69
1947.74,2.26,NA,01H,121123.0,2150,-200,NA,0.28,0.28,-0.258,-0.258,-439.961,2389.961,14
1947.69,2.31,NA,01H,130132.0,NA,NA,NA,0.285,0.285,0.026,0.026,-478.632,2428.632,14.64
1947.65,2.35,NA,01H,137139.0,NA,NA,NA,0.489,0.489,0.072,0.072,-517.304,2467.304,13.09
1947.63,2.37,NA,01H,141143.0,NA,NA,NA,0.539,0.539,0.033,0.033,-544.926,2494.926,14.26
1947.61,2.39,NA,01H,144146.0,NA,NA,NA,0.346,0.346,-0.261,0.074,-555.975,2505.975,13.7
1947.57,2.43,NA,01H,2.0,NA,NA,NA,0.299,0.299,-0.402,-0.402,-578.074,2528.074,12.6
1947.53,2.47,NA,01H,7009.0,NA,NA,NA,0.482,0.482,-0.057,-0.057,-605.696,2555.696,13.39
1947.51,2.49,NA,01H,12014.0,NA,NA,NA,0.254,0.254,-0.318,-0.318,-660.941,2610.941,15.4
1947.49,2.51,NA,01H,14016.0,NA,NA,NA,0.384,0.384,-0.194,-0.194,-683.039,2633.039,12.56
1947.47,2.53,NA,01H,18020.0,NA,NA,NA,0.63,0.63,0.053,0.053,-754.858,2704.858,11.62
1947.44,2.56,NA,01H,23025.0,NA,NA,NA,0.407,0.407,-0.123,-0.188,-799.054,2749.054,14.09
1947.39,2.61,NA,01H,33035.0,NA,NA,NA,0.243,0.243,-0.573,-0.573,-826.676,2776.676,NA
1947.37,2.63,NA,01H,37039.0,NA,NA,NA,0.367,0.367,0.061,0.061,-859.824,2809.824,13.42
1947.3,2.7,NA,01H,50052.0,NA,NA,NA,0.288,0.288,0.272,0.272,-887.446,2837.446,14.66
1947.25,2.75,NA,01H,58060.0,NA,NA,NA,0.286,0.286,-0.281,-0.281,-904.02,2854.02,14.19
1947.22,2.78,NA,01H,63064.0,NA,NA,NA,0.19,0.19,NA,NA,-959.265,2909.265,13.66
1947.19,2.81,NA,01H,69071.0,NA,NA,NA,0.248,0.248,-0.131,-0.131,-992.412,2942.412,12.9
1947.16,2.84,NA,01H,74076.0,NA,NA,NA,0.21,0.21,-0.407,-0.407,-1014.51,2964.51,12.41
1947.15,2.85,NA,01H,77079.0,NA,NA,NA,0.219,0.219,-0.302,-0.302,-1025.559,2975.559,12.84
1947.09,2.91,NA,01H,87089.0,NA,NA,NA,-0.131,-0.131,-0.184,-0.184,-1097.377,3047.377,12.53
1947.06,2.94,NA,01H,93095.0,NA,NA,NA,0.441,0.441,-0.015,-0.015,-1147.514,3097.514,13.55
1947.04,2.96,NA,01H,97098.0,NA,NA,NA,0.148,0.148,0.095,0.095,-1245.075,3195.075,12.43
1947.02,2.98,NA,01H,99101.0,NA,NA,NA,0.193,0.193,-0.002,-0.002,-1297.607,3247.607,12.24
1946.95,3.05,NA,01H,112114.0,NA,NA,NA,0.157,0.157,0.069,0.069,-1335.131,3285.131,15.23
1946.9,3.1,NA,01H,120122.0,NA,NA,NA,-0.156,-0.156,-0.16,-0.16,-1381.816,3331.816,13.72
1946.8,3.2,NA,01H,134136.0,NA,NA,NA,-0.187,-0.187,0.091,0.091,-1435.224,3385.224,13.96
1946.75,3.25,NA,01H,141143.0,NA,NA,NA,0.494,0.494,0.132,0.132,-1461.928,3411.928,13.5
1946.71,3.29,NA,01H,146148.0,NA,NA,NA,-0.186,-0.186,-0.534,-0.534,-1488.631,3438.631,13.82
1946.67,3.33,B,02H,94.0,NA,NA,NA,0.475,0.475,-0.197,-0.197,-1515.335,3465.335,12.36
1946.61,3.39,B,02H,102.0,NA,NA,NA,0.075,0.075,-0.25,-0.25,-1542.039,3492.039,NA
1946.59,3.41,B,02H,106.0,NA,NA,NA,0.253,0.253,-0.148,-0.148,-1568.743,3518.743,NA
1946.56,3.44,B,02H,110.0,NA,NA,NA,0.04,0.04,-0.22,-0.22,-1595.446,3545.446,NA
1946.53,3.47,B,02H,114.0,NA,NA,NA,0.112,0.112,0.106,0.106,-1612,3562,NA
1946.51,3.49,B,2H,118.0,NA,NA,NA,-0.112,-0.112,NA,NA,-1622.15,3572.15,10.72
1946.48,3.52,B,2H,122.0,NA,NA,NA,-0.033,-0.033,NA,NA,-1648.854,3598.854,14.85
1946.45,3.55,B,2H,126.0,NA,NA,NA,-0.203,-0.203,NA,NA,-1675.558,3625.558,12.31
1946.44,3.56,NA,01H,12014.0,NA,NA,NA,NA,NA,NA,NA,-1702.261,3652.261,14.31
1946.43,3.57,B,2H,130.0,NA,NA,NA,-0.009,-0.009,0.472,0.472,-1723,3673,NA
1946.4,3.6,B,2H,134.0,NA,NA,NA,0.005,0.005,-0.449,-0.449,-1728.965,3678.965,12.08
1946.37,3.63,B,2H,138.0,NA,NA,NA,0.121,0.121,0.117,0.117,-1809.076,3759.076,13.85
1946.35,3.65,B,2H,142.0,NA,NA,NA,-0.049,-0.049,-0.33,-0.33,-1835.78,3785.78,14.83
1946.33,3.67,NA,01H,21023.0,NA,NA,NA,NA,NA,NA,NA,-1862.484,3812.484,14
1946.32,3.68,B,2H,146.0,NA,NA,NA,0.193,0.193,0.168,0.168,-1889.187,3839.187,NA
1946.24,3.76,B,2H,2.0,NA,NA,NA,0.221,0.221,-0.227,0.261,-1915.891,3865.891,14.54
1946.21,3.79,B,2H,6.0,NA,NA,NA,0.134,0.134,-0.445,-0.445,-1942.595,3892.595,14.04
1946.19,3.81,B,2H,10.0,NA,NA,NA,0.032,0.032,-0.26,-0.26,-1969.299,3919.299,15.31
1946.16,3.84,B,2H,14.0,NA,NA,NA,0.12,0.12,NA,NA,-1996.002,3946.002,14.01
1946.13,3.87,B,2H,18.0,NA,NA,NA,0.229,0.229,-0.381,-0.381,-2022.706,3972.706,12.12
1946.11,3.89,B,2H,22.0,NA,NA,NA,0.136,0.136,-0.268,-0.268,-2049.41,3999.41,15.2
1946.08,3.92,B,2H,26.0,NA,NA,NA,0.129,0.129,-0.553,-0.553,-2076.114,4026.114,15.86
1946.05,3.95,B,2H,30.0,NA,NA,NA,0.155,0.155,-0.263,-0.263,-2129.521,4079.521,15.55
1946.03,3.97,B,2H,34.0,NA,NA,NA,0.105,0.105,0.16,0.16,-2162.901,4112.901,15.65
1946,4,B,2H,38.0,NA,NA,NA,0.16,0.16,-0.527,-0.527,-2182.929,4132.929,15.7
1945.97,4.03,B,2H,42.0,NA,NA,NA,0.217,0.217,-0.675,-0.675,-2209.632,4159.632,NA
1945.92,4.08,B,2H,50.0,NA,NA,NA,0.156,0.156,-0.607,-0.607,-2236.336,4186.336,15.33
1945.89,4.11,B,2H,54.0,NA,NA,NA,0.405,0.405,-0.629,-0.629,-2263.04,4213.04,14.91
1945.87,4.13,B,2H,58.0,NA,NA,NA,0.316,0.316,-0.64,-0.64,-2289.744,4239.744,15.94
1945.84,4.16,B,2H,62.0,NA,NA,NA,NA,NA,NA,NA,-2316.447,4266.447,14.22
1945.81,4.19,B,2H,66.0,NA,NA,NA,0.21,0.21,-0.557,-0.557,-2343.151,4293.151,15.73
1945.79,4.21,B,2H,70.0,NA,NA,NA,0.286,0.286,-0.464,-0.464,-2369.855,4319.855,14.97
1945.76,4.24,B,2H,74.0,NA,NA,NA,0.153,0.153,-0.694,-0.694,-2396.559,4346.559,NA
1945.73,4.27,B,2H,78.0,NA,NA,NA,0.398,0.398,-0.309,-0.309,-2423.262,4373.262,NA
1945.71,4.29,B,2H,82.0,NA,NA,NA,0.294,0.294,-0.646,-0.646,-2449.966,4399.966,14.76
1945.68,4.32,B,2H,86.0,NA,NA,NA,0.279,0.279,-0.477,-0.477,-2603.421,4553.421,13.85
1945.65,4.35,B,2H,90.0,NA,NA,NA,NA,NA,NA,NA,-2640.944,4590.944,13.4
1945.63,4.37,B,2H,94.0,NA,NA,NA,NA,NA,NA,NA,-2685.972,4635.972,15.73
1945.6,4.4,B,2H,98.0,NA,NA,NA,0.346,0.346,-0.429,-0.429,-2775.206,4725.206,13.46
1945.45,4.55,NA,02H,38040.0,NA,NA,NA,0.338,0.338,-0.227,-0.227,-2845.935,4795.935,12.24
1945.41,4.59,NA,02H,43045.0,NA,NA,NA,0.656,0.656,-0.125,-0.125,-2898.982,4848.982,14.65
1945.36,4.64,NA,02H,49051.0,NA,NA,NA,0.136,0.136,-0.645,-0.645,-3005.076,4955.076,14.36
1945.27,4.73,NA,02H,60062.0,NA,NA,NA,0.309,0.309,-0.14,-0.14,-3075.806,5025.806,15.07
1945.2,4.8,NA,02H,68070.0,NA,NA,NA,0.639,0.639,0.133,0.133,-3137.694,5087.694,13.65
1945.15,4.85,NA,02H,74076.0,NA,NA,NA,0.465,0.465,-0.404,-0.404,-3305.676,5255.676,13.24
1945.04,4.96,NA,02H,85087.0,NA,NA,NA,0.215,0.215,-0.34,-0.34,-3473.659,5423.659,13.8
1944.97,5.03,NA,02H,93095.0,NA,NA,NA,0.537,0.537,-0.499,-0.499,-3544.388,5494.388,13.19
1944.91,5.09,NA,02H,100102.0,NA,NA,NA,0.394,0.394,-0.182,-0.182,-3703.529,5653.529,13.98
1944.74,5.26,NA,02H,119121.0,NA,NA,NA,0.718,0.718,-0.09,-0.09,-3765.418,5715.418,14.22
1944.58,5.42,NA,02H,138140.0,NA,NA,NA,0.247,0.247,-0.216,-0.216,-3818.465,5768.465,13.44
1944.51,5.49,NA,02H,146148.0,NA,NA,NA,0.488,0.488,-0.08,-0.08,-3871.512,5821.512,14.67
1944.35,5.65,NA,02H,12.0,NA,NA,NA,0.321,0.321,-0.256,-0.256,-3906.876,5856.876,13.71
1944.28,5.72,NA,02H,19021.0,NA,NA,NA,0.533,0.533,-0.31,-0.31,-4057.176,6007.176,12.96
1944.23,5.77,NA,02H,24.0,NA,NA,NA,0.289,0.289,-0.134,-0.134,-4189.794,6139.794,14.16
1944.18,5.82,NA,02H,30032.0,NA,NA,NA,0.111,0.111,-0.409,-0.409,-4248.845,6198.845,13.6
1944.14,5.86,NA,02H,34.0,NA,NA,NA,0.127,0.127,-0.196,-0.196,-4293.382,6243.382,14.06
1943.99,6.01,NA,02H,51.0,NA,NA,NA,0.329,0.33,-0.028,-0.027,-4375.032,6325.032,12.51
1943.86,6.14,NA,02H,66.0,NA,NA,NA,0.31,0.324,-0.295,-0.281,-4404.723,6354.723,13.39
1943.8,6.2,NA,02H,77.0,NA,NA,NA,0.265,0.285,-0.171,-0.151,-4516.064,6466.064,14.02
1943.76,6.24,NA,02H,83.0,NA,NA,NA,0.28,0.304,-0.274,-0.25,-4568.023,6518.023,13.66
1943.67,6.33,NA,02H,93095.0,NA,NA,NA,0.629,0.662,0.073,0.106,-4597.714,6547.714,14.46
1943.65,6.35,NA,02H,97.0,NA,NA,NA,-0.185,-0.15,-0.123,-0.088,-4634.827,6584.827,12.71
1943.53,6.47,NA,02H,112114.0,NA,NA,NA,0.101,0.148,-0.265,-0.218,-4694.209,6644.209,13.85
1943.48,6.52,NA,02H,119121.0,NA,NA,NA,0.594,0.646,-0.184,-0.132,-4775.859,6725.859,13.38
1943.45,6.55,NA,02H,123125.0,NA,NA,NA,0.143,0.198,-0.362,-0.307,-4790.705,6740.705,14.31
1943.42,6.58,NA,02H,128130.0,NA,NA,NA,0.228,0.286,0.029,0.087,-4864.932,6814.932,14.63
1943.36,6.64,NA,02H,136138.0,NA,NA,NA,0.406,0.47,-0.226,-0.162,-4946.582,6896.582,14.55
1943.27,6.73,NA,02H,146148.0,NA,NA,NA,0.677,0.75,-0.123,-0.05,-5028.232,6978.232,14.36
1943.26,6.74,NA,02H,148.0,NA,NA,NA,0.363,0.437,-0.328,-0.254,-5228.645,7178.645,14.11
1943.19,6.81,NA,02H,11013.0,NA,NA,NA,0.345,0.426,-0.401,-0.32,-5258.336,7208.336,14.86
1943.1,6.9,NA,02H,23025.0,NA,NA,NA,0.306,0.396,-0.382,-0.292,-5354.832,7304.832,14.6
1943.02,6.98,NA,02H,38040.0,NA,NA,NA,0.193,0.291,-0.34,-0.242,-5399.368,7349.368,13.28
1942.82,7.18,NA,02H,68070.0,NA,NA,NA,0.08,0.198,-0.284,-0.166,-5436.482,7386.482,14.39
1942.79,7.21,NA,02H,72074.0,NA,NA,NA,0.172,0.293,-0.452,-0.331,-5525.555,7475.555,14.15
1942.7,7.3,NA,02H,86088.0,NA,NA,NA,0.245,0.375,-0.394,-0.264,-5577.514,7527.514,NA
1942.65,7.35,NA,02H,93095.0,NA,NA,NA,0.054,0.189,-0.099,0.036,-5614.627,7564.627,13.54
1942.61,7.39,NA,02H,98100.0,NA,NA,NA,0.16,0.299,-0.348,-0.209,-5718.545,7668.545,13.74
1942.52,7.48,NA,02H,112114.0,NA,NA,NA,0.036,0.184,-0.294,-0.146,-5844.732,7794.732,14.69
1942.47,7.53,NA,02H,119121.0,NA,NA,NA,0.547,0.7,0,0.408,-5908.489,7858.489,14.69
1942.44,7.56,NA,02H,128130.0,NA,NA,NA,0.04,0.196,-0.156,0,-5984.553,7934.553,13.95
1942.33,7.67,NA,02H,146148.0,NA,NA,NA,0.428,0.595,-0.203,-0.036,-6032.957,7982.957,13.93
1942.21,7.79,NA,02H,13015.0,NA,NA,NA,0.399,0.578,-0.413,-0.234,-6060.617,8010.617,15.37
1942.14,7.86,NA,02H,24026.0,NA,NA,NA,0.456,0.642,-0.414,-0.228,-6150.511,8100.511,14.52
1942.07,7.93,NA,02H,34036.0,NA,NA,NA,0.294,0.487,-0.249,-0.056,-6220.482,8170.482,13.08
1942.02,7.98,NA,02H,43045.0,NA,NA,NA,0.302,0.5,-0.243,-0.045,-6294.536,8244.536,14.39
1941.99,8.01,NA,02H,47049.0,NA,NA,NA,0.313,0.514,-0.566,-0.365,-6328.714,8278.714,13.12
1941.9,8.1,NA,02H,62064.0,NA,NA,NA,0.216,0.426,-0.375,-0.165,-6340.107,8290.107,13.21
1941.83,8.17,NA,02H,72074.0,NA,NA,NA,0.52,0.737,-0.055,0.162,-6411.348,8361.348,13.81
1941.76,8.24,NA,02H,87089.0,NA,NA,NA,0.339,0.563,-0.346,-0.122,-6459.227,8409.227,13.61
1941.72,8.28,NA,02H,93095.0,NA,NA,NA,0.209,0.437,-0.064,0.164,-6483.167,8433.167,12.85
1941.71,8.29,NA,02H,95097.0,NA,NA,NA,0.388,0.617,-0.083,0.146,-6513.091,8463.091,13.39
1941.64,8.36,NA,02H,112114.0,NA,NA,NA,0.22,0.456,-0.217,0.019,-6560.97,8510.97,13.84
1941.59,8.41,NA,02H,119121.0,NA,NA,NA,0.289,0.53,-0.173,0.068,-6626.803,8576.803,12.94
1941.57,8.43,NA,02H,123125.0,NA,NA,NA,0.231,0.474,-0.002,0.241,-6722.561,8672.561,12.29
1941.54,8.46,NA,02H,128130.0,NA,NA,NA,0.071,0.317,-0.123,0.123,-6734.53,8684.53,13
1941.49,8.51,NA,02H,136138.0,NA,NA,NA,0.291,0.542,-0.224,0.027,-6750.85,8700.85,NA
1941.42,8.58,NA,02H,146148.0,NA,NA,NA,0.378,0.636,-0.024,0.234,-6794.379,8744.379,14.47
1941.33,8.67,NA,02H,17019.0,NA,NA,NA,0.606,0.873,0.122,0.389,-6818.31,8768.31,NA
1941.32,8.68,NA,02H,19021.0,NA,NA,NA,0.285,0.553,-0.036,0.232,-6872.182,8822.182,12.2
1941.3,8.7,NA,02H,22024.0,NA,NA,NA,NA,NA,NA,NA,-6914.076,8864.076,12.11
1941.26,8.74,NA,02H,30032.0,NA,NA,NA,0.385,0.659,-0.364,-0.09,-6954.593,8904.593,13.5
1941.23,8.77,NA,02H,34036.0,NA,NA,NA,NA,NA,NA,NA,-6982.841,8932.841,12.59
1941.18,8.82,NA,02H,43045.0,NA,NA,NA,0.498,0.78,0.143,0.425,-7067.585,9017.585,12.59
1941.14,8.86,NA,02H,50052.0,NA,NA,NA,0.22,0.506,0.162,0.448,-7113.488,9063.488,13.59
1941.1,8.9,NA,02H,62064.0,NA,NA,NA,0.354,0.644,-0.148,0.142,-7138.205,9088.205,13.64
1941.07,8.93,NA,02H,72074.0,NA,NA,NA,0.294,0.587,0.055,0.348,-7201.762,9151.762,13.75
1940.98,9.02,NA,02H,97099.0,NA,NA,NA,0.294,0.587,0.055,0.145,-7219.417,9169.417,14.15
1940.94,9.06,NA,02H,112114.0,NA,NA,NA,0.512,0.818,-0.169,0.137,-7275.913,9225.913,13.02
1940.91,9.09,NA,02H,119121.0,NA,NA,NA,0.564,0.873,-0.179,0.13,-7300.63,9250.63,14.47
1940.85,9.15,NA,02H,138140.0,NA,NA,NA,0.233,0.548,-0.205,0.11,-7311.223,9261.223,13.98
1940.83,9.17,NA,02H,146148.0,NA,NA,NA,0.531,0.848,-0.293,0.024,-7343.002,9293.002,14.56
1940.77,9.23,NA,02H,12014.0,NA,NA,NA,0.406,0.729,-0.041,0.282,-7367.719,9317.719,13.42
1940.75,9.25,NA,02H,19021.0,NA,NA,NA,0.355,0.68,-0.365,-0.04,-7431.277,9381.277,13.19
1940.74,9.26,NA,02H,22024.0,NA,NA,NA,0.321,0.647,-0.255,0.071,-7452.463,9402.463,13.4
1940.71,9.29,NA,02H,34036.0,NA,NA,NA,0.454,0.783,-0.384,-0.055,-7470.118,9420.118,NA
1940.68,9.32,NA,02H,43045.0,NA,NA,NA,0.437,0.769,-0.131,0.201,-7480.711,9430.711,14.61
1940.62,9.38,NA,02H,61063.0,NA,NA,NA,0.275,0.613,-0.08,0.258,-7482.48,9432.48,NA
1940.6,9.4,NA,02H,68070.0,NA,NA,NA,0.497,0.837,-0.125,0.215,-7498.366,9448.366,14.14
1940.58,9.42,NA,02H,73075.0,NA,NA,NA,NA,NA,NA,NA,-7540.738,9490.738,12.48
