year (AD),age (BP),d18O_VPBD (permil)
-3053.681,5003.681,-13.316
-3103.767,5053.767,-12.956
-3154.124,5104.124,-13.121
-3204.798,5154.798,-13.299
-3255.839,5205.839,-13.031
-3307.294,5257.294,-12.636
-3359.212,5309.212,-12.924
-3411.641,5361.641,-12.518
-3464.629,5414.629,-12.393
-3518.224,5468.224,-12.736
-3545.265,5495.265,-12.763
-3572.475,5522.475,-12.642
-3599.861,5549.861,-12.835
-3655.186,5605.186,-12.807
-3711.286,5661.286,-12.671
-3768.211,5718.211,-12.783
-3826.007,5776.007,-13.007
-3884.725,5834.725,-12.746
-3944.411,5894.411,-11.739
-4005.114,5955.114,-12.677
-4066.882,6016.882,-12.584
-4129.764,6079.764,-12.142
-4193.807,6143.807,-12.57
-4259.059,6209.059,-12.282
-4325.57,6275.57,-12.911
-4393.387,6343.387,-12.679
-4462.558,6412.558,-12.642
-4533.131,6483.131,-12.445
-4605.155,6555.155,-12.854
-4678.678,6628.678,-12.674
-4753.748,6703.748,-12.395
-4830.413,6780.413,-12.797
-4888.988,6838.988,-12.253
-4928.561,6878.561,-12.081
-4968.561,6918.561,-13.03
-5008.992,6958.992,-13.813
-5049.861,6999.861,-12.904
-5070.462,7020.462,-12.646
-5239.354,7189.354,-11.929
-5695.405,7645.405,-12.896
-6204.589,8154.589,-11.505
