year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],year (AD) [2-1],age (BP) [2-1],temperature (degC) [2-1]
NA,NA,NA,-1304,3254,19.3
NA,NA,NA,-1323,3273,19.4
NA,NA,NA,-1343,3293,19.5
NA,NA,NA,-1362,3312,19.2
NA,NA,NA,-1382,3332,19.5
NA,NA,NA,-1401,3351,19.5
NA,NA,NA,-1421,3371,19.3
NA,NA,NA,-1440,3390,19.3
NA,NA,NA,-1460,3410,19.4
NA,NA,NA,-1479,3429,19.4
NA,NA,NA,-1499,3449,19.6
NA,NA,NA,-1518,3468,19.6
NA,NA,NA,-1538,3488,19.6
NA,NA,NA,-1557,3507,19.6
NA,NA,NA,-1577,3527,19.6
NA,NA,NA,-1596,3546,19.8
NA,NA,NA,-1616,3566,19.7
NA,NA,NA,-1635,3585,19.8
NA,NA,NA,-1654,3604,19.7
NA,NA,NA,-1674,3624,19.9
NA,NA,NA,-1713,3663,19.7
NA,NA,NA,-1752,3702,19.8
NA,NA,NA,-1791,3741,19.9
NA,NA,NA,-1830,3780,19.9
NA,NA,NA,-1869,3819,19.8
NA,NA,NA,-1908,3858,19.8
NA,NA,NA,-1947,3897,19.8
NA,NA,NA,-1986,3936,19.9
NA,NA,NA,-2025,3975,19.6
NA,NA,NA,-2064,4014,19.4
NA,NA,NA,-2103,4053,19.6
NA,NA,NA,-2142,4092,19.6
NA,NA,NA,-2181,4131,19.6
NA,NA,NA,-2220,4170,19.5
NA,NA,NA,-2259,4209,19.5
NA,NA,NA,-2298,4248,19.6
NA,NA,NA,-2337,4287,19.6
NA,NA,NA,-2376,4326,19.5
NA,NA,NA,-2415,4365,19.5
NA,NA,NA,-2454,4404,19.6
NA,NA,NA,-2493,4443,19.5
NA,NA,NA,-2532,4482,19.5
NA,NA,NA,-2571,4521,19.5
NA,NA,NA,-2610,4560,19.6
NA,NA,NA,-2649,4599,19.7
NA,NA,NA,-2688,4638,19.6
NA,NA,NA,-2727,4677,19.6
NA,NA,NA,-2766,4716,19.5
NA,NA,NA,-2805,4755,19.8
NA,NA,NA,-2844,4794,19.8
NA,NA,NA,-2889,4839,19.7
NA,NA,NA,-2938,4888,19.6
NA,NA,NA,-2987,4937,19.5
NA,NA,NA,-3037,4987,19.6
NA,NA,NA,-3086,5036,19.7
NA,NA,NA,-3135,5085,19.8
NA,NA,NA,-3184,5134,19.7
NA,NA,NA,-3234,5184,19.7
NA,NA,NA,-3283,5233,19.8
NA,NA,NA,-3332,5282,20
NA,NA,NA,-3373,5323,19.9
NA,NA,NA,-3404,5354,19.9
NA,NA,NA,-3435,5385,19.9
NA,NA,NA,-3466,5416,20
NA,NA,NA,-3497,5447,19.6
NA,NA,NA,-3528,5478,19.9
NA,NA,NA,-3559,5509,19.8
NA,NA,NA,-3590,5540,19.9
NA,NA,NA,-3621,5571,19.8
NA,NA,NA,-3652,5602,19.7
NA,NA,NA,-3683,5633,19.8
NA,NA,NA,-3714,5664,19.8
NA,NA,NA,-3745,5695,19.9
NA,NA,NA,-3776,5726,19.9
NA,NA,NA,-3807,5757,19.9
NA,NA,NA,-3838,5788,19.9
NA,NA,NA,-3869,5819,19.8
NA,NA,NA,-3900,5850,19.8
NA,NA,NA,-3931,5881,19.8
NA,NA,NA,-3962,5912,20
NA,NA,NA,-3993,5943,20.1
NA,NA,NA,-4024,5974,20.1
NA,NA,NA,-4055,6005,20.1
NA,NA,NA,-4086,6036,20.1
NA,NA,NA,-4117,6067,20.1
NA,NA,NA,-4148,6098,20.2
NA,NA,NA,-4179,6129,20.3
NA,NA,NA,-4210,6160,20.4
NA,NA,NA,-4241,6191,20.3
NA,NA,NA,-4272,6222,20.2
NA,NA,NA,-4303,6253,20.1
NA,NA,NA,-4334,6284,20
NA,NA,NA,-4365,6315,20.2
NA,NA,NA,-4396,6346,20.2
NA,NA,NA,-4427,6377,20.5
NA,NA,NA,-4458,6408,20.5
NA,NA,NA,-4489,6439,20.4
NA,NA,NA,-4520,6470,20.4
NA,NA,NA,-4551,6501,20.5
NA,NA,NA,-4582,6532,20.5
NA,NA,NA,-4613,6563,20.5
NA,NA,NA,-4642,6592,20.4
NA,NA,NA,-4671,6621,20.2
NA,NA,NA,-4700,6650,20.4
NA,NA,NA,-4729,6679,20.4
NA,NA,NA,-4758,6708,20.4
NA,NA,NA,-4787,6737,20.5
NA,NA,NA,-4816,6766,20.5
NA,NA,NA,-4845,6795,20.6
NA,NA,NA,-4874,6824,20.3
NA,NA,NA,-4903,6853,20.2
NA,NA,NA,-4932,6882,20.3
NA,NA,NA,-4961,6911,20.2
NA,NA,NA,-4990,6940,20.6
NA,NA,NA,-5019,6969,20.7
NA,NA,NA,-5049,6999,20.6
NA,NA,NA,-5078,7028,20.6
NA,NA,NA,-5107,7057,20.4
NA,NA,NA,-5136,7086,20.5
NA,NA,NA,-5165,7115,20.5
NA,NA,NA,-5194,7144,20.6
NA,NA,NA,-5223,7173,20.6
NA,NA,NA,-5252,7202,20.5
NA,NA,NA,-5292,7242,20.4
NA,NA,NA,-5332,7282,20.5
NA,NA,NA,-5372,7322,20.4
NA,NA,NA,-5411,7361,20.4
NA,NA,NA,-5451,7401,20.3
NA,NA,NA,-5491,7441,20.2
NA,NA,NA,-5531,7481,20.2
NA,NA,NA,-5571,7521,20.2
NA,NA,NA,-5611,7561,20.4
NA,NA,NA,-5651,7601,20.3
NA,NA,NA,-5690,7640,20.4
NA,NA,NA,-5730,7680,20.3
NA,NA,NA,-5770,7720,20.3
NA,NA,NA,-5810,7760,20.2
NA,NA,NA,-5850,7800,20.1
NA,NA,NA,-5890,7840,20.2
NA,NA,NA,-5929,7879,20.1
NA,NA,NA,-5969,7919,20.1
NA,NA,NA,-6009,7959,20.1
NA,NA,NA,-6049,7999,20.4
NA,NA,NA,-6098,8048,20.3
NA,NA,NA,-6148,8098,20.3
NA,NA,NA,-6197,8147,20.3
NA,NA,NA,-6246,8196,20.4
NA,NA,NA,-6295,8245,20.2
NA,NA,NA,-6345,8295,20.2
NA,NA,NA,-6394,8344,19.7
NA,NA,NA,-6443,8393,19.6
NA,NA,NA,-6493,8443,19.6
NA,NA,NA,-6542,8492,19.7
NA,NA,NA,-6591,8541,19.7
NA,NA,NA,-6640,8590,19.7
NA,NA,NA,-6675,8625,19.9
NA,NA,NA,-6696,8646,20
NA,NA,NA,-6717,8667,20.4
NA,NA,NA,-6737,8687,20.3
NA,NA,NA,-6758,8708,20.2
NA,NA,NA,-6779,8729,20.3
NA,NA,NA,-6799,8749,20.5
NA,NA,NA,-6820,8770,20.3
NA,NA,NA,-6841,8791,20.4
NA,NA,NA,-6861,8811,20.5
NA,NA,NA,-6882,8832,20.5
NA,NA,NA,-6902,8852,20.3
NA,NA,NA,-6923,8873,20.3
NA,NA,NA,-6944,8894,20.4
NA,NA,NA,-6964,8914,20.4
NA,NA,NA,-6985,8935,20.4
NA,NA,NA,-7006,8956,20.4
NA,NA,NA,-7026,8976,20.5
NA,NA,NA,-7047,8997,20.4
NA,NA,NA,-7068,9018,20.5
NA,NA,NA,-7086,9036,20.5
NA,NA,NA,-7102,9052,20.4
NA,NA,NA,-7119,9069,20.4
NA,NA,NA,-7135,9085,20.4
NA,NA,NA,-7151,9101,20.7
NA,NA,NA,-7167,9117,20.5
NA,NA,NA,-7184,9134,20.6
NA,NA,NA,-7200,9150,20.7
NA,NA,NA,-7216,9166,20.9
NA,NA,NA,-7232,9182,20.7
NA,NA,NA,-7249,9199,20.6
NA,NA,NA,-7265,9215,20.6
NA,NA,NA,-7281,9231,20.5
NA,NA,NA,-7297,9247,20.5
NA,NA,NA,-7313,9263,20.6
NA,NA,NA,-7330,9280,20.5
NA,NA,NA,-7346,9296,20.4
NA,NA,NA,-7362,9312,20.6
NA,NA,NA,-7378,9328,20.5
NA,NA,NA,-7395,9345,20.4
NA,NA,NA,-7411,9361,20.2
NA,NA,NA,-7427,9377,20.2
NA,NA,NA,-7443,9393,20.3
NA,NA,NA,-7460,9410,20.9
NA,NA,NA,-7476,9426,20.8
NA,NA,NA,-7487,9437,20.8
NA,NA,NA,-7493,9443,20.7
NA,NA,NA,-7498,9448,20.7
NA,NA,NA,-7504,9454,20.7
NA,NA,NA,-7510,9460,20.7
NA,NA,NA,-7516,9466,20.6
NA,NA,NA,-7521,9471,20.7
NA,NA,NA,-7527,9477,20.6
NA,NA,NA,-7533,9483,20.5
NA,NA,NA,-7538,9488,20.5
NA,NA,NA,-7544,9494,20.5
NA,NA,NA,-7550,9500,20.5
NA,NA,NA,-7556,9506,20.4
NA,NA,NA,-7561,9511,20.8
NA,NA,NA,-7567,9517,20.7
NA,NA,NA,-7573,9523,20.8
NA,NA,NA,-7579,9529,20.7
NA,NA,NA,-7584,9534,20.6
NA,NA,NA,-7590,9540,20.8
NA,NA,NA,-7596,9546,20.8
NA,NA,NA,-7602,9552,20.4
NA,NA,NA,-7607,9557,20.4
NA,NA,NA,-7613,9563,20.2
NA,NA,NA,-7619,9569,20.6
NA,NA,NA,-7624,9574,20.4
NA,NA,NA,-7630,9580,20.4
NA,NA,NA,-7636,9586,20.3
NA,NA,NA,-7642,9592,20.4
NA,NA,NA,-7647,9597,20.4
NA,NA,NA,-7653,9603,20.4
NA,NA,NA,-7667,9617,20.4
NA,NA,NA,-7689,9639,20.5
NA,NA,NA,-7710,9660,20.3
NA,NA,NA,-7732,9682,20.3
NA,NA,NA,-7754,9704,20.2
NA,NA,NA,-7775,9725,20.2
NA,NA,NA,-7797,9747,20.2
NA,NA,NA,-7819,9769,20.4
NA,NA,NA,-7841,9791,20.3
NA,NA,NA,-7862,9812,20.5
NA,NA,NA,-7884,9834,20.4
NA,NA,NA,-7906,9856,20.5
NA,NA,NA,-7928,9878,20.5
NA,NA,NA,-7949,9899,20.4
NA,NA,NA,-7971,9921,20.4
NA,NA,NA,-7993,9943,20.4
NA,NA,NA,-8014,9964,20.3
NA,NA,NA,-8036,9986,20.3
NA,NA,NA,-8058,10008,20.1
NA,NA,NA,-8080,10030,20.3
NA,NA,NA,-8101,10051,20.2
NA,NA,NA,-8123,10073,20.4
NA,NA,NA,-8145,10095,20.6
NA,NA,NA,-8166,10116,20.2
NA,NA,NA,-8188,10138,20.3
NA,NA,NA,-8210,10160,20.1
NA,NA,NA,-8232,10182,20.4
NA,NA,NA,-8253,10203,20.3
NA,NA,NA,-8275,10225,20.4
NA,NA,NA,-8297,10247,20.4
NA,NA,NA,-8319,10269,20.4
NA,NA,NA,-8340,10290,20.4
NA,NA,NA,-8362,10312,20.4
NA,NA,NA,-8369,10319,20.4
NA,NA,NA,-8376,10326,20.2
NA,NA,NA,-8383,10333,20.3
NA,NA,NA,-8390,10340,20.2
NA,NA,NA,-8397,10347,20.2
NA,NA,NA,-8404,10354,20.3
NA,NA,NA,-8411,10361,20.2
NA,NA,NA,-8418,10368,20.4
NA,NA,NA,-8425,10375,20.3
NA,NA,NA,-8432,10382,20.5
NA,NA,NA,-8440,10390,20.4
NA,NA,NA,-8447,10397,20.4
NA,NA,NA,-8454,10404,20.5
NA,NA,NA,-8461,10411,20.6
NA,NA,NA,-8468,10418,20.6
NA,NA,NA,-8475,10425,20.6
NA,NA,NA,-8482,10432,20.7
NA,NA,NA,-8489,10439,20.5
NA,NA,NA,-8496,10446,20.5
NA,NA,NA,-8503,10453,20.6
NA,NA,NA,-8510,10460,20.8
NA,NA,NA,-8517,10467,20.6
NA,NA,NA,-8524,10474,20.6
NA,NA,NA,-8531,10481,20.5
NA,NA,NA,-8538,10488,20.5
NA,NA,NA,-8545,10495,20.4
NA,NA,NA,-8552,10502,20.5
