year (AD),age (BP),depth (m),dD (permil),sampleID (missing),d18O (missing),deutEx (missing)
1018.67,931.33,47.3,-402.3,87,-51.45,9.3
1004.91,945.09,47.85,-400.1,88,-51.04,8.2
991.11,958.89,48.4,-399.4,89,-51.16,9.9
977.33,972.67,48.95,-400.6,90,-51.28,9.6
963.52,986.48,49.5,-393.8,91,-50.41,9.5
949.51,1000.49,50.05,-398.5,92,-51.06,10
935.48,1014.52,50.6,-398.7,93,-50.98,9.1
921.45,1028.55,51.15,-401.8,94,-51.55,10.6
907.44,1042.56,51.7,-395.2,95,-50.61,9.7
893.45,1056.55,52.25,-390.1,96,-49.76,8
879.41,1070.59,52.8,-393.9,97,-50.36,9
865.35,1084.65,53.35,-400.6,98,-51.06,7.9
851.42,1098.58,53.9,-400.9,99,-51.2,8.7
837.51,1112.49,54.45,-391.7,100,-50.17,9.7
823.5,1126.5,55,-399.3,101,-51.09,9.4
809.44,1140.56,55.55,-386.7,102,-49.6,10.1
795.32,1154.68,56.1,-401.5,103,-51.35,9.3
781.25,1168.75,56.65,-398.1,104,-50.9,9.1
767.28,1182.72,57.2,-390.4,105,-49.91,8.9
753.31,1196.69,57.75,-389.8,106,-49.89,9.3
739.36,1210.64,58.3,-390.7,107,-50.1,10.1
725.43,1224.57,58.85,-399.3,108,-51.15,9.9
711.49,1238.51,59.4,-392.5,109,-50.29,9.8
697.36,1252.64,59.95,-393.8,110,-50.31,8.7
683.19,1266.81,60.5,-394.4,111,-50.3,8
668.97,1281.03,61.05,-397,112,-50.8,9.4
654.76,1295.24,61.6,-397.8,113,-50.77,8.4
640.56,1309.44,62.15,-388.6,114,-49.77,9.6
626.23,1323.77,62.7,-394.7,115,-50.47,9.1
611.75,1338.25,63.25,-390.6,116,-50,9.4
597.22,1352.78,63.8,-397,117,-50.9,10.2
582.66,1367.34,64.35,-386.6,118,-49.43,8.8
568.08,1381.92,64.9,-390.6,119,-50.25,11.4
553.46,1396.54,65.45,-397,120,-50.89,10.1
538.63,1411.37,66,-396.1,121,-50.76,10
523.66,1426.34,66.55,-398.9,122,-51,9.1
508.4,1441.6,67.1,-400.2,123,-51.03,8
493.11,1456.89,67.65,-398.7,124,-50.98,9.1
477.83,1472.17,68.2,-389.7,125,-49.87,9.3
462.52,1487.48,68.75,-401.6,126,-51.44,9.9
447.16,1502.84,69.3,-397.9,127,-50.93,9.5
431.6,1518.4,69.85,-399.2,128,-50.99,8.7
415.95,1534.05,70.4,-397.6,129,-50.65,7.6
400.24,1549.76,70.95,-390.5,130,-50.03,9.7
384.51,1565.49,71.5,-401.5,131,-51.38,9.5
368.75,1581.25,72.05,-395.7,132,-50.48,8.1
352.93,1597.07,72.6,-394.5,133,-50.38,8.5
336.98,1613.02,73.15,-402.9,134,-51.65,10.3
320.93,1629.07,73.7,-401,135,-51.3,9.4
304.76,1645.24,74.25,-391.5,136,-50.27,10.7
288.64,1661.36,74.8,-403.4,137,-51.61,9.5
272.58,1677.42,75.35,-393.4,138,-50.43,10
256.67,1693.33,75.9,-393.8,139,-50.47,10
240.71,1709.29,76.45,-400.8,140,-51.28,9.4
224.25,1725.75,77,-399.3,141,-51.11,9.6
207.73,1742.27,77.55,-396.6,142,-50.64,8.5
191.3,1758.7,78.1,-395.3,143,-50.55,9.1
174.94,1775.06,78.65,-392.6,144,-50.16,8.7
158.67,1791.33,79.2,-404.4,145,-51.68,9
142.25,1807.75,79.75,-394.4,146,-50.68,11
125.71,1824.29,80.3,-402.2,147,-51.41,9.1
109.25,1840.75,80.85,-401.9,148,-51.45,9.7
92.82,1857.18,81.4,-393.8,149,-50.2,7.8
76.35,1873.65,81.95,-402.3,150,-51.44,9.2
59.85,1890.15,82.5,-385.1,151,-49.36,9.8
43.29,1906.71,83.05,-395.9,152,-50.68,9.5
26.79,1923.21,83.6,-395.8,153,-50.65,9.4
10.45,1939.55,84.15,-398.2,154,-50.89,8.9
-6.13,1956.13,84.7,-394.8,155,-50.56,9.7
-23.01,1973.01,85.25,-397.7,156,-50.77,8.5
-39.91,1989.91,85.8,-400.3,157,-51.29,10
-56.82,2006.82,86.35,-402.4,158,-51.34,8.3
-73.8,2023.8,86.9,-396,159,-50.33,6.6
-90.81,2040.81,87.45,-401.4,160,-51.36,9.5
-107.91,2057.91,88,-386.1,161,-49.56,10.4
-125.06,2075.06,88.55,-400.1,162,-51.17,9.3
-142.34,2092.34,89.1,-400.3,163,-51.13,8.7
-159.61,2109.61,89.65,-393.2,164,-50.3,9.2
-176.85,2126.85,90.2,-399.7,165,-51.1,9.1
-194.21,2144.21,90.75,-397.9,166,-50.86,9
-211.68,2161.68,91.3,-402,167,-51.46,9.7
-229.29,2179.29,91.85,-398.7,168,-51.04,9.6
-246.95,2196.95,92.4,-398.6,169,-50.89,8.5
-264.64,2214.64,92.95,NA,170,-49.93,NA
-282.37,2232.37,93.5,-390.6,171,-49.96,9.1
-300.26,2250.26,94.05,-394,172,-50.31,8.5
-318.33,2268.33,94.6,-397.9,173,-50.82,8.7
-336.75,2286.75,95.15,-394.8,174,-50.38,8.2
-355.2,2305.2,95.7,-408.2,175,-52.07,8.4
-373.67,2323.67,96.25,-404.3,176,-51.68,9.1
-392.16,2342.16,96.8,-399.6,177,-50.99,8.3
-410.64,2360.64,97.35,-400.8,178,-51.17,8.6
-429.11,2379.11,97.9,-401.5,179,-51.28,8.7
-447.55,2397.55,98.45,-407.7,180,-52.22,10.1
-465.9,2415.9,99,-400.5,181,-51.22,9.3
-484.21,2434.21,99.55,-395.8,182,-50.53,8.4
-502.44,2452.44,100.1,-399.7,183,-51.03,8.5
-520.63,2470.63,100.65,-399.6,184,-51.04,8.7
-538.72,2488.72,101.2,-394.8,185,-50.28,7.4
-556.69,2506.69,101.75,-398.5,186,-50.85,8.3
-574.56,2524.56,102.3,-390.2,187,-49.87,8.8
-592.31,2542.31,102.85,-396.4,188,-50.64,8.7
-610.01,2560.01,103.4,-392.7,189,-50.23,9.1
-627.64,2577.64,103.95,-400.4,190,-50.94,7.1
-645.25,2595.25,104.5,-393.5,191,-50.26,8.6
-662.79,2612.79,105.05,-390.6,192,-49.78,7.6
-680.34,2630.34,105.6,-395.2,193,-50.29,7.1
-697.89,2647.89,106.15,-396.9,194,-50.47,6.9
-715.39,2665.39,106.7,-399.1,195,-51.01,9
-732.81,2682.81,107.25,-396.9,196,-50.5,7.1
-750.1,2700.1,107.8,-401,197,-51.27,9.2
-767.31,2717.31,108.35,-387.9,198,-49.59,8.8
-784.42,2734.42,108.9,-390.3,199,-49.89,8.8
-801.49,2751.49,109.45,-390.8,200,-49.91,8.5
-818.53,2768.53,110,-390.2,201,-49.9,9
-835.61,2785.61,110.55,-395.6,202,-50.48,8.2
-852.81,2802.81,111.1,-387.7,203,-49.63,9.3
-870.15,2820.15,111.65,-388.9,204,-49.79,9.4
-887.69,2837.69,112.2,-388.9,205,-49.59,7.8
-905.29,2855.29,112.75,-395.4,206,-50.5,8.6
-922.92,2872.92,113.3,-399.5,207,-51.17,9.9
-940.5,2890.5,113.85,-401.7,208,-51.6,11.1
-958.1,2908.1,114.4,-392.2,209,-50.09,8.5
-975.99,2925.99,114.95,-393.9,210,-50.42,9.5
-993.98,2943.98,115.5,-397.7,211,-50.77,8.5
-1012.05,2962.05,116.05,-401.1,212,-51.24,8.8
-1030.13,2980.13,116.6,-395.7,213,-50.58,8.9
-1048.19,2998.19,117.15,-398.7,214,-51.07,9.9
-1066.33,3016.33,117.7,-395,215,-50.71,10.7
-1084.58,3034.58,118.25,-394.7,216,-50.57,9.9
-1102.76,3052.76,118.8,-395.8,217,-50.64,9.3
-1120.92,3070.92,119.35,-391.8,218,-50.18,9.6
-1139.37,3089.37,119.9,NA,219,NA,NA
-1157.93,3107.93,120.45,-387.9,220,-49.46,7.8
-1176.72,3126.72,121,-404.4,221,-51.71,9.3
-1195.59,3145.59,121.55,-401.1,222,-51.17,8.3
-1214.59,3164.59,122.1,-403.4,223,-51.64,9.7
-1233.64,3183.64,122.65,-391.8,224,-50.18,9.6
-1252.78,3202.78,123.2,-400.5,225,-51.2,9.1
-1271.95,3221.95,123.75,-406.2,226,-51.98,9.6
-1291.15,3241.15,124.3,-392.7,227,-50.28,9.5
-1310.36,3260.36,124.85,-400,228,-51.09,8.7
-1329.56,3279.56,125.4,-401.9,229,-51.41,9.4
-1348.74,3298.74,125.95,-391.3,230,-50.03,8.9
-1367.89,3317.89,126.5,-399.8,231,-50.99,8.1
-1386.98,3336.98,127.05,-404.2,232,-51.75,9.8
-1406.02,3356.02,127.6,-395.6,233,-50.66,9.7
-1424.98,3374.98,128.15,-397.2,234,-50.85,9.6
-1443.86,3393.86,128.7,-398.2,235,-50.88,8.8
-1462.65,3412.65,129.25,-396.6,236,-50.72,9.2
-1481.35,3431.35,129.8,-395.6,237,-50.53,8.6
-1499.98,3449.98,130.35,-392.7,238,-50.31,9.8
-1518.51,3468.51,130.9,-401.8,239,-51.5,10.2
-1536.99,3486.99,131.45,-387.3,240,-49.7,10.3
-1555.38,3505.38,132,-394.6,241,-50.46,9.1
-1573.74,3523.74,132.55,-397.2,242,-50.91,10.1
-1592.02,3542.02,133.1,-394.5,243,-50.56,10
-1610.27,3560.27,133.65,-399.5,244,-51.01,8.6
-1628.48,3578.48,134.2,-389.9,245,-49.88,9.1
-1646.67,3596.67,134.75,-390.8,246,-49.96,8.9
-1664.85,3614.85,135.3,-394.4,247,-50.42,9
-1683.06,3633.06,135.85,-391.7,248,-50.02,8.5
-1701.28,3651.28,136.4,-389.2,249,-49.99,10.7
-1719.58,3669.58,136.95,-401.6,250,-51.44,9.9
-1737.92,3687.92,137.5,-387.2,251,-49.54,9.1
-1756.39,3706.39,138.05,-387.8,252,-49.63,9.2
-1774.93,3724.93,138.6,-404.9,253,-51.79,9.4
-1793.6,3743.6,139.15,-388.9,254,-49.7,8.7
-1812.37,3762.37,139.7,-394.9,255,-50.65,10.3
-1831.26,3781.26,140.25,-393.8,256,-50.22,8
-1850.26,3800.26,140.8,-399.6,257,-51.32,11
-1869.33,3819.33,141.35,-400.9,258,-51.31,9.6
-1888.48,3838.48,141.9,-391,259,-49.93,8.4
-1907.68,3857.68,142.45,-396.1,260,-50.61,8.8
-1926.92,3876.92,143,-398.5,261,-50.85,8.3
-1946.17,3896.17,143.55,-396.5,262,-50.62,8.5
-1965.43,3915.43,144.1,-397.8,263,-50.85,9
-1984.67,3934.67,144.65,-392.9,264,-50.18,8.5
-2003.9,3953.9,145.2,-398.7,265,-51.14,10.4
-2023.1,3973.1,145.75,-398.9,266,-51.07,9.7
-2042.27,3992.27,146.3,-390.6,267,-49.91,8.7
-2061.42,4011.42,146.85,-390.4,268,-49.97,9.4
-2080.55,4030.55,147.4,-402.3,269,-51.36,8.6
-2099.67,4049.67,147.95,-389.9,270,-49.67,7.5
-2118.8,4068.8,148.5,-390.3,271,-49.82,8.3
-2137.93,4087.93,149.05,-398.8,272,-50.82,7.8
-2157.06,4107.06,149.6,-397.8,273,-50.75,8.2
-2176.2,4126.2,150.15,-394.9,274,-50.31,7.6
-2195.34,4145.34,150.7,-392.2,275,-50.03,8
-2214.48,4164.48,151.25,-404.7,276,-51.83,9.9
-2233.62,4183.62,151.8,-391.2,277,-49.96,8.5
-2252.77,4202.77,152.35,-387.3,278,-49.49,8.6
-2271.94,4221.94,152.9,-396.4,279,-50.47,7.4
-2291.13,4241.13,153.45,-387,280,-49.4,8.2
-2310.38,4260.38,154,-398.1,281,-50.86,8.8
-2329.66,4279.66,154.55,-401.4,282,-51.31,9.1
-2348.99,4298.99,155.1,-395.2,283,-50.46,8.5
-2368.33,4318.33,155.65,-393.4,284,-50.22,8.4
-2387.71,4337.71,156.2,-394.9,285,-50.45,8.7
-2407.1,4357.1,156.75,-397.1,286,-50.83,9.5
-2426.5,4376.5,157.3,-400.6,287,-51.17,8.8
-2445.91,4395.91,157.85,-393,288,-50.23,8.8
-2465.33,4415.33,158.4,-387.1,289,-49.51,9
-2484.78,4434.78,158.95,-397.5,290,-50.86,9.4
-2504.26,4454.26,159.5,-390.4,291,-50,9.6
-2523.8,4473.8,160.05,-399.3,292,-51.07,9.3
-2543.37,4493.37,160.6,-397.5,293,-50.86,9.4
-2562.98,4512.98,161.15,-399.9,294,-51.23,9.9
-2582.62,4532.62,161.7,-395,295,-50.44,8.5
-2602.3,4552.3,162.25,-394.1,296,-50.41,9.2
-2622.01,4572.01,162.8,-393.4,297,-49.99,6.5
-2641.74,4591.74,163.35,-398.4,298,-50.88,8.6
-2661.52,4611.52,163.9,-395.1,299,-50.64,10
-2681.33,4631.33,164.45,-396,300,-50.62,9
-2701.2,4651.2,165,-397.3,301,-50.72,8.5
-2721.08,4671.08,165.55,-389.3,302,-49.84,9.4
-2741.02,4691.02,166.1,-399.6,303,-50.91,7.7
-2760.96,4710.96,166.65,-402.3,304,-51.38,8.7
-2780.9,4730.9,167.2,-396.7,305,-50.85,10.1
-2800.8,4750.8,167.75,-397.2,306,-50.82,9.4
-2820.67,4770.67,168.3,-402,307,-51.24,7.9
-2840.45,4790.45,168.85,-396.9,308,-50.73,8.9
-2860.18,4810.18,169.4,-390.9,309,-49.94,8.6
-2879.82,4829.82,169.95,-393.4,310,-50.38,9.6
-2899.43,4849.43,170.5,-395.9,311,-50.53,8.3
-2919,4869,171.05,-395.1,312,-50.49,8.8
-2938.56,4888.56,171.6,-392.7,313,-50.14,8.4
-2958.12,4908.12,172.15,-389,314,-49.86,9.9
-2977.69,4927.69,172.7,-397.9,315,-50.93,9.5
-2997.29,4947.29,173.25,-398.9,316,-51,9.1
-3016.9,4966.9,173.8,-396.8,317,-50.54,7.5
-3036.51,4986.51,174.35,-396.6,318,-50.67,8.8
-3056.11,5006.11,174.9,-392.7,319,-50.24,9.2
-3075.7,5025.7,175.45,-400.6,320,-51.33,10
-3095.25,5045.25,176,-396.3,321,-50.47,7.5
-3114.78,5064.78,176.55,-395.6,322,-50.56,8.9
-3134.27,5084.27,177.1,-393.3,323,-50.12,7.7
-3153.75,5103.75,177.65,-391.4,324,-50.04,8.9
-3173.23,5123.23,178.2,-391.3,325,-50.05,9.1
-3192.72,5142.72,178.75,-393.2,326,-50.35,9.6
-3212.23,5162.23,179.3,-397.6,327,-50.77,8.6
-3231.79,5181.79,179.85,-395.8,328,-50.56,8.7
-3251.38,5201.38,180.4,-403.1,329,-51.75,10.9
-3271.02,5221.02,180.95,-396.3,330,-50.74,9.6
-3290.7,5240.7,181.5,-390.6,331,-49.85,8.2
-3310.47,5260.47,182.05,-396,332,-50.46,7.7
-3330.32,5280.32,182.6,-390.6,333,-49.86,8.3
-3350.29,5300.29,183.15,-396.3,334,-50.61,8.6
-3370.39,5320.39,183.7,-394.5,335,-50.42,8.9
-3390.63,5340.63,184.25,-391.4,336,-50.16,9.9
-3411,5361,184.8,-407.6,337,-52.12,9.4
-3431.47,5381.47,185.35,-401.2,338,-51.23,8.6
-3452,5402,185.9,-402.4,339,-51.41,8.9
-3472.56,5422.56,186.45,-395,340,-50.56,9.5
-3493.07,5443.07,187,-402.5,341,-51.56,10
-3513.52,5463.52,187.55,-407.9,342,-52.2,9.7
-3533.83,5483.83,188.1,-399.6,343,-51.06,8.9
-3554.04,5504.04,188.65,-394.6,344,-50.48,9.2
-3574.09,5524.09,189.2,-387.2,345,-49.54,9.1
-3594.01,5544.01,189.75,-396.2,346,-50.65,9
-3613.83,5563.83,190.3,-394,347,-50.49,9.9
-3633.52,5583.52,190.85,-399.1,348,-51.11,9.8
-3653.13,5603.13,191.4,-395.2,349,-50.57,9.4
-3672.63,5622.63,191.95,-396,350,-50.54,8.3
-3692.06,5642.06,192.5,-400.4,351,-51.11,8.5
-3711.39,5661.39,193.05,-391.1,352,-50.07,9.5
-3730.66,5680.66,193.6,-399.2,353,-51.01,8.9
-3749.86,5699.86,194.15,-386.2,354,-49.35,8.6
-3769.05,5719.05,194.7,-398.9,355,-51.17,10.5
-3788.22,5738.22,195.25,-389,356,-49.8,9.4
-3807.42,5757.42,195.8,-388.4,357,-49.76,9.7
-3826.66,5776.66,196.35,-400.4,358,-51.2,9.2
-3846.01,5796.01,196.9,-392.7,359,-50.14,8.4
-3865.42,5815.42,197.45,-391,360,-49.96,8.7
-3884.98,5834.98,198,-392.5,361,-50.15,8.7
-3904.61,5854.61,198.55,-397.7,362,-50.8,8.7
-3924.36,5874.36,199.1,-399.8,363,-51.11,9.1
-3944.17,5894.17,199.65,-398.7,364,-51.02,9.5
-3964.04,5914.04,200.2,-403.7,365,-51.7,9.9
-3983.93,5933.93,200.75,-397.4,366,-50.88,9.6
-4003.83,5953.83,201.3,-391.7,367,-50.02,8.5
-4023.72,5973.72,201.85,-394.5,368,-50.55,9.9
-4043.6,5993.6,202.4,-396.8,369,-50.83,9.8
-4063.48,6013.48,202.95,-399.2,370,-51.12,9.8
-4083.36,6033.36,203.5,-394,371,-50.36,8.9
-4103.26,6053.26,204.05,-391.4,372,-50.05,9
-4123.18,6073.18,204.6,-403.5,373,-51.6,9.3
-4143.14,6093.14,205.15,-389.5,374,-49.8,8.9
-4163.14,6113.14,205.7,-399.9,375,-51.25,10.1
-4183.19,6133.19,206.25,-397.4,376,-50.95,10.2
-4203.31,6153.31,206.8,-398.6,377,-50.89,8.5
-4223.47,6173.47,207.35,-394.1,378,-50.42,9.3
-4243.72,6193.72,207.9,-398.4,379,-51.01,9.7
-4264,6214,208.45,-401.7,380,-51.37,9.3
-4284.37,6234.37,209,-392.6,381,-50.35,10.2
-4304.77,6254.77,209.55,-395.4,382,-50.7,10.2
-4325.23,6275.23,210.1,-402.1,383,-51.54,10.2
-4345.7,6295.7,210.65,-403.6,384,-51.72,10.2
-4366.2,6316.2,211.2,-396.5,385,-50.62,8.5
-4386.69,6336.69,211.75,-402.5,386,-51.53,9.7
-4407.18,6357.18,212.3,-398.8,387,-51.11,10.1
-4427.66,6377.66,212.85,-397,388,-50.79,9.3
-4448.15,6398.15,213.4,-389.4,389,-49.92,10
-4468.67,6418.67,213.95,-395,390,-50.48,8.8
-4489.22,6439.22,214.5,-404.9,391,-51.65,8.3
-4509.83,6459.83,215.05,-402.2,392,-51.44,9.3
-4530.5,6480.5,215.6,-389.2,393,-49.77,9
-4551.24,6501.24,216.15,-397,394,-50.84,9.7
-4572.05,6522.05,216.7,-401.8,395,-51.54,10.5
-4592.92,6542.92,217.25,-398.4,396,-51.18,11
-4613.83,6563.83,217.8,-407.8,397,-52.15,9.4
-4634.76,6584.76,218.35,-395.4,398,-50.63,9.6
-4655.66,6605.66,218.9,-403.1,399,-51.57,9.5
-4676.56,6626.56,219.45,-406.1,400,-51.97,9.7
-4697.39,6647.39,220,-390.4,401,-50.01,9.7
-4718.2,6668.2,220.55,-392.6,402,-50.06,7.9
-4738.94,6688.94,221.1,-395.7,403,-50.51,8.4
-4759.63,6709.63,221.65,-402.9,404,-51.47,8.9
-4780.25,6730.25,222.2,-401.9,405,-51.34,8.8
-4800.8,6750.8,222.75,-401.2,406,-51.16,8.1
-4821.29,6771.29,223.3,-400.4,407,-51.24,9.5
-4841.69,6791.69,223.85,-397.5,408,-50.88,9.5
-4862.05,6812.05,224.4,-389.4,409,-49.92,10
-4882.39,6832.39,224.95,-395.4,410,-50.44,8.1
-4902.75,6852.75,225.5,-387.9,411,-49.65,9.3
-4923.18,6873.18,226.05,-398.3,412,-50.97,9.5
-4943.69,6893.69,226.6,-398.7,413,-51.06,9.8
-4964.33,6914.33,227.15,-401.3,414,-51.25,8.7
-4985.11,6935.11,227.7,-396.8,415,-50.85,10
-5006.03,6956.03,228.25,-395.6,416,-50.79,10.7
-5027.14,6977.14,228.8,-402.5,417,-51.62,10.5
-5048.38,6998.38,229.35,-399.5,418,-51.01,8.6
-5069.83,7019.83,229.9,-397.8,419,-50.87,9.2
-5091.38,7041.38,230.45,-400.5,420,-51.23,9.3
-5113.14,7063.14,231,-400.8,421,-51.34,9.9
-5134.98,7084.98,231.55,-396.1,422,-50.84,10.6
-5156.96,7106.96,232.1,-405.3,423,-51.63,7.7
-5178.98,7128.98,232.65,-411.9,424,-52.63,9.1
-5201.04,7151.04,233.2,-401.7,425,-51.42,9.7
-5222.44,7172.44,233.75,-399.3,426,-51.16,10
-5243.25,7193.25,234.3,-404.7,427,-51.66,8.6
-5263.1,7213.1,234.85,-403.1,428,-51.42,8.3
-5282.52,7232.52,235.4,-402.3,429,-51.61,10.6
-5301.85,7251.85,235.95,-396.1,430,-50.76,10
-5321.16,7271.16,236.5,-388.3,431,-49.67,9.1
-5340.43,7290.43,237.05,-398.5,432,-50.94,9
-5359.69,7309.69,237.6,-406.3,433,-51.93,9.1
-5378.92,7328.92,238.15,-399.9,434,-51.13,9.1
-5398.12,7348.12,238.7,-404.7,435,-51.73,9.1
-5417.28,7367.28,239.25,-403.8,436,-51.57,8.8
-5436.35,7386.35,239.8,-395,437,-50.46,8.7
-5455.36,7405.36,240.35,-402.8,438,-51.43,8.6
-5474.21,7424.21,240.9,-404.2,439,-51.61,8.7
-5493,7443,241.45,-399.1,440,-51.01,9
-5511.62,7461.62,242,-393.3,441,-50.31,9.2
-5530.17,7480.17,242.55,-399.1,442,-51.09,9.6
-5548.61,7498.61,243.1,-389.2,443,-49.76,8.9
-5567.02,7517.02,243.65,-397.7,444,-50.83,8.9
-5585.39,7535.39,244.2,-388.4,445,-49.77,9.8
-5603.76,7553.76,244.75,-400.3,446,-51.34,10.4
-5622.13,7572.13,245.3,-403.7,447,-51.72,10.1
-5640.52,7590.52,245.85,-398.3,448,-50.87,8.7
-5658.92,7608.92,246.4,-396.1,449,-50.51,8
-5677.34,7627.34,246.95,-390.7,450,-49.92,8.7
-5695.79,7645.79,247.5,-404.7,451,-51.65,8.5
-5714.27,7664.27,248.05,-400.2,452,-51.16,9.1
-5732.78,7682.78,248.6,-388.5,453,-49.75,9.5
-5751.34,7701.34,249.15,-390.4,454,-49.92,9
-5769.95,7719.95,249.7,-405.5,455,-51.95,10.1
-5788.62,7738.62,250.25,-399.5,456,-51.21,10.2
-5807.34,7757.34,250.8,-402.1,457,-51.4,9.1
-5826.11,7776.11,251.35,-402.2,458,-51.44,9.3
-5844.96,7794.96,251.9,-395.2,459,-50.57,9.4
-5863.86,7813.86,252.45,-391.6,460,-50.01,8.5
-5882.89,7832.89,253,-396.5,461,-50.76,9.6
-5902,7852,253.55,-399.5,462,-51.06,9
-5921.28,7871.28,254.1,-400.6,463,-51.12,8.4
-5940.67,7890.67,254.65,-401.6,464,-51.34,9.1
-5960.21,7910.21,255.2,-400.6,465,-51.17,8.8
-5979.87,7929.87,255.75,-406.3,466,-51.96,9.4
-5999.63,7949.63,256.3,-398.3,467,-51.09,10.4
-6019.5,7969.5,256.85,-411.7,468,-52.79,10.6
-6039.43,7989.43,257.4,-399.8,469,-51.13,9.2
-6059.43,8009.43,257.95,-396.9,470,-50.76,9.2
-6079.45,8029.45,258.5,-401.4,471,-51.46,10.3
-6099.51,8049.51,259.05,-405.3,472,-51.77,8.9
-6119.55,8069.55,259.6,-408.3,473,-52.31,10.2
-6139.58,8089.58,260.15,-406.5,474,-52.24,11.4
-6159.57,8109.57,260.7,-400.8,475,-51.22,9
-6179.52,8129.52,261.25,-403.2,476,-51.58,9.4
-6199.4,8149.4,261.8,-397.5,477,-50.83,9.1
-6219.25,8169.25,262.35,-401,478,-51.2,8.6
-6239.04,8189.04,262.9,-401.5,479,-51.44,10
-6258.8,8208.8,263.45,-400.4,480,-51.26,9.7
