age (BP) [1-1],d18O (permil v smow) [1-1],age (BP) [1-2],d18O (permil v smow) [1-2],age (BP) [2-1],ice_melt_fraction (percent) [2-1]
900,-27.48,900,-27.665,1091,4.193
920,-27.69,920,-27.545,1116,6.031
940,-27.82,940,-27.86,1141,3.557
960,-27.61,960,-27.805,1166,0.777
980,-27.4,980,-27.51,1191,4.955
1000,-27.85,1000,-27.485,1216,2.509
1020,-27.03,1020,-27.26,1241,2.172
1040,-28,1040,-27.855,1266,1.991
1060,-27.32,1060,-27.685,1291,1.868
1080,-26.8,1080,-26.9,1316,3.98
1100,-27.09,1100,-26.87,1341,3.624
1120,-28.03,1120,-28.115,1366,0.194
1140,-27.29,1140,-27.46,1391,0.767
1160,-26.97,1160,-27.36,1416,2.498
1180,-27.76,1180,-27.745,1441,4.026
1200,-27.53,1200,-27.475,1466,7.347
1220,-28.15,1220,-28.075,1491,2.842
1240,-27.55,1240,-27.63,1516,7.819
1260,-26.48,1260,-27.13,1541,1.181
1280,-26.85,1280,-27,1566,0.903
1300,-27.67,1300,-27.61,1591,2.305
1320,-28.01,1320,-27.905,1616,0.317
1340,-27.88,1340,-27.915,1641,1.769
1360,-27.58,1360,-27.55,1666,1.641
1380,-28.05,1380,-27.905,1691,1.31
1400,-27.61,1400,-27.92,1716,3.649
1420,-27.86,1420,-27.615,1741,2.685
1440,-27.6,1440,-27.82,1766,2.274
1460,-27.6,1460,-27.75,1791,0.673
1480,-27.25,1480,-27.45,1816,17.125
1500,-27.2,1500,-27.27,1841,3.429
1520,-27.11,1520,-27.085,1866,0.519
1540,-27,1540,-27.17,1891,1.077
1560,-27.71,1560,-27.655,1916,0.532
1580,-27.46,1580,-27.275,1941,3.881
1600,-27.65,1600,-27.3,1966,1.278
1620,-27.17,1620,-27.175,1991,10.727
1640,-27.41,1640,-27.33,2016,2.512
1660,-27.23,1660,-27.415,2041,1.758
1680,-27.29,1680,-27.515,2066,2.146
1700,-26.51,1700,-27.05,2091,2.008
1720,-27.19,1720,-27.31,2116,3.422
1740,-26.9,1740,-27.31,2141,4.359
1760,-27.08,1760,-27.33,2166,0.64
1780,-27.59,1780,-27.625,2191,0
1800,-28.22,1800,-27.68,2216,0.212
1820,-27.56,1820,-27.585,2241,1.93
1840,-27.18,1840,-27.82,2266,5.014
1860,-27.43,1860,-27.23,2291,0.904
1880,-27.74,1880,-27.53,2316,5.363
1900,-27.76,1900,-27.935,2341,0
1920,-29,1920,-28.58,2366,5.55
1940,-27.31,1940,-28.09,2391,0
1960,-27.56,1960,-27.44,2416,5.535
1980,-26.73,1980,-26.855,2441,7.448
2000,-27.3,2000,-27.36,2466,0.99
2020,-26.54,2020,-26.71,2491,2.261
2040,-27.33,2040,-27.245,2516,0.512
2060,-27.39,2060,-27.355,2541,7.097
2080,-27.75,2080,-27.57,2566,2.616
2100,-27.72,2100,-27.415,2591,6.62
2120,-27,2120,-27.385,2616,1.569
2140,-27.32,2140,-27.55,2641,0
2160,-27.79,2160,-27.63,2666,0
2180,-27.39,2180,-27.795,2691,4.245
2200,-27.83,2200,-28.025,2716,7.134
2220,-27.94,2220,-27.875,2741,4.219
2240,-28.11,2240,-28.16,2766,3.759
2260,-28.16,2260,-28.195,2791,4.791
2280,-26.51,2280,-27.475,2816,6.76
2300,-26.49,2300,-26.705,2841,21.747
2320,-26.87,2320,-27.095,2866,26.06
2340,-27.08,2340,-26.87,2891,0.742
2360,-27.16,2360,-26.9,2916,0.313
2380,-27.18,2380,-27.045,2941,1.845
2400,-27.22,2400,-26.9,2966,0.95
2420,-27.21,2420,-27.205,2991,3.428
2440,-27.41,2440,-27.385,3016,0
2460,-26.78,2460,-26.99,3041,3.195
2480,-27.07,2480,-27.02,3066,2.908
2500,-26.69,2500,-27.185,3091,2.285
2520,-27.26,2520,-27.24,3116,6.911
2540,-27.9,2540,-27.07,3141,6.726
2560,-28.33,2560,-27.56,3166,2.701
2580,-28.72,2580,-28.08,3191,1.404
2600,-27.57,2600,-27.455,3216,3.146
2620,-28.54,2620,-28.305,3241,9.095
2640,-27.25,2640,-27.785,3266,15.532
2660,-27.1,2660,-27.815,3291,3.931
2680,-27.05,2680,-27.22,3316,2.893
2700,-26.56,2700,-26.44,3341,0
2720,-26.55,2720,-26.625,3366,0
2740,-27.79,2740,-27.78,3391,3.375
2760,-27.17,2760,-27.635,3416,3.049
2780,-27.53,2780,-27.46,3441,0
2800,-27.81,2800,-27.44,3466,1.179
2820,-26.95,2820,-26.97,3491,6.315
2840,-26.71,2840,-27.105,3516,7.986
2860,-27.02,2860,-26.815,3541,2.814
2880,-26.53,2880,-26.785,3566,6.497
2900,-26.79,2900,-27.795,3591,2.003
2920,-26.5,2920,-26.43,3616,0.825
2940,-27.22,2940,-27.125,3641,0
2960,-27.22,2960,-27.145,3666,4.658
2980,-26.69,2980,-26.565,3691,5.979
3000,-27.45,3000,-27.535,3716,2.148
3020,-25.87,3020,-26.57,3741,0
3040,-27.36,3040,-27.32,3766,6.128
3060,-27.53,3060,-27.46,3791,1.32
3080,-27.61,3080,-27.605,3816,0.867
3100,-26.31,3100,-26.795,3841,4.896
3120,-26.98,3120,-26.99,3866,0
3140,-26.82,3140,-26.765,3891,0
3160,-26.7,3160,-26.655,3916,1.375
3180,-26.2,3180,-26.405,3941,0.935
3200,-27.25,3200,-27.175,3966,0.246
3220,-26.99,3220,-27.17,3991,0
3240,-26.83,3240,-26.77,4016,2.063
3260,-26.78,3260,-27.02,4041,2.006
3280,-27.61,3280,-27.31,4066,8.93
3300,-27.56,3300,-27.445,4091,4.57
3320,-26.55,3320,-27,4116,34.786
3340,-27.86,3340,-27.63,4141,8.854
3360,-27.16,3360,-27.115,4166,10.44
3380,-27.38,3380,-27.27,4191,1.174
3400,-26.66,3400,-26.615,4216,1.793
3420,-26.55,3420,-26.705,4241,8.824
3440,-26.72,3440,-27.23,4266,2.279
3460,-27.27,3460,-27.28,4291,6.949
3480,-27.23,3480,-26.995,4316,0.623
3500,-27.6,3500,-27.22,4341,0
3520,-27.2,3520,-27.42,4366,8.231
3540,-26.71,3540,-27.04,4391,1.243
3560,-26.93,3560,-27.47,4416,5.466
3580,-28.05,3580,-27.875,4441,14.461
3600,-27.88,3600,-27.65,4466,7.297
3620,-27.45,3620,-27.245,4491,3.202
3640,-27.18,3640,-27.055,4516,5.407
3660,-26.98,3660,-27.14,4541,4.453
3680,-26.76,3680,-26.91,4566,3.647
3700,-26.88,3700,-27.25,4591,5.318
3720,-27.73,3720,-27.49,4616,3.372
3740,-27.58,3740,-27.425,4641,11.242
3760,-27.37,3760,-27.165,4666,10.263
3780,-27.39,3780,-27.68,4691,8.506
3800,-27.42,3800,-27.345,4716,17.376
3820,-27.22,3820,-27.43,4741,0
3840,-27.07,3840,-26.81,4766,14.166
3860,-27.18,3860,-27.16,4791,20.094
3880,-27.24,3880,-27.215,4816,5.516
3900,-27.23,3900,-27.345,4841,1.799
3920,-27.23,3920,-27.01,4866,4.929
3940,-27.29,3940,-27.34,4891,2.18
3960,-27.3,3960,-27.455,4916,2.884
3980,-27.16,3980,-27.005,4941,3.154
4000,-27.15,4000,-27.225,4966,5.967
4020,-27.14,4020,-26.74,4991,4.768
4040,-27.13,4040,-26.81,5016,9.549
4060,-27.14,4060,-26.995,5041,6.501
4080,-27.15,4080,-27.03,5066,6.853
4100,-27.01,4100,-27.1,5091,6.444
4120,-26.2,4120,-26.44,5116,7.661
4140,-26.35,4140,-26.225,5141,6.133
4160,-26.5,4160,-26.63,5166,5.766
4180,-26.91,4180,-26.735,5191,4.142
4200,-26.89,4200,-26.66,5216,5.388
4220,-26.92,4220,-27.155,5241,20.899
4240,-27.44,4240,-27.755,5266,5.493
4260,-27.84,4260,-27.565,5291,3.635
4280,-28.07,4280,-28.025,5316,1.368
4300,-26.96,4300,-27.125,5341,3.631
4320,-27.09,4320,-27.065,5366,2.349
4340,-27.21,4340,-27.485,5391,6.919
4360,-27.12,4360,-26.93,5416,0
4380,-27.2,4380,-27.31,5441,0
4400,-27.27,4400,-27.165,5466,10.308
4420,-27.19,4420,-26.875,5491,1.913
4440,-27.46,4440,-27.36,5516,0.963
4460,-27.63,4460,-27.305,5541,8.184
4480,-26.73,4480,-26.775,5566,1.229
4500,-27,4500,-27.45,5591,9.754
4520,-27.2,4520,-26.775,5616,5.895
4540,-26.57,4540,-26.535,5641,31.327
4560,-26.75,4560,-27.01,5666,0.972
4580,-26.93,4580,-27.05,5691,1.998
4600,-26.87,4600,-26.9,5716,2.951
4620,-26.94,4620,-26.455,5741,4.446
4640,-27.1,4640,-26.765,5766,5.452
4660,-26.57,4660,-26.77,5791,3.001
4680,-25.68,4680,-26.44,5816,1.023
4700,-26.01,4700,-26.28,5841,9.329
4720,-26.52,4720,-26.685,5866,15.103
4740,-26.76,4740,-26.675,5891,2.044
4760,-27.13,4760,-26.83,5916,19.83
4780,-27.13,4780,-27.55,5941,2.568
4800,-27.14,4800,-26.925,5966,19.126
4820,-27.26,4820,-27.22,5991,4.268
4840,-27.56,4840,-27.37,6016,6.474
4860,-26.99,4860,-27.185,6041,5.634
4880,-26.32,4880,-26.36,6066,0
4900,-26.59,4900,-26.36,6091,7.465
4920,-26.69,4920,-26.485,6116,22.019
4940,-25.97,4940,-26.145,6141,19.21
4960,-26.1,4960,-26.33,6166,0
4980,-26.71,4980,-26.655,6191,1.104
5000,-26.72,5000,-27.055,6216,10.949
5020,-26.74,5020,-26.86,6241,11.559
5040,-26.75,5040,-26.605,6266,2.208
5060,-26.75,5060,-26.85,6291,0
5080,-26.84,5080,-26.685,6316,3.913
5100,-26.95,5100,-26.985,6341,0
5120,-27.04,5120,-26.65,6366,0
5140,-26.55,5140,-26.33,6391,7.159
5160,-26.35,5160,-27.355,6416,7.867
5180,-26.33,5180,-26.705,6441,16.46
5200,-26.48,5200,-26.7,6466,20.24
5220,-26.7,5220,-26.925,6491,15.211
5240,-26.93,5240,-26.97,6516,2.918
5260,-27.01,5260,-26.855,6541,12.861
5280,-26.65,5280,-26.435,6566,3.005
5300,-26.88,5300,-26.335,6591,21.06
5320,-27.02,5320,-26.705,6616,2.391
5340,-27.15,5340,-26.64,6641,11.059
5360,-26.91,5360,-26.645,6666,10.32
5380,-26.62,5380,-26.565,6691,3.676
5400,-26.3,5400,-26.375,6716,3.069
5420,-26.43,5420,-26.705,6741,14.532
5440,-26.49,5440,-26.72,6766,28.732
5460,-26.53,5460,-26.5,6791,2.462
5480,-25.94,5480,-26.34,6816,8.201
5500,-26.15,5500,-26.31,6841,5.108
5520,-26.56,5520,-26.67,6866,2.5
5540,-26.96,5540,-26.575,6891,9.481
5560,-26.72,5560,-26.625,6916,10.557
5580,-26.37,5580,-26.425,6941,12.707
5600,-26.53,5600,-26.505,6966,6.46
5620,-26.54,5620,-26.815,6991,22.23
5640,-26.55,5640,-26.41,7016,3.096
5660,-26.62,5660,-26.56,7041,8.943
5680,-26.59,5680,-26.7,7066,14.359
5700,-26.21,5700,-26.4,7091,22.334
5720,-25.91,5720,-26.23,7116,21.921
5740,-25.78,5740,-26.45,7141,27.557
5760,-26.55,5760,-26.36,7166,15.143
5780,-26.7,5780,-26.44,7191,13.295
5800,-26.99,5800,-26.79,7216,5.44
5820,-26.77,5820,-27,7241,13.867
5840,-26.56,5840,-26.49,7266,13.562
5860,-26.22,5860,-26.38,7291,16.785
5880,-26.3,5880,-26.595,7316,20.576
5900,-26.41,5900,-26.525,7341,0.5
5920,-26.63,5920,-26.715,7366,9.128
5940,-27.2,5940,-27.165,7391,3.668
5960,-27.38,5960,-27.425,7416,0.5
5980,-26.34,5980,-26.565,7441,8.43
6000,-26.33,6000,-26.97,7466,10.295
6020,-26.29,6020,-26.58,7491,7.951
6040,-26.82,6040,-27.255,7516,16.823
6060,-27.26,6060,-27.145,7541,30.85
6080,-26.42,6080,-26.525,7566,27.647
6100,-26.27,6100,-26.35,7591,0.5
6120,-27.12,6120,-26.795,7616,18.982
6140,-27.1,6140,-26.975,7641,4.782
6160,-27.03,6160,-27.255,7666,13.353
6180,-26.59,6180,-26.525,7691,27.845
6200,-26.13,6200,-26.27,7716,12.051
6220,-26.34,6220,-26.45,7741,24.725
6240,-26.44,6240,-26.74,7766,9.888
6260,-26.72,6260,-26.52,7791,3.839
6280,-26.74,6280,-26.86,7816,42.573
6300,-26.3,6300,-26.45,7841,19.274
6320,-25.99,6320,-26.075,7866,13.516
6340,-26.14,6340,-26.375,7891,12.18
6360,-26.15,6360,-26.745,7916,10.75
6380,-26.49,6380,-26.445,7941,17.331
6400,-26.65,6400,-26.625,7966,26.604
6420,-26.05,6420,-26.73,7991,10.405
6440,-26.04,6440,-26.385,8016,4.333
6460,-26.16,6460,-26.145,8041,20.497
6480,-26.23,6480,-26.555,8066,22.699
6500,-26.51,6500,-26.825,8091,26.049
6520,-26.87,6520,-26.465,8116,7.37
6540,-26.72,6540,-26.575,8141,15.255
6560,-26.16,6560,-26.35,8166,8.28
6580,-26.25,6580,-26.26,8191,6.748
6600,-26.93,6600,-26.705,8216,5.773
6620,-26.81,6620,-26.72,8241,22.406
6640,-25.96,6640,-26.39,8266,4.143
6660,-26.57,6660,-26.24,8291,5.987
6680,-26.01,6680,-26.225,8316,7.842
6700,-26.56,6700,-26.63,8341,19.077
6720,-26.69,6720,-26.395,8366,19.131
6740,-26.19,6740,-25.965,8391,10.213
6760,-25.85,6760,-26.255,8416,36.705
6780,-26.08,6780,-26.425,8441,16.527
6800,-26.13,6800,-26.38,8466,1.057
6820,-26.22,6820,-26.325,8491,6.34
6840,-26.09,6840,-26.52,8516,20.381
6860,-26.13,6860,-26.125,8541,35.361
6880,-26.11,6880,-26.285,8566,14.672
6900,-25.94,6900,-26.32,8591,8.354
6920,-26.55,6920,-26.3,8616,11.89
6940,-27.2,6940,-26.67,8641,5.973
6960,-27.13,6960,-26.865,8666,41.988
6980,-26.77,6980,-26.495,8691,25.117
7000,-26.61,7000,-26.475,8716,14.984
7020,-26.65,7020,-26.59,8741,12.305
7040,-25.47,7040,-25.675,8766,23.703
7060,-26.69,7060,-26.385,8791,25.449
7080,-26.89,7080,-27.03,8816,19.754
7100,-26.89,7100,-26.65,8841,41.031
7120,-26.68,7120,-26.915,8866,14.551
7140,-25.32,7140,-26.19,8891,22.168
7160,-27.02,7160,-26.79,8916,81.145
7180,-27.02,7180,-26.745,8941,13.699
7200,-26.25,7200,-26.45,8966,31.707
7220,-26.19,7220,-26.145,8991,20.816
7240,-26.3,7240,-26.06,9016,0
7260,-26.12,7260,-26.65,9041,41.516
7280,-25.86,7280,-26.67,9066,19.971
7300,-25.96,7300,-26.14,9091,20.973
7320,-26.91,7320,-26.645,9116,13.563
7340,-26.9,7340,-26.89,9141,24.756
7360,-25.84,7360,-26.38,9166,7.822
7380,-26.16,7380,-27.025,9191,9.924
7400,-26.63,7400,-26.47,9216,11.094
7420,-27.39,7420,-26.965,9241,23.615
7440,-26.3,7440,-26.08,9266,66.33
7460,-26.03,7460,-26.07,9291,62.621
7480,-25.86,7480,-26.445,9316,34.416
7500,-26.53,7500,-26.485,9341,52.555
7520,-26.38,7520,-26.41,9366,56.795
7540,-26.19,7540,-26.51,9391,21.543
7560,-26.47,7560,-26.76,9416,20.412
7580,-26.64,7580,-26.8,9441,9.451
7600,-26.59,7600,-26.745,9466,54.541
7620,-26.28,7620,-26.035,9491,44.412
7640,-27.06,7640,-26.495,9516,23.797
7660,-26.72,7660,-26.13,9541,12.881
7680,-26.34,7680,-26.47,9566,16.603
7700,-25.56,7700,-26.08,9591,36.406
7720,-25.55,7720,-25.725,9616,19.264
7740,-26.04,7740,-26.055,9641,9.805
7760,-26.18,7760,-25.95,9666,15.156
7780,-25.61,7780,-25.48,9691,15.154
7800,-25.1,7800,-25.77,9716,29.043
7820,-25.64,7820,-26.29,9741,68.736
7840,-26,7840,-26.775,9766,71.359
7860,-26.08,7860,-26.05,9791,44.721
7880,-25.89,7880,-25.975,9816,65.551
7900,-25.06,7900,-25.235,9841,35.813
7920,-25.71,7920,-25.76,9866,35.705
7940,-25.76,7940,-26.185,9891,26.107
7960,-26.03,7960,-26.325,9916,59.508
7980,-26.09,7980,-26.145,9941,21.92
8000,-26.17,8000,-26.155,9966,70.152
8020,-26.31,8020,-26.295,9991,44.225
8040,-26.23,8040,-25.97,10016,50.41
8060,-26.42,8060,-26.37,10041,36.243
8080,-26.45,8080,-26.505,10066,42.539
8100,-27.07,8100,-27.265,10091,49.131
8120,-27.12,8120,-26.95,10116,0
8140,-26.37,8140,-26.755,10141,64.531
8160,-26.67,8160,-26.935,10166,29.131
8180,-26.05,8180,-26.445,10191,31.912
8200,-26.03,8200,-26.33,10216,32.928
8220,-25.91,8220,-26.05,10241,55.146
8240,-25.81,8240,-26.06,10266,19.209
8260,-25.72,8260,-26.14,10291,42.865
8280,-25.59,8280,-26.065,10316,21.297
8300,-25.89,8300,-26.04,10341,99.584
8320,-25.89,8320,-25.82,10366,64.248
8340,-26.01,8340,-26.05,10391,59.053
8360,-25.68,8360,-25.53,10416,9.934
8380,-25.24,8380,-25.19,10441,38.637
8400,-25.4,8400,-25.695,10466,48.783
8420,-25.94,8420,-26.25,10491,25.963
8440,-25.79,8440,-26.35,10516,50
8460,-25.57,8460,-26.05,10541,60.711
8480,-25.95,8480,-26.155,10566,100
8500,-25.39,8500,-25.57,10591,90.822
8520,-26.23,8520,-26.21,10616,72.334
8540,-25.32,8540,-25.76,10641,100
8560,-26.09,8560,-26.305,10666,90.732
8580,-25.71,8580,-26.35,10691,99.766
8600,-26.31,8600,-26.205,10716,81.828
8620,-26.51,8620,-26.135,10741,99.195
8640,-26.16,8640,-25.96,10766,90.424
8660,-27.12,8660,-26.295,10791,63.09
8680,-26.56,8680,-26.105,10816,52.531
8700,-25.58,8700,-25.785,10841,83.613
8720,-25.51,8720,-25.61,10866,73.072
8740,-25.61,8740,-25.7,10891,62.998
8760,-26.34,8760,-26.03,10916,7.291
8780,-25.21,8780,-25.605,10941,51.617
8800,-27.1,8800,-26.77,10966,30.939
8820,-26.35,8820,-25.835,10991,25.889
8840,-26.68,8840,-26.475,11016,34.029
8860,-26.3,8860,-25.99,11041,53.408
8880,-25.45,8880,-25.785,11066,50
8900,-25.72,8900,-25.78,11091,51.717
8920,-26.1,8920,-26.025,11116,50
8940,-26.42,8940,-26.185,11141,87.021
8960,-26.38,8960,-26.005,11166,75.539
8980,-27.03,8980,-26.815,11191,50
9000,-26.99,9000,-26.77,11216,50
9020,-26.95,9020,-26.51,11241,50
9040,-25.95,9040,-25.81,11266,10.537
9060,-25.78,9060,-26.075,11291,44.699
9080,-25.75,9080,-26.02,11316,50
9100,-25.76,9100,-25.915,NA,NA
9120,-25.94,9120,-25.83,NA,NA
9140,-25.89,9140,-25.985,NA,NA
9160,-25.99,9160,-26.015,NA,NA
9180,-25.79,9180,-25.885,NA,NA
9200,-25.95,9200,-25.855,NA,NA
9220,-25.74,9220,-25.82,NA,NA
9240,-26.12,9240,-26.145,NA,NA
9260,-26.52,9260,-26.305,NA,NA
9280,-26.29,9280,-25.925,NA,NA
9300,-26.51,9300,-26.23,NA,NA
9320,-26.5,9320,-26.17,NA,NA
9340,-25.99,9340,-26.555,NA,NA
9360,-25.27,9360,-26.24,NA,NA
9380,-25.6,9380,-26.42,NA,NA
9400,-26.05,9400,-26.44,NA,NA
9420,-25.82,9420,-25.86,NA,NA
9440,-25.86,9440,-25.725,NA,NA
9460,-25.32,9460,-25.45,NA,NA
9480,-25.38,9480,-25.695,NA,NA
9500,-25.6,9500,-25.61,NA,NA
9520,-25.76,9520,-25.71,NA,NA
9540,-25.67,9540,-25.605,NA,NA
9560,-25.95,9560,-26.485,NA,NA
9580,-25.36,9580,-25.88,NA,NA
9600,-25.34,9600,-25.345,NA,NA
9620,-25.14,9620,-25.17,NA,NA
9640,-25.65,9640,-25.58,NA,NA
9660,-25.86,9660,-25.815,NA,NA
9680,-25.74,9680,-26.08,NA,NA
9700,-25.43,9700,-25.885,NA,NA
9720,-25.34,9720,-25.69,NA,NA
9740,-25.89,9740,-25.89,NA,NA
9760,-25.38,9760,-26.215,NA,NA
9780,-25.85,9780,-26.73,NA,NA
9800,-26.41,9800,-26.235,NA,NA
9820,-27.39,9820,-26.445,NA,NA
9840,-26.68,9840,-26.09,NA,NA
9860,-26.5,9860,-26.12,NA,NA
9880,-25.7,9880,-25.445,NA,NA
9900,-24.96,9900,-24.985,NA,NA
9920,-24.74,9920,-24.885,NA,NA
9940,-24.41,9940,-25.185,NA,NA
9960,-24.71,9960,-25.04,NA,NA
9980,-25.15,9980,-25.64,NA,NA
10000,-25.35,10000,-25.695,NA,NA
10020,-25.52,NA,NA,NA,NA
10040,-26.48,NA,NA,NA,NA
10060,-25.86,NA,NA,NA,NA
10080,-25.6,NA,NA,NA,NA
10100,-25.72,NA,NA,NA,NA
10120,-25.89,NA,NA,NA,NA
10140,-25.56,NA,NA,NA,NA
10160,-25.55,NA,NA,NA,NA
10180,-25.73,NA,NA,NA,NA
10200,-26.04,NA,NA,NA,NA
10220,-26.34,NA,NA,NA,NA
10240,-26.32,NA,NA,NA,NA
10260,-26.22,NA,NA,NA,NA
10280,-25.32,NA,NA,NA,NA
10300,-25.66,NA,NA,NA,NA
10320,-25.3,NA,NA,NA,NA
10340,-25.81,NA,NA,NA,NA
10360,-25.61,NA,NA,NA,NA
10380,-25.56,NA,NA,NA,NA
10400,-25.67,NA,NA,NA,NA
10420,-25.39,NA,NA,NA,NA
10440,-24.99,NA,NA,NA,NA
10460,-25.36,NA,NA,NA,NA
10480,-26,NA,NA,NA,NA
10500,-25.54,NA,NA,NA,NA
10520,-25.64,NA,NA,NA,NA
10540,-25.68,NA,NA,NA,NA
10560,-25.66,NA,NA,NA,NA
10580,-25.75,NA,NA,NA,NA
10600,-25.93,NA,NA,NA,NA
10620,-25.97,NA,NA,NA,NA
10640,-26.31,NA,NA,NA,NA
10660,-26.1,NA,NA,NA,NA
10680,-25.92,NA,NA,NA,NA
10700,-26.1,NA,NA,NA,NA
10720,-26.22,NA,NA,NA,NA
10740,-26.03,NA,NA,NA,NA
10760,-25.97,NA,NA,NA,NA
10780,-26.61,NA,NA,NA,NA
10800,-26.59,NA,NA,NA,NA
10820,-26.71,NA,NA,NA,NA
10840,-27.01,NA,NA,NA,NA
10860,-27.51,NA,NA,NA,NA
10880,-27.11,NA,NA,NA,NA
10900,-26.87,NA,NA,NA,NA
10920,-26.74,NA,NA,NA,NA
10940,-26.7,NA,NA,NA,NA
10960,-26.4,NA,NA,NA,NA
10980,-26.58,NA,NA,NA,NA
11000,-26.68,NA,NA,NA,NA
11020,-26.75,NA,NA,NA,NA
11040,-26.68,NA,NA,NA,NA
11060,-26.71,NA,NA,NA,NA
11080,-26.74,NA,NA,NA,NA
11100,-26.76,NA,NA,NA,NA
11120,-26.92,NA,NA,NA,NA
11140,-27.01,NA,NA,NA,NA
11160,-27.08,NA,NA,NA,NA
11180,-26.88,NA,NA,NA,NA
11200,-26.84,NA,NA,NA,NA
11220,-26.89,NA,NA,NA,NA
11240,-27.13,NA,NA,NA,NA
11260,-27.17,NA,NA,NA,NA
11280,-27.03,NA,NA,NA,NA
11300,-27.03,NA,NA,NA,NA
11320,-27.83,NA,NA,NA,NA
11340,-28.11,NA,NA,NA,NA
11360,-27.92,NA,NA,NA,NA
11380,-27.77,NA,NA,NA,NA
11400,-27.6,NA,NA,NA,NA
11420,-27.45,NA,NA,NA,NA
11440,-27.29,NA,NA,NA,NA
11460,-27.09,NA,NA,NA,NA
11480,-27.19,NA,NA,NA,NA
11500,-27.48,NA,NA,NA,NA
11520,-27.29,NA,NA,NA,NA
11540,-27.5,NA,NA,NA,NA
11560,-28.07,NA,NA,NA,NA
11580,-27.68,NA,NA,NA,NA
11600,-27.82,NA,NA,NA,NA
11620,-28.53,NA,NA,NA,NA
11640,-31.08,NA,NA,NA,NA
