depth (m),age (BP),temperature (degC),label (missing),Uk37 (missing),C37.concentration (g),depth (m),age (BP),label (missing),planktic.d18O (permil)
11.07,18550,24.5,"165-1002C-2H-2,116-117",0.873,0,13.47,19900,"165-1002C-2H-4,57",0.46
11.27,18670,24.7,"165-1002C-2H-2,136-137",0.879,9.4e-7,13.64,20000,"165-1002C-2H-4,74",0.83
11.57,18850,24.7,"165-1002C-2H-3,16-17",0.88,6.7e-7,13.87,20430,"165-1002C-2H-4,97",0.41
11.77,18970,24.5,"165-1002C-2H-3,36-37",0.873,9.7e-7,14.07,20820,"165-1002C-2H-4,117",0.52
11.97,19080,24.7,"165-1002C-2H-3,56-57",0.878,9.1e-7,14.27,21190,"165-1002C-2H-4,137",-0.26
12.15,19190,24.7,"165-1002C-2H-3,74-75",0.878,7.1e-7,14.57,21760,"165-1002C-2H-5,17",0.11
12.37,19320,24.8,"165-1002C-2H-3,96-97",0.882,9.2e-7,14.77,22150,"165-1002C-2H-5,37",0.38
12.57,19440,24.8,"165-1002C-2H-3,116-117",0.882,1.16e-6,14.97,22520,"165-1002C-2H-5,57",0.08
12.77,19560,25.2,"165-1002C-2H-3,136-137",0.896,9.3e-7,15.14,22850,"165-1002C-2H-5,74",0.21
13.07,19730,24.7,"165-1002C-2H-4,16-17",0.878,1.17e-6,15.37,23300,"165-1002C-2H-5,97",0.36
13.27,19850,25.1,"165-1002C-2H-4,36-37",0.891,1.39e-6,15.57,23670,"165-1002C-2H-5,117",0.15
13.47,19970,25.2,"165-1002C-2H-4,56-57",0.895,9.1e-7,15.77,24060,"165-1002C-2H-5,137",-0.5
13.65,20010,25,"165-1002C-2H-4,74-75",0.889,1.17e-6,16.07,24620,"165-1002C-2H-6,17",0.39
13.87,20430,25.1,"165-1002C-2H-4,96-97",0.893,9.2e-7,16.27,24990,"165-1002C-2H-6,37",0.56
14.07,20820,24.9,"165-1002C-2H-4,116-117",0.885,1.21e-6,16.47,25380,"165-1002C-2H-6,57",0.29
14.27,21190,24.8,"165-1002C-2H-4,136-137",0.881,1.13e-6,16.64,25720,"165-1002C-2H-6,74",0.18
14.57,21760,24.8,"165-1002C-2H-5,16-17",0.883,6.3e-7,16.87,26150,"165-1002C-2H-6,97",0.06
14.77,22150,24,"165-1002C-2H-5,36-37",0.854,1.51e-6,17.07,26540,"165-1002C-2H-6,117",-0.74
14.97,22520,24.4,"165-1002C-2H-5,56-57",0.869,6.4e-7,17.27,26910,"165-1002C-2H-6,137",-0.01
15.15,22870,23.9,"165-1002C-2H-5,74-75",0.851,1.18e-6,17.57,27470,"165-1002C-2H-7,17",-0.02
15.37,23300,24.1,"165-1002C-2H-5,96-97",0.858,1.08e-6,17.62,27570,"165-1002C-2H-7,22",-0.27
15.57,23670,24.4,"165-1002C-2H-5,116-117",0.868,9.9e-7,17.77,27860,"165-1002C-2H-7,37",0.16
15.77,24060,24.5,"165-1002C-2H-5,136-137",0.873,1.2e-6,17.97,28680,"165-1002C-3H-1,7",0.26
16.07,24620,24.9,"165-1002C-2H-6,16-17",0.885,9.3e-7,18.07,28850,"165-1002C-3H-1,17",0.03
16.24,24940,24.7,"165-1002C-2H-6,33-34",0.879,0,18.17,29040,"165-1002C-3H-1,27",-0.42
16.47,25380,24.2,"165-1002C-2H-6,56-57",0.862,6.6e-7,18.66,29920,"165-1002C-3H-1,76",-0.17
16.65,25730,24.5,"165-1002C-2H-6,74-75",0.873,0,18.77,30110,"165-1002C-3H-1,87",-0.16
16.87,26150,24.5,"165-1002C-2H-6,96-97",0.871,1.07e-6,19.17,30820,"165-1002C-3H-1,127",-0.17
17.07,26540,24.3,"165-1002C-2H-6,116-117",0.866,1.21e-6,19.27,31010,"165-1002C-3H-1,137",0.33
17.27,26910,24.7,"165-1002C-2H-6,136-137",0.88,1.17e-6,19.37,31180,"165-1002C-3H-1,147",-0.02
17.57,27470,24.9,"165-1002C-2H-7,16-17",0.885,2.85e-6,19.47,31370,"165-1002C-3H-2,7",0.08
17.77,27860,23.8,"165-1002C-2H-7,36-37",0.849,2.19e-6,19.57,31540,"165-1002C-3H-2,17",0.13
17.97,28680,24.3,"165-1002C-3H-1,6-7",0.864,1.18e-6,19.67,31730,"165-1002C-3H-2,27",-0.09
18.17,29040,24.3,"165-1002C-3H-1,26-27",0.864,0,19.77,31910,"165-1002C-3H-2,37",0.41
18.37,29420,24.5,"165-1002C-3H-1,46-47",0.873,1.23e-6,19.87,32080,"165-1002C-3H-2,47",0.24
18.57,29790,24.2,"165-1002C-3H-1,66-67",0.861,1.04e-6,20.07,32440,"165-1002C-3H-2,67",-0.93
18.77,30170,24.5,"165-1002C-3H-1,86-87",0.873,1.62e-6,20.14,32570,"165-1002C-3H-2,74",0.11
18.97,30540,24.3,"165-1002C-3H-1,106-107",0.865,1.71e-6,20.27,32800,"165-1002C-3H-2,87",0.47
19.17,30920,23.1,"165-1002C-3H-1,126-127",0.824,2.02e-6,20.47,33150,"165-1002C-3H-2,107",0.33
19.37,31290,23.2,"165-1002C-3H-1,146-147",0.829,1.53e-6,20.67,33510,"165-1002C-3H-2,127",0.03
19.47,31480,23.8,"165-1002C-3H-2,6-7",0.849,3.27e-6,20.85,33850,"165-1002C-3H-2,145",-0.58
19.67,31860,22.7,"165-1002C-3H-2,26-27",0.811,2.49e-6,21.07,34240,"165-1002C-3H-3,17",-0.26
20.07,32610,22.9,"165-1002C-3H-2,66-67",0.818,1.51e-6,21.17,34410,"165-1002C-3H-3,27",0.03
20.27,32990,23.5,"165-1002C-3H-2,86-87",0.839,1.97e-6,21.64,35260,"165-1002C-3H-3,74",0.19
20.47,33360,22.2,"165-1002C-3H-2,106-107",0.794,2.76e-6,21.87,35670,"165-1002C-3H-3,97",0.45
20.67,33740,21.9,"165-1002C-3H-2,126-127",0.782,3.4e-6,21.97,35860,"165-1002C-3H-3,107",0.33
20.85,34070,23.3,"165-1002C-3H-2,144-145",0.832,1.55e-6,22.07,36030,"165-1002C-3H-3,117",-0.17
20.97,34300,22.9,"165-1002C-3H-3,6-7",0.818,1.4e-6,22.17,36220,"165-1002C-3H-3,127",0.44
21.17,34670,24.2,"165-1002C-3H-3,26-27",0.862,1.72e-6,22.27,36380,"165-1002C-3H-3,137",-0.79
21.37,35050,22.9,"165-1002C-3H-3,46-47",0.816,1.46e-6,22.5,36800,"165-1002C-3H-4,7",0.15
21.57,35430,22.9,"165-1002C-3H-3,66-67",0.819,1.54e-6,22.6,36990,"165-1002C-3H-4,17",0.65
21.77,35800,23.6,"165-1002C-3H-3,86-87",0.841,4.62e-6,22.7,37150,"165-1002C-3H-4,27",0.67
21.97,36180,22.5,"165-1002C-3H-3,106-107",0.803,3.59e-6,22.8,37340,"165-1002C-3H-4,37",0.77
22.17,36550,23.3,"165-1002C-3H-3,126-127",0.832,4.5e-6,22.9,37510,"165-1002C-3H-4,47",0.82
22.5,37170,23.7,"165-1002C-3H-4,6-7",0.845,1.39e-6,22.99,37680,"165-1002C-3H-4,56",0.59
22.7,37550,23.2,"165-1002C-3H-4,26-27",0.829,2.3e-6,23.1,37870,"165-1002C-3H-4,67",0.65
22.9,37920,23.9,"165-1002C-3H-4,46-47",0.851,1.83e-6,23.17,38000,"165-1002C-3H-4,74",0.38
23.1,38300,24.3,"165-1002C-3H-4,66-67",0.864,1.81e-6,23.3,38420,"165-1002C-3H-4,87",0.15
23.3,38420,24.2,"165-1002C-3H-4,86-87",0.86,5.57e-6,23.4,38710,"165-1002C-3H-4,97",0.23
23.5,39030,24.6,"165-1002C-3H-4,106-107",0.876,3.45e-6,23.5,39030,"165-1002C-3H-4,107",0.39
23.7,39620,23.7,"165-1002C-3H-4,126-127",0.844,4.01e-6,23.6,39320,"165-1002C-3H-4,117",-0.37
23.87,40160,24.5,"165-1002C-3H-4,143-144",0.871,4.32e-6,23.8,39940,"165-1002C-3H-4,137",0.4
24,40570,22.4,"165-1002C-3H-5,6-7",0.801,3.73e-6,23.87,40160,"165-1002C-3H-4,144",0.55
24.2,41170,23.3,"165-1002C-3H-5,26-27",0.833,3.53e-6,24.1,40870,"165-1002C-3H-5,17",-0.26
24.4,41810,23.5,"165-1002C-3H-5,46-47",0.838,2.82e-6,24.3,41490,"165-1002C-3H-5,37",0.3
24.6,42420,24.6,"165-1002C-3H-5,66-67",0.875,4.36e-6,24.4,41810,"165-1002C-3H-5,47",0.45
24.8,43040,23.8,"165-1002C-3H-5,86-87",0.847,3.4e-6,24.5,42100,"165-1002C-3H-5,57",0.26
25,43650,23.6,"165-1002C-3H-5,106-107",0.842,6.31e-6,24.6,42420,"165-1002C-3H-5,67",0.35
25.2,44270,24.6,"165-1002C-3H-5,126-127",0.876,1.5e-6,24.67,42620,"165-1002C-3H-5,74",0.12
25.4,44910,23.3,"165-1002C-3H-5,146-147",0.833,2.76e-6,24.8,43040,"165-1002C-3H-5,87",-0.16
25.53,45300,24.3,"165-1002C-3H-6,6-7",0.864,4.27e-6,24.9,43330,"165-1002C-3H-5,97",0.75
25.73,45910,23.9,"165-1002C-3H-6,26-27",0.853,2.88e-6,25,43650,"165-1002C-3H-5,107",0.31
25.93,46530,22.9,"165-1002C-3H-6,46-47",0.816,2.41e-6,25.1,43940,"165-1002C-3H-5,117",0.73
26.13,47140,24.1,"165-1002C-3H-6,66-67",0.86,2.12e-6,25.2,44270,"165-1002C-3H-5,127",-0.11
26.33,47750,24.4,"165-1002C-3H-6,86-87",0.868,2.55e-6,25.3,44590,"165-1002C-3H-5,137",-0.47
26.53,48370,22.6,"165-1002C-3H-6,106-107",0.806,3.74e-6,25.53,45300,"165-1002C-3H-6,7",-0.66
26.73,48980,21.7,"165-1002C-3H-6,126-127",0.777,2.44e-6,25.63,45590,"165-1002C-3H-6,17",-0.1
26.93,49590,23.8,"165-1002C-3H-6,146-147",0.849,2.01e-6,25.73,45910,"165-1002C-3H-6,27",0.81
27.03,49920,23.7,"165-1002C-3H-7,6-7",0.844,1.8e-6,25.83,46200,"165-1002C-3H-6,37",0.26
27.23,50550,23.7,"165-1002C-3H-7,26-27",0.846,1.15e-6,25.93,46530,"165-1002C-3H-6,47",0.14
27.43,51150,23.1,"165-1002C-3H-7,46-47",0.825,1.97e-6,26.13,47140,"165-1002C-3H-6,67",0.97
27.47,52660,23,"165-1002C-4H-1,6-7",0.82,2.75e-6,26.33,47750,"165-1002C-3H-6,87",0.48
27.67,53250,22.4,"165-1002C-4H-1,26-27",0.799,4.04e-6,26.43,48040,"165-1002C-3H-6,97",0.49
27.87,53890,23.2,"165-1002C-4H-1,46-47",0.829,1.45e-6,26.53,48370,"165-1002C-3H-6,107",0.69
28.14,54700,24.6,"165-1002C-4H-1,73-74",0.876,1.22e-6,26.63,48690,"165-1002C-3H-6,117",0.46
28.37,55420,25.4,"165-1002C-4H-1,96-97",0.904,3.9e-7,26.73,48980,"165-1002C-3H-6,127",0.46
28.57,56040,23.7,"165-1002C-4H-1,116-117",0.846,5.2e-7,26.83,49300,"165-1002C-3H-6,137",0.47
28.77,56640,24.2,"165-1002C-4H-1,136-137",0.861,4.7e-7,26.92,49560,"165-1002C-3H-6,146",0.97
28.97,57250,25.1,"165-1002C-4H-2,6-7",0.893,4.7e-7,27.03,49920,"165-1002C-3H-7,7",0.87
29.17,57860,25.1,"165-1002C-4H-2,26-27",0.891,0,27.12,50240,"165-1002C-3H-7,16",0.91
29.37,58480,24.5,"165-1002C-4H-2,46-47",0.873,1.13e-6,27.33,50820,"165-1002C-3H-7,37",0.75
29.65,59350,23,"165-1002C-4H-2,74-75",0.822,1.65e-6,27.43,51150,"165-1002C-3H-7,47",0.29
29.87,60000,23.2,"165-1002C-4H-2,96-97",0.827,1.03e-6,27.47,52660,"165-1002C-3H-1,7",0.57
30.07,60640,23.7,"165-1002C-4H-2,116-117",0.845,0,27.53,51440,"165-1002C-3H-7,57",0.88
30.27,61260,24.6,"165-1002C-4H-2,136-137",0.874,7.1e-7,27.57,52950,"165-1002C-3H-1,17",0.88
30.5,62010,23.7,"165-1002C-4H-3,6-7",0.845,6.9e-7,27.77,53570,"165-1002C-4H-1,37",0.35
30.7,62410,23.5,"165-1002C-4H-3,26-27",0.839,1.09e-6,27.87,53890,"165-1002C-4H-1,47",1.08
30.9,62710,24.9,"165-1002C-4H-3,46-47",0.887,7.2e-7,27.97,54180,"165-1002C-4H-1,57",0.88
31.17,64000,24.3,"165-1002C-4H-3,73-74",0.864,2.06e-6,28.14,54700,"165-1002C-4H-1,74",-0.07
31.4,66110,22.1,"165-1002C-4H-3,96-97",0.79,4.74e-6,28.23,54990,"165-1002C-4H-1,83",0.42
31.6,66940,23.1,"165-1002C-4H-3,116-117",0.824,2.24e-6,28.45,55670,"165-1002C-4H-1,105",-0.05
31.8,67440,23.8,"165-1002C-4H-3,136-137",0.848,9.9e-7,28.67,56350,"165-1002C-4H-1,127",0.64
32.07,68460,22.6,"165-1002C-4H-4,6-7",0.807,1.67e-6,28.77,56640,"165-1002C-4H-1,137",1.12
32.27,69200,25.4,"165-1002C-4H-4,26-27",0.901,1.36e-6,28.87,56960,"165-1002C-4H-1,147",0.67
32.47,69760,21.9,"165-1002C-4H-4,46-47",0.783,5.66e-6,28.97,57250,"165-1002C-4H-2,7",0.13
32.75,70540,20.9,"165-1002C-4H-4,74-75",0.751,1.27e-5,29.07,57570,"165-1002C-4H-2,17",-0.09
32.97,71490,23,"165-1002C-4H-4,96-97",0.821,6.11e-6,29.17,57860,"165-1002C-4H-2,27",-0.12
33.17,72340,22.7,"165-1002C-4H-4,116-117",0.81,1.72e-6,29.27,58190,"165-1002C-4H-2,37",0.83
33.37,73190,24,"165-1002C-4H-4,136-137",0.853,1.06e-6,29.37,58480,"165-1002C-4H-2,47",0.99
33.69,74560,25.1,"165-1002C-4H-5,6-7",0.894,1.19e-6,29.64,59320,"165-1002C-4H-2,74",0.64
33.88,75370,22.3,"165-1002C-4H-5,26-27",0.797,4.33e-6,29.77,59700,"165-1002C-4H-2,87",0.55
34.08,76230,23.6,"165-1002C-4H-5,46-47",0.84,5.81e-6,29.97,60320,"165-1002C-4H-2,107",0.77
34.35,77390,22,"165-1002C-4H-5,73-74",0.786,1.016e-5,30.07,60640,"165-1002C-4H-2,117",1.13
34.58,78370,22,"165-1002C-4H-5,96-97",0.788,1.162e-5,30.17,60930,"165-1002C-4H-2,127",1.21
34.78,79230,24.3,"165-1002C-4H-5,116-117",0.865,7.89e-6,30.27,61250,"165-1002C-4H-2,137",0.9
34.98,80080,25.7,"165-1002C-4H-5,136-137",0.913,6.83e-6,30.6,62260,"165-1002C-4H-3,17",1.04
35.22,81110,25.9,"165-1002C-4H-6,7-8",0.92,5.54e-6,31.17,64000,"165-1002C-4H-3,74",0.16
35.41,81920,25,"165-1002C-4H-6,26-27",0.888,6.13e-6,31.4,66110,"165-1002C-4H-3,97",0.49
35.61,82780,22.8,"165-1002C-4H-6,46-47",0.814,6.27e-6,31.7,67120,"165-1002C-4H-3,127",1.15
35.89,83980,25.4,"165-1002C-4H-6,74-75",0.903,1.01e-6,32.07,68350,"165-1002C-4H-4,7",1.06
36.11,84920,25.4,"165-1002C-4H-6,96-97",0.902,4.1e-7,32.37,69340,"165-1002C-4H-4,37",0.73
36.31,85770,25.4,"165-1002C-4H-6,116-117",0.901,0,32.74,70500,"165-1002C-4H-4,74",-0.77
36.51,86630,25.2,"165-1002C-4H-6,136-137",0.896,0,32.87,71140,"165-1002C-4H-4,87",-0.73
36.72,87530,25.2,"165-1002C-4H-7,7-8",0.895,1.03e-6,33.17,72340,"165-1002C-4H-4,117",-0.3
36.91,88340,24.4,"165-1002C-4H-7,26-27",0.869,3.57e-6,34.18,76450,"165-1002C-4H-5,57",-1.34
36.97,89800,26,"165-1002C-5H-1,6-7",0.921,5.18e-6,34.32,77000,"165-1002C-4H-5,71",-0.44
37.14,89320,25.2,"165-1002C-4H-7,49-50",0.895,4.05e-6,34.68,78500,"165-1002C-4H-5,107",-0.88
37.17,90610,25.7,"165-1002C-5H-1,26-27",0.911,6.23e-6,35.31,81020,"165-1002C-4H-6,17",-1.36
37.37,91420,26,"165-1002C-5H-1,46-47",0.924,7.01e-6,35.61,82270,"165-1002C-4H-6,47",-0.8
37.57,92220,25.2,"165-1002C-5H-1,66-67",0.897,8.21e-6,35.88,83380,"165-1002C-4H-6,74",0.41
37.77,93000,25.6,"165-1002C-5H-1,86-87",0.909,7.95e-6,36.71,86710,"165-1002C-4H-7,7",-0.8
37.97,93780,25.5,"165-1002C-5H-1,106-107",0.905,6.59e-6,36.82,87190,"165-1002C-4H-7,18",0.08
38.17,94590,23.1,"165-1002C-5H-1,126-127",0.824,9.57e-6,37.14,88470,"165-1002C-4H-7,50",-0.74
38.35,95310,22.1,"165-1002C-5H-1,144-145",0.792,1.171e-5,37.17,90610,"165-1002C-5H-1,27",-0.86
38.47,95780,21.6,"165-1002C-5H-2,6-7",0.774,7.18e-6,37.65,92530,"165-1002C-5H-1,75",-0.46
38.67,96580,23.8,"165-1002C-5H-2,26-27",0.847,6.48e-6,37.87,93390,"165-1002C-5H-1,97",-0.47
38.87,97370,21.9,"165-1002C-5H-2,46-47",0.785,5.53e-6,38.17,94590,"165-1002C-5H-1,127",-1.07
39.07,98180,21,"165-1002C-5H-2,66-67",0.754,6.86e-6,38.47,95780,"165-1002C-5H-2,7",0.04
39.27,99020,24.3,"165-1002C-5H-2,86-87",0.865,1.88e-6,38.75,96900,"165-1002C-5H-2,35",-1.36
39.47,99820,25.5,"165-1002C-5H-2,106-107",0.906,1.28e-6,39.07,98180,"165-1002C-5H-2,67",-1.57
39.67,100600,25.5,"165-1002C-5H-2,126-127",0.905,3.05e-6,39.15,98520,"165-1002C-5H-2,75",-0.59
39.87,101400,25.3,"165-1002C-5H-2,146-147",0.9,2.85e-6,39.75,100920,"165-1002C-5H-2,135",-0.59
39.97,101800,25,"165-1002C-5H-3,6-7",0.89,2.87e-6,40.07,102200,"165-1002C-5H-3,17",-1.75
40.17,102600,25.4,"165-1002C-5H-3,26-27",0.904,2.71e-6,40.77,104980,"165-1002C-5H-3,87",-1.42
40.37,103400,25.7,"165-1002C-5H-3,46-47",0.912,0,41.07,106180,"165-1002C-5H-3,117",-0.42
40.57,104190,25.9,"165-1002C-5H-3,66-67",0.92,1.03e-6,41.34,107250,"165-1002C-5H-3,144",0.03
40.77,104980,26,"165-1002C-5H-3,86-87",0.923,1.46e-6,41.74,108830,"165-1002C-5H-4,27",-0.28
40.97,105780,25.9,"165-1002C-5H-3,106-107",0.918,3.09e-6,42.22,110760,"165-1002C-5H-4,75",-0.94
41.17,106580,26,"165-1002C-5H-3,126-127",0.925,2.72e-6,42.44,111610,"165-1002C-5H-4,97",-1.8
41.34,107250,26.2,"165-1002C-5H-3,143-144",0.93,2.88e-6,42.74,112810,"165-1002C-5H-4,127",-1.36
41.54,108040,26.7,"165-1002C-5H-4,6-7",0.947,3.29e-6,43.04,114010,"165-1002C-5H-5,7",-1.43
41.74,108830,27,"165-1002C-5H-4,26-27",0.957,3.13e-6,43.34,115210,"165-1002C-5H-5,37",-1.74
41.94,109640,26.9,"165-1002C-5H-4,46-47",0.953,2.92e-6,43.64,116410,"165-1002C-5H-5,67",-1.08
42.14,110440,27,"165-1002C-5H-4,66-67",0.957,3.49e-6,43.72,116750,"165-1002C-5H-5,75",-1.24
42.34,111220,26.9,"165-1002C-5H-4,86-87",0.955,3.8e-6,44.04,118030,"165-1002C-5H-5,107",-1.16
42.54,112010,27.1,"165-1002C-5H-4,106-107",0.961,3.51e-6,44.34,119230,"165-1002C-5H-5,137",-0.94
42.74,112810,27.3,"165-1002C-5H-4,126-127",0.968,3.7e-6,44.64,120430,"165-1002C-5H-6,17",-0.82
42.93,113570,27,"165-1002C-5H-4,145-146",0.958,4.35e-6,45.22,122740,"165-1002C-5H-6,75",-1
43.04,114010,26.9,"165-1002C-5H-5,6-7",0.954,3.9e-6,45.64,124410,"165-1002C-5H-6,117",-1.57
43.24,114810,26.5,"165-1002C-5H-5,26-27",0.939,4.6e-6,45.93,125560,"165-1002C-5H-6,146",-0.88
43.44,115600,27.2,"165-1002C-5H-5,46-47",0.965,3.9e-6,46.24,126800,"165-1002C-5H-7,27",-1.86
43.64,116410,27.2,"165-1002C-5H-5,66-67",0.964,4.11e-6,46.47,130510,"165-1002C-6H-1,7",-0.1
43.84,117240,27.2,"165-1002C-5H-5,86-87",0.963,5.2e-6,46.54,128000,"165-1002C-5H-7,57",-1.16
44.04,118030,26.9,"165-1002C-5H-5,106-107",0.953,3.97e-6,46.84,132000,"165-1002C-6H-2,17",0.04
44.24,118830,27,"165-1002C-5H-5,126-127",0.956,5.29e-6,47.14,133190,"165-1002C-6H-2,47",1.08
44.4,119470,26.8,"165-1002C-5H-5,142-143",0.95,5.78e-6,47.41,134240,"165-1002C-6H-2,74",0.79
44.54,120030,26.6,"165-1002C-5H-6,6-7",0.942,4.73e-6,47.84,135960,"165-1002C-6H-2,117",0.46
44.74,120830,26.6,"165-1002C-5H-6,26-27",0.943,2.69e-6,48.1,136970,"165-1002C-6H-2,143",0.48
44.94,121620,26.2,"165-1002C-5H-6,46-47",0.93,2.67e-6,48.9,140130,"165-1002C-6H-3,73",0.38
45.14,122420,26.3,"165-1002C-5H-6,66-67",0.934,2.18e-6,49.74,143430,"165-1002C-6H-4,7",0.31
45.34,123210,26.5,"165-1002C-5H-6,86-87",0.94,2.6e-6,51.9,152000,"165-1002C-6H-5,73",0.88
