depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
589.5,954,7.68,1329.972,-3.919,663,-25.55,8.85,1314.93,0.13,69,1.95,3300,0.144,1269.93,-3.739
594.5,972,8.33,1349.986,-6.352,668,-25.28,9.06,1334.944,0.275,70,1.946,3350,0.148,1289.944,-3.949
599.5,989,6.9,1370,-8.536,673,-25.53,7.29,1354.958,0.398,71,1.921,3400,0.148,1309.958,-3.652
602.5,1000,6.5,1390.014,-1.959,679,-24.59,9.66,1374.972,0.475,72,1.876,3450,0.132,1329.972,-3.919
609.5,1022,6.27,1410.029,-2.179,684,-25.35,8.26,1394.986,0.807,73,1.855,3500,0.084,1349.986,-6.352
614.5,1036,6.66,1430.043,-1.889,690,-25.08,8.55,1415,1.083,74,1.862,3550,0.048,1370,-8.536
619.5,1050,6.74,1450.057,-0.64,695,-25.31,9.03,1435.014,0.19,75,1.808,3600,0.15,1390.014,-1.959
623.5,1059,7.98,1470.071,-0.642,698,-25.13,8.55,1455.029,0.26,76,1.875,3650,0.166,1410.029,-2.179
629.5,1071,13.67,1490.085,-1.379,701,-25.27,9.71,1475.043,0.187,77,1.891,3700,0.194,1430.043,-1.889
639.5,1104,7.98,1510.099,-2.589,707,-25.01,10.66,1495.057,0.143,78,1.872,3750,0.18,1450.057,-0.64
644.5,1120,6.61,1530.113,-2.163,712,-25.46,9.21,1515.071,0.187,79,1.816,3800,0.164,1470.071,-0.642
649.5,1137,6.94,1550.127,-2.629,718,-25.86,7.73,1535.085,0.148,80,1.854,3850,0.14,1490.085,-1.379
654.5,1154,8.12,1570.141,-3.627,724,-25.44,7.57,1555.099,0.156,81,1.798,3900,0.134,1510.099,-2.589
659.5,1171,8.74,1590.155,-3.378,730,-25.21,9.53,1575.113,0.15,82,1.773,3950,0.14,1530.113,-2.163
667.7,1199,7.6,1610.169,-2.502,736,-25.62,8.79,1595.127,0.099,83,1.65,4000,0.144,1550.127,-2.629
672.7,1216,7.71,1630.184,-2.958,743,-25.37,10.1,1615.141,0.121,84,1.816,4050,0.15,1570.141,-3.627
676.7,1230,7.77,1650.198,-2.702,749,-25.69,9.55,1635.155,0.153,85,1.816,4100,0.146,1590.155,-3.378
682.7,1251,7.9,1670.212,-1.988,755,-25.78,9.46,1655.169,0.159,86,1.87,4150,0.15,1610.169,-2.502
687.7,1269,8.08,1690.226,-1.406,762,-25.82,9.67,1675.184,0.12,87,1.854,4200,0.324,1630.184,-2.958
692.7,1286,7.7,1710.24,-2.329,768,-25.81,9.25,1695.198,0.101,88,1.836,4250,0.216,1650.198,-2.702
698.7,1308,7.15,1730.254,-2.203,775,-25.71,7.34,1715.212,0.112,89,1.878,4300,0.048,1670.212,-1.988
707.2,1339,7.2,1750.268,-1.32,781,-25.22,8.26,1735.226,0.132,90,1.878,4350,0.07,1690.226,-1.406
712.7,1359,6.07,1770.282,-0.519,788,-25.54,7.46,1755.24,0.152,91,1.877,4400,0.08,1710.24,-2.329
717.7,1377,7.53,1790.296,-1.16,795,-25.86,7.12,1775.254,0.153,92,1.848,4450,0.084,1730.254,-2.203
722.7,1396,6.13,1810.31,-1.166,802,-25.62,7.96,1795.268,0.172,93,1.83,4500,0.088,1750.268,-1.32
726.7,1410,6.91,1830.324,-1.274,809,-25.85,8.19,1815.282,0.189,94,1.822,4550,0.096,1770.282,-0.519
732.7,1433,6.79,1850.339,-1.94,818,-25.52,8.85,1835.296,0.24,95,1.74,4600,0.096,1790.296,-1.16
737.7,1451,10.49,1870.353,-2.787,827,-26,7.58,1855.31,0.22,96,1.833,4650,0.096,1810.31,-1.166
742.7,1470,7.7,1890.367,-2.385,836,-25.57,8.3,1875.324,0.198,97,1.877,4700,0.088,1830.324,-1.274
747.7,1489,7.79,1910.381,-2.089,844,-26.34,7.43,1895.339,0.217,98,1.868,4750,0.084,1850.339,-1.94
752.7,1507,6.7,1930.395,-1.939,854,-25.13,9.33,1915.353,0.313,99,1.89,4800,0.076,1870.353,-2.787
757.7,1526,7.97,1950.409,-1.302,862,-26.2,8.02,1935.367,0.265,100,1.891,4850,0.074,1890.367,-2.385
762.7,1545,4.9,1970.423,-2.529,872,-25.67,10.12,1955.381,0.201,110,1.989,4900,0.074,1910.381,-2.089
767.7,1564,6.6,1990.437,-2.011,882,-25.64,8.63,1975.395,0.214,111,2.065,4950,0.058,1930.395,-1.939
772.7,1583,4.69,2010.451,-3.325,885,-25.96,9.42,1995.409,0.237,112,1.968,5000,0.054,1950.409,-1.302
777.7,1602,7.44,2030.465,-1.845,889,-25.59,10.03,2015.423,0.294,113,1.885,5050,0.05,1970.423,-2.529
