depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
1634.25,8878,13.58,8374.932,0.537,4188,-25.51,8.14,8359.89,0.276,848,2.098,NA,NA,8314.89,0.667
1640.3,9005,10.71,8394.946,-0.652,4199,-25.48,7.97,8379.904,0.228,852,2.204,NA,NA,8334.904,-1.652
1641.55,9030,10.79,8414.96,-0.849,4209,-26.07,7.91,8399.918,0.37,856,2.174,NA,NA,8354.918,0.312
1646.55,9135,5.34,8434.974,-0.555,4217,-25.61,8.66,8419.932,0.271,859,2.055,NA,NA,8374.932,0.537
1651.55,9240,10.65,8454.988,1.211,4225,-26.51,7.97,8439.946,0.345,863,2.1,NA,NA,8394.946,-0.652
1656.55,9344,8.08,8475.002,2.187,4231,-26.55,7.52,8459.96,0.407,867,2.114,NA,NA,8414.96,-0.849
1661.55,10092,6.8,8495.016,0.025,4235,-25.19,6.53,8479.974,0.338,870,2.135,NA,NA,8434.974,-0.555
1666.55,10104,9.09,8515.031,0.965,4252,-24.04,6.53,8499.988,0.328,874,2.108,NA,NA,8454.988,1.211
1671.55,10115,5.89,8535.045,3.468,4269,-23.87,6.29,8520.002,0.267,878,2.007,NA,NA,8475.002,2.187
1676.55,10126,5.88,8555.059,3.819,4286,-24.28,6.3,8540.016,0.467,882,2.052,NA,NA,8495.016,0.025
1681.55,10137,6.16,8575.073,3.189,4301,-24.38,5.7,8560.031,0.395,885,2.136,NA,NA,8515.031,0.965
1686.55,10148,6.07,8595.087,0.846,4316,-24.48,5.94,8580.045,0.304,889,2.129,NA,NA,8535.045,3.468
1691.55,10159,8.53,8615.101,1.762,4330,-25.15,6.11,8600.059,0.245,893,2.069,NA,NA,8555.059,3.819
1696.55,10170,6.17,8635.115,2.809,4344,-24.49,6.23,8620.073,0.204,897,2.127,NA,NA,8575.073,3.189
1701.55,10181,6.85,8655.129,4.24,4358,-24.06,5.74,8640.087,0.234,900,2.115,NA,NA,8595.087,0.846
NA,NA,NA,8675.143,5.285,4371,-24.53,6.07,8660.101,0.315,904,2.144,NA,NA,8615.101,1.762
NA,NA,NA,8695.157,4.058,4383,-24.61,5.81,8680.115,0.329,908,2.143,NA,NA,8635.115,2.809
NA,NA,NA,8715.171,0.82,4395,-24.02,5.87,8700.129,0.367,912,2.037,NA,NA,8655.129,4.24
NA,NA,NA,8735.186,-0.868,4407,-23.54,5.73,8720.143,0.403,916,2.018,NA,NA,8675.143,5.285
NA,NA,NA,8755.2,-0.32,4418,-24.1,5.81,8740.157,0.342,919,2.077,NA,NA,8695.157,4.058
NA,NA,NA,8775.214,3.043,4429,-23.91,5.69,8760.171,0.301,923,2.132,NA,NA,8715.171,0.82
NA,NA,NA,8795.228,4.754,4440,-24.61,5.81,8780.186,0.411,927,2.194,NA,NA,8735.186,-0.868
NA,NA,NA,8815.242,4.905,4450,-24.07,5.58,8800.2,0.338,931,2.155,NA,NA,8755.2,-0.32
NA,NA,NA,8835.256,5.394,4460,-23.86,5.85,8820.214,0.395,935,2.166,NA,NA,8775.214,3.043
NA,NA,NA,8855.27,5.421,4470,-24.95,5.64,8840.228,0.339,938,2.042,NA,NA,8795.228,4.754
NA,NA,NA,8875.284,4.535,4480,-26.28,4.9,8860.242,0.312,942,2.026,NA,NA,8815.242,4.905
NA,NA,NA,8895.298,4.695,4490,-24.31,5.73,8880.256,0.305,946,2.172,NA,NA,8835.256,5.394
NA,NA,NA,8915.312,4.401,4499,-24.43,5.78,8900.27,0.482,950,2.104,NA,NA,8855.27,5.421
NA,NA,NA,8935.326,3.947,4509,-24.6,5.62,8920.284,0.418,954,2.028,NA,NA,8875.284,4.535
NA,NA,NA,8955.341,3.493,4518,-24.9,5.28,8940.298,0.351,957,2.01,NA,NA,8895.298,4.695
NA,NA,NA,8975.355,3.035,4527,-25.54,5.98,8960.312,0.284,961,2.106,NA,NA,8915.312,4.401
NA,NA,NA,8995.369,2.956,4537,-24.24,5.62,8980.326,0.216,965,2.104,NA,NA,8935.326,3.947
NA,NA,NA,9015.383,0.737,4546,-24.03,6.15,9000.341,0.149,969,2.044,NA,NA,8955.341,3.493
NA,NA,NA,9035.397,0.848,4555,-23.84,5.62,9020.355,0.103,973,2.089,NA,NA,8975.355,3.035
NA,NA,NA,9055.411,3.371,4564,-24.61,5.41,9040.369,0.131,976,2.109,NA,NA,8995.369,2.956
NA,NA,NA,9075.425,6.062,4574,-24.93,5.77,9060.383,0.223,980,2.101,NA,NA,9015.383,0.737
NA,NA,NA,9095.439,5.499,4583,-23.95,5.56,9080.397,0.197,984,2.039,NA,NA,9035.397,0.848
NA,NA,NA,9115.453,4.243,4592,-24.07,5.54,9100.411,0.197,988,2.035,NA,NA,9055.411,3.371
NA,NA,NA,9135.467,1.586,4602,-23.45,5.51,9120.425,0.188,991,2.059,NA,NA,9075.425,6.062
NA,NA,NA,9155.481,1.054,4611,-23.8,5.6,9140.439,0.177,995,2.21,NA,NA,9095.439,5.499
NA,NA,NA,9175.495,1.096,4621,-24.44,6.17,9160.453,0.154,999,2.266,NA,NA,9115.453,4.243
NA,NA,NA,9195.51,1.972,4631,-24.12,5.87,9180.467,0.077,1002,2.222,NA,NA,9135.467,1.586
NA,NA,NA,9215.524,2.924,4641,-23.29,5.96,9200.481,0.093,1006,2.136,NA,NA,9155.481,1.054
NA,NA,NA,9235.538,3.6,4651,-23.85,6.06,9220.495,0.134,1010,2.125,NA,NA,9175.495,1.096
NA,NA,NA,9255.552,3.676,4662,-23.37,5.52,9240.51,0.124,1013,2.207,NA,NA,9195.51,1.972
NA,NA,NA,9275.566,3.154,4672,-23.47,5.78,9260.524,0.099,1017,2.183,NA,NA,9215.524,2.924
NA,NA,NA,9295.58,2.663,4683,-23.65,5.77,9280.538,0.072,1020,2.346,NA,NA,9235.538,3.6
NA,NA,NA,9315.594,2.218,4694,-24.14,6.06,9300.552,0.064,1024,2.311,NA,NA,9255.552,3.676
NA,NA,NA,9335.608,1.84,4706,-24.13,5.95,9320.566,0.06,1027,2.349,NA,NA,9275.566,3.154
NA,NA,NA,9355.622,1.572,4717,-23.69,5.81,9340.58,0.06,1031,2.339,NA,NA,9295.58,2.663
NA,NA,NA,9375.636,1.738,4729,-24.28,6.15,9360.594,0.06,1034,2.344,NA,NA,9315.594,2.218
NA,NA,NA,9395.65,1.685,4741,-24.33,5.84,9380.608,0.06,1038,2.311,NA,NA,9335.608,1.84
NA,NA,NA,9415.665,1.101,4753,-24.23,5.81,9400.622,0.069,1041,2.265,NA,NA,9355.622,1.572
NA,NA,NA,9435.679,0.809,4766,-23.41,5.85,9420.636,0.085,1045,2.192,NA,NA,9375.636,1.738
NA,NA,NA,9455.693,1.009,4778,-23.52,6.25,9440.65,0.114,1048,2.192,NA,NA,9395.65,1.685
NA,NA,NA,9475.707,1.173,4791,-22.78,5.79,9460.665,0.151,1051,2.147,NA,NA,9415.665,1.101
NA,NA,NA,9495.721,1.363,4805,-23.22,6.06,9480.679,0.148,1054,2.163,NA,NA,9435.679,0.809
NA,NA,NA,9515.735,1.609,4818,-23.62,5.81,9500.693,0.104,1058,2.223,NA,NA,9455.693,1.009
NA,NA,NA,9535.749,1.725,4832,-23.91,5.88,9520.707,0.072,1061,2.262,NA,NA,9475.707,1.173
NA,NA,NA,9555.763,1.672,4846,-23.62,6.45,9540.721,0.07,1064,2.24,NA,NA,9495.721,1.363
NA,NA,NA,9575.777,1.621,4861,-23.47,6.61,9560.735,0.07,1067,2.248,NA,NA,9515.735,1.609
NA,NA,NA,9595.791,1.581,4875,-23.66,6.47,9580.749,0.067,1070,2.166,NA,NA,9535.749,1.725
NA,NA,NA,9615.805,1.543,4890,-24.02,6.35,9600.763,0.063,1073,2.116,NA,NA,9555.763,1.672
NA,NA,NA,9635.82,1.474,4905,-24.28,6.04,9620.777,0.058,1076,2.196,NA,NA,9575.777,1.621
NA,NA,NA,9655.834,1.375,4921,-23.75,6.06,9640.791,0.051,1079,2.214,NA,NA,9595.791,1.581
NA,NA,NA,9675.848,1.273,4937,-23.78,6.3,9660.805,0.043,1082,2.135,NA,NA,9615.805,1.543
NA,NA,NA,9695.862,1.158,4953,-24.42,6.56,9680.82,0.042,1085,2.168,NA,NA,9635.82,1.474
NA,NA,NA,9715.876,1.035,4969,-24.34,5.92,9700.834,0.045,1088,2.174,NA,NA,9655.834,1.375
NA,NA,NA,9735.89,0.909,4986,-24.49,5.95,9720.848,0.049,1091,2.142,NA,NA,9675.848,1.273
NA,NA,NA,9755.904,0.836,5002,-24.45,5.77,9740.862,0.054,1093,2.138,NA,NA,9695.862,1.158
NA,NA,NA,9775.918,0.865,5020,-24.48,6.11,9760.876,0.061,1096,2.163,NA,NA,9715.876,1.035
NA,NA,NA,9795.932,0.902,5037,-24.95,5.84,9780.89,0.067,1098,2.303,NA,NA,9735.89,0.909
NA,NA,NA,9815.946,0.946,5054,-24.72,5.98,9800.904,0.07,1101,2.282,NA,NA,9755.904,0.836
NA,NA,NA,9835.96,0.975,5072,-24.75,5.47,9820.918,0.07,1103,2.3,NA,NA,9775.918,0.865
NA,NA,NA,9855.975,0.996,5090,-24.77,5.94,9840.932,0.07,1106,2.244,NA,NA,9795.932,0.902
NA,NA,NA,9875.989,1.018,5108,-24.9,5.42,9860.946,0.068,1108,2.184,NA,NA,9815.946,0.946
NA,NA,NA,9896.003,1.012,5127,-24.5,5.52,9880.96,0.062,1110,2.296,NA,NA,9835.96,0.975
NA,NA,NA,9916.017,1.003,5145,-24.46,5.6,9900.975,0.056,1113,2.228,NA,NA,9855.975,0.996
NA,NA,NA,9936.031,0.988,5164,-23.8,6.24,9920.989,0.051,1115,2.294,NA,NA,9875.989,1.018
NA,NA,NA,NA,NA,5183,-24.77,5.48,9941.003,0.052,1117,2.306,NA,NA,9896.003,1.012
NA,NA,NA,NA,NA,5202,-24.65,5.46,9961.017,0.055,1119,2.247,NA,NA,9916.017,1.003
NA,NA,NA,NA,NA,5221,-24.57,5.81,9981.031,0.058,1121,2.289,NA,NA,9936.031,0.988
NA,NA,NA,NA,NA,5241,-25.19,6.02,10001.045,0.06,1122,2.346,NA,NA,NA,0.975
NA,NA,NA,NA,NA,5260,-25.01,5.63,10021.059,0.06,1124,2.352,NA,NA,NA,0.958
NA,NA,NA,NA,NA,5280,-24.68,5.72,10041.073,0.06,1143,2.097,NA,NA,NA,0.939
NA,NA,NA,NA,NA,5300,-24.83,5.87,10061.087,0.06,1146,2.056,NA,NA,NA,0.92
NA,NA,NA,NA,NA,5320,-24.57,5.78,10081.101,0.06,1149,2.027,NA,NA,NA,0.894
NA,NA,NA,NA,NA,5340,-24.85,5.53,10101.115,0.06,1152,2.058,NA,NA,NA,0.868
NA,NA,NA,NA,NA,5360,-24.76,5.61,10121.13,0.06,1156,2.07,NA,NA,NA,0.845
NA,NA,NA,NA,NA,5380,-25.03,5.84,10141.144,0.06,1159,2.094,NA,NA,NA,0.827
NA,NA,NA,NA,NA,5400,-25.18,6.36,10161.158,0.056,1162,2.132,NA,NA,NA,1.176
NA,NA,NA,NA,NA,5421,-24.24,6.26,10181.172,0.05,1166,2.21,NA,NA,NA,-0.203
NA,NA,NA,NA,NA,5441,-24.68,5.63,10201.186,0.04,1169,2.232,NA,NA,NA,-1.398
NA,NA,NA,NA,NA,5461,-24.12,5.86,10221.2,0.08,1172,2.304,NA,NA,NA,-1.511
NA,NA,NA,NA,NA,5482,-24.46,5.56,NA,NA,1175,2.229,NA,NA,NA,-3.426
NA,NA,NA,NA,NA,5502,-24.13,5.71,NA,NA,1179,2.132,NA,NA,NA,NA
NA,NA,NA,NA,NA,5523,-26.06,8.28,NA,NA,1182,2.008,NA,NA,NA,NA
NA,NA,NA,NA,NA,5543,-24.84,5.56,NA,NA,1185,2.075,NA,NA,NA,NA
NA,NA,NA,NA,NA,5564,-25.29,6.15,NA,NA,1189,2.119,NA,NA,NA,NA
NA,NA,NA,NA,NA,5584,-24.38,5.01,NA,NA,1192,2.052,NA,NA,NA,NA
NA,NA,NA,NA,NA,5605,-23.46,5.07,NA,NA,1195,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,5625,-24.01,4.89,NA,NA,1199,2.075,NA,NA,NA,NA
NA,NA,NA,NA,NA,5645,-23.61,4.7,NA,NA,1202,2.009,NA,NA,NA,NA
NA,NA,NA,NA,NA,5666,-24,5.05,NA,NA,1205,1.989,NA,NA,NA,NA
NA,NA,NA,NA,NA,5686,-24.51,5.09,NA,NA,1209,2.028,NA,NA,NA,NA
NA,NA,NA,NA,NA,5706,-25,5.54,NA,NA,1212,2.1,NA,NA,NA,NA
NA,NA,NA,NA,NA,5726,-23.65,5.84,NA,NA,1216,2.054,NA,NA,NA,NA
NA,NA,NA,NA,NA,5746,-23.75,5.69,NA,NA,1219,1.991,NA,NA,NA,NA
NA,NA,NA,NA,NA,5767,-24.86,5.62,NA,NA,1222,1.999,NA,NA,NA,NA
NA,NA,NA,NA,NA,5787,-24.13,5.47,NA,NA,1226,1.985,NA,NA,NA,NA
NA,NA,NA,NA,NA,5807,-24.12,5.22,NA,NA,1229,2.152,NA,NA,NA,NA
NA,NA,NA,NA,NA,5827,-24.8,5.58,NA,NA,1233,2.173,NA,NA,NA,NA
NA,NA,NA,NA,NA,5866,-26.42,5.87,NA,NA,1247,2.002,NA,NA,NA,NA
NA,NA,NA,NA,NA,5886,-23.8,6.42,NA,NA,1250,1.921,NA,NA,NA,NA
NA,NA,NA,NA,NA,5906,-23.93,5.58,NA,NA,1254,1.892,NA,NA,NA,NA
NA,NA,NA,NA,NA,5926,-23.95,6.03,NA,NA,1257,1.967,NA,NA,NA,NA
NA,NA,NA,NA,NA,5946,-23.77,5.93,NA,NA,1261,1.945,NA,NA,NA,NA
NA,NA,NA,NA,NA,5965,-23.44,5.54,NA,NA,1264,2.018,NA,NA,NA,NA
NA,NA,NA,NA,NA,5985,-23.69,5.62,NA,NA,1268,2.062,NA,NA,NA,NA
NA,NA,NA,NA,NA,6005,-25.35,6.71,NA,NA,1271,2.13,NA,NA,NA,NA
NA,NA,NA,NA,NA,6025,-23.89,6.22,NA,NA,1275,2.118,NA,NA,NA,NA
NA,NA,NA,NA,NA,6045,-24.82,6.26,NA,NA,1278,1.974,NA,NA,NA,NA
NA,NA,NA,NA,NA,6065,-24.39,6.43,NA,NA,1282,2.19,NA,NA,NA,NA
NA,NA,NA,NA,NA,6085,-23.72,5.78,NA,NA,1285,2.206,NA,NA,NA,NA
NA,NA,NA,NA,NA,6105,-23.97,5.97,NA,NA,1289,2.152,NA,NA,NA,NA
NA,NA,NA,NA,NA,6126,-24.28,6.16,NA,NA,1292,2.134,NA,NA,NA,NA
NA,NA,NA,NA,NA,6146,-24.28,6.58,NA,NA,1296,2.021,NA,NA,NA,NA
NA,NA,NA,NA,NA,6167,-23.86,5.9,NA,NA,1299,2.154,NA,NA,NA,NA
NA,NA,NA,NA,NA,6188,-23.85,5.98,NA,NA,1303,2.217,NA,NA,NA,NA
NA,NA,NA,NA,NA,6210,-24.33,5.68,NA,NA,1306,2.117,NA,NA,NA,NA
NA,NA,NA,NA,NA,6232,-25.13,6.19,NA,NA,1310,2.236,NA,NA,NA,NA
NA,NA,NA,NA,NA,6254,-24.17,6.02,NA,NA,1324,2.151,NA,NA,NA,NA
NA,NA,NA,NA,NA,6276,-24.64,6.56,NA,NA,1327,2.014,NA,NA,NA,NA
NA,NA,NA,NA,NA,6299,-24.55,6.18,NA,NA,1331,2.038,NA,NA,NA,NA
NA,NA,NA,NA,NA,6322,-24.19,6.59,NA,NA,1335,2.04,NA,NA,NA,NA
NA,NA,NA,NA,NA,6346,-24.78,7.08,NA,NA,1338,2.008,NA,NA,NA,NA
NA,NA,NA,NA,NA,6371,-24.71,7.06,NA,NA,1342,1.965,NA,NA,NA,NA
NA,NA,NA,NA,NA,6396,-25.53,7.52,NA,NA,1345,1.955,NA,NA,NA,NA
NA,NA,NA,NA,NA,6422,-26.57,9.28,NA,NA,1349,1.971,NA,NA,NA,NA
NA,NA,NA,NA,NA,6449,-26.22,7.54,NA,NA,1353,1.966,NA,NA,NA,NA
NA,NA,NA,NA,NA,6534,-24.03,6.74,NA,NA,1356,1.892,NA,NA,NA,NA
NA,NA,NA,NA,NA,6565,-24.27,6.47,NA,NA,1371,1.927,NA,NA,NA,NA
NA,NA,NA,NA,NA,6596,-23.88,6.02,NA,NA,1374,1.948,NA,NA,NA,NA
NA,NA,NA,NA,NA,6629,-23.19,5.45,NA,NA,1378,1.947,NA,NA,NA,NA
NA,NA,NA,NA,NA,6663,-22.78,5.19,NA,NA,1381,1.871,NA,NA,NA,NA
NA,NA,NA,NA,NA,6699,-23.5,5.12,NA,NA,1385,1.826,NA,NA,NA,NA
NA,NA,NA,NA,NA,6736,-23.83,5.19,NA,NA,1389,1.887,NA,NA,NA,NA
NA,NA,NA,NA,NA,6775,-23.21,5.7,NA,NA,1392,1.877,NA,NA,NA,NA
NA,NA,NA,NA,NA,6815,-23.2,5.7,NA,NA,1396,1.883,NA,NA,NA,NA
NA,NA,NA,NA,NA,6857,-23.8,5.32,NA,NA,1400,1.881,NA,NA,NA,NA
NA,NA,NA,NA,NA,6901,-22.93,5.8,NA,NA,1403,1.93,NA,NA,NA,NA
NA,NA,NA,NA,NA,6947,-23.17,5.98,NA,NA,1418,1.821,NA,NA,NA,NA
NA,NA,NA,NA,NA,6995,-23.52,5.51,NA,NA,1422,1.806,NA,NA,NA,NA
NA,NA,NA,NA,NA,7045,-23.1,5.45,NA,NA,1425,1.941,NA,NA,NA,NA
NA,NA,NA,NA,NA,7098,-24.54,5.85,NA,NA,1429,1.936,NA,NA,NA,NA
NA,NA,NA,NA,NA,7212,-23.59,6.38,NA,NA,1433,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,7272,-23.42,6.14,NA,NA,1436,1.943,NA,NA,NA,NA
NA,NA,NA,NA,NA,7336,-23.99,5.88,NA,NA,1440,2.033,NA,NA,NA,NA
NA,NA,NA,NA,NA,7403,-23.97,6.28,NA,NA,1444,2.067,NA,NA,NA,NA
NA,NA,NA,NA,NA,7473,-23.15,5.91,NA,NA,1447,2.042,NA,NA,NA,NA
NA,NA,NA,NA,NA,7546,-23.25,5.84,NA,NA,1451,1.933,NA,NA,NA,NA
NA,NA,NA,NA,NA,7623,-24.2,5.69,NA,NA,1455,1.921,NA,NA,NA,NA
NA,NA,NA,NA,NA,7704,-23.1,5.67,NA,NA,1458,1.942,NA,NA,NA,NA
NA,NA,NA,NA,NA,7789,-23.43,5.33,NA,NA,1462,2.002,NA,NA,NA,NA
NA,NA,NA,NA,NA,7878,-23.31,5.55,NA,NA,1466,1.987,NA,NA,NA,NA
NA,NA,NA,NA,NA,7934,-25.12,7.19,NA,NA,1470,1.993,NA,NA,NA,NA
NA,NA,NA,NA,NA,7943,-23.34,5,NA,NA,1473,1.968,NA,NA,NA,NA
NA,NA,NA,NA,NA,7952,-24.39,5.94,NA,NA,1477,1.961,NA,NA,NA,NA
NA,NA,NA,NA,NA,7962,-23.57,5.75,NA,NA,1481,2.003,NA,NA,NA,NA
NA,NA,NA,NA,NA,7972,-23.54,5.82,NA,NA,1484,2.077,NA,NA,NA,NA
NA,NA,NA,NA,NA,7983,-24.12,6.67,NA,NA,1488,2.134,NA,NA,NA,NA
NA,NA,NA,NA,NA,7993,-27.17,9.84,NA,NA,1492,2.035,NA,NA,NA,NA
NA,NA,NA,NA,NA,8004,-25.52,6.1,NA,NA,1496,2.023,NA,NA,NA,NA
NA,NA,NA,NA,NA,8015,-24.35,6.11,NA,NA,1499,2.132,NA,NA,NA,NA
NA,NA,NA,NA,NA,8025,-25.67,5.75,NA,NA,1503,2.058,NA,NA,NA,NA
NA,NA,NA,NA,NA,8036,-25.64,6.07,NA,NA,1507,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,8047,-24.54,6.75,NA,NA,1511,2.111,NA,NA,NA,NA
NA,NA,NA,NA,NA,8057,-24.69,5.89,NA,NA,1514,2.073,NA,NA,NA,NA
NA,NA,NA,NA,NA,8067,-24.92,6.12,NA,NA,1518,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,8077,-24.79,6.55,NA,NA,1522,2.034,NA,NA,NA,NA
NA,NA,NA,NA,NA,8086,-25.12,7.01,NA,NA,1526,2.095,NA,NA,NA,NA
NA,NA,NA,NA,NA,8095,-25.02,6.52,NA,NA,1529,1.994,NA,NA,NA,NA
NA,NA,NA,NA,NA,8104,-25.69,6.2,NA,NA,1533,1.965,NA,NA,NA,NA
NA,NA,NA,NA,NA,8113,-24.82,6.5,NA,NA,1537,2.087,NA,NA,NA,NA
NA,NA,NA,NA,NA,8121,-25.54,7.19,NA,NA,1541,2.045,NA,NA,NA,NA
NA,NA,NA,NA,NA,8128,-25.2,6.56,NA,NA,1544,2.035,NA,NA,NA,NA
NA,NA,NA,NA,NA,8136,-25.05,7.85,NA,NA,1548,1.982,NA,NA,NA,NA
NA,NA,NA,NA,NA,8142,-25.02,7.1,NA,NA,1552,2.061,NA,NA,NA,NA
NA,NA,NA,NA,NA,8149,-27.71,10.17,NA,NA,1556,2.155,NA,NA,NA,NA
NA,NA,NA,NA,NA,8155,-25.06,6.64,NA,NA,1559,2.287,NA,NA,NA,NA
NA,NA,NA,NA,NA,8161,-32.22,11.78,NA,NA,1563,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,8166,-24.96,6.63,NA,NA,1567,2.062,NA,NA,NA,NA
NA,NA,NA,NA,NA,8171,-24.99,6.71,NA,NA,1571,2.107,NA,NA,NA,NA
NA,NA,NA,NA,NA,8175,-25,7.28,NA,NA,1574,2.12,NA,NA,NA,NA
NA,NA,NA,NA,NA,8179,-24.95,7.84,NA,NA,1578,1.996,NA,NA,NA,NA
NA,NA,NA,NA,NA,8183,-24.98,7.57,NA,NA,1582,1.984,NA,NA,NA,NA
NA,NA,NA,NA,NA,8187,-25.06,8.49,NA,NA,1586,2.009,NA,NA,NA,NA
NA,NA,NA,NA,NA,8190,-25.05,7.98,NA,NA,1589,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,8193,-25.05,8.24,NA,NA,1593,2.116,NA,NA,NA,NA
NA,NA,NA,NA,NA,8195,-25.03,8.44,NA,NA,1597,2.11,NA,NA,NA,NA
NA,NA,NA,NA,NA,8198,-25.81,11.77,NA,NA,1601,2.184,NA,NA,NA,NA
NA,NA,NA,NA,NA,8200,-25.23,9.11,NA,NA,1604,2.094,NA,NA,NA,NA
NA,NA,NA,NA,NA,8202,-25.95,12.29,NA,NA,1608,2.251,NA,NA,NA,NA
NA,NA,NA,NA,NA,8203,-25.09,8.38,NA,NA,1612,2.226,NA,NA,NA,NA
NA,NA,NA,NA,NA,8205,-24.99,8.05,NA,NA,1616,2.184,NA,NA,NA,NA
NA,NA,NA,NA,NA,8206,-26.11,13.68,NA,NA,1620,2.158,NA,NA,NA,NA
NA,NA,NA,NA,NA,8208,-25.29,9.31,NA,NA,1623,2.004,NA,NA,NA,NA
NA,NA,NA,NA,NA,8209,-25.28,7.35,NA,NA,1627,2.126,NA,NA,NA,NA
NA,NA,NA,NA,NA,8210,-25.13,7.88,NA,NA,1631,2.125,NA,NA,NA,NA
NA,NA,NA,NA,NA,8211,-25.11,10.25,NA,NA,1635,2.115,NA,NA,NA,NA
NA,NA,NA,NA,NA,8213,-25.23,9.47,NA,NA,1638,2.115,NA,NA,NA,NA
NA,NA,NA,NA,NA,8214,-25.36,10,NA,NA,1642,1.963,NA,NA,NA,NA
NA,NA,NA,NA,NA,8215,-25.2,10.14,NA,NA,1646,2.075,NA,NA,NA,NA
NA,NA,NA,NA,NA,8216,-25.18,11.75,NA,NA,1650,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,8218,-25.35,10.55,NA,NA,1654,2.202,NA,NA,NA,NA
NA,NA,NA,NA,NA,8219,-25.55,10.9,NA,NA,1657,2.087,NA,NA,NA,NA
NA,NA,NA,NA,NA,8221,-25.2,12.46,NA,NA,1661,2.017,NA,NA,NA,NA
NA,NA,NA,NA,NA,8223,-25.31,12.24,NA,NA,1665,2.097,NA,NA,NA,NA
NA,NA,NA,NA,NA,8225,-25.53,11.81,NA,NA,1669,2.172,NA,NA,NA,NA
NA,NA,NA,NA,NA,8227,-25.58,12.15,NA,NA,1672,2.204,NA,NA,NA,NA
NA,NA,NA,NA,NA,8229,-25.39,11.58,NA,NA,1676,2.264,NA,NA,NA,NA
NA,NA,NA,NA,NA,8232,-25.16,10.81,NA,NA,1680,2.311,NA,NA,NA,NA
NA,NA,NA,NA,NA,8235,-25.23,10.15,NA,NA,1771,2.133,NA,NA,NA,NA
NA,NA,NA,NA,NA,8238,-24.84,10.19,NA,NA,1775,2.131,NA,NA,NA,NA
NA,NA,NA,NA,NA,8241,-23.37,7.47,NA,NA,1779,1.983,NA,NA,NA,NA
NA,NA,NA,NA,NA,8245,-24.4,8.69,NA,NA,1783,2.098,NA,NA,NA,NA
NA,NA,NA,NA,NA,8249,-23.54,7.61,NA,NA,1786,2.015,NA,NA,NA,NA
NA,NA,NA,NA,NA,8253,-23.93,7.87,NA,NA,1790,1.983,NA,NA,NA,NA
NA,NA,NA,NA,NA,8258,-23.74,8.38,NA,NA,1794,2.086,NA,NA,NA,NA
NA,NA,NA,NA,NA,8263,-23.32,7.75,NA,NA,1798,2.128,NA,NA,NA,NA
NA,NA,NA,NA,NA,8268,-22.86,7.57,NA,NA,1801,2.049,NA,NA,NA,NA
NA,NA,NA,NA,NA,8274,-23.3,7.57,NA,NA,1805,2.033,NA,NA,NA,NA
NA,NA,NA,NA,NA,8280,-23.5,7.87,NA,NA,1809,1.961,NA,NA,NA,NA
NA,NA,NA,NA,NA,8286,-23.13,7.55,NA,NA,1812,1.973,NA,NA,NA,NA
NA,NA,NA,NA,NA,8293,-23.45,7.88,NA,NA,1816,1.941,NA,NA,NA,NA
NA,NA,NA,NA,NA,8300,-23.07,8.32,NA,NA,1820,1.992,NA,NA,NA,NA
NA,NA,NA,NA,NA,8307,-22.53,7.66,NA,NA,1824,2.026,NA,NA,NA,NA
NA,NA,NA,NA,NA,8315,-23.62,8.24,NA,NA,1827,1.957,NA,NA,NA,NA
NA,NA,NA,NA,NA,8323,-23.66,7.81,NA,NA,1831,1.999,NA,NA,NA,NA
NA,NA,NA,NA,NA,8332,-24.48,8.77,NA,NA,1835,2.037,NA,NA,NA,NA
NA,NA,NA,NA,NA,8341,-23.35,8.69,NA,NA,1839,1.905,NA,NA,NA,NA
NA,NA,NA,NA,NA,8350,-23.47,8.1,NA,NA,1842,1.902,NA,NA,NA,NA
NA,NA,NA,NA,NA,8360,-24.18,8.32,NA,NA,1846,1.851,NA,NA,NA,NA
NA,NA,NA,NA,NA,8370,-25.1,10.12,NA,NA,1850,1.984,NA,NA,NA,NA
NA,NA,NA,NA,NA,8391,-23.93,9.06,NA,NA,1853,2.043,NA,NA,NA,NA
NA,NA,NA,NA,NA,8402,-22.89,8.1,NA,NA,1857,1.984,NA,NA,NA,NA
NA,NA,NA,NA,NA,8413,-23.94,8.8,NA,NA,1861,2.039,NA,NA,NA,NA
NA,NA,NA,NA,NA,8437,-24.06,9.45,NA,NA,1865,1.919,NA,NA,NA,NA
NA,NA,NA,NA,NA,8449,-24.23,9.59,NA,NA,1868,1.893,NA,NA,NA,NA
NA,NA,NA,NA,NA,8462,-24.42,10.77,NA,NA,1872,1.991,NA,NA,NA,NA
