year (AD),depth (cm),age (BP),d18O (permil)
-3885,541.5,5835,-4.51
-3900,542.5,5850,-4.69
-3921,543.5,5871,-4.39
-3942,544.5,5892,-4.17
-3963,545.5,5913,-4.1
-3984,546.5,5934,-4.11
-4005,547.5,5955,-4.33
-4026,548.5,5976,-4.19
-4047,549.5,5997,-4.37
-4089,551.5,6039,-4.45
-4110,552.5,6060,-3.99
-4131,553.5,6081,-4.54
-4152,554.5,6102,-4.48
-4173,555.5,6123,-4.34
-4194,556.5,6144,-4.4
-4215,557.5,6165,-4.65
-4236,558.5,6186,-4.44
-4257,559.5,6207,-4.46
-4299,561.5,6249,-4.39
-4320,562.5,6270,-4.06
-4341.67,563.5,6291.67,-4.07
-4363.33,564.5,6313.33,-4.56
-4385,565.5,6335,-4.26
-4406.67,566.5,6356.67,-4.52
-4450,568.5,6400,-4.53
-4471.67,569.5,6421.67,-4.65
-4493.33,570.5,6443.33,-4.39
-4515,571.5,6465,-4.74
-4536.67,572.5,6486.67,-4.58
-4558.33,573.5,6508.33,-4.61
-4580,574.5,6530,-4.7
-4598.75,575.5,6548.75,-4.26
-4617.5,576.5,6567.5,-4.33
-4636.25,577.5,6586.25,-4.47
-4655,578.5,6605,-4.55
-4711.25,581.5,6661.25,-4.41
-4730,582.5,6680,-4.58
-4748.75,583.5,6698.75,-4.31
-4767.5,584.5,6717.5,-4.19
-4786.25,585.5,6736.25,-4.3
-4805,586.5,6755,-4.29
-4823.75,587.5,6773.75,-4.24
-4842.5,588.5,6792.5,-4.34
-4880,590.5,6830,-4.71
-4905,591.5,6855,-4.36
-4930,592.5,6880,-4.54
-4955,593.5,6905,-4.44
-4980,594.5,6930,-4.54
-5005,595.5,6955,-4.37
-5030,596.5,6980,-4.29
-5055,597.5,7005,-4.57
-5080,598.5,7030,-4.46
-5130,600.5,7080,-4.64
-5155,601.5,7105,-4.41
-5180,602.5,7130,-4.91
-5193.18,603.5,7143.18,-4.3
-5206.36,604.5,7156.36,-4.02
-5219.55,605.5,7169.55,-4.31
-5232.73,606.5,7182.73,-4.55
-5245.91,607.5,7195.91,-4.43
-5259.09,608.5,7209.09,-4.42
-5285.45,610.5,7235.45,-4.6
-5298.64,611.5,7248.64,-4.49
-5311.82,612.5,7261.82,-4.33
-5325,613.5,7275,-4
-5338.18,614.5,7288.18,-4.22
-5351.36,615.5,7301.36,-4.32
-5364.55,616.5,7314.55,-4.5
-5377.73,617.5,7327.73,-4.33
-5390.91,618.5,7340.91,-4.37
-5417.27,620.5,7367.27,-4.21
-5430.45,621.5,7380.45,-4.24
-5443.64,622.5,7393.64,-4.25
-5456.82,623.5,7406.82,-4.36
-5470,624.5,7420,-4.57
-5483.18,625.5,7433.18,-4.47
-5496.36,626.5,7446.36,-4.63
-5509.55,627.5,7459.55,-4.47
-5522.73,628.5,7472.73,-4.32
-5549.09,630.5,7499.09,-4.32
-5562.27,631.5,7512.27,-4.24
-5575.45,632.5,7525.45,-4.63
-5588.64,633.5,7538.64,-4.29
-5601.82,634.5,7551.82,-4.37
-5615,635.5,7565,-4.41
-5628.18,636.5,7578.18,-4.4
-5641.36,637.5,7591.36,-4.17
-5654.55,638.5,7604.55,-4.29
-5667.73,639.5,7617.73,-4.62
-5707.27,642.5,7657.27,-4.47
-5720.45,643.5,7670.45,-4.33
-5733.64,644.5,7683.64,-4.35
-5746.82,645.5,7696.82,-4.46
-5760,646.5,7710,-3.94
-5775.29,647.5,7725.29,-4.42
-5790.59,648.5,7740.59,-4.32
-5805.88,649.5,7755.88,-4.31
-5851.76,652.5,7801.76,-4.25
-5867.06,653.5,7817.06,-4.33
-5882.35,654.5,7832.35,-4.06
-5897.65,655.5,7847.65,-4.25
-5912.94,656.5,7862.94,-4.24
-5928.24,657.5,7878.24,-4.24
-5943.53,658.5,7893.53,-4.13
-5958.82,659.5,7908.82,-4.24
-5989.41,661.5,7939.41,-4.25
-6004.71,662.5,7954.71,-4.18
-6020,663.5,7970,-3.97
-6044,664.5,7994,-4.33
-6068,665.5,8018,-4.18
-6092,666.5,8042,-4.42
-6116,667.5,8066,-4.3
-6140,668.5,8090,-4.28
-6160,669.5,8110,-4.39
-6200,671.5,8150,-4.92
-6220,672.5,8170,-5.01
-6240,673.5,8190,-5.01
-6260,674.5,8210,-5.14
-6275,675.5,8225,-5.07
-6290,676.5,8240,-5.04
-6305,677.5,8255,-4.45
-6320,678.5,8270,-4.31
-6336.19,679.5,8286.19,-4.5
-6368.57,681.5,8318.57,-4.48
-6384.76,682.5,8334.76,-4.73
-6400.95,683.5,8350.95,-4.61
-6417.14,684.5,8367.14,-4.61
-6433.33,685.5,8383.33,-4.8
-6449.52,686.5,8399.52,-4.42
-6465.71,687.5,8415.71,-4.32
-6481.9,688.5,8431.9,-5.08
-6498.1,689.5,8448.1,-4.25
-6530.48,691.5,8480.48,-4.51
-6546.67,692.5,8496.67,-4.24
-6562.86,693.5,8512.86,-4.9
-6579.05,694.5,8529.05,-4.21
-6595.24,695.5,8545.24,-4.19
-6611.43,696.5,8561.43,-4.28
-6627.62,697.5,8577.62,-4.29
-6643.81,698.5,8593.81,-4.18
-6660,699.5,8610,-4.37
-6833.26,680.5,8783.26,-4.35
-6855.4,681.5,8805.4,-4.5
-6877.55,682.5,8827.55,-4.57
-6899.69,683.5,8849.69,-4.38
-6921.84,684.5,8871.84,-4.16
-6943.99,685.5,8893.99,-5.06
-6966.13,686.5,8916.13,-4.4
-6988.28,687.5,8938.28,-4.53
-7010.42,688.5,8960.42,-4.67
-7032.57,689.5,8982.57,-4.94
-7054.71,690.5,9004.71,-4.69
-7076.86,691.5,9026.86,-4.36
-7099,692.5,9049,-4.19
-7121.15,693.5,9071.15,-3.73
-7148.49,694.5,9098.49,-4.26
-7175.83,695.5,9125.83,-5.14
-7203.17,696.5,9153.17,-5.48
-7230.51,697.5,9180.51,-5.5
-7250.68,698.5,9200.68,-4.4
-7270.85,699.5,9220.85,-4.39
-7291.02,700.5,9241.02,-4.55
-7311.19,701.5,9261.19,-4.66
-7331.36,702.5,9281.36,-4.55
-7351.53,703.5,9301.53,-4.72
-7371.71,704.5,9321.71,-4.74
-7391.88,705.5,9341.88,-4.92
-7412.05,706.5,9362.05,-4.71
-7432.22,707.5,9382.22,-4.52
-7452.39,708.5,9402.39,-4.36
-7472.56,709.5,9422.56,-4.58
-7492.73,710.5,9442.73,-5.05
-7505.37,711.5,9455.37,-4.6
-7518.01,712.5,9468.01,-4.62
-7530.65,713.5,9480.65,-4.46
-7543.29,714.5,9493.29,-4.53
-7555.92,715.5,9505.92,-4.47
-7568.56,716.5,9518.56,-4.45
-7581.2,717.5,9531.2,-4.59
-7593.84,718.5,9543.84,-4.31
-7606.48,719.5,9556.48,-4.16
-7617.76,720.5,9567.76,-4.36
-7629.04,721.5,9579.04,-4.54
-7640.31,722.5,9590.31,-4.67
-7651.59,723.5,9601.59,-4.74
-7662.87,724.5,9612.87,-4.59
-7674.15,725.5,9624.15,-4.56
-7685.42,726.5,9635.42,-4.89
-7707.98,728.5,9657.98,-4.88
-7719.48,729.5,9669.48,-4.8
-7730.98,730.5,9680.98,-4.81
-7742.48,731.5,9692.48,-4.64
-7753.98,732.5,9703.98,-4.62
-7765.48,733.5,9715.48,-4.71
-7776.98,734.5,9726.98,-4.54
-7788.48,735.5,9738.48,-4.58
-7799.98,736.5,9749.98,-4.57
-7811.48,737.5,9761.48,-4.61
-7822.98,738.5,9772.98,-4.57
-7834.48,739.5,9784.48,-4.76
-7850.42,740.5,9800.42,-4.64
-7866.37,741.5,9816.37,-4.58
-7882.31,742.5,9832.31,-4.61
-7898.25,743.5,9848.25,-4.6
-7913.41,744.5,9863.41,-4.58
-7928.57,745.5,9878.57,-4.87
-7943.73,746.5,9893.73,-4.75
-7958.88,747.5,9908.88,-4.64
-7961.5,997.5,9911.5,-4.84
-7967.74,998.25,9917.74,-4.82
-7971.9,998.75,9921.9,-4.73
-7976.06,999.25,9926.06,-4.69
-7980.22,999.75,9930.22,-4.61
-7984.38,1000.25,9934.38,-5.17
-7988.54,1000.75,9938.54,-4.98
-7992.7,1001.25,9942.7,-4.61
-7996.86,1001.75,9946.86,-5.03
-8001.02,1002.25,9951.02,-4.89
-8005.18,1002.75,9955.18,-4.73
-8009.34,1003.25,9959.34,-4.66
-8013.5,1003.75,9963.5,-4.86
-8017.66,1004.25,9967.66,-4.67
-8021.83,1004.75,9971.83,-4.24
-8025.99,1005.25,9975.99,-4.74
-8030.15,1005.75,9980.15,-4.71
-8034.31,1006.25,9984.31,-4.77
-8038.47,1006.75,9988.47,-4.79
-8042.63,1007.25,9992.63,-4.79
-8046.79,1007.75,9996.79,-4.81
-8050.95,1008.25,10000.95,-4.78
-8055.11,1008.75,10005.11,-4.91
-8059.27,1009.25,10009.27,-4.58
-8063.43,1009.75,10013.43,-4.76
-8067.59,1010.25,10017.59,-4.45
-8071.75,1010.75,10021.75,-4.89
-8075.91,1011.25,10025.91,-4.76
-8080.07,1011.75,10030.07,-4.71
-8084.23,1012.25,10034.23,-4.61
-8088.39,1012.75,10038.39,-5.11
-8092.55,1013.25,10042.55,-4.66
-8100.88,1014.25,10050.88,-4.72
-8105.04,1014.75,10055.04,-4.86
-8109.2,1015.25,10059.2,-5.04
-8113.36,1015.75,10063.36,-4.84
-8117.52,1016.25,10067.52,-5.64
-8121.68,1016.75,10071.68,-4.7
-8125.84,1017.25,10075.84,-4.57
-8130,1017.75,10080,-4.5
-8141.25,1018.25,10091.25,-4.67
-8152.5,1018.75,10102.5,-4.72
-8163.75,1019.25,10113.75,-4.66
-8175,1019.75,10125,-5.02
-8186.25,1020.25,10136.25,-4.98
-8197.5,1020.75,10147.5,-4.8
-8208.75,1021.25,10158.75,-4.87
-8220,1021.75,10170,-4.56
-8228.46,1022.25,10178.46,-4.94
-8236.92,1022.75,10186.92,-4.93
-8245.38,1023.25,10195.38,-4.75
-8253.85,1023.75,10203.85,-4.95
-8262.31,1024.25,10212.31,-5.15
-8270.77,1024.75,10220.77,-4.94
-8279.23,1025.25,10229.23,-5.25
-8287.69,1025.75,10237.69,-5.05
-8296.15,1026.25,10246.15,-5.11
-8304.62,1026.75,10254.62,-4.91
-8313.08,1027.25,10263.08,-4.8
-8321.54,1027.75,10271.54,-4.73
-8330,1028.25,10280,-4.53
-8339.58,1028.75,10289.58,-4.8
-8349.17,1029.25,10299.17,-4.92
-8358.75,1029.75,10308.75,-4.89
-8377.92,1030.75,10327.92,-4.85
-8406.67,1032.25,10356.67,-4.97
-8416.25,1032.75,10366.25,-5.14
-8435.42,1033.75,10385.42,-5.45
-8445,1034.25,10395,-4.51
-8455.65,1034.75,10405.65,-4.75
-8466.3,1035.25,10416.3,-4.56
-8476.96,1035.75,10426.96,-5.08
-8487.61,1036.25,10437.61,-5
-8498.26,1036.75,10448.26,-4.69
-8508.91,1037.25,10458.91,-4.91
-8519.57,1037.75,10469.57,-5.02
-8530.22,1038.25,10480.22,-4.75
-8540.87,1038.75,10490.87,-5.11
-8562.17,1039.75,10512.17,-4.72
-8572.83,1040.25,10522.83,-4.51
-8594.13,1041.25,10544.13,-4.67
-8604.78,1041.75,10554.78,-4.74
-8615.43,1042.25,10565.43,-4.83
-8626.09,1042.75,10576.09,-5.03
-8636.74,1043.25,10586.74,-4.77
-8647.39,1043.75,10597.39,-4.9
-8658.04,1044.25,10608.04,-5.09
-8679.35,1045.25,10629.35,-5.7
-8690,1045.75,10640,-4.82
-8699.42,1046.25,10649.42,-4.52
-8708.85,1046.75,10658.85,-5.02
-8718.27,1047.25,10668.27,-4.94
-8727.69,1047.75,10677.69,-4.97
-8737.12,1048.25,10687.12,-5.09
-8746.54,1048.75,10696.54,-4.74
-8755.96,1049.25,10705.96,-5.18
-8765.38,1049.75,10715.38,-5.17
-8774.81,1050.25,10724.81,-4.77
-8784.23,1050.75,10734.23,-5.15
-8793.65,1051.25,10743.65,-4.87
-8803.08,1051.75,10753.08,-4.9
-8812.5,1052.25,10762.5,-4.67
-8821.92,1052.75,10771.92,-5.07
-8831.35,1053.25,10781.35,-4.93
-8840.77,1053.75,10790.77,-5.09
-8850.19,1054.25,10800.19,-5.05
-8859.62,1054.75,10809.62,-5.05
-8869.04,1055.25,10819.04,-5.1
-8878.46,1055.75,10828.46,-5.03
-8887.88,1056.25,10837.88,-4.88
-8897.31,1056.75,10847.31,-4.86
-8906.73,1057.25,10856.73,-4.86
-8916.15,1057.75,10866.15,-4.78
-8925.58,1058.25,10875.58,-5.04
-8935,1058.75,10885,-4.61
-8949.06,1059.25,10899.06,-5.54
-8963.13,1059.75,10913.13,-4.96
-8977.19,1060.25,10927.19,-4.9
-8991.25,1060.75,10941.25,-5.03
-9005.31,1061.25,10955.31,-5.5
-9019.38,1061.75,10969.38,-5.03
-9033.44,1062.25,10983.44,-4.85
-9047.5,1062.75,10997.5,-4.76
-9061.56,1063.25,11011.56,-5.09
-9075.63,1063.75,11025.63,-5.13
-9089.69,1064.25,11039.69,-4.69
-9103.75,1064.75,11053.75,-4.79
-9117.81,1065.25,11067.81,-5.02
-9131.88,1065.75,11081.88,-4.58
-9145.94,1066.25,11095.94,-4.95
-9160,1066.75,11110,-4.25
-9167.9,1067.25,11117.9,-4.95
-9175.8,1067.75,11125.8,-4.67
-9183.7,1068.25,11133.7,-4.86
-9191.6,1068.75,11141.6,-5.57
-9199.5,1069.25,11149.5,-5.03
-9207.4,1069.75,11157.4,-4.98
-9215.3,1070.25,11165.3,-5.13
-9223.2,1070.75,11173.2,-5.19
-9231.1,1071.25,11181.1,-4.6
-9239,1071.75,11189,-4.77
-9246.9,1072.25,11196.9,-4.93
-9254.8,1072.75,11204.8,-4.9
-9262.7,1073.25,11212.7,-4.87
-9270.6,1073.75,11220.6,-5.1
-9278.5,1074.25,11228.5,-4.86
-9286.4,1074.75,11236.4,-4.9
-9294.3,1075.25,11244.3,-5.2
-9302.2,1075.75,11252.2,-5.16
-9310.1,1076.25,11260.1,-5.27
-9318,1076.75,11268,-5.64
-9325.9,1077.25,11275.9,-5.43
-9333.8,1077.75,11283.8,-5.45
-9341.7,1078.25,11291.7,-5.35
-9349.6,1078.75,11299.6,-5.31
-9357.5,1079.25,11307.5,-5.43
-9365.4,1079.75,11315.4,-5.73
-9373.3,1080.25,11323.3,-5.55
-9381.2,1080.75,11331.2,-5.43
-9397,1081.75,11347,-5.28
-9404.9,1082.25,11354.9,-5.35
-9412.8,1082.75,11362.8,-5.3
-9420.7,1083.25,11370.7,-5.31
-9428.6,1083.75,11378.6,-5.65
-9436.5,1084.25,11386.5,-5.57
-9444.4,1084.75,11394.4,-5.33
-9452.3,1085.25,11402.3,-5.42
-9460.2,1085.75,11410.2,-5.41
-9468.1,1086.25,11418.1,-5.37
-9476,1086.75,11426,-5.18
-9483.9,1087.25,11433.9,-5.24
-9491.8,1087.75,11441.8,-5.37
-9499.7,1088.25,11449.7,-5.25
-9507.6,1088.75,11457.6,-4.99
-9515.5,1089.25,11465.5,-5.1
-9523.4,1089.75,11473.4,-5.23
-9531.3,1090.25,11481.3,-5.44
-9547.1,1091.25,11497.1,-5.31
-9555,1091.75,11505,-5.23
-9585,1092.75,11535,-6.86
-9600,1093.25,11550,-6.67
-9627.13,1094.75,11577.13,-7.71
-9645.22,1095.75,11595.22,-7.51
-9654.27,1096.25,11604.27,-7.48
-9663.31,1096.75,11613.31,-7.67
-9672.36,1097.25,11622.36,-7.52
-9681.4,1097.75,11631.4,-7.4
-9690.45,1098.25,11640.45,-7.5
-9699.49,1098.75,11649.49,-7.87
-9717.58,1099.75,11667.58,-7.7
-9726.63,1100.25,11676.63,-7.62
-9735.67,1100.75,11685.67,-7.46
-9744.72,1101.25,11694.72,-7.51
-9753.76,1101.75,11703.76,-7.32
-9780.9,1103.25,11730.9,-7.59
-9789.94,1103.75,11739.94,-7.8
-9798.99,1104.25,11748.99,-7.08
-9808.03,1104.75,11758.03,-7.43
-9817.08,1105.25,11767.08,-7.73
-9826.12,1105.75,11776.12,-7.56
-9835.17,1106.25,11785.17,-7.7
-9844.21,1106.75,11794.21,-7.6
-9853.26,1107.25,11803.26,-7.4
-9862.3,1107.75,11812.3,-7.71
-9871.34,1108.25,11821.34,-7.36
-9880.39,1108.75,11830.39,-7.42
-9889.43,1109.25,11839.43,-7.5
-9898.48,1109.75,11848.48,-7.51
-9907.52,1110.25,11857.52,-7.54
-9916.57,1110.75,11866.57,-7.24
-9925.61,1111.25,11875.61,-7.92
-9934.66,1111.75,11884.66,-7.81
-9943.7,1112.25,11893.7,-8.14
-9952.75,1112.75,11902.75,-8.12
-9961.79,1113.25,11911.79,-8.01
-9970.84,1113.75,11920.84,-7.83
-9979.88,1114.25,11929.88,-7.82
-10007.02,1115.75,11957.02,-8.07
-10025.11,1116.75,11975.11,-8.17
-10034.15,1117.25,11984.15,-8.11
-10061.29,1118.75,12011.29,-7.45
-10079.38,1119.75,12029.38,-7.82
-10088.42,1120.25,12038.42,-8.01
-10097.47,1120.75,12047.47,-7.86
-10106.51,1121.25,12056.51,-7.91
-10115.56,1121.75,12065.56,-5.32
-10124.6,1122.25,12074.6,-5.36
-10137.23,1123,12087.23,-8.2
-10149.85,1123.75,12099.85,-8.19
-10162.48,1124.5,12112.48,-7.64
-10175.1,1125.25,12125.1,-7.65
-10183.52,1125.75,12133.52,-8
-10217.18,1127.75,12167.18,-8.22
-10225.6,1128.25,12175.6,-8.14
-10238.23,1129,12188.23,-8.27
-10250.85,1129.75,12200.85,-8.17
-10259.27,1130.25,12209.27,-8.12
-10267.68,1130.75,12217.68,-8.25
-10276.1,1131.25,12226.1,-7.31
-10281.1,1131.75,12231.1,-7.76
-10291.11,1132.75,12241.11,-7.93
-10296.12,1133.25,12246.12,-8.02
-10301.12,1133.75,12251.12,-7.97
-10306.12,1134.25,12256.12,-7.76
-10311.13,1134.75,12261.13,-8
-10316.13,1135.25,12266.13,-7.71
-10321.13,1135.75,12271.13,-8.2
-10326.14,1136.25,12276.14,-8.05
-10331.14,1136.75,12281.14,-8.21
-10341.15,1137.75,12291.15,-7.44
-10352.28,1138.25,12302.28,-7.71
-10385.66,1139.75,12335.66,-8.24
-10396.79,1140.25,12346.79,-8.25
-10407.92,1140.75,12357.92,-8.2
-10419.05,1141.25,12369.05,-8.5
-10430.17,1141.75,12380.17,-8.11
-10441.3,1142.25,12391.3,-7.96
-10463.56,1143.25,12413.56,-7.88
-10474.69,1143.75,12424.69,-8.09
-10485.81,1144.25,12435.81,-8.32
-10496.94,1144.75,12446.94,-7.24
-10508.07,1145.25,12458.07,-8.27
-10519.2,1145.75,12469.2,-8.49
-10530.33,1146.25,12480.33,-7.68
-10541.45,1146.75,12491.45,-8.66
-10552.58,1147.25,12502.58,-8.05
-10563.71,1147.75,12513.71,-8.08
-10574.84,1148.25,12524.84,-7.72
-10585.97,1148.75,12535.97,-8.91
-10597.09,1149.25,12547.09,-8.09
-10608.22,1149.75,12558.22,-8.39
-10619.35,1150.25,12569.35,-8.37
-10647.31,1151.25,12597.31,-7.58
-10661.29,1151.75,12611.29,-7.35
-10675.28,1152.25,12625.28,-7.4
-10689.26,1152.75,12639.26,-6.83
-10703.24,1153.25,12653.24,-6.22
-10731.2,1154.25,12681.2,-6.6
-10745.18,1154.75,12695.18,-5.75
-10759.17,1155.25,12709.17,-5.62
-10773.15,1155.75,12723.15,-5.46
-10787.13,1156.25,12737.13,-5.55
-10801.11,1156.75,12751.11,-5.85
-10815.09,1157.25,12765.09,-5.01
-10843.06,1158.25,12793.06,-5.63
-10857.04,1158.75,12807.04,-6.41
-10871.02,1159.25,12821.02,-6.51
-10885,1159.75,12835,-6.16
-10938.33,1160.25,12888.33,-6.24
-10991.67,1160.75,12941.67,-6.61
-11045,1161.25,12995,-6.89
-11130,1161.75,13080,-6.46
-11215,1162.25,13165,-5.67
-11226.43,1162.75,13176.43,-6.24
-11237.86,1163.25,13187.86,-6.31
-11249.29,1163.75,13199.29,-6.1
-11260.71,1164.25,13210.71,-6.02
-11272.14,1164.75,13222.14,-6.01
-11295,1165.75,13245,-5.87
-11300.14,1166.25,13250.14,-5.25
-11305.27,1166.75,13255.27,-6.22
-11310.41,1167.25,13260.41,-5.67
-11315.54,1167.75,13265.54,-5.61
-11320.68,1168.25,13270.68,-5.24
-11325.81,1168.75,13275.81,-5.69
-11330.95,1169.25,13280.95,-6.36
-11336.08,1169.75,13286.08,-5.75
-11341.22,1170.25,13291.22,-5.85
-11346.35,1170.75,13296.35,-5.77
-11351.49,1171.25,13301.49,-5.79
-11356.62,1171.75,13306.62,-5.54
-11361.76,1172.25,13311.76,-6.07
-11366.89,1172.75,13316.89,-5.79
-11372.03,1173.25,13322.03,-5.92
-11377.16,1173.75,13327.16,-5.78
-11387.43,1174.75,13337.43,-5.57
-11392.57,1175.25,13342.57,-5.59
-11397.7,1175.75,13347.7,-5.61
-11402.84,1176.25,13352.84,-5.74
-11413.11,1177.25,13363.11,-5.54
-11418.24,1177.75,13368.24,-5.66
