depth (m),age (BP),depth (m),age (BP),temperature (degC),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),depth (m),TOC (percent),DBD (g_cm3)
2.9,15000,2.2,9330,7.9,4.2,0.01,1.85,0.42,2.99,0.35,0.377
2.93,15200,2.3,9680,7.7,4.38,-0.12,1.63,0.29,3.05,0.52,0.369
3,15600,2.4,10050,7.7,4.43,-0.4,1.69,0.29,3.09,0.36,0.409
3.02,15700,2.5,10410,6.4,4.54,-0.31,2.32,0.45,3.15,0.45,0.378
3.1,16200,2.6,10770,5.8,4.6,-0.22,2.06,0.39,3.19,0.48,0.318
3.13,16400,2.7,11140,5.4,4.61,-0.29,2.22,0.08,3.25,0.43,0.382
3.2,16900,2.8,11500,4.9,5.13,-0.38,2.41,0.18,3.29,0.35,0.451
3.3,17500,2.9,13250,4.5,5.18,-0.35,2.29,-0.09,3.35,0.53,0.355
3.4,18100,2.93,13780,NA,5.04,-0.55,NA,NA,3.38,0.46,0.451
3.5,18700,3,15000,4.1,4.92,-0.38,3.54,0.19,3.44,0.33,0.787
3.6,19400,3.02,15830,NA,5.26,-0.44,3.68,0.24,3.48,0.45,0.365
3.7,20000,3.1,19170,3.1,4.98,-0.33,3.48,0,3.53,0.4,0.331
3.8,20600,3.13,20420,NA,5.02,-0.77,NA,NA,3.59,0.4,0.346
3.9,21200,3.2,23330,3.2,4.93,-0.64,3.43,0.24,3.68,0.42,0.31
4,21800,3.3,25530,3.3,4.95,-0.45,2.78,-0.03,3.78,0.4,0.282
NA,NA,3.4,26410,3.3,4.97,-0.68,3.39,0.41,3.88,0.44,0.297
NA,NA,3.5,27290,3.3,4.94,NA,3.31,0.21,3.99,0.42,0.284
NA,NA,3.6,28070,3,4.88,NA,2.8,0.2,4.09,0.44,0.245
NA,NA,3.7,28440,2.9,4.86,NA,2.83,0.17,4.19,0.4,0.284
NA,NA,3.8,28810,2.9,4.86,NA,2.82,0.37,4.29,0.4,0.299
NA,NA,3.9,29170,2.9,4.87,NA,3.6,0.19,4.39,0.26,0.358
NA,NA,4,29540,3.7,4.96,NA,3.5,0.24,4.49,0.32,0.272
NA,NA,4.1,29900,3.6,NA,NA,3.67,0.19,4.59,0.39,0.27
NA,NA,4.2,30270,3.7,4.7,NA,3.29,0.29,4.69,0.36,0.333
NA,NA,4.3,30630,3.3,4.74,NA,3.04,0.29,4.79,0.36,0.296
NA,NA,4.4,31000,3,4.82,NA,3.19,0.33,4.89,0.47,0.263
NA,NA,4.5,31980,2.9,4.73,NA,2.77,0.36,4.99,0.42,0.306
NA,NA,4.6,32970,3.4,4.85,NA,3.46,0.52,5.09,0.4,0.283
NA,NA,4.7,33950,3.3,4.65,NA,3.35,0.35,NA,NA,NA
NA,NA,4.8,34930,3.2,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.9,35920,2.7,NA,NA,2.91,NA,NA,NA,NA
NA,NA,5,36900,2.8,NA,NA,3.64,0.47,NA,NA,NA
NA,NA,5.1,37890,3.3,4.4,-0.29,3.76,0.5,NA,NA,NA
NA,NA,5.2,38870,3.8,NA,NA,3.21,0.28,NA,NA,NA
NA,NA,5.22,39070,NA,4.41,0.42,3.08,-0.17,NA,NA,NA
NA,NA,5.27,39560,NA,NA,NA,3.49,0.38,NA,NA,NA
NA,NA,5.3,39850,3.9,4.85,-0.18,3.64,0.4,NA,NA,NA
NA,NA,5.4,40840,3.6,4.94,-0.59,3.76,0.54,NA,NA,NA
NA,NA,5.5,41820,3.1,4.82,-0.58,3.67,0.3,NA,NA,NA
NA,NA,5.6,42800,2.8,5.02,-0.53,3.07,0,NA,NA,NA
NA,NA,5.63,43100,NA,NA,NA,3.46,0.02,NA,NA,NA
NA,NA,5.7,43820,2.7,4.65,-0.65,3.53,0.47,NA,NA,NA
NA,NA,5.8,44830,2.6,4.66,-0.86,3.62,0.28,NA,NA,NA
NA,NA,5.9,45850,2.8,4.72,-0.54,3.89,0.19,NA,NA,NA
NA,NA,6,46870,3.3,NA,NA,2.97,0.14,NA,NA,NA
NA,NA,6.1,47890,NA,4.8,-0.53,2.85,0.3,NA,NA,NA
NA,NA,6.2,48910,3.6,4.71,-0.9,2.69,-0.02,NA,NA,NA
NA,NA,6.3,49930,3.9,4.89,-0.61,3.17,0.35,NA,NA,NA
NA,NA,6.35,50440,4,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.39,50840,NA,4.84,-0.43,NA,NA,NA,NA,NA
NA,NA,6.4,50940,3.9,NA,NA,2.97,0.31,NA,NA,NA
NA,NA,6.45,51450,3.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.5,51960,NA,NA,NA,3.28,0.51,NA,NA,NA
NA,NA,6.6,52980,3.9,4.51,-0.52,3.31,0.41,NA,NA,NA
NA,NA,6.63,53290,NA,4.48,0.07,NA,NA,NA,NA,NA
NA,NA,6.7,54000,3.9,4.71,-0.55,3.18,0.45,NA,NA,NA
NA,NA,6.8,54630,3.8,4.73,-0.38,3.1,0.13,NA,NA,NA
NA,NA,6.9,55260,3.6,4.66,-0.72,3.55,0.48,NA,NA,NA
NA,NA,7,55900,3.2,4.7,-0.78,3.58,0.41,NA,NA,NA
NA,NA,7.08,56400,NA,4.58,-0.61,NA,NA,NA,NA,NA
NA,NA,7.1,56530,NA,NA,NA,3.31,0.17,NA,NA,NA
NA,NA,7.12,56650,NA,NA,NA,3.66,0.04,NA,NA,NA
NA,NA,7.15,56840,2.9,NA,NA,3.75,0.23,NA,NA,NA
NA,NA,7.2,57160,2.9,NA,NA,2.74,-0.09,NA,NA,NA
NA,NA,7.25,57470,3.2,NA,NA,NA,NA,NA,NA,NA
NA,NA,7.3,57790,NA,NA,NA,3.19,-0.1,NA,NA,NA
NA,NA,7.35,58110,3.6,NA,NA,NA,NA,NA,NA,NA
NA,NA,7.4,58420,3.7,NA,NA,2.9,0.11,NA,NA,NA
NA,NA,7.45,58740,3.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,7.5,59050,NA,4.69,-0.72,3.13,0.13,NA,NA,NA
NA,NA,7.6,59680,3.8,4.72,-0.61,2.6,-0.15,NA,NA,NA
NA,NA,7.7,60980,4.1,4.75,-0.91,3.05,0.13,NA,NA,NA
NA,NA,7.8,62930,4.4,4.88,-0.28,3.03,0.16,NA,NA,NA
NA,NA,7.9,64890,NA,4.78,-0.52,3.17,0.23,NA,NA,NA
NA,NA,7.95,65870,4.7,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,66840,4.4,4.73,-0.19,3.05,0.89,NA,NA,NA
NA,NA,8.05,67820,4.2,NA,NA,2.7,0.58,NA,NA,NA
NA,NA,8.1,68800,NA,4.53,0.17,2.9,0.74,NA,NA,NA
NA,NA,8.15,69060,3.8,NA,NA,3.09,0.77,NA,NA,NA
NA,NA,8.2,69330,3.8,4.57,-0.03,3.1,0.76,NA,NA,NA
NA,NA,8.25,69590,3.9,NA,NA,2.83,0.64,NA,NA,NA
NA,NA,8.3,69860,NA,4.56,0.25,3.24,0.87,NA,NA,NA
NA,NA,8.35,70120,3.9,NA,NA,2.89,0.56,NA,NA,NA
NA,NA,8.4,70390,4.1,NA,NA,2.89,0.42,NA,NA,NA
NA,NA,8.45,70650,4.3,NA,NA,2.96,0.64,NA,NA,NA
NA,NA,8.5,70910,NA,4.49,-0.03,2.98,0.5,NA,NA,NA
NA,NA,8.55,71180,4.8,NA,NA,NA,NA,NA,NA,NA
NA,NA,8.6,71440,5.3,4.19,0.21,3.06,0.44,NA,NA,NA
NA,NA,8.65,71710,5,NA,NA,NA,NA,NA,NA,NA
NA,NA,8.7,71970,NA,4.46,-0.24,2.84,0.67,NA,NA,NA
NA,NA,8.75,72240,4.5,NA,NA,NA,NA,NA,NA,NA
NA,NA,8.8,72500,4.5,4.45,0.02,2.94,0.64,NA,NA,NA
NA,NA,8.9,74700,NA,4.27,0.14,2.84,0.72,NA,NA,NA
NA,NA,8.95,75800,4.3,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,76900,4.7,4.39,NA,2.85,0.54,NA,NA,NA
NA,NA,9.05,78000,4.6,NA,NA,NA,NA,NA,NA,NA
NA,NA,9.1,79100,NA,4.16,0.1,2.95,0.54,NA,NA,NA
NA,NA,9.15,80200,4.3,NA,NA,NA,NA,NA,NA,NA
NA,NA,9.2,81300,3.9,4.25,0.15,2.69,0.48,NA,NA,NA
NA,NA,9.28,83060,NA,4.25,-0.1,NA,NA,NA,NA,NA
NA,NA,9.3,83500,NA,NA,NA,2.44,0.25,NA,NA,NA
NA,NA,9.38,84580,NA,NA,NA,2.6,0.5,NA,NA,NA
NA,NA,9.4,84850,3.8,4.62,0.05,2.64,0.45,NA,NA,NA
NA,NA,9.46,85660,NA,NA,NA,2.75,0.47,NA,NA,NA
NA,NA,9.5,86200,NA,4.48,0.28,3.1,0.64,NA,NA,NA
NA,NA,9.55,86850,3.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,9.6,87500,4.5,NA,NA,2.88,0.75,NA,NA,NA
NA,NA,9.65,88150,4.8,NA,NA,NA,NA,NA,NA,NA
NA,NA,9.7,88800,NA,NA,NA,2.95,0.78,NA,NA,NA
NA,NA,9.75,89450,4.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,9.78,89840,NA,NA,NA,2.97,0.61,NA,NA,NA
NA,NA,9.8,90100,4.9,NA,NA,2.46,0.59,NA,NA,NA
NA,NA,9.85,90750,5,NA,NA,2.74,0.42,NA,NA,NA
NA,NA,9.9,91400,NA,NA,NA,2.75,0.71,NA,NA,NA
NA,NA,9.95,92050,4.8,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,92700,4.6,4.56,-0.02,2.68,0.83,NA,NA,NA
NA,NA,10.03,92890,NA,4.24,0.17,NA,NA,NA,NA,NA
NA,NA,10.05,93020,4.6,NA,NA,2.62,0.24,NA,NA,NA
NA,NA,10.1,93340,NA,NA,NA,2.66,0.69,NA,NA,NA
NA,NA,10.13,93530,NA,4.26,NA,NA,NA,NA,NA,NA
NA,NA,10.15,93660,4.3,NA,NA,2.31,0.38,NA,NA,NA
NA,NA,10.2,93970,4.1,NA,NA,2.79,0.83,NA,NA,NA
NA,NA,10.23,94160,NA,3.75,0.12,NA,NA,NA,NA,NA
NA,NA,10.25,94290,4,NA,NA,2.57,0.57,NA,NA,NA
NA,NA,10.3,94610,NA,4.36,-0.01,2.7,0.77,NA,NA,NA
NA,NA,10.37,95060,3.8,NA,NA,NA,NA,NA,NA,NA
NA,NA,10.4,95250,3.6,4.27,0.07,2.19,0.72,NA,NA,NA
NA,NA,10.43,95440,NA,4.17,0.06,2.9,0.63,NA,NA,NA
NA,NA,10.46,95960,3.6,NA,NA,NA,NA,NA,NA,NA
NA,NA,10.5,96880,NA,4.45,0.23,2.64,0.8,NA,NA,NA
NA,NA,10.53,97570,NA,4.35,0.64,NA,NA,NA,NA,NA
NA,NA,10.6,99180,3.8,NA,NA,2.38,0.4,NA,NA,NA
NA,NA,10.63,99870,NA,4.44,0.14,NA,NA,NA,NA,NA
NA,NA,10.65,100320,3.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,10.7,101470,NA,4.11,0.31,2.57,0.8,NA,NA,NA
NA,NA,10.75,102620,3.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,10.8,103770,3.6,3.91,0.53,2.79,0.55,NA,NA,NA
NA,NA,10.85,104310,3.7,NA,NA,NA,NA,NA,NA,NA
NA,NA,10.9,104690,NA,4.25,-0.17,2.29,0.73,NA,NA,NA
NA,NA,10.92,104850,NA,NA,NA,2.98,0.34,NA,NA,NA
NA,NA,10.96,105150,4,NA,NA,3.04,0.59,NA,NA,NA
NA,NA,11,105460,4.6,4.35,0.11,2.72,0.57,NA,NA,NA
NA,NA,11.1,106230,NA,4.41,0.15,2.61,0.54,NA,NA,NA
NA,NA,11.15,106620,4.5,NA,NA,NA,NA,NA,NA,NA
NA,NA,11.2,107000,4.5,4.26,0.16,2.67,NA,NA,NA,NA
NA,NA,11.28,107530,NA,4.41,-0.05,NA,NA,NA,NA,NA
NA,NA,11.3,107670,NA,4.64,NA,2.56,0.45,NA,NA,NA
NA,NA,11.35,108000,4.2,NA,NA,NA,NA,NA,NA,NA
NA,NA,11.4,108330,4,4.35,-0.44,2.8,0.56,NA,NA,NA
NA,NA,11.45,108670,NA,4.37,0.51,NA,NA,NA,NA,NA
NA,NA,11.49,108930,NA,4.17,0.12,NA,NA,NA,NA,NA
NA,NA,11.5,109000,NA,4.38,NA,3.01,0.66,NA,NA,NA
NA,NA,11.54,109270,3.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,11.6,109670,4.2,NA,NA,2.75,0.55,NA,NA,NA
NA,NA,11.64,109930,NA,4.48,0.06,NA,NA,NA,NA,NA
NA,NA,11.67,110130,4.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,11.7,110330,NA,NA,NA,2.75,0.54,NA,NA,NA
NA,NA,11.75,110670,4.4,4.4,0.53,NA,NA,NA,NA,NA
NA,NA,11.8,111000,4.5,NA,NA,2.98,0.52,NA,NA,NA
NA,NA,11.82,111500,NA,NA,NA,2.73,0.28,NA,NA,NA
NA,NA,11.87,112750,NA,4.15,0.02,2.92,0.69,NA,NA,NA
NA,NA,11.88,113000,NA,NA,NA,2.73,0.34,NA,NA,NA
NA,NA,11.9,113500,NA,NA,NA,2.53,0.56,NA,NA,NA
NA,NA,11.94,114500,4.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,12,116000,5.2,3.48,-0.12,2.96,0.6,NA,NA,NA
NA,NA,12.08,117020,NA,3.74,0.13,NA,NA,NA,NA,NA
NA,NA,12.1,117270,NA,NA,NA,2.86,0.75,NA,NA,NA
NA,NA,12.16,118040,5,3.8,-0.38,2.87,0.72,NA,NA,NA
NA,NA,12.2,118550,4.7,NA,NA,2.51,0.76,NA,NA,NA
NA,NA,12.24,NA,NA,NA,-0.72,2.84,0.45,NA,NA,NA
NA,NA,12.3,NA,NA,NA,NA,3.23,0.75,NA,NA,NA
NA,NA,12.4,NA,3.7,NA,NA,NA,NA,NA,NA,NA
NA,NA,12.46,NA,NA,NA,NA,2.83,0.55,NA,NA,NA
NA,NA,12.5,NA,NA,NA,NA,2.42,0.51,NA,NA,NA
NA,NA,12.55,NA,3.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,12.6,NA,3.7,NA,NA,2.62,0.34,NA,NA,NA
NA,NA,12.76,NA,4.9,NA,NA,2.5,0.34,NA,NA,NA
NA,NA,12.8,NA,5.7,NA,NA,2.92,0.58,NA,NA,NA
NA,NA,12.86,NA,NA,NA,NA,2.85,0.36,NA,NA,NA
NA,NA,12.9,NA,NA,NA,NA,2.38,0.55,NA,NA,NA
NA,NA,12.97,NA,6.2,NA,NA,NA,NA,NA,NA,NA
NA,NA,13,NA,6,NA,NA,2.56,0.44,NA,NA,NA
NA,NA,13.05,NA,5.9,NA,NA,2.58,0.05,NA,NA,NA
NA,NA,13.1,119350,NA,3.8,NA,2.15,0.51,NA,NA,NA
NA,NA,13.15,119940,5.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,13.18,120290,NA,3.52,0.27,2.06,0.2,NA,NA,NA
NA,NA,13.2,120530,6.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,13.3,122000,NA,3.62,-0.12,1.59,0.15,NA,NA,NA
NA,NA,13.33,122500,NA,3.57,-0.26,NA,NA,NA,NA,NA
NA,NA,13.36,123000,7.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,13.4,123670,7.6,3.71,-0.36,1.52,0.06,NA,NA,NA
NA,NA,13.46,124670,7.5,NA,NA,NA,NA,NA,NA,NA
NA,NA,13.5,125330,NA,3.62,0.13,1.82,0.19,NA,NA,NA
NA,NA,13.55,126170,7.1,NA,NA,1.41,0.03,NA,NA,NA
NA,NA,13.6,127000,6.7,4.12,0.03,2.14,-0.01,NA,NA,NA
NA,NA,13.65,127830,6.6,NA,NA,1.67,0,NA,NA,NA
NA,NA,13.7,128670,NA,4.19,-0.45,2.23,-0.27,NA,NA,NA
NA,NA,13.75,129500,6.2,NA,NA,2.4,-0.28,NA,NA,NA
NA,NA,13.8,130330,5.5,4.83,-0.69,2.85,-0.36,NA,NA,NA
NA,NA,13.85,131170,4.7,NA,-0.84,2.62,-0.47,NA,NA,NA
NA,NA,13.9,132000,NA,5.08,NA,2.71,-0.25,NA,NA,NA
NA,NA,13.95,132830,4,NA,NA,4.08,0.08,NA,NA,NA
NA,NA,14,133670,3.4,NA,NA,NA,NA,NA,NA,NA
NA,NA,14.2,137000,3.9,NA,NA,NA,NA,NA,NA,NA
NA,NA,14.4,140330,3.3,NA,NA,NA,NA,NA,NA,NA
NA,NA,14.6,143670,5.5,NA,NA,NA,NA,NA,NA,NA
