year (AD),age (BP),d18O_VPBD (permil)
-145.704,2095.704,-15.387
-173.628,2123.628,-16.56
-201.665,2151.665,-15.598
-229.816,2179.816,-16.527
-258.079,2208.079,-16.691
-286.456,2236.456,-16.944
-314.947,2264.947,-17.735
-343.55,2293.55,-17.224
-372.267,2322.267,-16.366
-401.096,2351.096,-16.171
-430.039,2380.039,-16.575
-459.096,2409.096,-16.032
-488.265,2438.265,-15.754
-517.548,2467.548,-15.571
-546.944,2496.944,-15.623
-576.453,2526.453,-16.249
-606.075,2556.075,-15.782
-635.811,2585.811,-16.044
-665.66,2615.66,-15.619
-695.622,2645.622,-15.568
-725.697,2675.697,-15.606
-755.886,2705.886,-15.316
-786.187,2736.187,-15.843
-816.602,2766.602,-16.011
-847.13,2797.13,-15.978
-877.772,2827.772,-16.269
-908.526,2858.526,-16.557
-939.394,2889.394,-15.676
-970.375,2920.375,-15.881
-1001.469,2951.469,-15.872
-1032.677,2982.677,-15.598
-1063.997,3013.997,-15.553
-1095.431,3045.431,-15.537
-1126.978,3076.978,-15.143
-1158.639,3108.639,-15.483
-1190.412,3140.412,-15.845
-1222.299,3172.299,-16.335
-1254.299,3204.299,-16.334
-1286.412,3236.412,-16.604
-1318.639,3268.639,-16.866
-1350.978,3300.978,-15.936
-1383.431,3333.431,-15.783
-1415.997,3365.997,-15.459
-1448.677,3398.677,-15.6
-1481.469,3431.469,-15.426
-1514.375,3464.375,-15.151
-1547.394,3497.394,-15.295
-1580.526,3530.526,-15.554
-1613.771,3563.771,-15.468
-1647.13,3597.13,-15.412
-1680.602,3630.602,-15.501
-1714.187,3664.187,-15.635
-1747.885,3697.885,-15.402
-1781.697,3731.697,-15.151
-1815.621,3765.621,-15.114
-1849.659,3799.659,-14.981
-1883.811,3833.811,-14.862
-1918.075,3868.075,-15.386
-1952.453,3902.453,-15.516
-1986.943,3936.943,-15.159
-2021.547,3971.547,-15.267
-2056.265,4006.265,-15.453
-2126.039,4076.039,-15.204
-2196.266,4146.266,-15.803
-2266.946,4216.946,-14.957
-2338.079,4288.079,-14.985
-2409.665,4359.665,-15.175
-2481.703,4431.703,-15.306
-2554.195,4504.195,-15.299
-2627.139,4577.139,-15.43
-2700.536,4650.536,-15.346
-2774.386,4724.386,-14.878
-2848.689,4798.689,-14.909
-2923.445,4873.445,-15.155
-2998.654,4948.654,-15.196
-3074.316,5024.316,-15.406
-3150.43,5100.43,-15.044
-3226.998,5176.998,-14.813
-3304.018,5254.018,-15.019
-3381.491,5331.491,-15.023
-3459.417,5409.417,-15.085
-3537.796,5487.796,-14.689
-3616.628,5566.628,-15.504
-3695.912,5645.912,-14.709
-3775.65,5725.65,-14.713
-3855.84,5805.84,-15.096
-3936.484,5886.484,-14.994
-4017.58,5967.58,-15.356
-4099.129,6049.129,-15.04
-4181.131,6131.131,-14.953
-4263.586,6213.586,-14.582
-4346.494,6296.494,-14.539
-4429.854,6379.854,-14.37
-4513.668,6463.668,-15.075
-4597.934,6547.934,-15.066
-4682.653,6632.653,-14.65
-4767.825,6717.825,-15.171
-4853.45,6803.45,-14.496
-4939.528,6889.528,-14.793
-5026.059,6976.059,-14.707
-5113.043,7063.043,-14.722
-5200.479,7150.479,-14.334
-5288.369,7238.369,-14.524
-5376.711,7326.711,-14.731
-5465.506,7415.506,-14.415
-5554.754,7504.754,-14.602
-5644.455,7594.455,-15.058
-5734.609,7684.609,-15.149
-5825.215,7775.215,-14.619
-5916.275,7866.275,-14.898
-6007.787,7957.787,-14.986
-6099.753,8049.753,-14.671
-6192.171,8142.171,-14.457
-6285.042,8235.042,-15.073
-6378.366,8328.366,-14.993
-6378.366,8328.366,-15.072
-6472.143,8422.143,-14.766
-6566.373,8516.373,-14.749
-6661.055,8611.055,-15.043
-6756.191,8706.191,-13.817
-6851.779,8801.779,-14.226
-6947.82,8897.82,-13.931
-7044.314,8994.314,-14.509
-7141.261,9091.261,-14.517
-7238.661,9188.661,-14.511
-7336.514,9286.514,-14.73
-7434.82,9384.82,-14.547
-7533.578,9483.578,-14.64
-7632.79,9582.79,-14.551
-7732.454,9682.454,-14.844
-7832.571,9782.571,-14.551
-7933.141,9883.141,-14.449
-8034.164,9984.164,-14.321
-8135.64,10085.64,-14.152
-8237.568,10187.568,-14.436
-8339.95,10289.95,-14.524
