age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),D (missing),age (BP),temperature (degC)
3447.5,60,7.662,34.743,0.158,0.188,194.234,2,3646.9,1.828
3646.9,64,3.832,32.646,5.395,4.298,113.507,1,3746.6,6.399
3746.6,66,8.258,34.91,0.062,0.098,195.337,2,3846.2,5.369
3846.2,68,8.382,33.369,1.945,1.524,198.277,1,3945.9,4.23
3945.9,70,6.657,34.3,0.472,0.502,217.197,2,4045.6,4.325
4045.6,72,6.665,34.616,0.217,0.209,207.85,1,4145.3,3.464
4145.3,74,5.955,34.455,0.333,0.318,205.024,2,4245,4.314
4245,76,6.814,34.498,0.45,0.453,214.924,1,4344.7,5.276
4344.7,78,7.949,34.391,0.059,0.079,203.645,2,4444.4,4.253
4444.4,80,6.801,34.651,0.295,0.321,180.556,1,4544,3.496
4544,82,6.02,33.552,1.806,1.485,191.086,2,4743.4,3.282
4743.4,86,5.99,34.365,0.4,0.425,205.787,1,4843.1,4.301
4843.1,88,6.936,34.57,0.148,0.149,208.849,2,4942.8,3.862
4942.8,90,6.833,33.659,2.209,1.728,182.35,1,5042.5,3.985
5042.5,92,6.699,33.614,1.967,1.575,195.864,2,5142.2,4.745
5142.2,94,7.164,31.337,0.254,0.271,231.006,1,5241.8,3.389
5241.8,96,6.421,34.551,0.199,0.187,192.389,2,5341.5,4.773
5341.5,98,7.726,32.013,0.115,0.11,209.692,1,5441.2,4.787
5441.2,100,7.497,34.314,0.898,0.694,208.633,2,5540.9,5.137
5540.9,102,7.522,33.672,0.761,0.658,211.875,1,5640.6,3.744
5640.6,104,7.164,33.914,0.595,0.507,198.887,2,5840,3.888
5840,108,7.455,32.621,2.1,1.703,176.974,1,5939.6,3.893
5939.6,110,7.469,33.284,0.763,0.617,208.39,2,6039.3,4.765
6039.3,112,7.953,33.381,0.571,0.462,223.405,1,6139,4.564
6139,114,7.788,31.394,0.938,0.718,207.99,2,6238.7,4.048
6238.7,116,7.41,33.94,0.582,0.486,203.757,1,6338.4,4.947
6338.4,118,9.037,32.902,0.669,0.548,241.677,2,6438.1,2.194
6438.1,120,5.275,32.329,4.485,3.583,144.413,1,6537.8,4.722
6537.8,122,7.955,33.099,0.206,0.195,229.661,2,6637.4,4.206
6637.4,124,7.367,33.824,1.152,0.948,210.017,1,6737.1,3.262
6737.1,126,6.464,31.765,3.074,2.412,204.979,2,6836.8,2.074
6836.8,128,5.241,30.514,5.095,4.019,170.218,1,6936.5,3.128
6936.5,130,5.952,32.92,3.041,2.459,170.409,2,7036.2,4.385
7036.2,132,7.375,34.547,0.185,0.191,206.392,1,7335.2,4.7
7335.2,138,6.806,31.855,0.307,0.335,230.767,2,7434.9,2.869
7434.9,140,6.218,28.347,3.981,3.127,197.89,1,7534.6,3.902
7534.6,142,6.897,29.517,2.662,2.098,209.35,2,7634.3,4.126
7634.3,144,7.787,29.713,2.194,1.764,237.793,1,7734,4.474
7734,146,8.442,29.118,2.263,1.879,223.882,2,7833.7,1.823
7833.7,148,5.29,28.192,7.266,5.823,155.315,1,7933.4,3.109
7933.4,150,6.294,28.827,3.529,2.845,188.934,2,8033,4.069
8033,152,6.352,30.914,3.477,2.826,177.915,1,8132.7,3.798
8132.7,154,8.465,30.491,5.048,3.98,203.411,2,8232.4,2.15
8232.4,156,5.186,32.207,4.844,3.724,202.307,1,8332.1,2.266
8332.1,158,5.807,28.929,6.467,5.05,191.581,2,8431.8,3.202
8431.8,160,7.44,31.457,5.387,4.159,223.473,1,8531.5,4.82
8531.5,162,9.144,31.618,2.798,2.254,250.628,2,8631.2,2.424
8631.2,164,6.215,31.589,6.252,4.867,192.003,1,8730.8,3.084
8730.8,166,6.664,29.115,5.229,4.133,204.541,2,8830.5,3.154
8830.5,168,5.196,33.573,3.6,2.858,164.978,1,8930.2,3.337
8930.2,170,7.375,28.151,5.422,4.369,192.807,2,9029.9,3.598
9029.9,172,6.595,32.263,2.903,2.346,199.555,1,9129.6,2.249
9129.6,174,4.972,29.682,4.423,3.477,175.715,2,9329,4.325
9329,178,8.409,30.973,2.991,2.406,307.184,1,9428.6,4.731
9428.6,180,9.484,27.13,3.163,2.536,394.286,2,9528.3,4.611
9528.3,182,8.179,32,1.453,1.168,324.299,1,9628,5.13
9628,184,9.025,31.831,1.434,1.144,335.992,2,9727.7,4.92
9727.7,186,9.262,29.349,2.592,2.081,344.768,1,9827.4,4.898
9827.4,188,9.179,29.295,2.601,2.09,340.875,2,9927.1,5.899
9927.1,190,10.777,28.705,2.693,2.131,461.987,1,NA,NA
10027,192,8.107,30.273,2.585,2.185,379.258,2,NA,NA
10126,194,7.015,31.834,2.926,2.423,252.618,1,NA,NA
10326,198,11.993,29.108,2.621,2.077,333.75,2,NA,NA
10426,200,10.647,30.414,2.821,2.307,292.673,1,NA,NA
10442,210,7.888,30.45,2.863,2.241,335.013,2,NA,NA
10458,220,9.91,30.942,1.862,1.569,303.335,1,NA,NA
10491,240,12.455,29.09,2.254,1.787,323.338,2,NA,NA
10507,250,11.209,30.161,1.874,1.533,285.94,1,NA,NA
10523,260,12.381,29.404,2.566,2.034,304.78,2,NA,NA
10540,270,9.146,31.191,3.35,2.637,261.857,1,NA,NA
NA,280,7.928,31.556,2.628,2.134,201.144,2,NA,NA
NA,290,8.61,31.279,1.564,1.247,199.207,1,NA,NA
10589,300,7.164,33.141,1.997,1.618,200.133,2,NA,NA
NA,310,5.516,31.192,4.935,3.858,166.949,1,NA,NA
