year (AD),age (BP),PC1 (missing)
1348,602,-3.15
1344,606,-3.268
1339,611,-3.086
1335,615,-3.182
1330,620,-3.782
1325,625,-3.498
1321,629,-3.4
1316,634,-3.357
1312,638,-3.134
1307,643,-2.979
1302,648,-2.824
1298,652,-2.636
1293,657,-2.214
1289,661,-1.514
1284,666,-1.277
1279,671,-1.36
1275,675,-1.814
1270,680,-1.518
1266,684,-0.939
1261,689,-0.897
1256,694,-1.559
1252,698,-2.127
1247,703,-2.224
1243,707,-1.822
1238,712,-2.087
1233,717,-1.709
1229,721,-0.929
1224,726,-0.524
1220,730,0.104
1215,735,-0.563
1211,739,-1.855
1207,743,-1.932
1202,748,-1.393
1198,752,-0.432
1193,757,-0.016
1189,761,-0.129
1184,766,-0.019
1180,770,0.004
1175,775,0.125
1171,779,0.263
1166,784,0.505
1162,788,0.494
1157,793,0.321
1153,797,0.014
1148,802,-0.038
1144,806,0.07
1139,811,0.263
1135,815,0.185
1130,820,-0.019
1126,824,0.005
1121,829,0.565
1117,833,0.655
1113,837,-0.161
1108,842,-1.247
1103,847,-1.721
1099,851,-0.674
1094,856,-0.376
1090,860,-0.573
1085,865,-0.769
1080,870,-1.045
1076,874,-0.524
1071,879,0.091
1067,883,0.428
1062,888,0.833
1057,893,0.735
1053,897,0.786
1048,902,0.455
1044,906,0.489
1039,911,0.576
1034,916,0.482
1030,920,0.433
1025,925,0.295
1021,929,0.454
1016,934,0.817
1011,939,0.198
1007,943,0.034
1002,948,0.53
998,952,0.599
993,957,0.873
988,962,0.721
984,966,0.818
979,971,1.123
975,975,1.086
970,980,0.423
965,985,0.722
961,989,1.203
956,994,0.307
952,998,0.222
947,1003,0.518
942,1008,0.52
938,1012,-0.227
933,1017,-0.912
929,1021,-0.281
924,1026,0.304
919,1031,-0.463
915,1035,-0.558
910,1040,0.492
906,1044,0.208
901,1049,-0.125
896,1054,-0.618
892,1058,-0.657
887,1063,-0.693
883,1067,0.044
878,1072,0.566
873,1077,0.265
869,1081,0.615
864,1086,0.729
860,1090,0.336
855,1095,0.241
850,1100,0.357
846,1104,0.426
841,1109,0.007
837,1113,0.166
832,1118,0.154
827,1123,-0.443
823,1127,-0.094
818,1132,0.266
814,1136,0.131
809,1141,-0.393
804,1146,-0.448
800,1150,0.251
795,1155,-0.161
791,1159,-0.593
786,1164,-0.774
781,1169,-0.994
777,1173,-1.152
772,1178,-0.856
768,1182,-0.874
763,1187,-0.94
758,1192,-0.823
754,1196,-0.711
749,1201,-1.414
745,1205,-1.553
740,1210,-1.156
735,1215,-1.31
731,1219,-1.502
726,1224,-1.409
722,1228,-1.375
717,1233,-1.399
712,1238,-1.468
708,1242,-1.802
703,1247,-1.548
699,1251,-1.514
694,1256,-1.513
689,1261,-1.927
685,1265,-1.935
680,1270,-1.53
675,1275,-1.362
670,1280,-1.472
666,1284,-1.707
661,1289,-1.462
656,1294,-1.483
651,1299,-1.657
646,1304,-1.891
642,1308,-1.834
637,1313,-1.746
632,1318,-1.676
627,1323,-1.573
623,1327,-2.152
618,1332,-3.203
613,1337,-2.84
608,1342,-2.306
603,1347,-3.124
599,1351,-3.538
594,1356,-3.262
589,1361,-3.302
581,1369,-3.204
573,1377,-3.138
565,1385,-3.1
557,1393,-3.17
549,1401,-3.508
541,1409,-3.126
533,1417,-3.133
525,1425,-3.155
517,1433,-3.059
509,1441,-3.027
501,1449,-2.607
493,1457,-2.285
485,1465,-2.594
477,1473,-2.856
470,1480,-3.267
462,1488,-3.281
454,1496,-2.857
446,1504,-2.849
438,1512,-2.763
430,1520,-2.107
422,1528,-2.187
414,1536,-3.093
406,1544,-3.654
398,1552,-2.939
390,1560,-2.171
382,1568,-2.079
374,1576,-2.279
366,1584,-1.905
358,1592,-1.855
350,1600,-2.229
342,1608,-2.114
334,1616,-2.407
326,1624,-2.617
318,1632,-2.499
310,1640,-2.949
302,1648,-2.932
294,1656,-2.71
286,1664,-2.682
278,1672,-3.014
270,1680,-2.343
262,1688,-1.995
254,1696,-2.179
246,1704,-1.72
238,1712,-1.884
230,1720,-2.247
222,1728,-2.016
214,1736,-1.899
206,1744,-1.626
198,1752,-1.804
190,1760,-1.755
182,1768,-0.981
174,1776,-1.114
166,1784,-1.348
158,1792,-2.088
150,1800,-3.098
142,1808,-3.047
134,1816,-2.425
127,1823,-2.244
119,1831,-2.282
111,1839,-2.702
103,1847,-3.134
93,1857,-3.843
83,1867,-4.179
73,1877,-3.146
63,1887,-2.06
53,1897,-2.155
45,1905,-1.903
37,1913,-2.039
29,1921,-2.352
22,1928,-2.296
14,1936,-2.078
6,1944,-2.269
-2,1952,-2.205
-10,1960,-2.188
-18,1968,-1.808
-26,1976,-1.641
-34,1984,-2.014
-41,1991,-2.098
-49,1999,-1.548
-56,2006,-1.501
-64,2014,-1.498
-72,2022,-1.801
-79,2029,-2.18
-87,2037,-2.047
-94,2044,-2.159
-102,2052,-2.282
-110,2060,-1.9
-117,2067,-1.431
-125,2075,-1.443
-132,2082,-1.538
-140,2090,-2.042
-148,2098,-2.331
-155,2105,-1.895
-163,2113,-1.513
-170,2120,-2.488
-178,2128,-3.079
-186,2136,-2.039
-193,2143,-2.093
-201,2151,-1.917
-208,2158,-1.049
-216,2166,-1.675
-224,2174,-1.646
-231,2181,-1.909
-239,2189,-2.545
-246,2196,-2.521
-254,2204,-2.295
-262,2212,-1.904
-269,2219,-1.6
-277,2227,-1.309
-284,2234,-1.815
-292,2242,-2.005
-300,2250,-2.08
-307,2257,-2.14
-315,2265,-1.629
-322,2272,-1.772
-330,2280,-1.71
-338,2288,-1.778
-345,2295,-1.858
-353,2303,-1.073
-360,2310,-0.73
-368,2318,-1.718
-376,2326,-1.051
-383,2333,-0.701
-391,2341,-1.346
-398,2348,-1.236
-406,2356,-2.113
-414,2364,-2.375
-421,2371,-1.867
-429,2379,-1.226
-436,2386,-0.956
-444,2394,-0.991
-452,2402,-1.588
-459,2409,-1.94
-467,2417,-2.061
-474,2424,-1.628
-482,2432,-1.659
-490,2440,-1.915
-497,2447,-1.514
-505,2455,-1.442
-512,2462,-1.349
-520,2470,-1.139
-520,2470,-1.211
-528,2478,-0.894
-535,2485,-0.757
-543,2493,-0.826
-550,2500,-1.201
-558,2508,-1.809
-566,2516,-2.674
-573,2523,-2.753
-581,2531,-2.626
-588,2538,-2.472
-596,2546,-2.11
-604,2554,-1.439
-611,2561,-0.546
-619,2569,-0.461
-626,2576,-0.409
-634,2584,-0.552
-642,2592,-1.049
-649,2599,-1.502
-657,2607,-2.017
-664,2614,-1.831
-672,2622,-1.007
-680,2630,-1.52
-687,2637,-1.676
-695,2645,-1.157
-702,2652,-1.509
-710,2660,-1.862
-718,2668,-1.417
-725,2675,-1.37
-733,2683,-1.318
-740,2690,-1.348
-748,2698,-1.373
-756,2706,-1.541
-763,2713,-1.32
-771,2721,-1.072
-779,2729,-0.866
-786,2736,-0.914
-794,2744,-1.16
-801,2751,-0.87
-809,2759,-1.426
-817,2767,-1.687
-824,2774,-1.062
-832,2782,-1.24
-839,2789,-1.694
-847,2797,-1.593
-855,2805,-1.05
-862,2812,-0.482
-870,2820,-0.645
-877,2827,-1.322
-885,2835,-1.57
-893,2843,-1.487
-899,2849,-0.989
-905,2855,-0.331
-912,2862,-0.074
-918,2868,0.327
-925,2875,0.031
-931,2881,-0.425
-938,2888,-0.403
-944,2894,-0.538
-951,2901,-0.651
-957,2907,-0.621
-964,2914,-0.641
-970,2920,-0.594
-977,2927,-0.202
-983,2933,-0.845
-990,2940,-0.944
-996,2946,-0.417
-1003,2953,-0.107
-1009,2959,-0.594
-1016,2966,-0.632
-1022,2972,-0.474
-1029,2979,-0.436
-1035,2985,-0.036
-1041,2991,-0.245
-1048,2998,-0.143
-1054,3004,-0.363
-1063,3013,-0.814
-1075,3025,-0.355
-1086,3036,-0.688
-1097,3047,-1.487
-1108,3058,-1.838
-1120,3070,-1.532
-1131,3081,-1.524
-1142,3092,-1.003
-1153,3103,-0.442
-1165,3115,-0.551
-1176,3126,-1.155
-1187,3137,-1.13
-1198,3148,-1.093
-1209,3159,-1.283
-1221,3171,-1.219
-1232,3182,-1.463
-1243,3193,-1.751
-1254,3204,-1.555
-1266,3216,-0.899
-1277,3227,-0.624
-1288,3238,-0.367
-1299,3249,-0.336
-1311,3261,-0.826
-1322,3272,-0.806
-1333,3283,-1.264
-1344,3294,-1.601
-1356,3306,-1.066
-1367,3317,-0.919
-1378,3328,-0.84
-1389,3339,-0.958
-1401,3351,-0.779
-1412,3362,-0.4
-1423,3373,-0.489
-1434,3384,-0.694
-1446,3396,-1.266
-1457,3407,-0.891
-1468,3418,-0.608
-1479,3429,-0.694
-1491,3441,-0.689
-1502,3452,-1.119
-1513,3463,-1.005
-1524,3474,-0.796
-1536,3486,-1.129
-1547,3497,-1.074
-1558,3508,-0.281
-1569,3519,-0.025
-1581,3531,-0.426
-1592,3542,-0.751
-1603,3553,-0.157
-1614,3564,-0.351
-1626,3576,-0.489
-1637,3587,0.02
-1648,3598,0.052
-1659,3609,0.052
-1671,3621,0.006
-1682,3632,0.038
-1693,3643,0.064
-1704,3654,0.277
-1716,3666,0.347
-1727,3677,0.103
-1738,3688,0.241
-1749,3699,0.522
-1763,3713,-0.008
-1775,3725,0.039
-1785,3735,0.463
-1798,3748,0.486
-1811,3761,-0.393
-1824,3774,0.199
-1837,3787,1.073
-1850,3800,0.073
-1862,3812,-0.152
-1875,3825,0.055
-1888,3838,0.309
-1901,3851,-0.568
-1914,3864,-1.142
-1927,3877,-0.513
-1940,3890,0.17
-1953,3903,0.087
-1966,3916,0.723
-1979,3929,1.351
-1992,3942,1.032
-2005,3955,0.145
-2018,3968,-0.273
-2031,3981,-0.183
-2044,3994,-0.332
-2056,4006,0.259
-2069,4019,0.552
-2082,4032,0.598
-2095,4045,0.588
-2108,4058,0.306
-2121,4071,0.023
-2134,4084,-0.171
-2147,4097,-0.327
-2160,4110,-0.573
-2173,4123,-0.83
-2186,4136,-0.341
-2199,4149,-0.198
-2212,4162,-0.292
-2228,4178,-0.258
-2243,4193,0.159
-2276,4226,-0.185
-2309,4259,0.115
-2336,4286,0.205
-2363,4313,-0.087
-2389,4339,-0.207
-2416,4366,0.114
-2443,4393,-0.137
-2469,4419,-0.55
-2496,4446,-0.174
-2522,4472,0.034
-2549,4499,-0.194
-2576,4526,-0.635
-2602,4552,-0.976
-2629,4579,-0.793
-2656,4606,-0.93
-2682,4632,-0.529
-2709,4659,-1.414
-2736,4686,-1.989
-2762,4712,-1.104
-2789,4739,-0.543
-2816,4766,-0.323
-2842,4792,-0.19
-2869,4819,0.159
-2895,4845,0.243
-2922,4872,-0.337
-2949,4899,-0.627
-2975,4925,-0.029
-3002,4952,0.639
-3029,4979,0.875
-3055,5005,0.957
-3082,5032,1.067
-3109,5059,0.891
-3135,5085,0.821
-3162,5112,1.05
-3189,5139,1.242
-3215,5165,1.106
-3242,5192,0.839
-3269,5219,0.616
-3295,5245,0.221
-3322,5272,0.202
-3348,5298,0.439
-3375,5325,0.502
-3402,5352,0.657
-3428,5378,0.639
-3455,5405,0.699
-3482,5432,1.419
-3508,5458,1.506
-3535,5485,1.445
-3562,5512,0.589
-3588,5538,0.231
-3615,5565,0.252
-3642,5592,0.187
-3668,5618,0.374
-3692,5642,0.775
-3715,5665,1.266
-3738,5688,1.165
-3761,5711,0.807
-3785,5735,1.199
-3808,5758,1.764
-3831,5781,1.572
-3855,5805,1.445
-3878,5828,1.157
-3901,5851,0.848
-3925,5875,1.059
-3948,5898,1.351
-3971,5921,0.374
-3995,5945,-0.495
-4018,5968,0.15
-4041,5991,1.233
-4064,6014,1.017
-4088,6038,0.985
-4111,6061,0.852
-4134,6084,0.662
-4158,6108,0.629
-4181,6131,0.361
-4205,6155,0.883
-4221,6171,1.372
-4238,6188,1.086
-4255,6205,1.028
-4272,6222,1.615
-4289,6239,1.832
-4306,6256,1.457
-4323,6273,1.083
-4339,6289,1.092
-4356,6306,1.074
-4373,6323,0.695
-4390,6340,1.099
-4407,6357,1.566
-4424,6374,1.158
-4441,6391,1.161
-4457,6407,0.959
-4474,6424,0.505
-4491,6441,0.357
-4508,6458,0.317
-4525,6475,-0.107
-4542,6492,-0.132
-4559,6509,0.525
-4575,6525,0.937
-4592,6542,1.376
-4609,6559,1.37
-4626,6576,1.216
-4643,6593,1.126
-4668,6618,1.348
-4692,6642,0.972
-4717,6667,0.452
-4742,6692,0.482
-4767,6717,0.424
-4791,6741,0.503
-4816,6766,0.802
-4841,6791,0.873
-4866,6816,0.579
-4890,6840,0.166
-4942,6892,0.285
-4993,6943,0.449
-5044,6994,0.076
-5095,7045,-0.005
-5147,7097,0.318
-5198,7148,0.804
-5239,7189,1.322
-5279,7229,0.965
-5320,7270,0.819
-5360,7310,0.975
-5401,7351,1.569
-5441,7391,1.708
-5486,7436,1.353
-5534,7484,0.635
-5583,7533,0.499
-5631,7581,0.922
-5679,7629,1.702
-5728,7678,1.875
-5776,7726,1.771
-5825,7775,1.721
-5873,7823,1.639
-5922,7872,2.037
-5970,7920,2.527
-6018,7968,2.826
-6067,8017,3.482
-6115,8065,3.731
-6164,8114,3.179
-6212,8162,2.541
-6261,8211,2.372
-6309,8259,1.276
-6357,8307,0.457
-6406,8356,1.902
-6454,8404,2.586
-6503,8453,1.997
-6551,8501,2.021
-6600,8550,2.702
-6648,8598,3.341
-6696,8646,3.479
-6745,8695,3.976
-6793,8743,3.943
-6842,8792,3.185
-6939,8889,3.382
-6987,8937,2.362
-7035,8985,2.234
-7084,9034,3.066
-7132,9082,3.73
-7181,9131,3.428
-7229,9179,3.23
-7278,9228,3.211
-7326,9276,3.271
-7374,9324,2.889
-7423,9373,2.32
-7471,9421,2.279
-7520,9470,3.369
-7568,9518,2.41
-7617,9567,1.509
-7665,9615,2.614
-7713,9663,3.734
-7762,9712,3.324
-7810,9760,3.404
-7859,9809,3.597
-7907,9857,3.012
-7955,9905,2.812
-8004,9954,2.436
-8052,10002,2.425
-8101,10051,2.668
-8149,10099,3.032
-8198,10148,3.631
-8246,10196,3.278
-8294,10244,3.948
-8343,10293,4.732
-8348,10298,5.095
-8365,10315,4.398
-8382,10332,3.491
-8400,10350,4.038
-8417,10367,4.49
-8435,10385,4.636
-8452,10402,4.342
-8469,10419,4.401
-8487,10437,4.565
-8504,10454,5.375
-8522,10472,6.252
-8539,10489,6.325
-8556,10506,5.971
-8574,10524,5.563
-8591,10541,6.132
-8609,10559,6.497
-8626,10576,6.976
-8643,10593,6.727
-8661,10611,5.391
-8678,10628,5.098
-8696,10646,6.126
-8713,10663,6.606
-8730,10680,6.616
-8748,10698,6.666
-8765,10715,6.084
-8783,10733,5.837
-8801,10751,6.586
-8819,10769,7.648
-8837,10787,7.934
-8856,10806,7.803
-8874,10824,7.638
-8892,10842,8.032
-8911,10861,7.018
-8929,10879,6.345
-8947,10897,7.194
-8965,10915,6.314
-8984,10934,5.456
-9002,10952,2.833
-9016,10966,3.634
-9028,10978,6.883
-9039,10989,7.358
-9050,11000,8.423
-9061,11011,8.805
-9072,11022,9.142
-9083,11033,9.282
-9095,11045,9.615
-9106,11056,10.379
-9117,11067,10.679
-9128,11078,10.024
-9139,11089,9.989
-9150,11100,10.378
-9161,11111,10.561
-9173,11123,11.384
-9184,11134,12.139
-9195,11145,12.173
-9206,11156,11.698
-9217,11167,10.631
-9228,11178,10.735
-9237,11187,11.794
-9247,11197,11.656
-9256,11206,11.475
-9266,11216,11.366
-9275,11225,11.167
-9285,11235,10.653
-9294,11244,10.152
-9302,11252,9.697
-9311,11261,9.599
-9321,11271,9.982
-9330,11280,10.222
-9340,11290,9.957
-9350,11300,9.618
-9360,11310,10.078
-9370,11320,10.229
-9380,11330,10.122
-9390,11340,10.597
-9400,11350,10.47
-9410,11360,10.472
-9419,11369,10.442
-9429,11379,10.146
-9439,11389,10.186
-9449,11399,9.952
-9459,11409,9.827
-9469,11419,9.832
-9479,11429,11.361
-9489,11439,12.689
-9498,11448,13.046
-9508,11458,13.2
-9520,11470,12.513
-9534,11484,11.984
-9548,11498,13.045
-9563,11513,13.825
-9577,11527,14.098
-9591,11541,13.887
-9605,11555,13.477
-9619,11569,12.468
-9633,11583,10.706
-9647,11597,8.772
-9661,11611,6.169
