depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],age (BP) [3-1],temperature (degC) [3-1]
142.5,9974.82,12.1,342.5,9741.59,11.248,5845.4,10.9
147.5,10184.7,12.7,352.5,9883.85,12.641,5978.4,11
152.5,10411.4,12.5,NA,NA,NA,6124.7,10.8
157.5,10655.6,12.3,NA,NA,NA,6179.9,10.7
162.5,10974.6,12.5,NA,NA,NA,6374.9,10.3
165.5,11158,11.6,NA,NA,NA,6399.9,10.8
171.5,11518.9,10,NA,NA,NA,6564.2,10.8
172.5,11579.8,11.5,NA,NA,NA,6671.3,11.3
175.5,11756.9,10.8,NA,NA,NA,6818.6,9.7
178.5,11932,10.3,NA,NA,NA,6938.5,10.7
180.5,12049.8,11,NA,NA,NA,7201.9,11.3
182.5,12165.5,11.9,NA,NA,NA,7442.2,10.3
187.5,12449.8,12,NA,NA,NA,7542.7,10.6
192.5,12731.5,11.7,NA,NA,NA,7609,11
197.5,13008.3,11,NA,NA,NA,7650.7,10.9
200.5,13172.1,9.9,NA,NA,NA,7692.4,10.7
202.5,13280.2,10.2,NA,NA,NA,8060,10.1
207.5,13547.6,10.4,NA,NA,NA,8206.1,10.7
212.5,13812.3,10.7,NA,NA,NA,8460.1,10.1
217.5,14072.4,10.9,NA,NA,NA,8519.5,9.6
222.5,14256.8,9.9,NA,NA,NA,8813.2,11
224.5,14322.8,9.7,NA,NA,NA,8852.2,10.7
225.5,14355.8,7.5,NA,NA,NA,9114,10.3
227.5,14421.5,6.7,NA,NA,NA,9234.2,10.2
232.5,14584.1,6.9,NA,NA,NA,9398.2,10.6
235.5,14681.2,9.3,NA,NA,NA,9422.8,11
237.5,14745.3,8.5,NA,NA,NA,9597.2,10.7
239.5,14809.5,7.5,NA,NA,NA,9608.2,10.5
240.5,14841.5,6.7,NA,NA,NA,9741.6,11.2
242.5,14905.2,6.6,NA,NA,NA,9792.8,11.2
244.5,14968.8,7.5,NA,NA,NA,9883.9,12.6
246.5,15036.2,7.5,NA,NA,NA,9974.8,12.1
247.5,15072.3,5.9,NA,NA,NA,10184.7,12.7
249.5,15143.1,8.4,NA,NA,NA,10411.4,12.5
251.5,15213.7,8.5,NA,NA,NA,10655.6,12.3
252.5,15249,10,NA,NA,NA,10974.6,12.5
254.5,15319.5,8.6,NA,NA,NA,11158,11.6
257.5,15424.5,7,NA,NA,NA,11518.9,10
NA,NA,NA,NA,NA,NA,11579.8,11.5
NA,NA,NA,NA,NA,NA,11756.9,10.8
NA,NA,NA,NA,NA,NA,11932,10.3
NA,NA,NA,NA,NA,NA,12049.8,11
NA,NA,NA,NA,NA,NA,12165.5,11.9
NA,NA,NA,NA,NA,NA,12449.8,12
NA,NA,NA,NA,NA,NA,12731.5,11.7
NA,NA,NA,NA,NA,NA,13008.3,11
NA,NA,NA,NA,NA,NA,13172.1,9.9
NA,NA,NA,NA,NA,NA,13280.2,10.2
NA,NA,NA,NA,NA,NA,13547.6,10.4
NA,NA,NA,NA,NA,NA,13812.3,10.7
NA,NA,NA,NA,NA,NA,14072.4,10.9
NA,NA,NA,NA,NA,NA,14256.8,9.9
NA,NA,NA,NA,NA,NA,14322.8,9.7
NA,NA,NA,NA,NA,NA,14355.8,7.5
NA,NA,NA,NA,NA,NA,14421.5,6.7
NA,NA,NA,NA,NA,NA,14584.1,6.9
NA,NA,NA,NA,NA,NA,14681.2,9.3
NA,NA,NA,NA,NA,NA,14745.3,8.5
NA,NA,NA,NA,NA,NA,14809.5,7.5
NA,NA,NA,NA,NA,NA,14841.5,6.7
NA,NA,NA,NA,NA,NA,14905.2,6.6
NA,NA,NA,NA,NA,NA,14968.8,7.5
NA,NA,NA,NA,NA,NA,15036.2,7.5
NA,NA,NA,NA,NA,NA,15072.3,5.9
NA,NA,NA,NA,NA,NA,15143.1,8.4
NA,NA,NA,NA,NA,NA,15213.7,8.5
NA,NA,NA,NA,NA,NA,15249,10
NA,NA,NA,NA,NA,NA,15319.5,8.6
NA,NA,NA,NA,NA,NA,15424.5,7
