depth (mm),year (AD),age (BP),d13C (permil),DUNE_A (missing)
1230,220.497,1729.503,-27.02,D
1240,203.87,1746.13,-27.09,D
1250,187.269,1762.731,-30.12,D
1260,170.697,1779.303,-29.24,D
1270,154.155,1795.845,-25.99,D
1280,137.642,1812.358,-25.57,D
1290,121.161,1828.839,-25.33,D
1300,104.711,1845.289,-25.52,D
1310,88.294,1861.706,-25.65,D
1320,71.91,1878.09,-25.38,D
1330,55.56,1894.44,-25.67,D
1340,39.246,1910.754,-26.96,D
1350,22.966,1927.034,-28.16,D
1360,6.723,1943.277,-28.67,D
1370,-9.483,1959.483,-26.52,D
1380,-25.651,1975.651,-25.4,D
1390,-41.781,1991.781,-25.41,D
1400,-57.872,2007.872,-25.65,D
1410,-73.923,2023.923,-25.26,D
1420,-89.933,2039.933,-25.87,D
1430,-105.903,2055.903,-25.97,D
1440,-121.831,2071.831,-26.37,D
1450,-137.717,2087.717,-26.57,D
1460,-153.561,2103.561,-26.16,D
1470,-169.361,2119.361,-25.34,D
1480,-185.117,2135.117,-25.84,D
1490,-200.829,2150.829,-26.02,D
1500,-216.495,2166.495,-25.65,D
1510,-232.117,2182.117,-25.58,D
1520,-247.692,2197.692,-25.81,D
1530,-263.221,2213.221,-25.35,D
1540,-278.703,2228.703,-24.68,D
1550,-294.138,2244.138,-23.9,D
1560,-309.525,2259.525,-25.42,D
1570,-324.864,2274.864,-26,D
1580,-340.154,2290.154,-27.08,D
1590,-355.395,2305.395,-27.35,D
1600,-370.587,2320.587,-26.58,D
1610,-385.729,2335.729,-26.56,D
1620,-400.821,2350.821,-27.16,D
1630,-415.863,2365.863,-27.61,D
1640,-430.854,2380.854,-28.18,D
1650,-445.794,2395.794,-27.4,D
1660,-460.682,2410.682,-28.7,D
1670,-475.519,2425.519,-27.12,D
1680,-490.304,2440.304,-27.94,D
1690,-505.036,2455.036,-27.95,D
1700,-519.717,2469.717,-28.23,D
1710,-534.344,2484.344,-27.7,D
1720,-548.919,2498.919,-26.99,D
1730,-563.441,2513.441,-25.91,D
1740,-577.91,2527.91,-25.84,D
1750,-592.325,2542.325,-25.83,D
1760,-606.687,2556.687,-26.23,D
1770,-620.995,2570.995,-26.92,D
1780,-635.249,2585.249,-26.83,D
1790,-649.449,2599.449,-27.37,D
1800,-663.596,2613.596,-27.59,D
1810,-677.688,2627.688,-28.1,D
1820,-691.726,2641.726,-27.59,D
1830,-705.71,2655.71,-26.34,D
1840,-719.64,2669.64,-27.01,D
1850,-733.515,2683.515,-27.18,D
1860,-747.336,2697.336,-27.63,D
1870,-761.103,2711.103,-28.06,D
NA,-795.283,2745.283,-28.58,D
NA,-822.383,2772.383,NA,D
NA,-829.125,2779.125,-29.22,D
NA,-835.853,2785.853,NA,D
NA,-875.937,2825.937,NA,D
NA,-882.571,2832.571,-26.78,D
NA,-889.191,2839.191,NA,D
NA,-915.54,2865.54,-27.36,D
NA,-928.635,2878.635,-28.16,D
NA,-954.666,2904.666,-29.61,D
NA,-967.603,2917.603,-29.85,D
NA,-1031.51,2981.51,-27.23,D
NA,-1044.138,2994.138,-27.2,D
NA,-1056.716,3006.716,-28.91,D
NA,-1081.721,3031.721,-28.71,D
NA,-1094.15,3044.15,NA,D
NA,-1118.86,3068.86,-27.32,D
NA,-1143.378,3093.378,-28.79,D
NA,-1155.566,3105.566,NA,D
NA,-1179.801,3129.801,-28.36,D
NA,-1239.595,3189.595,-28.55,D
NA,-1251.422,3201.422,NA,D
NA,-1298.308,3248.308,-27.99,D
NA,-1321.507,3271.507,-28.09,D
NA,-1333.047,3283.047,NA,D
NA,-1356.014,3306.014,-26.7,D
NA,-1412.795,3362.795,-28.895,D
NA,-1435.27,3385.27,-25.81,D
NA,-1446.459,3396.459,NA,D
NA,-1490.915,3440.915,-28.67,D
NA,-1501.959,3451.959,NA,D
NA,-1523.966,3473.966,-26.06,D
NA,-1545.873,3495.873,-28.89,D
NA,-1556.792,3506.792,NA,D
NA,-1578.565,3528.565,-29.79,D
NA,-1611.076,3561.076,-29.27,D
NA,-1632.663,3582.663,-28.45,D
NA,-1643.433,3593.433,-30.11,D
NA,-1654.19,3604.19,NA,D
NA,-1697.099,3647.099,-27.54,D
NA,-1718.498,3668.498,-29.42,D
NA,-1729.189,3679.189,NA,D
NA,-1739.874,3689.874,-27.56,D
NA,-1761.235,3711.235,-28.46,D
NA,-1771.913,3721.913,NA,D
NA,-1814.636,3764.636,-31.41,D
NA,-1825.327,3775.327,NA,D
NA,-1846.728,3796.728,-30.31,D
NA,-1900.413,3850.413,-29.05,D
NA,-1911.192,3861.192,-28.74,D
NA,-1932.804,3882.804,-28.92,D
NA,-1954.497,3904.497,-32.03,D
NA,-1976.282,3926.282,-30.86,D
NA,-1987.214,3937.214,NA,D
NA,-2036.769,3986.769,-30.34,D
NA,-2059.011,4009.011,-30.03,D
NA,-2081.404,4031.404,NA,D
NA,-2092.662,4042.662,-28.89,D
NA,-2103.963,4053.963,NA,D
NA,-2172.76,4122.76,-30.87,D
NA,-2196.113,4146.113,NA,D
NA,-2207.876,4157.876,-28.29,D
NA,-2219.7,4169.7,NA,D
NA,-2292.006,4242.006,-30.67,D
NA,-2316.674,4266.674,NA,D
NA,-2329.122,4279.122,-31.04,D
NA,-2425.138,4375.138,-28.835,D
NA,-2444.948,4394.948,-32.19,D
NA,-2498.863,4448.863,-29.25,D
NA,-2554.465,4504.465,-29.89,D
NA,-2582.943,4532.943,NA,D
NA,-2597.358,4547.358,-28.75,D
NA,-2611.894,4561.894,NA,D
NA,-2671.292,4621.292,-28.57,D
NA,-2701.774,4651.774,-30.46,D
NA,-2764.399,4714.399,-30.85,D
NA,-2829.364,4779.364,-29.5,D
NA,-2862.772,4812.772,-29.555,D
NA,-2896.823,4846.823,-31.52,D
NA,-3003.036,4953.036,-30.79,D
NA,-3039.861,4989.861,-29.92,D
NA,-3077.431,5027.431,-31.06,D
NA,-3154.892,5104.892,-29.64,D
NA,-3235.589,5185.589,-30.82,D
NA,-3277.205,5227.205,NA,D
NA,-3298.34,5248.34,-29.64,D
NA,-3319.696,5269.696,NA,D
NA,-3363.084,5313.084,NA,D
NA,-3385.122,5335.122,-30.64,D
NA,-3407.393,5357.393,-30.47,D
NA,-3452.644,5402.644,-29.765,D
NA,-3546.067,5496.067,-31.03,D
NA,-3693.858,5643.858,-32.53,D
NA,-3797.769,5747.769,-30.07,D
NA,-3906.217,5856.217,-30.82,D
NA,-3962.204,5912.204,-33.24,D
NA,-4019.401,5969.401,-30.79,D
NA,-4077.834,6027.834,-31.31,D
NA,-4198.507,6148.507,-31.94,D
NA,-4260.8,6210.8,-32.775,D
NA,-4389.433,6339.433,-31.16,D
NA,-4592.903,6542.903,-31.3,D
NA,-4884.992,6834.992,-32.4,D
NA,-4961.915,6911.915,-31.83,D
NA,-5202.507,7152.507,-32.27,D
NA,-5371.379,7321.379,-32.19,D
NA,-5547.313,7497.313,-30.82,D
NA,-5730.549,7680.549,-31.09,D
NA,-5824.982,7774.982,-32.61,D
NA,-6222.212,8172.212,-32.6,D
NA,-6326.552,8276.552,-32.4,D
NA,-6541.495,8491.495,-31.31,D
NA,-6880.059,8830.059,-31.3,D
NA,-6997.353,8947.353,-31.23,D
NA,-7521.643,9471.643,-30.69,D
NA,-7771.088,9721.088,-30.89,D
NA,-7870.64,9820.64,-32.02,D
NA,-7907.972,9857.972,-31.04,D
NA,-8019.968,9969.968,-31.46,D
NA,-8119.52,10069.52,-30.41,D
NA,-8866.16,10816.16,-30.99,D
NA,-9376.364,11326.364,-27.79,D
NA,NA,NA,-25.65,D
NA,NA,NA,-25.65,D
NA,NA,NA,-25.82,D
NA,NA,NA,-25.73,D
