year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-4050,6000,90.446,55.285,125.606
-4100,6050,89.651,55.682,123.619
-4150,6100,88.855,56.067,121.644
-4200,6150,81.938,47.734,116.143
-4250,6200,89.569,56.93,122.208
-4300,6250,97.127,66.051,128.204
-4350,6300,104.617,75.101,134.134
-4400,6350,107.727,78.835,136.62
-4450,6400,110.841,82.576,139.107
-4500,6450,113.959,86.324,141.594
-4550,6500,114.124,86.466,141.781
-4600,6550,114.277,86.586,141.968
-4650,6600,114.418,86.682,142.154
-4700,6650,114.559,86.777,142.341
-4750,6700,114.699,86.871,142.528
-4800,6750,114.84,86.966,142.715
-4850,6800,114.981,87.06,142.901
-4900,6850,112.72,83.519,141.921
-4950,6900,110.456,79.974,140.938
-5000,6950,108.19,76.426,139.954
-5050,7000,113.175,78.854,147.496
-5100,7050,130.875,87.161,174.588
-5150,7100,148.568,95.481,201.655
-5200,7150,166.25,103.827,228.673
-5250,7200,171.21,106.311,236.108
-5300,7250,171.324,106.434,236.213
-5350,7300,153.894,98.277,209.51
-5400,7350,136.47,90.107,182.832
-5450,7400,119.057,81.911,156.203
-5500,7450,113.752,79.625,147.88
-5550,7500,102.052,68.119,135.985
-5600,7550,102.184,68.201,136.166
-5650,7600,107.74,70.676,144.805
-5700,7650,119.693,82.371,157.014
-5750,7700,137.315,90.853,183.778
-5800,7750,150.102,96.956,203.248
-5850,7800,162.885,103.068,222.701
-5900,7850,162.999,103.191,222.806
-5950,7900,167.931,105.729,230.132
-6000,7950,172.861,108.271,237.45
-6050,8000,177.789,110.817,244.761
-6100,8050,177.897,110.952,244.842
-6150,8100,173.195,108.656,237.734
-6200,8150,168.495,106.356,230.634
-6250,8200,163.797,104.052,223.541
-6300,8250,163.911,104.175,223.646
-6350,8300,164.025,104.298,223.751
-6400,8350,159.447,95.038,223.856
-6450,8400,154.864,85.767,223.961
-6500,8450,150.276,76.487,224.066
-6550,8500,150.376,76.58,224.171
-6600,8550,150.475,76.674,224.276
-6650,8600,137.367,70.6,204.133
-6700,8650,124.267,64.525,184.009
-6750,8700,111.176,58.45,163.902
-6800,8750,111.301,58.54,164.061
-6850,8800,110.807,58.63,162.984
-6900,8850,110.313,58.721,161.906
-6950,8900,109.82,58.813,160.828
-7000,8950,115.992,68.517,163.467
-7050,9000,122.207,78.299,166.114
-7100,9050,128.462,88.158,168.766
-7150,9100,123.37,78.815,167.925
-7200,9150,129.507,71.819,187.195
-7250,9200,121.408,58.55,184.266
-7300,9250,112.747,52.372,173.123
-7350,9300,85.423,33.93,136.917
-7400,9350,69.761,21.669,117.853
-7450,9400,60.007,11.893,108.122
-7500,9450,60.354,11.943,108.765
-7550,9500,63.307,11.993,114.622
-7600,9550,60.201,8.012,112.39
-7650,9600,54.412,4.014,104.81
-7700,9650,52.035,0,104.07
-7750,9700,52.236,0,104.472
-7800,9750,52.437,0,104.874
-7850,9800,52.66,4.115,101.204
-7900,9850,56.364,8.247,104.481
-7950,9900,60.09,12.395,107.785
-8000,9950,60.356,12.445,108.267
-8050,10000,60.623,12.496,108.75
-8100,10050,57.299,8.347,106.25
-8150,10100,53.953,4.182,103.724
-8200,10150,50.781,0,101.561
-8250,10200,55.667,4.506,106.828
-8300,10250,72.723,20.48,124.966
-8350,10300,77.76,25.096,130.424
-8400,10350,78.471,25.256,131.686
-8450,10400,70.053,14.001,126.104
-8500,10450,66.972,9.386,124.559
-8550,10500,63.866,4.719,123.014
-8600,10550,57.86,0,115.72
-8650,10600,58.479,0,116.957
-8700,10650,59.097,0,118.194
-8750,10700,59.716,0,119.431
-8800,10750,60.334,0,120.669
-8850,10800,60.953,0,121.906
-8900,10850,61.571,0,123.143
-8950,10900,62.19,0,124.38
-9000,10950,62.809,0,125.617
-9050,11000,63.427,0,126.854
-9100,11050,64.046,0,128.092
-9150,11100,64.664,0,129.329
-9200,11150,69.038,0,138.076
-9250,11200,75.636,0,151.272
-9300,11250,91.857,8.57,175.144
-9350,11300,126.755,44.34,209.17
-9400,11350,170.347,97.483,243.211
-9450,11400,216.703,155.428,277.978
-9500,11450,240.593,186.483,294.704
-9550,11500,257.284,203.378,311.19
-9600,11550,261.53,207.196,315.864
-9650,11600,265.75,211,320.5
-9700,11650,266.193,211.887,320.5
-9750,11700,266.637,212.774,320.5
-9800,11750,267.08,213.661,320.5
-9850,11800,267.524,214.548,320.5
-9900,11850,244.598,183.888,305.307
-9950,11900,229.09,172.241,285.94
-10000,11950,213.699,160.659,266.739
-10050,12000,213.061,173.8,252.323
-10100,12050,213.853,174.884,252.822
-10150,12100,214.568,175.816,253.32
-10200,12150,223.9,183.407,264.394
-10250,12200,215.738,176.789,254.688
-10300,12250,207.536,169.998,245.074
-10350,12300,199.333,163.115,235.552
-10400,12350,199.777,163.225,236.328
-10450,12400,200.22,163.336,237.104
-10500,12450,200.664,163.447,237.88
-10550,12500,209.753,171.199,248.307
-10600,12550,218.842,179.043,258.642
-10650,12600,215.828,176.024,255.632
-10700,12650,207.625,168.494,246.757
-10750,12700,208.069,168.882,247.256
-10800,12750,211.97,172.123,251.818
-10850,12800,212.414,172.234,252.594
-10900,12850,204.211,164.334,244.089
-10950,12900,204.655,164.445,244.865
-11000,12950,205.098,164.556,245.641
-11050,13000,214.188,173.231,255.144
-11100,13050,223.277,181.999,264.555
-11150,13100,223.72,182.11,265.331
-11200,13150,215.518,173.656,257.38
-11250,13200,207.316,165.11,249.521
-11300,13250,204.301,161.61,246.991
-11350,13300,201.286,158.074,244.498
-11400,13350,198.271,154.5,242.042
-11450,13400,202.173,158.221,246.124
-11500,13450,206.075,161.98,250.169
-11550,13500,209.976,165.775,254.178
-11600,13550,206.962,162.054,251.869
-11650,13600,203.947,158.295,249.598
-11700,13650,200.932,154.5,247.364
-11750,13700,204.834,158.443,251.224
-11800,13750,208.735,162.423,255.047
-11850,13800,212.637,166.441,258.834
-11900,13850,213.081,166.551,259.61
-11950,13900,213.524,166.662,260.386
-12000,13950,210.509,162.645,258.373
-12050,14000,207.494,158.591,256.398
-12100,14050,204.479,154.5,254.459
-12150,14100,208.381,158.739,258.024
-12200,14150,208.825,158.739,258.911
-12250,14200,209.268,158.739,259.798
-12300,14250,206.253,154.5,258.007
-12350,14300,206.697,154.5,258.894
-12400,14350,210.599,158.924,262.274
-12450,14400,211.042,158.924,263.16
-12500,14450,211.485,158.924,264.047
-12550,14500,208.471,154.5,262.441
-12600,14550,212.372,159.071,265.673
-12650,14600,216.274,163.68,268.869
-12700,14650,220.176,168.325,272.027
-12750,14700,217.161,163.754,270.568
-12800,14750,217.605,163.865,271.345
-12850,14800,226.694,175.866,277.522
-12900,14850,227.137,175.866,278.409
-12950,14900,224.122,171.147,277.098
-13000,14950,212.462,154.5,270.424
-13050,15000,212.905,154.5,271.31
-13100,15050,213.349,154.5,272.197
-13150,15100,213.792,154.5,273.084
-13200,15150,214.236,154.5,273.971
-13250,15200,214.679,154.5,274.858
-13300,15250,215.123,154.5,275.745
-13350,15300,215.566,154.5,276.632
-13400,15350,216.009,154.5,277.519
-13450,15400,216.453,154.5,278.406
-13500,15450,216.896,154.5,279.293
-13550,15500,217.34,154.5,280.18
-13600,15550,217.783,154.5,281.067
-13650,15600,218.227,154.5,281.953
-13700,15650,218.67,154.5,282.84
-13750,15700,219.114,154.5,283.727
-13800,15750,219.557,154.5,284.614
-13850,15800,220.001,154.5,285.501
-13900,15850,220.444,154.5,286.388
-13950,15900,220.887,154.5,287.275
-14000,15950,221.331,154.5,288.162
-14050,16000,221.774,154.5,289.049
-14100,16050,222.218,154.5,289.936
-14150,16100,222.661,154.5,290.823
-14200,16150,223.105,154.5,291.71
-14250,16200,223.548,154.5,292.596
-14300,16250,223.992,154.5,293.483
-14350,16300,224.435,154.5,294.37
-14400,16350,224.879,154.5,295.257
-14450,16400,225.322,154.5,296.144
-14500,16450,225.766,154.5,297.031
-14550,16500,226.209,154.5,297.918
-14600,16550,226.652,154.5,298.805
-14650,16600,227.096,154.5,299.692
-14700,16650,227.539,154.5,300.579
-14750,16700,227.983,154.5,301.466
-14800,16750,228.426,154.5,302.353
-14850,16800,228.87,154.5,303.239
-14900,16850,229.313,154.5,304.126
-14950,16900,229.757,154.5,305.013
-15000,16950,230.2,154.5,305.9
-15050,17000,230.644,154.5,306.787
-15100,17050,231.087,154.5,307.674
-15150,17100,231.53,154.5,308.561
-15200,17150,231.974,154.5,309.448
-15250,17200,232.417,154.5,310.335
-15300,17250,232.861,154.5,311.222
-15350,17300,233.304,154.5,312.109
-15400,17350,233.748,154.5,312.996
-15450,17400,234.191,154.5,313.882
-15500,17450,234.635,154.5,314.769
-15550,17500,238.536,161.252,315.821
-15600,17550,238.98,161.252,316.708
-15650,17600,239.423,161.252,317.595
-15700,17650,236.409,154.5,318.317
-15750,17700,236.852,154.5,319.204
-15800,17750,264.882,209.833,319.932
-15850,17800,292.765,265.167,320.364
-15900,17850,320.5,320.5,320.5
-15950,17900,320.5,320.5,320.5
