depth (mm),year (AD),age (BP),age (1s),thickness (cm2yr-1),depth.top (mm),mineral_flux (gomcm2yr-1),CCA1 (mm)
522,-291.456,2241.456,140.09,0.138,512,0.001,10
532,-333.237,2283.237,140.655,0.129,522,0.001,10
540,-366.662,2316.662,141.107,0.119,532,0.001,8
555,-429.579,2379.579,141.16,0.151,540,0.001,15
569,-488.276,2438.276,140.701,0.175,555,0.001,14
579,-530.193,2480.193,140.173,0.146,569,0.001,10
586,-559.405,2509.405,139.419,0.135,579,0.001,7
598,-609.445,2559.445,138.016,0.177,586,0.001,12
606,-642.892,2592.892,137.018,0.151,598,0.001,8
616,-684.737,2634.737,135.744,0.136,606,0.001,10
628,-734.884,2684.884,133.408,0.149,616,0.001,12
637,-772.47,2722.47,131.353,0.139,628,0.001,9
648,-818.551,2768.551,128.459,0.164,637,0.001,11
658,-860.493,2810.493,125.697,0.155,648,0.001,10
667,-897.924,2847.924,122.612,0.157,658,0.001,9
677,-939.413,2889.413,118.994,0.157,667,0.001,10
689,-989.817,2939.818,113.907,0.129,677,0.001,12
699,-1031.993,2981.992,109.463,0.135,689,0.001,10
709,-1073.83,3023.83,103.806,0.151,699,0.001,10
719,-1115.63,3065.63,98.015,0.145,709,0.001,10
729,-1157.376,3107.376,91.158,0.156,719,0.001,10
739,-1199.116,3149.116,84.183,0.158,729,0.001,10
749,-1240.888,3190.887,74.612,0.147,739,0.001,10
758,-1278.485,3228.485,65.739,0.154,749,0.001,9
768,-1320.51,3270.51,52.997,0.139,758,0.001,10
777,-1368.465,3318.465,71.544,0.133,768,0.001,9
784,-1405.9,3355.9,83.088,0.132,777,0.001,7
792,-1448.8,3398.8,93.811,0.142,784,0.001,8
802,-1502.548,3452.548,106.553,0.16,792,0.001,10
812,-1556.788,3506.788,116.648,0.147,802,0.001,10
822,-1610.864,3560.864,126.216,0.142,812,0.001,10
832,-1664.284,3614.284,133.676,0.133,822,0.001,10
842,-1717.815,3667.815,140.928,0.134,832,0.001,10
852,-1771.79,3721.79,147.349,0.153,842,0.001,10
862,-1825.748,3775.748,153.577,0.121,852,0.001,10
872,-1879.638,3829.638,159.039,0.14,862,0.001,10
882,-1933.508,3883.508,164.214,0.167,872,0.001,10
894,-1998.056,3948.056,169.045,0.129,882,0.001,12
902,-2041.171,3991.171,172.122,0.128,894,0.001,8
912,-2095.376,4045.376,175.431,0.164,902,0.001,10
922,-2149.465,4099.465,178.553,0.165,912,0.001,10
932,-2203.09,4153.09,180.923,0.142,922,0.001,10
942,-2256.561,4206.561,183.3,0.128,932,0.001,10
952,-2309.416,4259.416,185.705,0.126,942,0.001,10
962,-2362.567,4312.567,187.938,0.132,952,0.001,10
972,-2416.902,4366.902,189.48,0.169,962,0.001,10
982,-2471.136,4421.136,190.911,0.146,972,0.001,10
992,-2524.966,4474.966,191.898,0.187,982,0.001,10
1002,-2578.85,4528.85,192.746,0.15,992,0.001,10
1012,-2632.95,4582.95,193.044,0.139,1002,0.001,10
1022,-2686.843,4636.843,193.19,0.149,1012,0.001,10
1032,-2739.908,4689.908,192.729,0.159,1022,0.001,10
1042,-2793.235,4743.235,192.259,0.179,1032,0.001,10
1052,-2847.61,4797.61,191.749,0.169,1042,0.001,10
1062,-2901.865,4851.865,191.039,0.145,1052,0.001,10
1072,-2955.64,4905.64,189.53,0.162,1062,0.001,10
1082,-3009.416,4959.416,187.88,0.152,1072,0.001,10
1092,-3063.196,5013.196,185.669,0.145,1082,0.001,10
1102,-3116.923,5066.923,183.411,0.166,1092,0.001,10
1112,-3170.438,5120.438,180.969,0.157,1102,0.001,10
1122,-3224.019,5174.019,178.29,0.185,1112,0.001,10
1132,-3277.864,5227.864,174.666,0.165,1122,0.001,10
1142,-3331.66,5281.66,170.982,0.17,1132,0.001,10
1152,-3385.26,5335.26,167.064,0.209,1142,0.001,10
1162,-3438.954,5388.954,162.877,0.182,1152,0.001,10
1172,-3493.024,5443.024,157.618,0.212,1162,0.001,10
1182,-3547.066,5497.066,152.203,0.184,1172,0.001,10
1192,-3600.996,5550.996,146.162,0.223,1182,0.001,10
1202,-3654.805,5604.805,139.816,0.182,1192,0.001,10
1212,-3708.13,5658.13,132.251,0.214,1202,0.001,10
1222,-3761.529,5711.529,124.286,0.206,1212,0.001,10
1232,-3815.224,5765.224,114.72,0.183,1222,0.001,10
1242,-3868.965,5818.965,104.454,0.222,1232,0.001,10
1252,-3922.89,5872.89,91.391,0.228,1242,0.001,10
1262,-3976.82,5926.82,77.106,0.241,1252,0.001,10
1272,-4030.77,5980.77,57.938,0.18,1262,0.001,10
1282,-4082.277,6032.277,75.403,0.253,1272,0.002,10
1292,-4133.762,6083.762,88.613,0.243,1282,0.001,10
1302,-4185.323,6135.323,101.119,0.203,1292,0.001,10
1312,-4237.188,6187.188,110.815,0.227,1302,0.001,10
1322,-4288.978,6238.978,119.982,0.224,1312,0.001,10
1332,-4340.468,6290.468,127.031,0.265,1322,0.001,10
1342,-4391.95,6341.95,133.894,0.227,1332,0.001,10
1352,-4443.4,6393.4,140.009,0.284,1342,0.001,10
1362,-4494.812,6444.812,145.827,0.304,1352,0.001,10
1372,-4546.072,6496.072,150.457,0.299,1362,0.002,10
1382,-4597.481,6547.481,154.969,0.229,1372,0.001,10
1392,-4649.486,6599.486,159.011,0.312,1382,0.001,10
1402,-4701.343,6651.343,162.813,0.318,1392,0.001,10
1412,-4752.608,6702.608,165.654,0.231,1402,0.001,10
1422,-4804.076,6754.076,168.44,0.233,1412,0.001,10
1432,-4856.356,6806.356,171.011,0.192,1422,0.001,10
1442,-4908.308,6858.308,173.381,0.234,1432,0.001,10
1453,-4964.012,6914.012,175.105,0.287,1442,0.001,11
1464,-5020.222,6970.222,176.647,0.298,1453,0.001,11
1475,-5077.318,7027.318,177.867,0.275,1464,0.001,11
1486,-5133.945,7083.945,178.792,0.29,1475,0.001,11
1497,-5190.182,7140.182,179.471,0.241,1486,0.001,11
1507,-5241.693,7191.693,179.332,0.298,1497,0.001,10
1517,-5293.368,7243.368,178.868,0.245,1507,0.001,10
1527,-5345.05,7295.05,178.434,0.328,1517,0.001,10
1537,-5396.734,7346.734,178.013,0.321,1527,0.001,10
1547,-5448.409,7398.409,176.926,0.252,1537,0.001,10
1557,-5500.079,7450.079,175.552,0.258,1547,0.001,10
1567,-5551.714,7501.714,173.742,0.321,1557,0.001,10
1577,-5603.334,7553.334,171.746,0.31,1567,0.001,10
1587,-5654.814,7604.814,169.267,0.286,1577,0.001,10
1597,-5706.234,7656.234,166.582,0.349,1587,0.001,10
1607,-5757.773,7707.773,163.258,0.42,1597,0.001,10
1617,-5809.363,7759.363,159.662,0.342,1607,0.001,10
1627,-5861.072,7811.072,155.697,0.365,1617,0.001,10
1637,-5912.832,7862.832,151.575,0.335,1627,0.001,10
1647,-5964.154,7914.154,146.798,0.481,1637,0.001,10
1657,-6015.289,7965.289,141.74,0.428,1647,0.001,10
1667,-6066.813,8016.813,135.624,0.596,1657,0.001,10
1677,-6118.503,8068.503,129.053,0.511,1667,0.001,10
1687,-6170.127,8120.127,121.254,0.505,1677,0.001,10
1697,-6221.721,8171.721,112.929,0.487,1687,0.001,10
1707,-6273.271,8223.271,102.933,0.542,1697,0.001,10
1717,-6324.801,8274.801,92.222,0.633,1707,0.001,10
1727,-6376.296,8326.296,77.394,0.699,1717,0.001,10
1737,-6427.776,8377.776,60.802,0.631,1727,0.001,10
1747,-6479.3,8429.3,37.187,0.505,1737,0.001,10
