depth (m),age (BP),deep.temp (degC),temperature (degC),d18O (permil),Mg/Ca (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil),planktic.d18O (permil)
0.95,10444,NA,10.25,NA,NA,1.63,1.9,0.51,4472,8,1.41,14356,NA,0.601,NA,NA,NA
0.96,10572,NA,10.57,2.73,NA,1.67,1.31,0.515,4519,8.4,1.43,14384,NA,0.496,NA,NA,NA
0.97,10701,NA,9.86,NA,NA,1.59,1.49,0.52,4567,8.4,1.44,14398,22.13,-0.005,3.249,NA,NA
0.98,10830,NA,12.24,2.52,NA,1.86,1.74,0.525,4614,8.7,1.45,14413,NA,0.184,NA,NA,NA
0.99,10959,NA,NA,NA,NA,NA,1.8,0.53,4661,8.6,1.46,14427,NA,0.622,NA,NA,NA
1,11088,NA,12.19,2.78,NA,1.86,2.05,0.535,4708,8.7,1.47,14441,21.066,0.347,2.915,NA,NA
1.01,11216,NA,10.68,NA,NA,1.68,2.02,0.54,4756,8.4,1.48,14455,NA,0.48,NA,NA,NA
1.02,11345,NA,11.68,2.78,NA,1.8,1.73,0.545,4803,8.3,1.49,14469,NA,0.696,NA,NA,NA
1.03,11474,NA,NA,3.15,NA,NA,1.77,0.55,4850,8.3,1.5,14484,NA,0.427,NA,NA,NA
1.04,11603,NA,9.75,3.35,NA,1.58,1.81,0.555,4927,8,1.51,14498,NA,0.707,NA,NA,NA
1.05,11732,NA,11.38,3.06,NA,1.76,1.92,0.56,5003,8.3,1.52,14512,22.173,0.406,3.264,NA,NA
1.06,11860,NA,11.15,2.88,NA,1.73,2.15,0.565,5080,8.8,1.53,14526,NA,0.562,NA,NA,NA
1.07,11989,NA,11.36,2.77,NA,1.76,1.74,0.57,5157,8.6,1.54,14541,NA,0.298,NA,NA,NA
1.08,12118,NA,8.5,3.33,NA,1.46,1.74,0.575,5233,8.6,1.55,14555,NA,0.58,NA,NA,NA
1.09,12247,NA,9.84,NA,NA,1.59,1.81,0.58,5310,8.5,1.56,14569,21.407,0.564,3.018,NA,NA
1.1,12376,NA,7.26,3.66,NA,1.34,1.73,0.585,5387,8.5,1.57,14583,NA,0.389,NA,NA,NA
1.11,12504,NA,6.08,3.96,NA,1.24,1.81,0.59,5463,8.5,1.58,14597,NA,0.58,NA,NA,NA
1.12,12633,NA,10.44,3.35,NA,1.66,1.87,0.595,5540,8.5,1.59,14612,NA,0.331,NA,NA,NA
1.13,12762,NA,10.63,3.37,NA,1.68,1.74,0.6,5617,8.7,1.6,14626,21.844,0.293,3.156,NA,NA
1.14,12891,NA,8.02,NA,NA,1.41,1.96,0.605,5693,8.4,1.61,14640,NA,0.348,NA,NA,NA
1.15,13020,NA,10.75,NA,NA,1.69,1.78,0.61,5770,8.8,1.62,14654,NA,0.611,NA,NA,NA
1.16,13148,NA,NA,3.78,NA,NA,1.89,0.615,5847,8.9,1.63,14668,NA,NA,NA,NA,NA
1.17,13277,NA,9.54,4.08,NA,1.56,1.82,0.62,5923,8.6,1.64,14683,22.466,0.448,3.363,NA,NA
1.18,13406,NA,NA,2.93,NA,NA,1.97,0.625,6000,8.8,1.65,14697,NA,0.357,NA,NA,NA
1.19,13535,NA,NA,2.88,NA,NA,1.98,0.63,6077,8.7,1.66,14711,NA,0.527,NA,NA,NA
1.2,13664,NA,11.38,2.87,NA,1.76,1.99,0.635,6153,8.7,1.67,14725,22.235,0.563,3.284,NA,NA
1.21,13792,NA,9.92,3.44,NA,1.6,2.15,0.64,6230,9,1.68,14739,NA,0.168,NA,NA,NA
1.22,13921,NA,NA,3.19,NA,NA,1.97,0.645,6307,8.4,1.69,14754,NA,0.533,NA,NA,NA
1.23,14050,NA,NA,2.92,NA,NA,NA,0.65,6383,9.1,1.7,14768,NA,0.302,NA,NA,NA
1.24,14063,6.51,13.84,2.95,2.02,2.07,1.41,0.655,6460,8.9,1.71,14782,NA,0.525,NA,NA,NA
1.25,14075,NA,NA,2.89,NA,NA,1.77,0.66,6537,8.8,1.72,14796,NA,0.514,NA,NA,NA
1.26,14088,6.06,NA,2.83,1.83,NA,1.7,0.665,6613,9.3,1.73,14811,NA,0.265,NA,NA,NA
1.27,14101,NA,15.47,2.74,NA,2.31,1.97,0.67,6690,8.8,1.74,14825,NA,0.46,NA,NA,NA
1.28,14113,NA,NA,2.89,NA,NA,1.63,0.675,6767,8.9,1.75,14839,NA,0.187,NA,NA,NA
1.29,14126,NA,NA,2.99,NA,NA,1.77,0.68,6843,8.1,1.76,14853,22.295,0.691,3.304,NA,NA
1.3,14138,NA,NA,2.87,NA,NA,1.85,0.685,6920,6.8,1.77,14867,NA,0.503,NA,NA,NA
1.31,14151,NA,12.7,2.9,NA,1.92,1.86,0.69,6997,6.5,1.78,14882,NA,0.64,NA,NA,NA
1.32,14164,NA,NA,2.95,NA,NA,1.62,0.695,7073,7.9,1.79,14896,NA,0.256,NA,NA,NA
1.33,14176,NA,NA,2.85,NA,NA,2.19,0.7,7150,8.2,1.8,14910,22.995,0.369,3.549,NA,NA
1.34,14189,6.04,NA,2.81,1.83,NA,2,0.705,7227,8.8,1.81,14924,NA,0.485,NA,NA,NA
1.35,14202,NA,13.75,2.95,NA,2.06,1.66,0.71,7303,8.4,1.82,14938,NA,0.358,NA,NA,NA
1.36,14214,NA,NA,3.01,NA,NA,1.9,0.715,7380,8.1,1.83,14953,NA,0.643,NA,NA,NA
1.37,14227,NA,NA,2.83,NA,NA,2.05,0.72,7457,8,1.84,14967,NA,0.024,NA,NA,NA
1.38,14239,NA,NA,2.98,NA,NA,1.97,0.725,7533,8,1.85,14981,NA,0.62,NA,NA,NA
1.39,14252,NA,9.83,2.89,NA,1.59,2.03,0.73,7610,8.4,1.86,14995,NA,0.563,NA,NA,NA
1.4,14265,NA,NA,2.99,NA,NA,1.89,0.735,7710,8.3,1.87,15009,22.896,0.254,3.514,NA,NA
1.41,14277,6.11,NA,3.03,1.94,NA,1.81,0.74,7809,8.4,1.88,15024,NA,0.332,NA,NA,NA
1.42,14290,6.06,NA,3.04,1.93,NA,1.7,0.745,7909,8.7,1.89,15038,NA,0.707,NA,NA,NA
1.43,14303,NA,NA,2.99,NA,NA,2.04,0.75,8008,8.7,1.9,15052,NA,0.794,NA,NA,NA
1.44,14315,NA,12.5,2.94,NA,1.9,2,0.755,8108,8.9,1.91,15066,NA,0.502,NA,NA,NA
1.45,14328,NA,NA,3,NA,NA,1.88,0.76,8208,8.7,1.92,15081,22.658,0.561,3.429,NA,NA
1.46,14341,NA,NA,3.07,NA,NA,1.95,0.765,8307,8,1.93,15095,NA,0.674,NA,NA,NA
1.47,14353,NA,14.01,2.9,NA,2.1,2.1,0.77,8407,8.3,1.94,15109,NA,0.015,NA,NA,NA
1.48,14366,NA,NA,2.99,NA,NA,1.92,0.775,8507,7.2,1.95,15123,NA,0.472,NA,NA,NA
1.49,14378,NA,NA,3.22,NA,NA,1.98,0.78,8606,5.6,1.96,15137,23.01,0.645,3.555,NA,NA
1.5,14391,NA,NA,3.05,NA,NA,1.95,0.785,8706,2.8,1.97,15152,NA,0.397,NA,NA,NA
1.51,14404,5.15,NA,2.95,1.62,NA,1.9,0.79,8805,3,1.98,15166,NA,0.623,NA,NA,NA
1.52,14416,NA,NA,3.02,NA,NA,2.02,0.795,8905,2.7,1.99,15180,NA,0.145,NA,NA,NA
1.53,14429,NA,NA,2.89,NA,NA,2.13,0.8,9005,2.8,2,15194,22.574,0.685,3.4,NA,NA
1.54,14442,NA,NA,2.85,NA,NA,1.6,0.805,9104,2.4,2.01,15208,NA,0.726,NA,NA,NA
1.55,14454,NA,14.55,3.11,NA,2.17,1.74,0.81,9204,2.4,2.02,15223,NA,0.438,NA,NA,NA
1.56,14467,NA,NA,3.08,NA,NA,1.85,0.815,9303,2.1,2.03,15237,NA,0.249,NA,NA,NA
1.57,14479,NA,NA,2.94,NA,NA,1.9,0.82,9403,2.1,2.04,15251,21.227,0.085,2.963,NA,NA
1.58,14492,NA,NA,NA,NA,NA,1.99,0.825,9503,2,2.05,15265,NA,0.4,NA,NA,NA
1.59,14505,NA,11.09,2.99,NA,1.73,1.83,0.83,9602,1.9,2.06,15279,NA,0.616,NA,NA,NA
1.6,14517,NA,NA,2.89,NA,NA,1.65,0.835,9702,2.9,2.07,15294,NA,0.325,NA,NA,NA
1.61,14530,5.94,NA,2.75,1.82,NA,2.04,0.84,9802,2.3,2.08,15308,NA,0.153,NA,NA,NA
1.62,14543,NA,NA,3.02,NA,NA,1.78,0.845,9901,2,2.09,15322,NA,0.351,NA,NA,NA
1.63,14555,NA,NA,3.03,NA,NA,1.65,0.85,10001,2.1,2.1,15336,NA,0.375,NA,NA,NA
1.64,14568,NA,14.49,3.02,NA,2.16,1.66,0.855,10100,2.2,2.11,15351,NA,0.358,NA,NA,NA
1.65,14581,NA,NA,3.03,NA,NA,1.62,0.86,10200,2.4,2.12,15365,20.885,0.337,2.862,NA,NA
1.66,14593,NA,NA,NA,NA,NA,1.73,0.865,10225,2.7,2.13,15379,NA,0.235,NA,NA,NA
1.67,14606,NA,NA,2.86,NA,NA,1.81,0.87,10250,2.3,2.14,15393,NA,0.279,NA,NA,NA
1.68,14618,NA,NA,NA,NA,NA,1.75,0.875,10275,2.2,2.15,15407,NA,0.225,NA,NA,NA
1.69,14631,NA,NA,NA,NA,NA,1.89,0.88,10300,2.2,2.16,15422,NA,0.63,NA,NA,NA
1.7,14644,NA,NA,2.93,NA,NA,1.8,0.885,10325,2.2,2.17,15436,NA,0.448,NA,NA,NA
1.71,14656,NA,14.31,2.91,NA,2.14,2.08,0.89,10350,2.2,2.18,15450,NA,0.388,NA,NA,NA
1.72,14669,NA,NA,3.01,NA,NA,1.53,0.895,10375,2.3,2.19,15468,NA,0.04,NA,NA,NA
1.73,14682,NA,NA,NA,NA,NA,1.8,0.9,10400,2.1,2.2,15486,20.437,0.519,2.734,NA,NA
1.74,14694,NA,NA,3.2,NA,NA,1.89,0.905,10425,2.4,2.21,15504,NA,0.189,NA,NA,NA
1.75,14707,NA,14.8,NA,NA,2.21,1.76,0.91,10450,2.2,2.22,15522,NA,0.405,NA,NA,NA
1.76,14719,NA,NA,NA,NA,NA,1.97,0.915,10475,2.5,2.23,15540,NA,0.505,NA,NA,NA
1.77,14732,NA,NA,2.9,NA,NA,1.55,0.92,10500,2.4,2.24,15558,20.63,0.557,2.788,NA,NA
1.78,14745,NA,NA,3.05,NA,NA,2.01,0.925,10525,4.4,2.25,15576,NA,0.897,NA,NA,NA
1.79,14757,NA,14.92,2.94,NA,2.22,1.51,0.93,10550,2.3,2.26,15594,NA,0.492,NA,NA,NA
1.8,14770,NA,NA,3.01,NA,NA,2.02,0.935,10575,1.9,2.27,15612,21.11,0.2,2.928,NA,NA
1.81,14783,NA,NA,2.75,NA,NA,1.98,0.94,10600,2.9,2.28,15630,NA,0.395,NA,NA,NA
1.82,14795,NA,NA,3.11,NA,NA,NA,0.945,10625,2.3,2.29,15648,NA,0.458,NA,NA,NA
1.83,14808,NA,NA,2.98,NA,NA,1.85,0.95,10650,2.1,2.3,15666,NA,0.329,NA,NA,NA
1.84,14821,NA,15.37,2.92,NA,2.29,1.86,0.955,10675,5.3,2.31,15685,NA,0.367,NA,NA,NA
1.85,14833,NA,NA,3.13,NA,NA,1.7,0.96,10700,7,2.32,15703,21.67,0.632,3.101,NA,NA
1.86,14846,NA,NA,3.1,NA,NA,1.88,0.965,10725,3.2,2.33,15721,NA,0.734,NA,NA,NA
1.87,14858,NA,14.69,2.94,NA,2.19,1.75,0.97,10750,3.9,2.34,15739,NA,0.584,NA,NA,NA
1.88,14871,NA,NA,3.11,NA,NA,1.9,0.975,10775,4.9,2.35,15757,NA,0.549,NA,NA,NA
1.89,14884,NA,NA,3.28,NA,NA,1.93,0.98,10800,4.6,2.36,15775,21.02,0.532,2.902,NA,NA
1.9,14896,NA,NA,3.08,NA,NA,1.77,0.985,10865,4.5,2.37,15793,NA,0.724,NA,NA,NA
1.91,14909,NA,NA,2.87,NA,NA,1.63,0.99,10930,3,2.38,15811,NA,0.427,NA,NA,NA
1.92,14922,NA,NA,2.95,NA,NA,1.95,0.995,10995,2.6,2.39,15829,NA,0.093,NA,NA,NA
1.93,14934,NA,NA,3.25,NA,NA,2.03,1,11060,2.2,2.4,15847,21.482,0.431,3.041,NA,NA
1.94,14947,NA,NA,NA,NA,NA,1.81,1.005,11125,1.9,2.41,15865,NA,0.388,NA,NA,NA
1.95,14959,NA,14.79,NA,NA,2.21,1.84,1.01,11190,2,2.42,15883,NA,0.545,NA,NA,NA
1.96,14972,NA,NA,NA,NA,NA,1.73,1.015,11255,1.9,2.43,15901,NA,0.646,NA,NA,NA
1.97,14985,NA,14.69,NA,NA,2.19,1.46,1.02,11320,2,2.44,15919,NA,0.782,NA,NA,NA
1.98,14997,NA,NA,NA,NA,NA,1.85,1.025,11385,2,2.45,15937,NA,0.594,NA,NA,NA
1.99,15010,NA,NA,NA,NA,NA,1.87,1.03,11450,1.9,2.46,15955,NA,0.562,NA,NA,NA
2,15023,NA,NA,NA,NA,NA,1.87,1.035,11515,1.9,2.47,15973,21.918,0.696,3.18,NA,NA
2.01,15035,NA,NA,NA,NA,NA,1.81,1.04,11580,1.8,2.48,15991,NA,0.716,NA,NA,NA
2.02,15048,NA,NA,NA,NA,NA,1.83,1.045,11645,1.8,2.49,16009,NA,0.747,NA,NA,NA
2.03,15061,NA,NA,NA,NA,NA,1.86,1.05,11710,2.1,2.5,16027,NA,0.744,NA,NA,NA
2.04,15073,NA,11.08,NA,NA,1.73,1.65,1.055,11775,2.4,2.51,16045,NA,0.589,NA,NA,NA
2.05,15086,NA,NA,NA,NA,NA,1.78,1.06,11840,2.1,2.52,16063,22.207,0.404,3.275,NA,NA
2.06,15098,NA,NA,3.81,NA,NA,1.74,1.065,11905,2.1,2.53,16081,NA,0.408,NA,NA,NA
2.07,15111,NA,NA,NA,NA,NA,1.85,1.07,11970,2.4,2.54,16099,NA,0.672,NA,NA,NA
2.08,15124,NA,NA,NA,NA,NA,2.13,1.075,12035,1.9,2.55,16118,NA,0.468,NA,NA,NA
2.09,15136,NA,NA,NA,NA,NA,1.7,1.08,12100,2.1,2.56,16136,21.982,0.799,3.201,NA,NA
2.1,15149,NA,NA,NA,NA,NA,1.95,1.085,12165,2,2.57,16154,NA,0.552,NA,NA,NA
2.11,15162,NA,14.55,NA,NA,2.17,1.77,1.09,12230,2.3,2.58,16172,NA,0.492,NA,NA,NA
2.12,15174,NA,NA,NA,NA,NA,2.51,1.095,12295,2.2,2.59,16190,NA,0.468,NA,NA,NA
2.13,15187,NA,NA,4.31,NA,NA,2.03,1.1,12360,2.1,2.6,16208,21.232,0.718,2.965,NA,NA
2.14,15199,NA,NA,4.2,NA,NA,2.05,1.105,12425,2.1,2.61,16226,NA,0.773,NA,NA,NA
2.15,15212,2.91,7.27,4.08,0.9,1.34,1.95,1.11,12490,2.2,2.62,16244,NA,0.683,NA,NA,NA
2.16,15225,NA,NA,4.12,NA,NA,1.96,1.115,12555,2,2.63,16262,NA,0.605,NA,NA,NA
2.17,15237,NA,NA,4.18,NA,NA,1.84,1.12,12620,1.9,2.64,16280,21.251,0.797,2.971,NA,NA
2.18,15250,NA,NA,4.29,NA,NA,2.1,1.125,12685,2.3,2.65,16298,NA,0.685,NA,NA,NA
2.19,15265,NA,7.83,4.25,NA,1.39,2.1,1.13,12750,3.2,2.66,16316,NA,0.946,NA,NA,NA
2.2,15281,NA,NA,4.2,NA,NA,2.07,1.135,12815,3.5,2.67,16334,21.888,0.691,3.17,NA,NA
2.21,15296,NA,NA,4.2,NA,NA,2.14,1.14,12880,4.7,2.68,16352,NA,0.7,NA,NA,NA
