year (AD),age (BP),temperature (degC),Pollen_T (degC),SHCal04Age (BP),ageUncertainty (yr)
-2107.8,4057.8,7.711,7.711,4168.164,205.871
-2280.4,4230.4,8.591,8.591,4343.316,188.183
-2453,4403,7.614,7.614,4515.751,136.314
-2605.75,4555.75,8.961,8.961,4663.172,187.091
-2758.5,4708.5,8.398,8.398,4808.575,213.921
-2911.25,4861.25,8.443,8.443,4953.526,227.119
-3064,5014,8.969,8.969,5098.166,229.259
-3216.75,5166.75,8.908,8.908,5242.525,220.771
-3369.5,5319.5,9.351,9.351,5386.573,200.387
-3522.25,5472.25,9.198,9.198,5530.169,163.798
-3675,5625,8.802,8.802,5671.748,93.301
-3797.44,5747.44,9.271,9.271,5781.793,148.169
-3919.89,5869.89,8.712,8.712,5889.949,178.105
-4042.33,5992.33,9.215,9.215,5997.699,195.156
-4164.78,6114.78,9.226,9.226,6105.182,202.614
-4287.22,6237.22,9.025,9.025,6212.438,201.546
-4409.67,6359.67,8.634,8.634,6319.467,191.801
-4532.11,6482.11,8.668,8.668,6426.229,171.893
-4654.56,6604.56,9.082,9.082,6532.585,137.414
-4777,6727,7.88,7.88,6637.051,68.172
-4922.43,6872.43,8.32,8.32,6780.418,134.96
-5067.86,7017.86,8.311,8.311,6921.333,144.092
-5213.29,7163.29,8.946,8.946,7061.12,111.349
-5405.86,7355.86,8.734,8.734,7267.046,144.286
-5525.71,7475.71,8.957,8.957,7402.609,178.667
-5645.57,7595.57,8.637,8.637,7537.666,193.346
-5765.43,7715.43,8.757,8.757,7672.352,192.877
-5885.29,7835.29,8.694,8.694,7806.667,177.133
-5945.21,7895.21,8.266,8.266,7873.651,162.188
-6005.14,7955.14,7.872,7.872,7940.477,141.075
-6065.07,8015.07,8.261,8.261,8007.013,109.327
-6125,8075,8.291,8.291,8072.153,52.33
-6182.04,8132.04,8.552,8.552,8176.009,126.714
-6239.08,8189.08,8.769,8.769,8277.969,162.237
-6296.13,8246.13,8.305,8.305,8379.479,181.624
-6353.17,8303.17,7.614,7.614,8480.714,190.848
-6467.25,8417.25,7.294,7.294,8682.403,181.491
-6524.29,8474.29,7.315,7.315,8782.754,161.088
-6581.33,8531.33,8.344,8.344,8882.426,125.024
-6695.42,8645.42,8.138,8.138,8962.518,118.655
-6809.5,8759.5,7.664,7.664,9012.689,132.094
-6923.58,8873.58,7.124,7.124,9062.465,139.449
-7037.67,8987.67,7.187,7.187,9111.986,141.669
-7151.75,9101.75,6.871,6.871,9161.285,138.945
-7265.83,9215.83,7.128,7.128,9210.341,130.865
-7379.92,9329.92,7.56,7.56,9259.048,116.055
-7494,9444,7.565,7.565,9306.213,88.525
-7710.33,9660.33,7.206,7.206,9504.339,163.465
-7926.67,9876.67,7.422,7.422,9700.433,170.4
-8143,10093,6.792,6.792,9894.496,132.906
-8441.8,10391.8,6.805,6.805,10276.066,230.109
-8740.5,10690.5,6.945,6.945,10653.285,253.825
-9039.3,10989.3,7.241,7.241,11028.912,224.709
-9338,11288,7.001,7.001,11400.189,101.24
-9609.3,11559.3,7.263,7.263,11772.841,274.516
-9880.5,11830.5,7.531,7.531,12146.287,379.595
-10151.8,12101.8,7.269,7.269,12520.551,465.06
-10423,12373,6.391,6.391,12895.237,540.274
-10613,12563,6.447,6.447,13270.193,609.025
