depth (cm),deltaT (degC),pore ice age (cal bp),dD (permil),d18O (permil),d-excess (permil),dD_swcorr (permil),d18O_swcorr (permil),d-excess_swcorr (permil),deltaT - 1 sigma (degC),deltaT + 1 sigma (degC)
300,0.3,6770,-157,-19.79,1.4,-157.5,-19.87,1.5,-0.1,0.8
306,0.2,6970,-157.2,-19.82,1.4,-157.7,-19.91,1.5,-0.2,0.7
310,0.1,7100,-157.4,-19.86,1.5,-157.9,-19.94,1.6,-0.4,0.5
316,0,7300,-157.4,-19.87,1.5,-158,-19.96,1.6,-0.4,0.5
320,0.1,7405,-157.3,-19.85,1.5,-157.9,-19.93,1.6,-0.3,0.6
326,0.3,7520,-156.9,-19.82,1.7,-157.6,-19.91,1.8,-0.1,0.8
330,0.4,7600,-156.8,-19.82,1.8,-157.4,-19.91,1.9,0,0.9
336,0.3,7715,-157,-19.83,1.7,-157.6,-19.92,1.8,-0.1,0.8
340,0.2,7795,-157.1,-19.84,1.6,-157.7,-19.93,1.7,-0.2,0.7
346,0.2,7910,-157,-19.85,1.7,-157.7,-19.94,1.8,-0.2,0.7
350,0.2,7990,-157,-19.85,1.8,-157.7,-19.95,1.9,-0.2,0.7
356,0.3,8105,-156.9,-19.87,2,-157.6,-19.97,2.1,-0.1,0.8
360,0.3,8185,-156.9,-19.88,2.1,-157.6,-19.98,2.2,-0.1,0.8
366,0.3,8305,-156.9,-19.89,2.2,-157.6,-19.99,2.3,-0.1,0.7
370,0.3,8390,-156.9,-19.9,2.3,-157.6,-20,2.4,-0.1,0.7
376,0.2,8515,-156.9,-19.92,2.4,-157.7,-20.03,2.5,-0.2,0.7
380,0.2,8595,-157,-19.94,2.5,-157.8,-20.06,2.7,-0.3,0.6
382,0.2,8640,-156.9,-19.94,2.6,-157.7,-20.05,2.7,-0.2,0.7
390,0.4,8805,-156.6,-19.93,2.9,-157.4,-20.05,3,0,0.9
400,0,9015,-157.1,-19.98,2.7,-158,-20.1,2.8,-0.4,0.5
410,0.1,9225,-157,-20.01,3.1,-157.9,-20.14,3.2,-0.3,0.6
420,-0.1,9435,-157.3,-20.11,3.6,-158.3,-20.25,3.7,-0.6,0.3
430,0.4,9610,-156.4,-19.98,3.5,-157.4,-20.13,3.6,0,0.9
440,0,9730,-157,-20.03,3.3,-158,-20.18,3.4,-0.4,0.5
450,-0.1,9920,-157.1,-20.09,3.6,-158.2,-20.25,3.8,-0.6,0.3
460,-0.5,10145,-157.6,-20.14,3.5,-158.8,-20.31,3.7,-1,-0.1
470,0.5,10370,-156,-19.94,3.6,-157.2,-20.13,3.8,0.1,1
480,-0.3,10445,-157.2,-20.09,3.5,-158.5,-20.28,3.7,-0.8,0.1
490,-1.1,10480,-158.4,-20.25,3.6,-159.7,-20.44,3.8,-1.7,-0.6
500,-1,10520,-158.3,-20.27,3.9,-159.6,-20.47,4.1,-1.6,-0.6
510,-1.2,11400,-158.1,-20.26,3.9,-159.9,-20.52,4.2,-1.8,-0.7
520,-2,12490,-158.5,-20.36,4.3,-161.1,-20.73,4.8,-2.7,-1.4
530,-2.5,13585,-158.6,-20.35,4.2,-161.9,-20.83,4.8,-3.2,-1.8
