depth (m),age (BP),planktic.d18O (permil),planktic.MgCa (permil),planktic.MgCa (mmol_mol),temperature (mmol_mol),depth (m),temperature (degC),d18O (degC)
3.525,46500,NA,-0.994,NA,2.133,3.775,24.93,NA
3.575,47040,-1.066,NA,4.216,NA,3.825,25.508,22.027
3.625,47570,NA,-0.995,NA,NA,3.875,25.618,NA
3.675,48110,-1.397,NA,NA,NA,3.925,24.807,21.642
3.725,48640,NA,-1.093,NA,2.131,4.025,30.784,22.659
3.775,49180,-1.576,NA,3.508,NA,4.125,NA,20.683
3.825,49710,-1.669,-1.18,3.606,2.483,4.175,23.284,NA
3.875,50250,-1.584,NA,3.625,NA,NA,NA,NA
3.925,50780,-1.137,-1.279,3.487,2.398,NA,NA,NA
3.975,51320,-0.901,NA,NA,NA,NA,NA,NA
4.025,51850,-0.949,-0.56,4.646,2.628,NA,NA,NA
4.075,52390,-1.233,NA,NA,NA,NA,NA,NA
4.125,52930,NA,-0.956,NA,2.2,NA,NA,NA
4.175,53460,-1.235,NA,3.241,NA,NA,NA,NA
