depth (m),planktic.d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.d13C (permil),d18O (permil),d13C (permil),depth (m),temperature (degC),temperature (degC)
2.445,2.64,-0.42,3.66,-0.09,NA,NA,2.42,3.8,8.1
2.465,2.65,-0.3,3.69,0.17,NA,NA,2.44,4,7.9
2.485,2.72,-0.64,3.61,0.18,NA,NA,2.46,4.8,9.1
2.505,2.51,-0.43,3.58,-0.06,NA,NA,2.48,3.9,8.1
2.525,2.69,-0.33,3.6,-0.11,NA,NA,2.5,4,7.9
2.545,2.61,-0.42,3.56,-0.01,NA,NA,2.52,3.9,7.8
2.565,2.47,-0.72,3.44,0.07,NA,NA,2.54,4,8.6
2.585,2.58,-0.27,3.27,0.13,NA,NA,2.56,3.9,8.1
2.605,2.38,-0.34,3.43,-0.16,NA,NA,2.58,6.5,10.9
2.625,2.53,-0.5,3.65,NA,NA,NA,2.6,6.5,11.1
NA,NA,NA,NA,NA,NA,NA,2.62,4.4,9
