depth (cm),age (BP),d18O (permil)
25352.7,2110,-26.73
25383.9,2130,-27.14
25414.5,2150,-27.45
25444.7,2170,-27.59
25474.4,2190,-27.45
25503.7,2210,-26.85
25533,2230,-27.27
25562.4,2250,-26.97
25591.8,2270,-26.95
25621.1,2290,-27.89
25650.3,2310,-27.56
25679.4,2330,-27.34
25708.3,2350,-27.4
25737.1,2370,-26.85
25765.5,2390,-27.32
25793.7,2410,-27.16
25821.6,2430,-27.77
25849.1,2450,-27.62
25876.2,2470,-26.65
25902.8,2490,-26.79
25929,2510,-26.74
25954.6,2530,-26.92
25979.7,2550,-27.09
26004.1,2570,-27.49
26028,2590,-26.83
26051.1,2610,-26.96
26073.5,2630,-26.76
26095.1,2650,-26.75
26115.9,2670,-27.6
26135.9,2690,-27.34
26155,2710,-27.25
26173.4,2730,-26.84
26191.1,2750,-27.03
26208.3,2770,-27.13
26224.8,2790,-26.7
26241,2810,-27.33
26256.7,2830,-27.02
26272.2,2850,-26.88
26287.4,2870,-27.18
26302.5,2890,-27.24
26317.5,2910,-26.77
26332.5,2930,-26.36
26347.6,2950,-27.04
26362.8,2970,-26.91
26378.3,2990,-26.7
26394.1,3010,-27.15
26410.3,3030,-26.95
26426.7,3050,-27.12
26443.3,3070,-26.97
26460.1,3090,-26.86
26477.1,3110,-27.36
26494.3,3130,-26.37
26511.6,3150,-26.82
26529,3170,-27.17
26546.5,3190,-27.14
26564.2,3210,-27.02
26581.9,3230,-26.59
26599.8,3250,-27.13
26617.7,3270,-26.74
26635.6,3290,-26.81
26653.6,3310,-26.93
26671.6,3330,-27.28
26689.7,3350,-26.63
26707.7,3370,-26.91
26725.8,3390,-26.95
26743.8,3410,-26.87
26761.8,3430,-26.6
26779.7,3450,-26.89
26797.6,3470,-27.17
26815.4,3490,-26.61
26833.1,3510,-26.79
26850.8,3530,-27.22
26868.3,3550,-26.44
26885.7,3570,-26.18
26902.9,3590,-26.39
26920,3610,-26.42
26937,3630,-26.62
26953.8,3650,-26.56
26970.3,3670,-26.61
26986.7,3690,-26.94
27002.9,3710,-26.78
27018.8,3730,-26.47
27034.6,3750,-27.2
27050,3770,-27.09
27065.2,3790,-26.82
27080.1,3810,-26.69
27094.7,3830,-26.5
27109.1,3850,-26.21
27123.1,3870,-26.69
27136.8,3890,-26.24
27150.1,3910,-26.76
27163.1,3930,-26.44
27175.7,3950,-26.44
27188,3970,-26.96
27199.8,3990,-27.02
27211.3,4010,-26.66
27222.5,4030,-26.66
27233.6,4050,-26.51
27244.5,4070,-27.07
27255.2,4090,-26.69
27265.8,4110,-26.42
27276.1,4130,-26.4
27286.3,4150,-26.67
27296.4,4170,-26.68
27306.2,4190,-26.69
27316,4210,-27.01
27325.5,4230,-26.56
27335,4250,-26.84
27344.3,4270,-26.95
27353.4,4290,-26.98
27362.5,4310,-26.51
27371.4,4330,-26.51
27380.2,4350,-26.04
27388.8,4370,-26.4
27397.4,4390,-26.71
27405.9,4410,-26.53
27414.2,4430,-26.02
27422.4,4450,-26.84
27430.6,4470,-26.56
27438.7,4490,-27.01
27446.6,4510,-26.93
27454.5,4530,-26.52
27462.4,4550,-26.15
27470.1,4570,-26.46
27477.8,4590,-26.7
27485.4,4610,-26.93
27493,4630,-27.15
27500.5,4650,-26.67
27508,4670,-26.92
27515.4,4690,-26.52
27522.8,4710,-26.79
27530.1,4730,-27.09
27537.3,4750,-26.94
27544.5,4770,-26.16
27551.7,4790,-26.55
27558.7,4810,-26.73
27565.7,4830,-26.33
27572.6,4850,-26.47
27579.4,4870,-26.33
27586.1,4890,-26.45
27592.7,4910,-27
27599.2,4930,-26.36
27605.6,4950,-26.77
27611.9,4970,-26.72
27618.1,4990,-26.33
27624.2,5010,-26.53
27630.1,5030,-25.68
27635.9,5050,-26.95
27641.6,5070,-26.86
27647.1,5090,-26.45
27652.5,5110,-26.41
27657.7,5130,-26.26
27662.8,5150,-26.37
27667.7,5170,-26.49
27672.4,5190,-26.62
27676.8,5210,-26.63
27681,5230,-26.48
27685.1,5250,-26.41
27689,5270,-25.83
27692.8,5290,-25.85
27696.6,5310,-26.34
27700.3,5330,-26.64
27704.1,5350,-26.9
27708,5370,-26.75
27712,5390,-27
27716.1,5410,-26.76
27720.4,5430,-26.93
27725,5450,-26.72
27729.7,5470,-26.59
27734.6,5490,-26.88
27739.5,5510,-26.27
27744.6,5530,-26.56
27749.7,5550,-26.91
27754.7,5570,-27.13
27759.8,5590,-26.66
27764.8,5610,-26.51
27769.7,5630,-26.47
27774.5,5650,-26.33
27779.2,5670,-26.61
27783.7,5690,-26.48
27788,5710,-26.65
27792.4,5730,-26.32
27796.7,5750,-26.61
27801,5770,-26.28
27805.2,5790,-26.73
27809.3,5810,-26.5
27813.3,5830,-26.41
27817.3,5850,-26.13
27821.2,5870,-26.91
27824.9,5890,-26.83
27828.5,5910,-26.72
27832,5930,-26.59
27835.3,5950,-26.42
27838.6,5970,-26.47
27841.7,5990,-26.33
27844.8,6010,-25.95
27847.8,6030,-26.18
27850.7,6050,-25.99
27853.5,6070,-26.6
27856.3,6090,-26.89
27859,6110,-26.74
27861.7,6130,-26.5
27864.3,6150,-26.74
27866.8,6170,-27.01
27869.3,6190,-26.53
27871.7,6210,-26.44
27874.1,6230,-25.98
27876.5,6250,-26.23
27878.8,6270,-26.48
27881,6290,-26.43
27883.3,6310,-26.19
27885.5,6330,-25.81
27887.7,6350,-26.1
27889.8,6370,-26.17
27891.9,6390,-26.16
27894.1,6410,-26.34
27896.2,6430,-26.56
27898.2,6450,-26.51
27900.3,6470,-26.1
27902.4,6490,-25.62
27904.5,6510,-25.86
27906.5,6530,-26.01
27908.6,6550,-26.09
27910.7,6570,-26.34
27912.8,6590,-26.76
27914.9,6610,-26.62
27917.1,6630,-26.54
27919.2,6650,-26.58
27921.4,6670,-26.58
27923.6,6690,-26.37
27925.8,6710,-26.2
27928.1,6730,-26.29
27930.4,6750,-26.5
27932.7,6770,-27.03
27935.1,6790,-26.2
27937.6,6810,-26.03
27940.1,6830,-26.31
27942.6,6850,-26.49
27945.2,6870,-26.16
27947.8,6890,-26.49
27950.5,6910,-26.35
27953.3,6930,-26.13
27956.2,6950,-26.16
27959.1,6970,-26.23
27962.1,6990,-26.25
27965.1,7010,-26.45
27968.3,7030,-26.48
27971.5,7050,-26.26
27974.8,7070,-25.98
27978.3,7090,-26.81
27981.8,7110,-26.5
27985.4,7130,-26.27
27989.1,7150,-26.06
27992.9,7170,-26.61
27996.8,7190,-25.9
28000.9,7210,-26.1
28005.5,7230,-26.25
28010.5,7250,-26.54
28015.9,7270,-26.52
28021.7,7290,-26.09
28027.7,7310,-26.29
28034.1,7330,-26.14
28040.7,7350,-26.49
28047.4,7370,-26.23
28054.4,7390,-25.89
28061.4,7410,-26.21
28068.5,7430,-26.27
28075.7,7450,-26.24
28082.9,7470,-26.23
28090,7490,-26.01
28097,7510,-26.42
28103.9,7530,-26.22
28110.7,7550,-26.13
28117.2,7570,-26.46
28123.6,7590,-26.54
28129.7,7610,-25.66
28135.8,7630,-26.12
28141.8,7650,-25.99
28147.8,7670,-25.95
28153.8,7690,-25.87
28159.8,7710,-26.03
28165.8,7730,-25.82
28171.9,7750,-25.94
28178.1,7770,-26.07
28184.3,7790,-26.13
28190.8,7810,-26.02
28197.3,7830,-25.77
28203.9,7850,-25.82
28210.5,7870,-25.62
28217,7890,-25.95
28223.5,7910,-26.02
28230,7930,-26.1
28236.6,7950,-25.45
28243.3,7970,-25.89
28250.1,7990,-25.61
28257,8010,-25.77
28264,8030,-25.91
28271.3,8050,-25.72
28278.8,8070,-26.44
28286.5,8090,-26.25
28294.5,8110,-26.44
28302.8,8130,-26.85
28311.5,8150,-27.13
28320.5,8170,-27.49
28329.9,8190,-27.86
28340.2,8210,-26.63
28351.4,8230,-26.48
28363.4,8250,-26.36
28376,8270,-26.26
28389.2,8290,-26.2
28402.7,8310,-25.91
28416.4,8330,-26.14
28430.2,8350,-25.86
28443.9,8370,-26.02
28457.3,8390,-26.07
28470.6,8410,-26.35
28483.8,8430,-26.53
28497.2,8450,-26.08
28510.8,8470,-26.55
28524.8,8490,-26.28
28539.3,8510,-26.66
28554.4,8530,-26.53
28570.5,8550,-26.48
28587.6,8570,-26.34
28605.3,8590,-26.28
28623.5,8610,-25.94
28641.7,8630,-26.35
28659.8,8650,-26.31
28677.7,8670,-26.15
28695.6,8690,-26.14
28713.5,8710,-26.47
28731.4,8730,-26.12
28749.3,8750,-25.97
28767.3,8770,-25.26
28785.4,8790,-26.07
28803.5,8810,-25.97
28821.7,8830,-25.69
28839.9,8850,-26.17
28858.3,8870,-25.62
28876.8,8890,-26.03
28895.4,8910,-26.33
28914.2,8930,-26.27
28933.1,8950,-26.22
28952.2,8970,-25.83
28971.4,8990,-26.25
28990.9,9010,-25.95
29011.5,9030,-26.44
29033,9050,-25.78
29054.4,9070,-26.1
29075,9090,-25.72
29093.9,9110,-25.65
29110.3,9130,-26.17
29124.4,9150,-26.19
29138.3,9170,-25.39
29153.9,9190,-25.78
29171.6,9210,-25.57
29190.6,9230,-26.51
29210.7,9250,-26.95
29231.7,9270,-26.23
29253.6,9290,-26.16
29276.2,9310,-26.04
29299.3,9330,-25.99
29322.8,9350,-25.84
29346.5,9370,-26.13
29370.2,9390,-25.85
29393.9,9410,-25.53
29417.4,9430,-26.07
29440.5,9450,-26.13
29463.1,9470,-26.04
29485.1,9490,-26.32
29506.7,9510,-26.04
29528.4,9530,-25.81
29550,9550,-26.52
29571.7,9570,-25.76
29593.4,9590,-26.33
29615.1,9610,-26.63
29636.8,9630,-26.03
29658.4,9650,-26.11
29680,9670,-25.52
29701.6,9690,-25.69
29723.1,9710,-26.11
29744.6,9730,-26.36
29765.9,9750,-25.73
29787.2,9770,-26.18
29808.4,9790,-26.66
29829.6,9810,-25.9
29850.6,9830,-26.31
29871.4,9850,-26.34
29892.2,9870,-26.47
29912.8,9890,-26.1
29933.3,9910,-26.68
29953.6,9930,-25.87
29973.7,9950,-26.84
29993.7,9970,-26.31
30013.5,9990,-26.2
30033.1,10010,-26.36
30052.8,10030,-26.73
30073.1,10050,-26.56
30093.8,10070,-26.36
30114.6,10090,-26.84
30135.5,10110,-26.78
30156.3,10130,-26.99
30176.7,10150,-27.07
30196.7,10170,-26.83
30215.9,10190,-26.61
30234.3,10210,-26.66
30251.6,10230,-26.98
30267.7,10250,-26.71
30282.5,10270,-26.98
30295.6,10290,-27.29
30307.1,10310,-27.14
30316.9,10330,-27.26
30325.7,10350,-27.23
30333.7,10370,-27.63
30341.1,10390,-26.76
30348.3,10410,-27.28
30355.5,10430,-27.03
30362.9,10450,-26.54
30370.4,10470,-26.7
30377.7,10490,-27.09
30385.1,10510,-27.68
30392.4,10530,-27.2
30399.7,10550,-26.95
30406.9,10570,-26.98
30414.1,10590,-27.15
30421.3,10610,-26.84
30428.4,10630,-27.02
30435.4,10650,-27.14
30442.4,10670,-27.3
30449.3,10690,-27.55
30456.2,10710,-27.33
30463,10730,-27.17
30469.7,10750,-27.68
30476.3,10770,-27.44
30482.9,10790,-27.3
30489.4,10810,-27.8
30495.8,10830,-27.85
30502.1,10850,-27.65
30508.4,10870,-27.62
30514.5,10890,-27.94
30520.6,10910,-27.62
30526.5,10930,-27.99
30532.3,10950,-27.91
30538.1,10970,-28.23
30543.7,10990,-28.29
30549.2,11010,-28.04
30554.6,11030,-27.85
30559.9,11050,-27.79
30565.2,11070,-27.78
30570.5,11090,-27.94
30575.6,11110,-28.36
30580.7,11130,-28.01
30585.6,11150,-28.23
30590.3,11170,-28.11
30594.7,11190,-27.93
30598.8,11210,-28.02
30602.6,11230,-28.13
30606.1,11250,-28.33
30609.1,11270,-28.18
30611.9,11290,-27.93
30614.4,11310,-28.46
30616.8,11330,-29.32
30619,11350,-29.75
30621.1,11370,-29.8
30623.2,11390,-29.66
30625.2,11410,-29.48
30627.2,11430,-29.39
30629.2,11450,-29.12
30631.3,11470,-29.02
30633.5,11490,-28.75
30635.8,11510,-28.52
30638.3,11530,-28.6
30640.8,11550,-28.41
30643.5,11570,-28.21
30646.2,11590,-28.13
30648.9,11610,-28.26
30651.7,11630,-29.01
30654.6,11650,-29.94
30657.5,11690,NA
30660,11728,NA
30662.5,11765,NA
30665,11802,NA
30667.5,11839,NA
30670,11877,NA
30672.5,11914,NA
30675,11951,NA
30677.5,11989,NA
30680,12026,NA
30682.5,12063,NA
30685,12100,NA
30687.5,12138,NA
30690,12175,NA
30692.5,12212,NA
30695,12249,NA
30697.5,12287,NA
30700,12324,NA
30702.5,12361,NA
30705,12399,NA
30707.5,12436,NA
30710,12473,NA
30712.5,12510,NA
30715,12548,NA
30717.5,12585,NA
30720,12622,NA
30722.5,12660,NA
30725,12697,NA
30727.5,12734,NA
30730,12771,NA
30732.5,12809,NA
30735,12846,NA
30737.5,12892,NA
30740,12938,NA
30742.5,12984,NA
30745,13030,NA
30747.5,13076,NA
30750,13122,NA
30752.5,13168,NA
30755,13214,NA
30757.5,13260,NA
30760,13307,NA
30762.5,13353,NA
30765,13399,NA
30767.5,13445,NA
30770,13491,NA
30772.5,13537,NA
30775,13583,NA
30777.5,13629,NA
30780,13675,NA
30782.5,13721,NA
30785,13767,NA
30787.5,13813,NA
30790,13859,NA
30792.5,13905,NA
30795,13951,NA
30797.5,13997,NA
30800,14043,NA
30802.5,14089,NA
30805,14135,NA
30807.5,14181,NA
30810,14228,NA
30812.5,14274,NA
30815,14320,NA
30817.5,14366,NA
30820,14412,NA
30822.5,14458,NA
30825,14504,NA
30827.5,14550,NA
30830,14596,NA
30832.5,14642,NA
30835,14776,NA
30837.5,14910,NA
30840,15044,NA
30842.5,15178,NA
30845,15311,NA
30847.5,15445,NA
30850,15579,NA
30852.5,15713,NA
30855,15847,NA
30857.5,15981,NA
30860,16115,NA
30862.5,16249,NA
30865,16382,NA
30867.5,16516,NA
30870,16650,NA
30872.5,16784,NA
30875,16918,NA
30877.5,17052,NA
30880,17186,NA
30882.5,17319,NA
30885,17453,NA
30887.5,17587,NA
30890,17721,NA
30892.5,17855,NA
30895,17989,NA
30897.5,18123,NA
30900,18257,NA
30902.5,18391,NA
30905,18524,NA
30907.5,18658,NA
30910,18792,NA
30912.5,18926,NA
30915,19060,NA
30917.5,19194,NA
30920,19328,NA
30922.5,19462,NA
30925,19595,NA
30927.5,19729,NA
30930,19863,NA
30932.5,19997,NA
30935,20131,NA
30937.5,20265,NA
30940,20399,NA
30942.5,20533,NA
30945,20666,NA
30947.5,20800,NA
30950,20934,NA
30952.5,21068,NA
30955,21202,NA
30957.5,21336,NA
30960,21470,NA
30962.5,21603,NA
30965,21737,NA
30967.5,21871,NA
30970,22005,NA
30972.5,22139,NA
30975,22273,NA
30977.5,22407,NA
30980,22541,NA
30982.5,22674,NA
30985,22808,NA
30987.5,22942,NA
30990,23076,NA
30992.5,23210,NA
30995,23250,NA
30997.5,23290,NA
31000,23440,NA
31002.5,23590,NA
31005,23740,NA
31007.5,23890,NA
31010,24040,NA
31012.5,24190,NA
31015,24340,NA
31017.5,24490,NA
31020,24640,NA
31022.5,24790,NA
31025,24940,NA
31027.5,25090,NA
31030,25240,NA
31032.5,25390,NA
31035,25540,NA
31037.5,25690,NA
31040,25840,NA
31042.5,25990,NA
31045,26140,NA
31047.5,26290,NA
31050,26440,NA
31052.5,26590,NA
31055,26740,NA
31057.5,26890,NA
31060,27040,NA
31062.5,27190,NA
31065,27340,NA
31067.5,27490,NA
31070,27570,NA
31072.5,27650,NA
31075,27730,NA
31077.5,27935,NA
31080,28140,NA
31082.5,28345,NA
31085,28550,NA
31087.5,28650,NA
31090,28750,NA
31092.5,28850,NA
31095,29166,NA
31097.5,29482,NA
31100,29798,NA
31102.5,30114,NA
31105,30430,NA
31107.5,30746,NA
31110,31062,NA
31112.5,31378,NA
31115,31694,NA
31117.5,32010,NA
31120,32120,NA
31122.5,32230,NA
31125,32340,NA
31127.5,32450,NA
31130,32743,NA
31132.5,33037,NA
31135,33330,NA
31137.5,33420,NA
31140,33510,NA
31142.5,33600,NA
31145,33690,NA
31147.5,34030,NA
31150,34370,NA
31152.5,34710,NA
31155,34890,NA
31157.5,35070,NA
31160,35250,NA
31162.5,35430,NA
31165,35720,NA
31167.5,36010,NA
31170,36300,NA
31172.5,36590,NA
31175,36748,NA
31177.5,36906,NA
31180,37064,NA
31182.5,37222,NA
31185,37380,NA
31187.5,37538,NA
31190,37696,NA
31192.5,37854,NA
31195,38012,NA
31197.5,38170,NA
31200,38366,NA
31202.5,38561,NA
31205,38757,NA
31207.5,38952,NA
31210,39148,NA
31212.5,39343,NA
31215,39539,NA
31217.5,39734,NA
31220,39930,NA
31222.5,40020,NA
31225,40110,NA
31227.5,40227,NA
31230,40344,NA
31232.5,40461,NA
31235,40579,NA
31237.5,40696,NA
31240,40813,NA
31242.5,40930,NA
31245,41010,NA
31247.5,41090,NA
31250,41170,NA
31252.5,41250,NA
31255,41330,NA
31257.5,41410,NA
31260,41547,NA
31262.5,41683,NA
31265,41820,NA
31267.5,41957,NA
31270,42093,NA
31272.5,42230,NA
31275,42326,NA
31277.5,42423,NA
31280,42519,NA
31282.5,42615,NA
31285,42712,NA
31287.5,42808,NA
31290,42905,NA
31292.5,43001,NA
31295,43097,NA
31297.5,43194,NA
31300,43290,NA
31302.5,43550,NA
31305,43810,NA
31307.5,44070,NA
31310,44330,NA
31312.5,44476,NA
31315,44622,NA
31317.5,44768,NA
31320,44914,NA
31322.5,45059,NA
31325,45205,NA
31327.5,45351,NA
31330,45497,NA
31332.5,45643,NA
31335,45789,NA
31337.5,45935,NA
31340,46081,NA
31342.5,46226,NA
31345,46372,NA
31347.5,46518,NA
31350,46664,NA
31352.5,46810,NA
31355,47106,NA
31357.5,47402,NA
31360,47698,NA
31362.5,47994,NA
31365,48290,NA
31367.5,48408,NA
31370,48525,NA
31372.5,48643,NA
31375,48760,NA
31377.5,48878,NA
31380,48995,NA
31382.5,49113,NA
31385,49230,NA
31387.5,49400,NA
31390,49570,NA
31392.5,49709,NA
31395,49849,NA
31397.5,49988,NA
31400,50128,NA
31402.5,50267,NA
31405,50406,NA
31407.5,50546,NA
31410,50685,NA
31412.5,50825,NA
31415,50964,NA
31417.5,51103,NA
31420,51243,NA
31422.5,51382,NA
31425,51522,NA
31427.5,51661,NA
31430,51800,NA
31432.5,51940,NA
31435,52079,NA
31437.5,52218,NA
31440,52358,NA
31442.5,52497,NA
31445,52637,NA
31447.5,52776,NA
31450,52915,NA
31452.5,53055,NA
31455,53194,NA
31457.5,53334,NA
31460,53473,NA
31462.5,53612,NA
31465,53752,NA
31467.5,53891,NA
31470,54031,NA
31472.5,54170,NA
31475,54780,NA
31477.5,55390,NA
31480,55510,NA
31482.5,55630,NA
31485,55750,NA
31487.5,56090,NA
31490,56430,NA
31492.5,56594,NA
31495,56757,NA
31497.5,56921,NA
31500,57085,NA
31502.5,57248,NA
31505,57412,NA
31507.5,57575,NA
31510,57739,NA
31512.5,57903,NA
31515,58066,NA
31517.5,58230,NA
31520,58315,NA
31522.5,58400,NA
31525,58485,NA
31527.5,58570,NA
31530,58647,NA
31532.5,58723,NA
31535,58800,NA
31537.5,58877,NA
31540,58953,NA
31542.5,59030,NA
31545,59090,NA
31547.5,59150,NA
31550,59210,NA
31552.5,59270,NA
31555,59310,NA
31557.5,59350,NA
31560,59390,NA
