year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
1719.1,230.9,26.35,-5.28,4.29
1717,233,26.5,-5.23,4.29
1714.2,235.8,26.7,-5.46,4.04
1711.4,238.6,26.9,-4.57,4.12
1709.3,240.7,27.05,-5.26,4.27
1708,242,27.15,-5.33,4.22
1706.7,243.3,27.25,-5.42,4.26
1705.4,244.6,27.35,-5.88,3.94
1704.1,245.9,27.45,-5.56,3.85
1702.2,247.8,27.6,-5.26,4.45
1699.6,250.4,27.8,-5.17,4.58
1697,253,28,-4.54,4.8
1694.9,255.1,28.15,-5.04,4.7
1693.5,256.5,28.25,-4.97,4.77
1692.1,257.9,28.35,-4.91,4.85
1690.7,259.3,28.45,-4.83,4.94
1689.3,260.7,28.55,-4.82,5.09
1687.2,262.8,28.7,-5.01,4.92
1684.4,265.6,28.9,-5.33,4.91
1682.3,267.7,29.05,-5.11,5.26
1681,269,29.15,-5.18,5.01
1679.1,270.9,29.3,-5.17,5.05
1677.1,272.9,29.45,-5.74,4.36
1675.8,274.2,29.55,-5.06,5.09
1673.9,276.1,29.7,-5.23,4.99
1671.9,278.1,29.85,-4.99,4.96
1670.6,279.4,29.95,-5.04,4.94
1668.6,281.4,30.1,-4.76,5.09
1666.5,283.5,30.25,-5.11,4.88
1664.4,285.6,30.4,-5.01,5.02
1662.3,287.7,30.55,-5.23,4.94
1660.9,289.1,30.65,-5.39,4.57
1659.5,290.5,30.75,-5.18,4.97
1657.4,292.6,30.9,-5.14,4.98
1655.3,294.7,31.05,-5.23,4.69
1653.4,296.6,31.2,-4.99,4.47
1651.4,298.6,31.35,-5.12,4.62
1648.8,301.2,31.55,-4.77,4.58
1647.5,302.5,31.65,-4.88,4.5
1646.2,303.8,31.75,-4.73,4.63
1644.3,305.7,31.9,-4.98,4.59
1641.6,308.4,32.1,-4.73,4.68
1639.5,310.5,32.25,-6.74,2.62
1637.4,312.6,32.4,-4.79,4.64
1634.6,315.4,32.6,-4.76,4.58
1631.1,318.9,32.85,-4.62,4.54
1629.7,320.3,32.95,-5.11,4.54
1628.3,321.7,33.05,-4.9,4.41
1626.2,323.8,33.2,-5,4.53
1624.1,325.9,33.35,-4.99,4.64
1622.7,327.3,33.45,-4.87,4.78
1621.3,328.7,33.55,-5.05,4.58
1617.1,332.9,33.85,-4.88,4.62
1615,335,34,-4.7,4.73
1613,337,34.15,-4.91,4.72
1611.7,338.3,34.25,-4.89,4.81
1610.4,339.6,34.35,-5.09,4.65
1608.5,341.5,34.5,-4.84,4.87
1606.5,343.5,34.65,-4.94,4.7
1604.6,345.4,34.8,-0.84,6.33
1602,348,35,-4.67,4.59
1599.9,350.1,35.15,-4.74,4.72
1597.8,352.2,35.3,-4.8,4.68
1594.3,355.7,35.55,-4.87,4.48
1592.2,357.8,35.7,-4.67,4.62
1590.1,359.9,35.85,-4.88,4.55
1588.7,361.3,35.95,-4.95,4.54
1586.7,363.3,36.1,-4.96,4.62
1584.7,365.3,36.25,-5.06,4.48
1583.4,366.6,36.35,-5.09,4.47
1581.5,368.5,36.5,-2.66,5.73
1579.5,370.5,36.65,-5.32,4.55
1577.6,372.4,36.8,-5.31,4.63
1575,375,37,-5.27,4.71
1572.2,377.8,37.2,-5.3,4.92
1569.4,380.6,37.4,-5.42,4.71
1567.3,382.7,37.55,-5.31,4.39
1565.9,384.1,37.65,-5.36,4.28
1564.5,385.5,37.75,-5.53,4.29
1563.1,386.9,37.85,-5.05,4.31
1561.7,388.3,37.95,-7.2,3.26
1560.3,389.7,38.05,-5.87,3.71
1558.4,391.6,38.2,-6.02,3.45
1555.8,394.2,38.4,-6.14,3.56
1553.8,396.2,38.55,-5.85,3.73
1552.5,397.5,38.65,-5.66,4.08
1551.2,398.8,38.75,-5.19,4.54
1549.3,400.7,38.9,-5.29,4.55
1547.3,402.7,39.05,-4.99,4.57
1545.9,404.1,39.15,-5.06,4.73
1543.8,406.2,39.3,-5.13,4.7
1541.7,408.3,39.45,-5.3,4.72
1539.6,410.4,39.6,-5.23,4.6
1537.5,412.5,39.75,-5.23,4.79
1535.4,414.6,39.9,-5.18,4.58
1532.7,417.3,40.1,-5.39,4.51
1530.1,419.9,40.3,-5.41,4.92
1528.1,421.9,40.45,-5.34,4.59
1526.8,423.2,40.55,-5.55,4.47
1525.5,424.5,40.65,-5.78,4.36
1523.6,426.4,40.8,-5.66,4.3
1521.6,428.4,40.95,-5.91,4.08
1520.3,429.7,41.05,-5.77,4.07
1518.2,431.8,41.2,-6.03,4.25
1516.1,433.9,41.35,-6.01,4.2
1514.7,435.3,41.45,-5.95,4.08
1512.6,437.4,41.6,-5.92,3.85
1509.8,440.2,41.8,-5.84,4.26
1507.7,442.3,41.95,-6.21,3.6
1506.3,443.7,42.05,-6.7,2.96
1504.4,445.6,42.2,-6.31,3.31
1502.4,447.6,42.35,-6.67,2.89
1500.5,449.5,42.5,-6.96,2.83
1498.5,451.5,42.65,-6.8,2.79
1496.6,453.4,42.8,-7.05,2.61
1494.6,455.4,42.95,-7.5,2.03
1492.6,457.4,43.1,-6.83,2.95
1490.5,459.5,43.25,-6.62,3.06
1489.1,460.9,43.35,-6.18,3.43
1487,463,43.5,-5.93,3.58
1484.9,465.1,43.65,-6.11,3.07
1479.8,470.2,44.01,-5.23,-6.88
1474.5,475.5,44.23,-5,0.49
1469.2,480.8,44.45,-4.9,0.18
1466.6,483.4,44.56,-4.82,-2.24
1463.9,486.1,44.67,-4.87,-0.13
1461.3,488.7,44.78,-4.77,2.31
1458.6,491.4,44.89,-4.71,1.61
1456.2,493.8,44.99,-4.85,1.41
1453.6,496.4,45.1,-4.93,1.68
1451,499,45.21,-5.05,-0.74
1448.3,501.7,45.32,-4.54,4.08
1445.7,504.3,45.43,-4.92,-0.34
1443,507,45.54,-3.69,2.34
1440.4,509.6,45.65,-4.66,1.11
1437.8,512.2,45.76,-7.09,-1.38
1435.1,514.9,45.87,-4.37,2.44
1432.5,517.5,45.98,-4.31,-9.42
1430.1,519.9,46.08,-2.83,3.63
1427.4,522.6,46.19,-4.63,2.47
1424.8,525.2,46.3,-3.88,-1.16
1422.2,527.8,46.41,-4.13,0.22
1419.5,530.5,46.52,-2.45,2.21
1416.9,533.1,46.63,-3.78,2.55
1414.2,535.8,46.74,-4.51,4.06
1411.6,538.4,46.85,-4.67,-6.21
1409,541,46.96,-2.31,2.5
1403.9,546.1,47.17,-4.74,3.13
1401.3,548.7,47.28,-2.29,1.32
1398.6,551.4,47.39,-3.25,-2.58
1396,554,47.5,-2.82,3.2
1393.4,556.6,47.61,-4.22,2.37
1390.7,559.3,47.72,-4.82,3.32
1388.1,561.9,47.83,-4.97,4.36
1385.4,564.6,47.94,-3.95,-8.71
1382.8,567.2,48.05,-5.01,4.15
1380.2,569.8,48.16,-4.46,1.71
1377.8,572.2,48.26,-5.1,4.02
1375.1,574.9,48.37,-5.12,3.97
1372.7,577.3,48.47,-5.97,2.14
1370.3,579.7,48.57,-5.18,4.11
1367.9,582.1,48.67,-5.58,3.47
1365.5,584.5,48.77,-5.72,2.98
1363.1,586.9,48.87,-5.31,4.08
1360.7,589.3,48.97,-5.39,4.07
1358.3,591.7,49.07,-5.67,2.86
1355.9,594.1,49.17,-5.37,3.56
1353.5,596.5,49.27,-5.55,3.56
1351.1,598.9,49.37,-5.34,4.3
1348.7,601.3,49.47,-5.24,4.5
1346.3,603.7,49.57,-5.42,3.61
1343.9,606.1,49.67,-5.32,3.99
1341.5,608.5,49.77,-5.01,4.21
1339.1,610.9,49.87,-5.74,1.85
1336.7,613.3,49.97,-5.13,3.42
1334.3,615.7,50.07,-5.4,3.19
1331.9,618.1,50.17,-5.43,3.67
1329.5,620.5,50.27,-5.36,3.48
1327.1,622.9,50.37,-5.55,3.84
1324.7,625.3,50.47,-6.32,0.33
1322.3,627.7,50.57,-5.67,3.77
1319.9,630.1,50.67,-5.79,3.52
1317.5,632.5,50.77,-5.7,3.89
1315.1,634.9,50.87,-5.96,3.59
1312.7,637.3,50.97,-5.72,3.74
1310.3,639.7,51.07,-5.98,2.74
1307.9,642.1,51.17,-5.55,3.13
1305.5,644.5,51.27,-5.12,3.16
1303.1,646.9,51.37,-4.96,3.62
1300.7,649.3,51.47,-6.12,2.89
1298.3,651.7,51.57,-6.21,3.83
1295.9,654.1,51.67,-4.92,3.37
1293.5,656.5,51.77,-5.81,3.31
1291.1,658.9,51.87,-5.8,2.79
1288.7,661.3,51.97,-5.53,2.01
1286.3,663.7,52.07,-5.46,1.92
1283.9,666.1,52.17,-5.37,2.46
1281.5,668.5,52.27,-5.34,1.66
1279.1,670.9,52.37,-5.35,2.48
1276.7,673.3,52.47,-5.42,2.34
1274.3,675.7,52.57,-5.24,2.81
1271.9,678.1,52.67,-6.1,-3.98
1269.5,680.5,52.77,-5.4,2.58
1267.4,682.6,52.86,-5.3,4.1
1265.7,684.3,52.93,-5.25,3.93
1263.8,686.2,53.01,-5.25,4.56
1261.8,688.2,53.09,-5.36,3.88
1259.9,690.1,53.17,-5.21,4.77
1258.2,691.8,53.24,-5.01,4.72
1256.3,693.7,53.32,-5.16,3.87
1254.4,695.6,53.4,-5.13,4.12
1252.5,697.5,53.48,-5.07,4.79
1250.8,699.2,53.55,-5.21,4.52
1248.9,701.1,53.63,-5.95,-2.57
1247,703,53.71,-5.01,4.61
1245.3,704.7,53.78,-5.1,4.07
1243.4,706.6,53.86,-5.17,4.47
1241.4,708.6,53.94,-5.71,-0.73
1239.4,710.6,54.02,-4.89,4.51
1237.2,712.8,54.09,-4.43,2.45
1234.7,715.3,54.17,-5.23,1.51
1230.1,719.9,54.32,-4.72,3.82
1227.6,722.4,54.4,-5.24,2.9
1225.1,724.9,54.48,-4.63,4
1222.3,727.7,54.57,-10.49,-3.02
1219.2,730.8,54.67,-4.52,4.66
1213,737,54.87,-4.54,4.19
1209.9,740.1,54.97,-4.6,1.73
1206.8,743.2,55.07,-6.03,1.98
1203.6,746.4,55.17,-12.64,-4.27
1197.2,752.8,55.37,-5.27,3.22
1190.8,759.2,55.57,-4.94,3.44
1184.4,765.6,55.77,-4.13,4.4
1181.2,768.8,55.87,-5.89,2.66
1178,772,55.97,-3.91,4.45
1175.1,774.9,56.06,-4.66,2.36
1172.5,777.5,56.14,-4.68,2.98
1169.6,780.4,56.23,-5.26,2.61
1167.1,782.9,56.31,-4.05,4.18
1161.6,788.4,56.48,-4.69,2.17
1158.8,791.2,56.57,-4.8,2.46
1156.2,793.8,56.65,-4.13,4.88
1153.3,796.7,56.74,-4.07,4.98
1150.8,799.2,56.82,-4.25,4.97
1147.9,802.1,56.91,-4.31,5.02
1145.3,804.7,56.99,-5.36,3.22
1142.4,807.6,57.08,-4.41,4.7
1139.9,810.1,57.16,-4.63,4.2
1137,813,57.25,-4.57,4.46
1134.4,815.6,57.33,-5.59,2.58
1129,821,57.5,-4.41,4.83
1126.1,823.9,57.59,-4.01,4.76
1123.6,826.4,57.67,-4.28,5.09
1120.7,829.3,57.76,-4.08,5.04
1118.1,831.9,57.84,-4.21,5.16
1115.2,834.8,57.93,-4.26,4.67
1112.7,837.3,58.01,-4.62,4.73
1109.8,840.2,58.1,-4.33,3.88
1107.2,842.8,58.18,-4.66,4.67
1104.4,845.6,58.27,-4.27,4.73
1098.9,851.1,58.44,-4.24,5.06
1096.4,853.6,58.52,-4.21,5.08
1093.5,856.5,58.61,-4.33,5.25
1090.9,859.1,58.69,-4.74,4.9
1088,862,58.78,-4.54,5.07
1085.5,864.5,58.86,-4.94,4.3
1082.6,867.4,58.95,-4.41,5.14
1080,870,59.03,-8.02,-5.29
1077.2,872.8,59.12,-4.34,5.12
1074.6,875.4,59.2,-4.89,4.84
1071.7,878.3,59.29,-4.92,4.95
1069.2,880.8,59.37,-4.77,4.7
1066.3,883.7,59.46,-4.8,5.06
1063.7,886.3,59.54,-4.82,5.23
1060.8,889.2,59.63,-4.76,5.22
1058.3,891.7,59.71,-5.53,3.35
1055.4,894.6,59.8,-4.58,4.29
1052.8,897.2,59.88,-4.24,5.17
1050,900,59.97,-5.26,1.85
1047.4,902.6,60.05,-4.53,5.13
1044.7,905.3,60.14,-4.34,4.92
1042.2,907.8,60.22,-4.51,4.21
1039.4,910.6,60.31,-10.44,-10.89
1036.9,913.1,60.39,-4.43,5.17
1034.1,915.9,60.48,-5.59,3
1031.6,918.4,60.56,-4.71,4.85
1028.8,921.2,60.65,-6.28,2.27
1026.4,923.6,60.73,-9.57,-15.16
1023.6,926.4,60.82,-4.7,4.64
1021.1,928.9,60.9,-11.29,-8.65
1018.3,931.7,60.99,-4.81,4.83
1015.8,934.2,61.07,-5.33,3.26
1012.9,937.1,61.16,-4.78,4.59
1010.3,939.7,61.24,-5.59,1.7
1007.4,942.6,61.33,-4.86,4.49
1004.9,945.1,61.41,-11.34,-8.02
1002,948,61.5,-4.82,4.59
999.4,950.6,61.58,-5.71,3.43
996.6,953.4,61.67,-4.58,4.96
994,956,61.75,-4.7,4.91
991.1,958.9,61.84,-6.96,2.95
988.6,961.4,61.92,-4.6,5.51
985.7,964.3,62.01,-4.83,5.08
983.1,966.9,62.09,-5.04,4.64
980.2,969.8,62.18,-4.83,5
977.7,972.3,62.26,-9.17,-3.61
974.8,975.2,62.35,-5.22,4.66
972.2,977.8,62.43,-5.24,4.69
969,981,62.53,-6.27,3.28
965.8,984.2,62.63,-5.53,4.47
962.6,987.4,62.73,-6.6,2.32
959.4,990.6,62.83,-5.31,4.5
956.2,993.8,62.93,-5.49,2.71
949.8,1000.2,63.13,-4.96,5.11
943.4,1006.6,63.33,-5.49,3.94
940.2,1009.8,63.43,-5.1,4.48
937.4,1012.6,63.52,-5.21,4.05
934.2,1015.8,63.62,-7.57,1.28
931.3,1018.7,63.71,-7.27,2.1
928.1,1021.9,63.81,-5.39,3.97
925.2,1024.8,63.9,-5.25,3.98
922,1028,64,-5.72,3.38
915.9,1034.1,64.19,-5.49,3.94
913,1037,64.28,-5.26,3.54
909.8,1040.2,64.38,-5.71,4.13
907,1043,64.47,-4.71,4.94
903.8,1046.2,64.57,-4.8,4.37
900.9,1049.1,64.66,-5.3,4.75
894.8,1055.2,64.85,-5.31,4.36
891.3,1058.7,64.96,-6.5,3.28
885.8,1064.2,65.08,-5.63,4.11
873.9,1076.1,65.31,-5,4.79
868.2,1081.8,65.42,-5.37,4.68
861.9,1088.1,65.54,-5.43,4.83
856.7,1093.3,65.64,-5.13,5.02
852,1098,65.73,-6.46,4.29
846.8,1103.2,65.83,-6.62,2.85
842.2,1107.8,65.92,-5.1,4.67
837.5,1112.5,66.01,-4.91,4.95
832.8,1117.2,66.1,-5.16,4.7
828.1,1121.9,66.19,-5.23,4.85
823.4,1126.6,66.28,-5.49,4.36
818.8,1131.2,66.37,-6.09,4.31
814.1,1135.9,66.46,-5.33,4.98
808.4,1141.6,66.57,-6.05,4.13
801.6,1148.4,66.7,-6.13,4.15
795.4,1154.6,66.82,-5.44,4.89
788.6,1161.4,66.95,-5.43,4.98
782.9,1167.1,67.06,-5.59,4.79
777.2,1172.8,67.17,-5.31,4.04
772,1178,67.27,-4.88,4.12
766.2,1183.8,67.38,-4.45,4.49
761,1189,67.48,-4.69,4.55
755.3,1194.7,67.59,-4.74,4.57
750.1,1199.9,67.69,-4.58,4.75
744.4,1205.6,67.8,-7.19,1.85
739.2,1210.8,67.9,-5.29,4.11
734,1216,68,-5.51,3.84
728.8,1221.2,68.1,-5.41,4.02
723.6,1226.4,68.2,-6.94,2.3
718.4,1231.6,68.3,-5.62,4.29
713.2,1236.8,68.4,-6.7,2.68
708,1242,68.5,-5.47,4.57
702.8,1247.2,68.6,-5.21,4.61
697.6,1252.4,68.7,-5.75,3.83
692.4,1257.6,68.8,-5.32,4.34
687.2,1262.8,68.9,-5.96,3.38
682,1268,69,-5.67,4.28
676.8,1273.2,69.1,-5.66,4
671.6,1278.4,69.2,-5.68,3.81
666.4,1283.6,69.3,-5.84,4.22
661.2,1288.8,69.4,-5.52,3.99
656,1294,69.5,-5.84,3.65
650.8,1299.2,69.6,-5.57,4.21
645.6,1304.4,69.7,-5.37,3.78
640.4,1309.6,69.8,-4.82,4.51
635.2,1314.8,69.9,-4.91,4.5
630,1320,70,-4.92,4.44
624.8,1325.2,70.1,-5.32,3.89
619.1,1330.9,70.21,-5.46,3.94
613.4,1336.6,70.32,-5.92,3.6
607.6,1342.4,70.43,-5.35,4.34
601.9,1348.1,70.54,-5.69,2.71
596.2,1353.8,70.65,-5.16,4.13
590.5,1359.5,70.76,-5.29,4.28
585.3,1364.7,70.86,-5.21,4.35
579.6,1370.4,70.97,-5.2,4.45
573.9,1376.1,71.08,-5.08,4.92
568.3,1381.7,71.19,-4.93,4.94
562.7,1387.3,71.3,-5.42,4.64
557.1,1392.9,71.41,-5.45,4.53
551.5,1398.5,71.52,-5.58,4.34
545.9,1404.1,71.63,-6.06,3.77
540.3,1409.7,71.74,-5.5,4.38
529.5,1420.5,71.95,-5.41,4.87
524.9,1425.1,72.04,-5.57,4.36
519.7,1430.3,72.14,-5.46,4.77
515,1435,72.23,-5.68,4.32
509.8,1440.2,72.33,-5.3,5.04
505.2,1444.8,72.42,-5.36,4.97
500.5,1449.5,72.51,-5.22,4.84
495.3,1454.7,72.61,-5.2,4.85
490.6,1459.4,72.7,-5.06,5.03
485.4,1464.6,72.8,-5.34,4.73
480.7,1469.3,72.89,-5.4,4.87
470.7,1479.3,73.11,-5.4,4.79
466,1484,73.23,-5.19,4.75
461.7,1488.3,73.34,-5.62,4.25
457.1,1492.9,73.46,-6.13,3.55
452.8,1497.2,73.57,-5.53,4.35
448.1,1501.9,73.69,-5.73,4.05
443.8,1506.2,73.8,-6.02,3.65
439.1,1510.9,73.92,-6.03,3.67
435.7,1514.3,74.01,-5.5,4.35
433.4,1516.6,74.1,-4.92,4.78
431.3,1518.7,74.18,-5.62,3.97
429.2,1520.8,74.26,-5.17,4.46
427.2,1522.8,74.34,-5.63,4
424.8,1525.2,74.43,-7.29,1.71
422.7,1527.3,74.51,-5.59,4.1
420.7,1529.3,74.59,-5.48,3.86
418.6,1531.4,74.67,-5.68,4.05
416.2,1533.8,74.76,-4.75,4.7
414.2,1535.8,74.84,-4.8,4.38
412.1,1537.9,74.92,-5.04,4.57
410,1540,75,-5.42,3.75
407.7,1542.3,75.09,-4.64,4.97
403.5,1546.5,75.25,-4.55,4.72
401.4,1548.6,75.33,-4.84,4.38
399.3,1550.7,75.41,-4.65,4.96
396.7,1553.3,75.51,-4.74,4.77
393.9,1556.1,75.62,-4.79,4.83
391,1559,75.73,-4.81,4.98
388.2,1561.8,75.84,-4.84,4.94
385,1565,75.96,-4.89,4.98
382.2,1567.8,76.07,-5.1,4.77
379.3,1570.7,76.18,-5.06,4.98
376.5,1573.5,76.29,-4.98,4.92
373.6,1576.4,76.4,-5.12,4.67
370.7,1579.3,76.51,-5.05,4.83
368.1,1581.9,76.61,-5.27,4.49
365.5,1584.5,76.71,-5.04,4.55
362.9,1587.1,76.81,-5.55,3.74
360.3,1589.7,76.91,-5.61,4.1
357.7,1592.3,77.01,-5.36,4.26
355.1,1594.9,77.11,-5.01,4.61
352.5,1597.5,77.21,-5.23,4.15
349.9,1600.1,77.31,-5.5,4.36
347.3,1602.7,77.41,-5.27,4.2
344.7,1605.3,77.51,-4.87,4.19
342.1,1607.9,77.61,-5.07,4.64
339.5,1610.5,77.71,-4.74,4.71
336.9,1613.1,77.81,-4.91,4.38
334.3,1615.7,77.91,-4.83,4.47
331.7,1618.3,78.01,-5.16,4.07
329.1,1620.9,78.11,-5.07,4.23
326.5,1623.5,78.21,-4.98,4.31
323.9,1626.1,78.31,-4.91,4.33
321.3,1628.7,78.41,-5.04,4.43
318.7,1631.3,78.51,-5.92,3.52
315.6,1634.4,78.63,-4.36,4.33
312.5,1637.5,78.75,-5.43,4.44
309.4,1640.6,78.87,-5.31,4.72
306.3,1643.7,78.99,-5.26,4.62
303.4,1646.6,79.1,-5.46,4.08
300.3,1649.7,79.22,-5.7,3.83
297.2,1652.8,79.34,-5.26,4.53
294,1656,79.46,-5.24,4.57
290.9,1659.1,79.58,-5.36,4.5
288.1,1661.9,79.69,-5.3,4.45
285.2,1664.8,79.8,-5.26,4.54
282.6,1667.4,79.9,-5.31,4.41
280.3,1669.7,79.99,-5.24,4.61
277.7,1672.3,80.09,-5.23,4.42
275.3,1674.7,80.18,-5.45,4.1
272.7,1677.3,80.28,-5.83,3.19
270.4,1679.6,80.37,-6.21,3.24
265.4,1684.6,80.56,-4.88,4.8
262.8,1687.2,80.66,-5.18,4.68
260.5,1689.5,80.75,-4.95,4.87
257.9,1692.1,80.85,-4.7,5.02
255.6,1694.4,80.94,-4.93,4.99
253,1697,81.04,-4.93,4.88
250.6,1699.4,81.13,-4.94,4.83
