year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-8150,10100,278.278,196.5,360.056
-8200,10150,279.3,196.5,362.1
-8250,10200,280.322,196.5,364.143
-8300,10250,281.343,196.5,366.186
-8350,10300,282.364,196.5,368.229
-8400,10350,283.386,196.5,370.272
-8450,10400,284.408,196.5,372.316
-8500,10450,285.43,196.5,374.36
-8550,10500,286.451,196.5,376.402
-8600,10550,287.472,196.5,378.445
-8650,10600,288.494,196.5,380.488
-8700,10650,289.516,196.5,382.532
-8750,10700,290.538,196.5,384.576
-8800,10750,291.56,196.5,386.619
-8850,10800,292.581,196.5,388.662
-8900,10850,293.603,196.5,390.706
-8950,10900,294.624,196.5,392.748
-9000,10950,295.646,196.5,394.792
-9050,11000,296.668,196.5,396.835
-9100,11050,297.689,196.5,398.878
-9150,11100,298.711,196.5,400.922
-9200,11150,299.575,196.5,402.651
-9250,11200,300.186,196.5,403.873
-9300,11250,300.49,196.5,404.48
-9350,11300,300.643,196.5,404.785
-9400,11350,300.742,196.5,404.984
-9450,11400,300.841,196.5,405.183
-9500,11450,300.941,196.5,405.382
-9550,11500,301.04,196.5,405.58
-9600,11550,301.14,196.5,405.779
-9650,11600,301.239,196.5,405.978
-9700,11650,301.338,196.5,406.176
-9750,11700,301.438,196.5,406.375
-9800,11750,301.537,196.5,406.574
-9850,11800,301.636,196.5,406.773
-9900,11850,301.736,196.5,406.971
-9950,11900,301.835,196.5,407.17
