depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],depth (cm) [3-1],age (BP) [3-1],temperature (degC) [3-1]
105.5,10547.391,1.963,NA,NA,NA,105.5,10547.391,9.864
106.5,10555.957,1.537,NA,NA,NA,106.5,10555.957,10.261
107.5,10564.522,1.244,NA,NA,NA,107.5,10564.522,NA
108.5,10573.087,1.103,NA,NA,NA,108.5,10573.087,NA
109.5,10581.652,2.033,NA,NA,NA,109.5,10581.652,NA
110.5,10590.217,1.802,NA,NA,NA,110.5,10590.217,NA
111.5,10598.783,1.542,NA,NA,NA,111.5,10598.783,NA
112.5,10607.348,1.884,NA,NA,NA,112.5,10607.348,NA
113.5,10615.913,1.754,NA,NA,NA,113.5,10615.913,NA
114.5,10624.478,1.358,NA,NA,NA,114.5,10624.478,NA
115.5,10633.043,1.687,NA,NA,NA,115.5,10633.043,NA
116.5,10641.609,2.047,NA,NA,NA,116.5,10641.609,NA
117.5,10650.174,1.572,NA,NA,NA,117.5,10650.174,9.37
118.5,10658.739,1.12,NA,NA,NA,118.5,10658.739,NA
119.5,10667.304,1.263,NA,NA,NA,119.5,10667.304,10.042
120.5,10675.87,1.377,NA,NA,NA,120.5,10675.87,9.54
121.5,10684.435,1.655,NA,NA,NA,121.5,10684.435,9.673
122.5,10693,1.348,NA,NA,NA,122.5,10693,9.477
123.5,10730,0.836,NA,NA,NA,123.5,10730,10.136
124.5,10767,1.138,NA,NA,NA,124.5,10767,9.582
125.5,10804,1.302,NA,NA,NA,125.5,10804,NA
126.5,10841,1.232,NA,NA,NA,126.5,10841,NA
127.5,10878,1.36,NA,NA,NA,127.5,10878,NA
128.5,10915,NA,NA,NA,NA,128.5,10915,NA
129.5,10952,2.41,NA,NA,NA,129.5,10952,NA
130.5,10989,NA,NA,NA,NA,130.5,10989,NA
131.5,11026,NA,NA,NA,NA,131.5,11026,10.847
132.5,11063,2.654,NA,NA,NA,132.5,11063,NA
133.5,11100,NA,NA,NA,NA,133.5,11100,NA
134.5,11104.333,2.078,NA,NA,NA,134.5,11104.333,NA
135.5,11108.667,NA,NA,NA,NA,135.5,11108.667,NA
136.5,11113,NA,NA,NA,NA,136.5,11113,NA
137.5,11117.333,NA,NA,NA,NA,137.5,11117.333,NA
138.5,11121.667,NA,NA,NA,NA,138.5,11121.667,NA
139.5,11126,NA,NA,NA,NA,139.5,11126,NA
140.5,11130.333,NA,NA,NA,NA,140.5,11130.333,NA
141.5,11134.667,NA,NA,NA,NA,141.5,11134.667,NA
142.5,11139,NA,NA,NA,NA,142.5,11139,NA
143.5,11143.333,NA,NA,NA,NA,143.5,11143.333,NA
144.5,11147.667,NA,NA,NA,NA,144.5,11147.667,NA
145.5,11152,2.804,NA,NA,NA,145.5,11152,NA
146.5,11156.333,2.62,NA,NA,NA,146.5,11156.333,NA
147.5,11160.667,NA,NA,NA,NA,147.5,11160.667,NA
148.5,11165,NA,NA,NA,NA,148.5,11165,NA
149.5,11187.927,NA,NA,NA,NA,149.5,11187.927,NA
150.5,11210.854,NA,NA,NA,NA,150.5,11210.854,NA
151.5,11233.78,NA,NA,NA,NA,151.5,11233.78,NA
152.5,11256.707,2.747,NA,NA,NA,152.5,11256.707,NA
153.5,11279.634,2.554,NA,NA,NA,153.5,11279.634,NA
154.5,11302.561,NA,NA,NA,NA,154.5,11302.561,NA
155.5,11325.488,2.831,NA,NA,NA,155.5,11325.488,NA
156.5,11348.415,NA,NA,NA,NA,156.5,11348.415,NA
157.5,11371.341,NA,NA,NA,NA,157.5,11371.341,NA
158.5,11394.268,2.321,NA,NA,NA,158.5,11394.268,NA
159.5,11417.195,NA,NA,NA,NA,159.5,11417.195,NA
160.5,11440.122,NA,NA,NA,NA,160.5,11440.122,NA
161.5,11463.049,NA,NA,NA,NA,161.5,11463.049,NA
162.5,11485.976,NA,NA,NA,NA,162.5,11485.976,NA
163.5,11508.902,2.498,NA,NA,NA,163.5,11508.902,NA
164.5,11531.829,2.557,NA,NA,NA,164.5,11531.829,NA
165.5,11554.756,2.57,NA,NA,NA,165.5,11554.756,NA
166.5,11577.683,NA,NA,NA,NA,166.5,11577.683,NA
167.5,11600.61,NA,NA,NA,NA,167.5,11600.61,NA
168.5,11623.537,2.826,NA,NA,NA,168.5,11623.537,NA
169.5,11646.463,2.827,NA,NA,NA,169.5,11646.463,NA
170.5,11669.39,2.751,NA,NA,NA,170.5,11669.39,NA
171.5,11692.317,2.601,NA,NA,NA,171.5,11692.317,NA
172.5,11715.244,2.9,NA,NA,NA,172.5,11715.244,NA
173.5,11738.171,2.744,NA,NA,NA,173.5,11738.171,NA
174.5,11761.098,2.882,NA,NA,NA,174.5,11761.098,NA
175.5,11784.024,2.736,NA,NA,NA,175.5,11784.024,NA
176.5,11806.951,2.578,NA,NA,NA,176.5,11806.951,NA
177.5,11829.878,2.914,NA,NA,NA,177.5,11829.878,NA
178.5,11852.805,2.485,NA,NA,NA,178.5,11852.805,NA
179.5,11875.732,2.826,NA,NA,NA,179.5,11875.732,NA
180.5,11898.659,2.798,NA,NA,NA,180.5,11898.659,NA
181.5,11921.585,NA,NA,NA,NA,181.5,11921.585,NA
182.5,11944.512,2.62,NA,NA,NA,182.5,11944.512,NA
183.5,11967.439,NA,NA,NA,NA,183.5,11967.439,NA
184.5,11990.366,2.915,NA,NA,NA,184.5,11990.366,NA
