depth (mm),depth (cm),age (BP),BSi (percent)
1192.5,119.05,1935.99,32.342
1212.5,121.05,1981.786,31.566
1232.5,123.05,2028.246,27.7
1252.5,125.05,2075.374,25.733
1282.5,128.05,2147.324,23.398
1302.5,130.05,2196.126,34.146
1332.5,133.05,2270.577,26.896
1352.5,135.05,2321.034,27.929
1382.5,138.05,2397.932,26.89
1402.5,140.05,2449.991,30.1
1432.5,143.05,2529.235,29.299
1452.5,145.05,2582.813,29.365
1482.5,148.05,2664.257,27.043
1502.5,150.05,2719.242,29.15
1532.5,153.05,2802.696,26.239
1552.5,155.05,2858.947,27.311
1582.5,158.05,2944.181,26.528
1602.5,160.05,3001.534,28.1
1632.5,163.05,3088.284,23.877
1652.5,165.05,3146.552,23.2
2012.5,177.95,3528.348,22.257
2052.5,179.95,3588.101,28.631
2082.5,182.95,3677.817,23.954
2102.5,184.95,3737.634,28.238
2132.5,187.95,3827.286,25.7
2152.5,189.95,3886.957,26.776
2182.5,192.95,3976.24,25.838
2202.5,194.95,4035.571,25.043
2232.5,197.95,4124.215,23.157
2252.5,199.95,4183.04,23.307
2282.5,202.95,4270.819,17.326
2302.5,204.95,4329.007,25.176
2332.5,207.95,4415.758,25.746
2352.5,209.95,4473.225,27.4
2382.5,212.95,4558.866,23.269
2402.5,214.95,4615.587,26.926
2432.5,217.95,4700.13,21.688
2452.5,219.95,4756.151,22.779
2482.5,222.75,4834.168,21.957
2502.5,224.75,4889.638,18.897
2532.5,227.75,4972.528,25.314
2552.5,229.75,5027.643,27.073
2582.5,232.75,5110.231,23.371
2602.5,234.75,5165.327,28.55
2632.5,237.75,5248.209,24.418
2652.5,239.75,5303.747,28.435
2682.5,242.75,5387.722,29.506
2702.5,244.75,5444.309,29.644
2732.5,247.75,5530.403,22.999
2752.5,249.75,5588.806,27.295
2782.5,252.75,5678.3,28.065
2802.5,254.75,5739.465,28.1
2952.5,255.25,5754.969,16.9
2982.5,258.25,5850.019,33
3032.5,260.75,5932.232,27
3055,263,6008.942,27
3067.5,264.25,6052.801,31.681
3080,265.5,6097.626,29
3082.5,265.75,6106.713,28.55
3105,268,6190.433,26
3130,270.5,6287.909,25
3132.5,270.75,6297.936,25.149
3155,273,6390.641,29
3167.5,274.25,6444.173,34.4
3180,275.5,6499.26,30
3182.5,275.75,6510.471,30.395
3205,278,6614.44,30
3217.5,279.25,6674.715,35.4
3230,280.5,6736.905,30
3232.5,280.75,6749.581,29.846
3245.5,282.05,6816.827,39.428
3255,283,6867.424,25
3267.5,284.25,6935.959,35.905
3280,285.5,7006.82,28
3282.5,285.75,7021.28,27.8
3292.5,286.75,7080.116,22.132
3305,288,7155.963,22
3317.5,289.25,7234.479,25.481
3330,290.5,7315.783,24
3332.5,290.75,7332.389,24.264
3345.5,292.05,7420.661,28.449
3355,293,7487.261,23
3367.5,294.25,7577.696,29.43
3380,295.5,7671.44,27
3382.5,295.75,7690.598,26.85
3395.5,297.05,7792.489,28.809
3405,298,7869.419,21
3412.5,298.75,7931.676,21.687
3420.5,299.55,7999.605,13.986
3430,300.5,8082.362,23
3432.5,300.75,8104.526,22.528
3440.5,301.55,8191.803,18.9
3447.5,302.25,8264.647,16.494
3455,303,8343.004,8
3462.5,303.75,8421.681,6.571
3470.5,304.55,8505.957,9.061
3480,305.5,8606.508,9
3480.5,305.55,8611.815,6.334
3482.5,305.75,8633.055,8.968
3490.5,306.55,8718.242,8.326
3497.5,307.25,8793.08,9.943
3505,308,8873.574,11
3512.5,308.75,8954.388,11.516
3520.5,309.55,9040.943,12.7
3530,310.5,9144.2,13
3532.5,310.75,9171.459,13.053
3540.5,311.55,9258.925,16.567
3547.5,312.25,9335.758,17.885
3555,313,9418.388,11
3562.5,313.75,9501.339,7.538
3570.5,314.55,9590.173,10.4
3580,315.5,9696.137,13
3582.5,315.75,9724.108,12.926
3590.5,316.55,9813.854,12.594
3597.5,317.25,9892.681,11.769
3605,318,9977.448,11
3630,320.5,10262.319,10
3632.5,320.75,10291.002,9.539
3640.5,321.55,10383.027,8.679
3647.5,322.25,10463.848,9.77
3655,323,10550.752,8
3662.5,323.75,10637.976,9.3
3670.5,324.55,10731.369,8.484
3680,325.5,10842.746,10
3682.5,325.75,10872.142,10.135
3690.5,326.55,10966.446,14.061
3697.5,327.25,11049.261,19.625
3705,328,11138.302,15
3712.5,328.75,11227.663,17.842
3720.5,329.55,11323.334,18.162
3730,330.5,11437.418,14
3732.5,330.75,11467.526,14.469
3740.5,331.55,11564.109,22.642
3747.5,332.25,11648.919,20.3
3755,333,11740.096,10
3762.5,333.75,11831.594,21.975
3770.5,334.55,11929.545,15.002
3780,335.5,12046.335,5
3782.5,335.75,12077.155,5.094
3790.5,336.55,12176.018,4.168
3800.5,337.55,12300.109,11.287
3805,338,12356.136,3
3812.5,338.75,12449.77,6.1
3820.5,339.55,12550,3.222
3830,340.5,12669.497,14
3832.5,340.75,12701.029,14.232
3840.5,341.55,12802.171,12.912
3847.5,342.25,12890.969,13.928
3855,343,12986.42,15
3880,344.5,13178.283,14
3882.5,344.75,13210.385,13.567
3890.5,345.55,13313.35,14.501
3897.5,346.25,13403.744,16.9
3905,347,13500.904,13
3912.5,347.75,13598.385,11.211
3920.5,348.55,13702.718,11.494
3930,349.5,13827.086,13
3932.5,349.75,13859.9,12.571
3940.5,350.55,13965.145,11.182
3947.5,351.25,14057.533,11.782
3955,352,14156.83,12
3962.5,352.75,14256.447,15.464
3980,354.5,14490.134,17
3982.5,354.75,14523.661,17.24
4005,357,NA,6
4032.5,359.75,NA,4.435
4082.5,364.75,NA,2.343
4132.5,369.75,NA,4.231
4182.5,374.75,NA,2.569
4232.5,379.75,NA,2.199
4282.5,384.75,NA,2.042
4332.5,389.75,NA,2.022
4382.5,394.75,NA,1.011
4432.5,399.75,NA,1.748
4482.5,404.75,NA,1.878
4532.5,409.75,NA,1.914
4582.5,414.75,NA,1.797
4632.5,419.75,NA,1.448
4682.5,424.75,NA,1.601
4732.5,429.75,NA,1.512
