year (AD),age (BP),depth (m),SST_LDI (degC),temperature (degC),sampleIDa (missing),sampleIDb (missing),sampleIDc (missing),LDI (missing),Uk37 (missing)
-9256,11206,2.217,18.2,18.9,293G,4,-1.5,0.69,0.667
-9379,11329,2.277,17,18.4,293G,4,-1.5,0.66,0.65
-9501,11451,2.328,17.8,18.6,293G,5,-1.5,0.68,0.659
-9624,11574,2.388,17,17.8,293G,5,-1.5,0.65,0.632
-9959,11909,2.417,15.2,18.2,293G,5,-1.5,0.6,0.644
-10124,12074,2.447,15.1,15.3,293G,5,-1.5,0.59,0.55
-10290,12240,2.478,14.6,17.5,293G,5,-1.5,0.58,0.622
-10372,12322,2.493,14,14.3,293G,5,-1.5,0.56,0.516
-10538,12488,2.522,14.4,14.3,293G,5,-1.5,0.57,0.517
-10620,12570,2.538,13.8,15.7,293G,5,-1.5,0.55,0.561
-10703,12653,2.553,15.5,14.6,293G,5,-1.5,0.61,0.525
-10741.6,12691.6,2.567,10.8,13.2,293G,5,-1.5,0.45,0.48
-10818.8,12768.8,2.598,12,15.8,293G,5,-1.5,0.49,0.567
-10896,12846,2.627,11.2,13.1,293G,5,-1.5,0.46,0.478
-10973.2,12923.2,2.658,11.9,15.1,293G,5,-1.5,0.49,0.543
-11050.4,13000.4,2.688,13.3,12.8,293G,5,-1.5,0.53,0.466
-11127.6,13077.6,2.717,13.3,14.9,293G,5,-1.5,0.53,0.535
-11204.8,13154.8,2.748,13.6,14.7,293G,5,-1.5,0.54,0.528
-11282,13232,2.777,13.5,17.2,293G,5,-1.5,0.54,0.613
-11359.2,13309.2,2.808,13.8,14,293G,5,-1.5,0.55,0.505
-11436.4,13386.4,2.837,15,17.5,293G,5,-1.5,0.59,0.622
-11513.6,13463.6,2.868,15.5,13.8,293G,5,-1.5,0.61,0.5
-11590.8,13540.8,2.895,14.1,17.3,293G,5,-1,0.56,0.613
-11668,13618,2.922,14.9,15.6,293G,6,-1.5,0.59,0.559
-11737.3,13687.3,2.953,14.6,17.8,293G,6,-1.5,0.58,0.63
-11799.8,13749.8,2.982,13.8,15.5,293G,6,-1.5,0.55,0.555
-11862.4,13812.4,3.013,14.1,16.7,293G,6,-1.5,0.56,0.595
-11925,13875,3.042,15.3,15.1,293G,6,-1.5,0.6,0.541
-11987.5,13937.5,3.072,15.4,15.7,393G,6,-1.5,0.6,0.563
-12050.1,14000.1,3.103,15.3,16.3,293G,6,-1.5,0.6,0.583
-12112.6,14062.6,3.132,17.4,15.9,293G,6,-1.5,0.67,0.568
-12175.2,14125.2,3.163,17.8,17.9,293G,6,-1.5,0.68,0.634
-12237.8,14187.8,3.192,17.4,14.9,293G,6,-1.5,0.67,0.535
-12626.6,14576.6,3.252,19.8,12,293G,6,-1.5,0.75,0.438
-12818.7,14768.7,3.268,19.1,13.2,293G,6,-1.5,0.73,0.479
-13202.9,15152.9,3.297,14.8,12.4,293G,6,-1.5,0.58,0.453
-13395,15345,3.312,13.7,12.7,293G,6,-1.5,0.55,0.464
-13587,15537,3.328,11.7,12.3,293G,6,-1.5,0.48,0.45
-13869.9,15819.9,3.373,10,13.1,293G,6,-1.5,0.43,0.477
-14058.5,16008.5,3.402,10.4,12.2,293G,6,-1.5,0.44,0.448
-14247.1,16197.1,3.433,11.4,12.7,293G,6,-1.5,0.47,0.462
-14435.7,16385.7,3.462,11.8,13.2,293G,6,-1.3,0.48,0.48
-14624.3,16574.3,3.487,12.1,12.5,293G,6,-0.5,0.5,0.458
-14812.9,16762.9,3.513,12.1,11.8,293G,7,-1.5,0.49,0.434
-15001.5,16951.5,3.542,11.9,12.4,293G,7,-1.5,0.49,0.454
-15190.1,17140.1,3.572,13.5,14.6,293G,7,-1.5,0.54,0.527
-15378.7,17328.7,3.603,11.5,10.9,293G,7,-1.5,0.47,0.404
-15567.3,17517.3,3.632,11.4,10.2,293G,7,-1.5,0.47,0.38
-15755.9,17705.9,3.663,9.5,10.1,393G,7,-1.5,0.41,0.378
-15944.5,17894.5,3.692,10.8,11.5,293G,7,-1.5,0.45,0.423
-16133.1,18083.1,3.723,12.8,13.4,293G,7,-1.5,0.52,0.486
-16321.7,18271.7,3.752,12.5,13,293G,7,-1.5,0.51,0.472
-16510.3,18460.3,3.783,12.8,13.7,293G,7,-1.5,0.52,0.495
-16698.9,18648.9,3.812,14.4,13.6,293G,7,-1.5,0.57,0.494
-16887.5,18837.5,3.842,14.2,13,293G,7,-1.5,0.56,0.471
-17076.1,19026.1,3.873,15.4,13.4,293G,7,-1.5,0.6,0.487
-17263.5,19213.5,3.902,13.4,13.4,293G,7,-1.5,0.54,0.487
-17452.1,19402.1,3.933,13.8,13.2,293G,7,-1.5,0.55,0.479
