year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],Al (unitless) [3-1],Fe (unitless) [3-1],% Mg (unitless) [3-1],Na (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% K (unitless) [3-1],P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
-3715.139,5665.139,145.5,53137,CAL,0,0,0,16350,0,0,12262,0,24525,0,0,0,972818,-3883,5833,175,6.51,CAL,-3715.139,5665.139,145,CAL,29.743,9.387,3.21,2.17,1.47,4.26,1.175,4.985,12.463,0.99,0.22,0.16,0.014,143,7,422,0.7,12,8,143,76.9,14.8,40,148,4,6.4,371,105,15.7,33.6,180,16.58,1.58,13.167,15,839.161,131.464,1.408,1408.049,112.644,375.48,3.575
-3883.244,5833.243,150.25,137174,CAL,0,3919,7839,58789,0,19596,35273,0,11758,0,0,0,109739,-3917,5867,176,7.98,CAL,-3883.244,5833.243,150,CAL,29.743,9.387,2.86,1.6,1.31,3.78,1.047,9.653,24.133,0.89,0.19,0.14,0.013,127,7,870,0.6,7,6,122,62.6,13.5,24,111,8,5.8,536,86,14.2,32,158,15.41,3.16,26.333,12.25,551.181,304.196,1.15,1149.906,65.709,225.288,5.292
-3916.865,5866.864,150.75,125588,CAL,0,0,4186,29304,0,4186,33490,0,46049,0,0,8373,820513,-4051,6001,180,6.52,CAL,-3916.865,5866.864,151,CAL,29.743,9.387,3.21,1.99,1.46,4.14,1.175,4.855,12.138,1.04,0.21,0.16,0.014,144,14,1240,0.7,11,8,142,73.8,15.1,33,138,4,6.6,377,109,15.7,34.6,179,16.93,1.51,12.583,15.42,763.889,386.293,1.447,1447.474,103.257,309.771,4.364
-4051.349,6001.349,155.5,48485,CAL,0,3463,0,13853,0,3463,10390,0,10390,0,0,6926,72727,-4219,6169,185,6.47,CAL,-4051.349,6001.349,155,CAL,29.743,9.387,2.56,1.39,1.24,3.82,0.937,10.763,26.908,0.86,0.18,0.13,0.011,115,8,628,0.5,7,6,118,62.7,10.9,23,106,-2,5.1,602,82,13.5,26.8,142,16.26,3.41,28.417,12.85,608.696,245.312,1.206,1206.228,65.709,215.901,5
-4219.453,6169.453,160.5,92728,CAL,0,0,0,3864,7727,23182,30909,0,19318,0,3864,3864,567951,-4388,6338,190,6.97,CAL,-4219.453,6169.453,160,CAL,29.743,10.535,2.65,1.59,1.22,3.6,0.97,11.23,28.075,0.85,0.17,0.13,0.012,121,9,820,0.6,5,7,104,59.5,12.9,20,102,2,5.2,618,73,12.9,29.3,130,14.93,3.67,30.583,11.26,413.223,309.434,1.186,1186.271,52.676,210.705,6.05
-4387.559,6337.559,165.5,16650,CAL,0,0,0,0,3330,0,3330,0,9990,0,0,0,93240,-4724,6674,200,6.58,CAL,-4387.559,6337.559,165,CAL,29.743,9.387,2.49,1.7,1.17,3.59,0.911,9.789,24.472,0.79,0.16,0.12,0.011,114,-3,904,0.5,8,5,109,62.6,11.3,25,112,-2,4.8,533,85,12.3,25.2,137,15.61,3.16,26.333,12.45,701.754,363.052,1.169,1168.68,75.096,234.675,4.56
-4555.663,6505.663,170.5,90273,CAL,0,0,0,27082,22568,13541,9027,0,18055,0,0,0,568720,-4892,6842,205,7.21,CAL,-4555.663,6505.663,170,CAL,29.743,10.317,2.49,1.46,1.22,3.8,0.911,10.989,27.472,0.82,0.2,0.12,0.011,115,12,960,0.6,8,6,120,63.4,13.1,22,114,6,5.3,598,82,13.8,29,146,16.12,3.37,28.083,12.75,695.652,385.542,1.315,1315.388,82.534,226.969,5.227
-4723.769,6673.769,175.5,22320,CAL,0,0,0,4960,0,2480,7440,0,4960,0,2480,0,34722,-5060,7010,210,7.34,CAL,-4723.769,6673.769,175,CAL,29.743,10.117,2.83,1.64,1.31,3.67,1.036,11.564,28.911,0.99,0.21,0.14,0.013,134,8,926,0.6,4,6,114,62.2,13,17,104,5,6,653,74,15,30.8,135,14.94,3.52,29.333,11.42,298.507,327.208,1.155,1155.346,40.467,171.987,7.882
-4891.873,6841.873,180.5,88594,CAL,0,0,4027,32216,4027,12081,28189,0,8054,0,0,0,140944,-5228,7178,215,6.72,CAL,-4891.873,6841.873,180,CAL,29.743,9.991,2.55,1.63,1.24,3.72,0.933,12.767,31.917,0.91,0.24,0.13,0.012,119,8,698,0.6,6,6,111,63.3,10.9,22,112,-2,5.3,696,79,14.1,26.8,137,15.34,3.83,31.917,11.51,504.202,273.725,1.15,1150.004,59.948,219.81,5.409
-5059.979,7009.979,185.5,177339,CAL,0,26273,0,52545,19704,13136,26273,0,19704,0,0,19704,137931,-5564,7514,225,6.17,CAL,-5059.979,7009.979,185,CAL,29.743,9.48,2.51,1.44,1.25,3.64,0.919,14.681,36.703,0.89,0.35,0.13,0.012,121,7,909,0.5,5,7,111,58.7,12.2,17,103,4,5.3,797,78,13.7,28.3,125,14.83,4.16,34.667,10.67,413.223,362.151,1.012,1011.513,47.4,161.159,7.118
-5228.083,7178.083,190.5,92314,CAL,0,0,0,30772,9231,6154,27694,0,3077,0,3077,12309,193861,-5901,7851,235,4.55,CAL,-5228.083,7178.083,190,CAL,29.743,10.317,2.35,1.37,1.18,3.61,0.86,13.24,33.1,0.82,0.25,0.12,0.011,109,3,692,0.5,5,5,110,57.4,11.2,18,105,-2,5,694,77,13.2,25.2,120,15.41,4.18,34.833,11.23,458.716,294.468,1.159,1158.573,51.584,185.702,6.056
-5396.189,7346.189,195.5,22858,CAL,0,0,0,7619,0,0,0,3810,0,0,0,11429,53333,-6069,8019,240,5.01,CAL,-5396.189,7346.189,195,CAL,29.743,9.201,2.6,1.52,1.2,3.26,0.952,13.748,34.371,0.85,0.28,0.13,0.012,123,5,853,0.6,5,6,106,55.6,13.2,15,99,5,5.4,730,74,12.9,29.2,115,14.34,4.18,34.833,10.16,406.504,328.077,0.935,934.825,46.005,138.016,8.2
-5564.293,7514.293,200.5,73614,CAL,0,0,0,32206,4601,4601,13803,0,18403,0,0,0,32206,-6405,8355,250,4.75,CAL,-5564.293,7514.293,200,CAL,29.743,10.735,2.54,1.43,1.17,3.34,0.93,13.57,33.926,0.81,0.23,0.13,0.012,118,8,923,0.6,6,7,108,59.5,13,15,102,5,5.2,704,74,13,27.9,117,14.9,4.21,35.083,10.69,508.475,363.386,1.148,1147.589,64.411,161.027,7.867
-5732.399,7682.399,205.5,37415,CAL,0,0,0,6803,0,6803,3401,0,13605,0,0,6803,47619,-6573,8523,255,4.63,CAL,-5732.399,7682.399,205,CAL,29.743,11.154,2.64,1.57,1.17,3.27,0.966,12.234,30.584,0.82,0.17,0.13,0.012,120,7,832,0.6,6,5,107,56.7,12.1,15,101,2,5.1,650,74,12.7,26.4,121,14.99,3.98,33.167,11.01,500,315.152,1.228,1228.007,66.921,167.303,8
-5900.503,7850.503,210.5,8646,CAL,0,0,2882,0,0,0,0,0,2882,0,0,2882,20171,-6741,8691,260,4.67,CAL,-5900.503,7850.503,210,CAL,29.743,10.889,2.5,1.62,1.12,3.07,0.915,14.485,36.212,0.78,0.15,0.12,0.012,117,15,813,0.5,5,7,103,55.9,12.7,15,100,6,4.9,742,72,12.7,26,111,14.62,4.61,38.417,10.01,427.35,325.2,1.09,1089.947,54.443,163.329,7.8
-6236.713,8186.713,220.5,13001,CAL,0,0,0,0,0,0,3250,0,9751,0,0,0,0,-6909,8859,265,4.51,CAL,-6068.609,8018.609,215,CAL,29.743,10.177,2.76,1.6,1.2,3.27,1.01,11.19,27.975,0.83,0.15,0.14,0.013,127,-3,882,0.6,6,6,120,60.9,13.2,19,110,-2,5.4,604,81,13.3,28.5,119,15.49,3.71,30.917,11.78,472.441,319.565,1.199,1198.886,61.064,193.369,6.684
-6572.923,8522.924,230.5,0,CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-7077,9027,270,4.72,CAL,-6236.713,8186.713,220,CAL,29.743,11.981,2.93,1.81,1.21,3.19,1.072,11.828,29.569,0.89,0.16,0.14,0.013,132,10,716,0.6,5,8,115,59.6,13.6,20,106,-2,5.6,633,79,13.9,28.7,118,14.73,3.78,31.5,10.95,378.788,244.369,1.312,1311.927,59.905,239.621,6.6
-6909.133,8859.133,240.5,0,CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-7245,9195,275,2.59,CAL,-6404.819,8354.818,225,CAL,29.743,10.526,3.08,1.85,1.25,3.13,1.127,11.573,28.932,0.91,0.17,0.15,0.014,140,5,1030,0.7,6,7,115,64.4,14.8,22,111,4,5.9,624,82,14.1,32.8,122,14.73,3.67,30.583,11.06,428.571,334.416,1.164,1164.172,63.156,231.571,6.364
-7245.343,9195.344,250.5,7270,CAL,0,0,0,0,0,0,0,0,7270,0,0,0,0,-7413,9363,280,5.33,CAL,-6572.923,8522.924,230,CAL,29.743,11.586,3.03,1.81,1.21,3.07,1.109,12.791,31.978,0.9,0.15,0.15,0.014,136,6,813,0.6,6,7,121,56.7,14.9,22,110,4,5.9,663,77,13.9,30.5,119,13.86,4.09,34.083,9.77,441.176,268.317,1.132,1131.943,69.515,254.89,6.182
-7581.553,9531.553,260.5,11831,CAL,0,0,0,0,0,0,7887,0,3944,0,0,0,0,-7582,9532,285,5.22,CAL,-6741.029,8691.029,235,CAL,29.743,11.618,2.61,1.71,1.09,3.09,0.955,13.345,33.362,0.77,0.13,0.12,0.011,114,7,868,0.5,8,8,95,50.1,12.4,24,99,-2,4.8,662,78,11.7,25.3,105,14.13,4.39,36.583,9.74,701.754,332.567,1.132,1131.637,92.948,278.843,4.75
-7917.764,9867.763,270.5,6534,CAL,0,0,0,0,0,0,6534,0,0,0,0,0,0,-7750,9700,290,5.51,CAL,-6909.133,8859.133,240,CAL,29.743,11.525,2.77,1.73,1.15,3.03,1.014,13.886,34.715,0.85,0.14,0.14,0.012,121,14,792,0.6,6,7,99,54.9,13.4,23,99,3,5.5,718,74,13.3,29.1,108,13.7,4.52,37.667,9.18,495.868,285.921,1.058,1058.039,69.153,265.086,5.261
