age (BP),year (AD),age (BP),age (1s),age (1s),HumidificationIndex (missing)
2587,-673,2623,97,38,49
2620,-697,2647,91,38,55
2652,-721,2671,85,38,54
2685,-745,2695,80,38,50
2718,-768,2718,75,38,41
2750,-792,2742,71,38,53
2783,-814,2764,68,38,52
2816,-837,2787,66,37,34
2849,-859,2809,64,37,49
2881,-881,2831,64,37,33
2914,-903,2853,65,37,23
2947,-924,2874,67,37,17
2979,-945,2895,70,37,19
3012,-965,2915,73,37,19
3045,-985,2935,78,37,23
3073,-1005,2955,75,37,55
3097,-1023,2973,66,36,45
3122,-1041,2991,59,36,58
3146,-1058,3008,53,36,57
3170,-1075,3025,51,35,61
3194,-1090,3040,51,35,35
3219,-1106,3056,55,34,36
3243,-1120,3070,61,34,34
3258,-1134,3084,64,33,34
3263,-1148,3098,61,32,31
3268,-1161,3111,58,32,24
3273,-1173,3123,56,31,18
3278,-1186,3136,53,30,16
3283,-1198,3148,51,30,45
3288,-1209,3159,48,29,39
3293,-1221,3171,46,28,21
3298,-1233,3183,44,28,17
3303,-1244,3194,42,27,17
3308,-1255,3205,41,27,16
3313,-1267,3217,39,26,15
3318,-1278,3228,38,26,15
3323,-1289,3239,37,26,14
3328,-1301,3251,37,25,17
3333,-1313,3263,36,25,17
3338,-1325,3275,37,25,19
3343,-1337,3287,37,25,18
3348,-1350,3300,38,25,15
3353,-1363,3313,39,25,14
3358,-1376,3326,40,24,21
3363,-1390,3340,41,24,14
3368,-1405,3355,43,24,15
3374,-1420,3370,42,24,13
3381,-1434,3384,38,24,18
3387,-1448,3398,35,24,38
3394,-1460,3410,33,24,13
3400,-1472,3422,32,24,14
3407,-1484,3434,33,24,13
3413,-1494,3444,35,24,13
3420,-1505,3455,38,24,11
3426,-1514,3464,41,24,13
3433,-1524,3474,46,24,13
3443,-1532,3482,47,24,14
3456,-1541,3491,44,24,17
3469,-1549,3499,42,24,17
3483,-1557,3507,40,24,13
3496,-1564,3514,39,25,15
3509,-1572,3522,39,25,17
3523,-1579,3529,39,25,18
3536,-1586,3536,40,26,17
3549,-1594,3544,42,26,19
3562,-1601,3551,44,26,16
3576,-1608,3558,47,27,14
3589,-1616,3566,50,27,14
3602,-1623,3573,53,28,13
3616,-1631,3581,57,28,16
3629,-1639,3589,61,29,15
3642,-1648,3598,65,30,17
3653,-1656,3606,64,30,14
3661,-1665,3615,60,31,16
3670,-1675,3625,55,31,37
3678,-1685,3635,52,32,40
3686,-1696,3646,49,32,50
3695,-1707,3657,46,33,48
3703,-1719,3669,45,33,48
3711,-1732,3682,45,34,54
3720,-1745,3695,46,34,41
3728,-1759,3709,48,35,21
3736,-1774,3724,51,35,27
3745,-1790,3740,55,35,24
3753,-1807,3757,59,36,23
3772,-1824,3774,57,36,21
3802,-1842,3792,51,36,55
3833,-1860,3810,47,36,36
3863,-1878,3828,48,36,26
3893,-1896,3846,53,37,17
3924,-1915,3865,60,37,14
3954,-1933,3883,70,37,14
3979,-1952,3902,73,37,13
3998,-1971,3921,69,37,15
4017,-1990,3940,65,38,38
4036,-2009,3959,62,38,25
4055,-2029,3979,59,38,53
4074,-2049,3999,57,38,39
4093,-2070,4020,55,39,33
4112,-2090,4040,54,39,54
4131,-2112,4062,54,40,42
4151,-2133,4083,54,40,37
4170,-2155,4105,55,41,47
4189,-2178,4128,56,41,56
4208,-2201,4151,58,41,57
4227,-2225,4175,61,42,56
4246,-2249,4199,64,42,54
4265,-2274,4224,67,43,52
4284,-2299,4249,71,43,58
4303,-2325,4275,75,44,61
4327,-2352,4302,72,44,38
4354,-2379,4329,67,44,26
4381,-2407,4357,68,45,24
4409,-2436,4386,74,45,21
4436,-2465,4415,85,45,23
4463,-2496,4446,99,45,22
4491,-2527,4477,115,45,25
4518,-2559,4509,132,45,22
4545,-2591,4541,126,45,24
4571,-2624,4574,121,45,51
4598,-2658,4608,115,45,55
4624,-2692,4642,110,45,51
4651,-2726,4676,106,45,58
4678,-2761,4711,102,45,49
4704,-2796,4746,98,44,57
4731,-2832,4782,94,44,57
4758,-2868,4818,92,44,46
4784,-2904,4854,89,44,58
4811,-2941,4891,88,44,56
4837,-2978,4928,87,44,57
4864,-3016,4966,87,44,54
4891,-3054,5004,87,43,45
4917,-3093,5043,88,43,57
4944,-3132,5082,90,43,58
4971,-3171,5121,93,43,56
4997,-3210,5160,96,43,58
5024,-3251,5201,99,43,56
5050,-3291,5241,103,43,52
5077,-3332,5282,108,43,55
5104,-3373,5323,112,43,56
5138,-3414,5364,112,43,58
5181,-3456,5406,106,43,61
5223,-3499,5449,100,43,60
5266,-3541,5491,94,44,59
5308,-3584,5534,89,44,60
5350,-3628,5578,84,44,62
5393,-3671,5621,80,45,65
5435,-3715,5665,76,45,64
5478,-3760,5710,74,46,63
5520,-3804,5754,71,47,65
5563,-3849,5799,70,47,65
5605,-3895,5845,70,48,64
5648,-3940,5890,70,49,69
5690,-3986,5936,72,50,67
5732,-4032,5982,74,52,57
5775,-4079,6029,77,53,58
5817,-4126,6076,81,54,59
5860,-4173,6123,86,56,56
5926,-4221,6171,85,58,59
6016,-4268,6218,80,59,62
6106,-4317,6267,76,61,69
6195,-4365,6315,72,63,64
6285,-4414,6364,69,66,69
6375,-4463,6413,67,68,69
6465,-4512,6462,65,70,70
6555,-4561,6511,64,73,79
6644,-4611,6561,65,76,74
6734,-4661,6611,66,79,74
6824,-4712,6662,68,82,73
6914,-4762,6712,71,85,73
7004,-4813,6763,74,88,45
7094,-4864,6814,79,91,44
7183,-4915,6865,83,95,42
7273,-4967,6917,88,98,51
7363,-5019,6969,94,102,69
7456,-5071,7021,82,106,83
7549,-5123,7073,71,110,87
7642,-5176,7126,63,114,85
7735,-5229,7179,57,118,85
7828,-5282,7232,56,123,84
7921,-5336,7286,58,127,80
8014,-5390,7340,65,132,72
8069,-5444,7394,68,136,72
8087,-5499,7449,71,141,65
8106,-5554,7504,79,146,62
8124,-5609,7559,90,151,59
8142,-5664,7614,104,156,66
8161,-5720,7670,120,161,67
8179,-5776,7726,137,166,62
8197,-5833,7783,154,171,54
8215,-5890,7840,172,177,55
8234,-5947,7897,190,182,62
8252,-6004,7954,209,188,61
8270,-6062,8012,228,193,60
8289,-6120,8070,246,199,59
8307,-6179,8129,266,205,63
8325,-6237,8187,285,211,61
8344,-6296,8246,304,217,55
8362,-6356,8306,323,223,56
8380,-6416,8366,342,229,45
8398,-6476,8426,362,235,51
8417,-6536,8486,381,241,51
8435,-6597,8547,401,248,51
8453,-6658,8608,420,254,51
8472,-6719,8669,440,261,47
8490,-6781,8731,459,267,45
8508,-6843,8793,479,274,47
