depth (m),age (BP),temperature (permil),depth (m),age (BP),temperature (degC)
212,8510,-1.128,NA,NA,NA
215,8530,-1.343,NA,NA,NA
218,8540,-1.185,NA,NA,NA
221,8550,-1.246,NA,NA,NA
224,8560,-1.659,NA,NA,NA
227,8570,-1.061,NA,NA,NA
230,8580,-1.148,NA,NA,NA
233,8590,-1.769,NA,NA,NA
236,8600,-1.35,NA,NA,NA
239,8610,-0.637,NA,NA,NA
242,8620,-1.122,NA,NA,NA
245,8630,-1.206,NA,NA,NA
248,8640,-1.187,NA,NA,NA
251,8650,-0.836,NA,NA,NA
254,8660,-1.016,NA,NA,NA
257,8660,-0.859,NA,NA,NA
260,8670,-0.593,NA,NA,NA
263,8680,-1.187,NA,NA,NA
266,8690,-0.928,NA,NA,NA
269,8690,-1.343,NA,NA,NA
272,8700,-1.18,NA,NA,NA
275,8710,-0.893,NA,NA,NA
278,8720,-0.946,NA,NA,NA
281,8730,-1.08,NA,NA,NA
284,8740,-1.243,NA,NA,NA
287,8750,-1.235,NA,NA,NA
290,8760,-1.001,NA,NA,NA
293,8770,-1.468,NA,NA,NA
296,8780,-0.921,NA,NA,NA
299,8790,-0.911,NA,NA,NA
301,8790,-1.657,NA,NA,NA
303,8800,-1.291,NA,NA,NA
306,8810,-1.535,NA,NA,NA
309,8810,-0.103,NA,NA,NA
312,8820,-0.955,NA,NA,NA
315,8830,-1.278,NA,NA,NA
318,8840,-1.354,NA,NA,NA
321,8840,-1.79,NA,NA,NA
324,8850,-1.204,NA,NA,NA
327,8850,-1.274,NA,NA,NA
330,8860,-1.525,NA,NA,NA
333,8860,-0.995,NA,NA,NA
336,8870,-1.441,NA,NA,NA
339,8870,-0.903,NA,NA,NA
342,8870,-1.101,NA,NA,NA
345,8870,-0.203,NA,NA,NA
348,8870,-0.998,NA,NA,NA
351,8870,-0.923,NA,NA,NA
354,8870,-1.178,NA,NA,NA
357,8880,-1.233,NA,NA,NA
360,8880,-0.996,NA,NA,NA
363,8880,-1.093,NA,NA,NA
366,8890,-1.342,NA,NA,NA
369,8890,-0.294,NA,NA,NA
372,8890,-0.791,NA,NA,NA
375,8890,-1.116,NA,NA,NA
378,8900,-0.73,NA,NA,NA
381,8910,-0.278,NA,NA,NA
384,8920,-0.728,NA,NA,NA
387,8930,-0.906,NA,NA,NA
390,8940,-0.577,NA,NA,NA
393,8940,-1.103,NA,NA,NA
396,8950,-0.984,NA,NA,NA
399,8960,-1.77,NA,NA,NA
403,8980,-1.336,NA,NA,NA
406,8990,-1.387,NA,NA,NA
409,9000,-1.119,NA,NA,NA
412,9010,-1.374,NA,NA,NA
415,9020,-1.86,NA,NA,NA
418,9040,-1.717,NA,NA,NA
421,9050,-1.497,NA,NA,NA
424,9060,-1.241,NA,NA,NA
427,9070,-1.079,NA,NA,NA
430,9090,-1.056,NA,NA,NA
433,9100,-1.163,NA,NA,NA
436,9110,-1.245,NA,NA,NA
439,9130,-1.201,NA,NA,NA
442,9140,-1.38,NA,NA,NA
445,9150,-0.175,NA,NA,NA
448,9160,-0.304,NA,NA,NA
451,9180,-1.055,NA,NA,NA
454,9190,-1.593,NA,NA,NA
457,9200,-1.116,NA,NA,NA
460,9210,-1.121,NA,NA,NA
463,9220,-0.768,NA,NA,NA
466,9230,-0.863,NA,NA,NA
469,9230,-1.371,NA,NA,NA
472,9240,-0.687,NA,NA,NA
475,9250,-1.192,NA,NA,NA
478,9260,-0.467,NA,NA,NA
481,9280,-0.398,NA,NA,NA
484,9290,-1.227,NA,NA,NA
487,9300,-0.657,NA,NA,NA
490,9310,-0.93,NA,NA,NA
493,9320,-1.548,NA,NA,NA
496,9330,-1.166,NA,NA,NA
499,9340,-0.434,NA,NA,NA
503,9360,-0.917,NA,NA,NA
506,9370,-1.492,NA,NA,NA
509,9380,-1.257,NA,NA,NA
512,9390,-1.356,NA,NA,NA
515,9400,-1.282,NA,NA,NA
518,9410,-1.91,NA,NA,NA
521,9420,-1.201,NA,NA,NA
524,9430,-1.337,NA,NA,NA
527,9440,-1.356,NA,NA,NA
530,9450,-1.529,NA,NA,NA
533,9460,-1.302,NA,NA,NA
536,9470,-1.104,NA,NA,NA
539,9480,-1.281,NA,NA,NA
542,9490,-1.105,NA,NA,NA
545,9510,-0.504,NA,NA,NA
548,9520,-2.337,NA,NA,NA
551,9530,-1.438,NA,NA,NA
554,9550,-1.936,NA,NA,NA
557,9560,-2.101,NA,NA,NA
