depth (cm),age (BP),BSi (percent),mineral_flux (grains>255 micron/cm2/yr)
194,4440,21.941,0.194
196,4491.429,21.786,0.114
198,4542.857,15.26,0.102
200,4594.286,13.378,0.129
202,4645.714,16.162,0.23
204,4697.143,19.297,0.14
206,4748.571,20.025,0.241
208,4800,20.229,0.145
210,4851.429,21.821,0.151
212,4902.857,21.396,0.272
214,4954.286,23.613,0.249
216,5005.714,23.494,0.357
218,5057.143,23.267,0.235
220,5108.571,23.469,0.153
222,5160,23.306,0.245
224,5204.3,23.243,NA
226,5248.6,21.892,0.263
228,5292.9,21.211,0.109
230,5337.2,21.05,0.171
232,5381.5,21.953,0.075
234,5425.8,22.928,0.159
236,5470.1,24.239,0.181
238,5514.4,23.856,0.183
240,5558.7,NA,0.102
242,5603,26.785,0.258
244,5647.3,27.689,0.216
246,5691.6,28.34,0.158
248,5735.9,16.503,0.14
250,5780.2,23.857,0.247
252,5824.5,23.968,0.178
254,5868.8,27.147,0.053
256,5913.1,29.1,0.098
258,5957.4,29.333,0.166
260,6001.7,28.551,0.084
262,6046,27.623,0.221
264,6074.091,27.075,0.244
266,6101.818,26.76,0.26
268,6129.545,26.862,0.227
270,6157.273,26.771,0.3
272,6185,26.606,0.166
274,6212.727,27.912,0.102
276,6240.455,27.101,0.144
278,6268.182,28.118,0.124
280,6295.909,26.863,0.119
282,6323.636,25.635,0.14
284,6351.364,24.92,0.128
286,6379.091,23.18,0.195
288,6406.818,24.21,0.066
290,6434.545,26.541,0.108
292,6462.273,28.739,0.059
294,6490,29.712,0.072
296,6517.727,29.211,0.121
298,6545.455,28.86,0.221
300,6573.182,28.491,0.079
302,6600.909,24.967,0.054
304,6628.636,23.705,0.118
306,6656.364,25.462,0.144
308,6684.091,26.643,0.26
310,6711.818,26.819,0.179
312,6739.545,27.041,0.332
314,6767.273,26.475,0.361
316,6795,28.115,0.31
318,6822.727,29.861,0.476
320,6850.455,31.015,0.381
322,6878.182,30.853,0.34
324,6905.909,29.209,0.311
326,6933.636,28.681,0.512
328,6961.364,30.975,0.57
330,6989.091,32.512,0.484
332,7016.818,32.101,0.707
334,7044.545,34.536,0.55
336,7072.273,36.388,0.915
338,7100,34.108,0.265
340,7167.143,30.204,0.514
342,7234.286,27.098,0.963
344,7301.429,26.267,1.267
346,7368.571,29.598,NA
348,7435.714,32.786,1.121
350,7502.857,32.458,0.332
352,7570,31.18,0.914
354,7637.143,29.692,1.281
356,7704.286,26.756,1.579
358,7771.429,26.409,0.626
360,7838.571,27.966,0.463
362,7905.714,26.838,0.572
364,7972.857,25.516,0.365
366,8040,26.097,0.574
368,8107.143,29.049,0.487
370,8174.286,30.392,0.337
372,8241.429,30.026,0.431
374,8308.571,28.879,0.33
376,8375.714,30.479,0.42
378,8442.857,30.277,0.348
380,8510,29.839,0.163
382,8644.615,27.909,0.161
384,8779.231,21.352,0.108
386,8913.846,19.89,0.242
388,9048.462,23.864,0.261
390,9183.077,20.368,0.334
392,9317.692,22.762,0.306
394,9452.308,25.078,0.253
396,9586.923,29.773,0.477
398,9721.538,29.342,0.453
400,9856.154,29.448,0.451
402,9990.769,26.974,0.685
404,10125.385,26.821,0.939
406,10260,12,0.616
408,10334.286,27.039,1.034
410,10408.571,27.423,0.629
412,10482.857,27.656,0.831
414,10557.143,25.946,0.527
416,10631.429,19.267,6.444
418,10705.714,12.364,4.981
420,10780,9.878,3.621
422,10854.286,18.021,3.545
424,10928.571,20.725,24.615
426,11002.857,8.448,4.728
428,11077.143,5.048,43.077
NA,NA,5.038,NA
NA,NA,7.083,NA
NA,NA,4.569,NA
