depth (cm),age (BP),MS (cgs)
202,6043.165,56
202.5,6058.996,94
203,6074.816,137
203.5,6090.627,163.8
204,6106.426,162.8
204.5,6122.216,121.7
205,6137.994,87.6
205.5,6153.762,92.5
206,6169.519,133.4
206.5,6185.265,158.3
207,6201.001,113.2
207.5,6216.725,17.1
208,6232.437,14.1
208.5,6248.139,15.9
209,6263.829,16.8
209.5,6279.507,15.7
210,6295.174,11.6
210.5,6310.829,12.5
211,6326.472,13.4
211.5,6342.103,13.3
212,6357.723,13.2
212.5,6373.33,13.2
213,6388.925,15.1
213.5,6404.507,19
214,6420.077,21
214.5,6435.635,24
215,6451.179,62
215.5,6466.711,133
216,6482.231,124
216.5,6497.737,130
217,6513.23,215
217.5,6528.71,196
218,6544.177,174
218.5,6559.631,184
219,6575.071,146
219.5,6590.497,90
220,6605.91,99
220.5,6621.309,52
221,6636.694,24
221.5,6652.065,23
222,6667.422,20
222.5,6682.765,20
223,6698.094,16
223.5,6713.408,14.9
224,6728.708,14.7
224.5,6743.993,18.6
225,6759.263,21.5
225.5,6774.519,22.4
226,6789.76,22.4
226.5,6804.986,29.3
227,6820.197,62.2
227.5,6835.392,131.1
228,6850.573,163.1
228.5,6865.738,145
229,6880.887,151
229.5,6896.021,123
230,6911.139,62
230.5,6926.242,78
231,6941.328,151
231.5,6956.399,160
232,6971.453,252
232.5,6986.492,232
233,7001.513,203
233.5,7016.519,188.9
234,7031.508,165.8
234.5,7046.481,56.7
235,7061.436,97.6
235.5,7076.375,101.5
236,7091.297,69.4
236.5,7106.202,43.3
237,7121.09,29.2
237.5,7135.961,45.2
238,7150.814,104.1
238.5,7165.65,254
239,7180.469,156
239.5,7195.27,148
240,7210.053,99
240.5,7224.818,114
241,7239.566,34
241.5,7254.295,156
242,7269.006,207
242.5,7283.7,41
243,7298.374,71
243.5,7313.031,72.9
244,7327.668,51.8
244.5,7342.288,99.7
245,7356.888,62.6
245.5,7371.47,156.5
246,7386.032,214.4
246.5,7400.576,198.4
247,7415.101,141.3
247.5,7429.606,82.2
248,7444.092,191.1
248.5,7458.558,190
249,7473.005,42
249.5,7487.433,43
250,7501.84,78
250.5,7516.228,114
251,7530.596,93
251.5,7544.944,69
252,7559.272,155
252.5,7573.579,176
253,7587.866,58
253.5,7602.133,108
254,7616.379,131
254.5,7630.604,123
255,7644.809,113
255.5,7658.993,187
256,7673.155,176
256.5,7687.297,217
257,7701.418,187
257.5,7715.517,136
258,7729.595,182
258.5,7743.652,233.9
259,7757.687,282.8
259.5,7771.7,246.7
260,7785.692,303.6
260.5,7799.662,156.5
261,7813.609,158.4
261.5,7827.535,338.3
262,7841.439,285.2
262.5,7855.32,218.1
263,7869.179,217.1
263.5,7883.015,220
264,7896.829,125
264.5,7910.62,83
265,7924.388,204
265.5,7938.134,143
266,7951.856,82
266.5,7965.556,174
267,7979.232,182
267.5,7992.885,253
268,8006.515,291
268.5,8020.121,332
269,8033.703,258
269.5,8047.262,186
270,8060.797,173
270.5,8074.308,197
271,8087.795,237
271.5,8101.259,102
272,8114.697,215
272.5,8128.112,275
273,8141.502,200
273.5,8154.868,201.9
274,8168.209,242.8
274.5,8181.525,240.7
275,8194.817,237.6
275.5,8208.084,240.6
276,8221.325,119.5
276.5,8234.542,176.3
277,8260.899,201.2
277.5,8287.155,206.4
278,8313.308,263.3
278.5,8339.358,296.2
279,8365.304,276.1
279.5,8391.146,225.1
280,8416.881,181
280.5,8442.51,85
281,8468.032,80
281.5,8493.445,25
282,8518.75,20
282.5,8543.945,145
283,8569.029,148
283.5,8594.002,75
284,8618.863,71
284.5,8643.611,102
285,8668.245,88
285.5,8692.764,135
286,8717.168,213
286.5,8741.456,144
287,8765.627,327
287.5,8789.68,366
288,8813.614,469
288.5,8837.429,316
289,8861.123,143
289.5,8884.697,120
290,8908.149,74.1
290.5,8931.478,84.3
291,8954.683,167.3
291.5,8977.764,270.4
292,9000.72,185.5
292.5,9023.55,128.6
293,9046.253,175.7
293.5,9068.829,255.8
294,9091.277,285.8
294.5,9113.595,289
295,9135.783,449
295.5,9157.84,336
296,9179.766,334
296.5,9201.56,419
297,9223.22,411
297.5,9244.746,359
298,9266.137,209
298.5,9287.393,486
299,9308.512,443
299.5,9329.494,228
300,9350.338,196.8
300.5,9371.043,235.7
301,9391.608,218.6
301.5,9412.033,343.6
302,9432.316,473.5
302.5,9452.457,515.4
303,9472.456,461.3
303.5,9492.31,439.2
304,9512.02,341.2
304.5,9531.585,404.1
305,9551.003,445
305.5,9570.274,482
306,9589.398,488
306.5,9608.373,363
307,9627.199,287
307.5,9645.874,284
308,9664.398,375
308.5,9682.771,473
309,9700.99,515
309.5,9719.057,466
310,9736.969,57.7
310.5,9754.726,10.6
311,9772.327,14.6
311.5,9789.771,14.5
312,9807.058,15.4
312.5,9824.186,11.4
313,9841.155,8.3
313.5,9857.965,8.3
314,9874.613,13.2
314.5,9891.1,16.1
315,9907.425,14
315.5,9923.586,24
316,9939.583,34
316.5,9955.416,53
317,9971.083,110
317.5,9986.583,92
318,10001.917,33
318.5,10017.082,179
319,10032.078,193
319.5,10046.905,71
320,10061.561,225
320.5,10076.046,155
321,10090.359,150
321.5,10104.499,411
322,10118.465,326
322.5,10132.256,534
323,10145.873,420
323.5,10159.313,306
324,10172.576,216
324.5,10185.661,449
