year (AD),age (BP),temperature (missing),kyryr BP2 (BP),accumulation (m)
1320.217,629.783,-31.79,2.247,0.247
1311.675,638.325,-31.718,2.276,0.248
1303.1,646.9,-31.724,2.305,0.248
1294.729,655.271,-31.782,2.333,0.247
1286.186,663.814,-31.773,2.362,0.245
1277.632,672.368,-31.701,2.391,0.242
1268.856,681.144,-31.659,2.42,0.239
1260.222,689.778,-31.72,2.449,0.235
1251.378,698.622,-31.744,2.478,0.233
1242.417,707.583,-31.809,2.506,0.231
1233.746,716.254,-31.83,2.535,0.229
1225.273,724.727,-31.89,2.564,0.229
1216.256,733.744,-31.974,2.593,0.231
1207.024,742.976,-31.996,2.622,0.233
1198.173,751.827,-31.902,2.65,0.234
1189.426,760.574,-31.714,2.679,0.236
1180.292,769.708,-31.547,2.708,0.238
1170.55,779.45,-31.451,2.737,0.239
1160.638,789.362,-31.385,2.766,0.24
1151.572,798.428,-31.375,2.794,0.242
1142.278,807.722,-31.346,2.823,0.244
1133.06,816.94,-31.313,2.852,0.244
1123.385,826.615,-31.316,2.881,0.245
1114.262,835.738,-31.344,2.91,0.246
1105.605,844.395,-31.36,2.938,0.246
1097.201,852.799,-31.366,2.967,0.245
1089.162,860.838,-31.384,2.996,0.243
1080.78,869.22,-31.378,3.025,0.241
1071.589,878.411,-31.322,3.054,0.238
1063.538,886.462,-31.25,3.083,0.234
1054.903,895.097,-31.278,3.111,0.232
1046.909,903.091,-31.262,3.14,0.231
1037.772,912.228,-31.208,3.169,0.23
1027.778,922.222,-31.028,3.198,0.23
1018.852,931.148,-30.929,3.227,0.23
1010.812,939.188,-30.827,3.255,0.23
1002.316,947.684,-30.624,3.284,0.23
994.133,955.867,-30.496,3.313,0.23
985.061,964.939,-30.463,3.342,0.229
976.097,973.903,-30.528,3.371,0.229
968.375,981.625,-30.635,3.399,0.229
959.672,990.328,-30.673,3.428,0.229
951.451,998.549,-30.675,3.457,0.229
941.94,1008.06,-30.701,3.486,0.23
933.25,1016.75,-30.744,3.515,0.23
925.02,1024.98,-30.886,3.543,0.231
916.27,1033.73,-30.986,3.572,0.232
907.35,1042.65,-31.079,3.601,0.234
898.74,1051.26,-31.082,3.63,0.235
890.73,1059.27,-31.088,3.659,0.236
881.82,1068.18,-31.081,3.688,0.237
872.84,1077.16,-31.14,3.716,0.238
863.59,1086.41,-31.197,3.745,0.238
854.46,1095.54,-31.225,3.774,0.239
845.87,1104.13,-31.26,3.803,0.239
836.94,1113.06,-31.323,3.832,0.239
828.75,1121.25,-31.45,3.86,0.238
819.49,1130.51,-31.565,3.889,0.237
810.96,1139.04,-31.587,3.918,0.236
802.65,1147.35,-31.617,3.947,0.235
794.14,1155.86,-31.666,3.976,0.234
785.24,1164.76,-31.834,4.004,0.233
776.72,1173.28,-31.968,4.033,0.232
769.54,1180.46,-32.059,4.062,0.231
761.13,1188.87,-32.131,4.091,0.231
752.06,1197.94,-32.157,4.12,0.232
743.74,1206.26,-32.188,4.148,0.233
735.28,1214.72,-32.173,4.177,0.234
726,1224,-32.162,4.206,0.235
717.41,1232.59,-32.142,4.235,0.235
708.46,1241.54,-32.059,4.264,0.235
700.46,1249.54,-32,4.292,0.235
691.99,1258.01,-31.918,4.321,0.236
683.09,1266.91,-31.914,4.35,0.236
673.92,1276.08,-31.882,4.379,0.236
664.1,1285.9,-31.829,4.408,0.236
664.1,1285.9,-31.766,4.437,0.236
654.76,1295.24,-31.731,4.465,0.236
654.76,1295.24,-31.77,4.494,0.236
645.96,1304.04,-31.79,4.523,0.237
645.96,1304.04,-31.797,4.552,0.237
637.77,1312.23,-31.742,4.581,0.238
637.77,1312.23,-31.757,4.609,0.239
629.25,1320.75,-31.815,4.638,0.24
620.54,1329.46,-31.876,4.667,0.24
612.08,1337.92,-31.822,4.696,0.24
603.03,1346.97,-31.678,4.725,0.241
593.9,1356.1,-31.606,4.753,0.241
593.9,1356.1,-31.54,4.782,0.24
584.85,1365.15,-31.414,4.811,0.24
574.5,1375.5,-31.337,4.84,0.241
494.83,1455.17,-31.206,4.869,0.241
484.76,1465.24,-31.122,4.897,0.241
475.23,1474.77,-31.05,4.926,0.241
465.46,1484.54,-30.972,4.955,0.24
454.5,1495.5,-30.862,4.984,0.239
444.76,1505.24,-30.613,5.013,0.238
435.14,1514.86,-30.406,5.042,0.238
388.5,1561.5,-30.854,5.07,0.238
379.06,1570.94,-30.868,5.099,0.238
368.8,1581.2,-30.853,5.128,0.239
363.9,1586.1,-30.825,5.157,0.239
363.9,1586.1,-30.803,5.186,0.239
339.92,1610.08,-30.691,5.214,0.238
334.57,1615.43,-30.604,5.243,0.238
329.24,1620.76,-30.474,5.272,0.238
310.73,1639.27,-30.514,5.301,0.238
300.76,1649.24,-30.548,5.33,0.238
290.73,1659.27,-30.603,5.358,0.238
281.48,1668.52,-30.674,5.387,0.238
271.32,1678.68,-30.784,5.416,0.237
261.19,1688.81,-30.929,5.445,0.235
261.19,1688.81,-31.054,5.474,0.234
250.52,1699.48,-31.062,5.502,0.232
240.59,1709.41,-31.037,5.531,0.23
231.07,1718.93,-31.124,5.56,0.228
221.06,1728.94,-31.038,5.589,0.227
210.72,1739.28,-31.095,5.618,0.226
200.38,1749.62,-31.06,5.646,0.225
190.54,1759.46,-31.062,5.675,0.224
180.8,1769.2,-31.036,5.704,0.223
169.71,1780.29,-30.957,5.733,0.223
160.29,1789.71,-30.928,5.762,0.223
149.65,1800.35,-30.984,5.791,0.224
138.58,1811.42,-31.049,5.819,0.226
126.85,1823.15,-31.044,5.848,0.227
116.7,1833.3,-31.045,5.877,0.23
107.13,1842.87,-31.138,5.906,0.231
87.49,1862.51,-31.224,5.935,0.232
78.53,1871.47,-31.204,5.963,0.233
68.12,1881.88,-31.19,5.992,0.232
57.86,1892.14,-31.105,6.021,0.231
48.02,1901.98,-31.035,6.05,0.23
37.55,1912.45,-30.932,6.079,0.229
27.97,1922.03,-30.829,6.107,0.229
18.93,1931.07,-30.591,6.136,0.229
9.74,1940.26,-30.462,6.165,0.229
3.92,1946.08,-30.312,6.194,0.229
-8.56,1958.56,-30.308,6.223,0.229
-18.49,1968.49,-30.253,6.251,0.229
-27.99,1977.99,-30.245,6.28,0.23
-37.76,1987.76,-30.23,6.309,0.23
-47.41,1997.41,-30.21,6.338,0.23
-56.87,2006.87,-30.105,6.367,0.231
-66.53,2016.53,-29.957,6.396,0.232
-69.23,2019.23,-29.862,6.424,0.233
-83.56,2033.56,-29.875,6.453,0.234
-96.14,2046.14,-29.837,6.482,0.235
-96.14,2046.14,-29.8,6.511,0.236
-107.1,2057.1,-29.64,6.54,0.238
-118.24,2068.24,-29.571,6.568,0.239
-128.94,2078.94,-29.641,6.597,0.24
-138.46,2088.46,-29.683,6.626,0.24
-149.3,2099.3,-29.749,6.655,0.239
-158.36,2108.36,-29.779,6.684,0.237
-166.16,2116.16,-29.837,6.712,0.235
-177.76,2127.76,-29.881,6.741,0.233
-189.09,2139.09,-30.016,6.77,0.232
-199.19,2149.19,-30.106,6.799,0.231
-209.4,2159.4,-30.116,6.828,0.231
-220.28,2170.28,-30.024,6.856,0.231
-231.81,2181.81,-29.984,6.885,0.231
-242.24,2192.24,-29.99,6.914,0.23
-252.31,2202.31,-30.032,6.943,0.23
-262.42,2212.42,-30.2,6.972,0.229
-272.78,2222.78,-30.391,7,0.227
-283.14,2233.14,-30.572,7.029,0.226
-292.9,2242.9,-30.584,7.058,0.227
-302.95,2252.95,-30.556,7.087,0.227
-313.02,2263.02,-30.668,7.116,0.228
-322.97,2272.97,-30.769,7.145,0.229
-342.93,2292.93,-30.682,7.173,0.229
-342.93,2292.93,-30.608,7.202,0.229
-353.03,2303.03,-30.475,7.231,0.229
-363.78,2313.78,-30.301,7.26,0.228
-373.76,2323.76,-30.143,7.289,0.228
-383.94,2333.94,-30.096,7.317,0.229
-404.5,2354.5,-30.123,7.346,0.23
-404.5,2354.5,-30.1,7.375,0.231
-414.83,2364.83,-30.156,7.404,0.231
-422.52,2372.52,-30.173,7.433,0.231
-422.52,2372.52,-30.273,7.461,0.231
-444.24,2394.24,-30.476,7.49,0.231
-455.58,2405.58,-30.53,7.519,0.231
-463.46,2413.46,-30.468,7.548,0.231
-476.53,2426.53,-30.371,7.577,0.231
-484.01,2434.01,-30.317,7.605,0.231
-491.8,2441.8,-30.296,7.634,0.231
-507.24,2457.24,-30.325,7.663,0.232
-517.62,2467.62,-30.397,7.692,0.233
-528.1,2478.1,-30.391,7.721,0.233
-528.1,2478.1,-30.39,7.75,0.234
-549.88,2499.88,-30.355,7.778,0.235
-560.66,2510.66,-30.329,7.807,0.235
-571.09,2521.09,-30.356,7.836,0.234
-580.11,2530.11,-30.534,7.865,0.233
-591.44,2541.44,-30.708,7.894,0.232
-603.75,2553.75,-30.763,7.922,0.231
-614.17,2564.17,-30.827,7.951,0.231
-624.83,2574.83,-30.894,7.98,0.231
-636.38,2586.38,-30.881,8.009,0.232
-647.45,2597.45,-30.852,8.038,0.232
-658.55,2608.55,-30.823,8.066,0.232
-669.46,2619.46,-30.737,8.095,0.232
-680.55,2630.55,-30.736,8.124,0.23
-691.07,2641.07,-30.797,8.153,0.226
-701.62,2651.62,-30.789,8.182,0.223
-711.91,2661.91,-30.716,8.21,0.221
-722.43,2672.43,-30.52,8.239,0.22
-732.8,2682.8,-30.474,8.268,0.22
-743.78,2693.78,-30.583,8.297,0.221
-754.38,2704.38,-30.677,8.326,0.223
-765.62,2715.62,-30.815,8.354,0.223
-776.15,2726.15,-30.9,8.383,0.222
-787.76,2737.76,-30.951,8.412,0.222
-797.92,2747.92,-30.967,8.441,0.221
-808.7,2758.7,-30.943,8.47,0.221
-821.79,2771.79,-30.95,8.499,0.221
-833.87,2783.87,-30.869,8.527,0.222
-844.7,2794.7,-30.762,8.556,0.223
-855.21,2805.21,-30.681,8.585,0.225
-866.16,2816.16,-30.632,8.614,0.226
-876.89,2826.89,-30.565,8.643,0.227
-887.09,2837.09,-30.55,8.671,0.227
-897.42,2847.42,-30.544,8.7,0.227
-906.28,2856.28,-30.456,8.729,0.226
-917.95,2867.95,-30.434,8.758,0.226
-929.13,2879.13,-30.477,8.787,0.225
-939.76,2889.76,-30.558,8.815,0.224
-950.92,2900.92,-30.598,8.844,0.224
-961.65,2911.65,-30.52,8.873,0.224
-972.35,2922.35,-30.52,8.902,0.225
-983.49,2933.49,-30.579,8.931,0.226
-994.18,2944.18,-30.614,8.959,0.227
-1005.23,2955.23,-30.614,8.988,0.228
-1015.84,2965.84,-30.584,9.017,0.229
-1026.28,2976.28,-30.572,9.046,0.23
-1036.84,2986.84,-30.55,9.075,0.23
-1048.08,2998.08,-30.61,9.104,0.23
-1059.57,3009.57,-30.681,9.132,0.229
-1070.42,3020.42,-30.69,9.161,0.227
-1081.62,3031.62,-30.682,9.19,0.224
-1092.36,3042.36,-30.709,9.219,0.221
-1092.36,3042.36,-30.663,9.248,0.218
-1103.23,3053.23,-30.614,9.276,0.216
-1114.01,3064.01,-30.769,9.305,0.215
-1124.77,3074.77,-30.88,9.334,0.215
-1135.33,3085.33,-30.797,9.363,0.214
-1146.39,3096.39,-30.593,9.392,0.213
-1158.03,3108.03,-30.302,9.42,0.212
-1170.79,3120.79,-30.151,9.449,0.211
-1183.29,3133.29,-30.084,9.478,0.208
-1195.54,3145.54,-29.982,9.507,0.206
-1208.23,3158.23,-29.825,9.536,0.204
-1219.81,3169.81,-29.69,9.564,0.202
-1231.11,3181.11,-29.608,9.593,0.201
-1243.2,3193.2,-29.551,9.622,0.2
-1254.03,3204.03,-29.52,9.651,0.199
-1264.58,3214.58,-29.443,9.68,0.199
-1277.61,3227.61,-29.27,9.709,0.199
-1287.71,3237.71,-29.131,9.737,0.199
-1298.64,3248.64,-29.046,9.766,0.2
-1310.18,3260.18,-28.992,9.795,0.201
-1324.39,3274.39,-28.912,9.824,0.202
-1336.1,3286.1,-28.802,9.853,0.204
-1347.07,3297.07,-28.748,9.881,0.205
-1358.47,3308.47,-28.859,9.91,0.205
-1370.32,3320.32,-29.152,9.939,0.206
-1381.11,3331.11,-29.537,9.968,0.207
-1393.2,3343.2,-29.727,9.997,0.207
-1404.72,3354.72,-29.649,10.025,0.206
-1417.37,3367.37,-29.712,10.054,0.204
-1428.68,3378.68,-29.911,10.083,0.202
-1428.68,3378.68,-30.003,10.112,0.2
-1440.53,3390.53,-30.042,10.141,0.197
-1452.28,3402.28,-30.068,10.169,0.196
-1460.73,3410.73,-30.074,10.198,0.195
-1475.56,3425.56,-30.104,10.227,0.195
-1487.44,3437.44,-30.09,10.256,0.196
-1499.34,3449.34,-30.152,10.285,0.196
-1512.06,3462.06,-30.279,10.313,0.195
-1541.26,3491.26,-30.308,10.342,0.194
-1560.28,3510.28,-30.404,10.371,0.192
-1572.52,3522.52,-30.562,10.4,0.189
-1583.88,3533.88,-30.579,10.429,0.186
-1594.95,3544.95,-30.485,10.457,0.183
-1607.81,3557.81,-30.346,10.486,0.182
-1619.09,3569.09,-30.257,10.515,0.18
-1631.58,3581.58,-30.155,10.544,0.178
-1655.74,3605.74,-29.981,10.573,0.178
-1667.51,3617.51,-29.799,10.602,0.177
-1676.31,3626.31,-29.84,10.63,0.177
-1686.24,3636.24,-29.896,10.659,0.176
-1701.83,3651.83,-29.938,10.688,0.176
-1715.17,3665.17,-30.114,10.717,0.176
-1726.9,3676.9,-30.28,10.746,0.175
-1738.97,3688.97,-30.396,10.774,0.175
-1751.28,3701.28,-30.476,10.803,0.174
-1763.43,3713.43,-30.391,10.832,0.173
-1775.29,3725.29,-30.264,10.861,0.172
-1786.11,3736.11,-30.212,10.89,0.17
-1797.26,3747.26,-30.268,10.918,0.169
-1809.66,3759.66,-30.38,10.947,0.167
-1822.06,3772.06,-30.512,10.976,0.166
-1834.02,3784.02,-30.557,11.005,0.165
-1846.01,3796.01,-30.768,11.034,0.164
-1858.16,3808.16,-30.791,11.062,0.163
-1867.44,3817.44,-30.85,11.091,0.162
-1882.18,3832.18,-31.008,11.12,0.162
-1893.79,3843.79,-31.077,11.149,0.161
-1905.57,3855.57,-31.046,11.178,0.161
-1917.21,3867.21,-31.039,11.207,0.16
-1930.09,3880.09,-31.09,11.235,0.158
-1938.3,3888.3,-31.156,11.264,0.155
-1954.87,3904.87,-31.177,11.293,0.153
-1966.43,3916.43,-31.175,11.322,0.151
-1979.05,3929.05,-31.221,11.351,0.149
-1991.72,3941.72,-31.231,11.379,0.148
-2003.67,3953.67,-31.163,11.408,0.148
-2016.47,3966.47,-31.088,11.437,0.149
-2028.73,3978.73,-31.06,11.466,0.15
-2039.62,3989.62,-31.071,11.495,0.149
-2039.62,3989.62,-31.093,11.523,0.146
-2066.89,4016.89,-30.995,11.552,0.141
-2066.89,4016.89,-30.914,11.581,0.132
-2079.42,4029.42,-30.915,11.61,0.122
-2091.61,4041.61,-30.912,11.639,0.11
-2104.4,4054.4,-30.701,11.668,0.099
-2117.09,4067.09,-30.629,11.696,0.09
-2129.96,4079.96,-30.628,11.725,0.084
-2142.09,4092.09,-30.509,11.754,0.079
-2153.32,4103.32,-30.443,11.783,0.076
-2167.8,4117.8,-30.365,11.812,0.075
-2180.1,4130.1,-30.313,11.84,0.074
-2193.78,4143.78,-30.304,11.869,0.074
-2206.14,4156.14,-30.297,11.898,0.073
-2218.17,4168.17,-30.36,11.927,0.072
-2232.43,4182.43,-30.457,11.956,0.072
-2245.07,4195.07,-30.483,11.984,0.071
-2257.52,4207.52,-30.36,12.013,0.071
-2269.28,4219.28,-30.21,12.042,0.071
-2281.73,4231.73,-30.184,12.071,0.071
-2294.4,4244.4,-30.163,12.1,0.071
-2306.79,4256.79,-30.112,12.128,0.07
-2319.11,4269.11,-30.225,12.157,0.07
-2344.27,4294.27,-30.443,12.186,0.069
-2344.27,4294.27,-30.451,12.215,0.068
-2357.31,4307.31,-30.697,12.244,0.068
-2370.07,4320.07,-30.76,12.273,0.067
-2382.97,4332.97,-30.81,12.301,0.067
-2395.21,4345.21,-30.912,12.33,0.067
-2407.67,4357.67,-30.948,12.359,0.067
-2420.44,4370.44,-31.053,12.388,0.068
-2430.4,4380.4,-31.096,12.416,0.068
-2445.9,4395.9,-31.026,12.445,0.068
-2459.16,4409.16,-31.065,12.474,0.068
-2471.79,4421.79,-31.19,12.503,0.067
-2483.29,4433.29,-31.332,12.532,0.067
-2495.44,4445.44,-31.475,12.56,0.067
-2510.16,4460.16,-31.502,12.589,0.067
-2523.02,4473.02,-31.472,12.618,0.067
-2535.59,4485.59,-31.497,12.647,0.068
-2548.01,4498.01,-31.499,12.676,0.068
-2560.66,4510.66,-31.452,12.705,0.069
-2570.62,4520.62,-31.173,12.733,0.07
-2586.26,4536.26,-31.041,12.762,0.072
-2599.61,4549.61,-31.094,12.791,0.075
-2612.99,4562.99,-31.15,12.82,0.08
-2625.88,4575.88,-31.179,12.849,0.086
-2638.79,4588.79,-31.262,12.877,0.093
-2652.61,4602.61,-31.556,12.906,0.1
-2665.38,4615.38,-31.759,12.935,0.107
-2678.65,4628.65,-31.629,12.964,0.112
-2691.13,4641.13,-31.546,12.993,0.115
-2704.35,4654.35,-31.56,13.021,0.114
-2717.28,4667.28,-31.492,13.05,0.112
-2730.99,4680.99,-31.524,13.079,0.109
-2742.71,4692.71,-31.68,13.108,0.104
-2756.96,4706.96,-31.764,13.137,0.1
-2769.55,4719.55,-31.859,13.165,0.097
-2781.85,4731.85,-31.939,13.194,0.096
-2794.97,4744.97,-31.99,13.223,0.097
-2809.2,4759.2,-32.041,13.252,0.098
-2821.06,4771.06,-31.977,13.281,0.101
-2834.46,4784.46,-31.928,13.31,0.104
-2848.21,4798.21,-31.926,13.338,0.107
-2861.47,4811.47,-31.627,13.367,0.11
-2874.09,4824.09,-31.178,13.396,0.114
-2885.94,4835.94,-31.026,13.425,0.117
-2901.13,4851.13,-31.028,13.454,0.12
-2907.74,4857.74,-31.002,13.482,0.122
-2928.31,4878.31,-30.888,13.511,0.124
-2941.2,4891.2,-30.824,13.54,0.124
-2954.08,4904.08,-30.766,13.569,0.124
-2967.32,4917.32,-30.604,13.598,0.123
-2980.74,4930.74,-30.526,13.627,0.122
-2993.26,4943.26,-30.36,13.655,0.122
-3007.43,4957.43,-30.24,13.684,0.123
-3020.54,4970.54,-30.24,13.713,0.125
-3033.65,4983.65,-30.227,13.742,0.126
-3046.37,4996.37,-30.083,13.771,0.128
-3059.9,5009.9,-29.904,13.799,0.129
-3073.75,5023.75,-29.902,13.828,0.129
-3087.89,5037.89,-30.18,13.857,0.128
-3101.63,5051.63,-30.371,13.886,0.126
-3115.91,5065.91,-30.327,13.915,0.124
-3129,5079,-30.25,13.943,0.122
-3142.19,5092.19,-30.249,13.972,0.12
-3156.08,5106.08,-30.386,14.001,0.119
-3170.67,5120.67,-30.326,14.03,0.12
-3184.25,5134.25,-30.173,14.059,0.122
-3197.63,5147.63,-30.114,14.087,0.126
-3211.82,5161.82,-29.972,14.116,0.131
-3225.77,5175.77,-29.984,14.145,0.136
-3239.44,5189.44,-30.009,14.174,0.141
-3253.57,5203.57,-29.959,14.203,0.145
-3267.73,5217.73,-30.073,14.231,0.148
-3267.73,5217.73,-30.135,14.26,0.151
-3281.62,5231.62,-30.199,14.289,0.153
-3296.23,5246.23,-30.151,14.318,0.156
-3310.47,5260.47,-30.152,14.347,0.159
-3324.77,5274.77,-30.274,14.376,0.161
-3338.29,5288.29,-30.4,14.404,0.163
-3352.05,5302.05,-30.492,14.433,0.166
-3377.44,5327.44,-30.656,14.462,0.167
-3395.5,5345.5,-30.99,14.491,0.167
-3410.25,5360.25,-31.269,14.52,0.164
-3425,5375,-31.407,14.548,0.159
-3439.14,5389.14,-31.49,14.577,0.151
-3452.91,5402.91,-31.46,14.606,0.139
-3467.21,5417.21,-31.517,14.635,0.127
-3481.01,5431.01,-31.516,14.664,0.114
-3494.33,5444.33,-31.398,14.692,0.101
-3508.68,5458.68,-31.225,14.721,0.091
-3523.04,5473.04,-31.119,14.75,0.084
-3538.24,5488.24,-31.024,14.779,0.08
-3552.54,5502.54,-30.902,14.808,0.077
-3567.17,5517.17,-30.861,14.836,0.077
-3582.12,5532.12,-30.73,14.865,0.077
-3597.42,5547.42,-30.497,14.894,0.078
-3612.37,5562.37,-30.297,14.923,0.078
-3627.43,5577.43,-30.093,14.952,0.078
-3641.89,5591.89,-30.026,14.98,0.079
-3656.92,5606.92,-30.089,15.009,0.079
-3671.63,5621.63,-30.026,15.038,0.079
-3686.04,5636.04,-29.907,15.067,0.079
-3700.76,5650.76,-29.932,15.096,0.078
-3715.74,5665.74,-30.027,15.124,0.077
-3731.31,5681.31,-30.143,15.153,0.075
-3746.51,5696.51,-30.208,15.182,0.074
-3761.58,5711.58,-30.214,15.211,0.072
-3777.68,5727.68,-30.34,15.24,0.07
-3793.86,5743.86,-30.403,15.269,0.069
-3809.66,5759.66,-30.402,15.297,0.069
-3825.28,5775.28,-30.421,15.326,0.069
-3841.24,5791.24,-30.533,15.355,0.069
-3857.73,5807.73,-30.702,15.384,0.07
-3872.53,5822.53,-30.593,15.413,0.07
-3889,5839,-30.467,15.441,0.071
-3904.63,5854.63,-30.532,15.47,0.071
-3919.23,5869.23,-30.591,15.499,0.071
-3934.49,5884.49,-30.626,15.528,0.07
-3950.23,5900.23,-30.539,15.557,0.07
-3965.58,5915.58,-30.443,15.585,0.069
-3980.39,5930.39,-30.405,15.614,0.069
-3995.35,5945.35,-30.308,15.643,0.069
-4010.34,5960.34,-30.221,15.672,0.069
-4025.73,5975.73,-30.286,15.701,0.069
-4040.83,5990.83,-30.337,15.729,0.069
-4055.96,6005.96,-30.308,15.758,0.07
-4070.9,6020.9,-30.214,15.787,0.07
-4084.96,6034.96,-30.362,15.816,0.07
-4100.12,6050.12,-30.611,15.845,0.07
-4115.53,6065.53,-30.719,15.873,0.07
-4130.86,6080.86,-30.766,15.902,0.07
-4146.23,6096.23,-30.658,15.931,0.07
-4161.94,6111.94,-30.518,15.96,0.069
-4177.64,6127.64,-30.583,15.989,0.069
-4194.18,6144.18,-30.642,16.018,0.07
-4210.34,6160.34,-30.648,16.046,0.07
-4226.14,6176.14,-30.668,16.075,0.071
-4241.86,6191.86,-30.815,16.104,0.072
-4255.87,6205.87,-30.895,16.133,0.074
-4270.51,6220.51,-30.928,16.162,0.075
-4286.64,6236.64,-30.956,16.19,0.076
-4303.05,6253.05,-31.134,16.219,0.076
-4318.72,6268.72,-31.12,16.248,0.077
-4335.33,6285.33,-30.838,16.277,0.076
-4351.84,6301.84,-30.727,16.306,0.076
-4368.32,6318.32,-30.755,16.334,0.075
-4383.71,6333.71,-30.839,16.363,0.074
-4398.87,6348.87,-30.929,16.392,0.074
-4415.1,6365.1,-30.876,16.421,0.074
-4430.53,6380.53,-30.885,16.45,0.074
-4445.76,6395.76,-30.998,16.479,0.075
-4461.31,6411.31,-30.971,16.507,0.076
-4476.44,6426.44,-30.876,16.536,0.077
-4491.71,6441.71,-30.786,16.565,0.078
-4504.1,6454.1,-30.665,16.594,0.079
-4519.42,6469.42,-30.527,16.623,0.079
-4539.84,6489.84,-30.557,16.651,0.08
-4555.69,6505.69,-30.703,16.68,0.08
-4571.76,6521.76,-30.869,16.709,0.081
-4588.22,6538.22,-30.976,16.738,0.081
-4603.45,6553.45,-30.914,16.767,0.081
-4619.5,6569.5,-30.92,16.795,0.081
-4635.25,6585.25,-31.085,16.824,0.081
-4650.5,6600.5,-31.099,16.853,0.08
-4665.83,6615.83,-30.89,16.882,0.078
-4682.07,6632.07,-30.815,16.911,0.077
-4697.79,6647.79,-30.899,16.939,0.075
-4713.22,6663.22,-30.91,16.968,0.074
-4729.15,6679.15,-30.936,16.997,0.073
-4745.54,6695.54,-30.974,17.026,0.073
-4761.02,6711.02,-30.847,17.055,0.073
-4777.16,6727.16,-30.617,17.084,0.074
-4793.47,6743.47,-30.337,17.112,0.074
-4809.23,6759.23,-30.124,17.141,0.075
-4826.29,6776.29,-29.969,17.17,0.076
-4842.28,6792.28,-29.666,17.199,0.076
-4859.46,6809.46,-29.434,17.227,0.075
-4876.14,6826.14,-29.418,17.256,0.074
-4893.55,6843.55,-29.408,17.285,0.073
-4910.83,6860.83,-29.226,17.314,0.072
-4927.12,6877.12,-28.994,17.343,0.071
-4943.93,6893.93,-28.987,17.372,0.07
-4959.89,6909.89,-28.976,17.4,0.07
-4975.52,6925.52,-28.825,17.429,0.07
-4992.31,6942.31,-28.918,17.458,0.069
-5008.35,6958.35,-29.06,17.487,0.069
