year (AD) [1-1],age (BP) [1-1],lakeLevel (cm) [1-1],lakeLevelHi (cm) [1-1],lakeLevelLo (cm) [1-1],year (AD) [2-1],age (BP) [2-1],AnnualPrecipitation (mm/yr) [2-1]
-1050,3000,98.769,0,197.538,-1000,2950,1228.646
-1100,3050,99.492,0,198.985,-1050,3000,1252.143
-1150,3100,100.21,0,200.419,-1100,3050,1252.143
-1200,3150,100.928,0,201.856,-1150,3100,1258.385
-1250,3200,153.66,68.167,239.154,-1200,3150,1273.647
-1300,3250,213.276,136.333,290.219,-1250,3200,1244.321
-1350,3300,301.626,275.616,327.637,-1300,3250,1170.318
-1400,3350,335.74,299.456,372.024,-1350,3300,1175.873
-1450,3400,396.276,371.377,421.174,-1400,3350,1245.571
-1500,3450,394.225,336.423,452.026,-1450,3400,1186.138
-1550,3500,361.682,312.583,410.781,-1500,3450,1194.539
-1600,3550,314.149,260.471,367.828,-1550,3500,1209.409
-1650,3600,285.524,224.309,346.739,-1600,3550,1167.648
-1700,3650,286.224,224.309,348.14,-1650,3600,1098.878
-1750,3700,268.58,204.5,332.66,-1700,3650,1125.596
-1800,3750,265.84,204.5,327.18,-1750,3700,1004.904
-1850,3800,304.461,246.2,362.723,-1800,3750,1065.639
-1900,3850,343.408,288.304,398.512,-1850,3800,961.576
-1950,3900,382.679,330.811,434.547,-1900,3850,1027.671
-2000,3950,384.259,332.021,436.497,-1950,3900,934.139
-2050,4000,385.839,333.231,438.446,-2000,3950,1068.474
-2100,4050,387.419,334.442,440.396,-2050,4000,1056.833
-2150,4100,388.999,335.652,442.346,-2100,4050,1141.944
-2200,4150,390.579,336.862,444.295,-2150,4100,1005.432
-2250,4200,392.159,338.072,446.245,-2200,4150,1180.018
-2300,4250,375.096,316.617,433.574,-2250,4200,1045.123
-2350,4300,335.41,272.093,398.727,-2300,4250,1103.345
-2400,4350,302.808,227.165,378.451,-2350,4300,1064.881
-2450,4400,323.04,251.049,395.031,-2400,4350,1201.112
-2500,4450,337.736,266.705,408.768,-2450,4400,1079.205
-2550,4500,367.164,306.19,428.138,-2500,4450,1222.809
-2600,4550,378.905,312.312,445.499,-2550,4500,1026.515
-2650,4600,413.582,344.873,482.29,-2600,4550,1128.202
-2700,4650,426.633,354.021,499.245,-2650,4600,1079.056
-2750,4700,423.37,350.4,496.339,-2700,4650,1102.666
-2800,4750,439.505,351.651,527.358,-2750,4700,1108.69
-2850,4800,441.655,352.901,530.408,-2800,4750,1114.715
-2900,4850,443.805,354.152,533.458,-2850,4800,1113.787
-2950,4900,436.771,355.403,518.139,-2900,4850,1080.817
-3000,4950,443.69,356.653,530.728,-2950,4900,1136.014
-3050,5000,445.572,357.904,533.241,-3000,4950,983.611
-3100,5050,425.204,333.17,517.239,-3050,5000,1112.396
-3150,5100,396.529,290.766,502.291,-3100,5050,1057.542
-3200,5150,382.567,256.817,508.318,-3150,5100,1016.396
-3250,5200,380.548,239.708,521.388,-3200,5150,1051.44
-3300,5250,414.825,279.498,550.152,-3250,5200,1099.604
-3350,5300,410.98,279.944,542.015,-3300,5250,1183.132
-3400,5350,475.174,369.337,581.012,-3350,5300,1259.872
-3450,5400,511.553,419.698,603.407,-3400,5350,1204.721
-3500,5450,539.33,457.137,621.523,-3450,5400,1149.643
-3550,5500,509.693,414.804,604.581,-3500,5450,1108.684
-3600,5550,464.238,372.224,556.251,-3550,5500,1067.725
-3650,5600,482.928,395.964,569.892,-3600,5550,1059.186
-3700,5650,518.924,443.011,594.837,-3650,5600,1052.828
-3750,5700,563.674,482.953,644.394,-3700,5650,1140.324
-3800,5750,589.669,509.526,669.811,-3750,5700,1213.45
-3850,5800,543.315,464.11,622.521,-3800,5750,1185.497
-3900,5850,503.989,425.68,582.298,-3850,5800,1145.866
-3950,5900,464.796,386.721,542.872,-3900,5850,1077.958
-4000,5950,487.764,405.147,570.381,-3950,5900,1028.929
-4050,6000,518.658,432.595,604.722,-4000,5950,1003.221
-4100,6050,557.424,469.365,645.484,-4050,6000,979.939
-4150,6100,575.946,488.514,663.379,-4100,6050,958.258
-4200,6150,603.839,518.289,689.389,-4150,6100,990.713
-4250,6200,618.07,535.078,701.062,-4200,6150,1040.502
-4300,6250,643.026,565.759,720.293,-4250,6200,1090.29
-4350,6300,654.494,584.359,724.629,-4300,6250,1130.744
-4400,6350,615.095,524.254,705.935,-4350,6300,1042.394
-4450,6400,584.625,458.979,710.272,-4400,6350,967.474
-4500,6450,550.372,386.137,714.608,-4450,6400,939.444
-4550,6500,564.428,386.882,741.974,-4500,6450,932.586
-4600,6550,566.968,387.627,746.31,-4550,6500,960.617
-4650,6600,569.509,388.372,750.646,-4600,6550,986.09
-4700,6650,572.024,389.117,754.93,-4650,6600,1009.319
-4750,6700,574.424,389.862,758.986,-4700,6650,1027.702
-4800,6750,576.628,390.607,762.649,-4750,6700,1043.886
-4850,6800,578.672,391.352,765.993,-4800,6750,1048.63
-4900,6850,580.638,392.097,769.179,-4850,6800,1051.241
-4950,6900,582.606,392.842,772.369,-4900,6850,1061.718
-5000,6950,584.563,393.587,775.54,-4950,6900,1084.955
-5050,7000,586.519,394.332,778.706,-5000,6950,1108.192
-5100,7050,588.475,395.078,781.872,-5050,7000,1130.076
-5150,7100,590.43,395.823,785.038,-5100,7050,1151.73
-5200,7150,592.386,396.568,788.204,-5150,7100,1158.038
-5250,7200,594.341,397.313,791.37,-5200,7150,1132.878
-5300,7250,596.297,398.058,794.536,-5250,7200,1107.719
-5350,7300,598.253,398.803,797.702,-5300,7250,1122.869
-5400,7350,600.208,399.548,800.869,-5350,7300,1148.028
-5450,7400,602.164,400.293,804.035,-5400,7350,1158.27
-5500,7450,604.12,401.038,807.201,-5450,7400,1129.052
-5550,7500,606.075,401.783,810.367,-5500,7450,1099.833
-5600,7550,608.031,402.528,813.533,-5550,7500,1070.614
-5650,7600,609.986,403.273,816.699,-5600,7550,1041.395
-5700,7650,611.942,404.019,819.865,-5650,7600,1012.177
-5750,7700,613.898,404.764,823.031,-5700,7650,982.958
-5800,7750,615.861,405.525,826.197,-5750,7700,1106.974
-5850,7800,617.894,406.408,829.381,-5800,7750,1135.11
-5900,7850,619.952,407.238,832.666,-5850,7800,1117.979
-5950,7900,621.936,407.805,836.066,-5900,7850,1100.282
-6000,7950,669.9,480.505,859.296,-5950,7900,1079.771
-6050,8000,717.749,553.57,881.928,-6000,7950,1059.259
-6100,8050,750.186,602.645,897.726,-6050,8000,1040.965
-6150,8100,736.442,579.565,893.319,-6100,8050,1022.984
-6200,8150,768.738,630.85,906.626,-6150,8100,1014.034
-6250,8200,816.299,706.855,925.742,-6200,8150,1013.546
-6300,8250,863.752,783.203,944.3,-6250,8200,1013.058
-6350,8300,864.986,785.26,944.712,-6300,8250,1024.56
-6400,8350,866.162,787.221,945.104,-6350,8300,1037.679
-6450,8400,851.927,763.586,940.267,-6400,8350,1050.799
-6500,8450,822.313,714.16,930.466,-6450,8400,1054.436
-6550,8500,777.323,638.692,915.953,-6500,8450,1051.556
-6600,8550,763.083,614.294,911.872,-6550,8500,1048.676
-6650,8600,779.594,641.469,917.72,-6600,8550,1043.041
-6700,8650,826.856,720.722,932.99,-6650,8600,1001.302
-6750,8700,858.742,774.441,943.044,-6700,8650,959.562
-6800,8750,890.629,828.79,952.467,-6750,8700,917.822
-6850,8800,907.14,857.227,957.052,-6800,8750,931.829
-6900,8850,923.651,885.79,961.511,-6850,8800,991.62
-6950,8900,924.787,888.062,961.511,-6900,8850,972.443
-7000,8950,925.922,890.333,961.511,-6950,8900,934.018
-7050,9000,927.058,892.605,961.511,-7000,8950,966.144
-7100,9050,928.194,894.877,961.511,-7050,9000,975.95
-7150,9100,929.33,897.148,961.511,-7100,9050,924.272
-7200,9150,930.466,899.42,961.511,-7150,9100,941.892
-7250,9200,931.601,901.691,961.511,-7200,9150,1027.318
-7300,9250,932.737,903.963,961.511,-7250,9200,985.661
-7350,9300,933.873,906.234,961.511,-7300,9250,900.397
-7400,9350,935.009,908.506,961.511,-7350,9300,893.095
-7450,9400,936.144,910.777,961.511,-7400,9350,902.124
-7500,9450,937.28,913.049,961.511,-7450,9400,963.618
-7550,9500,938.416,915.321,961.511,-7500,9450,968.279
-7600,9550,939.552,917.592,961.511,-7550,9500,906.703
-7650,9600,940.688,919.864,961.511,-7600,9550,888.058
-7700,9650,941.823,922.135,961.511,-7650,9600,887.734
-7750,9700,942.959,924.407,961.511,-7700,9650,914.862
-7800,9750,944.095,926.678,961.511,-7750,9700,943.395
-7850,9800,945.231,928.95,961.511,-7800,9750,970.329
-7900,9850,946.366,931.221,961.511,-7850,9800,962.863
-7950,9900,947.35,933.188,961.511,-7900,9850,907.534
-8000,9950,948.137,934.762,961.511,-7950,9900,898.173
-8050,10000,948.675,935.838,961.511,-8000,9950,912.781
-8100,10050,949.113,936.715,961.511,-8050,10000,927.389
-8150,10100,949.496,937.481,961.511,-8100,10050,916.585
-8200,10150,949.876,938.241,961.511,-8150,10100,904.398
-8250,10200,950.256,939.001,961.511,-8200,10150,892.211
-8300,10250,950.636,939.761,961.511,-8250,10200,880.024
-8350,10300,951.016,940.521,961.511,-8300,10250,867.836
-8400,10350,951.396,941.281,961.511,-8350,10300,863.87
-8450,10400,951.776,942.041,961.511,-8400,10350,863.68
-8500,10450,952.156,942.801,961.511,-8450,10400,863.49
-8550,10500,952.536,943.561,961.511,-8500,10450,863.3
-8600,10550,952.916,944.321,961.511,-8550,10500,863.11
-8650,10600,953.296,945.081,961.511,-8600,10550,863.046
-8700,10650,953.676,945.841,961.511,-8650,10600,863.154
-8750,10700,954.056,946.601,961.511,-8700,10650,863.263
-8800,10750,954.436,947.361,961.511,-8750,10700,863.372
-8850,10800,954.816,948.121,961.511,-8800,10750,863.48
-8900,10850,955.196,948.881,961.511,-8850,10800,861.188
-8950,10900,955.576,949.641,961.511,-8900,10850,846.178
-9000,10950,955.956,950.401,961.511,-8950,10900,831.168
-9050,11000,956.336,951.161,961.511,-9000,10950,816.158
-9100,11050,956.716,951.921,961.511,-9050,11000,801.148
-9150,11100,957.096,952.681,961.511,NA,NA,NA
-9200,11150,957.476,953.441,961.511,NA,NA,NA
-9250,11200,957.856,954.201,961.511,NA,NA,NA
-9300,11250,958.236,954.961,961.511,NA,NA,NA
-9350,11300,958.616,955.721,961.511,NA,NA,NA
-9400,11350,958.996,956.481,961.511,NA,NA,NA
-9450,11400,959.376,957.241,961.511,NA,NA,NA
-9500,11450,959.688,957.864,961.511,NA,NA,NA
-9550,11500,959.931,958.351,961.511,NA,NA,NA
-9600,11550,960.107,958.703,961.511,NA,NA,NA
-9650,11600,960.283,959.054,961.511,NA,NA,NA
-9700,11650,960.458,959.405,961.511,NA,NA,NA
-9750,11700,960.634,959.756,961.511,NA,NA,NA
-9800,11750,960.809,960.107,961.511,NA,NA,NA
-9850,11800,960.985,960.458,961.511,NA,NA,NA
-9900,11850,961.16,960.809,961.511,NA,NA,NA
-9950,11900,961.336,961.16,961.511,NA,NA,NA
