year (AD),age (BP),d18O (permil),depth (missing),age (BP),d13C (permil),d18O (permil)
-7200,9150,-10.06,21.3,631.639,-5.237,-12.019
-7250,9200,-10.15,21.5,637.131,-5.219,-12.107
-7300,9250,-10.29,21.7,642.623,-4.891,-12.05
-7350,9300,-10.28,21.9,648.116,-5.062,-12.244
-7400,9350,-10.28,22.1,653.608,-4.914,-12.116
-7450,9400,-10.33,22.3,659.1,-5.215,-12.216
-7500,9450,-10.37,22.5,664.593,-4.166,-11.951
-7550,9500,-10.45,22.7,670.085,-3.042,-11.747
-7600,9550,-10.48,22.9,675.577,-2.542,-11.656
-7650,9600,-10.3,23.1,679.412,-2.369,-11.799
-7700,9650,-10.75,23.3,681.589,-2.276,-11.399
-7750,9700,-10.83,23.5,683.765,-3.612,-11.344
-7800,9750,-10.72,23.7,685.942,-4.265,-11.431
-7850,9800,-10.72,23.9,688.119,-4.719,-11.583
-7900,9850,-10.93,24.1,690.296,-5.292,-11.705
-7950,9900,-10.99,24.3,692.473,-5.734,-12.13
-8000,9950,-11.01,24.5,694.65,-5.518,-11.898
-8050,10000,-11.32,24.7,696.827,-5.766,-12.108
-8100,10050,-11.41,24.9,699.004,-5.664,-11.905
-8150,10100,-11.28,25.1,701.18,-5.617,-11.831
-8200,10150,-11.03,25.3,703.357,-5.76,-11.723
-8250,10200,-11.38,25.5,705.534,-5.862,-11.887
-8300,10250,-11.3,25.7,707.711,-6.125,-11.885
-8350,10300,-11.26,25.9,709.888,-6.247,-12.042
-8400,10350,-11.3,26.1,712.065,-6.061,-11.913
-8450,10400,-11.15,26.3,714.242,-6.396,-12.041
-8500,10450,-10.95,26.5,716.418,-6.172,-11.768
-8550,10500,-10.97,26.7,718.595,-5.707,-11.708
-8600,10550,-10.99,26.9,720.772,-5.357,-11.355
-8650,10600,-10.83,27.1,724.597,-5.034,-11.442
-8700,10650,-10.86,27.3,730.071,-4.794,-11.576
-8750,10700,-11.07,27.5,735.545,-4.293,-11.283
-8800,10750,-11.02,27.7,741.019,-3.835,-11.077
-8850,10800,-11.36,27.9,746.493,-3.603,-11.313
-8900,10850,-11.57,28.1,751.967,-3.916,-11.256
-8950,10900,-11.32,28.3,757.441,-3.779,-11.287
-9000,10950,-11.65,28.5,762.915,-4.323,-11.447
-9050,11000,-11.95,28.7,768.389,-4.649,-11.748
-9100,11050,-11.77,28.9,773.863,-4.065,-11.75
-9150,11100,-11.55,29.1,779.337,-3.224,-11.501
-9200,11150,-11.49,29.3,784.811,-4.692,-11.695
-9250,11200,-11.79,29.5,790.285,-5.652,-11.926
-9300,11250,-11.75,29.7,795.758,-5.989,-12.081
-9350,11300,-11.55,29.9,801.232,-5.479,-11.597
-9400,11350,-11.81,30.1,806.706,-5.954,-11.805
-9450,11400,-11.97,30.3,812.18,-6.112,-11.96
-9500,11450,-11.78,30.5,817.654,-6.301,-12.075
-9550,11500,-11.83,30.7,823.128,-6.186,-11.998
-9600,11550,-11.39,30.9,828.602,-5.732,-11.731
-9650,11600,-11.53,31.1,834.076,-5.958,-11.966
-9700,11650,-11.62,31.3,839.55,-6.299,-11.993
-9750,11700,-11.76,31.5,845.024,-6.458,-12.168
-9800,11750,-12.03,31.7,850.498,-6.452,-12.033
-9850,11800,-12.25,31.9,855.972,-6.612,-11.962
-9900,11850,-12.45,32.1,860.609,-6.691,-11.991
-9950,11900,-12.69,32.3,864.411,-6.576,-11.846
-10000,11950,-12.86,32.5,868.212,-6.832,-11.999
-10050,12000,-12.85,32.7,872.013,-6.659,-11.839
-10100,12050,-12.8,32.9,875.814,-6.663,-12.006
-10150,12100,-12.73,33.1,879.616,-6.54,-12.087
-10200,12150,-12.79,33.3,883.417,-6.619,-12.162
-10250,12200,-12.79,33.5,887.218,-6.597,-12.329
-10300,12250,-12.51,33.7,891.02,-6.713,-12.476
-10350,12300,-12.83,33.9,894.821,-6.474,-12.325
-10400,12350,-12.92,34.1,898.622,-6.495,-12.465
-10450,12400,-12.87,34.3,902.424,-6.53,-12.525
-10500,12450,-12.9,34.5,906.225,-6.436,-12.48
-10550,12500,-12.98,34.7,910.026,-6.132,-12.174
-10600,12550,-12.97,34.9,913.828,-5.943,-12.076
-10650,12600,-12.97,35.1,917.629,-5.993,-12.186
-10700,12650,-12.76,35.3,921.43,-6.239,-12.353
-10750,12700,-12.84,35.5,925.232,-5.959,-12.068
-10800,12750,-12.56,35.7,929.033,-5.745,-11.988
-10850,12800,-12.62,35.9,932.834,-5.195,-11.663
-10900,12850,-12.76,36.1,936.635,-4.842,-11.698
-10950,12900,-12.79,36.3,940.437,-4.822,-11.424
-11000,12950,-12.83,36.5,944.238,-4.406,-11.285
-11050,13000,-12.94,36.7,948.039,-4.538,-11.568
-11100,13050,-12.9,36.9,951.841,-4.586,-11.518
-11150,13100,-12.82,37.1,955.642,-4.929,-11.634
-11200,13150,-12.61,37.3,959.443,-4.906,-11.479
-11250,13200,-12.48,37.5,963.245,-4.786,-11.875
-11300,13250,-12.34,37.7,967.046,-4.36,-11.551
-11350,13300,-12.21,37.9,970.847,-5.033,-11.619
-11400,13350,-12.2,38.1,974.649,-5.541,-11.552
-12550,14500,NA,38.3,978.45,-5.62,-11.552
-13700,15650,-13.89,38.5,982.251,-4.786,-11.389
-13750,15700,-14.73,38.7,986.053,-4.494,-11.611
-13800,15750,-15.01,38.9,989.854,-4.232,-11.432
-13850,15800,-14.94,39.1,993.655,-5.048,-11.703
-13900,15850,-14.59,39.3,997.456,-5.472,-11.622
-13950,15900,-14.95,39.5,1001.258,-5.382,-11.726
-14000,15950,-14.85,39.7,1005.059,-4.21,-11.245
-14050,16000,-14.42,39.9,1008.86,-4.233,-11.502
-14100,16050,-14.17,40.1,1012.662,-4.259,-11.492
-14150,16100,-14.45,40.3,1016.463,-4.051,-11.596
-14200,16150,-14.54,40.5,1020.264,-4.354,-11.571
-14250,16200,-14.11,40.7,1024.066,-5.481,-12.021
-14300,16250,-14.39,40.9,1027.867,-6.095,-12.179
-14350,16300,-15.09,41.1,1033.356,-5.897,-12.394
-14400,16350,-14.88,41.3,1040.533,-4.94,-12.069
-14450,16400,-14.42,41.5,1047.711,-3.845,-11.865
-14500,16450,-14.03,41.7,1054.888,-3.44,-11.573
-14550,16500,-14.32,41.9,1062.065,-2.87,-11.242
-14600,16550,-14.79,42.1,1069.242,-2.867,-11.159
-14650,16600,-14.97,42.3,1076.419,-2.982,-11.209
-14700,16650,-14.76,42.5,1083.597,-3.057,-11.362
-14750,16700,-14.86,42.7,1090.774,-3.306,-11.457
-14800,16750,-14.96,42.9,1097.951,-3.373,-11.483
-14850,16800,-15.27,43.1,1105.128,-3.297,-11.418
-14900,16850,-14.66,43.3,1112.305,-3.394,-11.5
-14950,16900,-14.78,43.5,1119.483,-3.33,-11.182
-15000,16950,-14.87,43.7,1126.66,-3.54,-11.351
-15050,17000,-15,43.9,1133.837,-3.067,-11.311
-15100,17050,-15.67,44.1,1141.014,-2.794,-11.312
-15150,17100,-14.54,44.3,1148.191,-2.679,-11.486
-15200,17150,-14.8,44.5,1155.369,-2.741,-11.688
-15250,17200,-15.11,44.7,1162.546,-2.643,-11.502
-15300,17250,-14.83,44.9,1169.723,-2.292,-11.339
-15350,17300,-14.98,45.1,1176.9,-2.558,-11.549
-15400,17350,-14.86,45.3,1184.077,-2.626,-11.442
-15450,17400,-15.25,45.5,1191.255,-2.511,-11.486
-15500,17450,-14.55,45.7,1198.432,-2.5,-11.487
-15550,17500,-14.6,45.9,1205.609,-2.79,-11.431
-15600,17550,-15,46.1,1212.786,-2.558,-11.203
-15650,17600,-15.02,46.3,1219.963,-2.329,-11.038
-15700,17650,-14.94,46.5,1227.141,-2.205,-10.923
-15750,17700,-14.82,46.7,1234.318,-2.546,-11.167
-15800,17750,-14.7,46.9,1241.495,-2.858,-11.015
-15850,17800,-14.53,47.1,1248.672,-3.353,-10.999
-15900,17850,-14.65,47.3,1255.849,-4.032,-11.513
-15950,17900,-14.91,47.5,1263.027,-4.616,-11.664
-16000,17950,-15.08,47.7,1270.204,-4.761,-11.683
-16050,18000,-14.91,47.9,1277.381,-4.664,-11.602
-16100,18050,-14.7,48.1,1284.558,-4.54,-11.397
-16150,18100,-15.01,48.3,1291.735,-4.507,-11.334
-16200,18150,-14.9,48.5,1298.913,-4.657,-11.317
-16250,18200,-14.55,48.7,1306.09,-4.832,-11.401
-16300,18250,-15.05,48.9,1313.267,-5.05,-11.32
-16350,18300,-15.67,49.1,1319.241,-5.24,-11.347
-16400,18350,-14.52,49.3,1324.013,-5.2,-11.486
-16450,18400,-14.92,49.5,1328.784,-4.964,-11.184
-16500,18450,-15.4,49.7,1333.556,-4.873,-11.347
-16550,18500,-15.05,49.9,1338.327,-4.894,-11.634
-16600,18550,-16.46,50.1,1343.099,-4.694,-11.546
-16650,18600,-15.46,50.3,1347.87,-4.586,-11.428
-16700,18650,-14.48,50.5,1352.642,-4.689,-11.472
-16750,18700,-15.22,50.7,1357.413,-4.539,-11.626
-16800,18750,-15.14,50.9,1362.185,-4.51,-11.646
-16850,18800,-14.98,51.1,1366.957,-4.944,-11.805
-16900,18850,-14.94,51.3,1371.728,-5.177,-11.875
-16950,18900,-14.49,51.5,1376.5,-5.214,-12.073
-17000,18950,-14.93,51.7,1381.271,-4.826,-11.875
-17050,19000,-15.03,51.9,1386.043,-4.73,-11.883
-17100,19050,-14.77,52.1,1390.814,-4.693,-11.733
-17150,19100,-15.02,52.3,1395.586,-4.73,-11.749
-17200,19150,-14.85,52.5,1400.357,-4.278,-11.676
-17250,19200,-15.22,52.7,1405.129,-3.807,-11.451
-17300,19250,-15.09,52.9,1409.9,-3.205,-11.05
-17350,19300,-14.96,53.1,1414.672,-2.814,-11.123
-17400,19350,-14.21,53.3,1419.443,-2.522,-10.84
-17450,19400,-14.88,53.5,1424.215,-3.364,-10.97
-17500,19450,-14.95,53.7,1428.986,-3.824,-11.082
-17550,19500,-14.62,53.9,1433.758,-4.105,-11.17
-17600,19550,-14.99,54.1,1438.529,-4.667,-11.367
-17650,19600,-15.14,54.3,1443.301,-4.833,-11.496
-17700,19650,-14.82,54.5,1448.072,-5.009,-11.74
-17750,19700,-15.28,54.7,1452.844,-4.36,-11.444
-17800,19750,-15.45,54.9,1457.615,-3.576,-11.379
-17850,19800,-14.88,55.1,1462.387,-2.997,-11.498
-17900,19850,-15.01,55.3,1467.158,-4.984,-11.721
-17950,19900,-14.96,55.5,1471.93,-4.96,-11.848
-18000,19950,-14.99,55.7,1476.701,-4.574,-11.544
-18050,20000,-14.93,55.9,1481.473,-4.543,-11.615
-18100,20050,-14.85,56.1,1486.244,-4.735,-11.702
-24250,26200,NA,56.3,1491.016,-4.418,-11.778
-30350,32300,-14.3,56.5,1495.787,-4.738,-11.691
-30400,32350,-14.31,56.7,1500.559,-4.521,-11.946
-30450,32400,-14.31,56.9,1505.33,-4.236,-11.951
-30500,32450,-14.31,57.1,1510.102,-4.131,-12.025
-30550,32500,-14.3,57.3,1514.873,-4.775,-12.037
-30600,32550,-14.3,57.5,1519.645,-4.786,-12.144
-30650,32600,-14.28,57.7,1524.416,-4.811,-12.092
-30700,32650,-14.18,57.9,1529.188,-5.121,-12.213
-30750,32700,-14.08,58.1,1533.959,-4.849,-12.028
-30800,32750,-13.98,58.3,1538.731,-4.66,-11.894
-30850,32800,-13.84,58.5,1543.502,-4.763,-12.196
-30900,32850,-13.67,58.7,1548.274,-4.97,-12.178
-30950,32900,-13.49,58.9,1553.045,-4.984,-12.074
-31000,32950,-13.32,59.1,1557.817,-5.301,-12.133
-31050,33000,-13.38,59.3,1562.588,-5.412,-12.061
-31100,33050,-13.44,59.5,1567.36,-5.702,-12.2
-31150,33100,-13.5,59.7,1572.131,-5.945,-12.58
-31200,33150,-13.54,59.9,1576.903,-5.844,-12.284
-31250,33200,-13.55,60.1,1580.969,-5.818,-12.14
-31300,33250,-13.56,60.3,1584.329,-6.005,-12.371
-31350,33300,-13.57,60.5,1587.69,-6.07,-12.326
-31400,33350,-13.59,60.7,1591.05,-6.302,-12.762
-31450,33400,-13.61,60.9,1594.411,-6.251,-12.469
-31500,33450,-13.63,61.1,1597.772,-6.409,-12.624
-31550,33500,-13.68,61.5,1604.493,-6.395,-12.67
-31600,33550,-13.79,61.7,1607.853,-6.536,-12.675
-31650,33600,-13.9,61.9,1611.214,-6.453,-12.711
-31700,33650,-14.01,62.1,1614.574,-4.875,-11.992
-31750,33700,-13.96,62.3,1617.935,-4.103,-12.024
-31800,33750,-13.88,62.5,1621.296,-3.984,-11.732
-31850,33800,-13.8,62.7,1624.656,-3.921,-11.834
-31900,33850,-13.73,62.9,1628.017,-3.983,-11.911
-31950,33900,-13.68,63.1,1631.377,-4.077,-12.013
-32000,33950,-13.62,63.3,1634.738,-4.008,-11.734
-32050,34000,-13.57,63.5,1638.098,-4.337,-11.918
-32100,34050,-13.69,63.7,1641.459,-4.882,-11.872
-32150,34100,-13.87,63.9,1644.82,-5.177,-11.725
-32200,34150,-14.04,64.1,1648.18,-4.426,-11.564
-32250,34200,-14.18,64.3,1651.541,-4.635,-11.646
-32300,34250,-14.2,64.5,1654.901,-5.487,-11.707
-32350,34300,-14.21,64.7,1658.262,-5.562,-11.646
-32400,34350,-14.23,64.9,1661.622,-5.589,-11.478
-32450,34400,-14.09,65.1,1664.983,-5.545,-11.741
-32500,34450,-13.86,65.3,1668.344,-5.107,-11.642
-32550,34500,-13.64,65.5,1671.704,-4.561,-11.647
-32600,34550,-13.44,65.7,1675.065,-4.185,-11.52
-32650,34600,-13.37,65.9,1678.425,-4.005,-11.385
-32700,34650,-13.3,66.1,1681.786,-4.278,-11.485
-32750,34700,-13.23,66.3,1685.146,-4.499,-11.744
-32800,34750,-13.21,66.5,1688.507,-4.875,-12.016
-32850,34800,-13.23,66.7,1691.868,-4.673,-11.888
-32900,34850,-13.24,66.9,1695.228,-4.672,-11.833
-32950,34900,-13.27,67.1,1698.589,-4.546,-11.762
-33000,34950,-13.45,67.3,1701.949,-4.257,-11.687
-33050,35000,-13.63,67.5,1705.31,-3.865,-11.733
-33100,35050,-13.81,67.7,1708.67,-2.987,-11.487
-33150,35100,-13.89,67.9,1712.031,-2.747,-11.29
-33200,35150,-13.88,68.1,1715.391,-3.325,-11.45
-33250,35200,-13.87,68.3,1718.752,-4.585,-11.767
-33300,35250,-13.86,68.5,1722.113,-5.338,-11.838
-33350,35300,-13.87,68.7,1725.473,-5.741,-11.841
-33400,35350,-13.88,68.9,1728.834,-5.911,-12.014
-33450,35400,-13.9,69.1,1732.194,-5.755,-11.994
-33500,35450,-13.85,69.3,1735.555,-6.013,-12.101
-33550,35500,-13.74,69.5,1738.915,-5.986,-11.961
-33600,35550,-13.62,69.7,1742.276,-5.819,-12.033
-33650,35600,-13.51,69.9,1745.637,-5.937,-12.043
-33700,35650,-13.48,70.1,1748.997,-5.939,-12.07
-33750,35700,-13.47,70.3,1752.358,-5.249,-11.862
-33800,35750,-13.46,70.5,1755.718,-4.63,-11.758
-33850,35800,-13.44,70.7,1759.079,-5.094,-11.889
-33900,35850,-13.4,70.9,1762.439,-4.649,-11.997
-33950,35900,-13.36,71.1,1765.8,-4.326,-11.76
-34000,35950,-13.32,71.3,1769.161,-4.942,-11.982
-34050,36000,-13.22,71.5,1772.521,-4.806,-11.7
-34100,36050,-13.09,71.7,1775.882,-4.473,-11.281
-34150,36100,-12.97,71.9,1779.242,-4.504,-11.455
-34200,36150,-12.9,72.1,1782.603,-4.159,-11.351
-34250,36200,-13,72.3,1785.963,-4.187,-11.244
-34300,36250,-13.1,72.5,1789.324,-4.771,-11.596
-34350,36300,-13.2,72.7,1792.685,-3.734,-10.598
-34400,36350,-13.25,72.9,1796.045,-4.443,-11.215
-34450,36400,-13.26,73.1,1799.406,-5.225,-11.778
-34500,36450,-13.28,73.3,1802.766,-5.47,-11.774
-34550,36500,-13.3,73.5,1806.127,-5.672,-12.041
-34600,36550,-13.35,73.7,1809.487,-5.719,-12.026
-34650,36600,-13.39,73.9,1812.848,-5.56,-11.84
-34700,36650,-13.43,74.1,1816.208,-5.33,-11.895
-34750,36700,-13.45,74.3,1819.569,-4.95,-11.973
-34800,36750,-13.46,74.5,1822.93,-4.43,-11.476
-34850,36800,-13.46,74.7,1826.29,-4.314,-11.654
-34900,36850,-13.46,74.9,1829.651,-4.525,-11.701
-34950,36900,-13.37,75.1,1833.595,-4.684,-11.833
-35000,36950,-13.28,75.3,1838.123,-5.006,-11.797
-35050,37000,-13.19,75.5,1842.651,-5.396,-12.08
-35100,37050,-13.12,75.7,1847.179,-5.367,-12.097
-35150,37100,-13.05,75.9,1851.706,-5.435,-11.917
-35200,37150,-12.98,76.1,1856.234,-5.033,-12.111
-35250,37200,-12.91,76.3,1860.762,-4.806,-12.206
-35300,37250,-12.95,76.5,1865.29,-4.69,-12.043
-35350,37300,-12.99,76.7,1869.818,-4.941,-12.042
-35400,37350,-13.03,76.9,1874.346,-5.08,-12.113
-35450,37400,-13.07,77.1,1878.873,-5.074,-11.943
