depth (mm),depth (cm),age (BP),temperature (degC),d18O (permil),C (missing)
1090,141,1367.096,8.638,1.134,1
1100,142,1376.3,9.646,0.904,1
1105,142.5,1380.897,8.726,1.114,1
1120,144,1394.674,8.859,1.084,1
1130,145,1403.844,8.377,1.194,1
1140,146,1413.005,9.253,0.994,1
1150,147,1422.154,8.684,1.124,1
1160,148,1431.293,9.123,1.024,1
1170,149,1440.422,8.991,1.054,1
1180,150,1449.541,10.174,0.783,1
1190,151,1458.65,8.423,1.183,1
1200,152,1467.749,9.212,1.003,1
1210,153,1476.838,8.511,1.163,1
1220,154,1485.917,8.599,1.143,1
1230,155,1494.987,7.811,1.323,1
1240,156,1504.048,8.206,1.233,1
1250,157,1513.099,8.994,1.053,1
1260,158,1522.141,8.732,1.113,1
1265,158.5,1526.659,8.688,1.123,1
1270,159,1531.174,8.075,1.263,1
1280,160,1540.198,8.689,1.123,1
1290,161,1549.214,7.901,1.303,1
1300,162,1558.221,8.821,1.093,1
1310,163,1567.219,9.04,1.042,1
1320,164,1576.209,8.734,1.112,1
1330,165,1585.191,9.829,0.862,1
1340,166,1594.164,8.559,1.152,1
1350,167,1603.13,8.866,1.082,1
1360,168,1612.088,9.654,0.902,1
1370,169,1621.038,8.691,1.122,1
1380,170,1629.98,8.779,1.102,1
1400,172,1647.843,8.299,1.212,1
1410,173,1656.763,8.343,1.202,1
1420,174,1665.677,8.387,1.192,1
1430,175,1674.583,8.825,1.092,1
1440,176,1683.483,8.737,1.112,1
1450,177,1692.376,8.519,1.161,1
1460,178,1701.263,8.782,1.101,1
1470,179,1710.143,7.776,1.331,1
1480,180,1719.017,8.607,1.141,1
1490,181,1727.885,9.046,1.041,1
1500,182,1736.747,9.484,0.941,1
1510,183,1745.603,9.353,0.971,1
1520,184,1754.453,8.696,1.121,1
1530,185,1763.298,9.134,1.021,1
1540,186,1772.138,8.434,1.181,1
1550,187,1780.972,8.479,1.171,1
1560,188,1789.801,9.88,0.851,1
1570,189,1798.625,9.267,0.991,1
1580,190,1807.444,9.705,0.891,1
1590,191,1816.259,9.268,0.99,1
1600,192,1825.069,8.962,1.06,1
1610,193,1833.874,8.699,1.12,1
1620,194,1842.676,8.787,1.1,1
1630,195,1851.473,8.568,1.15,1
1640,196,1860.266,9.707,0.89,1
1650,197,1869.055,8.307,1.21,1
1660,198,1877.841,8.176,1.24,1
1670,199,1886.623,8.876,1.08,1
1680,200,1895.401,8.702,1.12,1
1690,201,1904.177,9.84,0.86,1
1700,202,1912.949,8.834,1.09,1
1710,203,1921.718,9.928,0.84,1
1735,205.5,1943.629,8.003,1.279,1
1745,206.5,1952.389,8.441,1.179,1
1755,207.5,1961.146,9.142,1.019,1
1780,210,1983.031,8.004,1.279,1
1790,211,1991.782,9.712,0.889,1
1800,212,2000.531,9.406,0.959,1
1810,213,2009.278,8.356,1.199,1
1820,214,2018.024,8.443,1.179,1
1830,215,2026.769,9.1,1.029,1
1840,216,2035.513,9.101,1.029,1
1850,217,2044.256,8.969,1.059,1
1860,218,2052.999,9.189,1.008,1
1870,219,2061.74,9.627,0.908,1
1880,220,2070.482,9.015,1.048,1
1890,221,2079.223,8.927,1.068,1
1900,222,2087.964,9.409,0.958,1
1910,223,2096.705,8.753,1.108,1
1920,224,2105.446,9.059,1.038,1
1930,225,2114.187,8.578,1.148,1
1935,225.5,2118.558,8.535,1.158,1
1940,226,2122.929,8.578,1.148,1
1950,227,2131.672,8.71,1.118,1
1960,228,2140.415,8.754,1.108,1
1970,229,2149.159,8.623,1.138,1
1980,230,2157.905,9.061,1.038,1
2000,232,2175.4,8.23,1.228,1
2020,234,2192.901,8.888,1.077,1
2030,235,2201.655,8.712,1.117,1
2040,236,2210.41,9.238,0.997,1
2050,237,2219.168,8.407,1.187,1
2060,238,2227.929,8.407,1.187,1
2070,239,2236.691,8.714,1.117,1
2085,240.5,2249.841,8.276,1.217,1
2110,243,2271.771,8.803,1.097,1
2120,244,2280.549,8.453,1.177,1
2130,245,2289.331,8.891,1.077,1
2140,246,2298.116,8.366,1.196,1
2160,248,2315.698,8.761,1.106,1
2170,249,2324.496,8.498,1.166,1
2180,250,2333.298,9.637,0.906,1
2180,250,2333.298,9.663,0.9,1
2190,251,2342.104,9.462,0.946,1
2210,253,2359.731,9.463,0.946,1
2220,254,2368.551,7.887,1.306,1
2230,255,2377.378,8.456,1.176,1
2240,256,2386.209,8.369,1.196,1
2240,256,2386.209,7.581,1.376,1
2250,257,2395.046,8.763,1.106,1
2260,258,2403.889,8.807,1.096,1
2270,259,2412.737,9.246,0.996,1
2280,260,2421.592,8.414,1.185,1
2290,261,2430.452,8.458,1.175,1
2300,262,2439.32,8.021,1.275,1
2310,263,2448.193,7.583,1.375,1
2320,264,2457.074,8.985,1.055,1
2330,265,2465.961,7.715,1.345,1
2340,266,2474.856,8.416,1.185,1
2350,267,2483.757,8.504,1.165,1
2360,268,2492.667,8.067,1.265,1
2370,269,2501.583,9.161,1.015,1
2380,270,2510.508,8.067,1.265,1
2390,271,2519.44,7.354,1.428,1
2400,272,2528.381,7.748,1.337,1
2410,273,2537.33,7.67,1.355,1
2430,275,2555.253,7.644,1.361,1
2440,276,2564.228,8.244,1.224,1
2450,277,2573.212,7.864,1.311,1
2460,278,2582.205,8.639,1.134,1
2470,279,2591.207,8.547,1.155,1
2490,281,2609.24,8.163,1.243,1
2500,282,2618.272,8.553,1.154,1
2510,283,2627.313,7.34,1.431,1
2520,284,2636.365,8.729,1.114,1
2530,285,2645.428,8.361,1.198,1
2540,286,2654.5,7.591,1.373,1
2550,287,2663.584,8.817,1.093,1
2560,288,2672.679,8.336,1.203,1
2570,289,2681.785,8.48,1.17,1
2580,290,2690.902,7.942,1.293,1
2590,291,2700.03,8.433,1.181,1
2600,292,2709.171,8.075,1.263,1
2625,294.5,2732.074,9.594,0.916,1
2640,296,2745.853,8.514,1.163,1
2650,297,2755.055,9.424,0.955,1
2660,298,2764.27,8.295,1.213,1
2670,299,2773.497,9.031,1.044,1
2680,300,2782.738,9.391,0.962,1
2690,301,2791.992,8.761,1.106,1
2700,302,2801.26,7.772,1.332,1
2710,303,2810.541,8.888,1.077,1
2720,304,2819.837,8.78,1.102,1
2730,305,2829.146,8.548,1.155,1
2740,306,2838.47,8.737,1.112,1
2750,307,2847.808,7.682,1.353,1
2760,308,2857.162,10.095,0.801,1
2770,309,2866.53,8.642,1.133,1
2780,310,2875.913,8.476,1.171,1
2790,311,2885.311,8.586,1.146,1
2800,312,2894.725,8.171,1.241,1
2810,313,2904.154,9.069,1.036,1
2820,314,2913.6,8.434,1.181,1
2830,315,2923.061,9.709,0.89,1
2840,316,2932.539,8.961,1.06,1
2850,317,2942.033,9.202,1.005,1
2860,318,2951.544,8.962,1.06,1
2870,319,2961.071,9.602,0.914,1
2875,319.5,2965.841,8.967,1.059,1
2880,320,2970.616,9.795,0.87,1
2890,321,2980.177,9.117,1.025,1
2900,322,2989.757,9.446,0.95,1
2910,323,2999.353,8.395,1.19,1
2920,324,3008.968,9.272,0.99,1
2930,325,3018.601,8.699,1.12,1
2940,326,3028.252,8.353,1.199,1
2950,327,3037.921,8.153,1.245,1
2960,328,3047.609,8.223,1.229,1
2970,329,3057.315,7.952,1.291,1
2990,331,3076.786,8.137,1.249,1
3000,332,3086.55,8.575,1.149,1
3010,333,3096.334,8.532,1.159,1
3020,334,3106.137,8.796,1.098,1
3035,335.5,3120.88,8.709,1.118,1
3040,336,3125.805,7.921,1.298,1
3050,337,3135.669,8.797,1.098,1
3060,338,3145.554,8.71,1.118,1
3070,339,3155.46,8.448,1.178,1
3080,340,3165.386,8.755,1.108,1
3100,342,3185.304,8.494,1.167,1
3105,342.5,3190.296,7.881,1.307,1
3110,343,3195.295,8.888,1.077,1
3120,344,3205.307,8.232,1.227,1
3130,345,3215.342,9.458,0.947,1
3140,346,3225.399,7.664,1.357,1
3150,347,3235.479,8.102,1.257,1
3160,348,3245.581,9.547,0.927,1
3170,349,3255.706,8.848,1.086,1
3180,350,3265.854,7.973,1.286,1
3190,351,3276.026,8.104,1.256,1
3200,352,3286.221,8.455,1.176,1
3210,353,3296.439,8.806,1.096,1
3220,354,3306.682,7.931,1.296,1
3230,355,3316.949,8.457,1.176,1
3250,357,3337.555,8.414,1.185,1
3260,358,3347.896,8.327,1.205,1
3270,359,3358.261,8.547,1.155,1
3280,360,3368.651,8.11,1.255,1
3290,361,3379.067,8.285,1.215,1
3300,362,3389.509,8.329,1.205,1
3310,363,3399.976,8.023,1.275,1
3320,364,3410.469,8.198,1.235,1
3330,365,3420.989,8.068,1.265,1
3340,366,3431.535,8.724,1.115,1
3350,367,3442.108,8.55,1.155,1
3360,368,3452.707,8.506,1.164,1
3370,369,3463.334,8.638,1.134,1
3380,370,3473.988,8.594,1.144,1
3390,371,3484.669,8.244,1.224,1
3400,372,3495.379,8.026,1.274,1
3430,375,3527.676,8.771,1.104,1
3440,376,3538.498,8.639,1.134,1
3450,377,3549.349,9.647,0.904,1
3460,378,3560.23,8.377,1.194,1
3470,379,3571.14,8.772,1.104,1
3480,380,3582.079,8.247,1.224,1
3495,381.5,3598.544,8.159,1.244,1
3510,383,3615.076,8.028,1.274,1
3520,384,3626.136,8.773,1.103,1
3530,385,3637.226,7.416,1.413,1
3540,386,3648.347,8.117,1.253,1
3550,387,3659.499,8.029,1.273,1
3560,388,3670.682,9.343,0.973,1
3570,389,3681.897,8.73,1.113,1
3580,390,3693.143,8.336,1.203,1
3590,391,3704.422,9.519,0.933,1
3600,392,3715.733,8.688,1.123,1
3610,393,3727.076,9.025,1.046,1
3620,394,3738.452,8.951,1.063,1
3630,395,3749.86,9.476,0.943,1
3640,396,3761.302,7.988,1.283,1
3650,397,3772.777,9.652,0.903,1
3660,398,3784.286,9.258,0.993,1
3670,399,3795.828,8.733,1.113,1
3680,400,3807.405,8.077,1.262,1
3690,401,3819.016,8.558,1.153,1
3700,402,3830.661,8.69,1.122,1
3710,403,3842.341,8.121,1.252,1
3720,404,3854.055,7.815,1.322,1
3730,405,3865.805,9.435,0.952,1
3740,406,3877.591,9.304,0.982,1
3750,407,3889.412,7.816,1.322,1
3760,408,3901.268,7.116,1.482,1
3770,409,3913.161,7.729,1.342,1
3780,410,3925.09,8.036,1.272,1
3790,411,3937.056,8.474,1.172,1
3800,412,3949.059,8.824,1.092,1
3810,413,3961.098,8.431,1.182,1
3820,414,3973.175,8.606,1.142,1
3830,415,3985.29,8.781,1.102,1
3840,416,3997.442,8.782,1.101,1
3850,417,4009.632,8.213,1.231,1
3860,418,4021.86,8.258,1.221,1
3870,419,4034.127,9.003,1.051,1
3880,420,4046.432,8.128,1.251,1
3890,421,4058.776,7.91,1.301,1
3900,422,4071.16,8.217,1.23,1
3910,423,4083.582,7.956,1.29,1
3920,424,4096.045,8.132,1.25,1
3930,425,4108.547,8.045,1.27,1
3940,426,4121.09,7.739,1.34,1
3950,427,4133.672,8.134,1.25,1
3960,428,4146.296,8.091,1.259,1
3970,429,4158.96,8.311,1.209,1
3980,430,4171.665,8.793,1.099,1
3990,431,4184.412,8.356,1.199,1
4000,432,4197.2,8.401,1.188,1
4010,433,4210.03,8.27,1.218,1
4020,434,4222.902,8.972,1.058,1
4030,435,4235.816,8.535,1.158,1
4040,436,4248.773,8.711,1.118,1
4050,437,4261.773,8.93,1.067,1
4060,438,4274.815,8.712,1.117,1
4070,439,4287.901,8.757,1.107,1
4080,440,4301.03,10.028,0.817,1
4090,441,4314.204,7.577,1.377,1
4100,442,4327.421,9.067,1.036,1
4110,443,4340.682,7.185,1.466,1
4120,444,4353.988,9.112,1.026,1
4130,445,4367.339,7.318,1.436,1
4140,446,4380.734,8.413,1.186,1
4150,447,4394.175,7.451,1.405,1
4160,448,4407.661,8.328,1.205,1
4170,449,4421.194,7.934,1.295,1
4180,450,4434.772,9.205,1.005,1
4190,451,4448.396,8.286,1.215,1
4200,452,4462.067,8.726,1.114,1
4210,453,4475.784,7.632,1.364,1
4220,454,4489.549,8.377,1.194,1
4230,455,4503.361,8.422,1.184,1
4240,456,4517.22,9.167,1.014,1
4240,456,4517.22,8.16,1.244,1
4250,457,4531.127,8.861,1.083,1
4260,458,4545.082,8.906,1.073,1
4260,458,4545.082,8.205,1.233,1
4270,459,4559.086,7.769,1.333,1
4280,460,4573.137,9.39,0.963,1
4280,460,4573.137,7.595,1.373,1
4290,461,4587.238,8.559,1.152,1
4300,462,4601.388,8.56,1.152,1
4310,463,4615.587,8.123,1.252,1
4320,464,4629.835,9.394,0.962,1
4330,465,4644.133,8.957,1.062,1
4340,466,4658.482,7.994,1.281,1
4350,467,4672.88,8.959,1.061,1
4360,468,4687.329,9.704,0.891,1
4360,468,4687.329,8.391,1.191,1
4370,469,4701.829,7.91,1.301,1
4380,470,4716.38,7.604,1.37,1
4390,471,4730.983,7.693,1.35,1
4405,472.5,4752.983,9.182,1.01,1
4410,473,4760.343,7.825,1.32,1
4415,473.5,4767.715,8.833,1.09,1
4420,474,4775.101,9.315,0.98,1
4435,475.5,4797.336,9.403,0.959,1
4445,476.5,4812.225,9.01,1.049,1
4455,477.5,4827.168,8.004,1.279,1
4465,478.5,4842.163,8.18,1.239,1
4470,479,4849.681,9.056,1.039,1
4480,480,4864.757,9.932,0.839,1
4490,481,4879.888,7.832,1.319,1
4500,482,4895.072,8.708,1.118,1
4510,483,4910.311,8.884,1.078,1
4515,483.5,4917.951,8.403,1.188,1
4520,484,4925.604,7.221,1.458,1
4530,485,4940.953,7.791,1.328,1
4530,485,4940.953,7.791,1.328,1
4545,486.5,4964.079,7.88,1.308,1
4550,487,4971.816,8.099,1.257,1
4560,488,4987.331,8.494,1.167,1
4575,489.5,5010.709,8.714,1.117,1
4585,490.5,5026.365,8.146,1.247,1
4590,491,5034.214,9.503,0.937,1
4600,492,5049.955,8.059,1.266,1
4610,493,5065.753,7.228,1.456,1
4620,494,5081.608,7.623,1.366,1
4630,495,5097.522,8.587,1.146,1
4645,496.5,5121.5,8.501,1.166,1
4650,497,5129.522,8.808,1.095,1
4660,498,5145.61,8.634,1.135,1
4670,499,5161.757,9.072,1.035,1
4680,500,5177.962,9.511,0.935,1
4690,501,5194.227,7.541,1.385,1
4705,502.5,5218.736,8.506,1.165,1
4710,503,5226.936,7.937,1.294,1
4730,505,5259.885,7.195,1.464,1
4740,506,5276.451,8.202,1.234,1
4740,506,5276.451,8.728,1.114,1
4750,507,5293.077,8.116,1.254,1
4760,508,5309.765,8.773,1.103,1
4780,510,5343.325,7.768,1.333,1
4800,512,5377.133,8.254,1.222,1
4810,513,5394.131,9.308,0.981,1
4820,514,5411.191,9.048,1.041,1
4830,515,5428.315,7.956,1.29,1
4840,516,5445.502,8.31,1.209,1
4850,517,5462.753,8.97,1.058,1
4860,518,5480.068,8.229,1.228,1
4870,519,5497.447,8.888,1.077,1
4880,520,5514.891,8.454,1.176,1
4890,521,5532.399,9.113,1.026,1
4905,522.5,5558.784,8.33,1.205,1
4910,523,5567.612,8.595,1.144,1
4920,524,5585.316,8.116,1.254,1
4930,525,5603.087,8.076,1.263,1
4940,526,5620.923,8.342,1.202,1
4950,527,5638.827,8.914,1.071,1
4960,528,5656.797,7.648,1.361,1
4970,529,5674.834,8.921,1.07,1
4985,530.5,5702.016,8.488,1.169,1
4990,531,5711.11,8.446,1.178,1
5000,532,5729.35,8.099,1.258,1
5010,533,5747.658,7.358,1.427,1
5025,534.5,5775.249,8.895,1.076,1
5030,535,5784.48,9.028,1.045,1
5040,536,5802.995,8.638,1.134,1
5050,537,5821.578,7.721,1.344,1
5060,538,5840.232,8.381,1.193,1
5070,539,5858.955,8.122,1.252,1
5080,540,5877.749,8.432,1.181,1
5090,541,5896.613,7.735,1.341,1
5100,542,5915.548,8.177,1.24,1
5110,543,5934.554,8.049,1.269,1
5115,543.5,5944.083,9.057,1.038,1
5120,544,5953.631,8.184,1.238,1
5130,545,5972.78,7.924,1.297,1
5140,546,5992.001,8.234,1.226,1
5150,547,6011.294,8.544,1.156,1
5160,548,6030.659,7.498,1.395,1
5170,549,6050.098,7.632,1.364,1
5180,550,6069.609,8.074,1.263,1
5190,551,6089.194,8.121,1.252,1
5195,551.5,6099.014,7.16,1.472,1
5200,552,6108.853,8.563,1.151,1
5210,553,6128.585,7.822,1.321,1
5220,554,6148.392,7.651,1.36,1
5230,555,6168.274,7.698,1.349,1
5240,556,6188.23,7.57,1.378,1
5250,557,6208.262,7.968,1.287,1
5260,558,6228.368,7.709,1.347,1
5270,559,6248.551,7.888,1.306,1
5280,560,6268.81,7.761,1.335,1
5295,561.5,6299.341,9.298,0.983,1
5300,562,6309.557,8.031,1.273,1
5310,563,6330.045,8.998,1.052,1
5320,564,6350.611,9.001,1.051,1
5330,565,6371.255,8.524,1.16,1
5340,566,6391.976,8.528,1.159,1
5350,567,6412.775,7.7,1.349,1
5365,568.5,6444.122,8.013,1.277,1
5370,569,6454.61,8.759,1.107,1
5380,570,6475.645,9.377,0.966,1
5390,571,6496.76,8.506,1.165,1
5400,572,6517.955,8.992,1.054,1
5410,573,6539.229,8.69,1.122,1
5420,574,6560.584,8.782,1.101,1
5430,575,6582.019,8.743,1.11,1
5440,576,6603.535,8.923,1.069,1
5450,577,6625.133,8.406,1.187,1
5460,578,6646.811,7.658,1.358,1
5475,579.5,6679.483,8.195,1.236,1
5485,580.5,6701.367,7.237,1.454,1
5495,581.5,6723.333,7.504,1.393,1
5505,582.5,6745.382,8.078,1.262,1
5515,583.5,6767.514,7.776,1.331,1
5525,584.5,6789.729,8.464,1.174,1
5540,586,6823.21,8.195,1.236,1
5550,587,6845.635,7.731,1.341,1
5560,588,6868.145,7.618,1.367,1
5570,589,6890.74,8.547,1.155,1
5580,590,6913.42,7.72,1.344,1
5590,591,6936.186,8.473,1.172,1
5600,592,6959.037,8.084,1.261,1
5610,593,6981.974,8.597,1.144,1
5620,594,7004.998,7.91,1.3,1
5630,595,7028.108,7.777,1.331,1
5640,596,7051.305,8.375,1.194,1
5650,597,7074.59,7.892,1.305,1
5660,598,7097.962,8.588,1.146,1
5670,599,7121.422,8.271,1.218,1
5680,600,7144.97,8.796,1.098,1
5700,602,7192.333,6.591,1.602,1
5710,603,7216.148,7.492,1.396,1
5720,604,7240.052,9.006,1.05,1
5730,605,7264.046,7.928,1.296,1
5740,606,7288.131,8.396,1.19,1
5750,607,7312.305,9.358,0.97,1
5760,608,7336.571,9.611,0.912,1
5770,609,7360.927,8.74,1.111,1
5780,610,7385.375,8.866,1.082,1
5790,611,7409.915,8.449,1.177,1
5800,612,7434.547,8.435,1.181,1
5810,613,7459.271,9.205,1.005,1
5820,614,7484.088,9.283,0.987,1
5830,615,7508.997,8.616,1.139,1
5840,616,7534,9.208,1.004,1
5850,617,7559.097,9.425,0.955,1
5860,618,7584.288,8.512,1.163,1
5870,619,7609.572,7.998,1.281,1
5880,620,7634.952,7.899,1.303,1
5890,621,7660.426,8.895,1.076,1
5900,622,7685.996,8.381,1.193,1
5910,623,7711.661,9.723,0.887,1
5965,628.5,7854.541,8.517,1.162,1
5975,629.5,7880.835,9.649,0.903,1
