depth (m),age (BP),temperature (degC),planktic.MgCa (mmol_mol),planktic.d18O (permil)
5.78,9950,28.211,4.37,-2.56
5.83,10069,28.901,4.65,-2.5
5.88,10188,29.067,4.72,-2.35
5.93,10307,27.664,4.16,-2.64
5.98,10461,29.346,4.84,-2.3
6.02,10585,28.586,4.52,-2.34
6.03,10616,28.659,4.55,-2.51
6.04,10647,28.16,4.35,-2.34
6.06,10709,27.901,4.25,-2.26
6.08,10770,28.535,4.505,-2.35
6.1,10832,29.161,4.76,-2.23
6.12,10894,27.823,4.22,-2.32
6.13,10925,28.925,4.66,-2.44
6.14,10956,27.529,4.11,-2.13
6.16,11017,28.487,4.48,-2.13
6.18,11079,28.349,4.43,-2.09
6.2,11141,28.109,4.33,-2.19
6.22,11203,28.006,4.29,-2.32
6.23,11233,28.274,4.395,-2.16
6.24,11264,27.69,4.17,-2.14
6.26,11326,28.006,4.29,-2.16
6.28,11388,27.818,4.22,-2.1
6.3,11450,28.462,4.47,-2.15
6.32,11511,28.362,4.43,-2.26
6.33,11542,28.159,4.35,-1.9
6.34,11573,28.512,4.49,-2.02
6.36,11635,29.02,4.7,-2.11
6.38,11697,28.309,4.41,-1.73
6.4,11758,28.337,4.42,-2.03
6.42,11820,28.925,4.66,-1.9
6.43,11851,28.27,4.395,-1.9
6.44,11882,27.664,4.16,-1.87
6.46,11936,28.083,4.32,-1.96
6.48,11989,27.664,4.16,-1.87
6.5,12043,28.262,4.39,-1.72
6.52,12096,27.529,4.11,-1.7
6.53,12123,27.448,4.08,-1.72
6.54,12150,28.805,4.61,-1.77
6.56,12203,28.006,4.29,-1.66
6.58,12257,27.032,3.93,-1.52
6.6,12310,27.06,3.94,-1.53
6.62,12364,28.708,4.57,-1.67
6.63,12391,26.658,3.8,-1.63
6.64,12418,26.975,3.91,-1.91
6.66,12471,27.2,3.99,-1.63
6.68,12525,26.481,3.74,-1.74
6.7,12578,27.77,4.2,-1.92
6.72,12632,26.687,3.81,-1.84
6.73,12659,26.832,3.86,-1.77
6.74,12685,27.583,4.13,-1.94
6.76,12739,27.475,4.09,-1.92
6.78,12792,26.918,3.89,-1.66
6.8,12846,28.236,4.38,-1.62
6.82,12899,26.947,3.9,-1.72
6.83,12926,27.088,3.95,-1.66
6.84,12953,27.69,4.17,-1.66
6.86,13007,26.975,3.91,-1.43
6.88,13060,27.228,4,-1.55
6.92,13167,27.003,3.92,-1.89
6.93,13194,26.451,3.73,-1.78
6.94,13259,26.774,3.84,-1.62
6.96,13390,27.311,4.03,-2.02
6.98,13520,27.717,4.18,-1.44
7,13650,27.06,3.94,-1.7
7.02,13781,27.2,3.99,-1.83
7.03,13846,27.366,4.05,-1.58
7.04,13911,26.54,3.76,-1.81
7.06,14041,26.658,3.8,-1.75
7.08,14172,26.947,3.9,-1.51
7.1,14302,26.861,3.87,-1.8
7.12,14433,26.716,3.82,-1.42
7.13,14498,26.745,3.83,-1.65
7.14,14563,26.271,3.67,-1.35
7.16,14694,26.947,3.9,-1.5
7.18,14824,26.362,3.7,-1.36
7.2,14954,26.362,3.7,-1.42
7.22,15085,26.241,3.66,-1.36
7.23,15150,27.032,3.93,-1.62
7.24,15215,26.599,3.78,-1.56
7.26,15461,26.392,3.71,-1.36
7.28,15708,27.06,3.94,-1.31
7.3,15954,25.712,3.49,-1.07
7.32,16201,25.902,3.55,-0.96
7.33,16324,25.964,3.57,-1.2
7.34,16447,27.003,3.92,-1.24
7.36,16694,26.658,3.8,-1.48
7.38,16940,27.256,4.01,-1.21
7.4,17187,26.421,3.72,-1.14
7.42,17433,26.54,3.76,-1.07
7.43,17557,25.455,3.41,-1.1
7.44,17680,26.271,3.67,-1.12
7.46,17926,25.744,3.5,-1.06
7.48,18173,25.455,3.41,-0.93
7.5,18419,26.088,3.61,-1.07
7.52,18666,26.481,3.74,-0.95
7.53,18789,25.224,3.34,-0.95
7.54,18894,25.357,3.38,-0.99
7.56,19105,25.839,3.53,-0.8
7.58,19316,25.902,3.55,-1.02
7.6,19527,26.392,3.71,-0.82
7.62,19738,25.87,3.54,-1.22
7.63,19843,26.149,3.63,-1.17
7.64,19948,25.455,3.41,-1.1
7.66,20159,25.839,3.53,-1.05
7.68,20370,25.158,3.32,-1.11
7.7,20581,26.241,3.66,-0.84
7.72,20791,25.87,3.54,-1.22
7.73,20897,25.389,3.39,-1.31
7.74,21002,25.224,3.34,-1.48
7.76,21213,24.783,3.21,-0.93
7.8,21635,25.455,3.41,-1.1
7.82,21845,26.21,3.65,-1.24
7.83,21951,25.127,3.315,-1.01
7.84,22056,25.224,3.34,-1.34
7.86,22267,26.362,3.7,-1.2
7.88,22483,25.552,3.44,-0.93
7.9,22699,25.933,3.56,-1.4
7.92,22915,25.964,3.57,-1.01
7.93,23023,25.649,3.47,-1.12
7.94,23131,25.964,3.57,-0.99
7.96,23347,25.776,3.51,-1.04
7.98,23563,25.057,3.29,-1.04
8,23779,25.584,3.45,-1.19
8.02,23995,25.487,3.42,-1.06
8.03,24103,24.538,3.14,-1.06
8.04,24211,26.057,3.6,-1.17
8.06,24427,25.776,3.51,-1.1
8.08,24643,25.422,3.4,-1.24
8.1,24859,25.422,3.4,-1.22
8.12,25075,26.119,3.62,-1.09
8.13,25183,25.933,3.56,-0.88
8.14,25291,26.088,3.61,-1.42
8.16,25507,25.964,3.57,-1.25
8.18,25723,26.149,3.63,-1.41
8.22,26010,26.481,3.74,-1.22
8.23,26082,25.487,3.42,-1.23
8.24,26154,26.481,3.74,-0.91
8.26,26297,25.224,3.34,-1.25
8.28,26441,25.389,3.39,-1.55
8.3,26584,26.832,3.86,-0.9
8.32,26728,26.119,3.62,-0.85
8.33,26799,25.324,3.37,-1.08
8.34,26871,24.955,3.26,-1.26
8.36,27015,25.487,3.42,-1.21
8.38,27158,24.679,3.18,-1.21
8.4,27302,25.357,3.38,-1.14
8.42,27445,25.649,3.47,-1.04
8.43,27517,25.191,3.33,-1.44
8.44,27589,25.324,3.37,-1.13
8.46,27732,24.886,3.24,-1.23
8.48,27876,25.712,3.49,-1.15
8.5,28019,25.191,3.33,-1.15
8.52,28163,25.964,3.57,-1.19
8.53,28235,25.933,3.56,-0.98
8.54,28306,26.057,3.6,-1.09
8.56,28450,25.52,3.43,-1.32
8.58,28593,26.332,3.69,-1.15
8.6,28737,25.68,3.48,-1.37
8.62,28881,24.714,3.19,-1.43
8.63,28952,25.712,3.49,-1.38
8.64,29024,24.818,3.22,-1.28
8.66,29168,24.955,3.26,-1.36
8.68,29311,25.552,3.44,-1.2
8.7,29455,25.68,3.48,-1.44
8.72,29598,26.149,3.63,-1.36
8.73,29670,26.057,3.6,-1.33
8.74,29742,25.776,3.51,-1.36
8.76,29885,25.807,3.52,-1.5
8.78,30029,25.902,3.55,-1.34
8.8,30172,25.87,3.54,-1.54
8.82,30316,25.68,3.48,-0.98
8.83,30388,25.933,3.56,-1.33
8.84,30459,25.291,3.36,-1.37
8.88,30746,25.776,3.51,-1.42
8.9,30890,25.224,3.34,-1.37
8.92,31034,25.422,3.4,-1.25
8.93,31105,25.023,3.28,-1.4
8.94,31177,25.552,3.44,-1.21
8.96,31308,25.68,3.48,-1.35
8.98,31439,26.149,3.63,-1.14
9,31570,25.552,3.44,-1.13
9.02,31701,25.389,3.39,-1.23
9.03,31767,25.87,3.54,-0.9
9.04,31832,25.807,3.52,-1.19
9.06,31963,25.191,3.33,-1.13
9.08,32094,24.955,3.26,-1.21
9.1,32225,26.119,3.62,-1.35
9.12,32356,25.776,3.51,-1.1
9.13,32422,25.776,3.51,-1.32
9.14,32487,25.224,3.34,-1.12
9.16,32619,25.324,3.37,-1.1
9.18,32750,25.224,3.34,-1.39
9.2,32881,25.712,3.49,-1.6
9.22,33012,25.291,3.36,-1.32
9.23,33077,25.224,3.34,-1.46
9.24,33143,25.584,3.45,-1.46
9.26,33274,24.36,3.09,-1.34
9.28,33405,25.224,3.34,-1.26
9.3,33536,26.026,3.59,-1.35
9.32,33667,25.964,3.57,-1.33
9.33,33733,25.257,3.35,-1.47
9.34,33798,25.649,3.47,-1.26
9.36,33929,24.921,3.25,-1.5
9.38,34060,25.68,3.48,-1.3
9.4,34191,24.955,3.26,-1.57
9.42,34322,24.503,3.13,-1.32
9.43,34388,25.52,3.43,-1.41
9.44,34453,25.023,3.28,-1.35
9.46,34584,25.52,3.43,-1.33
9.48,34715,26.149,3.63,-1.61
9.5,34846,25.584,3.45,-1.66
9.52,34977,25.776,3.51,-1.37
9.53,35043,25.712,3.49,-1.63
9.54,35108,26.687,3.81,-1.28
9.56,35240,25.933,3.56,-1.45
