year (AD),age (BP),Ti (cps)
731.6,1218.4,0.173
725.6,1224.4,0.167
719.5,1230.5,0.163
713.4,1236.6,0.187
707.3,1242.7,0.197
701.2,1248.8,0.203
695.1,1254.9,0.173
689,1261,0.177
682.9,1267.1,0.173
676.8,1273.2,0.183
670.7,1279.3,0.18
664.7,1285.3,0.173
658.6,1291.4,0.177
652.5,1297.5,0.18
646.4,1303.6,0.197
640.3,1309.7,0.21
634.2,1315.8,0.213
628.1,1321.9,0.203
622,1328,0.187
615.9,1334.1,0.197
609.8,1340.2,0.183
603.7,1346.3,0.18
597.7,1352.3,0.17
591.6,1358.4,0.19
585.5,1364.5,0.197
579.4,1370.6,0.207
573.3,1376.7,0.2
567.2,1382.8,0.207
561.1,1388.9,0.197
555,1395,0.207
548.9,1401.1,0.197
542.8,1407.2,0.203
536.8,1413.2,0.193
530.7,1419.3,0.18
524.6,1425.4,0.17
518.5,1431.5,0.177
512.4,1437.6,0.183
506.3,1443.7,0.197
500.2,1449.8,0.18
494.1,1455.9,0.19
488,1462,0.207
481.9,1468.1,0.213
475.8,1474.2,0.21
469.8,1480.2,0.193
463.7,1486.3,0.2
457.6,1492.4,0.217
451.5,1498.5,0.183
445.4,1504.6,0.193
439.3,1510.7,0.183
433.2,1516.8,0.203
427.1,1522.9,0.2
421,1529,0.21
414.9,1535.1,0.223
408.9,1541.1,0.227
402.8,1547.2,0.213
396.7,1553.3,0.213
390.6,1559.4,0.21
384.5,1565.5,0.213
378.4,1571.6,0.213
372.3,1577.7,0.22
366.2,1583.8,0.223
360.1,1589.9,0.21
354,1596,0.197
347.9,1602.1,0.193
341.9,1608.1,0.193
335.8,1614.2,0.21
329.7,1620.3,0.217
323.6,1626.4,0.21
317.5,1632.5,0.173
311.4,1638.6,0.163
305.3,1644.7,0.167
299.2,1650.8,0.177
293.1,1656.9,0.173
287,1663,0.18
281,1669,0.193
274.9,1675.1,0.203
268.8,1681.2,0.197
262.7,1687.3,0.203
256.6,1693.4,0.213
250.5,1699.5,0.223
244.4,1705.6,0.22
238.3,1711.7,0.193
232.2,1717.8,0.18
226.1,1723.9,0.17
220,1730,0.17
214,1736,0.173
207.9,1742.1,0.193
201.8,1748.2,0.22
195.7,1754.3,0.223
189.6,1760.4,0.217
183.5,1766.5,0.203
177.4,1772.6,0.21
171.3,1778.7,0.213
165.2,1784.8,0.22
159.1,1790.9,0.22
153.1,1796.9,0.207
147,1803,0.21
140.9,1809.1,0.213
134.8,1815.2,0.23
128.7,1821.3,0.23
122.6,1827.4,0.22
116.5,1833.5,0.22
110.4,1839.6,0.207
104.3,1845.7,0.207
98.2,1851.8,0.2
92.1,1857.9,0.2
86.1,1863.9,0.207
80,1870,0.21
73.9,1876.1,0.22
67.8,1882.2,0.223
61.7,1888.3,0.213
55.6,1894.4,0.213
49.5,1900.5,0.223
43.4,1906.6,0.22
37.3,1912.7,0.223
31.2,1918.8,0.207
25.2,1924.8,0.213
19.1,1930.9,0.197
13,1937,0.2
6.9,1943.1,0.21
0.8,1949.2,0.217
-5.3,1955.3,0.217
-11.4,1961.4,0.197
-17.5,1967.5,0.203
-23.6,1973.6,0.2
-29.7,1979.7,0.223
-35.8,1985.8,0.237
-41.8,1991.8,0.247
-47.9,1997.9,0.24
-54,2004,0.233
-60.1,2010.1,0.223
-66.2,2016.2,0.217
-72.3,2022.3,0.213
-78.4,2028.4,0.22
-84.5,2034.5,0.217
-90.6,2040.6,0.18
-96.7,2046.7,0.15
-102.7,2052.7,0.163
-108.8,2058.8,0.197
-114.9,2064.9,0.227
-121,2071,0.22
-127.1,2077.1,0.21
-133.2,2083.2,0.2
-139.3,2089.3,0.197
-145.4,2095.4,0.213
-151.5,2101.5,0.223
-157.6,2107.6,0.217
-163.7,2113.7,0.187
-169.7,2119.7,0.17
-175.8,2125.8,0.18
-181.9,2131.9,0.207
-188,2138,0.227
-194.1,2144.1,0.233
-200.2,2150.2,0.23
-206.3,2156.3,0.227
-212.4,2162.4,0.22
-218.5,2168.5,0.213
-224.6,2174.6,0.21
-230.6,2180.6,0.21
-236.7,2186.7,0.213
-242.8,2192.8,0.23
-248.9,2198.9,0.227
-255,2205,0.233
-261.1,2211.1,0.227
-267.2,2217.2,0.233
-273.3,2223.3,0.227
-279.4,2229.4,0.217
-285.5,2235.5,0.223
-291.6,2241.6,0.223
-297.6,2247.6,0.21
-303.7,2253.7,0.193
-309.8,2259.8,0.193
-315.9,2265.9,0.197
-322,2272,0.197
-328.1,2278.1,0.197
-334.2,2284.2,0.2
-340.3,2290.3,0.21
-346.4,2296.4,0.21
-352.5,2302.5,0.217
-358.5,2308.5,0.22
-364.6,2314.6,0.22
-370.7,2320.7,0.227
-376.8,2326.8,0.22
-382.9,2332.9,0.223
-389,2339,0.217
-394.4,2344.4,0.187
-399.7,2349.7,0.183
-405.1,2355.1,0.19
-410.4,2360.4,0.21
-415.8,2365.8,0.213
-421.2,2371.2,0.2
-426.5,2376.5,0.207
-431.9,2381.9,0.197
-437.3,2387.3,0.19
-442.6,2392.6,0.19
-448,2398,0.21
-453.3,2403.3,0.23
-458.7,2408.7,0.25
-464.1,2414.1,0.233
-469.4,2419.4,0.22
-474.8,2424.8,0.21
-480.2,2430.2,0.21
-485.5,2435.5,0.21
-490.9,2440.9,0.157
-496.2,2446.2,0.137
-501.6,2451.6,0.113
-507,2457,0.14
-512.3,2462.3,0.153
-517.7,2467.7,0.173
-523,2473,0.173
-528.4,2478.4,0.173
-533.8,2483.8,0.173
-539.1,2489.1,0.197
-544.5,2494.5,0.203
-549.9,2499.9,0.217
-555.2,2505.2,0.217
-560.6,2510.6,0.223
-565.9,2515.9,0.213
-571.3,2521.3,0.205
-576.7,2526.7,0.19
-582,2532,NA
-587.4,2537.4,0.18
-592.8,2542.8,NA
-598.1,2548.1,0.177
-603.5,2553.5,0.15
-608.8,2558.8,0.147
-614.2,2564.2,0.147
-619.6,2569.6,0.19
-624.9,2574.9,0.207
-630.3,2580.3,0.237
-635.6,2585.6,0.22
-641,2591,0.22
-646.4,2596.4,0.21
-651.7,2601.7,0.21
-657.1,2607.1,0.19
-662.5,2612.5,0.17
-667.8,2617.8,NA
-673.2,2623.2,NA
-678.5,2628.5,0.19
-683.9,2633.9,0.223
-689.3,2639.3,0.25
-694.6,2644.6,0.257
-700,2650,0.237
-705.4,2655.4,0.233
-710.7,2660.7,0.237
-716.1,2666.1,0.25
-721.4,2671.4,0.253
-726.8,2676.8,0.23
-732.2,2682.2,0.233
-737.5,2687.5,0.243
-742.9,2692.9,0.26
-748.2,2698.2,0.237
-753.6,2703.6,0.22
-759,2709,0.213
-764.3,2714.3,0.24
-769.7,2719.7,0.24
-775.1,2725.1,0.237
-780.4,2730.4,0.217
-785.8,2735.8,0.233
-791.1,2741.1,0.237
-796.5,2746.5,0.24
-801.9,2751.9,0.24
-807.2,2757.2,0.26
-812.6,2762.6,0.283
-818,2768,0.283
-823.3,2773.3,0.273
-828.7,2778.7,0.267
-834,2784,0.283
-839.4,2789.4,0.29
-844.8,2794.8,0.287
-850.1,2800.1,0.257
-855.5,2805.5,0.24
-860.8,2810.8,0.223
-866.2,2816.2,0.22
-871.6,2821.6,0.21
-876.9,2826.9,0.177
-882.3,2832.3,0.173
-887.7,2837.7,0.157
-893,2843,0.15
-898.4,2848.4,0.11
-903.7,2853.7,0.087
-909.1,2859.1,0.087
-914.5,2864.5,0.09
-919.8,2869.8,0.107
-925.2,2875.2,0.14
-930.6,2880.6,0.17
-935.9,2885.9,0.195
-941.3,2891.3,0.235
-946.6,2896.6,0.28
-952,2902,0.273
-957.4,2907.4,0.26
-962.7,2912.7,0.247
-968.1,2918.1,0.263
-973.4,2923.4,0.277
-978.8,2928.8,0.29
-984.2,2934.2,0.277
-989.5,2939.5,0.27
-994.9,2944.9,0.263
-1000.3,2950.3,0.267
-1005.6,2955.6,0.27
-1011,2961,0.253
-1016.3,2966.3,0.207
-1021.7,2971.7,0.163
-1027.1,2977.1,0.13
-1032.4,2982.4,0.13
-1037.8,2987.8,0.127
-1043.2,2993.2,0.13
-1048.5,2998.5,0.133
-1053.9,3003.9,0.123
-1059.2,3009.2,0.117
-1064.6,3014.6,0.087
-1070,3020,0.08
-1075.3,3025.3,0.097
-1080.7,3030.7,0.133
-1086,3036,0.167
-1091.4,3041.4,0.177
-1096.8,3046.8,0.153
-1102.1,3052.1,0.153
-1107.5,3057.5,0.153
-1112.9,3062.9,0.17
-1118.2,3068.2,0.17
-1123.6,3073.6,0.167
-1128.9,3078.9,0.17
-1134.3,3084.3,0.173
-1139.7,3089.7,0.163
-1145,3095,0.157
-1150.4,3100.4,0.127
-1155.8,3105.8,0.12
-1161.1,3111.1,0.137
-1166.5,3116.5,0.173
-1171.8,3121.8,0.207
-1177.2,3127.2,0.217
-1182.6,3132.6,0.193
-1187.9,3137.9,0.167
-1193.3,3143.3,0.17
-1198.6,3148.6,0.203
-1204,3154,0.207
-1209.4,3159.4,0.197
-1214.7,3164.7,0.183
-1220.1,3170.1,0.223
-1225.5,3175.5,0.223
-1230.8,3180.8,0.247
-1236.2,3186.2,0.217
-1241.5,3191.5,0.21
-1246.9,3196.9,0.183
-1252.3,3202.3,0.203
-1257.6,3207.6,0.22
-1263,3213,0.22
-1268.4,3218.4,0.21
-1273.7,3223.7,0.185
-1279.1,3229.1,0.22
-1284.4,3234.4,0.227
-1289.8,3239.8,0.24
-1295.2,3245.2,0.243
-1300.5,3250.5,0.23
-1305.9,3255.9,0.213
-1311.2,3261.2,0.17
-1316.6,3266.6,0.173
-1322,3272,0.183
-1327.3,3277.3,0.22
-1332.7,3282.7,0.233
-1338.1,3288.1,0.233
-1343.4,3293.4,0.21
-1348.8,3298.8,0.18
-1354.1,3304.1,0.17
-1359.5,3309.5,0.163
-1364.9,3314.9,0.15
-1370.2,3320.2,0.167
-1375.6,3325.6,0.19
-1381,3331,0.23
-1386.3,3336.3,0.23
-1391.7,3341.7,0.23
-1397,3347,0.223
-1402.4,3352.4,0.22
-1407.8,3357.8,0.23
-1413.1,3363.1,0.227
-1418.5,3368.5,0.21
-1423.8,3373.8,0.177
-1429.2,3379.2,0.16
-1434.6,3384.6,0.153
-1439.9,3389.9,0.17
-1445.3,3395.3,0.153
-1450.7,3400.7,0.137
-1456,3406,0.113
-1461.4,3411.4,0.13
-1466.7,3416.7,0.14
-1472.1,3422.1,0.143
-1477.5,3427.5,0.127
-1482.8,3432.8,0.15
-1488.2,3438.2,0.163
-1493.6,3443.6,0.197
-1498.9,3448.9,0.22
-1504.3,3454.3,0.223
-1509.6,3459.6,0.237
-1515,3465,0.22
-1520.4,3470.4,0.233
-1525.9,3475.9,0.233
-1531.3,3481.3,0.257
-1536.8,3486.8,0.263
-1542.2,3492.2,0.27
-1547.7,3497.7,0.27
-1553.1,3503.1,0.287
-1558.6,3508.6,0.297
-1564,3514,0.283
-1569.5,3519.5,0.277
-1574.9,3524.9,0.267
-1580.3,3530.3,0.263
-1585.8,3535.8,0.25
-1591.2,3541.2,0.263
-1596.7,3546.7,0.273
-1602.1,3552.1,0.283
-1607.6,3557.6,0.267
-1613,3563,0.27
-1618.5,3568.5,0.263
-1623.9,3573.9,0.26
-1629.4,3579.4,0.227
-1634.8,3584.8,0.207
-1640.2,3590.2,0.183
-1645.7,3595.7,0.193
-1651.1,3601.1,0.193
-1656.6,3606.6,0.21
-1662,3612,0.233
-1667.5,3617.5,0.243
-1672.9,3622.9,0.257
-1678.4,3628.4,0.23
-1683.8,3633.8,0.247
-1689.3,3639.3,0.237
-1694.7,3644.7,0.253
-1700.2,3650.2,0.24
-1705.6,3655.6,0.23
-1711,3661,0.23
-1716.5,3666.5,0.217
-1721.9,3671.9,0.203
-1727.4,3677.4,0.18
-1732.8,3682.8,0.183
-1738.3,3688.3,0.19
-1743.7,3693.7,0.2
-1749.2,3699.2,0.2
-1754.6,3704.6,0.22
-1760.1,3710.1,0.243
-1765.5,3715.5,0.263
-1770.9,3720.9,0.253
-1776.4,3726.4,0.24
-1781.8,3731.8,0.22
-1787.3,3737.3,0.23
-1792.7,3742.7,0.23
-1798.2,3748.2,0.237
-1803.6,3753.6,0.213
-1809.1,3759.1,0.183
-1814.5,3764.5,0.183
-1820,3770,0.207
-1825.4,3775.4,0.22
-1830.8,3780.8,0.2
-1836.3,3786.3,0.163
-1841.7,3791.7,0.155
-1847.2,3797.2,0.13
-1852.6,3802.6,0.125
-1858.1,3808.1,0.14
-1863.5,3813.5,0.15
-1869,3819,0.163
-1874.4,3824.4,0.17
-1879.9,3829.9,0.207
-1885.3,3835.3,0.217
-1890.7,3840.7,0.237
-1896.2,3846.2,0.227
-1901.6,3851.6,0.24
-1907.1,3857.1,0.263
-1912.5,3862.5,0.273
-1918,3868,0.287
-1923.4,3873.4,0.27
-1928.9,3878.9,0.26
-1934.3,3884.3,0.263
-1939.8,3889.8,0.267
-1945.2,3895.2,0.283
-1950.6,3900.6,0.25
-1956.1,3906.1,0.237
-1961.5,3911.5,0.227
-1967,3917,0.24
-1972.4,3922.4,0.233
-1977.9,3927.9,0.25
-1983.3,3933.3,0.26
-1988.8,3938.8,0.273
-1994.2,3944.2,0.257
-1999.7,3949.7,0.263
-2005.1,3955.1,0.26
-2010.6,3960.6,0.27
-2016,3966,0.277
-2021.4,3971.4,0.267
-2026.9,3976.9,0.253
-2032.3,3982.3,0.25
-2037.8,3987.8,0.257
-2043.2,3993.2,0.273
-2048.7,3998.7,0.253
-2054.1,4004.1,0.25
-2059.6,4009.6,0.233
-2065,4015,0.263
-2168.5,4118.5,0.27
-2173.9,4123.9,0.28
-2179.4,4129.4,0.26
-2184.8,4134.8,0.27
-2190.3,4140.3,0.26
-2195.7,4145.7,0.255
-2201.1,4151.1,0.253
-2206.6,4156.6,0.253
-2212,4162,0.263
-2217.5,4167.5,0.273
-2222.9,4172.9,0.27
-2228.4,4178.4,0.267
-2233.8,4183.8,0.277
-2239.3,4189.3,0.293
-2244.7,4194.7,0.297
-2250.2,4200.2,0.29
-2255.6,4205.6,0.29
-2261,4211,0.287
-2266.5,4216.5,0.267
-2271.9,4221.9,0.257
-2277.4,4227.4,0.257
-2282.8,4232.8,0.28
-2288.3,4238.3,0.293
-2293.7,4243.7,0.297
-2299.2,4249.2,0.283
-2304.6,4254.6,0.28
-2310.1,4260.1,0.27
-2315.5,4265.5,0.29
-2321,4271,0.283
-2326.4,4276.4,0.287
-2331.8,4281.8,0.27
-2337.3,4287.3,0.273
-2342.7,4292.7,0.29
-2348.2,4298.2,0.293
-2353.6,4303.6,0.29
-2359.1,4309.1,0.29
-2364.5,4314.5,0.297
-2370,4320,0.303
-2375.4,4325.4,0.3
-2380.9,4330.9,0.293
-2386.3,4336.3,0.297
-2391.7,4341.7,0.32
-2397.2,4347.2,0.32
-2402.6,4352.6,0.307
-2408.1,4358.1,0.287
-2413.5,4363.5,0.297
-2419,4369,0.307
-2424.4,4374.4,0.307
-2429.9,4379.9,0.297
-2435.3,4385.3,0.307
-2440.8,4390.8,0.29
-2446.2,4396.2,0.29
-2451.6,4401.6,0.283
-2457.1,4407.1,0.313
-2462.5,4412.5,0.303
-2468,4418,0.307
-2473.4,4423.4,0.283
-2478.9,4428.9,0.293
-2484.3,4434.3,0.277
-2489.8,4439.8,0.27
-2495.2,4445.2,0.273
-2500.7,4450.7,0.29
-2506.1,4456.1,0.323
-2511.5,4461.5,0.327
-2517,4467,0.327
-2522.4,4472.4,0.307
-2527.9,4477.9,0.317
-2533.3,4483.3,0.313
-2538.8,4488.8,0.31
-2544.2,4494.2,0.32
-2549.7,4499.7,0.313
-2555.1,4505.1,0.31
-2560.6,4510.6,0.277
-2566,4516,0.27
-2571.4,4521.4,0.28
-2576.9,4526.9,0.287
-2582.3,4532.3,0.293
-2587.8,4537.8,0.277
-2593.2,4543.2,0.277
-2598.7,4548.7,0.28
-2604.1,4554.1,0.3
-2609.6,4559.6,0.31
-2615,4565,0.3
-2620.5,4570.5,0.293
-2625.9,4575.9,0.293
-2631.4,4581.4,0.297
-2636.8,4586.8,0.29
-2642.2,4592.2,0.307
-2647.7,4597.7,0.307
-2653.1,4603.1,0.307
-2658.6,4608.6,0.287
-2664,4614,0.3
-2669.5,4619.5,0.307
-2674.9,4624.9,0.3
-2680.4,4630.4,0.29
-2685.8,4635.8,0.277
-2691.3,4641.3,0.277
-2696.7,4646.7,0.283
-2702.1,4652.1,0.29
-2707.6,4657.6,0.28
-2713,4663,0.267
-2718.5,4668.5,0.27
-2723.9,4673.9,0.277
-2729.4,4679.4,0.29
-2734.8,4684.8,0.29
-2740.3,4690.3,0.313
-2745.7,4695.7,0.307
-2751.2,4701.2,0.297
-2756.6,4706.6,0.277
-2762,4712,0.267
-2767.5,4717.5,0.263
-2772.9,4722.9,0.277
-2778.4,4728.4,0.297
-2783.8,4733.8,0.303
-2789.3,4739.3,0.303
-2794.7,4744.7,0.31
-2800.2,4750.2,0.33
-2805.6,4755.6,0.327
-2811.1,4761.1,0.3
-2816.5,4766.5,0.293
-2821.9,4771.9,0.283
-2827.4,4777.4,0.297
-2832.8,4782.8,0.297
-2838.3,4788.3,0.313
-2843.7,4793.7,0.327
-2849.2,4799.2,0.333
-2854.6,4804.6,0.34
-2860.1,4810.1,0.337
-2865.5,4815.5,0.337
-2871,4821,0.337
-2876.4,4826.4,0.31
-2881.8,4831.8,0.29
-2887.3,4837.3,0.273
-2892.7,4842.7,0.287
-2898.2,4848.2,0.303
-2903.6,4853.6,0.297
-2909.1,4859.1,0.303
-2914.5,4864.5,0.29
-2920,4870,0.29
-2925.4,4875.4,0.273
-2930.9,4880.9,0.283
-2936.3,4886.3,0.27
-2941.8,4891.8,0.277
-2947.2,4897.2,0.263
-2952.6,4902.6,0.29
-2958.1,4908.1,0.297
-2963.5,4913.5,0.31
-2969,4919,0.31
-2974.4,4924.4,0.313
-2979.9,4929.9,0.29
-2985.3,4935.3,0.28
-2990.8,4940.8,0.277
-2996.2,4946.2,0.293
-3001.7,4951.7,0.29
-3007.1,4957.1,0.29
-3012.5,4962.5,0.29
-3018,4968,0.277
-3023.4,4973.4,0.267
-3028.9,4978.9,0.26
-3034.3,4984.3,0.283
-3039.8,4989.8,0.287
-3045.2,4995.2,0.28
-3050.7,5000.7,0.257
-3056.1,5006.1,0.25
-3061.6,5011.6,0.263
-3067,5017,0.277
-3072.4,5022.4,0.28
-3077.8,5027.8,0.283
-3083.3,5033.3,0.287
-3088.7,5038.7,0.277
-3094.1,5044.1,0.287
-3099.5,5049.5,0.287
-3104.9,5054.9,0.307
-3110.4,5060.4,0.293
-3115.8,5065.8,0.28
-3121.2,5071.2,0.28
-3126.6,5076.6,0.27
-3132,5082,0.29
-3137.5,5087.5,0.29
-3142.9,5092.9,0.277
-3148.3,5098.3,0.263
-3153.7,5103.7,0.26
-3159.1,5109.1,0.287
-3164.5,5114.5,0.293
-3170,5120,0.29
-3175.4,5125.4,0.26
-3180.8,5130.8,0.26
-3186.2,5136.2,0.273
-3191.6,5141.6,0.31
-3197.1,5147.1,0.303
-3202.5,5152.5,0.293
-3207.9,5157.9,0.287
-3213.3,5163.3,0.29
-3218.7,5168.7,0.297
-3224.2,5174.2,0.287
-3229.6,5179.6,0.28
-3235,5185,0.273
-3240.4,5190.4,0.283
-3245.8,5195.8,0.293
-3251.3,5201.3,0.297
-3256.7,5206.7,0.283
-3262.1,5212.1,0.273
-3267.5,5217.5,0.267
-3272.9,5222.9,0.287
-3278.4,5228.4,0.303
-3283.8,5233.8,0.297
-3289.2,5239.2,0.287
-3294.6,5244.6,0.273
-3300,5250,0.28
-3305.5,5255.5,0.29
-3310.9,5260.9,0.293
-3316.3,5266.3,0.31
-3321.7,5271.7,0.307
-3327.1,5277.1,0.317
-3332.5,5282.5,0.303
-3338,5288,0.3
-3343.4,5293.4,0.307
-3348.8,5298.8,0.313
-3354.2,5304.2,0.313
-3359.6,5309.6,0.293
-3365.1,5315.1,0.287
-3370.5,5320.5,0.3
-3375.9,5325.9,0.31
-3381.3,5331.3,0.307
-3386.7,5336.7,0.307
-3392.2,5342.2,0.31
-3397.6,5347.6,0.317
-3403,5353,0.303
-3408.4,5358.4,0.297
-3413.8,5363.8,0.3
-3419.3,5369.3,0.29
-3424.7,5374.7,0.273
-3430.1,5380.1,0.27
-3435.5,5385.5,0.303
-3440.9,5390.9,0.33
-3446.4,5396.4,0.327
-3451.8,5401.8,0.3
-3457.2,5407.2,0.293
-3462.6,5412.6,0.307
-3468,5418,0.303
-3473.5,5423.5,0.297
-3478.9,5428.9,0.29
-3484.3,5434.3,0.287
-3489.7,5439.7,0.297
-3495.1,5445.1,0.28
-3500.5,5450.5,0.283
-3506,5456,0.293
-3511.4,5461.4,0.307
-3516.8,5466.8,0.323
-3522.2,5472.2,0.32
-3527.6,5477.6,0.333
-3533.1,5483.1,0.343
-3538.5,5488.5,0.337
-3543.9,5493.9,0.337
-3549.3,5499.3,0.323
-3554.7,5504.7,0.343
-3560.2,5510.2,0.347
-3565.6,5515.6,0.35
-3571,5521,0.34
-3576.4,5526.4,0.33
-3581.8,5531.8,0.337
-3587.3,5537.3,0.327
-3592.7,5542.7,0.31
-3598.1,5548.1,0.297
-3603.5,5553.5,0.3
-3608.9,5558.9,0.303
-3614.4,5564.4,0.307
-3619.8,5569.8,0.303
-3625.2,5575.2,0.327
-3630.6,5580.6,0.307
-3636,5586,0.3
-3641.5,5591.5,0.287
-3646.9,5596.9,0.297
-3652.3,5602.3,0.287
-3657.7,5607.7,0.29
-3663.1,5613.1,0.287
-3668.5,5618.5,0.3
-3674,5624,0.287
-3679.4,5629.4,0.29
-3684.8,5634.8,0.293
-3690.2,5640.2,0.3
-3695.6,5645.6,0.31
-3701.1,5651.1,0.31
-3706.5,5656.5,0.317
-3711.9,5661.9,0.323
-3717.3,5667.3,0.317
-3722.7,5672.7,0.303
-3728.2,5678.2,0.293
-3733.6,5683.6,0.293
-3739,5689,0.29
-3744.4,5694.4,0.277
-3749.8,5699.8,0.283
-3755.3,5705.3,0.277
-3760.7,5710.7,0.29
-3766.1,5716.1,0.283
-3771.5,5721.5,0.3
-3776.9,5726.9,0.287
-3782.4,5732.4,0.293
-3787.8,5737.8,0.29
