year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-8620,10570,0.24,4.2,0.139,0.346,0.021,0.358,0.01,0.127,3.2,3.2
-9000,10950,0.25,4.8,0.157,0.362,0.021,0.333,0.011,0.116,2.8,2.8
-9380,11330,0.26,14.6,0.15,0.386,0.023,0.307,0.011,0.123,2.3,2.3
-9760,11710,0.27,8.1,0.179,0.377,0.021,0.327,0.011,0.086,2.6,2.6
-10140,12090,0.28,2.8,0.185,0.37,0.019,0.33,0.011,0.085,2.8,1.8
-10520,12470,0.29,9.4,0.176,0.374,0.019,0.339,0.011,0.081,2.7,2.8
-10900,12850,0.3,6.1,0.177,0.365,0.02,0.346,0.011,0.081,2.9,2.9
-11280,13230,0.31,7,0.173,0.364,0.02,0.349,0.011,0.083,2.9,2.9
-11660,13610,0.32,11.9,0.168,0.371,0.021,0.348,0.012,0.082,2.8,2.8
-12040,13990,0.33,8.4,0.181,0.374,0.02,0.337,0.011,0.077,2.7,2.7
-12420,14370,0.34,13.6,0.174,0.38,0.019,0.338,0.011,0.078,2.7,2.7
-12800,14750,0.35,9.3,0.177,0.372,0.02,0.342,0.011,0.078,2.7,2.8
-12930,14880,0.36,13.6,0.167,0.373,0.02,0.348,0.012,0.081,2.7,2.8
-13040,14990,0.37,21.1,0.163,0.39,0.02,0.335,0.011,0.081,2.5,2.5
-13140,15090,0.38,24.3,0.163,0.401,0.021,0.32,0.012,0.083,2.2,2.3
-13240,15190,0.39,26.6,0.16,0.403,0.022,0.321,0.012,0.082,2.2,2.2
-13340,15290,0.4,25.6,0.167,0.408,0.021,0.312,0.012,0.08,2.1,2.1
-13440,15390,0.41,23.1,0.167,0.411,0.024,0.293,0.013,0.092,2,2
-13540,15490,0.42,23.8,0.168,0.407,0.022,0.309,0.012,0.083,2.1,2.1
-13650,15600,0.43,20.7,0.177,0.409,0.022,0.298,0.012,0.082,2.1,2.1
-13750,15700,0.44,15,0.189,0.429,0.025,0.234,0.013,0.111,1.6,1.5
-13850,15800,0.45,14.9,0.178,0.428,0.026,0.226,0.013,0.128,1.5,1.5
-13950,15900,0.46,16.7,0.185,0.438,0.026,0.216,0.014,0.121,1.4,1.4
-14050,16000,0.47,18.5,0.181,0.442,0.027,0.213,0.014,0.124,1.4,1.3
-14150,16100,0.48,15.8,0.18,0.433,0.026,0.222,0.014,0.126,1.5,1.4
-14260,16210,0.49,16,0.179,0.431,0.026,0.224,0.014,0.126,1.5,1.5
-14460,16410,0.51,16.8,0.178,0.434,0.026,0.221,0.013,0.127,1.4,1.4
-14560,16510,0.52,16.4,0.176,0.43,0.026,0.226,0.014,0.128,1.5,1.5
-14660,16610,0.53,16,0.173,0.424,0.026,0.238,0.014,0.125,1.6,1.6
-14760,16710,0.54,24.6,0.181,0.438,0.024,0.248,0.013,0.094,1.5,1.5
-14870,16820,0.55,16.7,0.193,0.434,0.024,0.234,0.014,0.101,1.5,1.5
-14970,16920,0.56,17.3,0.184,0.436,0.025,0.223,0.013,0.118,1.4,1.4
-15070,17020,0.57,21.9,0.179,0.446,0.025,0.217,0.013,0.119,1.3,1.3
-15170,17120,0.58,19,0.166,0.434,0.028,0.22,0.014,0.138,1.4,1.4
-15270,17220,0.59,17.8,0.182,0.441,0.027,0.212,0.013,0.125,1.3,1.3
-15370,17320,0.6,20.7,0.183,0.436,0.025,0.238,0.013,0.105,1.5,1.5
-15580,17530,0.62,17.8,0.202,0.447,0.023,0.216,0.013,0.099,1.4,1.3
-15680,17630,0.63,19.5,0.198,0.447,0.023,0.221,0.013,0.097,1.4,1.3
-15780,17730,0.64,23.5,0.196,0.449,0.022,0.232,0.013,0.087,1.4,1.4
-15880,17830,0.65,22.2,0.181,0.428,0.024,0.263,0.013,0.091,1.7,1.7
-15980,17930,0.66,24.9,0.195,0.455,0.023,0.224,0.013,0.089,1.3,1.3
-16090,18040,0.67,17.4,0.203,0.438,0.022,0.237,0.013,0.086,1.5,1.5
-16190,18140,0.68,18.2,0.2,0.444,0.024,0.224,0.013,0.095,1.4,1.4
-16290,18240,0.69,19.8,0.203,0.452,0.023,0.216,0.013,0.093,1.4,1.3
-16390,18340,0.7,19.7,0.187,0.441,0.025,0.225,0.014,0.107,1.4,1.4
-16490,18440,0.71,20.2,0.191,0.447,0.024,0.218,0.013,0.106,1.4,1.3
-16590,18540,0.72,17.7,0.187,0.443,0.026,0.212,0.013,0.12,1.3,1.3
-16700,18650,0.73,23.5,0.193,0.451,0.024,0.225,0.014,0.093,1.4,1.3
-16800,18750,0.74,20.4,0.195,0.447,0.024,0.222,0.014,0.098,1.4,1.3
-16900,18850,0.75,18.7,0.193,0.442,0.025,0.224,0.014,0.103,1.4,1.4
-17000,18950,0.76,17.3,0.188,0.43,0.025,0.241,0.014,0.102,1.6,1.6
-17100,19050,0.77,19.7,0.182,0.438,0.027,0.226,0.014,0.113,1.4,1.4
-17200,19150,0.78,17,0.186,0.429,0.026,0.24,0.015,0.105,1.6,1.5
-17310,19260,0.79,20.8,0.188,0.44,0.024,0.233,0.014,0.101,1.5,1.5
-17610,19560,0.82,22.4,0.197,0.454,0.024,0.218,0.014,0.094,1.3,1.3
-17710,19660,0.83,24.8,0.202,0.468,0.025,0.198,0.014,0.093,1.1,1.1
-17810,19760,0.84,22.1,0.201,0.462,0.025,0.2,0.014,0.098,1.2,1.1
-17920,19870,0.85,20.3,0.198,0.445,0.023,0.23,0.013,0.09,1.5,1.4
-18020,19970,0.86,22.4,0.2,0.455,0.025,0.215,0.014,0.092,1.3,1.2
-18120,20070,0.87,25.1,0.193,0.471,0.026,0.185,0.014,0.111,1,1
-18220,20170,0.88,26,0.184,0.476,0.029,0.17,0.014,0.127,0.9,0.9
-18320,20270,0.89,23.4,0.208,0.479,0.026,0.172,0.014,0.102,1,0.9
-18530,20480,0.91,17,0.192,0.454,0.028,0.186,0.014,0.126,1.2,1.1
-18630,20580,0.92,24.5,0.187,0.464,0.027,0.193,0.014,0.114,1.1,1.1
-18730,20680,0.93,21.2,0.198,0.459,0.026,0.199,0.014,0.104,1.2,1.1
-18830,20780,0.94,22.8,0.203,0.465,0.026,0.195,0.015,0.096,1.1,1.1
-18930,20880,0.95,24.9,0.202,0.468,0.027,0.198,0.014,0.091,1.1,1.1
-19030,20980,0.96,21.3,0.211,0.461,0.025,0.205,0.013,0.084,1.3,1.2
-19140,21090,0.97,29.3,0.193,0.467,0.027,0.212,0.014,0.087,1.2,1.1
-19240,21190,0.98,24.8,0.202,0.469,0.026,0.195,0.015,0.092,1.1,1.1
-19340,21290,0.99,23.6,0.196,0.461,0.027,0.204,0.014,0.098,1.2,1.2
-19440,21390,1,23.8,0.19,0.453,0.027,0.219,0.014,0.099,1.3,1.3
-19640,21590,1.02,22.6,0.18,0.438,0.026,0.239,0.013,0.104,1.5,1.5
-19750,21700,1.03,20.7,0.19,0.438,0.024,0.241,0.013,0.094,1.6,1.5
-19850,21800,1.04,16.3,0.193,0.424,0.024,0.256,0.013,0.089,1.7,1.7
-19950,21900,1.05,22.5,0.187,0.442,0.024,0.237,0.013,0.096,1.5,1.4
-20150,22100,1.07,15.5,0.198,0.43,0.024,0.243,0.013,0.093,1.6,1.6
-20250,22200,1.08,16.7,0.204,0.44,0.024,0.229,0.014,0.089,1.5,1.4
-20360,22310,1.09,16.6,0.201,0.435,0.024,0.237,0.014,0.089,1.6,1.5
-20460,22410,1.1,18.5,0.193,0.431,0.023,0.249,0.014,0.09,1.6,1.6
-20560,22510,1.11,17.6,0.187,0.427,0.024,0.25,0.014,0.098,1.7,1.6
-20660,22610,1.12,20.6,0.192,0.435,0.023,0.25,0.013,0.087,1.6,1.6
-20760,22710,1.13,14.2,0.181,0.413,0.025,0.262,0.015,0.104,1.8,1.8
-20860,22810,1.14,9,0.198,0.42,0.025,0.235,0.014,0.108,1.7,1.6
-20970,22920,1.15,14.1,0.2,0.429,0.023,0.24,0.014,0.094,1.7,1.6
-21070,23020,1.16,18.9,0.191,0.435,0.025,0.238,0.015,0.096,1.5,1.5
-21170,23120,1.17,15.1,0.197,0.436,0.026,0.222,0.015,0.105,1.5,1.4
-21270,23220,1.18,14.4,0.177,0.428,0.028,0.222,0.015,0.131,1.5,1.5
-21370,23320,1.19,20.3,0.188,0.447,0.026,0.214,0.014,0.11,1.3,1.3
-21470,23420,1.2,12.5,0.193,0.426,0.024,0.234,0.014,0.109,1.6,1.5
-21580,23530,1.21,15.6,0.181,0.425,0.026,0.237,0.015,0.116,1.6,1.6
-21680,23630,1.22,17.6,0.19,0.435,0.025,0.232,0.015,0.104,1.5,1.5
-21780,23730,1.23,20.3,0.191,0.442,0.025,0.229,0.014,0.1,1.4,1.4
-21880,23830,1.24,21.8,0.191,0.446,0.024,0.228,0.013,0.098,1.4,1.4
-21980,23930,1.25,17.6,0.194,0.44,0.025,0.226,0.013,0.102,1.5,1.4
-22080,24030,1.26,15.8,0.196,0.432,0.025,0.236,0.014,0.097,1.6,1.5
-22190,24140,1.27,18.4,0.195,0.437,0.024,0.235,0.014,0.093,1.5,1.5
-22310,24260,1.28,18.4,0.191,0.434,0.024,0.239,0.014,0.097,1.6,1.5
-22460,24410,1.29,21.5,0.185,0.445,0.025,0.222,0.014,0.109,1.4,1.4
-22610,24560,1.3,18.3,0.177,0.435,0.028,0.223,0.014,0.123,1.5,1.4
-22760,24710,1.31,18.4,0.169,0.43,0.027,0.231,0.013,0.13,1.6,1.5
-22910,24860,1.32,18.2,0.194,0.436,0.024,0.237,0.013,0.095,1.5,1.5
-23060,25010,1.33,26.5,0.179,0.449,0.025,0.232,0.013,0.101,1.4,1.4
-23210,25160,1.34,15.3,0.199,0.436,0.025,0.226,0.014,0.099,1.5,1.4
-23360,25310,1.35,15.7,0.199,0.435,0.025,0.232,0.014,0.096,1.6,1.5
-23510,25460,1.36,18,0.187,0.435,0.025,0.232,0.014,0.106,1.5,1.5
-23660,25610,1.37,17.4,0.196,0.438,0.025,0.229,0.015,0.097,1.5,1.4
-23810,25760,1.38,14.7,0.211,0.447,0.024,0.208,0.014,0.096,1.4,1.2
-23960,25910,1.39,10.9,0.216,0.447,0.025,0.194,0.015,0.103,1.3,1.2
-24110,26060,1.4,11.8,0.195,0.431,0.025,0.218,0.016,0.115,1.5,1.4
-24260,26210,1.41,9.4,0.204,0.436,0.027,0.199,0.016,0.118,1.4,1.3
-24410,26360,1.42,11.9,0.217,0.449,0.024,0.195,0.015,0.1,1.3,1.2
-24560,26510,1.43,11.4,0.215,0.445,0.023,0.2,0.014,0.102,1.3,1.3
-24710,26660,1.44,16.8,0.189,0.447,0.026,0.198,0.015,0.125,1.3,1.2
-24860,26810,1.45,10.5,0.207,0.436,0.024,0.21,0.015,0.108,1.4,1.4
-25010,26960,1.46,17,0.198,0.446,0.024,0.21,0.015,0.106,1.3,1.3
-25160,27110,1.47,12.5,0.196,0.439,0.025,0.204,0.015,0.12,1.4,1.3
-25310,27260,1.48,9.1,0.194,0.429,0.025,0.21,0.015,0.127,1.5,1.4
-25460,27410,1.49,12.1,0.192,0.438,0.025,0.202,0.015,0.129,1.4,1.3
-25610,27560,1.5,19,0.185,0.431,0.023,0.244,0.014,0.102,1.6,1.5
-25760,27710,1.51,7,0.2,0.414,0.024,0.242,0.015,0.105,1.8,1.7
-25910,27860,1.52,12.7,0.202,0.442,0.024,0.202,0.015,0.115,1.3,1.3
-26070,28020,1.53,12.7,0.209,0.447,0.023,0.198,0.014,0.109,1.3,1.2
-26220,28170,1.54,10.8,0.212,0.438,0.022,0.215,0.014,0.099,1.5,1.4
-26370,28320,1.55,10.4,0.214,0.438,0.022,0.212,0.014,0.099,1.4,1.3
-26520,28470,1.56,8,0.217,0.435,0.022,0.211,0.014,0.1,1.5,1.4
-26670,28620,1.57,16.3,0.205,0.447,0.023,0.213,0.014,0.099,1.4,1.3
-26820,28770,1.58,10.7,0.213,0.439,0.023,0.211,0.014,0.1,1.4,1.3
-26970,28920,1.59,16.8,0.205,0.441,0.023,0.227,0.014,0.089,1.5,1.4
-27120,29070,1.6,11,0.19,0.422,0.026,0.23,0.016,0.116,1.6,1.5
-27270,29220,1.61,8,0.22,0.439,0.022,0.205,0.014,0.1,1.4,1.3
-27420,29370,1.62,10.3,0.218,0.444,0.023,0.201,0.014,0.099,1.3,1.3
-27570,29520,1.63,11,0.22,0.448,0.023,0.197,0.014,0.098,1.3,1.2
-27720,29670,1.64,11.6,0.221,0.446,0.022,0.205,0.014,0.093,1.3,1.3
-27870,29820,1.65,12.1,0.214,0.443,0.023,0.208,0.015,0.098,1.4,1.3
-28020,29970,1.66,11.8,0.205,0.429,0.023,0.233,0.014,0.095,1.6,1.5
-28170,30120,1.67,15.4,0.202,0.44,0.023,0.223,0.014,0.099,1.5,1.4
-28320,30270,1.68,15.5,0.202,0.44,0.023,0.222,0.014,0.099,1.5,1.4
-28470,30420,1.69,11.9,0.209,0.433,0.023,0.226,0.014,0.095,1.5,1.5
-28620,30570,1.7,10.2,0.201,0.422,0.023,0.239,0.015,0.1,1.7,1.6
-28770,30720,1.71,14.6,0.196,0.429,0.023,0.238,0.014,0.099,1.6,1.5
-28920,30870,1.72,11.2,0.196,0.427,0.024,0.227,0.015,0.111,1.6,1.5
-29070,31020,1.73,13,0.197,0.435,0.025,0.216,0.015,0.112,1.4,1.4
-29220,31170,1.74,11.5,0.204,0.443,0.025,0.196,0.015,0.118,1.3,1.2
-29370,31320,1.75,11.1,0.202,0.441,0.025,0.197,0.014,0.121,1.3,1.2
-29520,31470,1.76,9.2,0.197,0.425,0.024,0.222,0.015,0.116,1.6,1.5
-29670,31620,1.77,9.1,0.179,0.41,0.026,0.241,0.017,0.127,1.8,1.7
-29820,31770,1.78,5.4,0.182,0.408,0.026,0.233,0.017,0.133,1.8,1.7
-29970,31920,1.79,9.9,0.182,0.419,0.026,0.227,0.017,0.129,1.6,1.5
-30270,32220,1.81,15.3,0.203,0.442,0.023,0.216,0.014,0.102,1.4,1.3
-30420,32370,1.82,13.5,0.212,0.445,0.023,0.208,0.014,0.098,1.4,1.3
-30570,32520,1.83,15.5,0.209,0.448,0.023,0.21,0.014,0.097,1.4,1.3
-30720,32670,1.84,15.8,0.208,0.447,0.022,0.212,0.014,0.097,1.4,1.3
-30870,32820,1.85,10.6,0.22,0.442,0.022,0.209,0.013,0.094,1.3,1.4
-31020,32970,1.86,15.8,0.213,0.452,0.022,0.205,0.013,0.095,1.3,1.2
-31170,33120,1.87,12.5,0.216,0.448,0.024,0.199,0.014,0.099,1.3,1.2
-31320,33270,1.88,16,0.208,0.446,0.022,0.215,0.013,0.096,1.4,1.3
-31480,33430,1.89,14.1,0.209,0.434,0.022,0.235,0.013,0.087,1.6,1.5
-31630,33580,1.9,15.3,0.204,0.438,0.023,0.228,0.013,0.094,1.5,1.4
-31780,33730,1.91,13.6,0.212,0.441,0.022,0.221,0.013,0.092,1.5,1.4
-31930,33880,1.92,16.1,0.205,0.443,0.023,0.222,0.013,0.095,1.5,1.4
-32080,34030,1.93,19.6,0.205,0.453,0.022,0.214,0.013,0.094,1.3,1.2
-32230,34180,1.94,13.2,0.213,0.443,0.023,0.214,0.013,0.095,1.4,1.3
-32530,34480,1.96,11.6,0.215,0.443,0.022,0.208,0.013,0.099,1.4,1.3
-32680,34630,1.97,10.4,0.212,0.444,0.024,0.196,0.014,0.11,1.3,1.2
-32830,34780,1.98,11.1,0.207,0.444,0.023,0.197,0.014,0.116,1.3,1.2
-32980,34930,1.99,13.4,0.215,0.452,0.023,0.195,0.013,0.102,1.3,1.2
-33130,35080,2,13.8,0.214,0.45,0.022,0.201,0.013,0.099,1.3,1.2
-33280,35230,2.01,15.5,0.205,0.444,0.022,0.216,0.014,0.098,1.4,1.3
-33430,35380,2.02,14.6,0.216,0.453,0.022,0.199,0.013,0.097,1.3,1.2
-33580,35530,2.03,13.5,0.212,0.449,0.022,0.2,0.013,0.104,1.3,1.2
-33730,35680,2.04,13.8,0.214,0.449,0.022,0.202,0.013,0.099,1.3,1.2
-33880,35830,2.05,10.2,0.216,0.437,0.022,0.215,0.014,0.096,1.5,1.4
-34030,35980,2.06,19.5,0.203,0.454,0.023,0.209,0.013,0.097,1.3,1.2
-34180,36130,2.07,15.6,0.206,0.445,0.023,0.215,0.014,0.098,1.4,1.3
-34330,36280,2.08,19.9,0.193,0.445,0.023,0.222,0.014,0.102,1.4,1.3
-34480,36430,2.09,16.8,0.204,0.441,0.022,0.228,0.013,0.092,1.5,1.4
-34630,36580,2.1,21.6,0.193,0.451,0.024,0.216,0.014,0.102,1.3,1.3
-34780,36730,2.11,22.5,0.19,0.453,0.024,0.214,0.014,0.105,1.3,1.3
-34930,36880,2.12,14.7,0.209,0.443,0.023,0.218,0.013,0.094,1.5,1.3
-35080,37030,2.13,19.2,0.198,0.448,0.024,0.217,0.014,0.099,1.4,1.3
-35230,37180,2.14,20.3,0.196,0.46,0.026,0.19,0.014,0.114,1.2,1.1
-35380,37330,2.15,21.5,0.196,0.456,0.027,0.204,0.015,0.101,1.2,1.2
-35530,37480,2.16,17.2,0.196,0.441,0.024,0.22,0.015,0.103,1.4,1.4
-35680,37630,2.17,26.4,0.2,0.473,0.026,0.193,0.015,0.094,1.1,1
-35830,37780,2.18,25.5,0.201,0.471,0.025,0.194,0.014,0.094,1.1,1
-35980,37930,2.19,21.2,0.202,0.46,0.024,0.202,0.014,0.098,1.2,1.2
-36130,38080,2.2,24.4,0.203,0.466,0.024,0.202,0.014,0.091,1.2,1.1
-36280,38230,2.21,23.6,0.189,0.454,0.026,0.215,0.015,0.102,1.3,1.3
-36430,38380,2.22,18.6,0.208,0.459,0.025,0.197,0.014,0.097,1.2,1.1
-36580,38530,2.23,19.2,0.216,0.466,0.024,0.189,0.014,0.091,1.2,1
-36720,38670,2.24,24.2,0.19,0.455,0.024,0.218,0.013,0.1,1.3,1.3
-36840,38790,2.25,17.1,0.201,0.44,0.024,0.228,0.014,0.093,1.5,1.4
-36950,38900,2.26,18.3,0.209,0.458,0.024,0.197,0.014,0.097,1.2,1.1
-37070,39020,2.27,14.5,0.218,0.463,0.024,0.177,0.014,0.105,1.1,1
-37190,39140,2.28,22.7,0.196,0.457,0.024,0.21,0.014,0.099,1.3,1.2
-37310,39260,2.29,19,0.21,0.47,0.024,0.175,0.014,0.107,1.1,1
-37430,39380,2.3,19.5,0.215,0.476,0.025,0.167,0.014,0.104,1,0.9
-37550,39500,2.31,18.6,0.204,0.455,0.024,0.202,0.014,0.101,1.3,1.2
-37670,39620,2.32,18.6,0.214,0.465,0.023,0.187,0.014,0.096,1.2,1
-37780,39730,2.33,15,0.218,0.46,0.024,0.183,0.014,0.1,1.2,1
-37900,39850,2.34,18.3,0.209,0.46,0.024,0.193,0.014,0.099,1.2,1.1
-38020,39970,2.35,20,0.209,0.461,0.025,0.198,0.014,0.093,1.2,1.1
-38140,40090,2.36,18.1,0.212,0.47,0.025,0.17,0.015,0.108,1,0.9
-38260,40210,2.37,13.3,0.218,0.465,0.024,0.164,0.015,0.114,1,0.9
-38380,40330,2.38,13.4,0.22,0.463,0.024,0.172,0.015,0.106,1.1,1
-38500,40450,2.39,20.7,0.206,0.464,0.025,0.192,0.015,0.098,1.2,1.1
-38610,40560,2.4,16.2,0.208,0.455,0.025,0.193,0.015,0.105,1.2,1.1
-38730,40680,2.41,16,0.213,0.464,0.025,0.176,0.015,0.107,1.1,1
-38850,40800,2.42,16.7,0.213,0.468,0.025,0.169,0.015,0.11,1,0.9
-38970,40920,2.43,20,0.204,0.466,0.026,0.182,0.015,0.107,1.1,1
-39090,41040,2.44,24.3,0.192,0.462,0.026,0.202,0.015,0.104,1.2,1.2
-39210,41160,2.45,20.8,0.211,0.476,0.025,0.17,0.014,0.103,1,0.9
-39330,41280,2.46,19.7,0.212,0.473,0.025,0.171,0.014,0.105,1,0.9
-39450,41400,2.47,20.2,0.209,0.463,0.025,0.194,0.015,0.093,1.2,1.1
-39560,41510,2.48,19.5,0.216,0.475,0.025,0.169,0.014,0.1,1,0.9
-39680,41630,2.49,23.6,0.212,0.487,0.024,0.159,0.014,0.104,0.9,0.8
-39800,41750,2.5,17.7,0.213,0.477,0.026,0.152,0.014,0.117,0.9,0.8
-39920,41870,2.51,16.1,0.214,0.473,0.026,0.154,0.015,0.118,0.9,0.8
-40040,41990,2.52,18.2,0.212,0.468,0.024,0.177,0.014,0.105,1.1,1
-40160,42110,2.53,15.4,0.224,0.472,0.024,0.163,0.014,0.102,1,0.9
-40280,42230,2.54,17.9,0.216,0.474,0.026,0.164,0.015,0.106,1,0.9
-40390,42340,2.55,19,0.207,0.468,0.026,0.175,0.015,0.109,1.1,1
-40510,42460,2.56,18.3,0.218,0.479,0.026,0.156,0.015,0.107,0.9,0.8
-40630,42580,2.57,16,0.225,0.481,0.024,0.147,0.014,0.109,0.9,0.7
-40750,42700,2.58,16.7,0.224,0.483,0.025,0.145,0.014,0.109,0.9,0.7
-40870,42820,2.59,14.9,0.227,0.475,0.024,0.156,0.014,0.105,1,0.8
-40990,42940,2.6,15.8,0.223,0.473,0.024,0.162,0.014,0.104,1,0.9
-41110,43060,2.61,15.7,0.221,0.471,0.025,0.164,0.015,0.105,1,0.9
-41220,43170,2.62,13.2,0.221,0.459,0.024,0.181,0.015,0.1,1.1,1.1
-41340,43290,2.63,16,0.22,0.472,0.026,0.162,0.014,0.107,1,0.9
-41460,43410,2.64,14.6,0.233,0.483,0.025,0.141,0.014,0.105,0.9,0.7
-41580,43530,2.65,16.6,0.224,0.483,0.026,0.142,0.015,0.11,0.9,0.7
-41700,43650,2.66,11.9,0.231,0.475,0.026,0.141,0.015,0.111,0.9,0.8
-41820,43770,2.67,18.6,0.228,0.489,0.025,0.141,0.014,0.102,0.8,0.7
-41940,43890,2.68,14,0.227,0.473,0.026,0.154,0.014,0.106,1,0.8
-42050,44000,2.69,14.6,0.231,0.478,0.024,0.15,0.014,0.103,1,0.8
-42170,44120,2.7,13.3,0.228,0.476,0.024,0.146,0.014,0.112,0.9,0.8
-42290,44240,2.71,13.6,0.224,0.47,0.025,0.158,0.015,0.109,1,0.9
-42410,44360,2.72,13.9,0.229,0.475,0.024,0.152,0.015,0.105,1,0.8
-42530,44480,2.73,12,0.224,0.47,0.026,0.149,0.015,0.117,1,0.8
-42650,44600,2.74,16.5,0.223,0.48,0.025,0.148,0.015,0.11,0.9,0.8
-42770,44720,2.75,17.6,0.22,0.485,0.025,0.141,0.015,0.115,0.8,0.7
-42890,44840,2.76,14.9,0.222,0.476,0.025,0.147,0.015,0.114,0.9,0.8
-43000,44950,2.77,18,0.214,0.477,0.026,0.155,0.015,0.113,1,0.8
-43120,45070,2.78,14.3,0.219,0.47,0.026,0.157,0.015,0.114,1,0.9
-43480,45430,2.81,18.4,0.223,0.491,0.025,0.133,0.014,0.113,0.8,0.7
-43600,45550,2.82,18.4,0.227,0.488,0.025,0.142,0.014,0.104,0.8,0.7
-43720,45670,2.83,18.7,0.227,0.489,0.026,0.14,0.014,0.104,0.8,0.7
-43830,45780,2.84,21.7,0.225,0.496,0.025,0.139,0.014,0.101,0.8,0.7
-43960,45910,2.85,20.1,0.229,0.494,0.026,0.14,0.014,0.098,0.8,0.7
-44090,46040,2.86,23.7,0.227,0.503,0.026,0.133,0.013,0.097,0.7,0.6
-44220,46170,2.87,15.6,0.232,0.481,0.025,0.148,0.014,0.099,0.9,0.8
-44350,46300,2.88,25.2,0.224,0.505,0.027,0.133,0.014,0.097,0.7,0.6
-44480,46430,2.89,24.3,0.226,0.503,0.027,0.135,0.014,0.095,0.7,0.6
-44600,46550,2.9,29.5,0.217,0.514,0.026,0.132,0.014,0.097,0.6,0.5
-44730,46680,2.91,16.1,0.235,0.486,0.024,0.143,0.014,0.098,0.9,0.7
-44860,46810,2.92,19.1,0.233,0.494,0.025,0.136,0.014,0.098,0.8,0.6
-44990,46940,2.93,24.9,0.223,0.503,0.026,0.137,0.014,0.096,0.7,0.6
-45120,47070,2.94,19.7,0.229,0.491,0.025,0.145,0.013,0.096,0.8,0.7
-45250,47200,2.95,23.8,0.224,0.499,0.026,0.142,0.014,0.096,0.8,0.7
-45380,47330,2.96,22.4,0.231,0.503,0.026,0.131,0.014,0.095,0.7,0.6
-45510,47460,2.97,21.4,0.228,0.498,0.026,0.136,0.014,0.098,0.8,0.6
-46030,47980,3.01,22.5,0.227,0.502,0.026,0.13,0.014,0.101,0.7,0.6
-46160,48110,3.02,22.1,0.227,0.5,0.026,0.134,0.014,0.1,0.8,0.6
-46290,48240,3.03,24.6,0.217,0.501,0.026,0.135,0.014,0.106,0.7,0.6
-46420,48370,3.04,23.5,0.218,0.494,0.026,0.147,0.014,0.101,0.8,0.7
-46550,48500,3.05,20.3,0.227,0.492,0.025,0.142,0.014,0.099,0.8,0.7
-46680,48630,3.06,15.3,0.233,0.482,0.024,0.146,0.014,0.099,0.9,0.7
-46810,48760,3.07,18.1,0.23,0.488,0.024,0.145,0.014,0.099,0.9,0.7
-46940,48890,3.08,21.2,0.224,0.494,0.027,0.14,0.014,0.101,0.8,0.7
-47070,49020,3.09,17.2,0.226,0.484,0.026,0.144,0.014,0.106,0.9,0.8
-47200,49150,3.1,14.7,0.236,0.486,0.024,0.136,0.014,0.103,0.9,0.7
-47330,49280,3.11,18.4,0.224,0.489,0.025,0.138,0.015,0.108,0.8,0.7
-47460,49410,3.12,19,0.227,0.492,0.025,0.136,0.015,0.105,0.8,0.7
