depth (m),age (BP),temperature (degC),Uk37 (missing),C37.concentration (g)
1.74,19258,14.62,0.53,448.5
1.76,19336,14.46,0.52,531.6
1.78,19414,15.06,0.54,343.7
1.8,19492,14.86,0.53,452.7
1.82,19570,15.04,0.54,578.5
1.84,19647,14.6,0.53,510.8
1.86,19725,14.26,0.51,587.2
1.88,19803,14.36,0.52,546.7
1.9,19881,14.5,0.52,847.7
1.92,19959,14.38,0.52,710
1.94,20037,14.62,0.53,747.7
1.96,20115,15.67,0.56,604.2
1.98,20193,14.75,0.53,834.1
2,20271,14.76,0.53,768.8
2.02,20348,14.8,0.53,746.6
2.04,20426,14.75,0.53,543.2
2.06,20504,14.81,0.53,599.4
2.08,20582,15,0.54,828.1
2.1,20660,15.13,0.54,873.8
2.12,20738,15.06,0.54,684.4
2.14,20816,15.08,0.54,745.2
2.16,20894,15.36,0.55,610.4
2.18,20972,15.3,0.55,669.7
2.2,21049,15.3,0.55,442.7
2.22,21127,15.33,0.55,525.7
2.24,21205,14.91,0.54,399.7
2.26,21283,14.92,0.54,660.9
2.28,21361,15.17,0.54,454.5
2.3,21439,15.47,0.55,499.9
2.32,21517,15.51,0.56,505.3
2.34,21595,15.41,0.55,632.7
2.37,21711,15.33,0.55,624.2
2.38,21750,14.95,0.54,217.7
2.4,21828,14.86,0.53,440
2.43,21945,14.75,0.53,571.5
2.44,21984,14.83,0.53,651.2
2.48,22087,14.32,0.52,677.9
2.5,22138,14.66,0.53,757.2
2.52,22189,14.62,0.53,772
2.54,22240,14.9,0.54,809.4
2.56,22292,14.45,0.52,544
2.58,22343,14.37,0.52,612.1
2.6,22394,14.82,0.53,805.4
2.62,22445,14.92,0.54,790
2.64,22497,14.85,0.53,771.7
2.66,22548,15.05,0.54,932.2
2.68,22599,15.06,0.54,770.8
2.69,22625,15.19,0.55,716
2.7,22651,14.99,0.54,753.1
2.72,22702,15.15,0.54,792.1
2.74,22753,14.91,0.54,865.1
2.76,22804,14.48,0.52,386.7
2.78,22856,15.04,0.54,745
2.8,22907,14.97,0.54,799.9
2.82,22958,14.83,0.53,895.7
2.84,23009,14.68,0.53,1134.2
2.86,23061,14.68,0.53,1018.7
2.88,23112,14.48,0.52,822
2.9,23163,14.89,0.54,783.9
2.92,23215,14.93,0.54,721.7
2.94,23266,15.1,0.54,695.7
2.96,23317,15.07,0.54,788.3
2.98,23368,15.18,0.54,771.5
