depth (cm),age (BP),temperature (degC),temperature (degC),tempSmooth5 (degC),tempAv8 (degC),tempAv0 (degC),LakeName (missing)
35,1515.795,13.192,-0.708,-0.409,-0.303,-0.19,Frozen
10.5,1556.236,8.326,-0.774,-0.686,-0.229,-0.455,3M
0.605,1731.246,10.013,0.113,-0.301,-0.649,-0.298,Cabin
40,1757.52,12.878,-1.022,-0.762,-0.462,-0.444,Frozen
0.925,1764.871,11.486,0.886,-0.234,-0.47,-0.449,Crater
12.5,1922.458,6.085,-3.015,-0.479,-0.342,-0.424,3M
0.425,1936.331,12.968,1.868,-0.211,-0.344,-0.411,LOWoods
45,1999.245,12.79,-1.11,-0.546,-0.431,-0.43,Frozen
1.025,2079.668,10.917,0.317,-0.059,-0.424,-0.295,Crater
0.755,2226.946,9.108,-0.792,-0.626,-0.352,-0.163,Cabin
50,2240.97,13.32,-0.58,-0.112,0.062,-0.481,Frozen
14.5,2288.681,8.134,-0.966,-0.116,-0.457,-0.52,3M
1.125,2418.367,12.061,1.461,-0.415,-0.745,-0.814,Crater
0.525,2421.458,11.399,0.299,-0.981,-0.919,-0.733,LOWoods
55,2482.695,11.612,-2.288,-1.002,-0.857,-0.693,Frozen
16.5,2654.904,5.69,-3.41,-1.354,-0.695,-0.566,3M
0.89,2673.076,8.828,-1.072,-1.27,-0.515,-0.393,Cabin
60,2724.42,13.601,-0.299,-0.718,-0.554,-0.264,Frozen
0.915,2755.693,10.619,0.719,0.194,-0.55,-0.472,Cabin
1.225,2780.97,11.073,0.473,0.474,-0.341,-0.332,Crater
0.625,2894.778,12.249,1.149,0.41,0.297,-0.175,LOWoods
65,2966.15,14.229,0.329,0.606,0.341,0.119,Frozen
18.5,3021.127,8.482,-0.618,0.367,0.32,0.4,3M
1.325,3167.476,12.297,1.697,0.044,0.448,0.402,Crater
70,3207.87,13.18,-0.72,0.326,0.353,0.311,Frozen
1.055,3218.346,9.432,-0.468,0.393,0.186,0.305,Cabin
0.725,3356.29,12.839,1.739,0.016,0.196,0.352,LOWoods
20.5,3387.349,8.816,-0.284,0.242,0.477,0.284,3M
75,3449.6,13.714,-0.186,0.661,0.22,0.371,Frozen
1.155,3548.812,10.31,0.41,0.241,0.342,0.186,Cabin
1.425,3577.885,12.226,1.626,0.35,0.382,0.083,Crater
80,3691.32,13.54,-0.36,0.357,-0.056,0.293,Frozen
1.205,3714.045,10.158,0.258,-0.077,0.184,0.035,Cabin
0.81,3739.292,10.948,-0.151,-0.076,0.102,0.073,LOWoods
22.5,3753.572,7.341,-1.759,-0.172,0.063,0.027,3M
1.255,3879.279,11.533,1.633,-0.204,-0.221,0.106,Cabin
85,3933.05,13.06,-0.84,-0.303,-0.026,-0.18,Frozen
1.525,4012.196,10.699,0.099,0.289,-0.212,0.031,Crater
90,4174.77,13.252,-0.648,-0.284,0.026,-0.087,Frozen
0.925,4243.893,12.3,1.2,0.234,0.13,-0.057,LOWoods
25.5,4302.906,7.869,-1.231,0.03,-0.056,-0.012,3M
1.405,4374.978,11.653,1.753,0.189,-0.114,-0.246,Cabin
95,4416.5,12.976,-0.924,-0.313,-0.215,0.13,Frozen
1.625,4470.411,10.745,0.145,-0.208,0.231,0.348,Crater
26.5,4486.018,7.794,-1.306,0.025,0.366,0.412,3M
100,4658.22,13.19,-0.71,0.666,0.519,0.413,Frozen
1.025,4669.983,14.021,2.921,0.635,0.451,0.669,LOWoods
28.5,4852.24,11.38,2.28,1.139,0.733,0.604,3M
105,4899.95,13.89,-0.01,1.547,0.852,0.562,Frozen
1.725,4952.529,11.813,1.213,1.182,0.847,0.731,Crater
1.605,5035.912,11.232,1.332,0.458,1.166,0.829,Cabin
1.125,5084.266,12.195,1.095,0.827,0.759,1.121,LOWoods
110,5141.67,12.558,-1.342,0.519,0.752,1.177,Frozen
30.5,5218.463,10.937,1.837,0.695,1.188,1.161,3M
115,5383.4,13.57,-0.33,1.173,1.301,0.954,Frozen
1.825,5458.551,12.816,2.216,1.864,0.875,1.039,Crater
1.225,5486.741,14.582,3.482,1.081,0.995,0.74,LOWoods
32.5,5584.686,11.214,2.115,1.559,0.956,0.881,3M
120,5625.12,11.824,-2.076,0.784,1.04,1.318,Frozen
1.86,5641.305,12.655,2.055,0.59,1.459,1.293,Crater
125,5866.85,12.245,-1.655,0.772,1.381,1.425,Frozen
1.325,5877.409,13.612,2.512,1.505,1.069,1.079,LOWoods
34.5,5950.909,12.122,3.022,1.292,0.65,0.967,3M
1.925,5988.475,12.19,1.589,1.375,1.204,0.814,Crater
1.905,6027.311,10.892,0.992,1.345,1.021,1.525,Cabin
130,6108.57,12.658,-1.242,0.857,1.856,1.313,Frozen
1.425,6256.27,13.462,2.362,1.545,1.534,1.73,LOWoods
1.975,6262.4,11.185,0.585,1.334,1.471,1.434,Crater
36.5,6317.131,14.13,5.029,2.086,1.216,1.062,3M
135,6350.3,13.838,-0.062,1.524,1.004,1.27,Frozen
1.475,6441.272,13.614,2.514,1.266,1.619,1.5,LOWoods
2.025,6542.302,10.154,-0.446,0.995,1.735,1.947,Crater
140,6592.02,13.195,-0.705,1.665,2.065,1.84,Frozen
1.525,6623.323,14.774,3.674,1.808,1.598,1.707,LOWoods
38.5,6683.354,12.389,3.288,2.155,1.513,1.603,3M
1.575,6802.422,14.326,3.226,2.149,1.697,1.734,LOWoods
2.075,6828.179,11.894,1.294,2.211,1.909,1.698,Crater
145,6833.75,13.161,-0.739,1.804,2.266,1.758,Frozen
1.625,6978.569,15.084,3.983,1.588,1.826,1.891,LOWoods
2.205,7018.711,11.153,1.253,1.36,1.493,1.936,Cabin
40.5,7049.577,11.247,2.147,1.633,1.606,1.859,3M
150,7075.47,14.053,0.153,1.661,1.758,1.638,Frozen
2.125,7120.032,11.225,0.625,1.914,1.978,1.831,Crater
1.675,7151.764,15.226,4.127,1.688,1.883,2.04,LOWoods
2.155,7298.013,13.115,2.515,2.303,1.895,1.9,Crater
155,7317.2,14.919,1.019,2.447,1.95,1.935,Frozen
1.725,7322.008,14.328,3.228,2.138,2.132,2.042,LOWoods
2.165,7357.817,11.945,1.345,1.957,2.455,2.213,Crater
42.5,7415.8,11.684,2.584,2.396,2.173,2.48,3M
2.175,7417.861,12.209,1.609,2.124,2.27,2.258,Crater
1.762,7447.753,14.311,3.211,2.513,2.38,2.289,LOWoods
2.185,7478.144,12.47,1.87,2.377,2.331,2.54,Crater
1.788,7530.661,14.393,3.293,2.622,2.604,2.232,LOWoods
2.195,7538.666,12.503,1.903,2.685,2.299,2.444,Crater
2.205,7599.427,13.433,2.833,2.34,2.531,2.668,Crater
1.812,7612.831,14.626,3.526,2.375,2.732,2.756,LOWoods
162,7655.61,14.047,0.147,2.958,2.81,2.472,Frozen
1.837,7694.263,14.567,3.467,2.891,2.445,2.504,LOWoods
44.5,7782.022,13.918,4.818,2.26,2.481,2.501,3M
1.865,7782.985,13.595,2.495,2.668,2.535,2.233,LOWoods
165,7800.65,14.272,0.372,2.627,1.996,2.125,Frozen
2.455,7844.877,12.087,2.187,1.507,2.197,2.06,Cabin
1.905,7910.443,14.364,3.264,1.36,2.123,2.423,LOWoods
170,8042.37,13.117,-0.783,1.86,1.993,2.534,Frozen
2.53,8092.727,11.659,1.759,2.178,2.253,2.32,Cabin
1.965,8098.086,13.973,2.873,2.44,2.542,2.276,LOWoods
1.975,8128.947,14.879,3.779,3.133,2.525,2.446,LOWoods
46.5,8148.245,13.674,4.574,3.193,2.376,2.537,3M
1.985,8159.689,13.781,2.681,3.033,2.861,2.186,LOWoods
1.995,8190.314,13.158,2.058,2.895,2.61,2.576,LOWoods
2.312,8267.703,12.671,2.071,1.931,2.642,2.746,Crater
2.025,8281.479,14.191,3.091,2.02,2.601,2.598,LOWoods
175,8284.1,13.656,-0.244,2.299,2.203,2.219,Frozen
2.337,8427.075,13.723,3.123,2.163,1.867,2.032,Crater
48.5,8514.468,12.554,3.454,1.543,1.948,2.138,3M
2.105,8519.391,12.49,1.39,2.133,2.156,2.15,LOWoods
180,8525.82,13.892,-0.008,2.255,2.043,2.064,Frozen
2.362,8587.941,13.307,2.707,2.002,2.224,2.225,Crater
2.71,8687.566,13.633,3.733,1.965,2.422,2.638,Cabin
2.388,8750.301,12.786,2.186,2.908,2.475,2.57,Crater
185,8767.55,15.107,1.207,3.143,2.607,2.32,Frozen
2.205,8806.154,15.807,4.707,2.885,2.727,2.546,LOWoods
50.5,8880.691,12.98,3.881,2.637,2.846,3.191,3M
2.413,8914.155,13.047,2.447,3.128,3.184,3.314,Crater
190,9009.27,14.846,0.946,3.475,3.403,3.01,Frozen
2.305,9081.11,14.76,3.66,3.486,3.339,3.156,LOWoods
2.86,9183.266,16.341,6.441,3.135,3.206,3.076,Cabin
52.5,9246.913,13.036,3.936,3.675,2.772,2.834,3M
195,9251,14.594,0.694,3.025,2.752,2.8,Frozen
2.425,9395.471,14.743,3.643,2.194,3.076,2.756,LOWoods
200,9492.72,14.308,0.408,2.114,2.87,3.014,Frozen
2.513,9584.509,12.887,2.287,2.377,2.505,2.682,Crater
2.505,9595.599,14.634,3.534,2.354,2.055,2.399,LOWoods
54.5,9613.136,11.114,2.014,2.339,2.42,2.481,3M
2.555,9716.842,14.627,3.527,2.604,2.559,2.521,LOWoods
205,9734.45,14.234,0.334,2.849,2.645,2.593,Frozen
2.605,9835.133,14.712,3.612,2.665,2.904,2.988,LOWoods
2.655,9950.472,15.859,4.759,2.832,3.007,3.141,LOWoods
210,9976.17,14.993,1.093,3.637,3.233,3.32,Frozen
56.5,9979.359,13.46,4.36,3.678,3.457,3.278,3M
2.705,10062.859,15.461,4.361,3.79,3.615,3.267,LOWoods
2.595,10155.547,14.418,3.818,3.892,3.591,3.632,Crater
2.755,10172.295,16.419,5.319,3.702,3.493,3.652,LOWoods
215,10217.9,15.502,1.602,3.626,3.834,3.615,Frozen
2.605,10225.869,14.012,3.412,3.627,3.837,3.78,Crater
2.805,10278.778,15.08,3.98,3.44,3.635,3.692,LOWoods
2.615,10296.43,14.42,3.82,3.668,3.592,3.696,Crater
58.5,10345.581,13.488,4.388,3.681,3.477,3.628,3M
2.625,10367.23,13.338,2.738,3.765,3.67,3.241,Crater
2.855,10382.31,14.578,3.478,3.63,3.425,3.537,LOWoods
3.235,10422.516,14.301,4.401,3.043,3.497,3.282,Cabin
2.635,10438.269,13.745,3.145,3.407,3.128,3.279,Crater
220,10459.62,15.35,1.45,2.884,3.072,2.963,Frozen
2.905,10482.89,15.658,4.558,2.792,2.813,2.931,LOWoods
2.645,10509.548,11.465,0.865,2.297,2.887,2.813,Crater
2.955,10580.517,15.042,3.942,2.819,2.532,2.868,LOWoods
2.655,10581.065,11.268,0.668,2.22,2.642,2.083,Crater
3.005,10675.194,15.164,4.064,2.853,2.029,2.143,LOWoods
225,10701.35,15.463,1.563,1.374,1.928,2.482,Frozen
60.5,10711.804,13.126,4.026,1.99,2.424,2.44,3M
3.335,10752.982,6.449,-3.451,2.144,2.45,2.376,Cabin
3.055,10766.918,14.849,3.749,2.661,2.393,2.134,LOWoods
3.105,10855.69,15.932,4.832,1.898,2.075,2.313,LOWoods
3.155,10941.511,15.247,4.147,2.893,2.187,2.237,LOWoods
2.705,10942.237,10.815,0.215,2.635,2.097,1.695,Crater
230,10943.07,15.422,1.522,2.33,2.047,1.699,Frozen
3.205,11024.38,13.558,2.458,0.729,2.086,2.41,LOWoods
62.5,11078.027,12.406,3.306,1.499,1.94,2.202,3M
3.435,11083.449,6.043,-3.857,1.928,1.63,2.105,Cabin
3.255,11104.297,15.167,4.067,1.769,2.086,2.089,LOWoods
3.305,11181.262,14.764,3.664,1.881,2.394,2.539,LOWoods
235,11184.8,15.563,1.663,3.448,2.676,2.559,Frozen
3.355,11255.275,14.968,3.868,3.579,2.478,2.313,LOWoods
3.405,11326.336,15.079,3.979,3.189,2.96,2.327,LOWoods
3.455,11394.446,15.819,4.719,2.857,2.883,2.887,LOWoods
3.535,11413.915,11.618,1.718,2.773,2.642,2.824,Cabin
240,11426.52,13.903,0.003,2.325,2.865,2.658,Frozen
64.5,11444.25,12.547,3.447,2.07,2.631,2.612,3M
3.505,11459.604,12.837,1.737,2.126,2.284,2.227,LOWoods
3.555,11521.809,14.544,3.444,2.366,1.697,1.594,LOWoods
3.605,11581.063,13.097,1.997,1.681,1.188,1.141,LOWoods
3.655,11637.366,12.306,1.206,0.864,1.211,0.962,LOWoods
2.8,11644.927,10.623,0.023,0.212,0.772,0.796,Crater
3.705,11690.716,8.748,-2.352,-0.201,0.347,0.598,LOWoods
3.755,11741.114,11.287,0.187,-0.774,0.099,-0.007,LOWoods
3.635,11744.382,9.831,-0.069,-0.486,-0.689,-0.806,Cabin
3.805,11788.561,9.439,-1.661,-0.877,-1.408,-1.225,LOWoods
66.5,11810.472,10.564,1.464,-1.824,-1.684,NA,3M
3.735,12074.848,5.591,-4.309,-2.248,NA,NA,Cabin
3.835,12405.315,5.353,-4.547,-2.742,NA,NA,Cabin
2.925,12602.386,8.41,-2.19,NA,NA,NA,Crater
3.955,12801.875,5.774,-4.126,NA,NA,NA,Cabin
