year (AD),age (BP),CCA1 (missing),cal_age_range_young (BP),cal_age_range_old (BP),CCA2 (missing)
-1064.779,3014.779,0.586,2879.751,3179.481,0.512
-1284.299,3234.299,0.394,3097.985,3369.155,0.627
-1434.406,3384.406,0.348,3240.971,3518.101,0.431
-1539.008,3489.008,0.242,3332.418,3626.268,0.28
-1805.416,3755.416,0.226,3582.275,3911.085,-0.044
-2060.029,4010.029,0.371,3812.999,4184.599,0.171
-2279.357,4229.357,0.033,4015.424,4416.614,0.382
-2439.907,4389.907,NA,4186.205,4567.205,NA
-2532.606,4482.606,-0.625,4303.602,4633.032,1.226
-2591.323,4541.323,0.066,4366.199,4671.469,0.716
-2627.064,4577.064,0.226,4408.379,4699.529,0.305
-2648.672,4598.672,0.406,4438.367,4721.857,0.552
-2664.99,4614.99,0.248,4460.291,4737.071,0.485
-2684.862,4634.862,-0.26,4486.319,4753.719,0.671
-2717.131,4667.131,NA,4530.697,4783.737,NA
-2770.642,4720.642,NA,4611.34,4845.93,NA
-2854.236,4804.236,NA,4657.434,4907.594,NA
-2957.513,4907.513,NA,4745.523,5022.053,NA
-3232.275,5182.275,-0.262,5071.494,5306.424,0.705
-3370.339,5320.339,-0.565,5214.435,5434.375,0.57
-3579.762,5529.762,NA,5414.269,5639.869,NA
-3707.938,5657.938,NA,5527.267,5776.847,NA
-3765.252,5715.252,NA,5577.113,5838.813,NA
-3904.717,5854.717,-0.7,5703.986,5986.766,0.78
-3946.729,5896.729,-0.836,5743.398,6030.628,0.787
-4066.523,6016.523,-0.535,5857.907,6154.567,1.094
-4141.547,6091.547,NA,5931.439,6231.159,NA
-4247.543,6197.543,NA,6037.971,6337.781,NA
-4281.277,6231.277,NA,6072.528,6371.288,NA
-4314.272,6264.272,NA,6106.649,6403.869,NA
-4409.182,6359.182,NA,6206.457,6496.587,NA
-4469.419,6419.419,NA,6270.941,6554.821,NA
-4555.94,6505.94,NA,6364.675,6638.225,NA
-4611.487,6561.487,-0.398,6425.153,6692.013,0.335
-4692.328,6642.328,-0.26,6512.739,6770.949,0.17
-4744.989,6694.989,-0.226,6568.719,6822.629,0.123
-4822.855,6772.855,-0.472,6648.443,6899.253,0.082
-4874.434,6824.434,-0.188,6699.135,6950.855,0.084
-4952.029,6902.029,-0.105,6775.675,7031.945,0.458
-5004.33,6954.33,-0.066,6825.506,7088.546,0.334
-5084.359,7034.359,-0.263,6897.893,7175.943,0.101
-5139.185,7089.185,-0.309,6945.09,7236.92,0.321
-5224.354,7174.354,-0.349,7018.477,7331.497,0.07
-5283.508,7233.508,-0.375,7070.383,7397.363,0.367
-5374.625,7324.625,-0.559,7151.224,7499.554,0.506
-5435.418,7385.418,-0.373,7205.394,7568.144,0.421
-5526.606,7476.606,-0.675,7286.928,7671.178,0.715
-5587.398,7537.398,-0.618,7341.353,7740.073,0.55
-5678.586,7628.586,NA,7423.328,7843.168,NA
-5739.379,7689.379,-0.226,7477.882,7912.312,0.681
-5830.567,7780.567,-0.361,7559.631,8016.271,0.457
-5891.359,7841.359,-0.428,7613.627,8086.217,0.407
-5921.755,7871.755,-0.492,7640.868,8120.878,0.363
-5982.548,7932.548,-0.469,7694.602,8190.982,0.394
-6012.944,7962.944,-0.33,7721.527,8225.917,0.356
-6043.34,7993.34,-0.507,7748.606,8260.716,0.353
-6073.736,8023.736,-0.47,7775.448,8295.708,0.37
-6134.528,8084.528,-0.44,7829.389,8365.429,0.678
-6164.925,8114.925,-0.371,7855.949,8400.559,0.376
-6195.321,8145.321,-0.387,7882.346,8435.786,0.37
-6225.717,8175.717,-0.311,7908.928,8470.848,0.326
-6286.51,8236.51,-0.596,7962.526,8540.636,0.509
-6316.906,8266.906,-0.389,7989.315,8575.515,0.344
-6347.302,8297.302,-0.42,8016.115,8610.385,0.323
-6377.698,8327.698,-0.372,8042.644,8645.394,0.219
