depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
444,5104,7.738,10.038,5.438,Y
448,5157,7.788,10.088,5.488,Y
452,5210,7.636,9.936,5.336,Y
456,5263,7.515,9.815,5.215,Y
460,5316,7.999,10.299,5.699,Y
464,5370,8.223,10.523,5.923,Y
468,5423,8.553,10.853,6.253,Y
472,5477,8.482,10.782,6.182,Y
476,5531,8.348,10.648,6.048,Y
480,5585,7.955,10.255,5.655,Y
484,5639,7.589,9.889,5.289,Y
488,5693,8.887,11.187,6.587,Y
492,5747,8.5,10.8,6.2,Y
496,5801,8.152,10.452,5.852,Y
500,5856,7.808,10.108,5.508,Y
505,5924,7.855,10.155,5.555,Y
508,5965,7.997,10.297,5.697,Y
512,6019,8.71,11.01,6.41,Y
516,6074,7.548,9.848,5.248,Y
520,6129,8.396,10.696,6.096,Y
524,6184,7.409,9.709,5.109,Y
528,6239,7.918,10.218,5.618,Y
532,6294,8.123,10.423,5.823,Y
536,6349,8.395,10.695,6.095,Y
540,6405,8.152,10.452,5.852,Y
544,6460,8.25,10.55,5.95,Y
548,6516,7.812,10.112,5.512,Y
552,6571,7.606,9.906,5.306,Y
556,6627,8.303,10.603,6.003,Y
560,6683,8.5,10.8,6.2,Y
564,6739,7.735,10.035,5.435,Y
568,6795,8.245,10.545,5.945,Y
572,6851,8.576,10.876,6.276,Y
576,6907,8.135,10.435,5.835,Y
580,6964,8.023,10.323,5.723,Y
584,7020,8.343,10.643,6.043,Y
588,7077,7.961,10.261,5.661,Y
592,7133,8.668,10.968,6.368,Y
596,7190,9.166,11.466,6.866,Y
600,7247,8.357,10.657,6.057,Y
604,7304,8.652,10.952,6.352,Y
608,7361,7.459,9.759,5.159,Y
612,7418,8.033,10.333,5.733,Y
616,7475,8.299,10.599,5.999,Y
620,7533,8.055,10.355,5.755,Y
624,7590,7.31,9.61,5.01,Y
628,7648,7.891,10.191,5.591,Y
632,7705,8.119,10.419,5.819,Y
636,7763,8.439,10.739,6.139,Y
640,7821,7.871,10.171,5.571,Y
644,7879,8.702,11.002,6.402,Y
648,7937,7.828,10.128,5.528,Y
652,7995,7.436,9.736,5.136,Y
656,8053,8.038,10.338,5.738,Y
660,8112,8.128,10.428,5.828,Y
664,8170,8.287,10.587,5.987,Y
668,8229,8.42,10.72,6.12,Y
672,8287,9.083,11.383,6.783,Y
676,8346,8.416,10.716,6.116,Y
680,8405,7.576,9.876,5.276,Y
684,8464,8.213,10.513,5.913,Y
688,8523,8.421,10.721,6.121,Y
692,8582,7.92,10.22,5.62,Y
696,8641,7.553,9.853,5.253,Y
700,8701,8.614,10.914,6.314,Y
704,8760,8.383,10.683,6.083,Y
708,8820,7.884,10.184,5.584,Y
712,8879,8.104,10.404,5.804,Y
716,8939,7.734,10.034,5.434,Y
720,8999,7.309,9.609,5.009,Y
724,9059,8.196,10.496,5.896,Y
728,9119,7.79,10.09,5.49,Y
732,9179,9.006,11.306,6.706,Y
736,9239,8.343,10.643,6.043,Y
740,9300,7.791,10.091,5.491,Y
744,9360,8.587,10.887,6.287,Y
748,9420,8.281,10.581,5.981,Y
752,9481,7.905,10.205,5.605,Y
756,9542,7.999,10.299,5.699,Y
760,9603,7.34,9.64,5.04,Y
764,9664,8.208,10.508,5.908,Y
768,9725,6.955,9.255,4.655,Y
772,9786,7.041,9.341,4.741,Y
776,9847,8.33,10.63,6.03,Y
780,9908,8.286,10.586,5.986,Y
784,9970,7.272,9.572,4.972,Y
788,10031,8.031,10.331,5.731,Y
792,10093,7.686,9.986,5.386,Y
796,10155,7.761,10.061,5.461,Y
800,10217,7.655,9.955,5.355,Y
804,10279,7.969,10.269,5.669,Y
808,10341,7.706,10.006,5.406,Y
812,10403,7.971,10.271,5.671,Y
816,10465,7.895,10.195,5.595,Y
820,10527,8.13,10.43,5.83,Y
824,10590,7.894,10.194,5.594,Y
828,10652,8.155,10.455,5.855,Y
832,10715,8.153,10.453,5.853,Y
836,10778,8.115,10.415,5.815,Y
840,10840,7.957,10.257,5.657,Y
844,10903,8.186,10.486,5.886,Y
848,10966,7.145,9.445,4.845,Y
852,11030,7.494,9.794,5.194,Y
856,11093,7.763,10.063,5.463,Y
860,11156,8.236,10.536,5.936,Y
864,11220,7.391,9.691,5.091,Y
868,11283,7.489,9.789,5.189,Y
872,11347,8.158,10.458,5.858,Y
876,11410,7.479,9.779,5.179,Y
880,11474,8.338,10.638,6.038,Y
884,11538,7.132,9.432,4.832,Y
888,11602,7.429,9.729,5.129,Y
892,11666,6.877,9.177,4.577,Y
897,11747,7.26,9.56,4.96,Y
900,11795,7.455,9.755,5.155,Y
904,11859,7.89,10.19,5.59,Y
908,11924,7.164,9.464,4.864,Y
912,11988,7.168,9.468,4.868,Y
916,12053,7.447,9.747,5.147,Y
