year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
-9129,11079,11144.538,27.29,4.31,104.022
-9240,11190,11216.465,27.16,4.26,63.826
-9274,11224,11241.56,26.92,4.17,83.775
-9308,11258,11266.49,26.36,3.97,98.204
-9342,11292,11291.344,27.02,4.21,109.306
-9376,11326,11316.146,26.78,4.12,118.018
-9410,11360,11340.908,25.57,3.7,124.839
-9444,11394,11365.636,25.14,3.56,130.063
-9478,11428,11390.332,24.79,3.45,133.876
-9512,11462,11414.998,25.96,3.83,136.393
-9546,11496,11439.632,26.73,4.1,137.682
-9580,11530,11464.232,25.04,3.53,137.776
-9614,11564,11488.792,25.66,3.73,136.672
-9648,11598,11513.3,26.16,3.9,134.335
-9682,11632,11537.732,25.81,3.78,130.688
-9716,11666,11561.999,25.81,3.78,125.58
-9750,11700,11583.899,25.72,3.75,123.87
-9772,11722,11603.967,26.02,3.85,126.651
-9794,11744,11623.974,24.92,3.49,128.562
-9817,11767,11643.95,25.14,3.56,129.612
-9839,11789,11663.903,25.78,3.77,129.818
-9861,11811,11683.835,24.32,3.31,129.191
-9883,11833,11703.745,24.59,3.39,127.727
-9906,11856,11723.629,25.2,3.58,125.417
-9928,11878,11743.473,24.15,3.26,122.263
-9950,11900,11763.125,23.4,3.05,118.641
-10003,11953,11817.497,23.55,3.09,137.602
-10056,12006,11870.971,24.32,3.31,153.228
-10109,12059,11924.277,24.56,3.38,165.438
-10162,12112,11977.486,25.39,3.64,174.857
-10215,12165,12030.627,25.23,3.59,181.884
-10268,12218,12083.713,24.18,3.27,186.774
-10321,12271,12136.751,25.63,3.72,189.684
-10374,12324,12189.747,25.54,3.69,190.701
-10426,12376,12242.701,25.2,3.58,189.855
-10479,12429,12295.616,24.32,3.31,187.12
-10532,12482,12348.489,23.73,3.14,182.416
-10585,12535,12401.317,24.56,3.38,175.591
-10638,12588,12454.095,25.08,3.54,166.394
-10691,12641,12506.812,25.75,3.76,154.424
-10744,12694,12559.449,24.88,3.48,139.006
-10797,12747,12611.963,24.29,3.3,118.907
-10850,12800,12664.211,24.72,3.43,91.526
-10885,12835,12713.827,24.35,3.32,88.836
-10919,12869,12760.473,23.8,3.16,112.415
-10954,12904,12806.779,25.26,3.6,129.377
-10989,12939,12852.925,24.69,3.42,141.78
-11023,12973,12898.964,24.59,3.39,150.647
-11058,13008,12944.918,25.39,3.64,156.523
-11093,13043,12990.799,24.88,3.48,159.698
-11127,13077,13036.612,25.93,3.82,160.305
-11162,13112,13082.359,24.52,3.37,158.346
-11197,13147,13128.036,23.94,3.2,153.697
-11231,13181,13173.635,25.78,3.77,146.072
-11266,13216,13219.14,26.45,4,134.931
-11301,13251,13264.518,25.6,3.71,119.234
-11335,13285,13309.678,25.42,3.65,96.653
-11370,13320,13353.712,25.57,3.7,58.398
-11410,13360,13392.374,25.14,3.56,91.709
-11450,13400,13430.212,25.45,3.66,112.695
-11490,13440,13467.895,25.04,3.53,128.087
-11530,13480,13505.49,26.11,3.88,139.786
-11570,13520,13543.02,26.67,4.08,148.679
-11610,13560,13580.5,25.48,3.67,155.255
-11650,13600,13617.935,24.62,3.4,159.803
-11690,13640,13655.33,24.32,3.31,162.492
-11730,13680,13692.686,25.23,3.59,163.414
-11770,13720,13730.003,24.95,3.5,162.596
-11810,13760,13767.28,24.85,3.47,160.007
-11850,13800,13804.513,25.17,3.57,155.552
-11890,13840,13841.694,24.88,3.48,149.056
-11930,13880,13878.812,25.42,3.65,140.218
-11970,13920,13915.84,24.95,3.5,128.522
-12010,13960,13952.714,24.75,3.44,112.987
-12050,14000,13988.764,25.48,3.67,90.526
-12118,14068,14045.509,25.39,3.64,122.473
-12185,14135,14102.128,25.08,3.54,144.17
-12253,14203,14158.722,24.22,3.28,160.918
-12321,14271,14215.302,23.58,3.1,174.361
-12388,14338,14271.87,24.05,3.23,185.346
-12456,14406,14328.429,24.59,3.39,194.387
-12524,14474,14384.979,25.08,3.54,201.835
-12592,14542,14441.52,24.56,3.38,207.954
-12659,14609,14498.052,24.79,3.45,212.966
-12727,14677,14554.573,24.69,3.42,217.089
-12795,14745,14611.078,24.29,3.3,220.6
-12862,14812,14667.559,23.8,3.16,224.006
-12930,14880,14723.914,23.55,3.09,231.206
-12962,14912,14805.597,24.05,3.23,228.957
-12993,14943,14885.202,23.66,3.12,232.132
-13025,14975,14964.391,23.73,3.14,236.338
