year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],Mg/Ca (mmol/mol) [1-1],age (BP) [2-1],year (AD) [2-1],age (BP) [2-1],ageUncertainty (yr) [2-1]
-2479,4429,14.3,2.18,4424.529,-2479,4429,290.471
-2633,4583,14.4,2.2,4589.591,-2633,4583,265.833
-2786,4736,13.7,2.04,4754.839,-2786,4736,232.426
-2940,4890,14.4,2.21,4920.441,-2940,4890,185.28
-3093,5043,14.8,2.31,5070.476,-3093,5043,149.202
-3203,5153,14.8,2.32,5188.546,-3203,5153,158.591
-3313,5263,14.2,2.18,5290.642,-3313,5263,187.992
-3424,5374,13.9,2.11,5393.004,-3424,5374,207.791
-3534,5484,14,2.13,5495.515,-3534,5484,220.686
-3644,5594,14.8,2.31,5598.136,-3644,5594,227.879
-3754,5704,14.8,2.31,5700.852,-3754,5704,229.914
-3864,5814,13.1,1.93,5803.66,-3864,5814,226.931
-3975,5925,13.3,1.97,5906.564,-3975,5925,218.717
-4195,6145,13.9,2.11,6112.741,-4195,6145,183.247
-4305,6255,13,1.91,6216.17,-4305,6255,151.3
-4415,6365,13.4,2,6322.853,-4415,6365,134.719
-4526,6476,13.2,1.94,6435.77,-4526,6476,160.356
-4636,6586,13.6,2.03,6552.034,-4636,6586,199.537
-4746,6696,15.3,2.45,6668.572,-4746,6696,227.797
-4856,6806,12.4,1.8,6785.252,-4856,6806,249.082
-4966,6916,13.5,2.02,6902.03,-4966,6916,265.132
-5077,7027,14.1,2.15,7018.885,-5077,7027,276.88
-5187,7137,12.4,1.79,7135.806,-5187,7137,284.873
-5297,7247,12.9,1.88,7252.786,-5297,7247,289.428
-5407,7357,14,2.12,7369.822,-5407,7357,290.713
-5517,7467,12.9,1.89,7486.912,-5517,7467,288.777
-5628,7578,13.6,2.02,7604.059,-5628,7578,283.559
-5738,7688,12.9,1.88,7721.265,-5738,7688,274.875
-5848,7798,13.9,2.11,7838.536,-5848,7798,262.388
-5958,7908,14,2.11,7955.885,-5958,7908,245.519
-6068,8018,14.5,2.24,8073.332,-6068,8018,223.275
-6179,8129,12.5,1.81,8190.921,-6179,8129,193.782
-6289,8239,14.1,2.13,8308.783,-6289,8239,152.692
-6456,8406,14.7,2.28,8480.274,-6456,8406,121.603
-6512,8462,14.6,2.26,8533.25,-6512,8462,143.693
-6569,8519,14.4,2.2,8586.344,-6569,8519,160.47
-6626,8576,14.7,2.29,8639.499,-6626,8576,173.399
-6739,8689,14.4,2.22,8745.929,-6739,8689,190.493
-6796,8746,15.2,2.41,8799.19,-6796,8746,195.377
-6852,8802,14.5,2.25,8852.478,-6852,8802,198.064
-6909,8859,14.5,2.25,8905.792,-6909,8859,198.622
-6966,8916,14.6,2.27,8959.132,-6966,8916,197.049
-7022,8972,14.4,2.22,9012.498,-7022,8972,193.268
-7079,9029,14.4,2.22,9065.894,-7079,9029,187.116
-7136,9086,15,2.37,9119.324,-7136,9086,178.305
-7192,9142,14.5,2.23,9172.796,-7192,9142,166.346
-7249,9199,14.6,2.26,9226.331,-7249,9199,150.352
-7306,9256,14.6,2.27,9279.983,-7306,9256,128.39
-7362,9312,13.2,1.96,9344.936,-7362,9312,122.573
-7419,9369,14.1,2.15,9433.071,-7419,9369,148.596
-7476,9426,14.4,2.21,9533.41,-7476,9426,178.93
-7532,9482,15.4,2.47,9634.117,-7532,9482,196.722
-7589,9539,15.2,2.4,9735.039,-7589,9539,205.886
-7646,9596,15.6,2.52,9836.131,-7646,9596,207.799
-7702,9652,14,2.13,9937.381,-7702,9652,202.807
-7759,9709,13.8,2.07,10038.801,-7759,9709,190.476
-7816,9766,14.3,2.19,10140.436,-7816,9766,169.297
-7872,9822,15.1,2.39,10242.439,-7872,9822,135.128
-7929,9879,13.2,1.95,10323.975,-7929,9879,100.448
-7981,9931,14.3,2.18,10363.156,-7981,9931,92.115
-8032,9982,14.2,2.17,10380.736,-8032,9982,101.945
-8084,10034,13.7,2.06,10398.375,-8084,10034,110.496
-8135,10085,13.7,2.06,10416.045,-8135,10085,117.94
-8187,10137,13.9,2.1,10433.735,-8187,10137,124.44
-8239,10189,15.1,2.38,10451.44,-8239,10189,130.12
-8290,10240,13.3,1.97,10469.158,-8290,10240,135.07
-8342,10292,14.6,2.25,10486.886,-8342,10292,139.36
-8393,10343,14.2,2.17,10504.624,-8393,10343,143.043
-8445,10395,14.5,2.25,10522.371,-8445,10395,146.158
-8496,10446,13.1,1.92,10540.127,-8496,10446,148.738
-8548,10498,14.3,2.18,10557.89,-8548,10498,150.805
-8600,10550,13.7,2.05,10575.662,-8600,10550,152.375
-8651,10601,14.4,2.21,10593.441,-8651,10601,153.46
-8703,10653,13.3,1.97,10611.23,-8703,10653,154.067
-8754,10704,13.5,2.02,10629.027,-8754,10704,154.196
-8806,10756,13.8,2.08,10646.833,-8806,10756,153.843
-8858,10808,14.1,2.15,10664.651,-8858,10808,152.999
-8909,10859,13.5,2.01,10682.481,-8909,10859,151.65
-8961,10911,14.6,2.26,10700.326,-8961,10911,149.771
-9012,10962,14.3,2.2,10718.192,-9012,10962,147.328
-9064,11014,14.3,2.2,10736.087,-9064,11014,144.267
-9115,11065,13.7,2.06,10754.043,-9115,11065,140.477
-9167,11117,13.8,2.08,10784.072,-9167,11117,144.548
-9205,11155,13.4,2,10838.684,-9205,11155,162.52
-9244,11194,13.2,1.95,10905.99,-9244,11194,183.561
-9282,11232,13,1.91,10973.504,-9282,11232,200.202
-9320,11270,13.8,2.07,11041.125,-9320,11270,213.569
-9359,11309,14.2,2.18,11108.818,-9359,11309,224.283
-9397,11347,14.3,2.2,11176.567,-9397,11347,232.728
-9435,11385,13.5,2.01,11244.364,-9435,11385,239.154
-9474,11424,14.6,2.25,11312.203,-9474,11424,243.727
-9512,11462,12.3,1.76,11380.08,-9512,11462,246.557
-9550,11500,13.5,2.02,11447.993,-9550,11500,247.705
-9589,11539,12.5,1.8,11515.943,-9589,11539,247.2
-9627,11577,12.5,1.81,11583.929,-9627,11577,245.033
-9665,11615,11.5,1.62,11651.954,-9665,11615,241.162
-9704,11654,12.7,1.86,11720.02,-9704,11654,235.505
-9742,11692,12,1.7,11788.134,-9742,11692,227.93
-9780,11730,13.2,1.94,11856.304,-9780,11730,218.24
-9819,11769,11.3,1.59,11924.546,-9819,11769,206.136
-9857,11807,12.1,1.73,11992.895,-9857,11807,191.157
-9934,11884,11.3,1.59,12114.832,-9934,11884,156.451
-10011,11961,13.2,1.95,12144.715,-10011,11961,152.447
-10087,12037,12.5,1.81,12159.684,-10087,12037,154.258
-10164,12114,11.5,1.62,12174.893,-10164,12114,155.599
-10241,12191,12.4,1.79,12190.247,-10241,12191,156.561
-10317,12267,11.8,1.67,12205.71,-10317,12267,157.202
-10394,12344,12.3,1.77,12221.268,-10394,12344,157.572
-10471,12421,12.1,1.73,12236.917,-10471,12421,157.716
-10547,12497,11.6,1.64,12252.662,-10547,12497,157.686
-10624,12574,12.7,1.84,12268.515,-10624,12574,157.55
-10701,12651,11,1.54,12284.513,-10701,12651,157.416
-10777,12727,12.5,1.81,12300.751,-10777,12727,157.521
-10854,12804,12.7,1.84,12333.785,-10854,12804,164.199
-10942,12892,12.5,1.8,12464.422,-10942,12892,202.989
-11029,12979,11.9,1.69,12611.737,-11029,12979,237.75
-11117,13067,12.4,1.8,12759.26,-11117,13067,264.258
-11205,13155,13.3,1.96,12906.901,-11205,13155,284.516
-11293,13243,12.8,1.86,13054.629,-11293,13243,299.659
-11380,13330,13.9,2.1,13202.427,-11380,13330,310.352
-11468,13418,14.2,2.17,13350.288,-11468,13418,316.986
-11556,13506,12.9,1.89,13498.209,-11556,13506,319.76
-11644,13594,13.4,1.99,13646.188,-11644,13594,318.728
-11731,13681,12.8,1.86,13794.231,-11731,13681,313.802
-11819,13769,13.8,2.07,13942.344,-11819,13769,304.732
-11907,13857,14.1,2.15,14090.543,-11907,13857,291.054
-11995,13945,12.9,1.88,14238.862,-11995,13945,271.941
-12082,14032,13.8,2.08,14387.387,-12082,14032,245.835
-12170,14120,13.6,2.04,14523.881,-12170,14120,215.282
-12255,14205,13.9,2.1,14584.959,-12255,14205,215.873
-12339,14289,14,2.13,14633.683,-12339,14289,223.34
-12424,14374,13,1.9,14682.567,-12424,14374,231.45
-12508,14458,13.9,2.09,14731.554,-12508,14458,240.134
-12593,14543,14.3,2.19,14780.628,-12593,14543,249.278
-12678,14628,14.2,2.17,14829.788,-12678,14628,258.747
-12762,14712,15.1,2.39,14879.051,-12762,14712,268.365
-12847,14797,14,2.12,14928.473,-12847,14797,277.805
-12931,14881,13.9,2.1,14988.098,-12931,14881,287.916
-13016,14966,13.8,2.07,15108.239,-13016,14966,305.562
-13101,15051,13.5,2.02,15239.254,-13101,15051,320.358
-13185,15135,13.2,1.95,15370.544,-13185,15135,332.042
-13270,15220,13.1,1.92,15501.991,-13270,15220,341.172
-13354,15304,12.8,1.87,15633.55,-13354,15304,348.04
-13439,15389,13.3,1.97,15765.2,-13439,15389,352.824
-13524,15474,12.9,1.88,15896.929,-13524,15474,355.632
-13608,15558,13.3,1.97,16028.732,-13608,15558,356.527
-13693,15643,12.1,1.73,16160.607,-13693,15643,355.533
-13777,15727,12.6,1.83,16292.556,-13777,15727,352.636
-13862,15812,13.7,2.05,16424.584,-13862,15812,347.784
-13947,15897,12.8,1.86,16556.703,-13947,15897,340.883
-14116,16066,14.5,2.23,16821.323,-14116,16066,320.214
-14200,16150,13.4,2,16953.987,-14200,16150,305.728
-14285,16235,12.9,1.89,17085.27,-14285,16235,290.973
-14384,16334,12.4,1.8,17203.363,-14384,16334,297.346
-14482,16432,12.8,1.86,17319.285,-14482,16432,307.074
-14581,16531,12.9,1.88,17435.329,-14581,16531,316.507
-14679,16629,13.9,2.09,17551.447,-14679,16629,325.719
-14778,16728,13.9,2.1,17667.62,-14778,16728,334.713
-14876,16826,12.5,1.8,17783.842,-14876,16826,343.468
-14975,16925,12.4,1.79,17900.11,-14975,16925,351.949
-15074,17024,12.3,1.76,18016.426,-15074,17024,360.103
-15172,17122,13,1.91,18132.799,-15172,17122,367.844
-15271,17221,12.9,1.9,18249.244,-15271,17221,375.014
-15369,17319,11.6,1.64,18365.813,-15369,17319,381.217
-15468,17418,10,1.38,18478.205,-15468,17418,386.321
-15566,17516,11,1.54,18565.59,-15566,17516,395.123
-15665,17615,10.9,1.52,18649.689,-15665,17615,401.917
-15764,17714,12.3,1.77,18734.063,-15764,17714,407.46
-15862,17812,12.1,1.74,18818.584,-15862,17812,412.229
-16059,18009,12,1.71,18987.895,-16059,18009,420.141
-16256,18206,11.3,1.58,19157.446,-16256,18206,426.431
-16454,18404,11.3,1.6,19327.172,-16454,18404,431.457
-16651,18601,11.6,1.65,19497.038,-16651,18601,435.432
-16848,18798,11.7,1.66,19667.027,-16848,18798,438.506
-17045,18995,11.9,1.69,19837.13,-17045,18995,440.792
-17242,19192,11.2,1.58,20007.345,-17242,19192,442.386
-17439,19389,12.3,1.77,20177.674,-17439,19389,443.371
-17636,19586,11.4,1.61,20348.126,-17636,19586,443.829
-17833,19783,11.4,1.6,20518.719,-17833,19783,443.848
-18031,19981,12.3,1.78,20689.485,-18031,19981,443.536
-18228,20178,10.7,1.49,20860.492,-18228,20178,443.046
-18523,20473,10,1.38,21117.976,-18523,20473,442.781
-18622,20572,10.4,1.44,NA,NA,NA,NA
-18721,20671,11.3,1.59,NA,NA,NA,NA
-18918,20868,10.7,1.49,NA,NA,NA,NA
-19115,21065,10.9,1.53,NA,NA,NA,NA
-19312,21262,11.7,1.65,NA,NA,NA,NA
