year (AD),age (BP),IP25_flux (g/cm2/ka)
-900,2850,NA
-920,2870,NA
-940,2890,NA
-960,2910,NA
-980,2930,NA
-1000,2950,0.132
-1020,2970,NA
-1040,2990,NA
-1060,3010,NA
-1080,3030,NA
-1110,3060,NA
-1130,3080,NA
-1150,3100,NA
-1170,3120,NA
-1190,3140,NA
-1210,3160,0.118
-1230,3180,NA
-1250,3200,NA
-1270,3220,NA
-1300,3250,NA
-1320,3270,NA
-1340,3290,NA
-1360,3310,NA
-1380,3330,NA
-1400,3350,NA
-1420,3370,0.071
-1440,3390,NA
-1460,3410,NA
-1480,3430,NA
-1510,3460,NA
-1530,3480,NA
-1550,3500,NA
-1570,3520,NA
-1590,3540,NA
-1620,3570,NA
-1640,3590,0.127
-1660,3610,NA
-1690,3640,NA
-1710,3660,NA
-1730,3680,NA
-1760,3710,NA
-1780,3730,NA
-1800,3750,NA
-1830,3780,NA
-1850,3800,NA
-1870,3820,0.149
-1900,3850,NA
-1920,3870,NA
-1940,3890,NA
-1970,3920,NA
-1990,3940,NA
-2010,3960,NA
-2040,3990,NA
-2060,4010,NA
-2080,4030,NA
-2110,4060,0.112
-2130,4080,NA
-2150,4100,NA
-2180,4130,NA
-2200,4150,NA
-2220,4170,NA
-2250,4200,NA
-2270,4220,NA
-2290,4240,NA
-2320,4270,NA
-2340,4290,0.135
-2360,4310,NA
-2390,4340,NA
-2410,4360,NA
-2430,4380,NA
-2460,4410,NA
-2480,4430,NA
-2500,4450,NA
-2530,4480,NA
-2550,4500,NA
-2570,4520,0.105
-2600,4550,NA
-2620,4570,NA
-2640,4590,NA
-2670,4620,NA
-2690,4640,NA
-2720,4670,NA
-2750,4700,NA
-2780,4730,NA
-2810,4760,NA
-2840,4790,0.119
-2870,4820,NA
-2900,4850,NA
-2930,4880,NA
-2960,4910,NA
-2990,4940,NA
-3020,4970,NA
-3050,5000,NA
-3080,5030,NA
-3110,5060,NA
-3140,5090,0.074
-3170,5120,NA
-3200,5150,NA
-3230,5180,NA
-3260,5210,NA
-3290,5240,NA
-3320,5270,NA
-3350,5300,NA
-3380,5330,NA
-3410,5360,NA
-3440,5390,0.126
-3470,5420,NA
-3500,5450,NA
-3530,5480,NA
-3560,5510,NA
-3590,5540,NA
-3620,5570,NA
-3650,5600,NA
-3660,5610,NA
-3680,5630,NA
-3690,5640,0.146
-3710,5660,NA
-3720,5670,NA
-3740,5690,NA
-3760,5710,NA
-3770,5720,NA
-3790,5740,NA
-3800,5750,NA
-3820,5770,NA
-3830,5780,NA
-3850,5800,0.204
-3860,5810,NA
-3880,5830,NA
-3890,5840,NA
-3910,5860,NA
-3920,5870,NA
-3940,5890,NA
-3950,5900,NA
-3970,5920,NA
-3980,5930,NA
-4000,5950,0.286
-4020,5970,NA
-4030,5980,NA
-4050,6000,NA
-4060,6010,NA
-4080,6030,NA
-4090,6040,NA
-4110,6060,NA
-4120,6070,NA
-4140,6090,NA
-4150,6100,0.302
-4170,6120,NA
-4180,6130,NA
-4200,6150,NA
-4210,6160,NA
-4230,6180,NA
-4240,6190,NA
-4260,6210,NA
-4280,6230,NA
-4290,6240,NA
-4310,6260,0.28
-4320,6270,NA
-4340,6290,NA
-4350,6300,NA
-4370,6320,NA
-4380,6330,NA
-4400,6350,NA
-4410,6360,NA
-4430,6380,NA
-4440,6390,NA
-4460,6410,0.262
-4470,6420,NA
-4490,6440,NA
-4500,6450,NA
-4520,6470,NA
-4540,6490,NA
-4550,6500,NA
-4570,6520,NA
-4580,6530,NA
-4600,6550,NA
-4610,6560,0.226
-4630,6580,NA
-4640,6590,NA
-4660,6610,NA
-4670,6620,NA
-4690,6640,NA
-4700,6650,NA
-4720,6670,NA
-4730,6680,NA
-4750,6700,NA
-4770,6720,0.164
-4780,6730,NA
-4800,6750,NA
-4810,6760,NA
-4830,6780,NA
-4840,6790,NA
-4860,6810,NA
-4870,6820,NA
-4890,6840,NA
-4900,6850,NA
-4920,6870,0.125
-4930,6880,NA
-4950,6900,NA
-4960,6910,NA
-4980,6930,NA
-4990,6940,NA
-5010,6960,NA
-5030,6980,NA
-5040,6990,NA
-5060,7010,NA
-5070,7020,0.191
-5090,7040,NA
-5100,7050,NA
-5120,7070,NA
-5130,7080,NA
-5150,7100,NA
-5160,7110,NA
-5180,7130,NA
-5190,7140,NA
-5210,7160,NA
-5220,7170,0.056
-5240,7190,NA
-5250,7200,NA
-5270,7220,NA
-5290,7240,NA
-5300,7250,NA
-5320,7270,NA
-5330,7280,NA
-5350,7300,NA
-5360,7310,NA
-5380,7330,0.162
-5390,7340,NA
-5410,7360,NA
-5420,7370,NA
-5440,7390,NA
-5450,7400,NA
-5470,7420,NA
-5480,7430,NA
-5500,7450,NA
-5510,7460,NA
-5530,7480,0.216
-5540,7490,NA
-5560,7510,NA
-5570,7520,NA
-5590,7540,NA
-5600,7550,NA
-5620,7570,NA
-5630,7580,NA
-5650,7600,NA
-5660,7610,NA
-5670,7620,0.125
-5690,7640,NA
-5700,7650,NA
-5720,7670,NA
-5730,7680,NA
-5750,7700,NA
-5760,7710,NA
-5780,7730,NA
-5790,7740,NA
-5810,7760,NA
-5820,7770,0.21
-5840,7790,NA
-5850,7800,NA
-5870,7820,NA
-5880,7830,NA
-5900,7850,NA
-5910,7860,NA
-5930,7880,NA
-5940,7890,NA
-5960,7910,NA
-5980,7930,0.157
-6000,7950,NA
-6020,7970,NA
-6030,7980,NA
-6050,8000,NA
-6070,8020,NA
-6090,8040,NA
-6110,8060,NA
-6120,8070,NA
-6140,8090,NA
-6160,8110,0.17
-6180,8130,NA
-6200,8150,NA
-6220,8170,NA
-6230,8180,NA
-6250,8200,NA
-6270,8220,NA
-6290,8240,NA
-6310,8260,NA
-6320,8270,NA
-6340,8290,0.126
-6360,8310,NA
-6380,8330,NA
-6400,8350,NA
-6420,8370,NA
-6430,8380,NA
-6450,8400,NA
-6470,8420,NA
-6490,8440,NA
-6510,8460,NA
-6520,8470,0.132
-6540,8490,NA
-6560,8510,NA
-6580,8530,NA
-6600,8550,NA
-6610,8560,NA
-6630,8580,NA
-6650,8600,NA
-6670,8620,NA
-6690,8640,NA
-6710,8660,0.201
-6720,8670,NA
-6740,8690,NA
-6760,8710,NA
-6780,8730,NA
-6800,8750,NA
-6810,8760,NA
-6830,8780,NA
