age (BP),temperature (degC),depth_merged (m),Uk37 (missing),C37.concentration (microg_g),age (BP),depth_merged (m),IRD (no_g),depth_merged (m),d18O (permil),age (BP),temperature (degC),depth_merged (m),Mg/Ca (mmol_mol)
NA,NA,NA,NA,NA,13890,1.03,7.51,1.12,4.44,22191.4,-1.45,3.24,0.71
NA,NA,NA,NA,NA,13900,1.04,6.64,1.13,4.53,22360.2,-1.48,3.28,0.71
NA,NA,NA,NA,NA,13910,1.05,8.94,1.14,4.79,22575.4,-1.32,3.32,0.72
NA,NA,NA,NA,NA,13920,1.06,6,1.15,4.77,22702.3,-1.08,3.36,0.74
NA,NA,NA,NA,NA,13930,1.07,4.72,1.16,5.3,22868.5,-1.17,3.41,0.74
NA,NA,NA,NA,NA,13940,1.08,5.2,1.17,4.83,22868.5,-1.17,3.44,0.74
NA,NA,NA,NA,NA,13960,1.09,3.22,1.2,4.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,14010,1.1,6.27,1.24,3.91,NA,NA,NA,NA
NA,NA,NA,NA,NA,14180,1.12,8.24,1.25,4.97,NA,NA,NA,NA
NA,NA,NA,NA,NA,14260,1.13,8.13,1.27,5.3,NA,NA,NA,NA
NA,NA,NA,NA,NA,14340,1.14,8.41,1.28,5.24,NA,NA,NA,NA
NA,NA,NA,NA,NA,14410,1.15,10.55,1.29,5.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,14480,1.16,5.56,1.3,4.83,NA,NA,NA,NA
NA,NA,NA,NA,NA,14550,1.17,5.93,1.33,4.9,NA,NA,NA,NA
NA,NA,NA,NA,NA,14900,1.2,12.2,1.34,4.94,NA,NA,NA,NA
NA,NA,NA,NA,NA,15390,1.23,7.52,1.35,4.93,NA,NA,NA,NA
NA,NA,NA,NA,NA,15530,1.24,12.96,1.36,3.99,NA,NA,NA,NA
NA,NA,NA,NA,NA,15610,1.25,11.45,1.37,4.98,NA,NA,NA,NA
NA,NA,NA,NA,NA,15650,1.26,4.22,1.39,5.1,NA,NA,NA,NA
NA,NA,NA,NA,NA,15690,1.27,1.51,1.4,4.98,NA,NA,NA,NA
NA,NA,NA,NA,NA,15720,1.28,7.19,1.41,4.64,NA,NA,NA,NA
NA,NA,NA,NA,NA,15750,1.29,8.08,1.42,4.91,NA,NA,NA,NA
NA,NA,NA,NA,NA,15790,1.3,11.24,1.43,5.2,NA,NA,NA,NA
NA,NA,NA,NA,NA,15870,1.33,5.66,1.44,5.32,NA,NA,NA,NA
NA,NA,NA,NA,NA,15900,1.34,4.96,1.45,5.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,15930,1.35,7.31,1.46,5.26,NA,NA,NA,NA
NA,NA,NA,NA,NA,15970,1.36,3.79,1.47,5.9,NA,NA,NA,NA
NA,NA,NA,NA,NA,16000,1.37,5.38,1.5,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,16040,1.38,5.14,1.51,5.27,NA,NA,NA,NA
NA,NA,NA,NA,NA,16100,1.39,6.86,1.53,5.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,16230,1.4,6.19,1.54,5.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,16450,1.41,5.05,1.55,5.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,16660,1.42,2.82,1.56,5.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,16870,1.43,4.74,1.57,5.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,17080,1.44,5.39,1.58,5.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,17290,1.45,5.22,1.59,5.3,NA,NA,NA,NA
NA,NA,NA,NA,NA,17500,1.46,3.48,1.6,5.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,17710,1.47,4.76,1.61,5.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,18180,1.5,9.97,1.62,5.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,18210,1.51,4.49,1.63,5.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,18250,1.53,5.54,1.64,5.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,18270,1.54,8.05,1.65,5.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,18290,1.55,11.45,1.66,5.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,18300,1.56,4.55,1.67,5.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,18320,1.57,2.31,1.68,5.24,NA,NA,NA,NA
NA,NA,NA,NA,NA,18340,1.58,3.43,1.69,5.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,18350,1.59,5.2,1.7,5.28,NA,NA,NA,NA
NA,NA,NA,NA,NA,18370,1.6,3.7,1.72,5.17,NA,NA,NA,NA
NA,NA,NA,NA,NA,18380,1.61,2.22,1.73,5.17,NA,NA,NA,NA
NA,NA,NA,NA,NA,18400,1.62,2.81,1.74,4.76,NA,NA,NA,NA
NA,NA,NA,NA,NA,18420,1.63,4.53,1.75,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,18430,1.64,4.55,1.77,5.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,18450,1.65,1.88,1.78,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,18470,1.66,3.02,1.79,5.27,NA,NA,NA,NA
NA,NA,NA,NA,NA,18480,1.67,2.19,1.8,5.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,18500,1.68,2.43,1.81,4.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,18520,1.69,1.63,1.82,5.12,NA,NA,NA,NA
NA,NA,NA,NA,NA,18540,1.7,2.89,1.83,5.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,18570,1.72,1.76,1.84,4.07,NA,NA,NA,NA
NA,NA,NA,NA,NA,18590,1.73,1.85,1.85,5.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,18600,1.74,2.34,1.9,5.28,NA,NA,NA,NA
NA,NA,NA,NA,NA,18620,1.75,3.55,1.95,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,18650,1.77,2.03,2,5.36,NA,NA,NA,NA
NA,NA,NA,NA,NA,18670,1.78,2.39,2.05,5.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,18680,1.79,1.79,2.1,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,18700,1.8,1.56,2.15,5.29,NA,NA,NA,NA
NA,NA,NA,NA,NA,18710,1.81,1.51,2.2,5.31,NA,NA,NA,NA
NA,NA,NA,NA,NA,18730,1.82,1.95,2.25,5.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,18740,1.83,1.93,2.3,5.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,18760,1.84,2.08,2.35,5.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,18770,1.85,2.3,2.4,5.29,NA,NA,NA,NA
NA,NA,NA,NA,NA,18850,1.9,3.55,2.45,5.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,18950,1.95,0.98,2.5,5.34,NA,NA,NA,NA
NA,NA,NA,NA,NA,19070,2,2.25,2.55,5.2,NA,NA,NA,NA
NA,NA,NA,NA,NA,19120,2.05,2.92,2.6,5.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,19160,2.1,4.65,2.65,5.23,NA,NA,NA,NA
NA,NA,NA,NA,NA,19200,2.15,8,2.7,5.32,NA,NA,NA,NA
NA,NA,NA,NA,NA,19230,2.2,5.09,2.75,5.21,NA,NA,NA,NA
NA,NA,NA,NA,NA,19280,2.25,6.7,2.8,5.31,NA,NA,NA,NA
NA,NA,NA,NA,NA,19370,2.3,26.74,2.85,5.15,NA,NA,NA,NA
NA,NA,NA,NA,NA,19480,2.35,13.41,2.9,5.41,NA,NA,NA,NA
NA,NA,NA,NA,NA,19560,2.4,10.92,2.95,5.28,NA,NA,NA,NA
NA,NA,NA,NA,NA,19640,2.45,7.42,3,5.41,NA,NA,NA,NA
NA,NA,NA,NA,NA,19720,2.5,28.72,3.05,5.31,NA,NA,NA,NA
NA,NA,NA,NA,NA,19800,2.55,7.77,3.1,5.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,19890,2.6,11.13,3.15,5.29,NA,NA,NA,NA
NA,NA,NA,NA,NA,19970,2.65,13.08,3.2,5.31,NA,NA,NA,NA
NA,NA,NA,NA,NA,20050,2.7,12.29,3.25,5.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,20130,2.75,17.75,3.3,5.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,20230,2.8,37.45,3.35,5.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,20320,2.85,60.75,3.4,5.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,20530,2.9,38.27,3.45,5.19,NA,NA,NA,NA
NA,NA,NA,NA,NA,20780,2.95,32.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21020,3,42.11,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21250,3.05,43.58,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21470,3.1,32.64,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21670,3.15,40.15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,21900,3.2,56.7,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22120,3.25,68.28,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22340,3.3,71.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22740,3.4,19.45,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,22950,3.45,30.45,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,23310,3.5,35.76,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24090,3.55,52.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,24750,3.6,46.94,NA,NA,NA,NA,NA,NA
