depth (m),age (BP),temperature (degC),temperature (degC),d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil)
2.835,19330,26.83,23.86,NA,NA,4.26,2.81,-0.49
2.84,19360,26.5,NA,NA,NA,4.13,NA,NA
2.85,19430,NA,20.27,3.99,-1.13,NA,2.03,0.15
2.86,19510,26.17,NA,NA,NA,4,NA,NA
2.87,19580,NA,NA,4.09,-1.16,NA,NA,NA
2.875,19720,26.23,23.23,4.03,-1.15,4.03,2.65,-0.23
2.9,19790,25.96,NA,4.13,-1.01,3.93,NA,-0.05
2.92,19860,25.05,21.94,4.01,-1.1,3.62,2.36,-0.08
2.94,20030,25.28,20.54,4.02,-1.03,3.7,2.08,-0.06
2.96,20190,24.71,19.84,4.07,-1.09,3.51,1.96,0.13
2.97,20360,NA,NA,4.03,NA,NA,NA,NA
2.98,20520,23.82,NA,4.01,-1.1,3.24,NA,0
3,20600,NA,NA,3.98,-0.78,NA,NA,NA
3.01,20690,NA,NA,4.06,NA,NA,NA,NA
3.02,20770,24.96,NA,NA,-1.25,3.59,NA,0.2
3.03,20850,NA,NA,4.03,NA,NA,NA,NA
3.04,20930,24.57,NA,NA,-1.4,3.47,NA,-0.03
3.06,21190,25.24,NA,3.97,-1.07,3.68,NA,NA
3.08,21380,24.69,20.2,4.02,-1.15,3.51,2.02,0.13
3.1,21470,25.16,21.38,4.02,-1.06,3.66,2.25,0.07
3.12,21670,24.55,20.91,NA,-1.27,3.46,2.15,0.07
3.13,21760,25.2,NA,3.89,NA,3.67,NA,NA
3.14,21860,25.44,19.45,NA,-1.25,3.75,1.89,0.24
3.15,21950,25.83,20.02,3.94,NA,3.89,1.99,-0.18
3.161,22050,25.05,NA,3.98,-1.22,3.62,NA,0.17
3.18,22240,25.41,20.1,NA,-0.97,3.74,2,-0.25
3.19,22340,NA,NA,4.04,NA,NA,NA,NA
3.2,22430,25.82,NA,4.1,-1.06,3.88,NA,0.25
3.21,22530,25.88,NA,4.12,NA,3.9,NA,NA
3.215,22580,NA,20.98,NA,NA,NA,2.17,0.01
3.22,22620,25.49,NA,4.13,-1.26,3.77,NA,NA
3.24,22850,24.57,21.34,4.05,-1.36,3.47,2.24,0.05
3.26,23080,26.48,21.99,3.92,-1.14,4.12,2.37,0.1
3.28,23300,25.79,20.55,4.11,-1.07,3.87,2.09,0.4
3.3,23530,25.4,22.57,4,-1.25,3.74,2.5,0.06
3.31,23640,NA,NA,4.06,NA,NA,NA,NA
3.32,23750,25.32,22.65,4.08,-1.21,3.71,2.52,-0.28
3.34,23980,24.44,19.41,4.09,-1.13,3.43,1.88,0.33
3.36,24200,24.54,21.12,4.15,-1.14,3.46,2.2,-0.04
3.38,24440,24.68,20.13,4.04,-1.26,3.5,2.01,0.02
3.4,24710,25.14,21.25,3.95,-1.18,3.65,2.22,-0.05
3.42,24980,24.06,23.04,4.03,-1.25,3.31,2.61,0.03
3.44,25240,24.72,18.55,4.1,-1.23,3.51,1.74,NA
3.46,25510,24.49,19.45,NA,-1.36,3.44,1.89,0.26
3.48,25780,24.76,19.36,NA,-1.5,3.53,1.87,0.12
3.5,26050,24.88,21.62,4.07,-1.31,3.57,2.3,0.12
3.51,26180,NA,NA,4.08,NA,NA,NA,NA
3.521,26450,24.31,19.46,3.98,-1.32,3.39,1.89,NA
3.54,26650,24.6,20.63,3.61,-1.51,3.48,2.1,NA
3.56,27040,25.01,20.29,3.93,-1.17,3.61,2.04,NA
3.58,27420,25.08,19.72,NA,-1.18,3.63,1.93,NA
3.6,27810,26.86,22.02,4.04,-1.33,4.26,2.38,0.05
3.61,28010,NA,NA,4,NA,NA,NA,NA
3.62,28200,25.93,22.24,NA,-1.46,3.92,2.43,-0.13
3.64,28590,26.46,NA,3.75,-1.37,4.11,NA,NA
3.66,28980,27.45,20.82,3.83,-1.33,4.5,2.14,0.14
3.7,29650,25.67,21.49,3.95,-1.4,3.83,2.27,-0.05
3.72,29900,25.92,19.52,3.92,-1.35,3.92,1.9,-0.3
3.74,30140,25.22,20.91,3.87,-1.34,3.68,2.15,-0.02
3.76,30390,26.51,NA,3.63,-1.53,4.13,NA,-0.21
3.78,30630,NA,NA,3.82,-1.44,NA,NA,0.33
3.8,30880,25.97,21.17,3.84,-1.44,3.93,2.2,0.16
3.82,31120,NA,22.4,3.92,-1.38,NA,2.46,0.07
3.842,31370,25.38,NA,3.85,-1.44,3.73,NA,-0.06
3.86,31560,NA,21.03,3.88,NA,NA,2.18,-0.8
3.88,31760,25.18,21.82,3.74,-1.34,3.66,2.34,-0.7
3.9,31950,24.77,21.21,4.09,-1.26,3.53,2.21,0.01
3.92,32140,25.54,NA,3.97,-1.18,3.78,NA,0.21
3.94,32340,25.75,NA,3.88,-1.11,3.86,NA,-0.06
3.96,32530,25.01,19.86,3.84,-1.15,3.61,1.96,0.17
3.98,32720,27.09,NA,3.77,-1.24,4.35,NA,-0.4
4,32910,25.76,20.98,3.79,-1.21,3.86,2.17,-0.01
4.01,32990,25.74,20.93,3.93,-1.21,3.85,2.16,-0.15
4.03,33150,25.8,22.15,3.96,-1.38,3.88,2.41,-0.28
4.05,33310,26.35,20.86,3.88,-1.46,4.07,2.14,0.03
4.07,33470,NA,20.86,3.86,-1.12,NA,2.14,-0.11
4.09,33630,26.01,20.47,3.9,-1.22,3.95,2.07,-0.19
4.1,33710,25.65,20.54,3.91,-1.36,3.83,2.08,-0.14
4.11,33790,25.6,20.18,3.98,-1.51,3.81,2.02,-0.09
4.13,33950,26.13,20.17,3.87,-1.31,3.99,2.02,-0.19
4.15,34110,26.34,19.46,3.83,-1.23,4.07,1.89,0.01
4.17,34250,25.41,20.54,3.85,-1.44,3.75,2.08,-0.33
4.19,34380,25.56,NA,3.74,-1.42,3.79,NA,-0.45
4.201,34450,25.79,20.62,NA,-1.35,3.88,2.1,-0.16
4.209,34510,25.22,21.54,3.62,-1.39,3.68,2.28,-0.97
4.23,34650,25.04,19.51,3.81,-1.26,3.62,1.9,-0.33
4.25,34780,25.96,19.77,3.87,-1.4,3.93,1.94,-0.3
4.27,34910,26.02,19.99,3.89,-1.59,3.95,1.98,-0.39
4.29,35050,26.2,21.96,3.72,NA,4.02,2.37,-0.48
4.299,35110,26.33,19.98,3.79,-1.25,NA,1.98,-0.01
4.312,35180,25.84,20.33,NA,-1.3,3.89,2.05,-0.43
4.33,35290,27.06,22.02,3.77,-1.61,4.34,2.38,-0.34
4.35,35400,NA,22.74,4,-1.46,NA,2.54,-0.43
4.37,35510,26.21,20.05,3.72,-1.33,NA,1.99,-0.37
4.39,35630,25.83,22.72,3.77,-1.41,3.88,2.54,-0.29
4.4,35680,26.03,20.75,3.8,-1.5,3.96,2.13,-0.31
4.41,35740,NA,NA,3.83,NA,NA,NA,NA
4.43,35850,NA,NA,3.74,NA,NA,NA,NA
4.45,35960,NA,NA,3.63,NA,NA,NA,NA
4.469,36070,NA,NA,3.66,NA,NA,NA,NA
4.489,36180,NA,NA,3.66,NA,NA,NA,NA
4.5,36240,26.52,22.19,3.65,-1.43,4.14,2.42,-0.19
4.509,36290,26.81,23.47,3.76,-1.65,4.24,2.71,-0.58
4.53,36400,26.14,20.58,3.75,-1.43,4,2.09,-0.52
4.55,36510,26.76,20.65,3.6,-1.48,4.23,2.1,-0.38
4.57,36620,27.97,20.68,3.74,-1.44,4.71,2.11,-0.38
4.59,36730,28.05,21.16,3.71,-1.7,4.75,2.2,-0.27
4.6,36790,26.31,20.6,3.73,-1.56,4.06,2.09,-0.33
4.609,36840,27.09,21.29,3.71,-1.72,4.35,2.23,-0.43
4.63,36960,25.99,21.2,3.71,-1.57,3.94,2.21,-0.5
4.65,37080,NA,21.35,3.62,-1.37,NA,2.24,-0.27
4.67,37200,28.22,22.42,3.78,-1.81,4.82,2.47,-0.53
4.69,37320,27.78,22.96,3.59,-1.57,4.66,2.59,-0.46
4.7,37380,26.17,21.78,3.65,-1.68,4.01,2.33,-0.32
4.71,37440,27.01,21.3,3.58,NA,4.32,2.23,-0.21
4.73,37560,26.69,21.92,3.54,NA,4.2,2.36,-0.48
4.749,37680,27.88,22.73,3.55,NA,4.67,2.54,-0.3
4.77,37810,27.71,NA,3.56,-1.46,4.61,NA,-0.98
4.79,37970,26.43,22.11,3.58,NA,4.1,2.4,-0.46
4.8,38050,26.07,20.46,3.67,-1.49,3.97,2.07,-0.09
4.81,38140,27.39,22.17,3.46,NA,4.47,2.41,-0.34
4.83,38310,27.74,21.9,3.64,NA,4.61,2.35,-0.12
4.85,38480,28.09,22.53,3.54,NA,4.76,2.49,-0.3
4.87,38650,28.52,23.9,3.55,-1.35,4.95,2.82,-0.58
4.89,38820,28.04,20.44,3.76,NA,4.74,2.06,-0.41
4.901,38910,27.05,20.38,3.65,-1.43,4.33,2.06,-0.07
4.91,38990,27.15,NA,3.63,-1.73,4.38,NA,-0.69
4.93,39160,26.7,21.99,3.63,-1.51,4.2,2.37,-0.34
4.95,39340,27.63,21.31,3.79,-1.58,4.57,2.23,0
4.97,39520,26.04,21.8,3.86,-1.57,3.96,2.33,-0.4
4.98,39610,27.42,NA,NA,-1.66,4.48,NA,NA
4.99,39700,NA,NA,3.67,-1.69,NA,NA,-0.44
5,39790,25.74,21.73,3.8,-1.37,3.86,2.32,-0.34
5.01,39880,26.46,20.29,3.73,-1.4,4.12,2.04,-0.04
5.02,39970,26.24,NA,NA,-1.47,4.03,NA,NA
5.03,40060,25.98,20.91,3.77,-1.78,3.94,2.15,-0.63
5.05,40240,27.11,22.08,3.69,-1.62,4.36,2.39,-0.4
5.07,40420,25.19,20.37,3.72,-1.63,3.67,2.05,-0.45
5.09,40600,26.41,20.76,3.78,-1.6,4.09,2.12,-0.23
5.1,40690,25.75,20.63,3.8,-1.44,3.86,2.1,-0.14
5.11,40780,27.5,21.84,3.7,-1.62,4.51,2.34,-0.37
5.13,40960,25.9,19.88,3.53,-1.51,3.91,1.96,-0.08
5.15,41140,NA,NA,3.75,-1.52,NA,NA,-0.38
5.17,41320,NA,NA,3.58,-1.8,NA,NA,-0.95
5.191,41500,NA,NA,3.72,-1.51,NA,NA,-0.26
5.2,41580,25.99,NA,3.72,-1.39,3.94,NA,-0.3
5.21,41670,NA,21.07,3.61,-1.5,NA,2.18,-0.55
5.23,41850,25.33,NA,3.71,-1.53,3.71,NA,-0.34
5.25,42030,25.9,20.89,3.64,-1.68,3.91,2.15,-0.28
5.27,42210,27.21,22.63,3.65,-1.97,4.4,2.52,-0.3
5.29,42390,NA,20.5,3.66,-1.72,NA,2.08,-0.3
5.3,42480,25.97,21.8,3.71,-1.49,3.94,2.34,-0.25
5.31,42570,25.88,NA,3.64,-1.6,3.9,NA,-0.66
5.32,42660,25.33,NA,NA,-1.23,3.71,NA,NA
5.33,42750,27.29,22.42,3.66,-1.42,4.43,2.47,-0.31
5.35,42930,26.16,21.11,3.71,-1.5,4,2.19,-0.29
5.37,43110,25.82,21.68,3.7,-1.55,3.88,2.31,-0.06
5.39,43290,25.7,21.05,3.75,-1.59,3.85,2.18,-0.21
5.4,43380,25.31,21.1,3.6,-1.43,3.71,2.19,-0.39
5.41,43470,25.69,20.25,3.72,-1.68,3.84,2.03,-0.37
5.43,43650,NA,21.52,3.76,-1.56,NA,2.28,-0.49
5.45,43830,27.2,NA,3.65,NA,4.39,NA,NA
5.47,44000,27.43,20.69,3.68,-1.87,4.49,2.11,-0.36
5.49,44180,25.39,20.97,3.59,-1.74,3.73,2.16,-0.36
5.5,44270,27.19,21.74,3.54,-1.66,4.41,2.33,-0.47
5.51,44360,24.55,20.96,3.62,-1.9,3.46,2.16,-0.52
5.53,44540,26.92,20.56,3.64,-1.59,4.29,2.09,-0.35
5.55,44720,25.85,19.78,3.53,-1.69,3.89,1.95,-0.82
5.57,44900,25.29,22.67,3.59,-1.75,3.7,2.52,-0.14
5.59,45080,26.58,20.38,NA,-1.8,4.16,2.05,-0.43
5.6,45170,26.9,21.46,3.34,-1.68,4.28,2.27,-0.35
5.61,45260,26.4,23.15,3.49,-1.81,4.09,2.63,-0.27
5.63,45440,25.9,21.33,3.39,-1.73,3.91,2.24,-0.39
5.65,45620,26.03,19.63,3.46,-1.59,3.96,1.92,-0.45
5.67,45800,25.88,20.52,3.5,-1.23,3.9,2.08,-0.28
5.69,45970,25.31,19.06,3.61,-1.37,3.71,1.82,-0.23
5.7,46060,25.6,22.02,3.46,-1.43,3.81,2.38,-0.33
5.71,46150,25.14,20.78,3.53,-1.34,3.65,2.13,-0.12
5.73,46330,25.49,20.09,3.58,-1.53,3.77,2,0.03
5.77,46510,NA,NA,3.61,NA,NA,NA,NA
5.78,46690,NA,NA,3.59,NA,NA,NA,NA
5.79,46870,25,20.48,3.5,-1.36,3.61,2.07,-0.2
5.8,46960,25.3,20.83,3.77,-1.58,3.7,2.14,-0.18
5.81,47050,NA,NA,3.74,NA,NA,NA,NA
5.83,47230,25.87,21.8,3.58,NA,3.9,2.33,NA
5.85,47400,25.8,20.38,3.69,-1.46,3.87,2.05,-0.16
5.87,47580,25.72,20.77,3.5,-1.39,3.85,2.13,-0.22
5.89,47760,25.19,NA,3.65,-1.65,3.67,NA,-0.19
5.9,47850,25.51,20.97,3.72,-1.61,3.77,2.17,-0.17
5.91,47940,NA,NA,3.7,NA,NA,NA,NA
5.93,48120,26.01,20.41,3.55,NA,3.95,2.06,NA
5.95,48300,25.62,20.95,3.63,-1.64,3.81,2.16,-0.51
5.97,48480,25.58,20.23,3.69,-1.68,3.8,2.03,-0.29
5.99,48660,25.48,20.5,3.7,-1.64,3.76,2.08,NA
6,48750,26.16,22.53,3.88,-1.42,4,2.49,-0.37
6.02,48920,26.38,21.41,3.58,NA,4.08,2.25,NA
6.04,49100,26.15,NA,3.62,-1.8,4,NA,-0.51
6.06,49280,27.35,21.4,3.55,-1.76,4.45,2.25,-0.29
6.08,49460,26.69,21.48,3.52,-1.83,4.2,2.27,-0.44
6.1,49640,25.91,22.16,3.57,-1.67,3.91,2.41,-0.32
6.12,49820,26.22,22.1,3.54,NA,4.02,2.4,NA
6.14,49990,26.01,22.21,3.57,-1.84,3.95,2.42,-0.49
6.16,50170,26.68,20.96,3.51,-1.84,4.2,2.16,-0.33
6.18,50350,26.88,22.74,3.52,-1.82,4.27,2.54,-0.44
6.2,50530,27.41,22.07,3.45,-1.82,4.48,2.39,-0.56
6.22,50710,25.99,20.87,3.48,NA,3.94,2.15,NA
6.24,50890,26.73,21.68,3.45,NA,4.21,2.31,-0.64
6.26,51070,26.89,23.32,3.7,-1.83,4.27,2.67,-0.53
6.28,51240,26.18,23.49,3.52,-1.79,4.01,2.72,-0.45
6.3,51420,26.28,20.88,3.66,-1.65,4.05,2.15,-0.54
6.32,51600,27.24,20.26,3.52,NA,4.41,2.03,-0.47
6.34,51790,NA,NA,3.45,NA,NA,NA,NA
6.36,51980,26.44,22.32,3.42,-1.81,4.11,2.45,-0.58
6.38,52170,26.23,21.43,3.4,-1.82,4.22,2.26,-0.41
6.4,52460,26.575,21.55,3.35,-1.54,4.1,2.28,-0.6
6.43,52650,26.76,NA,NA,-1.52,4.22,NA,NA
6.44,52750,26.4,21.14,3.54,-1.81,4.09,2.2,-0.35
6.46,52940,25.99,21.75,3.45,-1.79,3.94,2.32,-0.3
6.48,53130,26.39,21.38,3.52,-1.36,4.08,2.25,-0.3
6.5,53350,25.78,22.54,3.19,-1.64,3.87,2.49,-0.31
6.52,53570,26,21.43,3.55,NA,3.94,2.26,NA
6.54,53790,26.14,23.87,3.65,-1.71,4,2.81,-0.54
6.56,54020,25.48,21.62,3.42,-1.58,3.77,2.3,-0.53
6.58,54240,26.41,21.11,3.54,-1.73,4.09,2.19,-0.37
6.6,54460,25.92,21.33,3.6,-1.64,3.91,2.24,-0.53
6.62,54680,25.99,21.74,3.6,NA,3.94,2.32,NA
6.64,54910,26.31,21.31,3.53,-1.57,4.05,2.23,-0.64
6.66,55140,25.41,21.03,3.63,-1.83,3.74,2.18,-0.51
6.68,55370,26.07,20.38,3.52,-1.65,3.97,2.05,-0.71
6.7,55600,26.5,22.58,3.63,-1.61,4.13,2.5,-0.6
6.72,55840,NA,21.42,3.54,NA,NA,2.26,NA
6.74,56070,26.54,20.88,3.47,-1.9,4.14,2.15,-0.6
6.76,56300,26.48,NA,3.41,-1.88,4.12,NA,-0.97
6.78,56540,25.68,21.67,3.52,-1.77,3.83,2.31,-0.42
6.8,56770,26.72,22.78,3.73,-1.67,4.21,2.55,-0.5
6.82,57010,26.14,22.33,3.48,-1.83,3.99,2.45,-0.54
6.84,57250,26.33,21.32,3.45,-1.6,4.07,2.23,-0.45
6.86,57490,27.09,21.37,3.4,-1.59,4.35,2.25,-0.91
6.88,57730,26.84,21.12,3.43,-1.89,4.26,2.19,-0.72
6.9,57970,26.76,22.14,3.62,-1.66,4.22,2.41,-0.47
6.92,58210,26.83,21.09,3.16,-1.76,4.25,2.19,-0.35
6.94,58450,26.48,22.38,3.45,-1.51,4.12,2.46,-0.53
6.96,58820,26.615,21.63,3.41,-1.495,4.17,2.295,-0.445
7,59210,26.34,22.71,3.62,-1.35,4.07,2.53,-0.22
7.02,59470,NA,NA,3.54,NA,NA,NA,NA
7.04,59730,26.37,21.68,3.57,-1.59,4.08,2.31,-0.74
7.06,60110,25.715,22.85,3.66,-1.495,3.845,2.575,-0.35
7.1,60500,26.33,21.11,3.55,-1.38,4.06,2.2,-0.17
7.12,60770,NA,NA,3.76,NA,NA,NA,NA
7.14,61040,25.82,20.33,3.79,-1.33,3.88,2.04,-0.3
7.16,61320,26.01,21.25,3.69,-1.91,3.95,2.22,-0.53
7.18,61590,26.06,21.82,3.7,-1.54,3.97,2.34,-0.35
7.2,61860,25.73,22.91,3.61,-1.41,3.85,2.58,-0.16
7.22,62140,26.59,22.28,3.77,-1.3,4.16,2.44,-0.22
7.24,62410,25.49,21.83,3.83,-1.3,3.77,2.34,-0.34
7.26,62680,26.09,22.21,3.68,-1.56,3.98,2.42,-0.13
7.3,63240,25.16,21.76,3.78,-1.44,3.66,2.33,-0.22
7.32,63510,25.74,21.94,3.51,-1.64,3.86,2.37,-0.65
7.36,64070,26.47,21.97,3.68,-1.58,4.12,2.37,-0.38
7.4,64620,26.19,NA,3.35,-1.54,4.01,NA,-0.46
7.42,64900,26.41,21.95,3.69,-1.54,4.11,2.37,-0.59
7.46,65430,25.89,22.18,3.7,-1.56,3.91,2.41,-0.59
7.5,65970,25.53,20.6,3.79,-1.49,3.78,2.1,-0.2
7.53,66370,26.09,19.23,3.78,NA,3.98,1.85,NA
7.56,66770,NA,NA,3.78,NA,NA,NA,NA
7.6,67280,25.82,20.33,3.76,-1.45,3.88,2.04,-0.14
7.63,67650,26.59,20.41,3.79,NA,4.16,2.06,NA
7.66,68020,NA,NA,3.66,NA,NA,NA,NA
7.7,68520,26.34,21.47,3.73,-1.5,4.08,2.27,-0.15
7.73,68890,24.8,21.48,3.65,-1.89,3.54,2.27,NA
7.76,69230,NA,NA,3.46,NA,NA,NA,NA
7.8,69690,26.55,22.14,3.58,-2.06,4.14,2.41,-0.52
7.83,70030,25.13,20.7,3.32,NA,3.65,2.11,NA
7.86,70370,NA,NA,3.415,NA,NA,NA,NA
7.9,70820,26.18,21.68,3.37,-1.51,4.01,2.31,-0.49
7.93,71247,26.37,NA,3.313,NA,4.08,NA,NA
8,71890,26.1,19.51,3.52,-1.66,3.98,1.9,-0.41
8.03,72210,26.33,19.4,3.61,NA,4.06,1.88,NA
8.06,72520,NA,NA,3.52,NA,NA,NA,NA
8.1,72930,25.88,20.46,3.59,-1.82,3.9,2.07,-0.71
8.2,73940,26.11,20.67,3.27,-2.07,3.98,2.11,-0.71
8.3,74930,26.87,20.52,3.32,-1.84,4.27,2.08,-0.64
8.4,75900,26.55,21.1,3.47,-1.77,4.14,2.19,-0.6
8.5,76870,NA,21.05,3.26,-1.85,NA,2.18,-0.97
8.6,77840,26.74,20.81,3.15,-2.05,4.22,2.14,-1.05
8.7,78810,27.09,21.76,3.12,-2.07,4.35,2.32,-1.12
8.8,79790,27.38,22.27,3.02,-2.15,4.47,2.43,-0.99
