age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),C (missing),age (BP),temperature (degC)
NA,350,-0.334,31.195,10.622,8.415,77.822,3,NA,NA
NA,362,0.11,31.366,10.059,7.992,83.768,3,NA,NA
NA,376,NA,NA,NA,NA,NA,2,NA,NA
NA,419,3.881,31.007,7.534,6.006,150.038,2,NA,NA
NA,430,0.044,31.889,10.588,8.411,75.711,2,NA,NA
NA,434,-0.162,32.066,10.624,8.314,67.888,5,NA,NA
NA,440,9.622,32.514,2.235,1.797,190.89,3,NA,NA
NA,446,0.125,31.811,10.272,8.112,78.824,5,NA,NA
NA,450,1.78,27.88,8.528,6.806,117.291,4,NA,NA
NA,459,2.261,31.618,7.924,6.307,112.74,5,NA,NA
NA,466,4.335,33.177,3.44,2.564,154.126,3,NA,NA
NA,470,5.629,31.989,4.458,3.454,172.422,3,NA,NA
NA,476,0.749,31.858,9.296,7.267,96.224,3,NA,NA
NA,480,1.768,27.582,8.039,6.321,127.165,3,NA,NA
NA,490,2.619,31.557,8.003,6.287,105.608,5,NA,NA
NA,491,0.108,30.927,10.025,7.803,78.753,3,NA,NA
NA,499,1.963,31.726,7.746,6.007,107.16,3,NA,NA
NA,506,0.373,31.86,9.795,7.707,87.753,3,NA,NA
NA,520,1.649,31.844,8.249,6.44,106.686,4,NA,NA
NA,536,1,32.279,9.105,7.19,96.151,3,NA,NA
NA,550,2.223,29.496,9.025,7.212,82.648,3,NA,NA
NA,566,0.75,31.203,9.371,7.367,89.507,2,NA,NA
NA,580,0.943,32.255,9.037,7.153,99.776,3,NA,NA
NA,610,2.386,31.404,7.433,5.757,116.147,3,NA,NA
NA,640,0.651,31.999,9.469,7.415,93.463,3,NA,NA
NA,660,0.764,31.904,9.271,7.255,96.818,3,NA,NA
NA,700,1.18,32.249,8.807,6.968,101.057,3,NA,NA
NA,740,0.665,31.933,9.442,7.388,93.757,3,NA,NA
NA,760,0.289,31.693,10.079,7.996,86.05,3,NA,NA
