depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d13C (permil),planktic.d18O (permil)
1.55,16200,15.3,16.9,16.7,1.75,17900,16.9,1.55,16200,-0.81,1.88
1.6,16900,15.4,17.2,17.4,1.8,18100,15.9,1.6,16900,-0.73,1.97
1.65,17600,14.2,16,15.2,1.9,18400,14.8,1.65,17600,-0.68,2.02
1.7,17700,13.1,14.7,14.3,1.95,18600,14.8,1.7,17700,0.01,2.5
1.75,17900,13.3,14.2,15.7,2,18700,14.2,1.75,17900,-0.01,2.49
1.8,18100,11.8,11.6,15.6,2.2,19400,13.6,1.8,18100,-0.36,1.95
1.9,18400,11.4,10.8,14.3,2.4,20000,15.4,1.9,18400,-0.05,2.5
1.95,18600,11.6,11,11.8,2.6,20700,11.9,1.95,18600,0.13,2.66
2,18700,10.5,9.8,12.8,2.8,21600,13.9,2,18700,0.29,2.7
2.1,19100,10.6,10.1,14.5,3,22200,11.4,2.1,19100,0.03,2.51
2.2,19400,11.5,9.8,13.1,3.2,23200,15.8,2.2,19400,0.24,2.55
2.3,19700,10.5,9.8,13.8,3.4,24200,11.6,2.3,19700,0.4,2.77
2.4,20000,10.5,10.2,13.9,3.6,25100,14.1,2.4,20000,0.35,2.5
2.5,20400,10.7,10.3,15.2,3.8,28200,12.1,2.5,20400,0.27,2.83
2.6,20700,11.5,9.1,16.5,4,31300,14.9,2.6,20700,-0.44,2.35
2.7,21200,11.3,10.3,16.3,4.3,35900,14,2.7,21200,-0.1,2.35
2.8,21600,10.6,9.2,15.6,4.7,38900,14.9,2.8,21600,-0.01,2.58
2.9,21900,10.3,9.7,15.8,5,40300,13,2.9,21900,0.27,2.58
2.98,22000,10.3,8.5,17,5.3,41700,13.1,2.98,22000,NA,NA
3,22200,10.8,9.5,18.2,5.6,43100,14.1,3.01,22200,0.35,2.71
3.1,22700,11.2,10.3,17.3,5.9,44500,16.1,3.1,22700,0.14,2.64
3.2,23200,11,9.9,15.3,6.1,45800,18,3.2,23200,0.24,2.71
3.3,23700,11,10.8,17.3,6.4,48100,15.1,3.3,23700,0.27,2.57
3.4,24200,11.6,12.5,16.8,6.7,50400,15,3.4,24200,0.45,2.53
3.5,24700,12.2,10.2,16.7,7,52500,16.3,3.5,24700,0.57,2.53
3.6,25100,13.2,13.9,16.6,7.3,54000,15.5,3.6,25100,0.24,2.53
3.7,26700,14,10.1,17.4,7.6,55700,16.9,3.7,26700,0.91,2.84
3.8,28200,11.7,8.6,17.4,7.9,57700,15.6,3.8,28200,-0.04,2.3
3.9,29800,11.8,8.5,14.9,8.2,60000,13.1,3.9,29800,0.06,2.09
4,31300,12.9,10.6,14.8,8.5,63500,14.8,4,31300,0.05,2.26
4.12,32800,14.6,10.8,16.4,8.8,68000,13.1,4.12,32800,-0.24,2.12
4.2,34400,14.4,10.1,16.4,9.1,71000,17.1,4.2,34400,-0.15,1.96
4.3,35900,15.7,11.1,15.3,9.4,74000,16.3,4.3,35900,-0.03,2.03
4.4,37000,14.2,12,16.8,9.7,77800,15.7,4.4,37000,-0.33,1.82
4.5,38000,15.2,13.6,18.5,10,82000,17.8,4.5,38000,-0.27,1.7
4.6,38500,14.2,12.3,16.8,10.3,84500,16.2,4.6,38500,0.18,1.96
4.7,38900,14,11.4,16.5,10.6,87000,15.8,4.7,38900,-0.02,1.89
4.8,39400,15.7,13.4,19.8,10.9,90300,17.2,4.8,39400,-0.16,1.83
4.9,39900,15.9,14.7,19.5,11.2,93600,18.2,4.9,39900,-0.63,1.69
5,40300,13.8,13.2,17,11.5,96900,18.2,5,40300,-0.23,2.02
5.1,40800,12.9,10.2,16,11.8,100200,17.9,5.1,40800,0.3,1.7
5.2,41300,13.8,10,16.3,12.1,103500,17.9,5.2,41300,-0.18,1.8
5.3,41700,13.9,11.8,16.4,12.4,106800,16.3,5.3,41700,0.09,1.95
5.4,42200,13.6,11.7,16.6,12.7,110600,16.6,5.4,42200,0.07,1.81
5.5,42700,13.2,11.2,16.9,13,115200,19.2,5.5,42700,0.55,1.99
5.6,43100,13.7,11.6,15.8,13.3,119900,19.2,5.6,43100,-0.56,1.67
5.7,43600,13.1,10.1,16.5,13.6,124500,20,5.7,43600,0.39,2.09
5.8,44100,13.4,10.2,16.8,13.9,126900,18.9,5.8,44100,-0.55,1.82
5.9,44500,14.5,12.2,17.4,14.1,127800,16.9,5.9,44500,-0.36,1.78
6,45000,15.6,14.9,19.2,14.7,131300,16.8,6,45000,-0.37,1.51
6.1,45800,15.2,13.9,17.4,15,135000,15.1,6.1,45800,-0.64,1.66
6.2,46600,14.9,13.3,17.3,NA,NA,NA,6.2,46600,-0.37,1.99
6.3,47300,13,10.5,16.3,NA,NA,NA,6.3,47300,-0.07,1.97
6.4,48100,13.8,11.4,16.7,NA,NA,NA,6.4,48100,-0.06,2.12
6.5,48900,13.1,10.1,15.3,NA,NA,NA,6.5,48900,0.1,2.16
6.6,49700,14.1,10.9,15.6,NA,NA,NA,6.6,49700,-0.8,1.55
6.7,50400,14.2,11.5,15.8,NA,NA,NA,6.7,50400,-0.16,1.74
6.8,51200,14.8,11.8,16.4,NA,NA,NA,6.8,51200,0.26,2.03
6.9,52000,16.2,13,16.9,NA,NA,NA,6.9,52000,-0.54,1.29
7,52500,16.5,13.7,17.3,NA,NA,NA,7,52500,-0.35,1.53
7.1,53000,16.9,15.2,18.3,NA,NA,NA,7.1,53000,-1.09,1.58
7.2,53500,15.5,13.7,17,NA,NA,NA,7.2,53500,0.49,2.06
7.3,54000,14.7,12.9,16,NA,NA,NA,7.3,54000,-0.22,1.72
7.4,54500,15.1,12,16.2,NA,NA,NA,7.4,54500,0.5,1.97
7.5,55000,15.3,14,16.9,NA,NA,NA,7.5,55000,-1.02,1.35
7.6,55700,16.4,15.4,16.9,NA,NA,NA,7.6,55700,-1.06,1.46
7.7,56300,16.6,15.7,16.5,NA,NA,NA,7.7,56300,-1.19,1.51
7.8,57000,15.9,15.4,15.9,NA,NA,NA,7.8,57000,-0.58,2.1
7.9,57700,14.9,13.3,15.9,NA,NA,NA,7.9,57700,-0.91,1.82
8,58300,14.6,13.1,16.1,NA,NA,NA,8,58300,-0.09,2.36
8.1,59000,13.3,11.1,15.6,NA,NA,NA,8.1,59000,-0.37,1.85
8.2,60000,12.6,9,14.9,NA,NA,NA,8.2,60000,-0.26,2.04
8.3,61000,14.1,11.2,16.1,NA,NA,NA,8.3,61000,-0.47,2.1
8.4,62000,13.7,10.1,16.2,NA,NA,NA,8.4,62000,0.42,2.47
8.5,63500,13.1,9.6,15.1,NA,NA,NA,8.5,63500,-0.08,2.02
8.6,65000,12.9,8.4,14.8,NA,NA,NA,8.6,65000,0.14,2.47
8.7,66500,13.1,8.5,15.2,NA,NA,NA,8.7,66500,0.67,2.6
8.8,68000,13.9,10,15.3,NA,NA,NA,8.8,68000,0.18,1.99
8.9,69000,13,NA,15.9,NA,NA,NA,8.9,69000,0.48,2.02
9,70000,14.2,8,16.9,NA,NA,NA,9,70000,1.02,2.35
9.1,71000,17.1,11.3,18.2,NA,NA,NA,9.1,71000,-0.52,1.43
9.2,72000,16.6,13.5,18.1,NA,NA,NA,9.2,72000,0.3,1.74
9.3,73000,16.8,13,18.3,NA,NA,NA,9.3,73000,0.53,2.07
9.4,74000,15.5,11.7,17.5,NA,NA,NA,9.4,74000,-0.28,1.37
9.5,75000,17.1,12.6,17.7,NA,NA,NA,9.5,75000,-0.16,1.11
9.6,76400,18.1,14.8,18.3,NA,NA,NA,9.6,76400,-0.23,1.47
9.7,77800,17.4,13.5,18.6,NA,NA,NA,9.7,77800,-0.11,1.63
9.8,79200,16.5,11.6,18,NA,NA,NA,9.8,79200,1.27,2.04
9.9,80600,17.3,12.9,18.5,NA,NA,NA,9.9,80600,0.2,1.32
10,82000,18.2,14.1,20.6,NA,NA,NA,10,82000,-0.53,0.97
10.1,82800,18.9,15.4,20.6,NA,NA,NA,10.1,82800,-0.59,1.27
10.2,83700,18.8,16.1,20.7,NA,NA,NA,10.2,83700,-0.62,1.2
10.3,84500,18.9,16.6,20.6,NA,NA,NA,10.3,84500,-0.65,1.01
10.4,85300,19.3,15.6,20.1,NA,NA,NA,10.4,85300,-0.83,1.46
10.5,86200,18.5,13.3,20.1,NA,NA,NA,10.5,86200,0.01,1.68
10.6,87000,18.1,13,20.2,NA,NA,NA,10.6,87000,0.06,1.76
10.7,88100,16.9,12.4,19.8,NA,NA,NA,10.7,88100,-0.96,1.1
10.8,89200,16.5,11,22.9,NA,NA,NA,10.8,89200,-0.46,1.21
10.9,90300,16.9,12.3,20.3,NA,NA,NA,10.9,90300,-0.7,1.3
11,91400,17.5,11.7,19.5,NA,NA,NA,11,91400,0.15,1.34
11.1,92500,16.9,11.8,19.5,NA,NA,NA,11.1,92500,0.47,1.37
11.2,93600,16.9,12.6,19.9,NA,NA,NA,11.2,93600,-0.48,1.4
11.3,94700,17.3,12.4,19.3,NA,NA,NA,11.3,94700,-0.52,1.36
11.4,95800,17.6,13.1,20.2,NA,NA,NA,11.4,95800,-0.25,1.23
11.5,96900,17.9,14,20.9,NA,NA,NA,11.5,96900,-0.51,1.21
11.6,98000,18,13.2,21,NA,NA,NA,11.6,98000,-0.34,1.43
11.7,99100,18.2,15.2,20.9,NA,NA,NA,11.7,99100,-0.91,1.2
11.8,100200,19.1,15,20.6,NA,NA,NA,11.8,100200,-0.28,1.34
11.9,101300,19.4,16.1,20.2,NA,NA,NA,11.9,101300,-0.54,1.18
12,102400,19.6,15.9,20.7,NA,NA,NA,12,102400,0.29,1.67
12.1,103500,19.6,NA,21.3,NA,NA,NA,12.1,103500,-0.61,1.12
12.2,104600,18.9,15.7,20.1,NA,NA,NA,12.2,104600,-0.3,1.21
12.3,105700,19,13.8,19.6,NA,NA,NA,12.3,105700,-0.06,1.58
12.4,106800,17.2,12.4,18.1,NA,NA,NA,12.4,106800,-0.46,1.44
12.5,107900,16.2,11.5,16.9,NA,NA,NA,12.5,107900,-0.49,1.38
12.6,109000,16.8,11.8,17.4,NA,NA,NA,12.6,109000,0.58,1.77
12.7,110600,17.4,12.6,17.9,NA,NA,NA,12.7,110600,-0.5,1.41
12.8,112100,18,13,19.1,NA,NA,NA,12.8,112100,-0.46,1.29
12.9,113700,17.4,12.8,19.5,NA,NA,NA,12.9,113700,-0.48,1.3
13,115200,18.1,14.8,21.2,NA,NA,NA,13,115200,-0.35,1.38
13.1,116800,19.2,14.7,23.7,NA,NA,NA,13.1,116800,-0.48,1.19
13.2,118300,19.6,16.9,22.8,NA,NA,NA,13.2,118300,-0.1,1.11
13.3,119900,20.3,17.6,23.5,NA,NA,NA,13.3,119900,-0.66,0.83
13.4,121400,21.3,18.5,25.1,NA,NA,NA,13.4,121400,-0.42,0.79
13.5,123000,21.5,19.9,23.1,NA,NA,NA,13.5,123000,0.01,0.45
13.6,124500,21.4,20.6,22.3,NA,NA,NA,13.6,124500,-0.65,0.44
13.7,126000,20.8,20.1,21.1,NA,NA,NA,13.7,126000,-0.23,0.46
13.8,126400,20.2,21.4,19.4,NA,NA,NA,13.8,126400,-0.82,0.73
13.9,126900,20,21.8,19.8,NA,NA,NA,13.9,126900,-0.66,1.06
14,127300,19.3,21.5,18.1,NA,NA,NA,14,127300,-0.45,1.29
14.1,127800,18.4,18.6,15.7,NA,NA,NA,14.1,127800,-1.05,1.32
14.2,128200,18.2,18.9,15.4,NA,NA,NA,14.2,128200,NA,NA
14.3,128700,17.9,17,15.1,NA,NA,NA,14.3,128700,-1.36,1.55
14.4,129100,16.9,17,14.9,NA,NA,NA,14.4,129100,-1.01,1.76
14.5,129600,17,16.6,15.6,NA,NA,NA,14.5,129600,NA,NA
14.6,130000,16,15.6,16,NA,NA,NA,14.6,130000,-0.92,1.65
14.7,131300,15.8,15,14.8,NA,NA,NA,14.7,131300,-0.99,1.74
14.8,132500,14.9,14.1,15,NA,NA,NA,14.8,132500,NA,NA
14.9,133800,14.7,13.6,14,NA,NA,NA,14.9,133800,-0.67,2.18
14.98,134800,13.4,12.1,19.9,NA,NA,NA,14.98,134800,0.09,2.66
