year (AD),age (BP),depth (cm),sand (percent),d0x2800x2E10x29 (missing),d0x2800x2E50x29 (missing),d0x2800x2E90x29 (missing),x00x2E020xB5m0x2D30x2E890xB5m (missing),x30x2E900xB5m0x2D70x2E790xB5m (missing),x70x2E800xB5m0x2D150x2E590xB5m (missing),x150x2E600xB5m0x2D300x2E990xB5m (missing),x310x2E000xB5m0x2D620x2E490xB5m (missing),x620x2E500xB5m0x2D1240x2E990xB5m (missing),x1250x2E000xB5m0x2D2490x2E990xB5m (missing),x2500x2E000xB5m0x2D4990x2E990xB5m (missing),x5000x2E000xB5m0x2D10000x2E000xB5m (missing),x10000x2E010xB5m0x2D20000x2E000xB5m (missing),Mode (missing),Clay (missing),Silt (missing)
1354.91,595.09,193.5,3.06,1.96,10.8,38.47,22.03,17.68,22.92,22.22,11.97,2.93,0.13,0,0,0,15.87,22.03,74.79
1344.56,605.44,194.5,3.1,2.08,10.89,38.97,21.77,17.9,22.35,22.39,12.35,2.96,0.14,0,0,0,16.89,21.77,75
1334.21,615.79,195.5,1.76,2.37,8.94,28.21,19.98,24.02,29.32,18.16,6.62,1.68,0.07,0,0,0,9.92,19.98,78.11
1323.86,626.14,196.5,1.44,1.68,7.09,27.06,29.21,24.2,23.53,15.13,6.34,1.38,0.06,0,0,0,7.46,29.21,69.2
1313.51,636.49,197.5,1.92,1.84,8.82,33.07,25.13,20.72,23.16,19.5,9.43,1.87,0.05,0,0,0,11.59,25.13,72.81
1303.16,646.84,198.5,2.8,2.05,10.83,39.3,21.98,18.1,21.64,22.22,13.14,2.74,0.05,0,0,0,18.17,21.98,75.1
1292.81,657.19,199.5,2.02,1.66,8.06,34.02,28.28,20.6,21.14,17.96,9.86,2.01,0.01,0,0,0,8.57,28.28,69.56
1282.45,667.55,200.5,1.84,1.55,6.62,27.96,32.41,23.03,21.56,14.47,6.54,1.77,0.07,0,0,0,6.64,32.41,65.6
1272.1,677.9,201.5,0.98,1.7,6.96,26.74,30.23,23.64,22.68,15.93,6.39,0.98,0,0,0,0,6.89,30.23,68.64
1261.75,688.25,202.5,0.35,1.57,7.6,26.97,29.46,21.31,23.44,18.55,6.76,0.35,0,0,0,0,11.26,29.46,70.05
1251.4,698.6,203.5,1.27,1.85,8.42,30.85,25.55,21.71,23.73,18.97,8.62,1.27,0,0,0,0,10.07,25.55,73.03
1241.05,708.95,204.5,2.87,2.15,9.36,34.7,21.86,21.39,25.34,19.16,9.24,2.77,0.1,0,0,0,10.77,21.86,75.13
1230.7,719.3,205.5,2.51,2.05,9.87,35.22,21.93,19.92,24.33,20.91,10.26,2.25,0.24,0.02,0,0,12.63,21.93,75.42
1220.35,729.65,206.5,0.93,1.74,6.02,19.83,32.19,28.66,23.79,10.98,3.28,0.88,0.06,0,0,0,6.22,32.19,66.7
1210,740,207.5,0.85,1.01,4.06,16.55,48.44,23.89,16.57,7.51,2.61,0.77,0.08,0,0,0,3.92,48.44,50.57
1199.65,750.35,208.5,2.02,1.79,7.9,29.83,27.25,22.18,23.42,17.71,7.28,1.63,0.36,0.02,0,0,9.47,27.25,70.59
1189.3,760.7,209.5,5.37,1.69,8.77,41.61,26.17,19.92,22.55,16.66,9.2,4.54,0.82,0,0,0,10.29,26.17,68.33
1178.94,771.06,210.5,3.63,1.69,8.27,31.91,25.71,22.02,25.41,16.3,6.79,3.04,0.59,0.01,0,0,9.77,25.71,70.52
1168.59,781.41,211.5,3.26,1.6,7.14,30.6,29.62,23.4,22.8,14.22,6.55,2.56,0.68,0.03,0,0,7.59,29.62,66.97
1158.24,791.76,212.5,2.07,1.79,7.12,28.38,28.88,24.34,23.25,14.75,6.56,1.77,0.3,0,0,0,7.24,28.88,68.9
920.17,1029.83,235.5,2.66,2.09,10.52,36.9,20.94,18.86,24.27,21.83,11.31,2.54,0.11,0.01,0,0,13.86,20.94,76.27
909.82,1040.18,236.5,7.73,1.9,10.96,53.54,21.55,17.47,22.54,18.5,12.09,6.75,0.97,0,0,0,12.08,21.55,70.6
899.47,1050.53,237.5,0.91,2.42,9.73,27.09,18.82,21.88,30.02,22.07,6.16,0.78,0.14,0,0,0,12.2,18.82,80.13
889.12,1060.88,238.5,4.24,1.3,5.04,31.85,40.93,22.68,16.09,9.86,6.06,3.48,0.76,0,0,0,3.85,40.93,54.69
878.77,1071.23,239.5,7.1,2.04,11.05,51.6,21.59,17.98,20.78,19.12,13.3,6,1.08,0.02,0,0,13.02,21.59,71.19
868.41,1081.59,240.5,6.19,1.74,8.47,46.47,27.39,20.09,19.48,16.03,10.68,5.34,0.84,0,0,0,6.56,27.39,66.29
858.06,1091.94,241.5,1.11,2.05,7.14,24.37,26.82,26.65,25.41,14.76,5.09,0.99,0.13,0,0,0,7.27,26.82,71.91
847.71,1102.29,242.5,2.91,2.48,12.62,40,17.84,16.91,22.81,25.26,14.15,2.54,0.34,0.03,0,0,19.35,17.84,79.13
837.36,1112.64,243.5,5.07,2.65,16.04,48.28,15.74,13.46,19.71,27.01,18.9,4.42,0.59,0.06,0,0,23.55,15.74,79.08
827.01,1122.99,244.5,2.43,1.49,6.49,30.55,33.77,21.84,19.78,14.7,7.33,2.08,0.35,0,0,0,5.07,33.77,63.66
816.66,1133.34,245.5,4.11,2.79,13.47,42.01,15.18,16.01,24.59,26.23,13.77,3.41,0.71,0,0,0,17.56,15.18,80.59
806.31,1143.69,246.5,2.83,2.96,12.82,37.77,14.63,17.28,26.24,26.64,12.26,2.74,0.09,0,0,0,16.64,14.63,82.41
795.96,1154.04,247.5,3.63,2.49,11.38,39.27,17.91,18.89,24.88,22.86,11.7,3.31,0.32,0.01,0,0,14.64,17.91,78.32
785.61,1164.39,248.5,6.87,3.01,16.26,53.64,13.7,14.06,20.69,25.18,19.39,6.69,0.18,0,0,0,22.74,13.7,79.32
775.26,1174.74,249.5,4.05,2.39,12.04,41.08,18.3,17.26,23.94,23.73,12.59,3.46,0.57,0.02,0,0,16.24,18.3,77.52
764.9,1185.1,250.5,4.15,2.41,11.25,38.9,18.62,18.58,25.13,22.77,10.63,3.94,0.21,0,0,0,14.63,18.62,77.1
754.55,1195.45,251.5,5.38,2.47,11.81,45.89,17.83,18.15,23.82,21.61,13.09,5.01,0.37,0,0,0,13.8,17.83,76.67
744.2,1205.8,252.5,5.32,2.28,12.6,47.75,18.84,16.7,21.28,22.1,15.64,4.73,0.51,0.08,0,0,18.36,18.84,75.72
733.85,1216.15,253.5,1.54,1.59,6.09,24.01,33.71,25.26,21.86,12.57,4.91,1.32,0.19,0.03,0,0,5.91,33.71,64.59
723.5,1226.5,254.5,3.74,2.92,13.06,42.14,14.69,17.23,24.87,25.12,14.22,3.57,0.16,0.01,0,0,16.64,14.69,81.44
713.15,1236.85,255.5,3.33,2.45,12.11,39.65,17.5,17.38,24.68,24.25,12.75,2.97,0.23,0.14,0,0,16.03,17.5,79.05
702.8,1247.2,256.5,0.97,1.89,7.87,26.66,25.14,24.37,26.48,16.43,6.47,0.97,0,0,0,0,8.88,25.14,73.74
692.45,1257.55,257.5,4.41,2.78,9.76,32.81,16.49,23.49,30.06,18.93,6.48,2.04,0.85,1.18,0.35,0,10.14,16.49,78.96
682.1,1267.9,258.5,1.27,2.07,9.26,30.63,22.84,21.01,25.36,20.92,8.47,1.2,0.06,0.01,0,0,12.71,22.84,75.75
671.75,1278.25,259.5,1.97,1.94,9.7,35.23,23.53,19.39,23.02,20.99,10.96,1.97,0,0,0,0,14.18,23.53,74.37
661.39,1288.61,260.5,1.98,2.14,9.81,35.68,21.62,20.46,23.95,20.66,11.19,1.98,0,0,0,0,11.82,21.62,76.26
651.04,1298.96,261.5,0.88,3.39,10.96,27.13,12.37,21.1,34.79,24.62,6.1,0.69,0.19,0,0,0,12.39,12.37,86.61
640.69,1309.31,262.5,1.42,1.96,8.86,31,23.9,21.47,25,19.49,8.58,1.42,0,0,0,0,10.94,23.9,74.54
630.34,1319.66,263.5,1.59,2.47,11.61,35.25,18.15,18.26,24.77,25.21,11.9,1.39,0.19,0.01,0,0,17.21,18.15,80.14
619.99,1330.01,264.5,2.4,2.24,11.89,36.77,18.81,16.86,24.77,25.06,11.98,2.17,0.23,0,0,0,16.65,18.81,78.66
609.64,1340.36,265.5,1.13,2.05,8.92,27.55,22.35,22.22,28.07,19.51,6.58,1.11,0.02,0,0,0,11.01,22.35,76.38
599.29,1350.71,266.5,2.95,2.47,10.25,36.54,18.48,21.1,26.24,20.67,10.42,2.9,0.05,0,0,0,11.04,18.48,78.43
588.94,1361.06,267.5,4.54,1.82,8.86,41.44,25.6,20.29,21.33,17.3,10.8,4.18,0.37,0,0,0,8.97,25.6,69.73
578.59,1371.41,268.5,4.39,3.41,13.16,41.84,11.92,16.9,28.61,25.61,12.44,4.13,0.26,0,0,0,14.15,11.92,83.57
568.24,1381.76,269.5,4.54,2.52,14.48,46.17,16.7,14.75,21.11,25.76,17.02,4.31,0.22,0,0,0,21.45,16.7,78.64
557.88,1392.12,270.5,4.51,2.7,14.61,45.8,15.73,15,21.57,26.27,16.81,4.23,0.28,0.01,0,0,21.15,15.73,79.64
547.53,1402.47,271.5,4.6,2.68,13.85,44.96,16.26,15.76,22.24,25.56,15.47,4.04,0.54,0.02,0,0,19.68,16.26,79.02
537.18,1412.82,272.5,5.14,2.27,12.7,44.74,18.62,15.91,22.83,23.86,13.51,4.44,0.71,0,0,0,17.22,18.62,76.11
526.83,1423.17,273.5,4.21,2.61,13.14,44.36,16.54,16.59,22.92,24.31,15.31,4.08,0.12,0,0,0,18.26,16.54,79.13
516.48,1433.52,274.5,6.04,2.41,13.52,49.74,17.52,15.79,21.42,23.11,16,5.6,0.45,0,0,0,18.93,17.52,76.32
506.13,1443.87,275.5,5.21,2.5,12.93,45.83,16.68,16.35,23.84,23.71,14.1,4.7,0.51,0,0,0,16.01,16.68,77.99
495.78,1454.22,276.5,5.11,2.35,11,42.52,18.84,19.06,24.75,21,11.12,3.89,0.6,0.44,0.17,0,12.67,18.84,75.93
485.43,1464.57,277.5,7.82,2.55,15.23,55.88,15.94,14.43,20.33,23.18,18.2,7.13,0.68,0,0,0,21.71,15.94,76.14
475.08,1474.92,278.5,5.11,2.3,12.74,47.32,18.85,16.52,21.09,22.45,15.85,4.84,0.27,0,0,0,19.41,18.85,75.92
464.73,1485.27,279.5,8.24,2.3,14.63,57.19,17.88,14.78,19.19,21.78,18.02,7.56,0.68,0,0,0,22.91,17.88,73.77
454.37,1495.63,280.5,2.45,1.67,7.23,30.18,30.09,22.28,21.79,16.15,7.1,1.91,0.51,0.02,0,0,7.02,30.09,67.32
444.02,1505.98,281.5,2.8,1.6,6.73,29.21,31.83,23.07,21.61,14.23,6.33,2.17,0.63,0,0,0,6.66,31.83,65.23
433.67,1516.33,282.5,3.64,1.72,7.85,35.92,28.49,21.19,21.26,16.4,8.88,2.89,0.71,0.04,0,0,7.95,28.49,67.73
423.32,1526.68,283.5,1.29,1.45,5.41,20.39,37.54,25.97,20.94,10.74,3.37,0.95,0.34,0,0,0,5.18,37.54,61.02
247.35,1702.65,300.5,2.66,2.69,13.25,39.65,16.12,16.31,23.8,26.63,14.36,2.46,0.21,0,0,0,18.97,16.12,81.09
237,1713,301.5,1.79,2.46,11.07,33.42,18.72,19,25.63,24.63,10.09,1.42,0.36,0.01,0,0,16.05,18.72,79.35
226.65,1723.35,302.5,1.01,1.64,7.02,23.88,29.81,24.02,25.08,15.2,4.73,0.88,0.13,0,0,0,8.73,29.81,69.03
216.3,1733.7,303.5,1.41,1.81,8.24,30.95,26.54,21.52,23.13,18.69,8.56,1.26,0.13,0.02,0,0,9.91,26.54,71.91
205.95,1744.05,304.5,2.72,1.94,9.97,38.09,23.58,18.85,21.79,20.83,12.11,2.57,0.15,0,0,0,15.56,23.58,73.58
195.6,1754.4,305.5,1.59,1.82,8.55,29.84,24.99,21.61,25.08,18.92,7.67,1.52,0.07,0,0,0,10.84,24.99,73.28
185.25,1764.75,306.5,1.83,1.83,7.68,27.61,26.84,23.61,24.93,16.41,6.23,1.57,0.27,0,0,0,8.86,26.84,71.18
174.9,1775.1,307.5,6.95,2.71,14.58,52.06,15.32,15.1,21.87,24.37,16.27,5.82,0.83,0.29,0.01,0,19.45,15.32,77.62
164.55,1785.45,308.5,12.83,2.9,18.64,71.99,13.78,12.18,18.16,23.27,19.69,9.95,2.15,0.7,0.04,0,24.06,13.78,73.29
154.2,1795.8,309.5,5.8,2.58,14.86,49.9,16.04,14.64,20.89,24.75,17.76,5.32,0.35,0.13,0,0,21.85,16.04,78.05
143.84,1806.16,310.5,3.92,2.33,12.82,43.22,17.76,16.14,23.08,24.17,14.82,3.56,0.34,0.03,0,0,17.64,17.76,78.2
133.49,1816.51,311.5,2.57,2.18,10.15,32.91,19.83,19.96,27.56,21.33,8.62,2.32,0.24,0,0,0,12.23,19.83,77.47
123.14,1826.86,312.5,2.63,1.99,9.93,34.81,22.04,19.51,24.88,21,9.81,2.29,0.33,0.01,0,0,12.8,22.04,75.2
112.79,1837.21,313.5,1.48,1.81,7.85,28.73,26.36,23.28,24.51,17.09,7.14,1.27,0.2,0.01,0,0,8.56,26.36,72.02
102.44,1847.56,314.5,1.02,1.98,8.32,26.14,24.04,23.31,27.45,18.2,5.83,1,0.02,0,0,0,10.28,24.04,74.79
92.09,1857.91,315.5,0.94,2.11,8.1,25.84,23.24,25.04,27.72,17.05,5.85,0.9,0.05,0,0,0,9.01,23.24,75.67
81.74,1868.26,316.5,2.13,2.11,10.87,34.92,19.92,18.3,25.6,23.24,10.68,2.07,0.06,0,0,0,14.42,19.92,77.82
71.39,1878.61,317.5,3.21,2.62,13.23,39.79,15.81,15.81,24.95,26.61,13.5,2.75,0.35,0.11,0,0,17.54,15.81,80.87
61.04,1888.96,318.5,5.72,2.6,13.61,48.36,16.34,16.04,22.33,23.84,15.61,4.98,0.69,0.05,0,0,18.41,16.34,77.82
50.69,1899.31,319.5,3.99,2.19,9.51,37.07,20.88,21.58,25.68,18.58,9.15,3.24,0.73,0.02,0,0,10.13,20.88,75
40.33,1909.67,320.5,2.84,2.13,7.22,28.67,24.6,28.69,25.21,12.33,6.17,2.37,0.47,0,0,0,6.94,24.6,72.4
29.98,1920.02,321.5,1.55,1.61,7.45,27.02,28.89,22.65,24.3,16.35,6.11,1.34,0.22,0,0,0,9.23,28.89,69.41
19.63,1930.37,322.5,1.45,1.89,8.67,29.86,25.55,20.82,24.19,20.08,7.76,1.26,0.19,0,0,0,13.15,25.55,72.86
9.28,1940.72,323.5,0.54,1.64,7.21,23.18,29.44,23.34,25.72,16.6,4.22,0.49,0.06,0,0,0,10,29.44,69.87
-1.07,1951.07,324.5,0.38,1.79,7.7,23.06,27.27,23.09,27.25,17.92,3.95,0.34,0.04,0,0,0,11,27.27,72.2
-11.42,1961.42,325.5,8.02,2.6,9.26,42.36,17.7,24.38,29.98,15.33,4.45,3.1,1.8,2.27,0.85,0,9.48,17.7,74.13
-21.77,1971.77,326.5,1.08,1.95,7.86,26.6,25.96,23.64,25.31,17.82,6.04,0.89,0.19,0,0,0,9.4,25.96,72.81
-32.12,1982.12,327.5,1.84,1.88,8.25,31.51,26.35,21.66,23.01,18.52,8.48,1.63,0.2,0.01,0,0,10.09,26.35,71.67
-42.47,1992.47,328.5,0.98,1.65,7.77,25.34,27.95,22.09,25.91,17.59,5.33,0.86,0.12,0,0,0,10.69,27.95,70.92
-52.82,2002.82,329.5,0.76,1.78,8.29,27.64,26.08,21.64,25.3,19.17,6.91,0.76,0,0,0,0,11.31,26.08,73.02
-63.18,2013.18,330.5,0.7,1.87,8.15,27.61,25.81,22.47,25.17,18.74,6.97,0.7,0,0,0,0,10.28,25.81,73.35
-73.53,2023.53,331.5,0.38,1.72,6.72,21.39,29.65,26.26,25.8,14.02,3.74,0.38,0,0,0,0,7.8,29.65,69.81
-83.88,2033.88,332.5,2.1,1.62,6.98,28.8,31.1,22.47,21.82,15.71,6.66,1.4,0.62,0.08,0,0,7.08,31.1,66.65
-94.23,2044.23,333.5,2.69,1.55,7.91,32.93,29.46,20,21.53,17.75,8.44,2.13,0.53,0.03,0,0,11.36,29.46,67.71
-104.58,2054.58,334.5,7.53,2.6,14.82,54.52,16.1,14.81,20.72,23.51,17.22,6.56,0.94,0.03,0,0,20.44,16.1,76.26
-114.93,2064.93,335.5,2.95,1.77,9.21,37.93,25.82,19.12,21.17,19.4,11.41,2.87,0.08,0,0,0,13.72,25.82,71.1
-125.28,2075.28,336.5,1.3,1.84,8.55,30.72,25.34,21.38,24.09,19.24,8.51,1.25,0.05,0,0,0,10.73,25.34,73.22
-135.63,2085.63,337.5,2.65,1.13,4.68,26.03,43.85,21.64,16.28,10.15,5.29,2.09,0.56,0,0,0,3.69,43.85,53.37
-145.98,2095.98,338.5,2.38,1.57,7.64,30.18,29.14,21.47,23.3,16.41,7.17,2,0.39,0,0,0,9.62,29.14,68.34
-156.33,2106.33,339.5,0.5,1.68,7.44,24.06,28.21,23.47,26.09,16.65,4.95,0.44,0.06,0,0,0,9.53,28.21,71.15
-166.69,2116.69,340.5,1.58,1.7,7.27,27.21,28.59,23.87,24.03,15.49,6.28,1.36,0.22,0,0,0,8.01,28.59,69.69
-177.04,2127.04,341.5,0.63,1.22,4.7,19.67,43.22,23.85,18.37,10.35,3.43,0.57,0.07,0,0,0,4.05,43.22,56
-187.39,2137.39,342.5,0,1.47,4.54,13.1,42.82,31.03,19.33,5.92,0.72,0,0,0,0,0,4.64,42.82,57
-197.74,2147.74,343.5,2.7,1.77,7.3,31.85,28.9,23.26,21.76,15.48,7.74,2.16,0.52,0.02,0,0,6.54,28.9,68.25
-208.09,2158.09,344.5,1.74,1.54,7.08,28.8,31.44,21.55,21.7,16.51,6.93,1.24,0.5,0,0,0,8.22,31.44,66.68
-218.44,2168.44,345.5,2.78,1.79,9.43,35.56,24.63,19.16,23.06,20.13,10.11,2.23,0.52,0.03,0,0,13.09,24.63,72.46
-228.79,2178.79,346.5,2.39,1.64,8.09,32.61,28.11,20.61,22.25,17.93,8.57,1.93,0.44,0.02,0,0,10.32,28.11,69.36
-239.14,2189.14,347.5,1.42,1.96,9.96,33.96,23.03,19.05,23.21,22.32,10.85,1.23,0.17,0.02,0,0,16.1,23.03,75.42
-249.49,2199.49,348.5,3.45,1.94,10.66,41.27,22.49,17.99,21.49,21.03,13.42,3.3,0.14,0.02,0,0,16.13,22.49,73.93
-259.84,2209.84,349.5,1.68,1.66,8.2,31.57,27.78,20.52,22.46,18.73,8.7,1.42,0.24,0.01,0,0,11.04,27.78,70.41
-270.2,2220.2,350.5,1.78,1.59,8.41,31.98,27.36,20.12,22.9,18.86,8.85,1.54,0.24,0.01,0,0,11.42,27.36,70.73
-280.55,2230.55,351.5,1.61,1.51,7.17,29.51,31.02,21.63,21.81,16.29,7.5,1.4,0.21,0,0,0,8.11,31.02,67.23
-290.9,2240.9,352.5,1.12,2.29,9.01,28.7,21.02,23.09,27.73,19.54,7.35,1.07,0.05,0,0,0,10.41,21.02,77.71
-301.25,2251.25,353.5,1.78,2.63,10.86,34.59,17.17,20.23,26.81,23.04,10.84,1.73,0.05,0,0,0,12.82,17.17,80.91
-311.6,2261.6,354.5,1.41,2.58,12.95,35.14,16.11,15.78,26.03,28.32,12.24,1.26,0.14,0.01,0,0,17.67,16.11,82.37
-591.08,2541.08,381.5,1.07,1.9,7.52,24.11,25.93,25.47,26.95,15.62,4.8,0.85,0.22,0,0,0,8.55,25.93,72.85
-601.43,2551.43,382.5,2.68,1.65,7.95,33.85,27.97,21.31,22.49,16.57,8.85,2.59,0.09,0,0,0,9.04,27.97,69.21
-611.78,2561.78,383.5,2.75,1.63,7.65,33,29.09,21.45,22.09,16.17,8.3,2.43,0.33,0,0,0,8.7,29.09,68.02
-622.13,2572.13,384.5,5.07,2.4,13.2,45.25,17.03,15.67,23.45,24.47,14.19,4.23,0.81,0.04,0,0,17.16,17.03,77.78
-632.48,2582.48,385.5,5.57,1.72,9.87,45.12,24.13,18.56,21.35,18.52,11.75,4.47,1.1,0,0,0,11.24,24.13,70.18
-642.83,2592.83,386.5,11.56,2.62,17.29,68.06,14.95,12.49,19.07,23.43,18.41,8.95,2.6,0,0,0,22.21,14.95,73.39
-653.18,2603.18,387.5,2.65,1.57,7.63,31.46,29.1,21.53,22.51,16.47,7.6,2.23,0.42,0,0,0,8.94,29.1,68.11
-663.53,2613.53,388.5,1.39,1.53,6.47,24.99,32.64,23.82,22.54,14.19,5.27,1.14,0.25,0,0,0,7,32.64,65.82
-673.88,2623.88,389.5,1.25,1.59,6.45,24.11,32.21,24.62,22.95,13.9,4.92,1.02,0.22,0,0,0,6.82,32.21,66.39
-684.24,2634.24,390.5,1.68,1.34,5.6,26.46,37.89,22.51,18.95,12.84,5.99,1.51,0.17,0,0,0,4.41,37.89,60.29
-694.59,2644.59,391.5,0.78,1.56,5.43,18.22,36.07,28.98,21.72,9.45,2.83,0.61,0.17,0,0,0,5.53,36.07,62.98
-704.94,2654.94,392.5,1.4,1.96,7.98,24.05,24.24,24.69,28.61,16.53,4.39,1.09,0.31,0,0,0,9.55,24.24,74.22
-715.29,2665.29,393.5,2.8,1.76,9.24,33.06,24.15,19.81,25.19,19.51,8.4,2.34,0.45,0.02,0,0,11.91,24.15,72.92
-725.64,2675.64,394.5,0.88,1.54,8.19,27.23,27.45,20.73,25.35,18.89,6.57,0.88,0,0,0,0,11.64,27.45,71.54
-735.99,2685.99,395.5,1.88,1.53,7.41,28.51,29,22.72,23.62,15.92,6.72,1.6,0.28,0,0,0,8.48,29,68.97
-746.34,2696.34,396.5,2.96,1.72,9.14,34.83,24.65,19.89,23.91,19.17,9.29,2.52,0.42,0.02,0,0,11.53,24.65,72.26
-756.69,2706.69,397.5,1.88,1.52,6.03,27.49,34.91,23.53,19.84,13.38,6.3,1.59,0.29,0,0,0,4.78,34.91,63.06
-777.39,2727.39,399.5,0.74,1.52,4.8,15.75,40.48,30.22,18.97,7.13,2.3,0.73,0.01,0,0,0,4.67,40.48,58.61
-787.75,2737.75,400.5,0.7,1.94,6.65,18.69,27.65,29.68,27.87,11.56,2.37,0.6,0.1,0,0,0,7.5,27.65,71.48
-798.1,2748.1,401.5,2.83,1.6,8,34.39,28.04,21.04,22.12,16.82,9.02,2.66,0.17,0,0,0,8.9,28.04,69
-808.45,2758.45,402.5,4.25,1.7,8.26,39.73,27.04,20.99,21.4,16.16,10.03,3.86,0.38,0,0,0,8.15,27.04,68.58
-818.8,2768.8,403.5,3.99,1.65,8.16,38.23,27.4,21,21.88,16.09,9.49,3.74,0.26,0,0,0,8.63,27.4,68.47
-829.15,2779.15,404.5,4.45,1.76,8.39,40.81,26.63,20.94,20.9,16.47,10.47,4.09,0.36,0,0,0,7.56,26.63,68.79
-839.5,2789.5,405.5,6.27,2.07,9,42.51,22.28,22.27,24.76,16.18,8.1,3.61,0.89,1.21,0.56,0,9.09,22.28,71.31
-849.85,2799.85,406.5,3.4,1.58,8.09,36.92,28.49,20.28,21.08,16.85,9.77,3.21,0.19,0,0,0,8.79,28.49,67.98
-860.2,2810.2,407.5,3,1.55,8.01,35.92,28.8,20.27,21.16,16.92,9.72,2.89,0.11,0,0,0,8.94,28.8,68.07
-870.55,2820.55,408.5,2.45,1.59,8.79,33.9,26.84,19.32,22.4,19.47,9.4,2.14,0.26,0.05,0,0,13.03,26.84,70.58
-880.9,2830.9,409.5,1.96,1.45,6.66,28.4,32.79,22.28,21.29,14.91,6.63,1.71,0.25,0,0,0,6.85,32.79,65.11
-891.26,2841.26,410.5,1.71,1.44,6.08,25.44,34.93,23.38,21,13.49,5.35,1.41,0.3,0,0,0,5.77,34.93,63.22
-901.61,2851.61,411.5,0.97,1.12,4.34,19.48,46.07,23.23,16.8,9.23,3.56,0.88,0.09,0,0,0,3.68,46.07,52.82
-911.96,2861.96,412.5,0,0.99,2.89,9.92,63.41,22.05,9.7,3.87,0.83,0,0,0,0,0,2.7,63.41,36.44
-922.31,2872.31,413.5,1.81,1.19,4.48,22.11,44.63,24.53,15.84,8.35,4.69,1.72,0.09,0,0,0,3.96,44.63,53.41
-932.66,2882.66,414.5,2.09,1.83,8.51,31.7,25.36,21.53,24.01,18.53,8.34,1.83,0.24,0.02,0,0,10.32,25.36,72.42
-943.01,2893.01,415.5,1.43,1.49,6.68,25.18,31.65,23.84,23.27,14.28,5.38,1.31,0.13,0,0,0,7.66,31.65,66.77
-953.36,2903.36,416.5,0.97,1.49,7.14,26.51,30.52,22.42,23.2,16.56,6.2,0.92,0.04,0,0,0,8.77,30.52,68.37
-963.71,2913.71,417.5,2.97,1.72,8.76,35.85,26.02,20.18,22.27,18.53,9.91,2.63,0.34,0,0,0,10.68,26.02,70.87
-974.06,2924.06,418.5,2.98,2.1,10.3,36.13,21.09,19.29,24.66,21.53,10.32,2.58,0.39,0,0,0,13.59,21.09,75.8
-984.41,2934.41,419.5,2.53,2.1,9.93,35.63,21.94,19.87,24.01,21.02,10.49,2.44,0.09,0,0,0,13.41,21.94,75.39
-994.77,2944.77,420.5,1.38,1.87,7.91,25.91,25.74,23.61,26.39,17.27,5.47,1.16,0.22,0,0,0,9.73,25.74,72.73
-1005.12,2955.12,421.5,1,1.75,7.38,24.06,27.77,24.23,26.04,16.11,4.71,0.9,0.09,0,0,0,9.21,27.77,71.08
-1015.47,2965.47,422.5,3.24,1.75,7.94,28.32,27.21,22.03,25.44,16.56,5.38,1.68,0.46,0.8,0.3,0,10.52,27.21,69.41
-1025.82,2975.82,423.5,1.57,1.91,8.89,28.65,24.27,20.96,25.98,20.24,6.84,1.27,0.3,0,0,0,12.61,24.27,74.02
-1036.17,2986.17,424.5,1.83,2.49,10.1,29.21,18.14,21.03,30.03,21.86,6.97,1.56,0.27,0,0,0,12.21,18.14,79.89
-1046.52,2996.52,425.5,3.37,1.17,7.46,37.28,33.02,18.1,18.97,16.38,10.04,3.15,0.21,0,0,0,10.43,33.02,63.49
-1056.87,3006.87,426.5,3.45,1.69,7.93,34.9,27.57,21.76,22.45,16.14,8.5,2.98,0.47,0,0,0,8.44,27.57,68.84
-1067.22,3017.22,427.5,2.05,1.46,7.48,30.32,30.15,21.09,22.32,16.7,7.56,1.77,0.26,0.02,0,0,9.3,30.15,67.66
-1077.57,3027.57,428.5,3.9,1.46,7.78,37.64,31.07,18.91,19.31,17.02,9.66,3.07,0.49,0.32,0.02,0,12.02,31.07,64.91
-1087.92,3037.92,429.5,1.88,2.02,8.87,31.67,22.75,22.34,25.46,18.88,8.54,1.66,0.22,0,0,0,9.55,22.75,75.23
-1098.28,3048.28,430.5,5.13,1.66,10.76,45.17,24.78,16.38,19.82,20.44,13.32,4.34,0.79,0,0,0,17.84,24.78,69.97
-1108.63,3058.63,431.5,3.18,1.45,7.65,34.95,30.64,19.83,20.54,16.73,8.96,2.76,0.4,0.02,0,0,9.68,30.64,66.05
-1118.98,3068.98,432.5,2.29,1.56,6.96,30.32,31.44,22.16,21.26,15.37,7.34,2.13,0.17,0,0,0,6.73,31.44,66.12
-1129.33,3079.33,433.5,2.2,1.47,6.85,29.66,32.18,21.92,21.34,15.13,7.08,2.06,0.14,0,0,0,7.31,32.18,65.48
-1139.68,3089.68,434.5,0.59,1.29,4.89,18.29,41.41,25.46,19.8,9.85,2.74,0.58,0.01,0,0,0,4.57,41.41,57.84
-1150.03,3100.03,435.5,5.21,1.45,7.2,40.35,32.19,19.99,18.93,14.74,8.81,3.88,0.79,0.44,0.1,0,5.73,32.19,62.47
-1160.38,3110.38,436.5,1.99,1.43,5.22,23.71,39.03,24.77,18.53,10.85,4.67,1.73,0.26,0,0,0,4.27,39.03,58.83
