year (AD),age (BP),d13C (permil),d18O (permil)
-4207.763,6157.763,-5.345,-15.456
-4214.706,6164.706,-5.334,-15.414
-4221.629,6171.629,-5.46,-15.522
-4228.533,6178.533,-5.321,-15.193
-4235.417,6185.417,-5.689,-16.302
-4242.282,6192.282,-5.663,-16.019
-4249.128,6199.128,-3.539,-15.436
-4255.955,6205.955,-3.9,-15.207
-4262.764,6212.764,-5.421,-15.355
-4269.554,6219.554,-4.332,-15.381
-4276.326,6226.326,-4.271,-15.356
-4283.08,6233.08,-4.206,-15.307
-4289.817,6239.817,-4.293,-15.412
-4296.536,6246.536,-4.747,-15.596
-4303.238,6253.238,-5.312,-15.329
-4309.922,6259.922,-5.545,-15.827
-4316.591,6266.591,-5.622,-15.905
-4323.242,6273.242,-5.943,-15.634
-4329.877,6279.877,-5.705,-15.516
-4336.497,6286.497,-5.858,-16.101
-4343.1,6293.1,-6.879,-15.875
-4349.688,6299.688,-6.248,-16.449
-4356.26,6306.26,-6.003,-16.155
-4362.817,6312.817,-6.002,-16.007
-4369.359,6319.359,-6.12,-15.494
-4375.887,6325.887,-6.262,-15.854
-4382.4,6332.4,-6.627,-16.096
-4388.898,6338.898,-6.493,-15.227
-4395.383,6345.383,-6.475,-15.834
-4401.854,6351.854,-6.345,-15.636
-4408.311,6358.311,-6.376,-15.887
-4414.755,6364.755,-6.351,-15.835
-4421.185,6371.185,-6.513,-16.032
-4427.603,6377.603,-6.484,-15.726
-4434.008,6384.008,-6.582,-15.829
-4440.401,6390.401,-6.485,-15.623
-4446.781,6396.781,-6.756,-15.481
-4453.149,6403.149,-6.529,-15.75
-4459.506,6409.506,-7.451,-15.469
-4465.851,6415.851,-6.549,-15.664
-4472.184,6422.184,-6.653,-15.742
-4478.507,6428.507,-6.742,-15.745
-4484.818,6434.818,-6.728,-15.954
-4491.119,6441.119,-6.777,-15.438
-4497.41,6447.41,-6.499,-15.144
-4503.69,6453.69,-6.409,-15.505
-4509.96,6459.96,-6.546,-15.241
-4516.221,6466.221,-6.77,-15.471
-4522.472,6472.472,-6.705,-15.709
-4528.713,6478.713,-6.108,-15.537
-4534.946,6484.946,-6.119,-15.693
-4541.169,6491.169,-6.117,-15.209
-4547.384,6497.384,-6.494,-15.92
-4553.591,6503.591,-5.638,-15.422
-4559.79,6509.79,-5.609,-15.22
-4565.98,6515.98,-5.022,-14.635
-4572.163,6522.163,-5.567,-15.469
-4578.338,6528.338,-5.268,-15.492
-4584.506,6534.506,-6.56,-15.936
-4590.667,6540.667,-6.568,-15.668
-4596.821,6546.821,-6.292,-15.155
-4602.968,6552.968,-5.903,-15.451
-4609.109,6559.109,-6.358,-15.601
-4615.244,6565.244,-5.716,-15.427
-4621.373,6571.373,-6.169,-15.653
-4627.496,6577.496,-6.39,-15.397
-4633.614,6583.614,-5.566,-15.647
-4639.727,6589.727,-5.559,-15.063
-4645.834,6595.834,-5.73,-15.052
-4651.937,6601.937,-5.258,-15.22
-4658.035,6608.035,-5.893,-15.622
-4664.129,6614.129,-5.22,-14.976
-4670.218,6620.218,-5.345,-14.95
-4676.304,6626.304,-5.545,-15.268
-4682.386,6632.386,-6.189,-16.127
-4688.465,6638.465,-6.024,-15.249
-4694.54,6644.54,-6.335,-15.767
-4700.613,6650.613,-6.295,-15.291
-4706.682,6656.682,-6.444,-15.462
-4712.749,6662.749,-6.385,-15.551
-4718.814,6668.814,-6.404,-15.476
-4724.877,6674.877,-6.495,-15.549
-4730.937,6680.937,-6.408,-15.535
-4736.997,6686.997,-6.328,-15.483
-4743.054,6693.054,-6.115,-15.448
-4749.111,6699.111,-6.08,-15.541
-4755.166,6705.166,-6.009,-15.862
-4761.221,6711.221,-6.226,-15.683
-4767.275,6717.275,-6.394,-15.818
-4773.329,6723.329,-6.367,-15.691
-4779.383,6729.383,-6.415,-15.731
-4785.437,6735.437,-6.335,-15.779
-4791.492,6741.492,-6.257,-15.694
-4797.547,6747.547,-6.205,-15.758
-4803.603,6753.603,-6.179,-15.794
-4809.66,6759.66,-6.044,-15.882
-4815.718,6765.718,-6.288,-15.784
-4821.778,6771.778,-6.019,-15.881
-4827.84,6777.84,-5.843,-15.878
-4833.903,6783.903,-5.782,-15.673
-4839.969,6789.969,-6.026,-15.702
-4846.037,6796.037,-6.191,-15.782
-4852.108,6802.108,-6.235,-15.891
-4858.181,6808.181,-6.171,-15.997
-4864.258,6814.258,-6.08,-15.845
-4870.338,6820.338,-6.113,-15.901
-4876.422,6826.422,-6.492,-15.537
-4882.509,6832.509,-6.71,-16.084
-4888.6,6838.6,-6.553,-15.691
-4894.696,6844.696,-6.491,-16.182
-4900.796,6850.796,-6.549,-15.685
-4906.9,6856.9,-6.498,-16.216
-4913.01,6863.01,-6.381,-15.994
-4919.125,6869.125,-6.198,-15.955
-4925.245,6875.245,-6.132,-15.817
-4931.37,6881.37,-6.351,-15.908
-4937.502,6887.502,-6.129,-15.719
-4943.639,6893.639,-6.08,-15.549
-4949.783,6899.783,-6.133,-15.501
-4955.933,6905.933,-6.233,-15.369
-4968.254,6918.254,-6.203,-15.654
-4974.425,6924.425,-5.999,-15.803
-4980.603,6930.603,-6.316,-15.88
-4986.789,6936.789,-6.574,-16.3
-4992.983,6942.983,-6.405,-15.739
-4999.185,6949.185,-6.424,-15.528
-5005.395,6955.395,-6.421,-15.564
-5011.613,6961.613,-6.355,-15.522
-5017.841,6967.841,-6.75,-16.473
-5024.077,6974.077,-6.303,-15.623
-5030.322,6980.322,-6.582,-16.158
-5036.577,6986.577,-6.516,-16.511
-5042.842,6992.842,-6.731,-16.494
-5049.116,6999.116,-6.354,-15.779
-5055.401,7005.401,-6.093,-15.501
-5061.696,7011.696,-6.232,-15.961
-5068.001,7018.001,-5.836,-15.503
-5074.317,7024.317,-5.93,-15.442
-5080.644,7030.644,-6.4,-15.995
-5086.982,7036.982,-6.258,-15.626
-5093.332,7043.332,-6.079,-15.665
-5099.694,7049.694,-6.089,-16.169
-5106.067,7056.067,-6.032,-15.81
-5112.452,7062.452,-6.504,-16.609
-5118.85,7068.85,-6.396,-15.699
-5125.26,7075.26,-6.456,-15.797
-5131.683,7081.683,-6.527,-15.509
-5138.12,7088.12,-5.274,-15.324
-5144.569,7094.569,-6.638,-15.761
-5151.032,7101.032,-6.752,-15.699
-5157.508,7107.508,-6.416,-15.593
-5163.999,7113.999,-6.56,-16.181
-5170.503,7120.503,-6.152,-15.665
-5177.022,7127.022,-6.392,-16.255
-5183.556,7133.556,-5.948,-15.616
-5190.104,7140.104,-6.318,-16.377
-5196.668,7146.668,-6.193,-15.647
-5203.247,7153.247,-6.291,-15.784
-5209.841,7159.841,-5.82,-15.705
-5216.451,7166.451,-6.007,-16.057
-5223.077,7173.077,-5.981,-15.842
-5229.719,7179.719,-6.066,-15.762
-5236.377,7186.377,-5.933,-15.772
-5243.052,7193.052,-5.834,-15.898
-5249.744,7199.744,-5.822,-15.905
-5256.453,7206.453,-5.828,-15.544
-5263.18,7213.18,-5.413,-15.692
-5269.924,7219.924,-5.326,-15.623
-5276.685,7226.685,-5.268,-15.661
-5283.465,7233.465,-5.609,-15.796
-5290.263,7240.263,-5.692,-15.929
-5297.079,7247.079,-5.021,-16.053
-5303.914,7253.914,-4.604,-16.011
-5310.768,7260.768,-4.034,-15.905
-5317.641,7267.641,-3.884,-15.905
-5324.533,7274.533,-3.801,-16.091
-5331.445,7281.445,-3.954,-16.301
-5338.377,7288.377,-3.79,-16.039
-5345.328,7295.328,-4.401,-16.447
-5352.3,7302.3,-4.345,-15.9
-5359.292,7309.292,-5.527,-16.546
-5366.305,7316.305,-5.106,-16.134
-5373.339,7323.339,-4.78,-15.845
-5380.394,7330.394,-4.911,-16.128
-5387.471,7337.471,-4.739,-15.953
-5394.569,7344.569,-4.277,-15.842
-5401.689,7351.689,-3.965,-15.906
-5408.831,7358.831,-4.274,-15.286
-5415.995,7365.995,-4.153,-15.637
-5423.181,7373.181,-4.684,-16.047
-5430.391,7380.391,-4.589,-16.16
-5437.623,7387.623,-4.368,-15.472
-5444.879,7394.879,-5.94,-16.356
-5452.157,7402.157,-5.128,-15.25
-5459.46,7409.46,-4.977,-15.369
-5466.786,7416.786,-4.831,-15.353
-5474.137,7424.137,-4.27,-15.518
-5481.512,7431.512,-4.396,-15.716
-5488.911,7438.911,-5.654,-16.538
-5496.335,7446.335,-5.584,-16.165
-5503.784,7453.784,-4.362,-15.483
-5511.258,7461.258,-4.243,-15.196
-7574.105,9524.105,-4.114,-15.305
-7581.563,9531.563,-4.95,-15.107
-7588.922,9538.922,-5.288,-15.941
-7596.184,9546.184,-5.22,-15.869
-7603.35,9553.35,-4.329,-15.309
-7610.423,9560.423,-4.207,-15.237
-7617.405,9567.405,-3.967,-15.028
-7624.296,9574.296,-3.922,-15.393
-7631.098,9581.098,-5.257,-15.3
-7637.814,9587.814,-4.596,-15.423
-7644.445,9594.445,-5.884,-15.554
-7650.992,9600.992,-4.556,-15.703
-7657.457,9607.457,-4.567,-15.514
-7663.842,9613.842,-4.952,-15.825
-7670.148,9620.148,-4.952,-16.093
-7676.378,9626.378,-4.976,-16.323
-7682.532,9632.532,-5.002,-16.094
-7688.613,9638.612,-4.386,-15.096
-7694.621,9644.621,-4.858,-15.39
-7700.56,9650.56,-5.352,-15.042
-7706.43,9656.43,-4.996,-15.052
-7712.233,9662.233,-5.15,-15.271
-7717.971,9667.971,-5.092,-15.74
-7723.646,9673.646,-5.416,-15.558
-7729.258,9679.258,-5.27,-15.634
-7734.81,9684.81,-4.711,-15.426
-7740.304,9690.304,-4.482,-15.705
-7745.741,9695.741,-5.267,-16.452
-7751.123,9701.123,-4.297,-15.503
-7756.451,9706.451,-3.907,-15.416
-7761.727,9711.727,-3.744,-15.327
-7766.953,9716.953,-3.599,-15.05
-7772.13,9722.13,-3.443,-15.128
-7777.261,9727.261,-3.295,-14.9
-7782.346,9732.346,-3.163,-15.286
-7787.388,9737.388,-3.371,-15.526
-7792.388,9742.388,-3.531,-15.312
-7797.347,9747.347,-3.529,-15.613
-7802.268,9752.268,-3.06,-15.159
-7807.152,9757.152,-3.168,-15.173
-7812.001,9762.001,-3.17,-15.525
-7816.817,9766.817,-4.112,-15.52
-7821.6,9771.6,-3.717,-15.095
-7826.353,9776.353,-3.549,-15.989
-7831.078,9781.078,-4.185,-16.487
-7835.775,9785.775,-4.85,-16.972
-7840.448,9790.448,-3.743,-15.47
-7845.097,9795.097,-3.258,-15.519
-7849.724,9799.724,-3.178,-15.664
-7854.33,9804.33,-3.698,-16.235
-7858.918,9808.918,-3.177,-15.357
-7868.046,9818.046,-3.408,-15.419
-7872.588,9822.588,-3.611,-15.407
-7877.118,9827.118,-4.286,-15.633
-7881.639,9831.639,-3.075,-15.112
-7886.15,9836.15,-3.012,-15.1
-7890.655,9840.655,-3.117,-15.09
-7895.154,9845.154,-3.18,-15.217
-7899.65,9849.65,-2.999,-14.879
-7904.144,9854.144,-3.111,-15.276
-7908.638,9858.638,-3.198,-15.327
-7913.133,9863.133,-3.3,-15.579
-7917.631,9867.631,-3.282,-15.908
-7922.134,9872.134,-2.939,-15.46
-7926.643,9876.643,-3.098,-15.349
-7931.16,9881.16,-3.627,-15.774
-7935.688,9885.688,-3.246,-15.877
-7940.226,9890.226,-3.49,-15.317
-7949.344,9899.344,-3.486,-15.287
-7953.926,9903.926,-3.419,-15.279
-7958.527,9908.527,-3.387,-15.48
-7963.148,9913.148,-3.364,-15.61
-7967.79,9917.79,-3.485,-15.934
-7972.454,9922.454,-3.206,-15.3
-7977.144,9927.144,-3.763,-15.892
-7981.86,9931.86,-3.49,-15.909
-7986.604,9936.604,-3.693,-15.623
-7991.378,9941.378,-3.765,-15.382
-7996.183,9946.183,-3.66,-15.14
-8001.021,9951.021,-3.531,-15.136
-8005.894,9955.894,-3.445,-14.934
-8010.804,9960.804,-3.574,-14.852
-8015.751,9965.751,-3.184,-14.871
-8020.738,9970.738,-3.382,-15.228
-8025.767,9975.767,-3.483,-15.052
-8030.838,9980.838,-3.854,-15.075
-8035.955,9985.955,-3.942,-15.1
-8041.117,9991.117,-3.86,-15.058
-8046.328,9996.328,-4.169,-15.242
-8051.588,10001.588,-3.976,-15.355
-8056.9,10006.9,-4.086,-15.361
-8062.265,10012.265,-4.227,-15.494
-8067.684,10017.684,-4.37,-15.571
-8073.16,10023.16,-4.202,-15.715
-8078.694,10028.694,-4.47,-15.135
-8084.288,10034.288,-4.931,-16.097
-8089.943,10039.943,-3.899,-15.504
-8095.661,10045.661,-4.1,-15.851
-8101.443,10051.443,-3.934,-15.845
-8107.292,10057.292,-3.782,-15.37
-8113.21,10063.21,-3.887,-15.293
-8119.196,10069.196,-4.195,-15.43
-8125.255,10075.255,-4.24,-15.367
-8131.386,10081.386,-5.054,-16.309
-8137.592,10087.592,-4.348,-15.381
-8143.874,10093.874,-4.275,-15.421
-8150.234,10100.234,-3.879,-15.469
-8156.674,10106.674,-3.612,-15.083
-8163.195,10113.195,-3.382,-15.216
-8169.8,10119.8,-3.479,-14.872
-8176.489,10126.489,-3.649,-15.357
-8183.264,10133.264,-4.378,-16.916
-8190.128,10140.128,-3.899,-15.256
-8197.081,10147.081,-3.99,-15.268
-8204.125,10154.125,-3.907,-15.35
-8211.263,10161.263,-3.682,-15.434
-8218.495,10168.495,-4.078,-15.7
-8225.823,10175.823,-4.263,-15.446
-8233.25,10183.25,-4.464,-15.52
-8240.776,10190.776,-4.433,-15.231
-8248.403,10198.403,-4.404,-15.549
-8256.134,10206.134,-4.134,-15.131
-8263.969,10213.969,-3.926,-15.394
-8271.91,10221.91,-3.917,-15.325
-8279.96,10229.96,-4.224,-14.456
-8288.119,10238.119,-5.02,-16.041
-8296.39,10246.39,-4.226,-13.686
-8304.773,10254.773,-4.43,-14.907
-8313.271,10263.271,-4.462,-14.309
-8321.886,10271.886,-4.444,-14.811
-8330.618,10280.618,-4.21,-15.203
-8339.471,10289.471,-4.327,-15.194
-8348.444,10298.444,-4.33,-15.271
-8357.541,10307.541,-4.45,-15.36
-8366.762,10316.762,-4.508,-15.325
-8376.109,10326.109,-4.358,-15.265
-8385.585,10335.585,-4.088,-15.257
-8395.19,10345.19,-4.519,-15.759
-8404.926,10354.926,-4.023,-15.076
-8424.8,10374.8,-4.284,-15.903
-8434.94,10384.94,-4.821,-15.313
-8445.219,10395.219,-4.846,-15.135
-8455.637,10405.637,-4.285,-15.959
-8466.196,10416.196,-4.175,-16.034
-8476.899,10426.899,-3.753,-15.477
-8487.746,10437.746,-4.483,-16.068
-8498.739,10448.739,-4.074,-14.927
-8509.88,10459.88,-4.302,-15.056
-8521.171,10471.171,-4.346,-15.737
-8532.614,10482.614,-4.306,-15.168
-8544.209,10494.209,-4.564,-16.195
-8555.959,10505.959,-4.666,-15.857
-8567.865,10517.865,-4.358,-15.095
-8579.929,10529.929,-4.368,-14.934
-8592.153,10542.153,-4.617,-15.474
-8604.538,10554.538,-4.469,-14.897
-8617.086,10567.086,-4.613,-15.119
-8629.799,10579.799,-4.448,-14.863
-8642.678,10592.678,-4.729,-15.341
-8655.725,10605.725,-5.3,-16.47
-8668.941,10618.941,-5.097,-15.413
-8682.329,10632.329,-5.037,-15.265
-8695.89,10645.89,-4.81,-15.783
-8709.626,10659.626,-4.629,-15.298
-8723.538,10673.538,-4.182,-14.943
-8737.627,10687.627,-3.889,-14.914
-8751.897,10701.897,-3.865,-15.083
-8766.347,10716.347,-4.008,-15.15
-8780.981,10730.981,-3.892,-14.938
-8795.799,10745.799,-4.221,-15.197
-8810.804,10760.804,-4.385,-14.986
-8825.996,10775.996,-4.349,-15.03
-8841.378,10791.378,-4.817,-15.93
-8856.952,10806.952,-5.275,-15.783
-8872.718,10822.718,-4.659,-15.841
-8888.679,10838.679,-4.345,-15.231
-8904.836,10854.836,-4.046,-15.363
-8921.192,10871.192,-4.496,-15.722
