depth (m),year (AD),age (BP),depth (m),depth (m),MAP (mm/yr),label (missing),depthComp (m)
0.787,-2588,4538,0.797,0.807,327.7,TMD2_78.7-80.7cm,1.35
0.827,-2739,4689,0.837,0.847,356.8,TMD2_82.7-84.7cm,1.39
0.867,-2890,4840,0.877,0.887,315.4,TMD2_86.7-88.7cm,1.43
0.11,-3042,4992,0.12,0.13,304.8,TMD3_11-13cm,1.47
0.15,-3196,5146,0.16,0.17,371.5,TMD3_15-17cm,1.51
0.19,-3350,5300,0.2,0.21,417,TMD3_19-21cm,1.55
0.23,-3505,5455,0.24,0.25,442.6,TMD3_23-25cm,1.59
0.27,-3661,5611,0.28,0.29,428.5,TMD3_27-29cm,1.63
0.31,-3818,5768,0.32,0.33,433.1,TMD3_31-33cm,1.67
0.35,-3976,5926,0.36,0.37,400.6,TMD3_35-37cm,1.71
0.39,-4134,6084,0.4,0.41,505.5,TMD3_39-41cm,1.75
0.43,-4294,6244,0.44,0.45,517.7,TMD3_43-45cm,1.79
0.47,-4455,6405,0.48,0.49,464.2,TMD3_47-49cm,1.83
0.347,-4616,6566,0.357,0.367,476.7,TMD4_34.7-36.7cm,1.87
0.387,-4779,6729,0.397,0.407,511.3,TMD4_38.7-40.7cm,1.91
0.427,-4942,6892,0.437,0.447,549.6,TMD4_42.7-44.7cm,1.95
0.467,-5106,7056,0.477,0.487,524.1,TMD4_46.7-48.7cm,1.99
0.507,-5272,7222,0.517,0.527,508.4,TMD4_50.7-52.7cm,2.03
0.547,-5438,7388,0.557,0.567,462,TMD4_54.7-56.7cm,2.07
0.587,-5605,7555,0.597,0.607,513.3,TMD4_58.7-60.7cm,2.11
0.627,-5773,7723,0.637,0.647,476,TMD4_62.7-64.7cm,2.15
0.667,-5942,7892,0.677,0.687,498.2,TMD4_66.7-68.7cm,2.19
0.707,-6112,8062,0.717,0.727,479.9,TMD4_70.7-72.7cm,2.23
0.262,-6282,8232,0.272,0.282,553,TMD5_26.2-28.2cm,2.27
0.302,-6454,8404,0.312,0.322,536.7,TMD5_30.2-32.2cm,2.31
0.342,-6627,8577,0.352,0.362,548.9,TMD5_34.2-36.2cm,2.35
0.382,-6800,8750,0.392,0.402,530.6,TMD5_38.2-40.2cm,2.39
0.422,-6975,8925,0.432,0.442,552.4,TMD5_42.2-44.2cm,2.43
0.462,-7150,9100,0.472,0.482,575.7,TMD5_46.2-48.2cm,2.47
0.502,-7326,9276,0.512,0.522,547.5,TMD5_50.2-52.2cm,2.51
0.542,-7503,9453,0.552,0.562,563.1,TMD5_54.2-56.2cm,2.55
0.582,-7682,9632,0.592,0.602,600.8,TMD5_58.2-60.2cm,2.59
0.622,-7861,9811,0.632,0.642,675.4,TMD5_62.2-64.2cm,2.63
0.662,-8041,9991,0.672,0.682,609.6,TMD5_66.2-68.2cm,2.67
0.702,-8221,10171,0.712,0.722,596.1,TMD5_70.2-72.2.cm,2.71
0.742,-8403,10353,0.752,0.762,648,TMD5_74.2-76.2cm,2.75
0.782,-8586,10536,0.792,0.802,653,TMD5_78.2-80.2cm,2.79
0.355,-8770,10720,0.365,0.375,649.2,TMD6_35.5-37.5cm,2.83
0.395,-8954,10904,0.405,0.415,685.5,TMD6_39.5-41.5cm,2.87
0.435,-9140,11090,0.445,0.455,594.6,TMD6_43.5-45.5cm,2.91
0.475,-9326,11276,0.485,0.495,583.3,TMD6_47.5-49.5cm,2.95
0.515,-9513,11463,0.525,0.535,585.7,TMD6_51.5-53.5cm,2.99
0.555,-9702,11652,0.565,0.575,524.1,TMD6_55.5-57.5cm,3.03
0.595,-9891,11841,0.605,0.615,446,TMD6_59.5-61.5cm,3.07
0.635,-10081,12031,0.645,0.655,352.7,TMD6_63.5-65.5cm,3.11
