age (BP),year (AD),age (BP),d18O_vPDB (missing)
8442,-6606,8556,-8.71
8447,-6609,8559,-8.69
8453,-6612,8562,-8.81
8458,-6615,8565,-8.83
8464,-6619,8569,-8.67
8469,-6622,8572,-8.8
8474,-6625,8575,-8.77
8480,-6628,8578,-8.78
8485,-6632,8582,-8.71
8491,-6635,8585,-8.65
8496,-6641,8591,-8.87
8502,-6647,8597,-9.01
8507,-6653,8603,-8.97
8512,-6660,8610,-9
8518,-6666,8616,-9.01
8523,-6672,8622,-8.85
8529,-6678,8628,-8.81
8534,-6684,8634,-8.6
8539,-6690,8640,-8.72
8545,-6697,8647,-8.69
8550,-6703,8653,-8.81
8556,-6709,8659,-8.6
8561,-6715,8665,-8.95
8567,-6717,8667,-8.8
8572,-6719,8669,-8.9
8577,-6721,8671,-8.75
8583,-6723,8673,-8.8
8588,-6725,8675,-8.8
8594,-6727,8677,-8.79
8599,-6729,8679,-8.84
8604,-6732,8682,-8.72
8610,-6734,8684,-8.78
8615,-6736,8686,-8.65
8621,-6738,8688,-8.84
8626,-6740,8690,-8.73
8631,-6742,8692,-8.77
8637,-6744,8694,-8.65
8642,-6746,8696,-8.74
8648,-6748,8698,-8.6
8653,-6750,8700,-8.65
8659,-6752,8702,-8.46
8664,-6754,8704,-8.62
8669,-6756,8706,-8.69
8675,-6758,8708,-8.63
8680,-6761,8711,-8.59
8686,-6763,8713,-8.63
8691,-6765,8715,-8.58
8693,-6767,8717,-8.33
8695,-6769,8719,-8.84
8698,-6771,8721,-8.79
8700,-6773,8723,-8.8
8702,-6775,8725,-8.87
8704,-6777,8727,-8.79
8706,-6779,8729,-8.81
8709,-6782,8732,-8.84
8711,-6784,8734,-8.72
8713,-6786,8736,-8.67
8715,-6788,8738,-8.76
8718,-6791,8741,-8.76
8720,-6793,8743,-8.72
8722,-6795,8745,-8.69
8724,-6797,8747,-8.71
8726,-6799,8749,-8.78
8729,-6802,8752,-8.79
8731,-6804,8754,-8.71
8733,-6806,8756,-8.59
8735,-6808,8758,-8.81
8737,-6811,8761,-8.74
8740,-6813,8763,-8.85
8742,-6815,8765,-8.61
8744,-6818,8768,-8.67
8746,-6821,8771,-8.72
8749,-6824,8774,-8.74
8751,-6826,8776,-8.7
8753,-6829,8779,-8.86
8755,-6832,8782,-8.96
8757,-6835,8785,-9.01
8760,-6838,8788,-8.91
8762,-6841,8791,-9.02
8764,-6844,8794,-8.9
8766,-6846,8796,-9.01
8768,-6849,8799,-8.83
8771,-6852,8802,-8.97
8773,-6855,8805,-9.02
8775,-6858,8808,-8.92
8777,-6861,8811,-8.94
8779,-6864,8814,-8.92
8782,-6866,8816,-8.97
8784,-6869,8819,-8.93
8786,-6872,8822,-8.98
8788,-6875,8825,-8.99
8791,-6876,8826,-8.94
8793,-6876,8826,-8.92
8795,-6877,8827,-8.86
8797,-6878,8828,-8.78
8799,-6878,8828,-8.75
8802,-6879,8829,-8.8
8804,-6879,8829,-8.71
8806,-6880,8830,-8.75
8808,-6881,8831,-8.67
8810,-6881,8831,-8.66
8813,-6882,8832,-8.6
8815,-6883,8833,-8.63
8817,-6883,8833,-8.54
8819,-6884,8834,-8.59
8822,-6884,8834,-8.47
8824,-6885,8835,-8.47
8826,-6889,8839,-8.58
8828,-6893,8843,-8.63
8830,-6897,8847,-8.68
8833,-6901,8851,-8.65
8835,-6905,8855,-8.69
8837,-6910,8860,-8.57
8839,-6914,8864,-8.65
8841,-6918,8868,-8.46
8844,-6922,8872,-8.79
8846,-6926,8876,-8.63
8848,-6930,8880,-8.5
