depth (m),temperature (degC),BSi (percent),TOC (percent),CaCO3 (percent)
3.93,19.4,8.53,2.13,39.7
3.94,NA,7.77,NA,NA
3.95,NA,8.18,NA,NA
3.96,NA,6.74,NA,NA
3.97,NA,7.97,NA,NA
3.98,19.8,7.92,1.88,42.8
3.99,NA,6.65,NA,NA
4,NA,5.29,NA,NA
4.01,NA,6.09,NA,NA
4.03,NA,9.42,1.97,38.2
4.04,NA,8.08,NA,NA
4.05,NA,6.2,NA,NA
4.06,NA,6.89,NA,NA
4.07,NA,10.48,NA,NA
4.08,18.8,11.13,2.09,35.7
4.09,NA,6.08,NA,NA
4.1,NA,6.6,NA,NA
4.11,NA,6.71,NA,NA
4.12,NA,8.86,NA,NA
4.13,19,10.96,2.22,35.8
4.14,NA,9.13,NA,NA
4.15,NA,11.18,NA,NA
4.16,NA,11.38,NA,NA
4.17,NA,8.31,NA,NA
4.18,19.1,11.83,2.22,35.2
4.19,NA,12.49,NA,NA
4.21,NA,14.8,NA,NA
4.22,NA,14.26,NA,NA
4.23,18.3,14.98,2.25,35.2
4.24,NA,8.01,NA,NA
4.25,NA,12.04,NA,NA
4.26,NA,7.88,NA,NA
4.27,NA,11.39,NA,NA
4.28,19.1,9.95,1.94,38.9
4.29,NA,10.14,NA,NA
4.3,NA,9.19,NA,NA
4.31,NA,11.96,NA,NA
4.32,NA,10.83,NA,NA
4.33,18.9,11.28,2.05,37.3
4.34,NA,11.74,NA,NA
4.35,NA,11.02,NA,NA
4.36,NA,10.11,NA,NA
4.37,NA,10.27,NA,NA
4.38,19.4,10.29,1.84,41.4
4.39,NA,7.35,NA,NA
4.4,NA,8.35,1.98,NA
4.41,NA,8.56,NA,NA
4.42,NA,9.58,NA,NA
4.43,18.7,11.49,2.13,37.7
4.44,NA,10.84,NA,NA
4.45,NA,12.19,NA,NA
4.46,NA,13.36,NA,NA
4.47,NA,10.82,NA,NA
4.48,18.8,12.55,2.28,36.3
4.49,NA,10.88,NA,NA
4.5,NA,8.95,NA,NA
4.51,NA,10.91,NA,NA
4.53,NA,12.8,2,36
4.54,NA,11.6,NA,NA
4.55,NA,10.82,NA,NA
4.56,NA,11.74,NA,NA
4.57,NA,12.73,NA,NA
4.58,18.4,15.17,2.2,33.5
4.6,NA,15.57,NA,NA
4.61,NA,15,NA,NA
4.62,NA,14.18,NA,NA
4.63,17.8,17.13,2.33,33.7
4.64,NA,14.14,NA,NA
4.65,NA,14.61,NA,NA
4.66,NA,16.89,NA,NA
4.68,17.8,18.24,2.23,32.7
4.73,17.2,16.98,2.14,33.2
4.74,NA,12.85,NA,NA
4.78,17.9,14.66,2.15,33.9
4.82,NA,11.98,NA,NA
4.83,17.8,14.56,2.09,32.2
4.84,NA,13.69,NA,NA
4.85,NA,15.23,NA,NA
4.86,NA,16.04,NA,NA
4.87,NA,15.16,NA,NA
4.88,18.1,17.34,2.15,32.8
4.89,NA,18.27,NA,NA
4.91,NA,20.89,NA,NA
4.92,NA,10.6,NA,NA
4.93,18.2,11.84,2.05,33
4.94,NA,11.2,NA,NA
4.95,NA,9.8,NA,NA
4.96,NA,8.61,NA,NA
4.97,NA,9.49,NA,NA
4.98,18.3,10.61,1.61,35.2
4.99,NA,8.61,NA,NA
5,NA,6.43,NA,NA
5.01,NA,8.4,NA,NA
5.03,NA,7.02,1.32,35.9
5.04,NA,7.51,NA,NA
5.05,NA,5.24,NA,NA
5.06,NA,4.88,NA,NA
5.07,NA,4.25,NA,NA
5.08,18.7,3.69,0.95,39.6
5.09,NA,2.14,NA,NA
5.1,NA,3.31,NA,NA
5.11,NA,3.56,NA,NA
5.12,NA,3.57,NA,NA
5.13,19.2,3.38,0.99,40
5.14,NA,2.36,NA,NA
5.16,NA,4.97,NA,NA
5.17,NA,2.01,NA,NA
5.18,19,3.7,1.05,40.9
5.19,NA,2.62,NA,NA
5.2,NA,2.91,NA,NA
5.21,NA,2.53,NA,NA
5.22,NA,3.23,NA,NA
5.23,18.8,5.59,1.17,36.6
5.24,NA,6.32,NA,NA
5.25,NA,5.47,NA,NA
5.26,NA,6.4,NA,NA
5.27,NA,5.3,NA,NA
5.28,18.3,6.16,1.26,36.4
5.29,NA,5.03,NA,NA
5.3,NA,5.61,NA,NA
5.31,NA,6.57,NA,NA
5.32,NA,4.83,NA,NA
5.33,17.9,5.23,1.22,38.9
5.34,NA,2.51,NA,NA
5.35,NA,2.29,NA,NA
5.36,NA,2.5,NA,NA
5.37,NA,1.89,NA,NA
5.38,18.9,NA,1.28,45.6
5.39,NA,2.47,NA,NA
5.4,NA,1.65,NA,NA
5.42,NA,1.66,NA,NA
5.43,20.6,2.31,1.55,51.9
5.44,NA,1.03,NA,NA
5.45,NA,1.05,NA,NA
5.46,NA,3.02,NA,NA
5.47,NA,1.19,NA,NA
5.48,19.5,1.85,0.51,48
5.49,NA,3.05,NA,NA
5.5,NA,3.34,NA,NA
5.51,NA,2.55,NA,NA
5.52,NA,2.71,NA,NA
5.53,NA,3.65,0.81,45.5
5.54,NA,3.28,NA,NA
5.55,NA,2.92,NA,NA
