year (AD),age (BP),IP25_flux (ugcm-2yr-1)
-1788.649,3738.649,NA
-1805.577,3755.577,0.243
-1822.614,3772.614,NA
-1839.76,3789.76,NA
-1857.013,3807.013,NA
-1874.375,3824.375,0.224
-1891.843,3841.843,NA
-1909.418,3859.418,NA
-1927.099,3877.099,0.198
-1944.886,3894.886,NA
-1962.778,3912.778,NA
-1980.774,3930.774,0.121
-1998.874,3948.874,NA
-2017.078,3967.078,NA
-2035.385,3985.385,NA
-2053.793,4003.793,0.139
-2072.303,4022.303,NA
-2090.914,4040.914,NA
-2109.625,4059.625,0.123
-2128.435,4078.435,NA
-2147.345,4097.345,NA
-2166.351,4116.351,0.144
-2185.456,4135.456,NA
-2204.656,4154.656,NA
-2223.952,4173.952,NA
-2243.343,4193.343,0.152
-2262.828,4212.828,NA
-2282.406,4232.406,NA
-2302.076,4252.076,0.1
-2321.837,4271.837,NA
-2341.689,4291.689,NA
-2361.63,4311.63,0.093
-2381.66,4331.66,NA
-2401.777,4351.777,NA
-2421.981,4371.981,NA
-2442.27,4392.27,0.159
-2462.644,4412.644,NA
-2483.101,4433.101,NA
-2503.64,4453.64,0.146
-2524.261,4474.261,NA
-2544.963,4494.963,NA
-2565.743,4515.743,0.101
-2586.601,4536.601,NA
-2607.536,4557.536,NA
-2628.547,4578.547,NA
-2649.632,4599.632,0.104
-2670.79,4620.79,NA
-2692.02,4642.02,NA
-2713.321,4663.321,0.11
-2734.692,4684.692,NA
-2756.131,4706.131,NA
-2777.636,4727.636,0.11
-2799.207,4749.207,NA
-2820.842,4770.842,NA
-2842.541,4792.541,NA
-2864.3,4814.3,NA
-2886.12,4836.12,NA
-2907.998,4857.998,NA
-2929.933,4879.933,0.12
-2951.925,4901.925,NA
-2973.97,4923.97,NA
-2996.068,4946.068,0.092
-3018.218,4968.218,NA
-3040.417,4990.417,NA
-3062.664,5012.664,NA
-3084.959,5034.959,0.132
-3107.298,5057.298,NA
-3129.68,5079.68,NA
-3152.104,5102.104,0.143
-3174.569,5124.569,NA
-3197.071,5147.071,NA
-3219.611,5169.611,0.088
-3242.186,5192.186,NA
-3264.794,5214.794,NA
-3287.434,5237.434,NA
-3310.103,5260.103,0.095
-3332.801,5282.801,NA
-3355.525,5305.525,NA
-3378.274,5328.274,0.154
-3401.045,5351.045,NA
-3423.837,5373.837,NA
-3446.648,5396.648,0.073
-3469.477,5419.477,NA
-3492.32,5442.32,NA
-3515.176,5465.176,NA
-3538.044,5488.044,0.103
-3560.921,5510.921,NA
-3583.806,5533.806,NA
-3606.696,5556.696,0.133
-3629.589,5579.589,NA
-3652.483,5602.483,NA
-3675.377,5625.377,0.144
-3698.268,5648.268,NA
-3721.154,5671.154,NA
-3744.033,5694.033,NA
-3766.903,5716.903,0.21
-3789.761,5739.761,NA
-3812.606,5762.606,NA
-3835.435,5785.435,0.163
-3858.247,5808.247,NA
-3881.038,5831.038,NA
-3903.807,5853.807,0.207
-3926.551,5876.551,NA
-3949.268,5899.268,NA
-3971.957,5921.957,NA
-3994.613,5944.613,0.159
-4017.236,5967.236,NA
-4039.823,5989.823,NA
-4062.371,6012.371,0.111
-4084.878,6034.878,NA
-4107.199,6057.199,NA
-4129.52,6079.52,0.087
-4151.841,6101.841,NA
-4174.163,6124.163,NA
-4196.484,6146.484,NA
-4218.805,6168.805,0.104
-4241.126,6191.126,NA
-4263.447,6213.447,NA
-4285.769,6235.769,0.084
-4308.09,6258.09,NA
-4330.411,6280.411,NA
-4352.732,6302.732,0.081
-4375.053,6325.053,NA
-4397.374,6347.374,NA
-4419.696,6369.696,NA
-4442.017,6392.017,0.155
-4464.338,6414.338,NA
-4486.659,6436.659,NA
-4508.98,6458.98,0.057
-4531.302,6481.302,NA
-4553.623,6503.623,NA
-4575.944,6525.944,0.044
-4598.265,6548.265,NA
-4620.586,6570.586,NA
-4642.908,6592.908,NA
-4665.229,6615.229,0.11
-4687.55,6637.55,NA
-4709.871,6659.871,NA
-4732.192,6682.192,0.064
-4754.514,6704.514,NA
-4776.835,6726.835,NA
-4799.156,6749.156,0.057
-4821.477,6771.477,NA
-4843.798,6793.798,NA
-4866.12,6816.12,NA
-4888.441,6838.441,0.035
-4910.762,6860.762,NA
-4933.083,6883.083,NA
-4955.404,6905.404,0.022
-4977.726,6927.726,NA
-5000.047,6950.047,NA
-5022.368,6972.368,0.021
-5044.689,6994.689,NA
-5067.01,7017.01,NA
-5089.332,7039.332,NA
-5111.653,7061.653,0.033
-5133.974,7083.974,NA
-5156.295,7106.295,NA
-5178.616,7128.616,0.021
-5200.938,7150.938,NA
-5223.259,7173.259,NA
-5245.58,7195.58,0.121
-5267.901,7217.901,NA
-5290.222,7240.222,NA
-5312.544,7262.544,NA
-5334.865,7284.865,0.107
-5357.186,7307.186,NA
-5379.507,7329.507,NA
-5401.828,7351.828,NA
-5424.15,7374.15,NA
-5446.471,7396.471,NA
-5468.792,7418.792,0.038
-5491.113,7441.113,NA
-5513.434,7463.434,NA
-5535.756,7485.756,NA
-5558.077,7508.077,0.049
-5580.398,7530.398,NA
-5602.719,7552.719,NA
-5625.04,7575.04,NA
-5647.361,7597.361,NA
-5669.683,7619.683,NA
-5692.004,7642.004,0.063
-5714.325,7664.325,NA
-5736.646,7686.646,NA
-5758.967,7708.967,NA
-5781.289,7731.289,0.008
