year (AD),age (BP),depth (m),temperature (degC),TT (degC),d18O (permil),Mg/Ca (mmol/mol),uncertainty.temperature (degC),Ndutertreid18O (permil),NdutertreiMg/Ca (mmol/mol),TTerror (degC)
-3110,5060,0.66,28.42,22.84,-1.93,4.67,1.2,-0.93,2.67,0.73
-3210,5160,0.68,27.87,22.93,-2.07,4.72,1.21,NA,2.69,0.74
-3320,5270,0.7,28,24.01,-2.15,4.61,1.2,-1.07,2.97,0.79
-3410,5360,0.72,27.73,23,NA,4.47,1.18,NA,2.71,0.74
-3520,5470,0.74,27.39,24.29,-1.92,4.96,1.25,-1.05,3.04,0.81
-3620,5570,0.76,28.54,22.3,-2.12,4.64,1.2,-0.83,2.55,0.7
-3720,5670,0.78,27.8,22.53,-2.06,4.45,1.17,NA,2.6,0.72
-3830,5780,0.8,27.34,22.58,-2.18,4.72,1.21,-0.97,2.61,0.72
-3940,5890,0.82,28,24.54,-1.93,4.99,1.25,NA,3.11,0.82
-4040,5990,0.84,28.61,23.21,-1.98,4.83,1.23,-1.06,2.76,0.75
-4160,6110,0.86,28.26,23.1,-1.95,4.27,1.15,-1.03,2.74,0.74
-4270,6220,0.88,26.89,23.03,-2.13,4.38,1.16,NA,2.72,0.74
-4370,6320,0.9,27.16,23.35,-2.05,4.34,1.16,-1.15,2.8,0.76
-4480,6430,0.92,27.07,23.28,-2.26,4.55,1.19,NA,2.78,0.75
-4580,6530,0.94,27.58,22.78,-2.03,4.37,1.16,-0.78,2.66,0.73
-4680,6630,0.96,27.14,22.16,-1.97,4.48,1.18,-0.98,2.51,0.7
-4780,6730,0.98,27.42,21.55,-2.08,4.49,1.18,NA,2.38,0.67
-4900,6850,1,27.44,22.7,-1.93,4.6,1.2,-0.77,2.64,0.72
-5010,6960,1.02,27.71,22.06,-1.96,4.37,1.16,NA,2.49,0.69
-5110,7060,1.04,27.13,22.48,-1.93,4.54,1.19,-0.83,2.59,0.71
-5220,7170,1.06,27.56,23.51,-2,4.85,1.23,-0.81,2.84,0.77
-5320,7270,1.08,28.29,23.87,-1.91,4.39,1.16,NA,2.93,0.79
-5430,7380,1.1,27.18,23.07,-2.08,4.39,1.16,-0.98,2.73,0.74
-5540,7490,1.12,27.2,23.58,-1.94,4.56,1.19,NA,2.85,0.77
-5640,7590,1.14,27.62,23.53,-2.21,4.68,1.21,-0.78,2.84,0.77
-5750,7700,1.16,27.89,22.33,-1.96,4.93,1.24,-0.62,2.55,0.71
-5840,7790,1.18,28.47,22.83,-2.09,4.41,1.17,NA,2.67,0.73
-5930,7880,1.2,27.24,23.7,-1.95,4.76,1.22,-0.76,2.89,0.78
-6020,7970,1.22,28.08,22.93,-1.84,4.64,1.2,NA,2.69,0.74
-6160,8110,1.24,27.82,23.91,-1.81,4.31,1.15,-0.87,2.94,0.79
-6270,8220,1.26,26.98,23.32,-2.04,4.65,1.2,-0.86,2.79,0.76
-6400,8350,1.28,27.84,21.29,-1.89,4.43,1.17,NA,2.32,0.66
-6540,8490,1.3,27.29,23.79,-1.9,4.62,1.2,-0.67,2.91,0.78
-6680,8630,1.32,27.75,21.68,-1.86,4.59,1.19,NA,2.41,0.67
-6830,8780,1.34,27.69,22.97,-2.07,4.8,1.23,-0.74,2.7,0.74
-6980,8930,1.36,28.19,23.19,-1.96,4.36,1.16,-0.73,2.76,0.75
-7130,9080,1.38,27.11,23.89,-2.14,4.61,1.2,-0.84,2.94,0.79
-7300,9250,1.4,27.74,23.86,-1.88,4.56,1.19,-0.64,2.93,0.78
-7450,9400,1.42,27.62,23.61,-1.9,4.67,1.21,NA,2.86,0.77
-7620,9570,1.44,27.88,22.78,-1.84,4.58,1.19,-0.76,2.66,0.73
-7780,9730,1.46,27.66,23.04,-1.9,4.52,1.18,-0.62,2.72,0.74
-7930,9880,1.48,27.52,23.9,-1.85,4.62,1.2,NA,2.94,0.79
-8100,10050,1.5,27.75,23.42,-1.78,4.84,1.23,-0.6,2.82,0.76
-8260,10210,1.52,28.27,23.14,-1.79,4.81,1.23,NA,2.74,0.75
-8410,10360,1.54,28.21,23.54,-1.76,4.61,1.2,-0.67,2.84,0.77
-8570,10520,1.56,27.74,23.8,-1.56,4.48,1.18,-0.63,2.91,0.78
-8720,10670,1.58,27.41,22.96,-1.58,4.88,1.24,NA,2.7,0.74
-8870,10820,1.6,28.36,23.3,-1.9,4.81,1.23,-0.53,2.78,0.76
-9030,10980,1.62,28.2,22.84,-1.76,4.77,1.22,NA,2.67,0.73
-9170,11120,1.64,28.12,23.19,-1.73,4.8,1.22,NA,2.76,0.75
-9330,11280,1.66,28.18,23.05,-1.95,4.48,1.18,-0.49,2.72,0.74
-9460,11410,1.68,27.41,23.65,-1.31,4.8,1.22,NA,2.87,0.77
-9600,11550,1.7,28.18,22.75,-1.49,4.74,1.22,-0.35,2.65,0.73
-9750,11700,1.72,28.04,23.55,-1.32,4.61,1.2,NA,2.85,0.77
-9930,11880,1.74,27.73,25.49,-1.27,4.52,1.18,-0.19,3.39,0.87
-10080,12030,1.76,27.51,23.06,-1.39,4.89,1.24,-0.73,2.73,0.74
-10240,12190,1.78,28.38,22.47,-1.27,4.52,1.18,NA,2.58,0.71
-10400,12350,1.8,27.51,23.04,-1.24,4.67,1.21,-0.25,2.72,0.74
-10560,12510,1.82,27.87,23.15,-1.81,4.53,1.18,NA,2.75,0.75
-10740,12690,1.84,27.54,22.31,-1.32,4.53,1.18,-0.46,2.55,0.7
-10920,12870,1.86,27.53,23.11,-1.54,4.58,1.19,-0.33,2.74,0.75
-11090,13040,1.88,27.67,22.98,-1.48,4.42,1.17,NA,2.71,0.74
-11280,13230,1.9,27.28,22.34,-1.66,4.98,1.25,-0.3,2.55,0.71
-11460,13410,1.92,28.6,22.92,-1.39,4.39,1.16,NA,2.69,0.74
-11650,13600,1.94,27.19,23.3,-1.25,4.42,1.17,-0.25,2.79,0.76
-11830,13780,1.96,27.27,25.07,-1.19,4.5,1.18,-0.24,3.27,0.85
-12010,13960,1.98,27.46,22.75,-0.98,4.49,1.18,NA,2.65,0.73
-12210,14160,2,27.44,22.81,-1.17,4.56,1.19,-0.01,2.67,0.73
-12400,14350,2.02,27.6,24.52,-1.12,4.42,1.17,NA,3.11,0.82
-12590,14540,2.04,27.25,21.74,-1.08,3.99,1.1,-0.14,2.42,0.68
-12780,14730,2.06,26.11,23.23,-1.02,4.69,1.21,-0.1,2.77,0.75
-12960,14910,2.08,27.92,22.84,-1.11,4.55,1.19,NA,2.67,0.73
-13150,15100,2.1,27.59,23.01,-1.23,4.35,1.16,0,2.71,0.74
-13340,15290,2.12,27.08,23.03,-0.94,4.55,1.19,NA,2.72,0.74
-13540,15490,2.14,27.6,22.21,-1.06,4.22,1.14,0.02,2.52,0.7
-13740,15690,2.16,26.74,22.99,-1.16,4.26,1.14,0.36,2.71,0.74
-13930,15880,2.18,26.86,22.83,-0.83,4.28,1.15,NA,2.67,0.73
-14110,16060,2.2,26.9,22.77,-0.69,4.45,1.17,-0.11,2.65,0.73
-14290,16240,2.22,27.33,21.42,-0.77,4.52,1.18,NA,2.35,0.66
-14450,16400,2.24,27.51,22.09,-0.79,4.14,1.13,0.47,2.5,0.69
-14640,16590,2.26,26.55,21.51,-0.79,3.98,1.1,0.53,2.37,0.67
-14810,16760,2.28,26.1,21.77,-0.7,4.4,1.17,NA,2.43,0.68
-14970,16920,2.3,27.22,22.08,-0.41,4.13,1.12,NA,2.49,0.69
-15160,17110,2.32,26.5,21.26,-0.76,4.16,1.13,NA,2.32,0.65
-15440,17390,2.34,26.6,20.82,-0.59,4.04,1.11,0.69,2.23,0.63
-15670,17620,2.36,26.28,19.99,-0.57,4.34,1.16,0.65,2.07,0.6
-15950,17900,2.38,27.06,21.06,-0.67,4.39,1.16,0.51,2.28,0.64
-16300,18250,2.4,27.19,20.91,-0.54,4.05,1.11,0.75,2.24,0.64
-16610,18560,2.42,26.3,20.93,-0.66,4.15,1.13,0.72,2.25,0.64
-16940,18890,2.44,26.55,21.72,-0.51,4.1,1.12,0.72,2.42,0.68
-17260,19210,2.46,26.44,20.92,-0.38,4.07,1.11,0.56,2.25,0.64
-17540,19490,2.48,26.34,21.04,-0.66,3.83,1.07,0.74,2.27,0.64
-17860,19810,2.5,25.68,20.52,-0.58,3.77,1.07,0.65,2.17,0.62
-18180,20130,2.52,25.51,20.05,-0.59,4.03,1.11,0.69,2.08,0.6
-18480,20430,2.54,26.23,20.71,-0.63,3.95,1.09,0.67,2.21,0.63
-18800,20750,2.56,26.01,21.41,-0.59,3.62,1.04,0.68,2.35,0.66
-19110,21060,2.58,25.04,20.89,-0.6,4.37,1.16,0.65,2.24,0.64
-19440,21390,2.6,27.13,19.75,-0.47,3.99,1.1,0.58,2.02,0.59
-19760,21710,2.62,26.12,19.97,-0.67,4.26,1.14,0.68,2.06,0.6
-20090,22040,2.64,26.84,20.68,-0.67,3.88,1.08,0.6,2.2,0.63
-20420,22370,2.66,25.8,19.98,-0.7,4.18,1.13,0.73,2.07,0.6
-20730,22680,2.68,26.66,20.55,-0.47,4,1.1,0.6,2.17,0.62
-21020,22970,2.7,26.15,21.15,-0.66,3.94,1.09,0.58,2.29,0.65
-21340,23290,2.72,25.98,NA,-0.61,4.1,1.12,0.55,NA,NA
-21570,23520,2.74,26.43,20.89,-0.61,4.2,1.13,0.69,2.24,0.64
-21820,23770,2.76,26.71,21.56,-0.6,3.92,1.09,0.49,2.38,0.67
-22130,24080,2.78,25.94,20.63,-0.81,4.12,1.12,0.75,2.19,0.62
-22410,24360,2.8,26.48,20.11,-0.85,3.76,1.06,0.57,2.09,0.6
-22660,24610,2.82,25.46,20.57,-0.81,3.96,1.1,0.78,2.18,0.62
-23030,24980,2.84,26.04,20.2,-0.85,4.16,1.13,0.73,2.11,0.61
-23380,25330,2.86,26.6,20.53,-0.88,3.93,1.09,0.76,2.17,0.62
-23720,25670,2.88,25.96,21.82,-0.71,4.04,1.11,0.55,2.44,0.68
-24100,26050,2.9,26.26,19.93,-0.86,4.14,1.12,0.41,2.06,0.59
-24440,26390,2.92,26.54,21.6,-0.82,4.13,1.12,0.77,2.39,0.67
-24810,26760,2.94,26.5,22.2,-0.68,3.91,1.09,0.52,2.52,0.7
-25200,27150,2.96,25.89,20.22,-0.87,3.9,1.09,0.37,2.11,0.61
-25560,27510,2.98,25.88,21.26,-0.93,3.98,1.1,0.36,2.32,0.65
-25930,27880,3,26.11,19.7,-0.73,4.25,1.14,0.63,2.01,0.58
-26300,28250,3.02,NA,20.65,-0.72,NA,NA,0.54,2.19,0.63
-26630,28580,3.04,26.82,20.84,-0.84,4.22,1.14,0.14,2.23,0.63
-26980,28930,3.06,26.75,20.63,-0.68,3.91,1.09,0.59,2.19,0.62
-27290,29240,3.08,25.89,21.99,-0.98,3.89,1.08,0.24,2.48,0.69
-27580,29530,3.1,25.85,21.2,-0.94,4.12,1.12,0.13,2.3,0.65
-27900,29850,3.12,26.48,20.52,-0.71,4.09,1.12,0.18,2.17,0.62
-28270,30220,3.14,26.4,20.64,-0.79,3.94,1.09,0.04,2.19,0.63
-28580,30530,3.16,26,21.95,-1.09,4.11,1.12,0.07,2.47,0.69
-28940,30890,3.18,26.46,21.24,-0.99,4.1,1.12,0.29,2.31,0.65
-29350,31300,3.2,26.43,21.9,-1.09,3.96,1.1,-0.12,2.46,0.69
-29700,31650,3.22,26.05,21.7,-0.95,4.23,1.14,0.09,2.41,0.68
-30130,32080,3.24,26.77,22.27,-1.13,3.79,1.07,0.22,2.54,0.7
-30530,32480,3.26,25.57,21.42,-1.05,4.23,1.14,0.11,2.35,0.66
-30920,32870,3.28,26.77,22.86,-0.93,3.72,1.06,0.12,2.68,0.73
-31340,33290,3.3,25.34,22.75,-1.14,4.21,1.14,0.25,2.65,0.73
