year (AD),age (BP),F_ (ppb),Na_ (ppb),Ca__ (ppb),K_ (ppb),Cl_ (ppb),NO3_ (ppb),NH4_ (ppb),Mg__ (ppb),SO4__ (ppb)
-6150,8100,60.5,103.1,23,30.1,26.6,80.6,56.8,3,40.4
-6200,8150,30.2,119.7,23.5,35.4,46.9,150.2,40.8,3.2,42.2
-6250,8200,87,119.8,42.7,47.2,53.2,134.3,73.6,2.8,55.8
-6300,8250,104.6,209.3,20.9,44.3,39.6,194.1,52.9,2.4,42
-6350,8300,200.8,454,33.1,76.1,94.9,267.5,75.3,3.2,55.4
-6400,8350,189.6,426.6,55.1,131.8,106.5,196.4,76.1,5.1,65.8
-6450,8400,1069.2,1361.8,66.8,169.4,152.2,134.6,75.7,8.9,46.9
-6500,8450,1109.6,1957.1,232.2,353.1,133.2,187.1,96.3,31.6,127.5
-6550,8500,211.4,498.6,25.5,66.5,94.8,233.9,69.3,3.8,47.4
-6600,8550,33.5,105.6,24.5,41.1,26.4,133.2,50.5,3.5,52.1
-6650,8600,26.1,76.8,25.6,34.5,39.3,133.4,58.1,2.5,35.6
-6700,8650,37.6,76.2,29.7,41.5,64.6,163.9,78.4,3.3,59.7
-6750,8700,7.3,57.5,26.6,22.1,43.4,119.4,31.1,2.1,27.3
-6800,8750,25.9,59.2,22.2,22.9,38.1,110,37.7,2,26.9
-6850,8800,45,71.1,19.8,21.2,16.3,53.4,33.5,1.7,16.2
-6900,8850,153.1,360.3,49.1,77.4,111.6,255.3,66.9,3.6,62.1
-6950,8900,80.8,157.6,27.8,24.1,64.5,243.8,40.5,2.1,38.5
-7000,8950,59.5,105.6,21.3,22.4,58.2,127.5,38.3,2.3,30.7
-7050,9000,85.7,146.2,26.7,26.1,34.4,118.2,68.2,2.4,19.2
-7100,9050,98.1,172.5,37.5,41.3,45.2,128.1,58.8,2.6,35.7
-7150,9100,82.7,81.6,16.7,22.3,20.5,90.5,49.6,2.2,40.1
-7200,9150,109.2,88.9,14.3,26.1,24.7,90.8,64,1.4,61.4
-7250,9200,67.5,55,11.2,17.6,21.3,61.4,48.5,1,16
-7300,9250,39.5,33.9,9.9,11.3,11.8,46.9,25.8,1,31.4
-7350,9300,41.2,41.1,14.5,13.3,12.4,48.2,30.1,1.1,29.3
-7400,9350,44.7,46.6,20.5,25.4,13,49.4,42.2,1.7,26
-7450,9400,32,39.6,12.4,13.3,17.8,59.5,35,1.4,30.2
-7500,9450,21,27,15.6,11.7,14.8,47,26,1.3,29.3
-7550,9500,22,34.1,17.3,11.8,33.5,67.4,32.8,1.8,34.2
-7600,9550,12.6,23.6,15.9,9.9,17.8,43.4,36.4,2.2,67.1
-7650,9600,19.2,18.1,10.7,8.9,12,29.4,32.6,1.7,22.3
-7700,9650,32.5,24.4,23.2,14.4,21.4,53.8,26.6,1.4,50.5
-7750,9700,70.2,108.9,32.6,40.7,59.8,218.7,47.7,4,38.1
-7800,9750,78.9,141.8,48,57,80.7,283.7,56.8,5.1,65.7
-7850,9800,33,57.3,20.9,27.9,30.1,144.4,19.7,2.4,33.4
-7900,9850,80.8,155.6,47.1,61.4,64.6,331.7,41.2,9.5,202.5
-7950,9900,31.7,54.8,21.8,32.3,26.5,113,25.4,2.1,51.3
-8000,9950,26.7,21.8,15.3,12.2,8.8,21.4,20.8,1.3,63.7
-8050,10000,28.7,56.1,20,33.1,13.4,38.8,22,1.8,68.5
-8100,10050,30.4,76.1,25.2,34.8,25.8,100.3,25.7,2.1,39.4
-8150,10100,35.3,146.3,43,71.1,53.2,220.1,32.4,4.2,36.6
-8200,10150,28.7,146.6,30,67.7,57.4,232.1,22.9,3.7,33.4
-8250,10200,16.6,67,25.1,30.7,75.9,232.6,49,3,41.1
-8300,10250,18.9,35.4,15.1,16.8,28.2,83.8,31.9,1.7,20.6
-8350,10300,34.9,82.9,25.8,29.8,23.5,131.3,25.5,3.4,25.7
-8400,10350,34.4,88.3,22.3,16.4,16.8,112.1,16,2.5,29.1
-8450,10400,46.5,226.5,30,63.5,36.4,167.9,22.3,3.7,47.6
-8500,10450,27.8,245.5,34.7,60.6,33.7,162.3,28.9,3.3,37
-8550,10500,23.7,61.8,14.6,16.1,27.4,98.8,25.4,1.4,16.8
-8600,10550,26.9,49.7,12.7,19.1,12.1,79,16.6,1.6,17.2
-8650,10600,47,166.4,28.1,35.1,61.5,279.6,40.4,3.1,63.6
-8700,10650,29.7,150.9,24.4,30.5,61.5,250.3,36.8,2.5,49
-8750,10700,29.3,159.5,19.2,25.7,61.3,259.5,37.2,2,37
-8800,10750,30,121.3,17.3,23,52.1,205.6,38.4,2,32.6
-8850,10800,27.5,80.2,24,28,44.3,124.1,47.4,2,17.4
-8900,10850,21.5,39.5,23.1,19.8,13.3,39.5,27.2,1.8,9.1
-8950,10900,28.8,108.2,11.5,30.8,46.5,224.4,31.6,1.8,25.9
-9000,10950,145.6,458.9,71.8,126.9,157.9,687.6,49.4,9.2,357.1
-9050,11000,70.3,228.8,25.9,58.8,62.8,421.5,36.5,4.3,101.8
-9100,11050,76.4,193.3,23.2,34.5,55.4,276.6,38.3,2,42.1
-9150,11100,103.1,192.2,23.9,39,44.1,178.9,31.8,1.9,34.3
-9200,11150,116.1,206.2,16.5,29.7,36.7,152.9,30.6,2.3,34
-9250,11200,94,161.2,10.6,17.8,27.8,89,19.7,2.1,9.4
-9300,11250,133.8,251.3,16.5,24.4,39.1,145,30.1,2,21.2
-9350,11300,175.1,339,22.8,34,41.4,129.4,44.4,1.7,21.9
-9400,11350,257.4,631.8,24.6,52.9,42.7,80.5,66.5,1.8,22
-9450,11400,227.3,530.4,11.2,26.9,53.9,109.6,32,1.2,12.5
-9500,11450,546.2,864.2,23.8,49.4,55.1,94.9,40.5,1.5,14
-9550,11500,418.3,507.1,29.5,50.6,81.9,130.1,57,2.4,78.8
-9600,11550,340.6,291.2,23.8,111.6,84.3,95.6,23.2,2.7,117.8
-9650,11600,123.6,213,20.5,35,39.8,67.4,28.7,2.1,19.5
-9700,11650,177,346,48.2,37.8,50.6,106.3,28.1,2.4,30.9
