year (AD) [1-1],age (BP) [1-1],C9960x2D1 (permil) [1-1],year (AD) [2-1],age (BP) [2-1],C9960x2D2 (permil) [2-1]
1434,516,-10.28,-16164,18114,-9.97
1431,519,-9.38,-16258,18208,-9.11
1426,524,-9.63,-16351,18301,-9.31
1422,528,-9.27,-16445,18395,-8.74
1418,532,-9.02,-16539,18489,-9.41
1414,536,-8.49,-16633,18583,-9.68
1411,539,-9.06,-16727,18677,-9.71
1406,544,-9.36,-16820,18770,-9.86
1402,548,-9.98,-16914,18864,-10.33
1398,552,-9.23,-17008,18958,-9.67
1395,555,-9.15,NA,NA,NA
1393,557,-9.17,NA,NA,NA
1391,559,-9.05,NA,NA,NA
1388,562,-8.02,NA,NA,NA
1384,566,-8.27,NA,NA,NA
1382,568,-8.67,NA,NA,NA
1379,571,-9.11,NA,NA,NA
1376,574,-8.8,NA,NA,NA
1372,578,-8.72,NA,NA,NA
1366,584,-8.17,NA,NA,NA
1366,584,-8.7,NA,NA,NA
1363,587,-8.5,NA,NA,NA
1359,591,-8.21,NA,NA,NA
1358,592,-8.23,NA,NA,NA
1356,594,-7.72,NA,NA,NA
1350,600,-7.07,NA,NA,NA
1346,604,-7.33,NA,NA,NA
1343,607,-7.93,NA,NA,NA
1342,608,-7.79,NA,NA,NA
1340,610,-8.39,NA,NA,NA
1334,616,-9.29,NA,NA,NA
1331,619,-9.24,NA,NA,NA
1328,622,-9.23,NA,NA,NA
1324,626,-9.38,NA,NA,NA
1318,632,-9,NA,NA,NA
1314,636,-9.57,NA,NA,NA
1310,640,-9.14,NA,NA,NA
1305,645,-9.48,NA,NA,NA
1302,648,-8.19,NA,NA,NA
1298,652,-7.82,NA,NA,NA
1294,656,-7.78,NA,NA,NA
1289,661,-7.48,NA,NA,NA
1286,664,-7.44,NA,NA,NA
1281,669,-7.44,NA,NA,NA
1280,670,-7.39,NA,NA,NA
1277,673,-7.84,NA,NA,NA
1269,681,-8.44,NA,NA,NA
1265,685,-9.37,NA,NA,NA
1261,689,-8.82,NA,NA,NA
1257,693,-8.92,NA,NA,NA
1253,697,-8.7,NA,NA,NA
1250,700,-8.75,NA,NA,NA
1245,705,-8.99,NA,NA,NA
1241,709,-8.67,NA,NA,NA
1234,716,-9.07,NA,NA,NA
1228,722,-8.87,NA,NA,NA
1220,730,-8.69,NA,NA,NA
1212,738,-9.07,NA,NA,NA
1205,745,-9.8,NA,NA,NA
1199,751,-11.11,NA,NA,NA
1193,757,-11.18,NA,NA,NA
1191,759,-9.66,NA,NA,NA
1188,762,-11.97,NA,NA,NA
1177,773,-11.14,NA,NA,NA
1176,774,-10.52,NA,NA,NA
1170,780,-10.45,NA,NA,NA
1164,786,-7.87,NA,NA,NA
1157,793,-7.81,NA,NA,NA
1153,797,-7.72,NA,NA,NA
1147,803,-7.43,NA,NA,NA
1141,809,-6.97,NA,NA,NA
1135,815,-7.22,NA,NA,NA
1133,817,-7.19,NA,NA,NA
1129,821,-7.52,NA,NA,NA
1118,832,-7.96,NA,NA,NA
1116,834,-8.44,NA,NA,NA
1112,838,-8.47,NA,NA,NA
1105,845,-8.68,NA,NA,NA
1100,850,-8.81,NA,NA,NA
1090,860,-8.8,NA,NA,NA
1084,866,-8.48,NA,NA,NA
1077,873,-8.01,NA,NA,NA
1075,875,-7.89,NA,NA,NA
1071,879,-7.62,NA,NA,NA
1061,889,-7.87,NA,NA,NA
1056,894,-8.08,NA,NA,NA
1051,899,-8.32,NA,NA,NA
1046,904,-8.16,NA,NA,NA
1041,909,-8.03,NA,NA,NA
1030,920,-7.94,NA,NA,NA
1025,925,-7.88,NA,NA,NA
1022,928,-8.07,NA,NA,NA
1018,932,-8.45,NA,NA,NA
1012,938,-8.58,NA,NA,NA
1008,942,-8.92,NA,NA,NA
1001,949,-9.32,NA,NA,NA
995,955,-9.43,NA,NA,NA
989,961,-9.84,NA,NA,NA
984,966,-9.66,NA,NA,NA
978,972,-7.98,NA,NA,NA
974,976,-8.01,NA,NA,NA
969,981,-7.7,NA,NA,NA
964,986,-7.85,NA,NA,NA
959,991,-8.05,NA,NA,NA
954,996,-8,NA,NA,NA
949,1001,-7.65,NA,NA,NA
944,1006,-8.13,NA,NA,NA
939,1011,-8.88,NA,NA,NA
934,1016,-9.19,NA,NA,NA
929,1021,-9.03,NA,NA,NA
924,1026,-8.72,NA,NA,NA
920,1030,-8.61,NA,NA,NA
915,1035,-8.6,NA,NA,NA
909,1041,-8.55,NA,NA,NA
903,1047,-9.26,NA,NA,NA
898,1052,-10.03,NA,NA,NA
891,1059,-9.67,NA,NA,NA
886,1064,-8.38,NA,NA,NA
880,1070,-8.87,NA,NA,NA
875,1075,-8.64,NA,NA,NA
869,1081,-9.31,NA,NA,NA
862,1088,-9.89,NA,NA,NA
858,1092,-9.37,NA,NA,NA
852,1098,-8.91,NA,NA,NA
847,1103,-8.92,NA,NA,NA
841,1109,-7.78,NA,NA,NA
837,1113,-7.75,NA,NA,NA
833,1117,-8.14,NA,NA,NA
826,1124,-8.28,NA,NA,NA
821,1129,-8.47,NA,NA,NA
815,1135,-9.07,NA,NA,NA
810,1140,-9.25,NA,NA,NA
796,1154,-10.07,NA,NA,NA
795,1155,-10.21,NA,NA,NA
791,1159,-9.49,NA,NA,NA
785,1165,-9.14,NA,NA,NA
780,1170,-9.43,NA,NA,NA
774,1176,-9.25,NA,NA,NA
771,1179,-8.88,NA,NA,NA
767,1183,-8.05,NA,NA,NA
763,1187,-7.94,NA,NA,NA
759,1191,-8.14,NA,NA,NA
754,1196,-9.02,NA,NA,NA
745,1205,-8.77,NA,NA,NA
742,1208,-9.74,NA,NA,NA
731,1219,-8.51,NA,NA,NA
724,1226,-10.17,NA,NA,NA
716,1234,-8.33,NA,NA,NA
712,1238,-8.66,NA,NA,NA
708,1242,-8.24,NA,NA,NA
705,1245,-8.33,NA,NA,NA
699,1251,-8.18,NA,NA,NA
696,1254,-8.41,NA,NA,NA
693,1257,-8.47,NA,NA,NA
689,1261,-8.38,NA,NA,NA
686,1264,-9.1,NA,NA,NA
683,1267,-8.96,NA,NA,NA
680,1270,-8.84,NA,NA,NA
676,1274,-9.14,NA,NA,NA
673,1277,-9.29,NA,NA,NA
669,1281,-8.9,NA,NA,NA
668,1282,-9.31,NA,NA,NA
666,1284,-8.74,NA,NA,NA
660,1290,-8.31,NA,NA,NA
659,1291,-8.84,NA,NA,NA
657,1293,-8.7,NA,NA,NA
654,1296,-8.55,NA,NA,NA
652,1298,-8.41,NA,NA,NA
646,1304,-8.34,NA,NA,NA
643,1307,-8.44,NA,NA,NA
643,1307,-8.82,NA,NA,NA
640,1310,-8.49,NA,NA,NA
638,1312,-8.52,NA,NA,NA
633,1317,-9.09,NA,NA,NA
631,1319,-8.98,NA,NA,NA
630,1320,-9.42,NA,NA,NA
627,1323,-9.48,NA,NA,NA
625,1325,-9.6,NA,NA,NA
619,1331,-9.33,NA,NA,NA
616,1334,-9.28,NA,NA,NA
613,1337,-9.48,NA,NA,NA
608,1342,-8.9,NA,NA,NA
607,1343,-9.27,NA,NA,NA
604,1346,-9.17,NA,NA,NA
601,1349,-9.17,NA,NA,NA
599,1351,-9.25,NA,NA,NA
598,1352,-9.5,NA,NA,NA
593,1357,-9.58,NA,NA,NA
590,1360,-9.65,NA,NA,NA
589,1361,-9.77,NA,NA,NA
588,1362,-9.46,NA,NA,NA
585,1365,-9.33,NA,NA,NA
580,1370,-9.12,NA,NA,NA
578,1372,-9.15,NA,NA,NA
577,1373,-9.22,NA,NA,NA
575,1375,-9.25,NA,NA,NA
572,1378,-9.4,NA,NA,NA
567,1383,-9.41,NA,NA,NA
566,1384,-9.34,NA,NA,NA
565,1385,-9.36,NA,NA,NA
563,1387,-9.29,NA,NA,NA
561,1389,-8.52,NA,NA,NA
558,1392,-8.29,NA,NA,NA
556,1394,-8.64,NA,NA,NA
550,1400,-8.93,NA,NA,NA
545,1405,-8.76,NA,NA,NA
539,1411,-8.77,NA,NA,NA
539,1411,-8.34,NA,NA,NA
534,1416,-8.03,NA,NA,NA
523,1427,-8.22,NA,NA,NA
517,1433,-8.22,NA,NA,NA
515,1435,-8.28,NA,NA,NA
512,1438,-8.51,NA,NA,NA
507,1443,-8.5,NA,NA,NA
496,1454,-9.33,NA,NA,NA
490,1460,-9.71,NA,NA,NA
485,1465,-9.71,NA,NA,NA
480,1470,-9.18,NA,NA,NA
470,1480,-7.63,NA,NA,NA
468,1482,-7.47,NA,NA,NA
465,1485,-7.28,NA,NA,NA
456,1494,-7.94,NA,NA,NA
440,1510,-7.75,NA,NA,NA
438,1512,-7.91,NA,NA,NA
433,1517,-7.59,NA,NA,NA
426,1524,-6.5,NA,NA,NA
419,1531,-7.56,NA,NA,NA
414,1536,-8.88,NA,NA,NA
408,1542,-9.37,NA,NA,NA
402,1548,-9.59,NA,NA,NA
396,1554,-9.04,NA,NA,NA
391,1559,-8.91,NA,NA,NA
386,1564,-8.62,NA,NA,NA
381,1569,-8.71,NA,NA,NA
376,1574,-8.75,NA,NA,NA
372,1578,-8.39,NA,NA,NA
367,1583,-8.59,NA,NA,NA
358,1592,-8.36,NA,NA,NA
353,1597,-8.77,NA,NA,NA
353,1597,-8.79,NA,NA,NA
349,1601,-9.14,NA,NA,NA
344,1606,-7.87,NA,NA,NA
344,1606,-9.02,NA,NA,NA
339,1611,-7.23,NA,NA,NA
331,1619,-6.9,NA,NA,NA
326,1624,-7.24,NA,NA,NA
322,1628,-7.43,NA,NA,NA
317,1633,-7.48,NA,NA,NA
312,1638,-8.02,NA,NA,NA
304,1646,-8.66,NA,NA,NA
299,1651,-8.85,NA,NA,NA
298,1652,-8.97,NA,NA,NA
295,1655,-9.11,NA,NA,NA
290,1660,-9.29,NA,NA,NA
285,1665,-9.56,NA,NA,NA
276,1674,-11.02,NA,NA,NA
271,1679,-8.29,NA,NA,NA
265,1685,-11.37,NA,NA,NA
248,1702,-8.61,NA,NA,NA
242,1708,-8.65,NA,NA,NA
236,1714,-8.18,NA,NA,NA
234,1716,-7.99,NA,NA,NA
230,1720,-7.4,NA,NA,NA
220,1730,-7.54,NA,NA,NA
214,1736,-7.87,NA,NA,NA
208,1742,-8.09,NA,NA,NA
203,1747,-8.32,NA,NA,NA
194,1756,-8.1,NA,NA,NA
188,1762,-8.42,NA,NA,NA
185,1765,-8.45,NA,NA,NA
182,1768,-8.66,NA,NA,NA
177,1773,-8.88,NA,NA,NA
166,1784,-8.95,NA,NA,NA
160,1790,-9.24,NA,NA,NA
154,1796,-9.72,NA,NA,NA
149,1801,-9.98,NA,NA,NA
144,1806,-9.16,NA,NA,NA
137,1813,-10.14,NA,NA,NA
131,1819,-9.94,NA,NA,NA
125,1825,-9.07,NA,NA,NA
121,1829,-9.21,NA,NA,NA
116,1834,-8.74,NA,NA,NA
109,1841,-8.87,NA,NA,NA
101,1849,-8.73,NA,NA,NA
94,1856,-9.52,NA,NA,NA
89,1861,-10.18,NA,NA,NA
82,1868,-9.53,NA,NA,NA
74,1876,-9.73,NA,NA,NA
66,1884,-8.5,NA,NA,NA
61,1889,-8.88,NA,NA,NA
56,1894,-8.48,NA,NA,NA
48,1902,-8.3,NA,NA,NA
41,1909,-8.31,NA,NA,NA
34,1916,-9.05,NA,NA,NA
27,1923,-9.47,NA,NA,NA
19,1931,-8.51,NA,NA,NA
12,1938,-8.27,NA,NA,NA
6,1944,-8.88,NA,NA,NA
0,1950,-8.65,NA,NA,NA
-8,1958,-8.62,NA,NA,NA
-15,1965,-9.29,NA,NA,NA
-21,1971,-9.02,NA,NA,NA
-27,1977,-8.66,NA,NA,NA
-33,1983,-8.98,NA,NA,NA
-46,1996,-9.85,NA,NA,NA
-59,2009,-8.83,NA,NA,NA
-71,2021,-9.22,NA,NA,NA
-83,2033,-8.27,NA,NA,NA
-99,2049,-8.47,NA,NA,NA
-115,2065,-8.65,NA,NA,NA
-130,2080,-9.06,NA,NA,NA
-142,2092,-8.62,NA,NA,NA
-155,2105,-8.27,NA,NA,NA
-171,2121,-8.19,NA,NA,NA
-187,2137,-8.49,NA,NA,NA
-199,2149,-8.85,NA,NA,NA
-213,2163,-8.8,NA,NA,NA
-224,2174,-8.88,NA,NA,NA
-240,2190,-8.14,NA,NA,NA
-256,2206,-8.27,NA,NA,NA
-271,2221,-8.76,NA,NA,NA
-284,2234,-8.58,NA,NA,NA
-299,2249,-8.87,NA,NA,NA
-315,2265,-8.78,NA,NA,NA
-330,2280,-8.38,NA,NA,NA
-342,2292,-8.14,NA,NA,NA
-355,2305,-8.43,NA,NA,NA
-369,2319,-8,NA,NA,NA
-386,2336,-8.98,NA,NA,NA
-401,2351,-10.03,NA,NA,NA
-414,2364,-10.96,NA,NA,NA
-426,2376,-8.69,NA,NA,NA
-436,2386,-10.06,NA,NA,NA
-453,2403,-8.45,NA,NA,NA
-470,2420,-8.35,NA,NA,NA
-484,2434,-8.6,NA,NA,NA
-497,2447,-8.52,NA,NA,NA
-512,2462,-8.67,NA,NA,NA
-529,2479,-9.19,NA,NA,NA
-544,2494,-9.08,NA,NA,NA
-557,2507,-8.93,NA,NA,NA
-569,2519,-8.16,NA,NA,NA
-582,2532,-8.71,NA,NA,NA
-599,2549,-8.45,NA,NA,NA
-617,2567,-8.09,NA,NA,NA
-631,2581,-7.69,NA,NA,NA
-640,2590,-7.42,NA,NA,NA
-655,2605,-7.22,NA,NA,NA
-672,2622,-7.63,NA,NA,NA
-687,2637,-7.83,NA,NA,NA
-697,2647,-8.04,NA,NA,NA
-711,2661,-8.09,NA,NA,NA
-726,2676,-9.36,NA,NA,NA
-741,2691,-10.37,NA,NA,NA
-756,2706,-10.5,NA,NA,NA
-766,2716,-10,NA,NA,NA
-782,2732,-10.81,NA,NA,NA
-787,2737,-9.59,NA,NA,NA
-793,2743,-9.3,NA,NA,NA
-798,2748,-9.61,NA,NA,NA
-804,2754,-9.42,NA,NA,NA
-809,2759,-9.88,NA,NA,NA
-814,2764,-8.42,NA,NA,NA
-819,2769,-7.72,NA,NA,NA
-825,2775,-8.47,NA,NA,NA
-830,2780,-8.27,NA,NA,NA
-836,2786,-9.54,NA,NA,NA
-842,2792,-8.46,NA,NA,NA
-847,2797,-9.69,NA,NA,NA
-853,2803,-9.88,NA,NA,NA
-858,2808,-9.49,NA,NA,NA
-862,2812,-8.5,NA,NA,NA
-868,2818,-8.95,NA,NA,NA
-874,2824,-9.38,NA,NA,NA
-879,2829,-9.4,NA,NA,NA
-885,2835,-9.07,NA,NA,NA
-889,2839,-8.92,NA,NA,NA
-894,2844,-7.76,NA,NA,NA
-899,2849,-8.17,NA,NA,NA
-904,2854,-8.53,NA,NA,NA
-910,2860,-7.98,NA,NA,NA
-916,2866,-7.03,NA,NA,NA
-920,2870,-7.88,NA,NA,NA
-925,2875,-6.22,NA,NA,NA
-930,2880,-7.11,NA,NA,NA
-935,2885,-7.74,NA,NA,NA
-939,2889,-7.47,NA,NA,NA
-942,2892,-7.63,NA,NA,NA
-948,2898,-7.69,NA,NA,NA
-953,2903,-7.4,NA,NA,NA
-958,2908,-7.37,NA,NA,NA
-963,2913,-7.34,NA,NA,NA
-969,2919,-7.43,NA,NA,NA
-974,2924,-7.19,NA,NA,NA
-979,2929,-7.52,NA,NA,NA
-985,2935,-7.63,NA,NA,NA
-990,2940,-7.86,NA,NA,NA
-996,2946,-8.18,NA,NA,NA
-1001,2951,-8.22,NA,NA,NA
-1006,2956,-8.69,NA,NA,NA
-1011,2961,-8.62,NA,NA,NA
-1016,2966,-7.93,NA,NA,NA
-1023,2973,-8.34,NA,NA,NA
-1028,2978,-8.39,NA,NA,NA
-1033,2983,-8.31,NA,NA,NA
-1038,2988,-8.38,NA,NA,NA
-1043,2993,-8.31,NA,NA,NA
-1049,2999,-8.34,NA,NA,NA
-1054,3004,-10.32,NA,NA,NA
-1060,3010,-12.2,NA,NA,NA
-1066,3016,-10.8,NA,NA,NA
-1071,3021,-10.77,NA,NA,NA
-1076,3026,-8.8,NA,NA,NA
-1081,3031,-9.6,NA,NA,NA
-1086,3036,-9.47,NA,NA,NA
-1092,3042,-9.24,NA,NA,NA
-1097,3047,-9.22,NA,NA,NA
-1103,3053,-9.92,NA,NA,NA
-1108,3058,-8.74,NA,NA,NA
-1113,3063,-9,NA,NA,NA
-1118,3068,-9.2,NA,NA,NA
-1124,3074,-8.38,NA,NA,NA
-1130,3080,-9.11,NA,NA,NA
-1136,3086,-9.05,NA,NA,NA
-1141,3091,-8.69,NA,NA,NA
-1146,3096,-9.48,NA,NA,NA
-1151,3101,-10.38,NA,NA,NA
-1156,3106,-8.96,NA,NA,NA
-1183,3133,-9.02,NA,NA,NA
-1210,3160,-9.37,NA,NA,NA
-1236,3186,-8.84,NA,NA,NA
-1263,3213,-8.81,NA,NA,NA
-1290,3240,-9.04,NA,NA,NA
-1317,3267,-9.21,NA,NA,NA
-1343,3293,-9.41,NA,NA,NA
-1370,3320,-9.29,NA,NA,NA
-1397,3347,-9.43,NA,NA,NA
-1424,3374,-9.66,NA,NA,NA
-1450,3400,-9.83,NA,NA,NA
-1477,3427,-10.06,NA,NA,NA
-1497,3447,-10.06,NA,NA,NA
-1516,3466,-9.29,NA,NA,NA
-1536,3486,-10.51,NA,NA,NA
-1556,3506,-8.35,NA,NA,NA
-1575,3525,-9.81,NA,NA,NA
-1595,3545,-8.62,NA,NA,NA
-1614,3564,-8.85,NA,NA,NA
-1634,3584,-9.34,NA,NA,NA
-1654,3604,-9.32,NA,NA,NA
-1673,3623,-8.87,NA,NA,NA
-1693,3643,-9.21,NA,NA,NA
-1713,3663,-7.82,NA,NA,NA
-1732,3682,-8.95,NA,NA,NA
-1752,3702,-8.9,NA,NA,NA
-1772,3722,-8.53,NA,NA,NA
-1791,3741,-8.95,NA,NA,NA
-1811,3761,-9.23,NA,NA,NA
-1830,3780,-8.83,NA,NA,NA
-1850,3800,-8.9,NA,NA,NA
-1857,3807,-9.42,NA,NA,NA
-1865,3815,-10.23,NA,NA,NA
-1872,3822,-10.28,NA,NA,NA
-1879,3829,-11.51,NA,NA,NA
-1886,3836,-9.08,NA,NA,NA
-1894,3844,-9.28,NA,NA,NA
-1901,3851,-10.37,NA,NA,NA
-1908,3858,-10.93,NA,NA,NA
-1915,3865,-10.67,NA,NA,NA
-1923,3873,-10.09,NA,NA,NA
-1930,3880,-9.63,NA,NA,NA
-1937,3887,-9.74,NA,NA,NA
-1944,3894,-9.86,NA,NA,NA
-1952,3902,-10.19,NA,NA,NA
-1959,3909,-10.02,NA,NA,NA
-1966,3916,-10.61,NA,NA,NA
-1973,3923,-9.4,NA,NA,NA
-1981,3931,-9.96,NA,NA,NA
-1988,3938,-8.91,NA,NA,NA
-1995,3945,-8.97,NA,NA,NA
-2002,3952,-9.73,NA,NA,NA
-2010,3960,-9.53,NA,NA,NA
-2017,3967,-9.12,NA,NA,NA
-2024,3974,-9.2,NA,NA,NA
-2032,3982,-9.44,NA,NA,NA
