year (AD),age (BP),map_mm (mm/yr),temperature (degC),temperature (degC),temperature (degC),BroadleavedWoodyCover___ (missing),stdDev___ (missing),NeedleleavedWoodyCover___ (missing),NeedleavedWoodyCoverStdDev___ (missing),WoodyCover___ (missing),OpenVegetation___ (missing),Score_Tundra_ (degC),Score_Taiga_ (degC),Score_Steppe_ (degC),BorealTrees___ (missing),BorealShrubs___ (missing),Herbs___ (missing),Pollen_spores_Total___ (total)
-1368.5,3318.5,512.2,-18.1,16.2,-0.95,3.6,3.9,42.1,14.7,45.7,54.3,2.8,15,2.2,90.1,5.4,4.5,1291
-1502,3452,484.7,-19.2,16.6,-1.3,3.5,3.6,38.8,14.1,42.2,57.8,2.9,13.2,2.3,89.8,4.6,5.6,1277
-1635.6,3585.6,490.7,-18.7,16.7,-1,3.7,3.7,40.6,14.4,44.3,55.7,1.7,13.6,1.7,91.9,3.9,4.2,1160
-1769.1,3719.1,483.4,-20.5,16.3,-2.1,2.7,3.2,40,14.7,42.6,57.4,4.2,12.5,2.8,85.4,7.8,6.8,1146
-1902.6,3852.6,488.2,-20.3,16.5,-1.9,3.1,3.5,40.8,14.8,43.9,56.1,3.1,13.7,2.1,86.8,7.9,5.3,1120
-2036,3986,476.2,-20.6,16.7,-1.95,2.6,3,39.3,14.8,41.9,58.1,2.9,13.3,2.5,87.4,6.1,6.5,1120
-2169.3,4119.3,508.1,-18.3,16.5,-0.9,3.3,3.6,40.3,14.7,43.6,56.4,2.8,13.6,3.1,88.5,4.9,6.6,1200
-2302.7,4252.7,482.9,-20.8,16.5,-2.15,2.9,3.3,39.6,15.1,42.5,57.5,4.2,14.6,2.8,86.2,6.2,7.6,1181
-2435.9,4385.9,485.9,-20.3,16.5,-1.9,3,3.5,39.6,15,42.5,57.5,4.2,13.1,2.7,85.5,8.3,6.2,1210
-2569.3,4519.3,484.9,-20.4,16.4,-2,3,3.5,40,15,43,57,3.7,12.9,3,84.4,9.5,6.1,1174
-2702.4,4652.4,491.9,-19.5,16.7,-1.4,3.4,3.8,39.8,14.9,43.3,56.7,2.1,15.3,1.8,90.5,5.1,4.4,1262
-2835.6,4785.6,486.5,-20.3,16.4,-1.95,2.7,3.2,39.5,15,42.1,57.9,4.4,13,2.4,84.4,9.2,6.3,1269
-2968.8,4918.8,508.2,-18.5,16.5,-1,3.3,3.6,40.9,14.8,44.2,55.8,2.6,13.9,2.4,88.6,5.4,6,1254
-3101.8,5051.8,503.8,-20,16.9,-1.55,5.1,4.7,41.4,15.3,46.5,53.5,1.6,16.4,1.8,92.4,3.2,4.4,1310
-3235,5185,478,-20.4,16.6,-1.9,2.9,3.4,39.1,15.4,42,58,3.7,13.1,2.6,83.5,9,7.5,1305
-3368,5318,509,-18.4,16.4,-1,3.1,3.6,39.8,15,42.8,57.2,2.8,14.2,1.9,86.2,8.5,5.3,1338
-3500.9,5450.9,504.1,-18.6,16.2,-1.2,3.2,3.6,40.1,15,43.3,56.7,3.2,14.5,2.6,89,5.5,5.5,1304
-3634,5584,506.6,-18.8,16.5,-1.15,3,3.5,39.6,15,42.7,57.3,2.1,15.2,1.7,89.7,5.5,4.8,1282
-3766.8,5716.8,496.5,-19.1,16.5,-1.3,3.3,3.6,40.5,15.1,43.8,56.2,3,14.2,3,87.7,4.9,7.4,1368
-3899.8,5849.8,503.6,-18.2,16.4,-0.9,3.3,3.6,39.8,14.3,43.1,56.9,2.8,14.1,3,88.7,4.3,6.9,1414
-4032.6,5982.6,479.5,-20.3,16.6,-1.85,2.7,3.1,39,14.6,41.7,58.3,3.5,14,2.8,87.4,6.1,6.5,1253
-4132,6082,499.2,-19.1,16.5,-1.3,3.1,3.4,39.9,14.9,43,57,2.8,14.1,1.8,88.1,6.2,5.7,1402
-4256.9,6206.9,479,-21.2,16.6,-2.3,2.7,3.2,38.4,14.8,41.1,58.9,3.1,14.7,1.8,89.1,5.6,5.3,1305
-4381.9,6331.9,494.8,-19.2,16.6,-1.3,3,3.5,38.5,15.3,41.6,58.4,3.1,13.9,2.2,85,8.2,6.8,1247
-4506.6,6456.6,481.1,-19.6,17,-1.3,3.8,4.1,39.1,15.6,42.9,57.1,3.4,14.3,2.4,83.8,9.1,7.1,1315
-4631.4,6581.4,482.6,-19.8,17.2,-1.3,4.4,4.5,38.6,15.4,43,57,3.7,14.3,2.3,81.7,10.4,8,1224
-4756.3,6706.3,502.9,-19.3,17.2,-1.05,7.1,5.7,40.5,14.8,47.6,52.4,4.9,14,3.2,78.3,13.2,8.5,1286
-4881.1,6831.1,534.6,-17,17.2,0.1,9.7,7.5,43.3,15.2,53,47,5.1,14.3,2.9,78.8,13.7,7.5,1068
-5005.7,6955.7,521.8,-18.4,17.3,-0.55,9.9,7.4,39.3,14.4,49.2,50.8,5.6,13.5,3.6,72,17.9,10.1,1321
-5173.8,7123.8,531.8,-18.4,17.2,-0.6,9.9,7.4,40.4,14.2,50.3,49.7,6.6,13.2,3.5,71.4,19,9.5,1242
-5341.7,7291.7,532,-17.7,17.5,-0.1,10.3,7.5,39.3,13.8,49.6,50.4,6,13.6,4.4,71.4,16.7,11.9,1223
-5509.8,7459.8,537.1,-18.2,17.4,-0.4,10.1,7.3,41.6,13.1,51.7,48.3,6,13.4,3.6,72.6,15.6,11.8,1280
-5677.6,7627.6,539.2,-18.3,17.4,-0.45,10.1,7.6,46.7,13.1,56.9,43.1,5.6,12.7,3.8,75.2,13.6,11.2,1545
-5845.5,7795.5,533.2,-20.5,17.5,-1.5,9.3,6.9,43.4,12.7,52.8,47.2,4.8,12.7,3.8,76.7,12,11.3,1235
-6013.3,7963.3,528.3,-20.5,17.5,-1.5,9.2,6.7,44.4,12.6,53.6,46.4,4.2,13,3.3,77.6,11.6,10.8,1352
-6181,8131,531.6,-20.6,17.1,-1.75,9.3,6.6,44,12.3,53.3,46.7,5.6,12.2,4.4,67.7,19.8,12.4,1334
-6348.7,8298.7,548.7,-19.9,17.4,-1.25,9.4,6.9,45.3,12.7,54.7,45.3,4.6,13.6,3.6,76.7,12.7,10.6,1174
-6516.2,8466.2,542.7,-19.8,17.1,-1.35,9.3,6.7,42.7,12.6,51.9,48.1,5.1,12.8,4,74.1,15.2,10.7,1458
-6683.8,8633.8,547.8,-19.8,17.1,-1.35,9.6,6.9,44.2,12.6,53.8,46.2,5.8,12.4,4.4,70.3,16.6,13.1,1475
-6851.4,8801.4,548.8,-19.8,17.1,-1.35,9.5,6.9,44.2,12.6,53.8,46.2,5.7,12.9,4.1,69.2,18.5,12.3,1390
-7018.7,8968.7,515.9,-21.6,17,-2.3,9.2,6.3,41.9,12.5,51.1,48.9,6,12,5.2,66,20.2,13.8,1340
-7186.1,9136.1,534.3,-20.6,17,-1.8,9.2,6.6,44.1,12.4,53.4,46.6,6.2,12.7,5,68.8,17.7,13.4,1326
-7353.3,9303.3,568.1,-20,17.2,-1.4,9,7.2,47.4,12.9,56.3,43.7,2.8,14.4,3.1,82.2,8.7,9.1,1334
-7520.6,9470.6,548.2,-19.9,17.1,-1.4,9.4,6.8,44.2,12.5,53.6,46.4,5.3,12.3,4.5,69.8,16.4,13.8,1522
-7687.9,9637.9,545.6,-19.8,16.9,-1.45,9.5,7.2,42.6,12.7,52,48,5.1,12.1,4,71.5,15.1,13.4,1404
-7854.9,9804.9,512.2,-21.8,16.9,-2.45,9.4,6.5,40.4,13.3,49.9,50.1,6.5,12.6,4.7,61.8,25.1,13.1,1254
-8022.1,9972.1,532.4,-20.8,17.1,-1.85,9.4,6.6,42.6,12.5,52,48,5.5,12.1,5.8,66.2,16.3,17.5,1640
-8189,10139,524.5,-20.4,17.4,-1.5,9.3,6.4,40.7,12.3,50,50,5.8,12.2,6.4,64.4,16.1,19.5,1648
-8356,10306,482.1,-22.3,17.1,-2.6,8.5,5.8,36.6,11.7,45,55,7.7,11.9,6.7,55,22.3,22.7,1517
-8522.9,10472.9,493.9,-21.8,17.2,-2.3,8.7,6.3,38.9,12.4,47.6,52.4,7.1,10.9,6.6,54,23.5,22.5,1526
-8689.7,10639.7,384.5,-32,14.7,-8.65,3.2,2.8,24.4,9.6,27.5,72.5,10.3,8.1,4.4,31.9,55.3,12.8,350
-8856.5,10806.5,400,-31.2,15.5,-7.85,3.4,3.2,27.2,11.3,30.6,69.4,9.5,10.1,5.3,36,48.7,15.3,371
-9023.3,10973.3,415.3,-29.7,15.2,-7.25,4.3,3.3,26.6,10.6,30.9,69.1,9.2,8.2,5.4,33.6,48.7,17.6,348
-9110.7,11060.7,436.8,-28.1,15.6,-6.25,4.6,3.6,29.3,11.7,33.9,66.1,8.9,7.9,4.2,35.4,50.5,14,379
-9198.2,11148.2,474.9,-24.8,14.9,-4.95,5,3.9,23.8,10.9,28.7,71.3,9.9,9.4,4.8,38,48.3,13.7,426
-9285.6,11235.6,381.7,-32.1,14.7,-8.7,2.2,2.2,23.4,9.6,25.5,74.5,10,7.3,4.3,32.2,53.4,14.4,367
-9373,11323,455.9,-27.6,15.7,-5.95,4.3,3.5,26.7,11.1,31,69,8.4,7.8,3.6,35.9,51.7,12.4,292
-9460.5,11410.5,372.8,-31.5,15.1,-8.2,2.9,2.5,24.5,9.9,27.4,72.6,10,7.9,8.1,29.4,47.7,22.9,315
-9547.9,11497.9,334.4,-34.4,13.8,-10.3,1.8,1.6,18,7.6,19.8,80.2,11.3,7.7,6.3,25.8,49,25.2,362
-9635.3,11585.3,385.7,-33.3,14.3,-9.5,2.1,2.1,20.8,7.9,22.9,77.1,10.4,8.4,5.1,33,50.5,16.5,313
-9722.6,11672.6,338,-34.7,13.4,-10.65,1.2,1,13.6,6.3,14.8,85.2,12.2,8.5,5.2,29.7,53.6,16.7,302
-9809.9,11759.9,295.5,-38,13.1,-12.45,1.1,0.9,11.9,6.1,13,87,12.9,6.2,7.9,15.3,57.5,27.2,331
-9897.2,11847.2,307,-38.1,12.3,-12.9,0.7,1.3,13.3,7.2,14,86,14.6,9.6,6.9,21.5,56.5,22,844
-9984.5,11934.5,327.4,-36.7,12,-12.35,0.6,1,9.6,5.4,10.2,89.8,15.5,10.2,5.2,28.5,50.1,21.4,709
-10071.8,12021.8,299.7,-39.4,12.4,-13.5,0.1,1,8.4,6.5,8.6,91.4,15.4,7.5,4.2,21.7,63.6,14.7,759
-10159.1,12109.1,301.5,-39.1,12.1,-13.5,0.6,1.2,8.7,5,9.3,90.7,15,7.8,6.4,22.8,52,25.2,824
-10246.3,12196.3,316.1,-38.3,12.2,-13.05,0.6,1.2,7.9,4.4,8.5,91.5,14.2,9.5,5.2,34.1,47.1,18.9,473
-10333.7,12283.7,330.2,-37.4,12.3,-12.55,0.1,0.8,5.7,4.8,5.8,94.2,13,10.7,5.1,40.4,42.7,16.9,361
-10420.9,12370.9,293.7,-39.6,12.1,-13.75,0.1,0.8,6.4,4.6,6.5,93.5,14.8,9,4,28.9,56.8,14.3,386
-10508.1,12458.1,315.3,-38.1,12.3,-12.9,0.1,0.8,8.1,5.6,8.2,91.8,13.8,9.9,4.1,33.6,52.1,14.3,316
-10595.3,12545.3,302.2,-38.8,12.3,-13.25,0.1,1.1,8.6,6.3,8.8,91.2,14.1,8.5,4.5,27.1,59.5,13.4,350
-10682.4,12632.4,412.3,-24.4,15,-4.7,1.7,2.9,15.1,8.5,16.8,83.2,10.3,11.5,7,58.4,26.2,15.4,398
-10769.6,12719.6,363.3,-29.9,13.9,-8,0.5,1.3,12.5,7.5,13,87,12.3,10.1,4.9,48.6,36.4,15,395
-10856.7,12806.7,383.7,-21.9,16.2,-2.85,3.4,4.4,19.9,9.4,23.3,76.7,9.2,13.8,2.9,69.5,19.5,10.9,261
-10943.8,12893.8,385.1,-19.9,17,-1.45,4.1,4.9,18.9,10.1,23,77,7.8,11.9,4.8,72.7,13.3,14,283
-11030.9,12980.9,405.5,-21.8,16.1,-2.85,3.4,4.2,16.2,10.5,19.6,80.4,10.3,11.1,7.1,58.7,20.2,21.1,458
-11117.9,13067.9,381.1,-22,16.3,-2.85,3.9,4.6,18.8,10.1,22.8,77.2,8.8,11.7,5.2,64.8,19.8,15.4,372
-11205.2,13155.2,436.9,-19.1,16.7,-1.2,4.7,5.1,21,9.2,25.7,74.3,8.1,14.8,2.6,76.3,14.8,8.9,305
-11292.2,13242.2,382.5,-22.3,16.1,-3.1,3.4,4.4,18.8,9.5,22.2,77.8,8.7,13.3,4.5,65.2,16.1,18.6,328
-11379.2,13329.2,389.8,-25.1,14.3,-5.4,1.6,2.6,15.1,8.4,16.7,83.3,11.1,12.4,6.8,50.8,26.3,22.8,499
-11466.2,13416.2,362.1,-26.4,15.5,-5.45,1.6,2.9,8.6,7.3,10.2,89.8,11.8,12.3,7.2,46.1,26.1,27.8,289
-11553.4,13503.4,304.7,-37.2,11.5,-12.85,0.5,0.7,5.7,2.5,6.2,93.8,13,11,6.9,26.5,40.1,33.3,309
-11652,13602,304,-37.1,11.3,-12.9,0,0.1,0,0.5,0,100,13.2,10.6,8.7,24.9,38.1,37,282
-11750.6,13700.6,278.2,-38.7,11.8,-13.45,0,0.2,3.9,2.7,3.9,96.1,14,7.9,9.2,12.3,47.6,40.1,364
-11849.1,13799.1,282.7,-37.6,11.5,-13.05,0,0.1,3.8,1.4,3.8,96.2,14.4,9.2,8.5,16.3,44.1,39.7,353
-11947.7,13897.7,275,-37.5,11.1,-13.2,0,0.1,3.3,1.2,3.3,96.7,15.6,9,10.9,14.1,41.4,44.5,440
-12046.2,13996.2,276.4,-37.8,12.3,-12.75,0,0.3,7.6,3.9,7.6,92.4,13.9,6.7,10.8,9.4,48.2,42.4,503
-12144.7,14094.7,266.9,-38.4,12,-13.2,0,0.3,6.6,3.1,6.6,93.4,14.9,7.3,11.3,10.4,43.6,45.9,431
-12243,14193,272.4,-37.6,11.5,-13.05,0,0.2,3.5,2.3,3.5,96.5,14.9,6.1,11.4,6.1,41.7,52.2,392
-12341.4,14291.4,275.1,-27.6,14.5,-6.55,0.5,0.9,4,3.7,4.5,95.5,14,5.3,13,4.9,29.2,65.8,529
-12439.8,14389.8,280.7,-34.2,10,-12.1,0,0.1,0.7,0.7,0.7,99.3,16.1,5.2,12.5,4.9,35.4,59.7,345
-12538.2,14488.2,291.4,-20.5,16.2,-2.15,0,0.5,0.3,1.7,0.4,99.6,12.7,6.3,13.2,17.3,16.4,66.3,463
-12636.6,14586.6,288.3,-32.1,11.2,-10.45,0,0.1,3.4,2.2,3.4,96.6,14.5,4.4,12.2,6.4,27.9,65.6,358
-12735,14685,270.6,-25.7,11.7,-7,0.2,0.4,1.6,1.6,1.8,98.2,13.9,2,14.1,1,18.4,80.6,318
-12833.3,14783.3,300.9,-30.1,13.1,-8.5,2.5,2.3,26.8,5.2,29.3,70.7,10.3,9.2,10.8,37,11.1,51.8,335
-12931.6,14881.6,278.5,-25.1,10.6,-7.25,0.5,0.9,0.8,1.3,1.3,98.7,13.7,1.9,13.9,0.4,16.8,82.8,240
-13029.9,14979.9,272.6,-24.7,13.5,-5.6,0.6,1,2.5,2.8,3.2,96.8,13.1,2.6,13.9,2.3,17.3,80.3,176
-13127.7,15077.7,273.8,-23,13.9,-4.55,0.6,1.1,2.5,2.8,3.2,96.8,12.1,0.5,15.7,0.6,13.6,85.9,179
