age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),B (missing),age (BP),temperature (degC)
4062.7,120,9.29,33.992,0.58,0.527,220.267,1,4062.7,6.479
4301.7,130,8.962,34.038,0.546,0.5,213.259,1,4301.7,6.331
4541.3,140,9.732,33.937,0.684,0.607,212.049,2,4541.3,6.745
4783.2,150,8.12,33.577,0.827,0.748,212.498,3,4783.2,5.083
5028,160,8.119,33.67,0.84,0.751,201.052,1,5028,4.97
5275.9,170,8.453,33.45,1.029,0.936,222.209,1,5275.9,5.433
5527.1,180,6.157,34.46,0.36,0.365,186.755,1,5527.1,3.865
5781,190,9.135,33.167,0.997,0.844,203.607,1,5781,4.915
6037.2,200,10.684,33.942,0.631,0.549,235.325,1,6037.2,7.779
6295.2,210,9.852,33.902,0.475,0.377,243.188,1,6295.2,6.356
6554.1,220,7.657,34.733,0.141,0.135,202.814,3,6554.1,5.089
6811.9,230,6.495,34.537,0.211,0.199,196.198,2,6811.9,3.518
7065,240,7.122,33.849,0.851,0.808,197.073,1,7065,4.021
7309.6,250,8.127,33.57,0.927,0.85,196.375,1,7309.6,4.946
7541.7,260,10.509,32.726,1.174,0.98,240.136,1,7541.7,6.475
7762,270,7.484,33.474,0.916,0.827,238.572,1,7762,4.466
7967.7,280,7.829,34.781,0.026,0.026,207.213,1,7967.7,4.928
8152.4,290,8.669,33.939,0.588,0.487,222.538,1,8152.4,5.254
8321.1,300,5.742,34.318,0.559,0.588,206.236,1,8321.1,3.218
8478.7,310,7.954,33.908,0.587,0.516,199.456,1,8478.7,4.545
8623.9,320,9.078,32.532,1.315,1.119,260.652,1,8623.9,4.972
8753.8,330,7.45,34.614,0.023,0.026,231.356,1,8753.8,4.83
8862.6,340,7.169,34.645,0.11,0.106,212.438,2,8862.6,4.336
8936.9,350,8.264,34.795,0,0,227.044,3,8936.9,5.603
9035.2,360,8.49,33.742,0.635,0.502,219.477,1,9035.2,5.009
9148.2,370,6.074,34.238,0.587,0.628,235.689,1,9148.2,3.996
9270.1,380,9.287,32.83,1.319,1.118,244.266,1,9270.1,5.252
9399.5,390,11.146,32.257,1.262,1.089,287.813,1,9399.5,6.495
9537.4,400,8.133,33.551,0.754,0.69,243.369,1,9537.4,4.987
9687.5,410,11.35,32.163,1.54,1.221,249.071,1,9687.5,6.133
9847.5,420,9.2,32.898,1.148,0.932,224.531,3,9847.5,4.794
10018,430,11.424,30.958,3.017,2.42,239.778,2,NA,NA
10202,440,10.811,32.744,1.066,0.849,251.173,1,NA,NA
10401,450,13.257,30.538,2.68,2.122,262.423,1,NA,NA
10625,460,7.683,34.084,1.455,1.183,190.624,1,NA,NA
10880,470,9.702,32.729,0.85,0.773,318.427,1,NA,NA
11164,480,13.451,31.683,0.853,0.743,408.163,1,NA,NA
11483,490,11.796,32.577,0.283,0.301,344.51,1,NA,NA
11832,500,11.383,29.082,3.19,2.529,355.281,1,NA,NA
NA,NA,12.482,31.676,1.236,0.856,239.126,1,NA,NA
NA,NA,17.765,32.68,0,0,276.564,1,NA,NA
