depth (cm),age (BP),d18O (per mil v smow)
176269,10320,-30.17
176317,10340,-30.08
176357,10360,-30.56
176406,10380,-30.37
176449,10400,-30.32
176492,10420,-30.22
176531,10440,-30.76
176570,10460,-30.24
176614,10480,-30.79
176652,10500,-30.13
176695,10520,-30.62
176739,10540,-30.86
176784,10560,-31.29
176817,10580,-30.68
176852,10600,-30.61
176886,10620,-30.64
176915,10640,-30.53
176952,10660,-30.95
176988,10680,-30.4
177019,10700,-30.73
177057,10720,-31.23
177093,10740,-30.52
177126,10760,-30.91
177166,10780,-31.07
177203,10800,-30.52
177237,10820,-31.33
177278,10840,-31.12
177312,10860,-31.68
177350,10880,-31.26
177385,10900,-31.73
177422,10920,-31.83
177457,10940,-31.55
177495,10960,-31.26
177534,10980,-31.81
177575,11000,-31.55
177612,11020,-31.1
177649,11040,-31.81
177685,11060,-31.31
177722,11080,-31.48
177753,11100,-32.08
177787,11120,-31.68
177820,11140,-31.87
177860,11160,-31.62
177892,11180,-32.24
177926,11200,-31.53
177954,11220,-30.66
177986,11240,-30.88
178020,11260,-31.94
178058,11280,-31.45
178088,11300,-32.04
178124,11320,-32.22
178151,11340,-33.05
178179,11360,-33.51
178210,11380,-33.16
178235,11400,-32.71
178265,11420,-32.24
178291,11440,-32.6
178319,11460,-31.91
178355,11480,-31.63
178386,11500,-31.43
178416,11520,-30.71
178450,11540,-30.86
178488,11560,-30.83
178529,11580,-30.65
178560,11600,-31.91
178591,11620,-33
178616,11640,-33.45
